lang_code,en_name,hive_code,lang_square,display_name,active,translate_file,font_res,font_size_scale,font_scale_rate_x,font_scale_rate_y,is_rtl,ui_priority,sheet_priority
ky,Kyrgyz,,,Кыргызча,TRUE,translate/lang_ky,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,690,0
lo,Lao,,,ພາສາລາວ,TRUE,translate/lang_lo,noto_sans_lao_regular.ttf,0.8,0.8,0.8,FALSE,680,0
la,Latin,,,Latinus,TRUE,translate/lang_la,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,670,0
lv,Latvian,,,latviski,TRUE,translate/lang_lv,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,660,0
ln,Lingala,,,Lingala,TRUE,translate/lang_ln,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,650,0
lt,Lithuanian,,,lietuvių,TRUE,translate/lang_lt,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,640,0
lb,Luxembourgish,,,lëtzebuergesch,TRUE,translate/lang_lb,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,630,0
mk,Macedonian,,,македонски,TRUE,translate/lang_mk,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,620,0
mai,Maithili,,,मैथिली,TRUE,translate/lang_mai,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,610,0
mg,Malagasy,,,Malagasy,TRUE,translate/lang_mg,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,600,0
ms,Malay,,,Melayu,TRUE,translate/lang_ms,common_font_01.ttf,1,1,1,FALSE,590,0
ml,Malayalam,,,മലയാളം,TRUE,translate/lang_ml,noto_sans_malayalam_regular.ttf,0.8,0.8,0.8,FALSE,580,0
mt,Maltese,,,Malti,TRUE,translate/lang_mt,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,570,0
mni-Mtei,Manipuri (Meitei Mayek),,,ꯃꯅꯤꯄꯨꯔꯤ (ꯃꯦꯏꯇꯦꯏ ꯃꯌꯦꯛ),TRUE,translate/lang_mni-Mtei,noto_sans_meetei_mayek_regular.ttf,0.8,0.8,0.8,FALSE,560,0
mi,Maori,,,Maori,TRUE,translate/lang_mi,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,550,0
mr,Marathi,,,मराठी,TRUE,translate/lang_mr,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,540,0
lus,Mizo,,,Mizo tawng,TRUE,translate/lang_lus,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,530,0
mn,Mongolian,,,Монгол,TRUE,translate/lang_mn,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,520,0
my,Myanmar (Burmese),,,မြန်မာ (ဗမာ)၊,TRUE,translate/lang_my,padauk_myanmar_regular.ttf,0.8,0.8,0.8,FALSE,510,0
ne,Nepali,,,नेपाली,TRUE,translate/lang_ne,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,500,0
nso,Northern Sotho,,,Sesotho sa Leboa,TRUE,translate/lang_nso,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,490,0
no,Norwegian,,,norsk,TRUE,translate/lang_no,common_font_01.ttf,1,1,1,FALSE,480,0
or,Odia (Oriya),,,ଓଡିଆ (ଓଡିଆ),TRUE,translate/lang_or,noto_sans_oriya_regular.ttf,0.8,0.8,0.8,FALSE,470,0
om,Oromo,,,Afaan Oromoo,TRUE,translate/lang_om,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,460,0
ps,Pashto,,,پښتو,TRUE,translate/lang_ps,ibm_plex_sans_arabic_regular.ttf,1,1,1,TRUE,450,0
fa,Persian,,,فارسی,TRUE,translate/lang_fa,ibm_plex_sans_arabic_regular.ttf,1,1,1,TRUE,440,10
pl,Polish,,,Polski,TRUE,translate/lang_pl,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,430,0
pt,Portuguese,,,Português,TRUE,translate/lang_pt,common_font_01.ttf,1,1,1,FALSE,420,0
pa,Punjabi,,,ਪੰਜਾਬੀ,TRUE,translate/lang_pa,noto_sans_gurmukhi_regular.ttf,0.8,0.8,0.8,FALSE,410,0
qu,Quechua,,,Runasimi,TRUE,translate/lang_qu,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,400,0
ro,Romanian,,,Română,TRUE,translate/lang_ro,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,390,0
ru,Russian,,,Русский,TRUE,translate/lang_ru,common_font_01.ttf,1,1,1,FALSE,380,0
sm,Samoan,,,Samoa,TRUE,translate/lang_sm,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,370,0
sa,Sanskrit,,,संस्कृत,TRUE,translate/lang_sa,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,360,0
gd,Scots Gaelic,,,Gàidhlig na h-Alba,TRUE,translate/lang_gd,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,350,0
sr,Serbian,,,Српски,TRUE,translate/lang_sr,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,340,0
st,Sesotho,,,Sesotho,TRUE,translate/lang_st,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,330,0
sn,Shona,,,Shona,TRUE,translate/lang_sn,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,320,0
sd,Sindhi,,,سنڌي,TRUE,translate/lang_sd,ibm_plex_sans_arabic_regular.ttf,1,1,1,TRUE,310,0
si,Sinhala,,,සිංහල,TRUE,translate/lang_si,noto_sans_sinhala_regular.ttf,0.8,0.8,0.8,FALSE,300,0
sk,Slovak,,,slovenský,TRUE,translate/lang_sk,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,290,0
sl,Slovenian,,,Slovenščina,TRUE,translate/lang_sl,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,280,0
so,Somali,,,Soomaali,TRUE,translate/lang_so,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,270,0
es,Spanish,,,español,TRUE,translate/lang_es,common_font_01_ja.ttf,0.7,0.75,0.82,FALSE,260,11
su,Sundanese,,,basa Sunda,TRUE,translate/lang_su,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,250,0
sw,Swahili,,,kiswahili,TRUE,translate/lang_sw,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,240,0
sv,Swedish,,,svenska,TRUE,translate/lang_sv,common_font_01.ttf,1,1,1,FALSE,230,0
tg,Tajik,,,тоҷикӣ,TRUE,translate/lang_tg,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,220,0
ta,Tamil,,,தமிழ்,TRUE,translate/lang_ta,noto_sans_tamil_regular.ttf,0.8,0.8,0.8,FALSE,210,0
tt,Tatar,,,Татар,TRUE,translate/lang_tt,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,200,0
te,Telugu,,,తెలుగు,TRUE,translate/lang_te,noto_sans_telugu_regular.ttf,0.8,0.8,0.8,FALSE,190,0
th,Thai,,,ภาษาไทย,TRUE,translate/lang_th,common_font_01_th.ttf,0.8,0.8,0.8,FALSE,180,12
ti,Tigrinya,,,ትግሪኛ,TRUE,translate/lang_ti,noto_sans_ethiopic_regular.ttf,0.8,0.8,0.8,FALSE,170,0
ts,Tsonga,,,Tsonga,TRUE,translate/lang_ts,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,160,0
tr,Turkish,,,Türkçe,TRUE,translate/lang_tr,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,150,0
tk,Turkmen,,,Türkmenler,TRUE,translate/lang_tk,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,140,0
uk,Ukrainian,,,українська,TRUE,translate/lang_uk,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,130,0
ur,Urdu,,,اردو,TRUE,translate/lang_ur,ibm_plex_sans_arabic_regular.ttf,1,1,1,TRUE,120,0
ug,Uyghur,,,ئۇيغۇر,TRUE,translate/lang_ug,ibm_plex_sans_arabic_regular.ttf,1,1,1,TRUE,110,0
uz,Uzbek,,,o'zbek,TRUE,translate/lang_uz,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,100,0
vi,Vietnamese,,,Tiếng Việt,TRUE,translate/lang_vi,common_font_01.ttf,1,1,1,FALSE,90,0
cy,Welsh,,,Cymraeg,TRUE,translate/lang_cy,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,80,0
xh,Xhosa,,,isiXhosa,TRUE,translate/lang_xh,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,70,0
yi,Yiddish,,,יידיש,TRUE,translate/lang_yi,noto_sans_hebrew_regular.ttf,1,1,1,TRUE,60,0
yo,Yoruba,,,Yoruba,TRUE,translate/lang_yo,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,50,0
zu,Zulu,,,Zulu,TRUE,translate/lang_zu,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,40,0
he,Hebrew,,,עִברִית,TRUE,translate/lang_he,noto_sans_hebrew_regular.ttf,1,1,1,TRUE,30,0
jv,Javanese,,,basa jawa,TRUE,translate/lang_jv,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,20,0
zh-CN,Chinese (Simplified),zh-hans,,中文(简体),TRUE,translate/lang_zh-CN,common_font_01_cn.ttc,0.8,0.8,0.8,FALSE,10,0
Egy Hiero,,,,,FALSE,,noto_sans_egyptian_hieroglyphs_regular.ttf,1,1,1,FALSE,-100,0
Anatolian Hiero,,,,,FALSE,,noto_sans_anatolian_hieroglyphs_regular.ttf,1,1,1,FALSE,-100,0
Canadian Syllabics,,,,,FALSE,,noto_sans_canadian_aboriginal_regular.ttf,1,1,1,FALSE,-100,0
Runic Alphabet,,,,,FALSE,,noto_sans_runic_regular.ttf,1,1,1,FALSE,-100,0
