sid,r_d_name,r_s_name,res_1,delay_1,res_2,delay_2
200813,불 리프드래곤,드래그 스킬,sfx_claw,0;0.15;0.3,,
200814,빛 리프드래곤,드래그 스킬,sfx_claw,0;0.15;0.3,,
200815,어둠 리프드래곤,드래그 스킬,sfx_claw,0;0.15;0.3,,
200821,땅 리프드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200822,물 리프드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200823,불 리프드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200824,빛 리프드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200825,어둠 리프드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200831,땅 리프드래곤,패시브 2,,,,
200832,물 리프드래곤,패시브 2,,,,
200833,불 리프드래곤,패시브 2,,,,
200834,빛 리프드래곤,패시브 2,,,,
200835,어둠 리프드래곤,패시브 2,,,,
200841,땅 리프드래곤,드래그 강화,,,,
200842,물 리프드래곤,드래그 강화,,,,
200843,불 리프드래곤,드래그 강화,,,,
200844,빛 리프드래곤,드래그 강화,,,,
200845,어둠 리프드래곤,드래그 강화,,,,
200911,땅 테일 드래곤,드래그 스킬,sfx_thunderbolt,0,,
200912,물 테일 드래곤,드래그 스킬,sfx_thunderbolt,0,,
200913,불 테일 드래곤,드래그 스킬,sfx_thunderbolt,0,,
200914,빛 테일 드래곤,드래그 스킬,sfx_thunderbolt,0,,
200915,어둠 테일 드래곤,드래그 스킬,sfx_thunderbolt,0,,
200921,땅 테일 드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200922,물 테일 드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200923,불 테일 드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200924,빛 테일 드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200925,어둠 테일 드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
200931,땅 테일 드래곤,패시브 2,,,,
200932,물 테일 드래곤,패시브 2,,,,
200933,불 테일 드래곤,패시브 2,,,,
200934,빛 테일 드래곤,패시브 2,,,,
200935,어둠 테일 드래곤,패시브 2,,,,
200941,땅 테일 드래곤,스탯 강화,,,,
200942,물 테일 드래곤,스탯 강화,,,,
200943,불 테일 드래곤,스탯 강화,,,,
200944,빛 테일 드래곤,스탯 강화,,,,
200945,어둠 테일 드래곤,스탯 강화,,,,
201011,땅 빙하고룡,드래그 스킬,sfx_breath_ice,0,,
201012,물 빙하고룡,드래그 스킬,sfx_breath_ice,0,,
201014,빛 빙하고룡,드래그 스킬,sfx_breath_ice,0,,
201015,어둠 빙하고룡,드래그 스킬,sfx_breath_ice,0,,
201021,땅 빙하고룡,패시브 1,,,,
201022,물 빙하고룡,패시브 1,,,,
201024,빛 빙하고룡,패시브 1,,,,
201025,어둠 빙하고룡,패시브 1,,,,
201031,땅 빙하고룡,패시브 2,,,,
201032,물 빙하고룡,패시브 2,,,,
201034,빛 빙하고룡,패시브 2,,,,
201035,어둠 빙하고룡,패시브 2,,,,
201041,땅 빙하고룡,드래그 강화,sfx_breath_ice,0,,
201042,물 빙하고룡,드래그 강화,sfx_breath_ice,0,,
201044,빛 빙하고룡,드래그 강화,sfx_breath_ice,0,,
201045,어둠 빙하고룡,드래그 강화,sfx_breath_ice,0,,
201051,땅 빙하고룡,리더 스킬,,,,
201052,물 빙하고룡,리더 스킬,,,,
201054,빛 빙하고룡,리더 스킬,,,,
201055,어둠 빙하고룡,리더 스킬,,,,
201111,땅 페어리드래곤,드래그 스킬,sfx_buff_get_2,0,,
201112,물 페어리드래곤,드래그 스킬,sfx_buff_get_2,0,,
201113,불 페어리드래곤,드래그 스킬,sfx_buff_get_2,0,,
201114,빛 페어리드래곤,드래그 스킬,sfx_buff_get_2,0,,
201115,어둠 페어리드래곤,드래그 스킬,sfx_buff_get_2,0,,
201121,땅 페어리드래곤,패시브 1,,,,
201122,물 페어리드래곤,패시브 1,,,,
201123,불 페어리드래곤,패시브 1,,,,
201124,빛 페어리드래곤,패시브 1,,,,
201125,어둠 페어리드래곤,패시브 1,,,,
201131,땅 페어리드래곤,패시브 2,,,,
201132,물 페어리드래곤,패시브 2,,,,
201133,불 페어리드래곤,패시브 2,,,,
201134,빛 페어리드래곤,패시브 2,,,,
201135,어둠 페어리드래곤,패시브 2,,,,
201141,땅 페어리드래곤,드래그 강화,sfx_buff_get_2,0,,
201142,물 페어리드래곤,드래그 강화,sfx_buff_get_2,0,,
201143,불 페어리드래곤,드래그 강화,sfx_buff_get_2,0,,
201144,빛 페어리드래곤,드래그 강화,sfx_buff_get_2,0,,
201145,어둠 페어리드래곤,드래그 강화,,,,
201212,물 사이커드래곤,드래그 스킬,sfx_wave,0,,
201213,불 사이커드래곤,드래그 스킬,sfx_wave,0,,
201214,빛 사이커드래곤,드래그 스킬,sfx_wave,0,,
201215,어둠 사이커드래곤,드래그 스킬,sfx_wave,0,,
201222,물 사이커드래곤,패시브 1,sfx_heal,0.2,,
201223,불 사이커드래곤,패시브 1,sfx_heal,0.2,,
201224,빛 사이커드래곤,패시브 1,sfx_heal,0.2,,
201225,어둠 사이커드래곤,패시브 1,sfx_heal,0.2,,
201232,물 사이커드래곤,패시브 2,,,,
201233,불 사이커드래곤,패시브 2,,,,
201234,빛 사이커드래곤,패시브 2,,,,
201235,어둠 사이커드래곤,패시브 2,,,,
201242,물 사이커드래곤,스탯 강화,,,,
201243,불 사이커드래곤,드래그 강화,,,,
201244,빛 사이커드래곤,드래그 강화,,,,
201245,어둠 사이커드래곤,스탯 강화,,,,
201411,땅 퍼플립스드래곤,드래그 스킬,sfx_wave,0,,
201412,물 퍼플립스드래곤,드래그 스킬,sfx_wave,0,,
201413,불 퍼플립스드래곤,드래그 스킬,sfx_wave,0,,
201414,빛 퍼플립스드래곤,드래그 스킬,sfx_wave,0,,
201415,어둠 퍼플립스드래곤,드래그 스킬,sfx_wave,0,,
201421,땅 퍼플립스드래곤,패시브 1,,,,
201422,물 퍼플립스드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
201423,불 퍼플립스드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
201424,빛 퍼플립스드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
201425,어둠 퍼플립스드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
201431,땅 퍼플립스드래곤,패시브 2,sfx_wind,0;0.15;0.3,,
201432,물 퍼플립스드래곤,패시브 2,sfx_wave,0;1;2,,
201433,불 퍼플립스드래곤,패시브 2,sfx_wave,0;1;2,,
201434,빛 퍼플립스드래곤,패시브 2,sfx_wave,0;1;2,,
201435,어둠 퍼플립스드래곤,패시브 2,sfx_wave,0;1;2,,
201441,땅 퍼플립스드래곤,스탯 강화,,,,
201442,물 퍼플립스드래곤,스탯 강화,,,,
201443,불 퍼플립스드래곤,스탯 강화,,,,
201444,빛 퍼플립스드래곤,스탯 강화,,,,
201445,어둠 퍼플립스드래곤,스탯 강화,,,,
201511,땅 변종에그드래곤,드래그 스킬,sfx_explosion_small,1,,
201512,물 변종에그드래곤,드래그 스킬,sfx_explosion_small,1,,
201513,불 변종에그드래곤,드래그 스킬,sfx_explosion_small,1,,
201514,빛 변종에그드래곤,드래그 스킬,sfx_explosion_small,1,,
201515,어둠 변종에그드래곤,드래그 스킬,sfx_explosion_small,1,,
201521,땅 변종에그드래곤,패시브 1,,,,
201522,물 변종에그드래곤,패시브 1,,,,
201523,불 변종에그드래곤,패시브 1,,,,
201524,빛 변종에그드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
201525,어둠 변종에그드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
201531,땅 변종에그드래곤,패시브 2,sfx_wind,0;0.15;0.3,,
201532,물 변종에그드래곤,패시브 2,sfx_heal,0.2,,
201533,불 변종에그드래곤,패시브 2,,,,
201534,빛 변종에그드래곤,패시브 2,,,,
201535,어둠 변종에그드래곤,패시브 2,,,,
201541,땅 변종에그드래곤,스탯 강화,,,,
201542,물 변종에그드래곤,스탯 강화,,,,
201543,불 변종에그드래곤,스탯 강화,,,,
201544,빛 변종에그드래곤,스탯 강화,,,,
201545,어둠 변종에그드래곤,스탯 강화,,,,
201611,땅 핑크벨,드래그 스킬,sfx_heal,0.2,,
201612,물 핑크벨,드래그 스킬,sfx_heal,0.2,,
201613,불 핑크벨,드래그 스킬,sfx_heal,0.2,,
201614,빛 핑크벨,드래그 스킬,sfx_heal,0.2,,
201615,어둠 핑크벨,드래그 스킬,sfx_heal,0.2,,
201621,땅 핑크벨,패시브 1,sfx_heal,0.2,,
201622,물 핑크벨,패시브 1,sfx_wind,0;0.15;0.3,,
201623,불 핑크벨,패시브 1,sfx_wind,0;0.15;0.3,,
201624,빛 핑크벨,패시브 1,sfx_wind,0;0.15;0.3,,
201625,어둠 핑크벨,패시브 1,sfx_wind,0;0.15;0.3,,
201631,땅 핑크벨,패시브 2,,,,
201632,물 핑크벨,패시브 2,sfx_heal,0.2,,
201633,불 핑크벨,패시브 2,sfx_heal,0.2,,
201634,빛 핑크벨,패시브 2,sfx_heal,0.2,,
201635,어둠 핑크벨,패시브 2,sfx_heal,0.2,,
201641,땅 핑크벨,드래그 강화,sfx_heal,0.2,,
201642,물 핑크벨,드래그 강화,,,,
201643,불 핑크벨,드래그 강화,,,,
201644,빛 핑크벨,드래그 강화,,,,
201645,어둠 핑크벨,드래그 강화,,,,
201712,물 에일리언 드래곤,드래그 스킬,sfx_explosion_big,1,,
201713,불 에일리언 드래곤,드래그 스킬,sfx_explosion_big,1,,
201714,빛 에일리언드래곤,드래그 스킬,sfx_explosion_big,1,,
201715,어둠 에일리언드래곤,드래그 스킬,sfx_explosion_big,1,,
201722,물 에일리언 드래곤,패시브 1,,,,
201723,불 에일리언 드래곤,패시브 1,,,,
201724,빛 에일리언드래곤,패시브 1,,,,
201725,어둠 에일리언드래곤,패시브 1,,,,
201732,물 에일리언 드래곤,패시브 2,,,,
201733,불 에일리언 드래곤,패시브 2,sfx_breath_laser,0,,
201734,빛 에일리언드래곤,패시브 2,,,,
201735,어둠 에일리언드래곤,패시브 2,,,,
201742,물 에일리언 드래곤,드래그 강화,sfx_explosion_big,1,,
201743,불 에일리언 드래곤,드래그 강화,sfx_explosion_big,1,,
201744,빛 에일리언드래곤,드래그 강화,sfx_explosion_big,1,,
201745,어둠 에일리언드래곤,드래그 강화,sfx_explosion_big,1,,
201811,땅 청룡,드래그 스킬,sfx_thunderbolt,0.2,,
201812,물 청룡,드래그 스킬,sfx_thunderbolt,0.2,,
201813,불 청룡,드래그 스킬,sfx_thunderbolt,0.2,,
201814,빛 청룡,드래그 스킬,sfx_thunderbolt,0.2,,
201815,어둠 청룡,드래그 스킬,sfx_thunderbolt,0.2,,
201821,땅 청룡,패시브 1,sfx_wind,0;0.15;0.3,,
201822,물 청룡,패시브 1,sfx_wind,0;0.15;0.3,,
201823,불 청룡,패시브 1,sfx_wind,0;0.15;0.3,,
201824,빛 청룡,패시브 1,sfx_wind,0;0.15;0.3,,
201825,어둠 청룡,패시브 1,sfx_wind,0;0.15;0.3,,
201831,땅 청룡,패시브 2,,,,
201832,물 청룡,패시브 2,,,,
201833,불 청룡,패시브 2,,,,
201834,빛 청룡,패시브 2,,,,
201835,어둠 청룡,패시브 2,,,,
201841,땅 청룡,드래그 강화,sfx_thunderbolt,0.2,,
201842,물 청룡,드래그 강화,sfx_thunderbolt,0.2,,
201843,불 청룡,드래그 강화,sfx_thunderbolt,0.2,,
201844,빛 청룡,드래그 강화,sfx_thunderbolt,0.2,,
201845,어둠 청룡,드래그 강화,sfx_thunderbolt,0.2,,
201911,땅 리티오,드래그 스킬,sfx_heal,0.2,,
201912,물 리티오,드래그 스킬,sfx_heal,0.2,,
201913,불 리티오,드래그 스킬,sfx_heal,0.2,,
201914,빛 리티오,드래그 스킬,sfx_heal,0.2,,
201915,어둠 리티오,드래그 스킬,sfx_heal,0.2,,
201921,땅 리티오,패시브 1,,,,
201922,물 리티오,패시브 1,sfx_heal,0.2,,
201923,불 리티오,패시브 1,sfx_heal,0.2,,
201924,빛 리티오,패시브 1,,,,
201925,어둠 리티오,패시브 1,sfx_heal,0.2,,
201931,땅 리티오,패시브 2,sfx_heal,0.2,,
201932,물 리티오,패시브 2,sfx_heal,0.2,,
201933,불 리티오,패시브 2,sfx_heal,0.2,,
201934,빛 리티오,패시브 2,sfx_heal,0.2,,
201935,어둠 리티오,패시브 2,sfx_heal,0.2,,
201941,땅 리티오,스탯 강화,,,,
201942,물 리티오,스탯 강화,,,,
201943,불 리티오,스탯 강화,,,,
201944,빛 리티오,스탯 강화,,,,
201945,어둠 리티오,스탯 강화,,,,
202011,땅 허리케인,드래그 스킬,sfx_hurricane,0,,
202012,물 허리케인,드래그 스킬,sfx_hurricane,0,,
202013,불 허리케인,드래그 스킬,sfx_hurricane,0,,
202014,빛 허리케인,드래그 스킬,sfx_hurricane,0,,
202021,땅 허리케인,패시브 1,sfx_wind,0;0.15;0.3,,
202022,물 허리케인,패시브 1,sfx_wind,0;0.15;0.3,,
202023,불 허리케인,패시브 1,,,,
202024,빛 허리케인,패시브 1,,,,
202031,땅 허리케인,패시브 2,,,,
202032,물 허리케인,패시브 2,,,,
202033,불 허리케인,패시브 2,,,,
202034,빛 허리케인,패시브 2,sfx_wind,0;0.15;0.3,,
202041,땅 허리케인,드래그 강화,sfx_hurricane,0,,
202042,물 허리케인,드래그 강화,sfx_hurricane,0,,
202043,불 허리케인,드래그 강화,sfx_hurricane,0,,
202044,빛 허리케인,드래그 강화,sfx_hurricane,0,,
202051,땅 허리케인,리더 스킬,,,,
202052,물 허리케인,리더 스킬,,,,
202053,불 허리케인,리더 스킬,,,,
202054,빛 허리케인,리더 스킬,,,,
202112,물 가루다,드래그 스킬,sfx_wind,0,,
202113,불 가루다,드래그 스킬,sfx_wind,0,,
202114,빛 가루다,드래그 스킬,sfx_wind,0,,
202115,어둠 가루다,드래그 스킬,sfx_wind,0,,
202122,물 가루다,패시브 1,,,,
202123,불 가루다,패시브 1,sfx_wind,0;0.15;0.3,,
202124,빛 가루다,패시브 1,,,,
202125,어둠 가루다,패시브 1,sfx_wind,0;0.15;0.3,,
202132,물 가루다,패시브 2,,,,
202133,불 가루다,패시브 2,,,,
202134,빛 가루다,패시브 2,,,,
202135,어둠 가루다,패시브 2,,,,
202142,물 가루다,드래그 강화,sfx_wind,0,,
202143,불 가루다,드래그 강화,sfx_wind,0,,
202144,빛 가루다,드래그 강화,sfx_wind,0,,
202145,어둠 가루다,드래그 강화,sfx_wind,0,,
202152,물 가루다,리더 스킬,,,,
202153,불 가루다,리더 스킬,,,,
202154,빛 가루다,리더 스킬,,,,
202155,어둠 가루다,리더 스킬,,,,
202211,땅 번개고룡,드래그 스킬,sfx_breath_thunderbolt,0,,
202213,불 번개고룡,드래그 스킬,sfx_breath_thunderbolt,0,,
202214,빛 번개고룡,드래그 스킬,sfx_breath_thunderbolt,0,,
202215,어둠 번개고룡,드래그 스킬,sfx_breath_thunderbolt,0,,
202221,땅 번개고룡,패시브 1,sfx_thunderbolt,0,,
202223,불 번개고룡,패시브 1,sfx_thunderbolt,0,,
202224,빛 번개고룡,패시브 1,sfx_thunderbolt,0,,
202225,어둠 번개고룡,패시브 1,sfx_thunderbolt,0,,
202231,땅 번개고룡,패시브 2,,,,
202233,불 번개고룡,패시브 2,,,,
202234,빛 번개고룡,패시브 2,,,,
202235,어둠 번개고룡,패시브 2,,,,
202241,땅 번개고룡,드래그 강화,sfx_breath_thunderbolt,0,,
202243,불 번개고룡,드래그 강화,sfx_breath_thunderbolt,0,,
202244,빛 번개고룡,드래그 강화,sfx_breath_thunderbolt,0,,
202245,어둠 번개고룡,드래그 강화,sfx_breath_thunderbolt,0,,
202311,땅 자룡,드래그 스킬,sfx_breath_fire,0,,
202312,물 자룡,드래그 스킬,sfx_breath_fire,0,,
202313,불 자룡,드래그 스킬,sfx_breath_fire,0,,
202314,빛 자룡,드래그 스킬,sfx_breath_fire,0,,
202315,어둠 자룡,드래그 스킬,sfx_breath_fire,0,,
202321,땅 자룡,패시브 1,,,,
202322,물 자룡,패시브 1,,,,
202323,불 자룡,패시브 1,,,,
202324,빛 자룡,패시브 1,,,,
202325,어둠 자룡,패시브 1,,,,
202331,땅 자룡,패시브 2,,,,
202332,물 자룡,패시브 2,,,,
202333,불 자룡,패시브 2,,,,
202334,빛 자룡,패시브 2,sfx_wind,0;0.15;0.3,,
202335,어둠 자룡,패시브 2,sfx_wind,0;0.15;0.3,,
202341,땅 자룡,스탯 강화,,,,
202342,물 자룡,스탯 강화,,,,
202343,불 자룡,스탯 강화,,,,
202344,빛 자룡,스탯 강화,,,,
202345,어둠 자룡,스탯 강화,,,,
202411,땅 파이거,드래그 스킬,sfx_wind,0,,
202412,물 파이거,드래그 스킬,sfx_wind,0,,
202413,불 파이거,드래그 스킬,sfx_wind,0,,
202414,빛 파이거,드래그 스킬,sfx_wind,0,,
202421,땅 파이거,패시브 1,sfx_blackhole,0;0.15;0.3,,
202422,물 파이거,패시브 1,sfx_blackhole,0;0.15;0.3,,
202423,불 파이거,패시브 1,sfx_blackhole,0;0.15;0.3,,
202424,빛 파이거,패시브 1,sfx_blackhole,0;0.15;0.3,,
202431,땅 파이거,패시브 2,,,,
202432,물 파이거,패시브 2,,,,
202433,불 파이거,패시브 2,,,,
202434,빛 파이거,패시브 2,,,,
202441,땅 파이거,드래그 강화,sfx_wind,0,,
202442,물 파이거,드래그 강화,sfx_wind,0,,
202443,불 파이거,드래그 강화,sfx_wind,0,,
202444,빛 파이거,드래그 강화,sfx_wind,0,,
202711,땅 붐버,드래그 스킬,sfx_explosion_big,0.5,,
202712,물 붐버,드래그 스킬,sfx_explosion_big,0.5,,
202713,불 붐버,드래그 스킬,sfx_explosion_big,0.5,,
202714,빛 붐버,드래그 스킬,sfx_explosion_big,0.5,,
202715,어둠 붐버,드래그 스킬,sfx_explosion_big,0.5,,
202721,땅 붐버,패시브 1,,,,
202722,물 붐버,패시브 1,,,,
202723,불 붐버,패시브 1,,,,
202724,빛 붐버,패시브 1,,,,
202725,어둠 붐버,패시브 1,,,,
202731,땅 붐버,패시브 2,sfx_explosion_big,1,,
202732,물 붐버,패시브 2,sfx_explosion_big,1,,
202733,불 붐버,패시브 2,sfx_explosion_big,1,,
202734,빛 붐버,패시브 2,sfx_explosion_big,1,,
202735,어둠 붐버,패시브 2,sfx_explosion_big,1,,
202741,땅 붐버,스탯 강화,,,,
202742,물 붐버,스탯 강화,,,,
202743,불 붐버,스탯 강화,,,,
202744,빛 붐버,스탯 강화,,,,
202745,어둠 붐버,스탯 강화,,,,
202914,빛 고대신룡,드래그 스킬,sfx_breath_laser,0,,
202915,어둠 고대신룡,드래그 스킬,sfx_breath_laser,0,,
202924,빛 고대신룡,패시브 1,,,,
202925,어둠 고대신룡,패시브 1,,,,
202934,빛 고대신룡,패시브 2,,,,
202935,어둠 고대신룡,패시브 2,,,,
202944,빛 고대신룡,드래그 강화,sfx_breath_laser,0,,
202945,어둠 고대신룡,드래그 강화,sfx_breath_laser,0,,
202954,빛 고대신룡,리더 스킬,,,,
202955,어둠 고대신룡,리더 스킬,,,,
203011,땅 삐에로드래곤,드래그 스킬,sfx_wind,0;0.15;0.3;0.45;0.6,,
203012,물 삐에로드래곤,드래그 스킬,sfx_wind,0;0.15;0.3;0.45;0.6,,
203013,불 삐에로드래곤,드래그 스킬,sfx_wind,0;0.15;0.3;0.45;0.6,,
203014,빛 삐에로드래곤,드래그 스킬,sfx_wind,0;0.15;0.3;0.45;0.6,,
203015,어둠 삐에로드래곤,드래그 스킬,sfx_wind,0;0.15;0.3;0.45;0.6,,
203021,땅 삐에로드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
203022,물 삐에로드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
203023,불 삐에로드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
203024,빛 삐에로드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
203025,어둠 삐에로드래곤,패시브 1,sfx_wind,0;0.15;0.3,,
203031,땅 삐에로드래곤,패시브 2,sfx_wind,0;0.15;0.3,,
203032,물 삐에로드래곤,패시브 2,sfx_wind,0;0.15;0.3,,
203033,불 삐에로드래곤,패시브 2,sfx_wind,0;0.15;0.3,,
203034,빛 삐에로드래곤,패시브 2,sfx_wind,0;0.15;0.3,,
203035,어둠 삐에로드래곤,패시브 2,sfx_wind,0;0.15;0.3,,
203041,땅 삐에로드래곤,드래그 강화,,,,
203042,물 삐에로드래곤,드래그 강화,sfx_wind,0;0.15;0.3;0.45;0.6,,
203043,불 삐에로드래곤,드래그 강화,sfx_wind,0;0.15;0.3;0.45;0.6,,
203044,빛 삐에로드래곤,드래그 강화,sfx_wind,0;0.15;0.3;0.45;0.6,,
203045,어둠 삐에로드래곤,드래그 강화,,,,
203112,물 파라오드래곤,드래그 스킬,sfx_breath_laser,0.3,,
