slid,sid,r_origin_rarity,r_origin_s_name,r_origin_power_rate,r_goal_powerate,lv,r_dragon,t_name,r_chance_type,r_count_power_rate,col_01,mod_01,val_01,t_desc,col_02,mod_02,val_02,col_03,mod_03,val_03,col_04,mod_04,val_04,col_05,mod_05,val_05
20223104,202231,legend,패시브 2,,20,4,땅 번개고룡,전광석화,passive,5,add_option_value_1,add,4,회피 12 및 치명 확률 6% 증가,add_option_value_2,add,2,,,,,,,,,
20223105,202231,legend,패시브 2,,20,5,땅 번개고룡,전광석화,passive,2.5,add_option_value_1,add,8,회피 20 및 치명 확률 10% 증가,add_option_value_2,add,4,,,,,,,,,
20221301,202213,legend,드래그 스킬,486,243,1,불 번개고룡,뇌룡포,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20221302,202213,legend,드래그 스킬,486,243,2,불 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 10% 증가,,,,,,,,,,,,
20221303,202213,legend,드래그 스킬,486,243,3,불 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 20% 증가,,,,,,,,,,,,
20221304,202213,legend,드래그 스킬,486,243,4,불 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 30% 증가,,,,,,,,,,,,
20221305,202213,legend,드래그 스킬,486,243,5,불 번개고룡,뇌룡포,active,2.5,power_rate,add,97,스킬의 피해량 50% 증가,,,,,,,,,,,,
20222301,202223,legend,패시브 1,360,180,1,불 번개고룡,고룡의 권능,basic_rate,5,,,,강화 효과 없음,,,,,,,,,,,,
20222302,202223,legend,패시브 1,360,180,2,불 번개고룡,고룡의 권능,basic_rate,5,power_rate,add,36,스킬의 피해량 10% 증가,,,,,,,,,,,,
20222303,202223,legend,패시브 1,360,180,3,불 번개고룡,고룡의 권능,basic_rate,5,power_rate,add,36,스킬의 피해량 20% 증가,,,,,,,,,,,,
20222304,202223,legend,패시브 1,360,180,4,불 번개고룡,고룡의 권능,basic_rate,5,power_rate,add,36,스킬의 피해량 30% 증가,,,,,,,,,,,,
20222305,202223,legend,패시브 1,360,180,5,불 번개고룡,고룡의 권능,basic_rate,2.5,power_rate,add,72,스킬의 피해량 50% 증가,,,,,,,,,,,,
20223301,202233,legend,패시브 2,,,1,불 번개고룡,가속화,basic_rate,0,,,,강화 효과 없음,,,,,,,,,,,,
20223302,202233,legend,패시브 2,,,2,불 번개고룡,가속화,basic_rate,0,chance_value,add,1,발동 확률 1% 증가,,,,,,,,,,,,
20223303,202233,legend,패시브 2,,,3,불 번개고룡,가속화,basic_rate,0,chance_value,add,1,발동 확률 2% 증가,,,,,,,,,,,,
20223304,202233,legend,패시브 2,,,4,불 번개고룡,가속화,basic_rate,0,chance_value,add,1,발동 확률 3% 증가,,,,,,,,,,,,
20223305,202233,legend,패시브 2,,,5,불 번개고룡,가속화,basic_rate,0,chance_value,add,2,발동 확률 5% 증가,,,,,,,,,,,,
20221401,202214,legend,드래그 스킬,486,243,1,빛 번개고룡,뇌룡포,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20221402,202214,legend,드래그 스킬,486,243,2,빛 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 10% 증가,,,,,,,,,,,,
20221403,202214,legend,드래그 스킬,486,243,3,빛 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 20% 증가,,,,,,,,,,,,
20221404,202214,legend,드래그 스킬,486,243,4,빛 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 30% 증가,,,,,,,,,,,,
20221405,202214,legend,드래그 스킬,486,243,5,빛 번개고룡,뇌룡포,active,2.5,power_rate,add,97,스킬의 피해량 50% 증가,,,,,,,,,,,,
20222401,202224,legend,패시브 1,216,108,1,빛 번개고룡,고룡의 권능,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20222402,202224,legend,패시브 1,216,108,2,빛 번개고룡,고룡의 권능,indie_time,5,power_rate,add,22,스킬의 피해량 10% 증가,,,,,,,,,,,,
20222403,202224,legend,패시브 1,216,108,3,빛 번개고룡,고룡의 권능,indie_time,5,power_rate,add,22,스킬의 피해량 20% 증가,,,,,,,,,,,,
20222404,202224,legend,패시브 1,216,108,4,빛 번개고룡,고룡의 권능,indie_time,5,power_rate,add,22,스킬의 피해량 30% 증가,,,,,,,,,,,,
20222405,202224,legend,패시브 1,216,108,5,빛 번개고룡,고룡의 권능,indie_time,2.5,power_rate,add,43,스킬의 피해량 50% 증가,,,,,,,,,,,,
20223401,202234,legend,패시브 2,,20,1,빛 번개고룡,전광석화,passive,5,,,,강화 효과 없음,,,,,,,,,,,,
20223402,202234,legend,패시브 2,,20,2,빛 번개고룡,전광석화,passive,5,add_option_value_1,add,4,회피 4 및 치명 확률 2% 증가,add_option_value_2,add,2,,,,,,,,,
20223403,202234,legend,패시브 2,,20,3,빛 번개고룡,전광석화,passive,5,add_option_value_1,add,4,회피 8 및 치명 확률 4% 증가,add_option_value_2,add,2,,,,,,,,,
20223404,202234,legend,패시브 2,,20,4,빛 번개고룡,전광석화,passive,5,add_option_value_1,add,4,회피 12 및 치명 확률 6% 증가,add_option_value_2,add,2,,,,,,,,,
20223405,202234,legend,패시브 2,,20,5,빛 번개고룡,전광석화,passive,2.5,add_option_value_1,add,8,회피 20 및 치명 확률 10% 증가,add_option_value_2,add,4,,,,,,,,,
20221501,202215,legend,드래그 스킬,486,243,1,어둠 번개고룡,뇌룡포,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20221502,202215,legend,드래그 스킬,486,243,2,어둠 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 10% 증가,,,,,,,,,,,,
20221503,202215,legend,드래그 스킬,486,243,3,어둠 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 20% 증가,,,,,,,,,,,,
20221504,202215,legend,드래그 스킬,486,243,4,어둠 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 30% 증가,,,,,,,,,,,,
20221505,202215,legend,드래그 스킬,486,243,5,어둠 번개고룡,뇌룡포,active,2.5,power_rate,add,97,스킬의 피해량 50% 증가,,,,,,,,,,,,
20222501,202225,legend,패시브 1,504,252,1,어둠 번개고룡,고룡의 권능,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20222502,202225,legend,패시브 1,504,252,2,어둠 번개고룡,고룡의 권능,indie_time,5,power_rate,add,50,스킬의 피해량 10% 증가,,,,,,,,,,,,
20222503,202225,legend,패시브 1,504,252,3,어둠 번개고룡,고룡의 권능,indie_time,5,power_rate,add,50,스킬의 피해량 20% 증가,,,,,,,,,,,,
20222504,202225,legend,패시브 1,504,252,4,어둠 번개고룡,고룡의 권능,indie_time,5,power_rate,add,50,스킬의 피해량 30% 증가,,,,,,,,,,,,
20222505,202225,legend,패시브 1,504,252,5,어둠 번개고룡,고룡의 권능,indie_time,2.5,power_rate,add,101,스킬의 피해량 50% 증가,,,,,,,,,,,,
20223501,202235,legend,패시브 2,,,1,어둠 번개고룡,정기 흡수,enemy_dead,0,,,,강화 효과 없음,,,,,,,,,,,,
20223502,202235,legend,패시브 2,,,2,어둠 번개고룡,정기 흡수,enemy_dead,0,cooldown,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20223503,202235,legend,패시브 2,,,3,어둠 번개고룡,정기 흡수,enemy_dead,0,cooldown,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20223504,202235,legend,패시브 2,,,4,어둠 번개고룡,정기 흡수,enemy_dead,0,cooldown,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20223505,202235,legend,패시브 2,,,5,어둠 번개고룡,정기 흡수,enemy_dead,0,cooldown,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20431101,204311,legend,드래그 스킬,18,9,1,땅 스마트 드래곤,고서의 비밀,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20431102,204311,legend,드래그 스킬,18,9,2,땅 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 10% 증가,,,,,,,,,,,,
20431103,204311,legend,드래그 스킬,18,9,3,땅 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 20% 증가,,,,,,,,,,,,
20431104,204311,legend,드래그 스킬,18,9,4,땅 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 30% 증가,,,,,,,,,,,,
20431105,204311,legend,드래그 스킬,18,9,5,땅 스마트 드래곤,고서의 비밀,active,2.5,power_rate,add,4,스킬의 회복량 50% 증가,,,,,,,,,,,,
20432101,204321,legend,패시브 1,,,1,땅 스마트 드래곤,수업시간,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20432102,204321,legend,패시브 1,,,2,땅 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20432103,204321,legend,패시브 1,,,3,땅 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20432104,204321,legend,패시브 1,,,4,땅 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20432105,204321,legend,패시브 1,,,5,땅 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20433101,204331,legend,패시브 2,540,270,1,땅 스마트 드래곤,고통의 시,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20433102,204331,legend,패시브 2,540,270,2,땅 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20433103,204331,legend,패시브 2,540,270,3,땅 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20433104,204331,legend,패시브 2,540,270,4,땅 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20433105,204331,legend,패시브 2,540,270,5,땅 스마트 드래곤,고통의 시,indie_time,2.5,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20431201,204312,legend,드래그 스킬,720,360,1,물 스마트 드래곤,고서의 비밀,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20431202,204312,legend,드래그 스킬,720,360,2,물 스마트 드래곤,고서의 비밀,active,5,power_rate,add,72,스킬의 회복량 10% 증가,,,,,,,,,,,,
20431203,204312,legend,드래그 스킬,720,360,3,물 스마트 드래곤,고서의 비밀,active,5,power_rate,add,72,스킬의 회복량 20% 증가,,,,,,,,,,,,
20431204,204312,legend,드래그 스킬,720,360,4,물 스마트 드래곤,고서의 비밀,active,5,power_rate,add,72,스킬의 회복량 30% 증가,,,,,,,,,,,,
20431205,204312,legend,드래그 스킬,720,360,5,물 스마트 드래곤,고서의 비밀,active,2.5,power_rate,add,144,스킬의 회복량 50% 증가,,,,,,,,,,,,
20432201,204322,legend,패시브 1,,,1,물 스마트 드래곤,수업시간,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20432202,204322,legend,패시브 1,,,2,물 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20432203,204322,legend,패시브 1,,,3,물 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20432204,204322,legend,패시브 1,,,4,물 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20432205,204322,legend,패시브 1,,,5,물 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20433201,204332,legend,패시브 2,540,270,1,물 스마트 드래곤,고통의 시,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20433202,204332,legend,패시브 2,540,270,2,물 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20433203,204332,legend,패시브 2,540,270,3,물 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20433204,204332,legend,패시브 2,540,270,4,물 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20433205,204332,legend,패시브 2,540,270,5,물 스마트 드래곤,고통의 시,indie_time,2.5,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20431301,204313,legend,드래그 스킬,18,9,1,불 스마트 드래곤,고서의 비밀,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20431302,204313,legend,드래그 스킬,18,9,2,불 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 10% 증가,,,,,,,,,,,,
20431303,204313,legend,드래그 스킬,18,9,3,불 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 20% 증가,,,,,,,,,,,,
20431304,204313,legend,드래그 스킬,18,9,4,불 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 30% 증가,,,,,,,,,,,,
20431305,204313,legend,드래그 스킬,18,9,5,불 스마트 드래곤,고서의 비밀,active,2.5,power_rate,add,4,스킬의 회복량 50% 증가,,,,,,,,,,,,
20432301,204323,legend,패시브 1,,,1,불 스마트 드래곤,수업시간,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20432302,204323,legend,패시브 1,,,2,불 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20432303,204323,legend,패시브 1,,,3,불 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20432304,204323,legend,패시브 1,,,4,불 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20432305,204323,legend,패시브 1,,,5,불 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20433301,204333,legend,패시브 2,540,270,1,불 스마트 드래곤,고통의 시,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20433302,204333,legend,패시브 2,540,270,2,불 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20433303,204333,legend,패시브 2,540,270,3,불 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20433304,204333,legend,패시브 2,540,270,4,불 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20433305,204333,legend,패시브 2,540,270,5,불 스마트 드래곤,고통의 시,indie_time,2.5,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20431401,204314,legend,드래그 스킬,18,9,1,빛 스마트 드래곤,고서의 비밀,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20431402,204314,legend,드래그 스킬,18,9,2,빛 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 10% 증가,,,,,,,,,,,,
20431403,204314,legend,드래그 스킬,18,9,3,빛 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 20% 증가,,,,,,,,,,,,
20431404,204314,legend,드래그 스킬,18,9,4,빛 스마트 드래곤,고서의 비밀,active,5,power_rate,add,2,스킬의 회복량 30% 증가,,,,,,,,,,,,
20431405,204314,legend,드래그 스킬,18,9,5,빛 스마트 드래곤,고서의 비밀,active,2.5,power_rate,add,4,스킬의 회복량 50% 증가,,,,,,,,,,,,
20432401,204324,legend,패시브 1,,,1,빛 스마트 드래곤,수업시간,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20432402,204324,legend,패시브 1,,,2,빛 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20432403,204324,legend,패시브 1,,,3,빛 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20432404,204324,legend,패시브 1,,,4,빛 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20432405,204324,legend,패시브 1,,,5,빛 스마트 드래곤,수업시간,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20433401,204334,legend,패시브 2,,,1,빛 스마트 드래곤,고통의 시,indie_time_short,5,,,,강화 효과 없음,,,,,,,,,,,,
20433402,204334,legend,패시브 2,,,2,빛 스마트 드래곤,고통의 시,indie_time_short,5,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20433403,204334,legend,패시브 2,,,3,빛 스마트 드래곤,고통의 시,indie_time_short,5,chance_value,add,-2,재사용 시간 3초 감소,,,,,,,,,,,,
20433404,204334,legend,패시브 2,,,4,빛 스마트 드래곤,고통의 시,indie_time_short,5,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20433405,204334,legend,패시브 2,,,5,빛 스마트 드래곤,고통의 시,indie_time_short,2.5,chance_value,add,-2,재사용 시간 7초 감소,,,,,,,,,,,,
20431501,204315,legend,드래그 스킬,720,360,1,어둠 스마트 드래곤,고서의 비밀,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20431502,204315,legend,드래그 스킬,720,360,2,어둠 스마트 드래곤,고서의 비밀,active,5,power_rate,add,72,스킬의 회복량 10% 증가,,,,,,,,,,,,
20431503,204315,legend,드래그 스킬,720,360,3,어둠 스마트 드래곤,고서의 비밀,active,5,power_rate,add,72,스킬의 회복량 20% 증가,,,,,,,,,,,,
20431504,204315,legend,드래그 스킬,720,360,4,어둠 스마트 드래곤,고서의 비밀,active,5,power_rate,add,72,스킬의 회복량 30% 증가,,,,,,,,,,,,
20431505,204315,legend,드래그 스킬,720,360,5,어둠 스마트 드래곤,고서의 비밀,active,2.5,power_rate,add,144,스킬의 회복량 50% 증가,,,,,,,,,,,,
20432501,204325,legend,패시브 1,,,1,어둠 스마트 드래곤,수업시간,indie_time,0,,,,강화 효과 없음,,,,,,,,,,,,
20432502,204325,legend,패시브 1,,,2,어둠 스마트 드래곤,수업시간,indie_time,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20432503,204325,legend,패시브 1,,,3,어둠 스마트 드래곤,수업시간,indie_time,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20432504,204325,legend,패시브 1,,,4,어둠 스마트 드래곤,수업시간,indie_time,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20432505,204325,legend,패시브 1,,,5,어둠 스마트 드래곤,수업시간,indie_time,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20433501,204335,legend,패시브 2,360,,1,어둠 스마트 드래곤,고통의 시,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20433502,204335,legend,패시브 2,360,,2,어둠 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20433503,204335,legend,패시브 2,360,,3,어둠 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20433504,204335,legend,패시브 2,360,,4,어둠 스마트 드래곤,고통의 시,indie_time,5,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20433505,204335,legend,패시브 2,360,,5,어둠 스마트 드래곤,고통의 시,indie_time,2.5,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20441301,204413,hero,드래그 스킬,279,140,1,아르주나,드림 비전,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20441302,204413,hero,드래그 스킬,279,140,2,아르주나,드림 비전,active,5,power_rate,add,28,스킬의 피해량 10% 증가,,,,,,,,,,,,
20441303,204413,hero,드래그 스킬,279,140,3,아르주나,드림 비전,active,5,power_rate,add,28,스킬의 피해량 20% 증가,,,,,,,,,,,,
20441304,204413,hero,드래그 스킬,279,140,4,아르주나,드림 비전,active,5,power_rate,add,28,스킬의 피해량 30% 증가,,,,,,,,,,,,
20441305,204413,hero,드래그 스킬,279,140,5,아르주나,드림 비전,active,2.5,power_rate,add,56,스킬의 피해량 50% 증가,,,,,,,,,,,,
20442301,204423,hero,패시브 1,460,230,1,아르주나,성화의 불씨,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20442302,204423,hero,패시브 1,460,230,2,아르주나,성화의 불씨,indie_time,5,power_rate,add,46,스킬의 피해량 10% 증가,,,,,,,,,,,,
20442303,204423,hero,패시브 1,460,230,3,아르주나,성화의 불씨,indie_time,5,power_rate,add,46,스킬의 피해량 20% 증가,,,,,,,,,,,,
20442304,204423,hero,패시브 1,460,230,4,아르주나,성화의 불씨,indie_time,5,power_rate,add,46,스킬의 피해량 30% 증가,,,,,,,,,,,,
20442305,204423,hero,패시브 1,460,230,5,아르주나,성화의 불씨,indie_time,2.5,power_rate,add,92,스킬의 피해량 50% 증가,,,,,,,,,,,,
20443301,204433,hero,패시브 2,345,173,1,아르주나,태우기,basic_turn,5,,,,강화 효과 없음,,,,,,,,,,,,
20443302,204433,hero,패시브 2,345,173,2,아르주나,태우기,basic_turn,5,power_rate,add,35,스킬의 피해량 10% 증가,,,,,,,,,,,,
20443303,204433,hero,패시브 2,345,173,3,아르주나,태우기,basic_turn,5,power_rate,add,35,스킬의 피해량 20% 증가,,,,,,,,,,,,
20443304,204433,hero,패시브 2,345,173,4,아르주나,태우기,basic_turn,5,power_rate,add,35,스킬의 피해량 30% 증가,,,,,,,,,,,,
20443305,204433,hero,패시브 2,345,173,5,아르주나,태우기,basic_turn,2.5,power_rate,add,69,스킬의 피해량 50% 증가,,,,,,,,,,,,
20441401,204414,hero,드래그 스킬,152,76,1,빛 아르주나,드림 비전,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20441402,204414,hero,드래그 스킬,152,76,2,빛 아르주나,드림 비전,active,5,power_rate,add,15,스킬의 피해량 10% 증가,,,,,,,,,,,,
20441403,204414,hero,드래그 스킬,152,76,3,빛 아르주나,드림 비전,active,5,power_rate,add,15,스킬의 피해량 20% 증가,,,,,,,,,,,,
20441404,204414,hero,드래그 스킬,152,76,4,빛 아르주나,드림 비전,active,5,power_rate,add,15,스킬의 피해량 30% 증가,,,,,,,,,,,,
20441405,204414,hero,드래그 스킬,152,76,5,빛 아르주나,드림 비전,active,2.5,power_rate,add,30,스킬의 피해량 50% 증가,,,,,,,,,,,,
20442401,204424,hero,패시브 1,460,230,1,빛 아르주나,성화의 불씨,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20442402,204424,hero,패시브 1,460,230,2,빛 아르주나,성화의 불씨,indie_time,5,power_rate,add,46,스킬의 피해량 10% 증가,,,,,,,,,,,,
20442403,204424,hero,패시브 1,460,230,3,빛 아르주나,성화의 불씨,indie_time,5,power_rate,add,46,스킬의 피해량 20% 증가,,,,,,,,,,,,
20442404,204424,hero,패시브 1,460,230,4,빛 아르주나,성화의 불씨,indie_time,5,power_rate,add,46,스킬의 피해량 30% 증가,,,,,,,,,,,,
20442405,204424,hero,패시브 1,460,230,5,빛 아르주나,성화의 불씨,indie_time,2.5,power_rate,add,92,스킬의 피해량 50% 증가,,,,,,,,,,,,
20443401,204434,hero,패시브 2,460,230,1,빛 아르주나,태우기,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20443402,204434,hero,패시브 2,460,230,2,빛 아르주나,태우기,indie_time,5,power_rate,add,46,스킬의 피해량 10% 증가,,,,,,,,,,,,
20443403,204434,hero,패시브 2,460,230,3,빛 아르주나,태우기,indie_time,5,power_rate,add,46,스킬의 피해량 20% 증가,,,,,,,,,,,,
20443404,204434,hero,패시브 2,460,230,4,빛 아르주나,태우기,indie_time,5,power_rate,add,46,스킬의 피해량 30% 증가,,,,,,,,,,,,
20443405,204434,hero,패시브 2,460,230,5,빛 아르주나,태우기,indie_time,2.5,power_rate,add,92,스킬의 피해량 50% 증가,,,,,,,,,,,,
20451101,204511,legend,드래그 스킬,259,130,1,땅 카르나,천 개의 악몽,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20451102,204511,legend,드래그 스킬,259,130,2,땅 카르나,천 개의 악몽,active,5,power_rate,add,26,스킬의 피해량 10% 증가,,,,,,,,,,,,
20451103,204511,legend,드래그 스킬,259,130,3,땅 카르나,천 개의 악몽,active,5,power_rate,add,26,스킬의 피해량 20% 증가,,,,,,,,,,,,
20451104,204511,legend,드래그 스킬,259,130,4,땅 카르나,천 개의 악몽,active,5,power_rate,add,26,스킬의 피해량 30% 증가,,,,,,,,,,,,
20451105,204511,legend,드래그 스킬,259,130,5,땅 카르나,천 개의 악몽,active,2.5,power_rate,add,52,스킬의 피해량 50% 증가,,,,,,,,,,,,
20452101,204521,legend,패시브 1,1080,540,1,땅 카르나,고통의 사슬,indie_time_short,5,,,,강화 효과 없음,,,,,,,,,,,,
20452102,204521,legend,패시브 1,1080,540,2,땅 카르나,고통의 사슬,indie_time_short,5,power_rate,add,108,스킬의 피해량 10% 증가,,,,,,,,,,,,
20452103,204521,legend,패시브 1,1080,540,3,땅 카르나,고통의 사슬,indie_time_short,5,power_rate,add,108,스킬의 피해량 20% 증가,,,,,,,,,,,,
