product_id,item_id,category,r_name,volume,price_type_1,price_1,price_type_2,price_2,weight,category_rate,lv_limit,r_rate,r_ancient,r_cash,r_gold,r_comment
2000001,,relation_5,전설 드래곤 인연포인트,20,ancient,200,cash,3975,0,1,1;99,100.00%,10.00,198.75,198750.00,19.875
2051021,701121,none,하급 물의 정기,5,gold,1750,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2051022,701122,none,중급 물의 정기,5,gold,7000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2051023,701123,none,상급 물의 정기,5,gold,31500,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2051024,701124,none,최상급 물의 정기,5,gold,157500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2051031,701131,none,하급 불의 정기,5,gold,1750,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2051032,701132,none,중급 불의 정기,5,gold,7000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2051033,701133,none,상급 불의 정기,5,gold,31500,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2051034,701134,none,최상급 불의 정기,5,gold,157500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2051041,701141,none,하급 빛의 정기,5,gold,1750,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2051042,701142,none,중급 빛의 정기,5,gold,7000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2051043,701143,none,상급 빛의 정기,5,gold,31500,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2051044,701144,none,최상급 빛의 정기,5,gold,157500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2051051,701151,none,하급 어둠의 정기,5,gold,1750,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2051052,701152,none,중급 어둠의 정기,5,gold,7000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2051053,701153,none,상급 어둠의 정기,5,gold,31500,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2051054,701154,none,최상급 어둠의 정기,5,gold,157500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2052001,701011,none,하급 진화의 보석,10,gold,1000,,,8,0,1;99,0.80%,0.01,0.10,100.00,
2052002,701012,none,중급 진화의 보석,10,gold,4000,,,8,0,10;99,0.80%,0.02,0.40,400.00,
2052003,701013,none,상급 진화의 보석,10,gold,18000,,,8,0,20;99,0.80%,0.09,1.80,1800.00,
2052004,701014,none,최상급 진화의 보석,10,gold,90000,,,8,0,30;99,0.80%,0.45,9.00,9000.00,
2052011,701111,none,하급 땅의정기,10,gold,3500,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2052012,701112,none,중급 땅의정기,10,gold,14000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2052013,701113,none,상급 땅의 정기,10,gold,63000,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2052014,701114,none,최상급 땅의 정기,10,gold,315000,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2052021,701121,none,하급 물의 정기,10,gold,3500,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2052022,701122,none,중급 물의 정기,10,gold,14000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2052023,701123,none,상급 물의 정기,10,gold,63000,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2052024,701124,none,최상급 물의 정기,10,gold,315000,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2052031,701131,none,하급 불의 정기,10,gold,3500,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2052032,701132,none,중급 불의 정기,10,gold,14000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2052033,701133,none,상급 불의 정기,10,gold,63000,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2052034,701134,none,최상급 불의 정기,10,gold,315000,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2052041,701141,none,하급 빛의 정기,10,gold,3500,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2052042,701142,none,중급 빛의 정기,10,gold,14000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2052043,701143,none,상급 빛의 정기,10,gold,63000,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2052044,701144,none,최상급 빛의 정기,10,gold,315000,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2052051,701151,none,하급 어둠의 정기,10,gold,3500,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2052052,701152,none,중급 어둠의 정기,10,gold,14000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2052053,701153,none,상급 어둠의 정기,10,gold,63000,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2052054,701154,none,최상급 어둠의 정기,10,gold,315000,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2060011,702011,none,하급 땅의 열매,10,gold,7000,,,8,0,1;99,0.80%,0.04,0.70,700.00,
2060012,702021,none,중급 땅의 열매,10,gold,10500,,,8,0,10;99,0.80%,0.05,1.05,1050.00,
2060013,702031,none,상급 땅의 열매,10,gold,14000,,,8,0,20;99,0.80%,0.07,1.40,1400.00,
2060014,702041,none,최상급 땅의 열매,10,gold,17500,,,8,0,30;99,0.80%,0.09,1.75,1750.00,
2060021,702012,none,하급 물의 열매,10,gold,7000,,,8,0,1;99,0.80%,0.04,0.70,700.00,
2060022,702022,none,중급 물의 열매,10,gold,10500,,,8,0,10;99,0.80%,0.05,1.05,1050.00,
2060023,702032,none,상급 물의 열매,10,gold,14000,,,8,0,20;99,0.80%,0.07,1.40,1400.00,
2060024,702042,none,최상급 물의 열매,10,gold,17500,,,8,0,30;99,0.80%,0.09,1.75,1750.00,
2060031,702013,none,하급 불의 열매,10,gold,7000,,,8,0,1;99,0.80%,0.04,0.70,700.00,
2060032,702023,none,중급 불의 열매,10,gold,10500,,,8,0,10;99,0.80%,0.05,1.05,1050.00,
2060033,702033,none,상급 불의 열매,10,gold,14000,,,8,0,20;99,0.80%,0.07,1.40,1400.00,
2060034,702043,none,최상급 불의 열매,10,gold,17500,,,8,0,30;99,0.80%,0.09,1.75,1750.00,
2060041,702014,none,하급 빛의 열매,10,gold,7000,,,8,0,1;99,0.80%,0.04,0.70,700.00,
2060042,702024,none,중급 빛의 열매,10,gold,10500,,,8,0,10;99,0.80%,0.05,1.05,1050.00,
2060043,702034,none,상급 빛의 열매,10,gold,14000,,,8,0,20;99,0.80%,0.07,1.40,1400.00,
2060044,702044,none,최상급 빛의 열매,10,gold,17500,,,8,0,30;99,0.80%,0.09,1.75,1750.00,
2060051,702015,none,하급 어둠의 열매,10,gold,7000,,,8,0,1;99,0.80%,0.04,0.70,700.00,
2060052,702025,none,중급 어둠의 열매,10,gold,10500,,,8,0,10;99,0.80%,0.05,1.05,1050.00,
2060053,702035,none,상급 어둠의 열매,10,gold,14000,,,8,0,20;99,0.80%,0.07,1.40,1400.00,
2060054,702045,none,최상급 어둠의 열매,10,gold,17500,,,8,0,30;99,0.80%,0.09,1.75,1750.00,
2070001,703007,none,대지의 알,1,ancient,15,,,24,0,1;99,2.40%,15.00,450.00,450000.00,고대 주화로만 구매 가능
2070002,703008,none,얼음의 알,1,ancient,15,,,24,0,1;99,2.40%,15.00,450.00,450000.00,고대 주화로만 구매 가능
2070003,703009,none,화염의 알,1,ancient,15,,,24,0,1;99,2.40%,15.00,450.00,450000.00,고대 주화로만 구매 가능
2070004,703010,none,신성의 알,1,ancient,45,,,21,0,1;99,2.10%,45.00,1350.00,1350000.00,고대 주화로만 구매 가능
2070005,703011,none,암흑의 알,1,ancient,45,,,21,0,1;99,2.10%,45.00,1350.00,1350000.00,고대 주화로만 구매 가능
2080001,700002,none,골드 100000개,100000,ancient,5,cash,100,25,0,1;99,2.50%,0.00,0.00,1.00,
2080002,700002,none,골드 500000개,500000,ancient,25,cash,500,25,0,1;99,2.50%,0.00,0.00,1.00,
2080003,700002,none,골드 1000000개,1000000,ancient,50,cash,1000,25,0,1;99,2.50%,0.00,0.00,1.00,
2080004,700101,none,날개 180개,180,ancient,6,cash,120,25,0,1;99,2.50%,0.03,0.67,666.60,
2080005,700101,none,날개 360개,360,ancient,12,cash,240,25,0,1;99,2.50%,0.03,0.67,666.60,
2080006,700101,none,날개 900개,900,ancient,30,cash,600,25,0,1;99,2.50%,0.03,0.67,666.60,
