lv,hp,r_sum_hp,buff,debuff,r_buff
32,13225000,"150,400,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
33,14050000,"164,450,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
34,14900000,"179,350,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
35,15775000,"195,125,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
36,16675000,"211,800,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
37,17600000,"229,400,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
38,18550000,"247,950,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
39,19525000,"267,475,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
40,20525000,"288,000,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
41,21550000,"309,550,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
42,22600000,"332,150,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
43,23675000,"355,825,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
44,24775000,"380,600,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
45,25900000,"406,500,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
46,27050000,"433,550,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
47,28225000,"461,775,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
48,29425000,"491,200,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
49,30650000,"521,850,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
50,31900000,"553,750,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
