stage,reward_first,reward_repeat,bonus_attr,reward_first_fire,reward_repeat_fire,reward_first_water,reward_repeat_water,reward_first_earth,reward_repeat_earth,reward_first_light,reward_repeat_light,reward_first_dark,reward_repeat_dark
1401022,gold;43000,gold;10800,,gold;115000,gold;10800,gold;115000,gold;10800,gold;115000,gold;10800,gold;115000,gold;10800,gold;115000,gold;10800
1401023,gold;46000,gold;11400,,gold;120000,gold;11400,gold;120000,gold;11400,gold;120000,gold;11400,gold;120000,gold;11400,gold;120000,gold;11400
1401024,gold;49000,gold;12000,,gold;125000,gold;12000,gold;125000,gold;12000,gold;125000,gold;12000,gold;125000,gold;12000,gold;125000,gold;12000
1401025,cash;400,gold;12600,,cash;500,gold;12600,cash;500,gold;12600,cash;500,gold;12600,cash;500,gold;12600,cash;500,gold;12600
1401026,gold;52000,gold;13200,,gold;130000,gold;13200,gold;130000,gold;13200,gold;130000,gold;13200,gold;130000,gold;13200,gold;130000,gold;13200
1401027,gold;55000,gold;13200,,gold;135000,gold;13200,gold;135000,gold;13200,gold;135000,gold;13200,gold;135000,gold;13200,gold;135000,gold;13200
1401028,gold;58000,gold;13800,,gold;140000,gold;13800,gold;140000,gold;13800,gold;140000,gold;13800,gold;140000,gold;13800,gold;140000,gold;13800
1401029,gold;61000,gold;14400,,gold;145000,gold;14400,gold;145000,gold;14400,gold;145000,gold;14400,gold;145000,gold;14400,gold;145000,gold;14400
1401030,779255;1,gold;15000,,cash;800,gold;15000,cash;800,gold;15000,cash;800,gold;15000,cash;800,gold;15000,cash;800,gold;15000
1401031,gold;70000,gold;15600,,gold;150000,gold;15600,gold;150000,gold;15600,gold;150000,gold;15600,gold;150000,gold;15600,gold;150000,gold;15600
1401032,gold;75000,gold;15600,,gold;155000,gold;15600,gold;155000,gold;15600,gold;155000,gold;15600,gold;155000,gold;15600,gold;155000,gold;15600
1401033,gold;80000,gold;16200,,gold;160000,gold;16200,gold;160000,gold;16200,gold;160000,gold;16200,gold;160000,gold;16200,gold;160000,gold;16200
1401034,gold;85000,gold;16800,,gold;165000,gold;16800,gold;165000,gold;16800,gold;165000,gold;16800,gold;165000,gold;16800,gold;165000,gold;16800
1401035,cash;800,gold;17400,,cash;1000,gold;17400,cash;1000,gold;17400,cash;1000,gold;17400,cash;1000,gold;17400,cash;1000,gold;17400
1401036,gold;90000,gold;18000,,gold;170000,gold;18000,gold;170000,gold;18000,gold;170000,gold;18000,gold;170000,gold;18000,gold;170000,gold;18000
1401037,gold;95000,gold;18000,,gold;175000,gold;18000,gold;175000,gold;18000,gold;175000,gold;18000,gold;175000,gold;18000,gold;175000,gold;18000
1401038,gold;100000,gold;18600,,gold;180000,gold;18600,gold;180000,gold;18600,gold;180000,gold;18600,gold;180000,gold;18600,gold;180000,gold;18600
1401039,gold;105000,gold;19200,,gold;190000,gold;19200,gold;190000,gold;19200,gold;190000,gold;19200,gold;190000,gold;19200,gold;190000,gold;19200
1401040,704005;1,gold;19800,,cash;1500,gold;19800,cash;1500,gold;19800,cash;1500,gold;19800,cash;1500,gold;19800,cash;1500,gold;19800
1401041,gold;130000,gold;20400,fire,gold;200000,gold;20400,gold;200000,gold;20400,gold;200000,gold;20400,gold;200000,gold;20400,gold;200000,gold;20400
1401042,gold;140000,gold;20400,earth,gold;210000,gold;20400,gold;210000,gold;20400,gold;210000,gold;20400,gold;210000,gold;20400,gold;210000,gold;20400
1401043,gold;150000,gold;21000,water,gold;220000,gold;21000,gold;220000,gold;21000,gold;220000,gold;21000,gold;220000,gold;21000,gold;220000,gold;21000
1401044,gold;160000,gold;21600,dark,gold;230000,gold;21600,gold;230000,gold;21600,gold;230000,gold;21600,gold;230000,gold;21600,gold;230000,gold;21600
1401045,cash;1500,gold;22200,light,703019;1,gold;22200,703019;1,gold;22200,703019;1,gold;22200,703019;1,gold;22200,703019;1,gold;22200
1401046,gold;170000,gold;22800,fire,gold;240000,gold;22800,gold;240000,gold;22800,gold;240000,gold;22800,gold;240000,gold;22800,gold;240000,gold;22800
1401047,gold;180000,gold;22800,earth,gold;260000,gold;22800,gold;260000,gold;22800,gold;260000,gold;22800,gold;260000,gold;22800,gold;260000,gold;22800
1401048,gold;190000,gold;23400,water,gold;280000,gold;23400,gold;280000,gold;23400,gold;280000,gold;23400,gold;280000,gold;23400,gold;280000,gold;23400
1401049,gold;200000,gold;24000,dark,gold;300000,gold;24000,gold;300000,gold;24000,gold;300000,gold;24000,gold;300000,gold;24000,gold;300000,gold;24000
1401050,779255;1,gold;24600,light,703003;1,gold;24600,703003;1,gold;24600,703003;1,gold;24600,703003;1,gold;24600,703003;1,gold;24600
1401051,,,,gold;310000,gold;24600,gold;310000,gold;24600,gold;310000,gold;24600,gold;310000,gold;24600,gold;310000,gold;24600
1401052,,,,gold;312000,gold;24600,gold;312000,gold;24600,gold;312000,gold;24600,gold;312000,gold;24600,gold;312000,gold;24600
1401053,,,,gold;314000,gold;24600,gold;314000,gold;24600,gold;314000,gold;24600,gold;314000,gold;24600,gold;314000,gold;24600
1401054,,,,gold;316000,gold;24600,gold;316000,gold;24600,gold;316000,gold;24600,gold;316000,gold;24600,gold;316000,gold;24600
1401055,,,,cash;1800,gold;24600,cash;1800,gold;24600,cash;1800,gold;24600,cash;1800,gold;24600,cash;1800,gold;24600
1401056,,,,gold;318000,gold;24600,gold;318000,gold;24600,gold;318000,gold;24600,gold;318000,gold;24600,gold;318000,gold;24600
1401057,,,,gold;320000,gold;24600,gold;320000,gold;24600,gold;320000,gold;24600,gold;320000,gold;24600,gold;320000,gold;24600
1401058,,,,gold;322000,gold;24600,gold;322000,gold;24600,gold;322000,gold;24600,gold;322000,gold;24600,gold;322000,gold;24600
1401059,,,,gold;324000,gold;24600,gold;324000,gold;24600,gold;324000,gold;24600,gold;324000,gold;24600,gold;324000,gold;24600
1401060,,,,760005;20,gold;24600,760005;20,gold;24600,760005;20,gold;24600,760005;20,gold;24600,760005;20,gold;24600
1401061,,,,gold;326000,gold;24600,gold;326000,gold;24600,gold;326000,gold;24600,gold;326000,gold;24600,gold;326000,gold;24600
1401062,,,,gold;328000,gold;24600,gold;328000,gold;24600,gold;328000,gold;24600,gold;328000,gold;24600,gold;328000,gold;24600
1401063,,,,gold;330000,gold;24600,gold;330000,gold;24600,gold;330000,gold;24600,gold;330000,gold;24600,gold;330000,gold;24600
1401064,,,,gold;332000,gold;24600,gold;332000,gold;24600,gold;332000,gold;24600,gold;332000,gold;24600,gold;332000,gold;24600
1401065,,,,cash;2100,gold;24600,cash;2100,gold;24600,cash;2100,gold;24600,cash;2100,gold;24600,cash;2100,gold;24600
1401066,,,,gold;334000,gold;24600,gold;334000,gold;24600,gold;334000,gold;24600,gold;334000,gold;24600,gold;334000,gold;24600
1401067,,,,gold;336000,gold;24600,gold;336000,gold;24600,gold;336000,gold;24600,gold;336000,gold;24600,gold;336000,gold;24600
1401068,,,,gold;338000,gold;24600,gold;338000,gold;24600,gold;338000,gold;24600,gold;338000,gold;24600,gold;338000,gold;24600
1401069,,,,gold;340000,gold;24600,gold;340000,gold;24600,gold;340000,gold;24600,gold;340000,gold;24600,gold;340000,gold;24600
1401070,,,,760005;40,gold;24600,760005;40,gold;24600,760005;40,gold;24600,760005;40,gold;24600,760005;40,gold;24600
1401071,,,,gold;342000,gold;24600,gold;342000,gold;24600,gold;342000,gold;24600,gold;342000,gold;24600,gold;342000,gold;24600
1401072,,,,gold;344000,gold;24600,gold;344000,gold;24600,gold;344000,gold;24600,gold;344000,gold;24600,gold;344000,gold;24600
1401073,,,,gold;346000,gold;24600,gold;346000,gold;24600,gold;346000,gold;24600,gold;346000,gold;24600,gold;346000,gold;24600
1401074,,,,gold;348000,gold;24600,gold;348000,gold;24600,gold;348000,gold;24600,gold;348000,gold;24600,gold;348000,gold;24600
1401075,,,,cash;2400,gold;24600,cash;2400,gold;24600,cash;2400,gold;24600,cash;2400,gold;24600,cash;2400,gold;24600
1401076,,,,gold;350000,gold;24600,gold;350000,gold;24600,gold;350000,gold;24600,gold;350000,gold;24600,gold;350000,gold;24600
1401077,,,,gold;352000,gold;24600,gold;352000,gold;24600,gold;352000,gold;24600,gold;352000,gold;24600,gold;352000,gold;24600
1401078,,,,gold;354000,gold;24600,gold;354000,gold;24600,gold;354000,gold;24600,gold;354000,gold;24600,gold;354000,gold;24600
1401079,,,,gold;356000,gold;24600,gold;356000,gold;24600,gold;356000,gold;24600,gold;356000,gold;24600,gold;356000,gold;24600
1401080,,,,760005;60,gold;24600,760005;60,gold;24600,760005;60,gold;24600,760005;60,gold;24600,760005;60,gold;24600
1401081,,,,gold;358000,gold;24600,gold;358000,gold;24600,gold;358000,gold;24600,gold;358000,gold;24600,gold;358000,gold;24600
1401082,,,,gold;360000,gold;24600,gold;360000,gold;24600,gold;360000,gold;24600,gold;360000,gold;24600,gold;360000,gold;24600
1401083,,,,gold;362000,gold;24600,gold;362000,gold;24600,gold;362000,gold;24600,gold;362000,gold;24600,gold;362000,gold;24600
1401084,,,,gold;364000,gold;24600,gold;364000,gold;24600,gold;364000,gold;24600,gold;364000,gold;24600,gold;364000,gold;24600
1401085,,,,cash;2700,gold;24600,cash;2700,gold;24600,cash;2700,gold;24600,cash;2700,gold;24600,cash;2700,gold;24600
1401086,,,,gold;366000,gold;24600,gold;366000,gold;24600,gold;366000,gold;24600,gold;366000,gold;24600,gold;366000,gold;24600
1401087,,,,gold;368000,gold;24600,gold;368000,gold;24600,gold;368000,gold;24600,gold;368000,gold;24600,gold;368000,gold;24600
1401088,,,,gold;370000,gold;24600,gold;370000,gold;24600,gold;370000,gold;24600,gold;370000,gold;24600,gold;370000,gold;24600
1401089,,,,gold;372000,gold;24600,gold;372000,gold;24600,gold;372000,gold;24600,gold;372000,gold;24600,gold;372000,gold;24600
1401090,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401091,,,,gold;374000,gold;24600,gold;374000,gold;24600,gold;374000,gold;24600,gold;374000,gold;24600,gold;374000,gold;24600
1401092,,,,gold;376000,gold;24600,gold;376000,gold;24600,gold;376000,gold;24600,gold;376000,gold;24600,gold;376000,gold;24600
1401093,,,,gold;378000,gold;24600,gold;378000,gold;24600,gold;378000,gold;24600,gold;378000,gold;24600,gold;378000,gold;24600
1401094,,,,gold;380000,gold;24600,gold;380000,gold;24600,gold;380000,gold;24600,gold;380000,gold;24600,gold;380000,gold;24600
1401095,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401096,,,,gold;382000,gold;24600,gold;382000,gold;24600,gold;382000,gold;24600,gold;382000,gold;24600,gold;382000,gold;24600
1401097,,,,gold;384000,gold;24600,gold;384000,gold;24600,gold;384000,gold;24600,gold;384000,gold;24600,gold;384000,gold;24600
1401098,,,,gold;386000,gold;24600,gold;386000,gold;24600,gold;386000,gold;24600,gold;386000,gold;24600,gold;386000,gold;24600
1401099,,,,gold;388000,gold;24600,gold;388000,gold;24600,gold;388000,gold;24600,gold;388000,gold;24600,gold;388000,gold;24600
1401100,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401101,,,,gold;390000,gold;24600,gold;390000,gold;24600,gold;390000,gold;24600,gold;390000,gold;24600,gold;390000,gold;24600
1401102,,,,gold;390500,gold;24600,gold;390500,gold;24600,gold;390500,gold;24600,gold;390500,gold;24600,gold;390500,gold;24600
1401103,,,,gold;391000,gold;24600,gold;391000,gold;24600,gold;391000,gold;24600,gold;391000,gold;24600,gold;391000,gold;24600
1401104,,,,gold;391500,gold;24600,gold;391500,gold;24600,gold;391500,gold;24600,gold;391500,gold;24600,gold;391500,gold;24600
1401105,,,,cash;1800,gold;24600,cash;1800,gold;24600,cash;1800,gold;24600,cash;1800,gold;24600,cash;1800,gold;24600
1401106,,,,gold;392000,gold;24600,gold;392000,gold;24600,gold;392000,gold;24600,gold;392000,gold;24600,gold;392000,gold;24600
1401107,,,,gold;392500,gold;24600,gold;392500,gold;24600,gold;392500,gold;24600,gold;392500,gold;24600,gold;392500,gold;24600
1401108,,,,gold;393000,gold;24600,gold;393000,gold;24600,gold;393000,gold;24600,gold;393000,gold;24600,gold;393000,gold;24600
1401109,,,,gold;393500,gold;24600,gold;393500,gold;24600,gold;393500,gold;24600,gold;393500,gold;24600,gold;393500,gold;24600
1401110,,,,760005;20,gold;24600,760005;20,gold;24600,760005;20,gold;24600,760005;20,gold;24600,760005;20,gold;24600
1401111,,,,gold;394000,gold;24600,gold;394000,gold;24600,gold;394000,gold;24600,gold;394000,gold;24600,gold;394000,gold;24600
1401112,,,,gold;394500,gold;24600,gold;394500,gold;24600,gold;394500,gold;24600,gold;394500,gold;24600,gold;394500,gold;24600
1401113,,,,gold;395000,gold;24600,gold;395000,gold;24600,gold;395000,gold;24600,gold;395000,gold;24600,gold;395000,gold;24600
1401114,,,,gold;395500,gold;24600,gold;395500,gold;24600,gold;395500,gold;24600,gold;395500,gold;24600,gold;395500,gold;24600
1401115,,,,cash;2100,gold;24600,cash;2100,gold;24600,cash;2100,gold;24600,cash;2100,gold;24600,cash;2100,gold;24600
1401116,,,,gold;396000,gold;24600,gold;396000,gold;24600,gold;396000,gold;24600,gold;396000,gold;24600,gold;396000,gold;24600
1401117,,,,gold;396500,gold;24600,gold;396500,gold;24600,gold;396500,gold;24600,gold;396500,gold;24600,gold;396500,gold;24600
1401118,,,,gold;397000,gold;24600,gold;397000,gold;24600,gold;397000,gold;24600,gold;397000,gold;24600,gold;397000,gold;24600
1401119,,,,gold;397500,gold;24600,gold;397500,gold;24600,gold;397500,gold;24600,gold;397500,gold;24600,gold;397500,gold;24600
1401120,,,,760005;40,gold;24600,760005;40,gold;24600,760005;40,gold;24600,760005;40,gold;24600,760005;40,gold;24600
1401121,,,,gold;398000,gold;24600,gold;398000,gold;24600,gold;398000,gold;24600,gold;398000,gold;24600,gold;398000,gold;24600
1401122,,,,gold;398500,gold;24600,gold;398500,gold;24600,gold;398500,gold;24600,gold;398500,gold;24600,gold;398500,gold;24600
1401123,,,,gold;399000,gold;24600,gold;399000,gold;24600,gold;399000,gold;24600,gold;399000,gold;24600,gold;399000,gold;24600
1401124,,,,gold;399500,gold;24600,gold;399500,gold;24600,gold;399500,gold;24600,gold;399500,gold;24600,gold;399500,gold;24600
1401125,,,,cash;2400,gold;24600,cash;2400,gold;24600,cash;2400,gold;24600,cash;2400,gold;24600,cash;2400,gold;24600
1401126,,,,gold;400000,gold;24600,gold;400000,gold;24600,gold;400000,gold;24600,gold;400000,gold;24600,gold;400000,gold;24600
1401127,,,,gold;400500,gold;24600,gold;400500,gold;24600,gold;400500,gold;24600,gold;400500,gold;24600,gold;400500,gold;24600
1401128,,,,gold;401000,gold;24600,gold;401000,gold;24600,gold;401000,gold;24600,gold;401000,gold;24600,gold;401000,gold;24600
1401129,,,,gold;401500,gold;24600,gold;401500,gold;24600,gold;401500,gold;24600,gold;401500,gold;24600,gold;401500,gold;24600
1401130,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401131,,,,gold;402000,gold;24600,gold;402000,gold;24600,gold;402000,gold;24600,gold;402000,gold;24600,gold;402000,gold;24600
1401132,,,,gold;402500,gold;24600,gold;402500,gold;24600,gold;402500,gold;24600,gold;402500,gold;24600,gold;402500,gold;24600
1401133,,,,gold;403000,gold;24600,gold;403000,gold;24600,gold;403000,gold;24600,gold;403000,gold;24600,gold;403000,gold;24600
1401134,,,,gold;403500,gold;24600,gold;403500,gold;24600,gold;403500,gold;24600,gold;403500,gold;24600,gold;403500,gold;24600
1401135,,,,cash;2700,gold;24600,cash;2700,gold;24600,cash;2700,gold;24600,cash;2700,gold;24600,cash;2700,gold;24600
1401136,,,,gold;404000,gold;24600,gold;404000,gold;24600,gold;404000,gold;24600,gold;404000,gold;24600,gold;404000,gold;24600
1401137,,,,gold;404500,gold;24600,gold;404500,gold;24600,gold;404500,gold;24600,gold;404500,gold;24600,gold;404500,gold;24600
1401138,,,,gold;405000,gold;24600,gold;405000,gold;24600,gold;405000,gold;24600,gold;405000,gold;24600,gold;405000,gold;24600
1401139,,,,gold;405500,gold;24600,gold;405500,gold;24600,gold;405500,gold;24600,gold;405500,gold;24600,gold;405500,gold;24600
1401140,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401141,,,,gold;406000,gold;24600,gold;406000,gold;24600,gold;406000,gold;24600,gold;406000,gold;24600,gold;406000,gold;24600
1401142,,,,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600
1401143,,,,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600
1401144,,,,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600
1401145,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401146,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401147,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401148,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401149,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401150,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401151,,,,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600
1401152,,,,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600
1401153,,,,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600
1401154,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401155,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401156,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401157,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401158,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401159,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401160,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401161,,,,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600
1401162,,,,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600
1401163,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401164,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401165,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401166,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401167,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401168,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401169,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401170,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401171,,,,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600
1401172,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401173,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401174,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401175,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401176,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401177,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401178,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401179,,,,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600
1401180,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401181,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401182,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401183,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401184,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401185,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401186,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401187,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401188,,,,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600
1401189,,,,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600
1401190,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401191,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401192,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401193,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401194,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401195,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401196,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401197,,,,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600
1401198,,,,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600
1401199,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
