mid,r_name,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,r_comment
135025,어둠 거목,150;150;25;hit_01,150;-150;25;hit_02,-150;150;25;hit_03,-150;-150;25;hit_04,0;0;25;hit_05,,,,,,"가로 직선형, 원형"
135031,황금 드래곤,150;150;25;hit_01,150;-150;25;hit_02,-150;150;25;hit_03,-150;-150;25;hit_04,0;0;25;hit_05,,,,,,"라운드, 바"
136011,대지의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136012,심연의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136013,맹화의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136014,섬광의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136015,칠흑의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136021,대지의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136022,심연의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136023,맹화의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136024,섬광의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
136025,칠흑의 악몽,0;0;25;chest_eff,0;0;25;bone29,0;0;25;head,0;0;25;bone37,0;0;25;bone47,,,,,,
137214,룬 수호자,0;0;25;bone,,,,,,,,,,
137215,룬 수호자,0;0;25;bone,,,,,,,,,,
137224,룬 수호자,0;0;25;bone,,,,,,,,,,
137225,룬 수호자,0;0;25;bone,,,,,,,,,,
150011,죄악의 화신,0;0;25;head_00,,,,,,,,,,
150012,죄악의 화신,0;0;25;head_00,,,,,,,,,,
150013,죄악의 화신,0;0;25;head_00,,,,,,,,,,
150014,죄악의 화신,0;0;25;head_00,,,,,,,,,,
150015,죄악의 화신,0;0;25;head_00,,,,,,,,,,
151011,교만,0;0;25;head_00,,,,,,,,,,
151021,질투,0;0;25;head_00,,,,,,,,,,
151031,분노,0;0;25;head_00,,,,,,,,,,
151041,나태,0;0;25;head_00,,,,,,,,,,
151051,탐욕,0;0;25;head_00,,,,,,,,,,
151061,폭식,0;0;25;head_00,,,,,,,,,,
151071,색욕,0;0;25;head_00,,,,,,,,,,
151012,교만,0;0;25;head_00,,,,,,,,,,
151022,질투,0;0;25;head_00,,,,,,,,,,
151032,분노,0;0;25;head_00,,,,,,,,,,
151042,나태,0;0;25;head_00,,,,,,,,,,
151052,탐욕,0;0;25;head_00,,,,,,,,,,
151062,폭식,0;0;25;head_00,,,,,,,,,,
151072,색욕,0;0;25;head_00,,,,,,,,,,
151013,교만,0;0;25;head_00,,,,,,,,,,
151023,질투,0;0;25;head_00,,,,,,,,,,
151033,분노,0;0;25;head_00,,,,,,,,,,
151043,나태,0;0;25;head_00,,,,,,,,,,
151053,탐욕,0;0;25;head_00,,,,,,,,,,
151063,폭식,0;0;25;head_00,,,,,,,,,,
151073,색욕,0;0;25;head_00,,,,,,,,,,
151014,교만,0;0;25;head_00,,,,,,,,,,
151024,질투,0;0;25;head_00,,,,,,,,,,
151034,분노,0;0;25;head_00,,,,,,,,,,
151044,나태,0;0;25;head_00,,,,,,,,,,
151054,탐욕,0;0;25;head_00,,,,,,,,,,
151064,폭식,0;0;25;head_00,,,,,,,,,,
151074,색욕,0;0;25;head_00,,,,,,,,,,
151015,교만,0;0;25;head_00,,,,,,,,,,
151025,질투,0;0;25;head_00,,,,,,,,,,
151035,분노,0;0;25;head_00,,,,,,,,,,
151045,나태,0;0;25;head_00,,,,,,,,,,
151055,탐욕,0;0;25;head_00,,,,,,,,,,
151065,폭식,0;0;25;head_00,,,,,,,,,,
151075,색욕,0;0;25;head_00,,,,,,,,,,
139010,골드라고라,0;0;25;hit_03,0;0;25;hit_01,0;0;25;hit_02,,,,,,,,
152011,엑스 마키나,0;0;25;bone125,0;0;25;head_head,0;0;25;bone63,0;0;25;bone79,0;0;25;bone137,,,,,,
152012,엑스 마키나,0;0;25;bone125,0;0;25;head_head,0;0;25;bone63,0;0;25;bone79,0;0;25;bone137,,,,,,
152013,엑스 마키나,0;0;25;bone125,0;0;25;head_head,0;0;25;bone63,0;0;25;bone79,0;0;25;bone137,,,,,,
152014,엑스 마키나,0;0;25;bone125,0;0;25;head_head,0;0;25;bone63,0;0;25;bone79,0;0;25;bone137,,,,,,
152015,엑스 마키나,0;0;25;bone125,0;0;25;head_head,0;0;25;bone63,0;0;25;bone79,0;0;25;bone137,,,,,,
139014,죄악의 환상,0;0;25;head_00,,,,,,,,,,
203001,픽시 퀸,0;0;25;bone37,0;0;25;bone8,,,,,,,,,
203002,페어리 퀸,0;0;25;bone37,0;0;25;bone8,,,,,,,,,
203003,픽시 퀸,0;0;25;bone37,0;0;25;bone8,,,,,,,,,
203004,페어리 퀸,0;0;25;bone37,0;0;25;bone8,,,,,,,,,
204001,땅 화이트 디스트로이어,0;0;25;bone19,0;0;25;bone30,0;0;25;bone37,,,,,,,,
205001,물 앙그라,0;0;25;bone135,0;0;25;bone105,0;0;25;bone60,0;0;25;bone5,0;0;25;bone49,,,,,,
205006,물 앙그라,0;0;25;bone135,0;0;25;bone105,0;0;25;bone60,0;0;25;bone5,0;0;25;bone49,,,,,,
205008,물 앙그라,0;0;25;bone135,0;0;25;bone105,0;0;25;bone60,0;0;25;bone5,0;0;25;bone49,,,,,,
138001,마정석 도굴꾼,0;0;25;managemrobber_dragon_hand_1,0;0;25;managemrobber_dragon_body4,0;0;25;managemrobber_pickax2,,,,,,,,
138002,닥터 크로우,0;0;25;Drcrow_wepon_head_01,,,,,,,,,,
138004,폼폼킹,0;0;50;pompomking_body_5,0;0;25;pompomking_ crown_01,0;0;25;pompomking_handclolor_01,0;0;25;pompomking_cape_03_1,0;0;25;chair_down,,,,,,
141001,태초의 고대신룡,0;0;25;bone234,0;0;25;bone6,0;0;25;bone212,0;0;25;bone218,0;0;25;bone18,,,,,,
141004,태초의 고대신룡,0;0;25;bone234,0;0;25;bone6,0;0;25;bone212,0;0;25;bone218,0;0;25;bone18,,,,,,
141005,태초의 고대신룡,0;0;25;bone234,0;0;25;bone6,0;0;25;bone212,0;0;25;bone218,0;0;25;bone18,,,,,,
141009,전율의 번개고룡,0;0;25;hair,0;0;25;dragon54,0;0;25;wing_R,0;0;25;center,0;0;25;dragon29,,,,,,
141010,전율의 번개고룡,0;0;25;hair,0;0;25;dragon54,0;0;25;wing_R,0;0;25;center,0;0;25;dragon29,,,,,,
141011,전율의 번개고룡,0;0;25;hair,0;0;25;dragon54,0;0;25;wing_R,0;0;25;center,0;0;25;dragon29,,,,,,
141013,전율의 번개고룡,0;0;25;hair,0;0;25;dragon54,0;0;25;wing_R,0;0;25;center,0;0;25;dragon29,,,,,,
153006,훈련용 수정 거인,0;0;25;hit_1,0;0;25;hit_2,0;0;25;hit_3,0;0;25;hit_4,0;0;25;hit_5,,,,,,
153007,훈련용 수정 거인,0;0;25;hit_1,0;0;25;hit_2,0;0;25;hit_3,0;0;25;hit_4,0;0;25;hit_5,,,,,,
153008,훈련용 수정 거인,0;0;25;hit_1,0;0;25;hit_2,0;0;25;hit_3,0;0;25;hit_4,0;0;25;hit_5,,,,,,
153009,훈련용 수정 거인,0;0;25;hit_1,0;0;25;hit_2,0;0;25;hit_3,0;0;25;hit_4,0;0;25;hit_5,,,,,,
153010,훈련용 수정 거인,0;0;25;hit_1,0;0;25;hit_2,0;0;25;hit_3,0;0;25;hit_4,0;0;25;hit_5,,,,,,
314011,퀸즈 스네이크,0;200;25;bone34,0;50;25;bone30,0;-100;25;bone4,0;-250;25;bone20,,,,,,,세로 직선형
314021,퀸즈 라미아,0;200;25;bone34,0;50;25;bone30,0;-100;25;bone4,0;-250;25;bone20,,,,,,,세로 직선형
314012,드레이크,0;175;25;hit_01,0;-175;25;hit_02,80;0;25;hit_03,-80;0;25;hit_04,,,,,,,원형
314022,심연의 군주,0;175;25;hit_01,0;-175;25;hit_02,80;0;25;hit_03,-80;0;25;hit_04,,,,,,,원형
314013,코카트리스,-103;60;25;bone86,0;0;25;bone4,103.6;60;25;bone16,0;-120;25;bone51,,,,,,,"세로, 부채꼴형"
314023,용암거미 여왕,0;170;25;bone25,120;0;25;bone28,0;-50;25;bone11,-120;0;25;bone5,,,,,,,"가로 직선, 관통형"
314033,밤사냥꾼,-103;60;25;bone86,0;0;25;bone4,103.6;60;25;bone16,0;-120;25;bone51,,,,,,,"세로, 부채꼴형"
314043,맹독거미여왕,0;170;25;bone25,120;0;25;bone28,0;-50;25;bone11,-120;0;25;bone5,,,,,,,"가로 직선, 관통형"
314014,질서 유지장치,-120;50;25,0;-130;25,120;50;25,0;220;25,-220;-210;25,,,,,,부채꼴
314024,종말예언장치,-120;50;25,0;-130;25,120;50;25,0;220;25,-220;-210;25,,,,,,부채꼴
314015,다크닉스,0;170;25;bone67,0;-170;25;bone15,80;0;25;bone10,-80;0;25;bone13,0;0;25;bone2,,,,,,세로 직선형
314025,부활한 다크닉스,0;170;25;bone67,0;-170;25;bone15,80;0;25;bone10,-80;0;25;bone13,0;0;25;bone2,,,,,,세로 직선형
154202,엑스 마키나,0;0;25;bone125,0;0;25;head_head,0;0;25;bone63,0;0;25;bone79,0;0;25;bone137,,,,,,
154304,폼폼킹,0;0;50;pompomking_body_5,0;0;25;pompomking_ crown_01,0;0;25;pompomking_handclolor_01,0;0;25;pompomking_cape_03_1,0;0;25;chair_down,,,,,,
142004,엑스 마키나,0;0;25;bone125,0;0;25;head_head,0;0;25;bone63,0;0;25;bone79,0;0;25;bone137,,,,,,
