help_id,category,t_category,t_title,t_content,r_location
11,dragon,,속성,"게임에 등장하는 모든 드래곤과 몬스터는 {@grass_green}땅{@DEFAULT}, {@RED}불{@DEFAULT}, {@BLUE}물{@DEFAULT}, {@YELLOW}빛{@DEFAULT}, {@GRAY}어둠{@DEFAULT} 중 하나의 속성을 가집니다.
{@grass_green}땅 속성{@DEFAULT}은 {@RED}불 속성{@DEFAULT}에 약하고, {@RED}불 속성{@DEFAULT}은 {@BLUE}물 속성{@DEFAULT}에 약하고, {@BLUE}물 속성{@DEFAULT}은 {@grass_green}땅 속성{@DEFAULT}에 약하며 {@YELLOW}빛 속성{@DEFAULT}과 {@GRAY}어둠 속성{@DEFAULT}은 서로에게 약합니다.
상대하게 될 몬스터의 속성보다 유리한 속성의 드래곤으로 전투를 하면
몬스터를 물리칠 확률이 높아집니다.",
12,dragon,,직군,"드래곤들은 각각의 특성에 따라 {@RED}공격{@DEFAULT}, {@BLUE}방어{@DEFAULT}, {@grass_green}회복{@DEFAULT}, {@purple}지원{@DEFAULT} 중 하나의 직군을 가집니다.

- {@RED}공격{@DEFAULT}: 몬스터들을 공격하는 것에 특화된 드래곤입니다.
- {@BLUE}방어{@DEFAULT}: 아군 드래곤들 앞에서 몬스터의 공격을 방어하며 지켜주는 드래곤입니다.
- {@grass_green}회복{@DEFAULT}: 충격을 입은 드래곤들의 HP를 회복하는 등 파티의 생존력을 높여주는 드래곤입니다.
- {@purple}지원{@DEFAULT}: 아군 드래곤의 공격을 강화하거나, 몬스터의 공격을 방해하는 등 파티를 지원하는 드래곤입니다.",
13,dragon,,희귀도,"드래곤이 얼마나 희귀한지를 나타내는 정보입니다.
드래곤이 희귀할수록 더 강하고 좋은 스킬을 가지고 있으며, 드래곤이 희귀할수록 드래곤의 최초 등급이 더 높습니다.

- 일반 희귀도: 1~2등급 상태로 획득
- {@BLUE}희귀 희귀도{@DEFAULT}: 3등급 상태로 획득
- {@purple}영웅 희귀도{@DEFAULT}: 4등급 상태로 획득
- {@YELLOW}전설 희귀도{@DEFAULT}: 5등급 상태로 획득
- {@RED}신화 희귀도{@DEFAULT}: 6등급 상태로 획득",
14,dragon,,전투력,"드래곤이 강한 정도를 나타내는 보조적인 정보입니다.
전투력이 낮더라도 파티의 조합과 스킬의 활용에 따라 충분히 극복 가능합니다.",
15,dragon,,능력,"드래곤은 11종류의 능력치를 가지고 있으며 드래곤의 종류에 따라 시작 능력치가 다릅니다.
공격력, 방어력, 생명력은 드래곤의 레벨업, 진화, 승급을 통해 상승시킬 수 있으며 그 외 능력치는 룬이나 스킬 등을 통해서만 상승시킬 수 있습니다.

- {@RED}공격력{@DEFAULT} : 일반공격 및 스킬공격의 피해량이 증가됩니다.
- {@pink}방어력{@DEFAULT} : 적의 공격을 받았을 때 피해량이 감소됩니다.
- {@YELLOW}생명력{@DEFAULT} : 드래곤의 최대 생명력이 증가되어 더 오래 생존할 수 있습니다.
- {@BLUE}공격속도{@DEFAULT} : 드래곤이 일반공격을 하는 빈도가 높아집니다.
- {@purple}치명확률{@DEFAULT} : 드래곤이 공격을 할 때 치명타가 발생하는 확률이 증가됩니다.
- {@pink}치명피해{@DEFAULT} : 드래곤의 공격에 치명타가 발생했을 때의 피해량이 증가됩니다.
- {@green}치명회피{@DEFAULT} : 적에게 치명타를 받았을 때 치명타를 무효시키는 확률이 증가됩니다. 치명회피에 성공하면 치명타 피해가 아닌 일반 피해를 받게 됩니다.
- {@YELLOW}회피{@DEFAULT} : 적의 공격을 회피하는 확률이 증가됩니다. 회피는 일반공격, 패시브 스킬, 드래그 스킬 등 모든 공격에 적용되며 회피에 성공하면 피해를 입지 않게 됩니다.
- {@grass_green}적중{@DEFAULT} : 적에게 공격을 명중시키는 확률이 증가됩니다. 회피가 높은 적에게 유용합니다.
- {@green}효과저항{@DEFAULT} : 적의 스킬로 해로운 효과가 발생할 때 효과를 무효시키는 확률이 증가됩니다.
- {@RED}효과적중{@DEFAULT} : 효과저항을 가진 적의 저항 확률을 낮춥니다. 최소 15% 이하로는 효과저항을 낮추지 못합니다.",
16,grow,드래곤 성장,레벨업,"드래곤 경험치 아이템을 이용하여 선택한 드래곤의 레벨을 상승시키는 기능입니다.

- {@YELLOW}드래곤 경험치(아이템){@DEFAULT}: 다음 레벨업에 필요한 만큼 드래곤 경험치 아이템을 소비해 레벨업 합니다.",드래곤 관리
17,grow,,강화,"드래곤의 {@YELLOW}인연 포인트{@DEFAULT}를 사용해 드래곤을 추가로 성장시키는 기능입니다.
드래곤을 강화시키려면 {@YELLOW}같은 이름의 드래곤{@DEFAULT}의 {@YELLOW}인연 포인트{@DEFAULT}
혹은 드래곤 등급에 맞는 {@YELLOW}강화 포인트{@DEFAULT}가 필요합니다.",
18,grow,,진화,"각각의 드래곤에게 필요한 진화 재료를 모으면 드래곤을 진화시키는 기능입니다.
드래곤의 진화 단계는 {@YELLOW}해치(기본){@DEFAULT} -> {@purple}해츨링(1차 진화){@DEFAULT} -> {@RED}성룡(최종 진화){@DEFAULT} 로 구분되며, 해츨링과 성룡이 되면 외형이 달라지는 것은 물론 새로운 스킬을 획득하거나 스킬이 강화됩니다.",
19,grow,,등급,"드래곤이 희귀할수록 처음 획득했을 때의 등급이 높아집니다.
다만 낮은 등급의 드래곤도 계속 키워나가면 6등급까지 성장시킬 수 있으니, 맘에 드는 드래곤을 마지막까지 함께 하실 수 있습니다.",
20,grow,,승급,"드래곤을 현재 등급의 최대 레벨까지 성장시킨 후에 사용할 수 있는 드래곤의 등급 상승 방법입니다.
드래곤을 승급시키려면 해당 드래곤의 등급과 같거나 더 높은 드래곤을 등급 수 만큼 준비해야 합니다.
예) {@YELLOW}3등급 드래곤{@DEFAULT}을 {@YELLOW}4등급으로 승급{@DEFAULT}시키기 위해서는, {@YELLOW}3등급 이상의 드래곤{@DEFAULT}이 {@YELLOW}3마리{@DEFAULT} 필요합니다.",
21,grow,,스킬 레벨업,"드래곤이 가진 스킬은 레벨이 높을 수록 스킬 능력이 강화되어 전투를 더 유리하게 진행할 수 있습니다.
스킬의 레벨을 상승시키려면 {@YELLOW}같은 이름의 드래곤{@DEFAULT} 혹은 {@YELLOW}스킬 슬라임{@DEFAULT}이 필요하며, 최고 레벨이 아닌 보유 스킬 중 하나가 무작위로 레벨이 상승합니다.",
22,grow,,스킬 레벨 이전,"스킬 레벨을 상승시킨 드래곤의 레벨업 능력을 다른 드래곤으로 이전시키는 기능입니다.
이전은 {@YELLOW}영웅 혹은 전설{@DEFAULT} 희귀도의 드래곤만 가능하며 {@YELLOW}희귀도가 같은 드래곤{@DEFAULT} 끼리만 이전할 수 있습니다.
이전이 진행되면 이전을 준 드래곤의 2레벨 이상 스킬 중 하나가 {@YELLOW}무작위로 레벨이 감소{@DEFAULT}되고
이전을 받은 드래곤의 최고 레벨이 아닌 보유 스킬 중 하나가 {@YELLOW}무작위로 레벨이 상승{@DEFAULT}합니다.",
23,grow,,작별,"테이머님에게 더 이상 필요하지 않은 드래곤을 라테아로 돌려보내는 기능입니다.
작별시 {@YELLOW}'드래곤 경험치'{@DEFAULT}, 동일한 드래곤의 {@YELLOW}'인연 포인트'{@DEFAULT}, 동일한 속성의 {@YELLOW}'특성 재료'{@DEFAULT} 중에 하나를 선물로 받을 수 있습니다.",
24,rune,룬,룬이란?,"어느 세계에서 왔는지 밝혀지지 않은 신비한 빛을 머금은 원석을 가공하여 각종 모양의 보석 모양으로 만든 것을 룬이라 합니다.
가공한 룬의 순도에 따라 등급을 나누는데, 이전까지 유타칸 세계의 기술력으로는 {@YELLOW}6등급{@DEFAULT}까지의 룬을 만들 수 있었으나 기술력이 발달함에 따라 매우 희귀한 {@YELLOW}7등급{@DEFAULT} 룬을 만드는 방법도 발견되었습니다.",룬 관리
25,rune,,종류,"유타칸 세계의 장인들의 다양한 시도를 거쳐 룬은 총 6가지 모양으로 가공되고 있습니다.
모든 드래곤은 {@YELLOW}6가지 모양{@DEFAULT}의 룬을 각각 하나씩만 가질 수 있다고 하며, 룬의 모양에 따라 적용되는 효과가 달라집니다.",
26,rune,,주 옵션,"룬이 가지고 있는 기본 능력이며 룬 번호에 따라 부여될 수 있는 옵션의 종류가 다릅니다.

- {@YELLOW}1번{@DEFAULT} : 공격력
- {@YELLOW}2번{@DEFAULT} : 공격력, 방어력, 생명력, 공격속도 중 하나
- {@YELLOW}3번{@DEFAULT} : 방어력
- {@YELLOW}4번{@DEFAULT} : 공격력, 방어력, 생명력, 치명확률, 치명피해 중 하나
- {@YELLOW}5번{@DEFAULT} : 생명력
- {@YELLOW}6번{@DEFAULT} : 공격력, 방어력, 생명력, 효과적중, 효과저항 중 하나

공격력,방어력,생명력 증가 옵션은 1,3,5번 룬은 수치 증가, 2,4,6번 룬은 비율(%)증가가 부여되며 비율(%)증가의 옵션이 수치 증가보다 효율이 좋습니다.",
27,rune,,세트,"룬은 가공하기 전 원석의 신비한 색상을 그대로 띄게 되는데, 같은 색상의 룬을 여러 개 가지게 되면 룬의 효과가 대폭 증폭됩니다.
원석의 색상은 정말 다양하지만, 현재 가공에 성공한 룬의 색상은 총 8가지로, 그 효과는 다음과 같습니다.

- {@YELLOW}체력 룬(노랑){@DEFAULT}: 생명력 증가
- {@purple}기회 룬(보라){@DEFAULT}: 치명 확률 증가
- {@grass_green}효과 적중 룬(녹색){@DEFAULT}: 효과 적중 증가
- {@light_red}견고 룬(주황){@DEFAULT}: 방어력 상승
- {@green}효과 저항 룬(청록){@DEFAULT}: 각종 효과 저항 확률 증가
- {@RED}강렬 룬(빨강){@DEFAULT}: 공격력 증가
- {@pink}피해 룬(분홍){@DEFAULT}: 치명 피해 증가
- {@BLUE}쾌속 룬(파랑){@DEFAULT}: 공격 속도 증가",
28,rune,,고대 룬,"고대 유적 던전에서 발견할 수 있는 고대 룬은 일반 룬에는 없는 특별한 효과를 가지고 있습니다. 
현재 발견된 고대 룬의 종류는 6가지로, 그 효과는 다음과 같습니다.

- {@RED}흡혈 룬{@DEFAULT} : 자신이 준 피해량의 10% 만큼 생명력을 회복합니다.
세트 효과 중복 시 회복량이 증가합니다.
- {@BLUE}명상 룬{@DEFAULT} : 12초마다 마나 1개를 획득합니다.
- {@YELLOW}반격 룬{@DEFAULT} : 피해를 받으면 공격한 대상에게 즉시 반격합니다.
반격에는 1초의 재사용 시간이 존재하며, 피해량은 자신의 방어력과 최대 생명력에 비례합니다.
- {@GRAY}생존 룬{@DEFAULT} : 생명력이 30% 이하가 될 때 5초간 무적 효과를 적용받습니다.
세트 효과 적용 시 무적 시간이 증가합니다.
- {@grass_green}결의 룬{@DEFAULT} : 자신보다 후방에 위치한 아군이 받는 피해를 20% 확률로 대신 받습니다.
- {@purple}앙심 룬{@DEFAULT} : 피해를 받을 때 20% 확률로 드래그 스킬 재사용 시간이 1초 감소합니다.
세트 효과 중복 시 효과 발동 확률이 증가합니다.",
29,rune,,강화,"골드를 사용하면 룬을 강화할 수 있습니다.
강화된 룬은 성능이 상승하여 드래곤들을 더욱 강하게 합니다.
강화 단계가 올라갈수록 필요 골드의 양이 늘지만, 강화에 실패하더라도 룬이 파괴되거나 강화 단계가 내려가지는 않습니다.",
30,rune,,연마,"연마를 통해 {@YELLOW}룬의 추가 옵션 중 하나를 다른 옵션으로 변경{@DEFAULT}할 수 있습니다.
연마는 12단계 이상 강화한 룬에만 가능하며 연마석과 골드가 필요합니다.
이미 연마한 룬을 재연마할 때는 전에 연마한 옵션이 다시 변경됩니다.
7등급 룬은 연마를 할 수 없습니다.",
31,rune,,합성,"같은 등급의 룬 5개를 합성하여 새로운 룬을 만들 수 있습니다.
확률에 따라 더 높은 등급의 룬을 얻을 수도 있습니다.",
32,stage,모험,모험,"드래곤 빌리지M에 등장하는 테이머와 드래곤들의 이야기를 볼 수 있는 기본 게임 모드입니다.
총 12챕터로 이루어진 유타칸 세계에서 여러분과 함께 하는 테이머들의 모험 이야기를 즐겨 보세요!",모험모드 준비화면
33,stage,,탐험,"테이머님이 보유하신 드래곤들을 유타칸의 다양한 지역으로 보내어 탐사를 시키는 모드입니다.
탐험을 보내기 위해서는 한 지역에 총 5마리의 드래곤이 필요하며, 탐험을 보낸 드래곤이라도 다른 모드에서 사용 가능합니다.",
34,nest,던전,거대용 던전,"드래곤의 진화에 사용되는 각종 진화 재료를 얻을 수 있는 던전입니다.
거대용들의 특성을 파악하고 속성을 공략해, 여러분의 드래곤을 진화시켜보세요.

<보스 정보>
- {@YELLOW}보석 거대용{@DEFAULT}: 보석 거대용은 생명력이 매우 높지만, 난이도 자체는 평범합니다.
- {@grass_green}땅의 거대용{@DEFAULT}: 물속성 드래곤에게 큰 피해를 줍니다.
- {@BLUE}물의 거대용{@DEFAULT}: 불속성 드래곤에게 큰 피해를 줍니다.
- {@RED}불의 거대용{@DEFAULT}: 땅속성 드래곤에게 큰 피해를 줍니다.
- {@YELLOW}빛의 거대용{@DEFAULT}: 어둠속성 드래곤에게 큰 피해를 줍니다.
- {@GRAY}어둠의 거대용{@DEFAULT}: 빛속성 드래곤에게 큰 피해를 줍니다.",네스트 리스트
35,nest,,거목 던전,"드래곤이 좋아하는 열매를 얻을 수 있는 던전으로, 열매를 얻어 드래곤의 친밀도를 높일 수 있습니다.

<보스 정보>
- {@grass_green}땅의 거목{@DEFAULT}: 물속성 드래곤에게 큰 피해를 줍니다.
- {@BLUE}물의 거목{@DEFAULT}: 불속성 드래곤에게 큰 피해를 줍니다.
- {@RED}불의 거목{@DEFAULT}: 땅속성 드래곤에게 큰 피해를 줍니다.
- {@YELLOW}빛의 거목{@DEFAULT}: 어둠속성 드래곤에게 큰 피해를 줍니다.
- {@GRAY}어둠의 거목{@DEFAULT}: 빛속성 드래곤에게 큰 피해를 줍니다.",
36,nest,,악몽 던전,"수많은 테이머와 드래곤들을 괴롭힌 악몽과도 같은 던전입니다.
그들의 처절했던 전투의 흔적과 함께 룬들이 곳곳에 떨어져 있어 테이머를 유혹하지만, 돌아오는 이들은 얼마 없다고 합니다.
(주의: 난이도가 매우 높습니다!)",
37,nest,,인연 던전,"유타칸을 모험하다 보면 간혹 발견할 수 있는 특정 드래곤의 기억입니다.
예를 들어 바위 드래곤의 인연 던전에서는 바위 드래곤만이 적으로 등장하며, 그 인연 던전을 플레이하면 결과에 따라 바위 드래곤의 인연 포인트를 얻게 됩니다.

(인연던전은 테이머님 본인이 발견한 던전 이외에도 친구가 발견한 던전도 플레이할 수 있습니다.)",
38,nest,,고대 유적 던전,"어둠의 추종자가 부활시키고 있는 강력한 기계 드래곤, 엑스 마키나를 토벌하는 던전입니다.

고대 유적 던전은 {@YELLOW}악몽 던전 10단계{@DEFAULT}를 통과한 테이머만 입장이 가능하며
5마리의 드래곤을 {@YELLOW}2팀{@DEFAULT}으로 구성하여 총{@YELLOW}10마리{@DEFAULT}의 드래곤이 참전합니다.
보상으로는 다른 곳에서는 얻을 수 없는 특별한 {@YELLOW}고대 룬{@DEFAULT}을 얻을 수 있습니다.",
39,vs,경쟁,콜로세움,"다른 테이머님들과 드래곤의 강함을 겨룰 수 있는 경쟁 모드입니다.

- 콜로세움을 사용하기 위해서는 콜로세움 입장권이 필요하며, 콜로세움 전투를 통해 명예 포인트를 획득하여 상점에서 각종 상품과 교환할 수 있습니다.
- 콜로세움은 매 주말 초기화되며, {@YELLOW}최종 순위에 따라 다양한 보상{@DEFAULT}을 얻게 됩니다.
- 콜로세움 전투에서 일정 시간이 경과될 때 마다 참여한 드래곤들의 {@YELLOW}공격시 피해량이 단계적으로 증가{@DEFAULT}되며 {@YELLOW}회복량이 단계적으로 감소{@DEFAULT}됩니다.",경쟁 리스트
40,vs,,고대의 탑,"먼 옛날부터 테이머들이 자신을 시험하기 위해 올라갔다고 하는 전설의 탑으로, 탑을 정복한 자에게는 많은 보물이 주어진다고 전해집니다.
고대의 탑과 관련해서는 다음의 내용을 잊지 마세요

- 고대의 탑은 {@YELLOW}1층부터 차례대로{@DEFAULT} 올라갈 수 있으며, 매 층 클리어 시 다양한 보상을 제공합니다.
- 이미 클리어한 층도 다시 플레이할 수 있으나, {@YELLOW}매우 소량의 보상{@DEFAULT}만 제공됩니다.
- 고대의 탑 클리어 시 {@YELLOW}클리어 시간, 드래곤의 사망 여부{@DEFAULT}에 따라 클리어 점수를 받게 됩니다.
- 고대의 탑 점수로 고대의 탑을 즐긴 다른 테이머 분들과의 순위가 책정되며, 이곳에서만 얻을 수 있는 희귀한 재화인 {@YELLOW}고대주화{@DEFAULT}를 포함한 많은 보상을 얻을 수 있습니다.
  고대주화는 상점에서 {@YELLOW}매우 희귀한 드래곤의 인연 포인트{@DEFAULT}와 교환할 수 있습니다.
- 고대의 탑의 점수 및 클리어 정보는 2주마다 한 번씩 초기화됩니다.

고대의 탑의 클랜 순위는 성적 상위 20명의 점수만 반영됩니다.(보상은 클랜원 전체가 획득)",
41,vs,,레이드,"유타칸 대륙 곳곳에 강력한 몬스터들이 출현했습니다.
왕국은 고대유적 탐사에 성공한 상위 테이머들에게 토벌명령을 내렸습니다.
높은 성과를 낸 테이머에게는 특별히 {@YELLOW}6~7등급 룬{@DEFAULT}을 보상으로 지급한다고 합니다.\n레이드 전투에 참가해 강함을 증명하세요.",
42,vs,,월드 레이드,"카데스의 파수꾼이 유타칸의 보스들을 세뇌했습니다.
세뇌된 보스들은 카데스의 힘을 받아들여 더욱 강력해졌으며, 무한한 체력을 보유하고 있습니다.
더욱 강력해진 보스들을 상대하고 높은 점수를 내 {@YELLOW}최강의 테이머{@DEFAULT} 임을 증명하세요!",
43,clan,클랜,클랜,"클랜은 서로 뜻이 맞는 테이머님들이 연합할 수 있는 단체입니다.
{@YELLOW}레벨 15{@DEFAULT} 이상의 테이머님은 클랜을 새로 만들거나 가입할 수 있습니다.
클랜원들이 {@YELLOW}고대의 탑, 클랜전, 클랜던전{@DEFAULT}에 참여하면 성적에 따라 클랜 랭킹이 집계되고
{@YELLOW}클랜코인{@DEFAULT} 보상을 받을 수 있습니다. 클랜코인은 상점에서 희귀한 물품과 교환할 수 있습니다.",
44,clan,,클랜 레벨,"클랜원들이 일일 퀘스트를 수행하면 클랜 경험치를 얻어 클랜 레벨을 올릴 수 있습니다.(최대 100레벨)
클랜 레벨이 오르면 모든 클랜원에게 도움이 되는 다양한 혜택이 추가됩니다.

클랜의 레벨이 {@YELLOW}5레벨{@DEFAULT} 오를때 마다 다음의 클랜 혜택을 얻습니다.
 - 최대 클랜원 {@YELLOW}1명{@DEFAULT} 확장(최대 5명 증가)
 - 모험 골드 획득량 {@YELLOW}5%{@DEFAULT} 증가(최대 50% 증가)
 - 모험 경험치 획득량 {@YELLOW}10%{@DEFAULT} 증가(최대 100% 증가)",
45,clan,,클랜던전,"클랜원들이 힘을 합쳐 강력한 보스를 토벌하는 던전입니다.
클랜던전에서는 {@YELLOW}10마리{@DEFAULT}의 드래곤을 {@YELLOW}2팀{@DEFAULT}으로 나누어서 전투를 진행하며
다른 클랜원이 전투중일 경우 입장할 수 없습니다.
보스의 남은 체력은 모든 클랜원에게 공유되며
보스의 생명력이 {@YELLOW}5% 이하{@DEFAULT}의 상태에서 승리하지 못했을 경우 다음 전투에서 {@YELLOW}5%까지 생명력을 회복{@DEFAULT}합니다

보스에게 승리하면 클랜원 전체에게 {@YELLOW}클리어 보상{@DEFAULT}이 지급되고 다음 레벨의 보스에 도전할 수 있습니다.
보스는 레벨이 높아질 때마다 점점 강해집니다.

보스의 속성은 {@YELLOW}시즌이 시작될때 결정{@DEFAULT}되어 {@YELLOW}시즌 종료까지 유지{@DEFAULT}됩니다.",
46,clan,,룬 수호자 던전,"악몽 던전 10단계를 정복하고 클랜에 소속된 테이머만 입장할 수 있는 던전입니다.
던전별로 {@yellow}지정된 세트의 일반 룬{@default}을 얻을 수 있습니다.

룬 수호자 던전에서는 마력의 흐름이 불안정해 {@yellow}드래그 스킬 사용 불가{@default}상태가 됩니다.",
47,clan,,클랜전,"{@YELLOW}클랜전{@DEFAULT}은 최강의 클랜을 가려내는 경쟁 콘텐츠입니다.
경기(매치)에서 각 클랜원은 상대방 클랜원 중 1명을 선택하여 전투(세트)를 진행합니다.
세트에서 승리하면 승점을 획득합니다.
매치가 종료 될 때, 더 많은 승점을 획득한 클랜이 매치에서 승리하게 됩니다.

클랜전은 2주간 진행되며 1주차 {@YELLOW}조별리그{@DEFAULT}와 2주차 {@YELLOW}토너먼트{@DEFAULT}로 구성되어 있습니다.
시즌이 종료되면 조별리그와 토너먼트에서 달성한 순위에 따라 {@YELLOW}시즌 보상{@DEFAULT}을 얻을 수 있습니다.

각 매치에서 모든 클랜원은 {@YELLOW}한 번의 공격 기회{@DEFAULT}를 가지게 됩니다.
상대 클랜원을 공격하면 {@YELLOW}세트{@DEFAULT}가 시작되며, 한 세트는 최대 3번의 {@YELLOW}게임{@DEFAULT}으로 진행됩니다.
세트에서 먼저 2번의 게임을 승리하면 {@YELLOW}승점 1점{@DEFAULT}을 획득합니다.
세트 시작 후, {@YELLOW}제한 시간{@DEFAULT}안에 승패가 결정되지 않으면 공격자의 패배로 처리됩니다.",
48,dmgate,차원문,차원문,"{@YELLOW}차원문{@DEFAULT}에서는 이제껏 경험하지 못한 시련들을 맞이해야 합니다.
모든 시련을 뛰어넘어  {@YELLOW}다른 차원의 드래곤{@DEFAULT}에게 인정을 받으면 차원문 토큰을 얻을 수 있습니다.
많은 토큰을 모으면 그 드래곤과 친구가 될 수 있을지도 모릅니다.",
49,lair,축복,등록,"축복 티켓을 얻기 위해서는 {@YELLOW}육성이 완료된{@DEFAULT} 전설, 신화 드래곤을 등록해야 합니다.

- 전설 드래곤 : 레벨 / 친밀도 / 강화 / 특성 / 진화 / 스킬
- 신화 드래곤 : 레벨 / 친밀도 / 진화

드래곤을 등록하여도 모든 콘텐츠에서 사용 가능합니다.
동일한 드래곤을 여러마리 육성하여 등록하여도 , 한마리만 등록 가능합니다.",
