mid,t_name,type,res,dark_mode,scale,pattern,rarity,attr,role,size_type,icon,coin,skill_basic,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,atk_max,def_max,hp_max,r_스텟점수,aspd,cri_chance,cri_dmg,hit_rate,avoid,cri_avoid,accuracy,resistance,r_dps,r_ehp,r_적중/치회/회피 합
130064,빛 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/bomber_@.png,3,230008,,,,,,,,,,4400,1200,15000,62,0,10,150,0,0,30,0,0,5060,30000,30
130065,어둠 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/bomber_@.png,3,230008,,,,,,,,,,4400,1200,15000,62,0,10,150,0,0,30,0,0,5060,30000,30
131011,일벌,honeybee,res/character/monster/common_honeybee_earth/common_honeybee_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/honeybee_@.png,2,230009,,,,,,,,,,1680,1000,18800,34,0,100,200,0,0,0,0,0,5040,34467,0
131021,괴물 식물,mushroom_attendant,res/character/monster/common_mushroom_attendant_earth/common_mushroom_attendant_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/mushroom_attendant_@.png,2,230000,230029,,,,,,,,,4800,1300,17200,68,0,10,50,0,0,0,0,0,5040,35833,0
131031,부엉이,owl,res/character/monster/common_owl_earth/common_owl_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/owl_@.png,2,230000,230014,,,,,,,,,4800,2000,7200,71,0,10,50,0,0,0,0,0,5040,19200,0
131041,버섯 노예,mushroom_slave,res/character/monster/mushroom_slave_1/mushroom_slave_1.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/mushroom_slave_@.png,0,230000,231001,,,,,,,,,4800,2000,7200,71,0,10,50,30,0,0,0,0,5040,19200,30
131051,버섯 노예,mushroom_slave,res/character/monster/mushroom_slave_2/mushroom_slave_2.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/mushroom_slave_@.png,0,230000,231001,,,,,,,,,4800,2000,7200,71,0,10,50,30,0,0,0,0,5040,19200,30
131061,다람쥐,squirrel,res/character/monster/common_squirrel_earth/common_squirrel_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/squirrel_@.png,2,230000,230044,,,,,,,,,4800,1500,14400,69,30,10,50,50,10,5,0,0,6552,32400,65
131071,바위정령,elemental_earth,res/character/monster/common_elemental_earth/common_elemental_earth.spine,0,1,ignore,common,earth,tanker,s,res/ui/icons/mon/elemental_earth_@.png,2,230000,230043,,,,,,,,,1600,2400,15800,46,0,0,50,0,10,40,0,0,1600,47400,50
131081,도마뱀 인간 전사,lizard_man,res/character/monster/common_lizard_man_earth/common_lizard_man_earth.spine,0,1,ignore,common,earth,tanker,s,res/ui/icons/mon/lizard_man_@.png,2,230062,,,,,,,,,,3520,1600,18800,59,0,10,50,0,20,10,0,0,3696,43867,30
131091,도마뱀 인간1,lizard_man,res/character/monster/common_lizard_man_earth/common_lizard_man_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/lizard_man_@.png,2,230001,,,,,,,,,,3520,1600,18800,59,0,10,50,0,10,0,0,0,3696,43867,10
131101,도마뱀 인간2,lizard_man_shaman,res/character/monster/elite_lizard_man_shaman_earth/elite_lizard_man_shaman_earth.spine,0,0.5,ignore,common,earth,dealer,s,res/ui/icons/mon/lizard_man_shaman_@.png,4,230000,,,,,,,,,,3520,1600,18800,59,0,10,50,0,0,30,0,0,3696,43867,30
131111,고대문자:A,ancient_word_a,res/character/monster/common_ancient_word_a_earth/common_ancient_word_a_earth.spine,0,1,ignore,common,earth,supporter,s,res/ui/icons/mon/ancient_word_a_@.png,2,230000,230049,,,,,,,,,3200,0,61200,56,0,10,50,50,0,80,0,0,3360,61200,130
131121,만드라고라:땅,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/mandragora_@.png,2,230053,230054,,,,,,,,,3200,2000,20400,60,0,10,50,0,10,10,0,0,3360,54400,20
131131,땅 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/wyvern_@.png,2,230000,230061,,,,,,,,,6000,650,31600,79,20,10,50,0,0,30,0,0,7560,48717,30
131141,버섯 노예1,mushroom_slave,res/character/monster/mushroom2_slave_1/mushroom2_slave_1.spine,0,1,ignore,common,earth,dealer,s,res/ui/icons/mon/mushroom_slave_@.png,0,230000,231001,,,,,,,,,3040,1550,15600,52,10,0,0,0,10,10,0,0,3344,35750,20
131151,버섯 노예2,mushroom_slave,res/character/monster/mushroom2_slave_2/mushroom2_slave_2.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/mushroom_slave_earth.png,0,230000,231001,,,,,,,,,3040,1550,15600,52,10,0,0,0,10,10,0,0,3344,35750,20
131012,해골 생선,bonefish,res/character/monster/common_bonefish_water/common_bonefish_water.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/bonefish_@.png,2,230000,230020,,,,,,,,,4992,650,31600,69,20,20,50,0,0,0,0,0,6589,48717,0
131022,복상어,blowshark,res/character/monster/common_blowshark_water/common_blowshark_water.spine,0,1,ignore,common,water,tanker,s,res/ui/icons/mon/blowshark_@.png,2,230000,230012,,,,,,,,,3120,150,69000,60,15,0,0,0,0,50,0,0,3588,77625,50
131032,문어,octopus,res/character/monster/common_octopus_fire/common_octopus_fire.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/octopus_@.png,2,230000,230016,,,,,,,,,4640,1000,22400,65,20,10,75,0,5,5,0,0,5986,41067,10
131042,악마날개,evil_wing,res/character/monster/common_evil_wing_water/common_evil_wing_water.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/evil_wing_@.png,2,230000,230060,,,,,,,,,4800,900,18800,65,50,10,75,0,5,5,0,0,7740,32900,10
131052,고대문자:B,ancient_word_b,res/character/monster/common_ancient_word_b_water/common_ancient_word_b_water.spine,0,1,ignore,common,water,supporter,s,res/ui/icons/mon/ancient_word_b_@.png,2,230000,230050,,,,,,,,,3200,0,61200,56,0,10,50,50,0,80,0,0,3360,61200,130
131062,만드라고라:물,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/mandragora_@.png,2,230053,230054,,,,,,,,,3200,2000,20400,60,0,10,50,0,10,10,0,0,3360,54400,20
131072,물 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/wyvern_@.png,2,230000,230061,,,,,,,,,6000,650,31600,79,20,10,50,0,0,30,0,0,7560,48717,30
131013,하피 주니어,harpy_junior,res/character/monster/common_harpy_junior_fire/common_harpy_junior_fire.spine,0,1,ignore,common,fire,tanker,s,res/ui/icons/mon/harpy_junior_@.png,2,230001,230045,,,,,,,,,1920,1250,31000,44,10,15,50,0,30,0,0,0,2270,63292,30
131023,거미알,spider_egg,res/character/monster/spider_egg/spider_egg.spine,0,1,ignore,common,fire,supporter,s,res/ui/icons/mon/spider_egg_@.png,2,234002,,,,,,,,,,3200,1500,21600,56,20,100,30,20,0,0,0,0,4992,48600,20
131033,용암정령,elemental_lava,res/character/monster/common_elemental_lava_fire/common_elemental_lava_fire.spine,0,1,ignore,common,fire,tanker,s,res/ui/icons/mon/elemental_lava_@.png,2,230000,230047,,,,,,,,,1440,2000,22400,43,0,15,50,0,10,10,0,0,1548,59733,20
131043,고대문자:C,ancient_word_c,res/character/monster/common_ancient_word_c_fire/common_ancient_word_c_fire.spine,0,1,ignore,common,fire,supporter,s,res/ui/icons/mon/ancient_word_c_@.png,2,230000,230051,,,,,,,,,3200,0,61200,56,0,10,50,50,0,80,0,0,3360,61200,130
131053,기록 관리자,record_manager,res/character/monster/common_record_manager_fire/common_record_manager_fire.spine,0,1,ignore,common,fire,supporter,s,res/ui/icons/mon/record_manager_@.png,2,230000,230052,,,,,,,,,2560,1000,31600,48,10,30,50,10,0,0,0,0,3238,57933,10
131063,만드라고라:불,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/mandragora_@.png,2,230053,230054,,,,,,,,,3200,2000,20400,60,0,10,50,0,10,10,0,0,3360,54400,20
131073,플라잉 스컬,flying_skull,res/character/monster/common_flying_skull_fire/common_flying_skull_fire.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/flying_skull_@.png,2,230000,230057,,,,,,,,,4320,1150,21600,63,20,30,50,0,20,0,0,0,5962,42300,20
131083,불 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/wyvern_@.png,2,230000,230061,,,,,,,,,6000,650,31600,79,20,10,50,0,0,30,0,0,7560,48717,30
131014,픽시,pixie,res/character/monster/common_pixie_light/common_pixie_light.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/pixie_@.png,2,230048,,,,,,,,,,3360,1500,20800,57,50,10,50,50,10,0,0,0,5292,46800,60
131024,만드라고라:빛,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/mandragora_@.png,2,230053,230054,,,,,,,,,3200,2000,20400,60,0,10,50,0,10,10,0,0,3360,54400,20
131034,빛 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/wyvern_@.png,2,230000,230061,,,,,,,,,6000,650,31600,79,20,10,50,0,0,30,0,0,7560,48717,30
131045,만드라고라:어둠,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/mandragora_@.png,2,230053,230054,,,,,,,,,3200,2000,20400,60,0,10,50,0,10,10,0,0,3360,54400,20
131055,루미에,lumiere,res/character/monster/common_lumiere_dark/common_lumiere_dark.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/lumiere_@.png,2,230000,230056,,,,,,,,,3360,500,27200,49,35,25,75,0,5,5,0,0,5387,38533,10
131065,미니언,minion,res/character/monster/common_minion_dark/common_minion_dark.spine,0,0.5,ignore,common,dark,tanker,s,res/ui/icons/mon/minion_@.png,2,230000,230058,,,,,,,,,4800,900,18800,65,50,10,75,0,5,5,0,0,7740,32900,10
131075,어둠 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/wyvern_@.png,2,230000,230061,,,,,,,,,6000,650,31600,79,20,10,50,0,0,30,0,0,7560,48717,30
131044,미믹,mimic,res/character/monster/common_mimic_light/common_mimic_light.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/mimic_@.png,2,230063,,,,,,,,,,1600,2000,28800,48,30,30,50,50,0,80,0,0,2392,76800,130
131054,보물 고블린,treasuregoblin,res/character/monster/common_treasuregoblin_light/common_treasuregoblin_light.spine,0,1,ignore,common,light,supporter,s,res/ui/icons/mon/treasuregoblin_@.png,2,230000,,,,,,,,,,3040,1550,21600,55,10,0,0,0,10,10,0,0,3344,49500,20
131095,자수정 몬스터,amethystmonster,res/character/monster/common_amethystmonster_dark/common_amethystmonster_dark.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/amethystmonster_@.png,2,230000,,,,,,,,,,1440,2000,22400,43,0,15,50,0,10,10,0,0,1548,59733,20
132011,킬러비,killerbee,res/character/monster/elite_killerbee_earth/elite_killerbee_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/killerbee_@.png,4,231009,231011,231002,239001,,,,,,,5000,1500,500000,265,25,30,50,80,25,0,0,0,7188,1125000,105
132021,라플레시아,rafflesia,res/character/monster/elite_rafflesia_earth/elite_rafflesia_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/rafflesia_@.png,4,231009,231021,231001,239001,,,,,,,6000,1500,561600,300,25,10,50,80,0,30,0,0,7875,1263600,110
132031,아울베어,owlbear,res/character/monster/elite_owlbear_earth/elite_owlbear_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/owlbear_@.png,4,231009,231031,230014,231003,239001,,,,,,4800,1500,561600,288,25,10,50,80,10,50,0,0,6300,1263600,140
132051,다람쥐 리더,squirrel_leader,res/character/monster/elite_squirrel_leader_earth/elite_squirrel_leader_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/squirrel_leader_@.png,4,231040,231041,231000,239001,,,,,,,4400,1500,561600,284,50,20,70,80,0,0,0,0,7524,1263600,80
132061,대지정령,highelemental_earth,res/character/monster/elite_highelemental_earth/elite_highelemental_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/highelemental_earth_@.png,4,231009,231051,231002,239001,,,,,,,4800,2500,409800,237,0,50,50,80,0,30,0,0,6000,1263550,110
132071,도마뱀 인간 주술사,lizard_man_shaman,res/character/monster/elite_lizard_man_shaman_earth/elite_lizard_man_shaman_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/lizard_man_shaman_@.png,4,231009,231061,231005,239001,,,,,,,6800,1500,401600,244,25,20,70,80,0,0,0,0,9690,903600,80
132081,가고일,gargoyle,res/character/monster/elite_gargoyle_earth/elite_gargoyle_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/gargoyle_@.png,4,231009,231071,231001,239001,,,,,,,5000,3000,505440,282,0,10,50,80,0,30,0,0,5250,1769040,110
132091,크라브로,killerbee,res/character/monster/elite_killerbee2_earth/elite_killerbee2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/killerbee2_@.png,4,231009,231012,231002,239001,,,,,,,5000,1500,561600,290,25,30,50,80,25,0,0,0,7188,1263600,105
132101,맹독 라플레시아,rafflesia,res/character/monster/elite_rafflesia2_earth/elite_rafflesia2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/rafflesia2_@.png,4,231009,231022,231001,239001,,,,,,,6000,1500,561600,300,25,10,50,80,0,30,0,0,7875,1263600,110
132111,정예 아울베어,owlbear,res/character/monster/elite_owlbear2_earth/elite_owlbear2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/owlbear2_@.png,4,231009,231032,230014,231003,239001,,,,,,4800,1500,561600,288,25,10,50,80,10,50,0,0,6300,1263600,140
132121,정예 다람쥐 리더,squirrel_leader,res/character/monster/elite_squirrel_leader2_earth/elite_squirrel_leader2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/squirrel_leader2_@.png,4,231040,231042,231000,239001,,,,,,,4400,1500,561600,284,50,20,70,80,0,0,0,0,7524,1263600,80
132131,분노한 대지정령,highelemental_earth,res/character/monster/elite_highelemental2_earth/elite_highelemental2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/highelemental_earth2_@.png,4,231009,231052,231002,239001,,,,,,,4800,2500,409800,237,0,50,50,80,0,30,0,0,6000,1263550,110
132141,도마뱀 인간 마법사,lizard_man_shaman,res/character/monster/elite_lizard_man_shaman2_earth/elite_lizard_man_shaman2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/lizard_man_shaman2_@.png,4,231009,231062,231005,239001,,,,,,,6800,1500,401600,244,25,10,50,80,0,0,0,0,8925,903600,80
132151,숲 가고일,gargoyle,res/character/monster/elite_gargoyle2_earth/elite_gargoyle2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icons/mon/gargoyle2_@.png,4,231009,231072,231001,239001,,,,,,,5000,3000,505440,282,0,10,50,80,0,30,0,0,5250,1769040,110
132012,인어,mermaid,res/character/monster/elite_mermaid_water/elite_mermaid_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/mermaid_@.png,4,231009,231091,231093,231000,239001,,,,,,4600,1500,600000,301,25,15,75,80,15,5,0,0,6397,1350000,100
132022,상어 전사,sharkwarrior,res/character/monster/elite_sharkwarrior_water/elite_sharkwarrior_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/sharkwarrior_@.png,4,231008,231101,231005,239001,,,,,,,6000,1500,561600,300,0,10,75,90,5,5,0,0,6450,1263600,100
132032,독문어,poisonoctopus,res/character/monster/elite_poisonoctopus_water/elite_poisonoctopus_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/poisonoctopus_@.png,4,231009,231111,231001,239001,,,,,,,4000,1500,561600,280,50,15,50,80,5,5,0,0,6450,1263600,90
132042,상어 전사(소환),sharkwarrior_summon,res/character/monster/elite_sharkwarrior_water/elite_sharkwarrior_water.spine,0,1,ignore,common,water,dealer,m,res/ui/icons/mon/sharkwarrior_summon_@.png,2,231009,231101,239001,,,,,,,,6000,1500,56160,97,0,10,75,90,5,5,0,0,6450,126360,100
132052,감시자,beholder,res/character/monster/elite_beholder_water/elite_beholder_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/beholder_@.png,4,231009,231121,231001,239001,,,,,,,5400,1500,561600,294,15,15,50,80,5,5,0,0,6676,1263600,90
132062,해골 기사,skeleton_knight,res/character/monster/elite_skeleton_knight_water/elite_skeleton_knight_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/skeleton_knight_@.png,4,231008,231131,231000,239001,,,,,,,5400,1500,561600,294,15,15,50,80,5,5,0,0,6676,1263600,90
132072,심해 인어,mermaid,res/character/monster/elite_mermaid2_water/elite_mermaid2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/mermaid2_@.png,4,231009,231092,231093,231000,239001,,,,,,4600,1500,600000,301,25,15,75,80,15,5,0,0,6397,1350000,100
132082,심해 상어 전사,sharkwarrior,res/character/monster/elite_sharkwarrior2_water/elite_sharkwarrior2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/sharkwarrior2_@.png,4,231008,231102,231005,239001,,,,,,,6000,1500,561600,300,0,10,75,90,5,5,0,0,6450,1263600,100
132092,심해 독문어,poisonoctopus,res/character/monster/elite_poisonoctopus2_water/elite_poisonoctopus2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/poisonoctopus2_@.png,4,231009,231112,231001,239001,,,,,,,4000,1500,561600,280,50,15,50,80,5,5,0,0,6450,1263600,90
132102,심해 상어 전사(소환),sharkwarrior_summon,res/character/monster/elite_sharkwarrior2_water/elite_sharkwarrior2_water.spine,0,1,ignore,common,water,dealer,m,res/ui/icons/mon/sharkwarrior_summon_@.png,2,231009,231101,239001,,,,,,,,6000,1500,56160,97,0,10,75,90,5,5,0,0,6450,126360,100
132112,주시자,beholder,res/character/monster/elite_beholder2_water/elite_beholder2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/beholder2_@.png,4,231009,231122,231001,239001,,,,,,,5400,1500,561600,294,15,15,50,80,5,5,0,0,6676,1263600,90
132122,스파르토이,skeleton_knight,res/character/monster/elite_skeleton_knight2_water/elite_skeleton_knight2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icons/mon/skeleton_knight2_@.png,4,231008,231132,231000,239001,,,,,,,5400,1500,561600,294,15,15,50,80,5,5,0,0,6676,1263600,90
132013,하피,harpy,res/character/monster/elite_harpy_fire/elite_harpy_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icons/mon/harpy_@.png,4,231009,231141,231000,239001,,,,,,,5000,1000,600000,300,30,15,75,80,5,5,0,0,7231,1100000,90
132023,이프리트,ifrit,res/character/monster/elite_ifrit_fire/elite_ifrit_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icons/mon/ifrit_@.png,10,231009,231151,231005,239001,,,,,,,5000,1500,580000,297,25,15,75,80,5,5,0,0,6953,1305000,90
132033,서큐버스,succubus,res/character/monster/elite_succubus_fire/elite_succubus_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icons/mon/succubus_@.png,10,231160,231161,231162,231003,239001,,,,,,6000,1500,561600,300,25,15,75,80,5,5,0,0,8344,1263600,90
