stage,r_value,atk_multi,def_multi,hp_multi,drag_cool_add,atk_multi_debuff,def_multi_debuff,hp_multi_debuff,drag_cool_add_debuff
1500011,"attr;fire;atk_multi;10,attr;fire;def_multi;10,attr;fire;hp_multi;10,attr;fire;drag_cool_add;5,attr;water;atk_multi_debuff;-10,attr;water;def_multi_debuff;-10,attr;water;hp_multi_debuff;-10,attr;water;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500012,"attr;earth;atk_multi;10,attr;earth;def_multi;10,attr;earth;hp_multi;10,attr;earth;drag_cool_add;5,attr;fire;atk_multi_debuff;-10,attr;fire;def_multi_debuff;-10,attr;fire;hp_multi_debuff;-10,attr;fire;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500013,"attr;water;atk_multi;10,attr;water;def_multi;10,attr;water;hp_multi;10,attr;water;drag_cool_add;5,attr;earth;atk_multi_debuff;-10,attr;earth;def_multi_debuff;-10,attr;earth;hp_multi_debuff;-10,attr;earth;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500014,"attr;dark;atk_multi;10,attr;dark;def_multi;10,attr;dark;hp_multi;10,attr;dark;drag_cool_add;5,attr;fire;atk_multi_debuff;-5,attr;fire;def_multi_debuff;-5,attr;fire;hp_multi_debuff;-5,attr;fire;drag_cool_add_debuff;-5,attr;earth;atk_multi_debuff;-5,attr;earth;def_multi_debuff;-5,attr;earth;hp_multi_debuff;-5,attr;earth;drag_cool_add_debuff;-5,attr;water;atk_multi_debuff;-5,attr;water;def_multi_debuff;-5,attr;water;hp_multi_debuff;-5,attr;water;drag_cool_add_debuff;-5,attr;light;atk_multi_debuff;-5,attr;light;def_multi_debuff;-5,attr;light;hp_multi_debuff;-5,attr;light;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500015,"attr;light;atk_multi;10,attr;light;def_multi;10,attr;light;hp_multi;10,attr;light;drag_cool_add;5,attr;fire;atk_multi_debuff;-5,attr;fire;def_multi_debuff;-5,attr;fire;hp_multi_debuff;-5,attr;fire;drag_cool_add_debuff;-5,attr;earth;atk_multi_debuff;-5,attr;earth;def_multi_debuff;-5,attr;earth;hp_multi_debuff;-5,attr;earth;drag_cool_add_debuff;-5,attr;water;atk_multi_debuff;-5,attr;water;def_multi_debuff;-5,attr;water;hp_multi_debuff;-5,attr;water;drag_cool_add_debuff;-5,attr;dark;atk_multi_debuff;-5,attr;dark;def_multi_debuff;-5,attr;dark;hp_multi_debuff;-5,attr;dark;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500016,"attr;fire;atk_multi;10,attr;fire;def_multi;10,attr;fire;hp_multi;10,attr;fire;drag_cool_add;5,attr;water;atk_multi_debuff;-10,attr;water;def_multi_debuff;-10,attr;water;hp_multi_debuff;-10,attr;water;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500017,"attr;earth;atk_multi;10,attr;earth;def_multi;10,attr;earth;hp_multi;10,attr;earth;drag_cool_add;5,attr;fire;atk_multi_debuff;-10,attr;fire;def_multi_debuff;-10,attr;fire;hp_multi_debuff;-10,attr;fire;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500018,"attr;water;atk_multi;10,attr;water;def_multi;10,attr;water;hp_multi;10,attr;water;drag_cool_add;5,attr;earth;atk_multi_debuff;-10,attr;earth;def_multi_debuff;-10,attr;earth;hp_multi_debuff;-10,attr;earth;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500019,"attr;dark;atk_multi;10,attr;dark;def_multi;10,attr;dark;hp_multi;10,attr;dark;drag_cool_add;5,attr;fire;atk_multi_debuff;-5,attr;fire;def_multi_debuff;-5,attr;fire;hp_multi_debuff;-5,attr;fire;drag_cool_add_debuff;-5,attr;earth;atk_multi_debuff;-5,attr;earth;def_multi_debuff;-5,attr;earth;hp_multi_debuff;-5,attr;earth;drag_cool_add_debuff;-5,attr;water;atk_multi_debuff;-5,attr;water;def_multi_debuff;-5,attr;water;hp_multi_debuff;-5,attr;water;drag_cool_add_debuff;-5,attr;light;atk_multi_debuff;-5,attr;light;def_multi_debuff;-5,attr;light;hp_multi_debuff;-5,attr;light;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500020,"attr;light;atk_multi;10,attr;light;def_multi;10,attr;light;hp_multi;10,attr;light;drag_cool_add;5,attr;fire;atk_multi_debuff;-5,attr;fire;def_multi_debuff;-5,attr;fire;hp_multi_debuff;-5,attr;fire;drag_cool_add_debuff;-5,attr;earth;atk_multi_debuff;-5,attr;earth;def_multi_debuff;-5,attr;earth;hp_multi_debuff;-5,attr;earth;drag_cool_add_debuff;-5,attr;water;atk_multi_debuff;-5,attr;water;def_multi_debuff;-5,attr;water;hp_multi_debuff;-5,attr;water;drag_cool_add_debuff;-5,attr;dark;atk_multi_debuff;-5,attr;dark;def_multi_debuff;-5,attr;dark;hp_multi_debuff;-5,attr;dark;drag_cool_add_debuff;-5",10,10,10,5,-10,-10,-10,-5
1500021,"attr;fire;atk_multi;15,attr;fire;def_multi;15,attr;fire;hp_multi;15,attr;fire;drag_cool_add;10,attr;water;atk_multi_debuff;-15,attr;water;def_multi_debuff;-15,attr;water;hp_multi_debuff;-15,attr;water;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500022,"attr;earth;atk_multi;15,attr;earth;def_multi;15,attr;earth;hp_multi;15,attr;earth;drag_cool_add;10,attr;fire;atk_multi_debuff;-15,attr;fire;def_multi_debuff;-15,attr;fire;hp_multi_debuff;-15,attr;fire;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500023,"attr;water;atk_multi;15,attr;water;def_multi;15,attr;water;hp_multi;15,attr;water;drag_cool_add;10,attr;earth;atk_multi_debuff;-15,attr;earth;def_multi_debuff;-15,attr;earth;hp_multi_debuff;-15,attr;earth;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500024,"attr;dark;atk_multi;15,attr;dark;def_multi;15,attr;dark;hp_multi;15,attr;dark;drag_cool_add;10,attr;fire;atk_multi_debuff;-7.5,attr;fire;def_multi_debuff;-7.5,attr;fire;hp_multi_debuff;-7.5,attr;fire;drag_cool_add_debuff;-10,attr;earth;atk_multi_debuff;-7.5,attr;earth;def_multi_debuff;-7.5,attr;earth;hp_multi_debuff;-7.5,attr;earth;drag_cool_add_debuff;-10,attr;water;atk_multi_debuff;-7.5,attr;water;def_multi_debuff;-7.5,attr;water;hp_multi_debuff;-7.5,attr;water;drag_cool_add_debuff;-10,attr;light;atk_multi_debuff;-7.5,attr;light;def_multi_debuff;-7.5,attr;light;hp_multi_debuff;-7.5,attr;light;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500025,"attr;light;atk_multi;15,attr;light;def_multi;15,attr;light;hp_multi;15,attr;light;drag_cool_add;10,attr;fire;atk_multi_debuff;-7.5,attr;fire;def_multi_debuff;-7.5,attr;fire;hp_multi_debuff;-7.5,attr;fire;drag_cool_add_debuff;-10,attr;earth;atk_multi_debuff;-7.5,attr;earth;def_multi_debuff;-7.5,attr;earth;hp_multi_debuff;-7.5,attr;earth;drag_cool_add_debuff;-10,attr;water;atk_multi_debuff;-7.5,attr;water;def_multi_debuff;-7.5,attr;water;hp_multi_debuff;-7.5,attr;water;drag_cool_add_debuff;-10,attr;dark;atk_multi_debuff;-7.5,attr;dark;def_multi_debuff;-7.5,attr;dark;hp_multi_debuff;-7.5,attr;dark;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500026,"attr;fire;atk_multi;15,attr;fire;def_multi;15,attr;fire;hp_multi;15,attr;fire;drag_cool_add;10,attr;water;atk_multi_debuff;-15,attr;water;def_multi_debuff;-15,attr;water;hp_multi_debuff;-15,attr;water;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500027,"attr;earth;atk_multi;15,attr;earth;def_multi;15,attr;earth;hp_multi;15,attr;earth;drag_cool_add;10,attr;fire;atk_multi_debuff;-15,attr;fire;def_multi_debuff;-15,attr;fire;hp_multi_debuff;-15,attr;fire;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500028,"attr;water;atk_multi;15,attr;water;def_multi;15,attr;water;hp_multi;15,attr;water;drag_cool_add;10,attr;earth;atk_multi_debuff;-15,attr;earth;def_multi_debuff;-15,attr;earth;hp_multi_debuff;-15,attr;earth;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500029,"attr;dark;atk_multi;15,attr;dark;def_multi;15,attr;dark;hp_multi;15,attr;dark;drag_cool_add;10,attr;fire;atk_multi_debuff;-7.5,attr;fire;def_multi_debuff;-7.5,attr;fire;hp_multi_debuff;-7.5,attr;fire;drag_cool_add_debuff;-10,attr;earth;atk_multi_debuff;-7.5,attr;earth;def_multi_debuff;-7.5,attr;earth;hp_multi_debuff;-7.5,attr;earth;drag_cool_add_debuff;-10,attr;water;atk_multi_debuff;-7.5,attr;water;def_multi_debuff;-7.5,attr;water;hp_multi_debuff;-7.5,attr;water;drag_cool_add_debuff;-10,attr;light;atk_multi_debuff;-7.5,attr;light;def_multi_debuff;-7.5,attr;light;hp_multi_debuff;-7.5,attr;light;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500030,"attr;light;atk_multi;15,attr;light;def_multi;15,attr;light;hp_multi;15,attr;light;drag_cool_add;10,attr;fire;atk_multi_debuff;-7.5,attr;fire;def_multi_debuff;-7.5,attr;fire;hp_multi_debuff;-7.5,attr;fire;drag_cool_add_debuff;-10,attr;earth;atk_multi_debuff;-7.5,attr;earth;def_multi_debuff;-7.5,attr;earth;hp_multi_debuff;-7.5,attr;earth;drag_cool_add_debuff;-10,attr;water;atk_multi_debuff;-7.5,attr;water;def_multi_debuff;-7.5,attr;water;hp_multi_debuff;-7.5,attr;water;drag_cool_add_debuff;-10,attr;dark;atk_multi_debuff;-7.5,attr;dark;def_multi_debuff;-7.5,attr;dark;hp_multi_debuff;-7.5,attr;dark;drag_cool_add_debuff;-10",15,15,15,10,-15,-15,-15,-10
1500031,"attr;fire;atk_multi;20,attr;fire;def_multi;20,attr;fire;hp_multi;20,attr;fire;drag_cool_add;15,attr;water;atk_multi_debuff;-20,attr;water;def_multi_debuff;-20,attr;water;hp_multi_debuff;-20,attr;water;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500032,"attr;earth;atk_multi;20,attr;earth;def_multi;20,attr;earth;hp_multi;20,attr;earth;drag_cool_add;15,attr;fire;atk_multi_debuff;-20,attr;fire;def_multi_debuff;-20,attr;fire;hp_multi_debuff;-20,attr;fire;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500033,"attr;water;atk_multi;20,attr;water;def_multi;20,attr;water;hp_multi;20,attr;water;drag_cool_add;15,attr;earth;atk_multi_debuff;-20,attr;earth;def_multi_debuff;-20,attr;earth;hp_multi_debuff;-20,attr;earth;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500034,"attr;dark;atk_multi;20,attr;dark;def_multi;20,attr;dark;hp_multi;20,attr;dark;drag_cool_add;15,attr;fire;atk_multi_debuff;-10,attr;fire;def_multi_debuff;-10,attr;fire;hp_multi_debuff;-10,attr;fire;drag_cool_add_debuff;-15,attr;earth;atk_multi_debuff;-10,attr;earth;def_multi_debuff;-10,attr;earth;hp_multi_debuff;-10,attr;earth;drag_cool_add_debuff;-15,attr;water;atk_multi_debuff;-10,attr;water;def_multi_debuff;-10,attr;water;hp_multi_debuff;-10,attr;water;drag_cool_add_debuff;-15,attr;light;atk_multi_debuff;-10,attr;light;def_multi_debuff;-10,attr;light;hp_multi_debuff;-10,attr;light;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500035,"attr;light;atk_multi;20,attr;light;def_multi;20,attr;light;hp_multi;20,attr;light;drag_cool_add;15,attr;fire;atk_multi_debuff;-10,attr;fire;def_multi_debuff;-10,attr;fire;hp_multi_debuff;-10,attr;fire;drag_cool_add_debuff;-15,attr;earth;atk_multi_debuff;-10,attr;earth;def_multi_debuff;-10,attr;earth;hp_multi_debuff;-10,attr;earth;drag_cool_add_debuff;-15,attr;water;atk_multi_debuff;-10,attr;water;def_multi_debuff;-10,attr;water;hp_multi_debuff;-10,attr;water;drag_cool_add_debuff;-15,attr;dark;atk_multi_debuff;-10,attr;dark;def_multi_debuff;-10,attr;dark;hp_multi_debuff;-10,attr;dark;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500036,"attr;fire;atk_multi;20,attr;fire;def_multi;20,attr;fire;hp_multi;20,attr;fire;drag_cool_add;15,attr;water;atk_multi_debuff;-20,attr;water;def_multi_debuff;-20,attr;water;hp_multi_debuff;-20,attr;water;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500037,"attr;earth;atk_multi;20,attr;earth;def_multi;20,attr;earth;hp_multi;20,attr;earth;drag_cool_add;15,attr;fire;atk_multi_debuff;-20,attr;fire;def_multi_debuff;-20,attr;fire;hp_multi_debuff;-20,attr;fire;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500038,"attr;water;atk_multi;20,attr;water;def_multi;20,attr;water;hp_multi;20,attr;water;drag_cool_add;15,attr;earth;atk_multi_debuff;-20,attr;earth;def_multi_debuff;-20,attr;earth;hp_multi_debuff;-20,attr;earth;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500039,"attr;dark;atk_multi;20,attr;dark;def_multi;20,attr;dark;hp_multi;20,attr;dark;drag_cool_add;15,attr;fire;atk_multi_debuff;-10,attr;fire;def_multi_debuff;-10,attr;fire;hp_multi_debuff;-10,attr;fire;drag_cool_add_debuff;-15,attr;earth;atk_multi_debuff;-10,attr;earth;def_multi_debuff;-10,attr;earth;hp_multi_debuff;-10,attr;earth;drag_cool_add_debuff;-15,attr;water;atk_multi_debuff;-10,attr;water;def_multi_debuff;-10,attr;water;hp_multi_debuff;-10,attr;water;drag_cool_add_debuff;-15,attr;light;atk_multi_debuff;-10,attr;light;def_multi_debuff;-10,attr;light;hp_multi_debuff;-10,attr;light;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500040,"attr;light;atk_multi;20,attr;light;def_multi;20,attr;light;hp_multi;20,attr;light;drag_cool_add;15,attr;fire;atk_multi_debuff;-10,attr;fire;def_multi_debuff;-10,attr;fire;hp_multi_debuff;-10,attr;fire;drag_cool_add_debuff;-15,attr;earth;atk_multi_debuff;-10,attr;earth;def_multi_debuff;-10,attr;earth;hp_multi_debuff;-10,attr;earth;drag_cool_add_debuff;-15,attr;water;atk_multi_debuff;-10,attr;water;def_multi_debuff;-10,attr;water;hp_multi_debuff;-10,attr;water;drag_cool_add_debuff;-15,attr;dark;atk_multi_debuff;-10,attr;dark;def_multi_debuff;-10,attr;dark;hp_multi_debuff;-10,attr;dark;drag_cool_add_debuff;-15",20,20,20,15,-20,-20,-20,-15
1500041,"attr;fire;atk_multi;25,attr;fire;def_multi;25,attr;fire;hp_multi;25,attr;fire;drag_cool_add;20,attr;water;atk_multi_debuff;-25,attr;water;def_multi_debuff;-25,attr;water;hp_multi_debuff;-25,attr;water;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500042,"attr;earth;atk_multi;25,attr;earth;def_multi;25,attr;earth;hp_multi;25,attr;earth;drag_cool_add;20,attr;fire;atk_multi_debuff;-25,attr;fire;def_multi_debuff;-25,attr;fire;hp_multi_debuff;-25,attr;fire;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500043,"attr;water;atk_multi;25,attr;water;def_multi;25,attr;water;hp_multi;25,attr;water;drag_cool_add;20,attr;earth;atk_multi_debuff;-25,attr;earth;def_multi_debuff;-25,attr;earth;hp_multi_debuff;-25,attr;earth;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500044,"attr;dark;atk_multi;25,attr;dark;def_multi;25,attr;dark;hp_multi;25,attr;dark;drag_cool_add;20,attr;fire;atk_multi_debuff;-12.5,attr;fire;def_multi_debuff;-12.5,attr;fire;hp_multi_debuff;-12.5,attr;fire;drag_cool_add_debuff;-20,attr;earth;atk_multi_debuff;-12.5,attr;earth;def_multi_debuff;-12.5,attr;earth;hp_multi_debuff;-12.5,attr;earth;drag_cool_add_debuff;-20,attr;water;atk_multi_debuff;-12.5,attr;water;def_multi_debuff;-12.5,attr;water;hp_multi_debuff;-12.5,attr;water;drag_cool_add_debuff;-20,attr;light;atk_multi_debuff;-12.5,attr;light;def_multi_debuff;-12.5,attr;light;hp_multi_debuff;-12.5,attr;light;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500045,"attr;light;atk_multi;25,attr;light;def_multi;25,attr;light;hp_multi;25,attr;light;drag_cool_add;20,attr;fire;atk_multi_debuff;-12.5,attr;fire;def_multi_debuff;-12.5,attr;fire;hp_multi_debuff;-12.5,attr;fire;drag_cool_add_debuff;-20,attr;earth;atk_multi_debuff;-12.5,attr;earth;def_multi_debuff;-12.5,attr;earth;hp_multi_debuff;-12.5,attr;earth;drag_cool_add_debuff;-20,attr;water;atk_multi_debuff;-12.5,attr;water;def_multi_debuff;-12.5,attr;water;hp_multi_debuff;-12.5,attr;water;drag_cool_add_debuff;-20,attr;dark;atk_multi_debuff;-12.5,attr;dark;def_multi_debuff;-12.5,attr;dark;hp_multi_debuff;-12.5,attr;dark;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500046,"attr;fire;atk_multi;25,attr;fire;def_multi;25,attr;fire;hp_multi;25,attr;fire;drag_cool_add;20,attr;water;atk_multi_debuff;-25,attr;water;def_multi_debuff;-25,attr;water;hp_multi_debuff;-25,attr;water;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500047,"attr;earth;atk_multi;25,attr;earth;def_multi;25,attr;earth;hp_multi;25,attr;earth;drag_cool_add;20,attr;fire;atk_multi_debuff;-25,attr;fire;def_multi_debuff;-25,attr;fire;hp_multi_debuff;-25,attr;fire;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500048,"attr;water;atk_multi;25,attr;water;def_multi;25,attr;water;hp_multi;25,attr;water;drag_cool_add;20,attr;earth;atk_multi_debuff;-25,attr;earth;def_multi_debuff;-25,attr;earth;hp_multi_debuff;-25,attr;earth;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500049,"attr;dark;atk_multi;25,attr;dark;def_multi;25,attr;dark;hp_multi;25,attr;dark;drag_cool_add;20,attr;fire;atk_multi_debuff;-12.5,attr;fire;def_multi_debuff;-12.5,attr;fire;hp_multi_debuff;-12.5,attr;fire;drag_cool_add_debuff;-20,attr;earth;atk_multi_debuff;-12.5,attr;earth;def_multi_debuff;-12.5,attr;earth;hp_multi_debuff;-12.5,attr;earth;drag_cool_add_debuff;-20,attr;water;atk_multi_debuff;-12.5,attr;water;def_multi_debuff;-12.5,attr;water;hp_multi_debuff;-12.5,attr;water;drag_cool_add_debuff;-20,attr;light;atk_multi_debuff;-12.5,attr;light;def_multi_debuff;-12.5,attr;light;hp_multi_debuff;-12.5,attr;light;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500050,"attr;light;atk_multi;25,attr;light;def_multi;25,attr;light;hp_multi;25,attr;light;drag_cool_add;20,attr;fire;atk_multi_debuff;-12.5,attr;fire;def_multi_debuff;-12.5,attr;fire;hp_multi_debuff;-12.5,attr;fire;drag_cool_add_debuff;-20,attr;earth;atk_multi_debuff;-12.5,attr;earth;def_multi_debuff;-12.5,attr;earth;hp_multi_debuff;-12.5,attr;earth;drag_cool_add_debuff;-20,attr;water;atk_multi_debuff;-12.5,attr;water;def_multi_debuff;-12.5,attr;water;hp_multi_debuff;-12.5,attr;water;drag_cool_add_debuff;-20,attr;dark;atk_multi_debuff;-12.5,attr;dark;def_multi_debuff;-12.5,attr;dark;hp_multi_debuff;-12.5,attr;dark;drag_cool_add_debuff;-20",25,25,25,20,-25,-25,-25,-20
1500051,"attr;fire;atk_multi;30,attr;fire;def_multi;30,attr;fire;hp_multi;30,attr;fire;drag_cool_add;25,attr;water;atk_multi_debuff;-30,attr;water;def_multi_debuff;-30,attr;water;hp_multi_debuff;-30,attr;water;drag_cool_add_debuff;-25",30,30,30,25,-30,-30,-30,-25
1500052,"attr;earth;atk_multi;30,attr;earth;def_multi;30,attr;earth;hp_multi;30,attr;earth;drag_cool_add;25,attr;fire;atk_multi_debuff;-30,attr;fire;def_multi_debuff;-30,attr;fire;hp_multi_debuff;-30,attr;fire;drag_cool_add_debuff;-25",30,30,30,25,-30,-30,-30,-25
1500053,"attr;water;atk_multi;30,attr;water;def_multi;30,attr;water;hp_multi;30,attr;water;drag_cool_add;25,attr;earth;atk_multi_debuff;-30,attr;earth;def_multi_debuff;-30,attr;earth;hp_multi_debuff;-30,attr;earth;drag_cool_add_debuff;-25",30,30,30,25,-30,-30,-30,-25
1500054,"attr;dark;atk_multi;30,attr;dark;def_multi;30,attr;dark;hp_multi;30,attr;dark;drag_cool_add;25,attr;fire;atk_multi_debuff;-15,attr;fire;def_multi_debuff;-15,attr;fire;hp_multi_debuff;-15,attr;fire;drag_cool_add_debuff;-25,attr;earth;atk_multi_debuff;-15,attr;earth;def_multi_debuff;-15,attr;earth;hp_multi_debuff;-15,attr;earth;drag_cool_add_debuff;-25,attr;water;atk_multi_debuff;-15,attr;water;def_multi_debuff;-15,attr;water;hp_multi_debuff;-15,attr;water;drag_cool_add_debuff;-25,attr;light;atk_multi_debuff;-15,attr;light;def_multi_debuff;-15,attr;light;hp_multi_debuff;-15,attr;light;drag_cool_add_debuff;-25",30,30,30,25,-30,-30,-30,-25
1500055,"attr;light;atk_multi;30,attr;light;def_multi;30,attr;light;hp_multi;30,attr;light;drag_cool_add;25,attr;fire;atk_multi_debuff;-15,attr;fire;def_multi_debuff;-15,attr;fire;hp_multi_debuff;-15,attr;fire;drag_cool_add_debuff;-25,attr;earth;atk_multi_debuff;-15,attr;earth;def_multi_debuff;-15,attr;earth;hp_multi_debuff;-15,attr;earth;drag_cool_add_debuff;-25,attr;water;atk_multi_debuff;-15,attr;water;def_multi_debuff;-15,attr;water;hp_multi_debuff;-15,attr;water;drag_cool_add_debuff;-25,attr;dark;atk_multi_debuff;-15,attr;dark;def_multi_debuff;-15,attr;dark;hp_multi_debuff;-15,attr;dark;drag_cool_add_debuff;-25",30,30,30,25,-30,-30,-30,-25
