eid,grade,lv,max_exp,giving_exp,req_gold_per_mtrl,req_gold_per_lvup,sell_gold,max_exp_myth,req_gold_per_lvup_myth,giving_exp_myth
306,3,6,488,10184,4000,61,3750,4880,610,101840
307,3,7,538,10233,4000,67,4000,5380,670,102330
308,3,8,593,10287,4000,74,4250,5930,740,102870
309,3,9,653,10346,4000,82,4500,6530,820,103460
310,3,10,720,10411,4000,90,4750,7200,900,104110
311,3,11,793,10483,4000,99,5000,7930,990,104830
312,3,12,874,10562,4000,109,5250,8740,1090,105620
313,3,13,963,10649,4000,120,5500,9630,1200,106490
314,3,14,1061,10745,4000,133,5750,10610,1330,107450
315,3,15,1169,10851,4000,146,6000,11690,1460,108510
316,3,16,1288,10968,4000,161,6250,12880,1610,109680
317,3,17,1419,11097,4000,177,6500,14190,1770,110970
318,3,18,1564,11239,4000,196,6750,15640,1960,112390
319,3,19,1724,11395,4000,216,7000,17240,2160,113950
320,3,20,1900,11567,4000,238,7250,19000,2380,115670
321,3,21,2094,11757,4000,262,7500,20940,2620,117570
322,3,22,2308,11966,4000,289,7750,23080,2890,119660
323,3,23,2543,12197,4000,318,8000,25430,3180,121970
324,3,24,2802,12451,4000,350,8250,28020,3500,124510
325,3,25,3088,12731,4000,386,8500,30880,3860,127310
326,3,26,3403,13040,4000,425,8750,34030,4250,130400
327,3,27,3750,13380,4000,469,9000,37500,4690,133800
328,3,28,4133,13755,4000,517,9250,41330,5170,137550
329,3,29,4555,14168,4000,569,9500,45550,5690,141680
330,3,30,,14624,4000,,9750,0,0,146240
401,4,1,400,20000,7500,50,5000,4000,500,200000
402,4,2,442,20040,7500,55,5500,4420,550,200400
403,4,3,488,20084,7500,61,6000,4880,610,200840
404,4,4,539,20133,7500,67,6500,5390,670,201330
405,4,5,595,20187,7500,74,7000,5950,740,201870
406,4,6,657,20247,7500,82,7500,6570,820,202470
407,4,7,726,20313,7500,91,8000,7260,910,203130
408,4,8,802,20386,7500,100,8500,8020,1000,203860
409,4,9,886,20466,7500,111,9000,8860,1110,204660
410,4,10,979,20555,7500,122,9500,9790,1220,205550
411,4,11,1082,20653,7500,135,10000,10820,1350,206530
412,4,12,1195,20761,7500,149,10500,11950,1490,207610
413,4,13,1320,20881,7500,165,11000,13200,1650,208810
414,4,14,1458,21013,7500,182,11500,14580,1820,210130
415,4,15,1611,21159,7500,201,12000,16110,2010,211590
416,4,16,1780,21320,7500,223,12500,17800,2230,213200
417,4,17,1967,21498,7500,246,13000,19670,2460,214980
418,4,18,2173,21695,7500,272,13500,21730,2720,216950
419,4,19,2401,21912,7500,300,14000,24010,3000,219120
420,4,20,2653,22152,7500,332,14500,26530,3320,221520
421,4,21,2931,22417,7500,366,15000,29310,3660,224170
422,4,22,3238,22710,7500,405,15500,32380,4050,227100
423,4,23,3577,23034,7500,447,16000,35770,4470,230340
424,4,24,3952,23392,7500,494,16500,39520,4940,233920
425,4,25,4366,23787,7500,546,17000,43660,5460,237870
426,4,26,4824,24224,7500,603,17500,48240,6030,242240
427,4,27,5330,24706,7500,666,18000,53300,6660,247060
428,4,28,5889,25239,7500,736,18500,58890,7360,252390
429,4,29,6506,25828,7500,813,19000,65060,8130,258280
430,4,30,7188,26479,7500,899,19500,71880,8990,264790
431,4,31,7941,27198,7500,993,20000,79410,9930,271980
432,4,32,8773,27992,7500,1097,20500,87730,10970,279920
433,4,33,9692,28869,7500,1212,21000,96920,12120,288690
434,4,34,10708,29838,7500,1339,21500,107080,13390,298380
435,4,35,11830,30909,7500,1479,22000,118300,14790,309090
436,4,36,13070,32092,7500,1634,22500,130700,16340,320920
437,4,37,14440,33399,7500,1805,23000,144400,18050,333990
438,4,38,15953,34843,7500,1994,23500,159530,19940,348430
439,4,39,17625,36438,7500,2203,24000,176250,22030,364380
440,4,40,,38201,7500,,24500,0,0,382010
501,5,1,500,40000,12500,63,10000,5000,630,400000
502,5,2,554,40050,12500,69,11000,5540,690,400500
503,5,3,614,40105,12500,77,12000,6140,770,401050
504,5,4,680,40166,12500,85,13000,6800,850,401660
505,5,5,753,40234,12500,94,14000,7530,940,402340
506,5,6,834,40309,12500,104,15000,8340,1040,403090
507,5,7,924,40392,12500,116,16000,9240,1160,403920
508,5,8,1023,40484,12500,128,17000,10230,1280,404840
509,5,9,1133,40586,12500,142,18000,11330,1420,405860
510,5,10,1255,40699,12500,157,19000,12550,1570,406990
511,5,11,1390,40825,12500,174,20000,13900,1740,408250
512,5,12,1539,40964,12500,192,21000,15390,1920,409640
513,5,13,1704,41118,12500,213,22000,17040,2130,411180
514,5,14,1887,41288,12500,236,23000,18870,2360,412880
515,5,15,2090,41477,12500,261,24000,20900,2610,414770
516,5,16,2315,41686,12500,289,25000,23150,2890,416860
517,5,17,2564,41918,12500,321,26000,25640,3210,419180
518,5,18,2840,42174,12500,355,27000,28400,3550,421740
519,5,19,3145,42458,12500,393,28000,31450,3930,424580
520,5,20,3483,42773,12500,435,29000,34830,4350,427730
521,5,21,3857,43121,12500,482,30000,38570,4820,431210
522,5,22,4272,43507,12500,534,31000,42720,5340,435070
523,5,23,4731,43934,12500,591,32000,47310,5910,439340
524,5,24,5240,44407,12500,655,33000,52400,6550,444070
525,5,25,5803,44931,12500,725,34000,58030,7250,449310
526,5,26,6427,45511,12500,803,35000,64270,8030,455110
527,5,27,7118,46154,12500,890,36000,71180,8900,461540
528,5,28,7883,46866,12500,985,37000,78830,9850,468660
529,5,29,8730,47654,12500,1091,38000,87300,10910,476540
530,5,30,9668,48527,12500,1209,39000,96680,12090,485270
531,5,31,10707,49494,12500,1338,40000,107070,13380,494940
532,5,32,11858,50565,12500,1482,41000,118580,14820,505650
533,5,33,13133,51751,12500,1642,42000,131330,16420,517510
534,5,34,14545,53064,12500,1818,43000,145450,18180,530640
535,5,35,16109,54519,12500,2014,44000,161090,20140,545190
536,5,36,17841,56130,12500,2230,45000,178410,22300,561300
537,5,37,19759,57914,12500,2470,46000,197590,24700,579140
538,5,38,21883,59890,12500,2735,47000,218830,27350,598900
539,5,39,24235,62078,12500,3029,48000,242350,30290,620780
540,5,40,26840,64502,12500,3355,49000,268400,33550,645020
541,5,41,29725,67186,12500,3716,50000,297250,37160,671860
542,5,42,32920,70159,12500,4115,51000,329200,41150,701590
543,5,43,36459,73451,12500,4557,52000,364590,45570,734510
544,5,44,40378,77097,12500,5047,53000,403780,50470,770970
545,5,45,44719,81135,12500,5590,54000,447190,55900,811350
546,5,46,49526,85607,12500,6191,55000,495260,61910,856070
547,5,47,54850,90560,12500,6856,56000,548500,68560,905600
548,5,48,60746,96045,12500,7593,57000,607460,75930,960450
549,5,49,67276,102120,12500,8410,58000,672760,84100,1021200
550,5,50,,108848,12500,,59000,0,0,1088480
601,6,1,600,80000,20000,75,20000,6000,750,800000
602,6,2,659,80060,20000,82,22000,6590,820,800600
603,6,3,723,80126,20000,90,24000,7230,900,801260
604,6,4,793,80198,20000,99,26000,7930,990,801980
605,6,5,870,80277,20000,109,28000,8700,1090,802770
606,6,6,955,80364,20000,119,30000,9550,1190,803640
607,6,7,1048,80460,20000,131,32000,10480,1310,804600
608,6,8,1150,80565,20000,144,34000,11500,1440,805650
609,6,9,1262,80680,20000,158,36000,12620,1580,806800
610,6,10,1385,80806,20000,173,38000,13850,1730,808060
611,6,11,1520,80945,20000,190,40000,15200,1900,809450
612,6,12,1668,81097,20000,209,42000,16680,2090,810970
613,6,13,1831,81264,20000,229,44000,18310,2290,812640
614,6,14,2010,81447,20000,251,46000,20100,2510,814470
615,6,15,2206,81648,20000,276,48000,22060,2760,816480
616,6,16,2421,81869,20000,303,50000,24210,3030,818690
617,6,17,2657,82111,20000,332,52000,26570,3320,821110
618,6,18,2916,82377,20000,365,54000,29160,3650,823770
619,6,19,3200,82669,20000,400,56000,32000,4000,826690
620,6,20,3512,82989,20000,439,58000,35120,4390,829890
621,6,21,3854,83340,20000,482,60000,38540,4820,833400
622,6,22,4230,83725,20000,529,62000,42300,5290,837250
623,6,23,4642,84148,20000,580,64000,46420,5800,841480
624,6,24,5095,84612,20000,637,66000,50950,6370,846120
625,6,25,5592,85122,20000,699,68000,55920,6990,851220
626,6,26,6137,85681,20000,767,70000,61370,7670,856810
627,6,27,6735,86295,20000,842,72000,67350,8420,862950
628,6,28,7392,86969,20000,924,74000,73920,9240,869690
629,6,29,8113,87708,20000,1014,76000,81130,10140,877080
630,6,30,8904,88519,20000,1113,78000,89040,11130,885190
631,6,31,9772,89409,20000,1222,80000,97720,12220,894090
632,6,32,10725,90386,20000,1341,82000,107250,13410,903860
633,6,33,11771,91459,20000,1471,84000,117710,14710,914590
634,6,34,12919,92636,20000,1615,86000,129190,16150,926360
635,6,35,14179,93928,20000,1772,88000,141790,17720,939280
636,6,36,15561,95346,20000,1945,90000,155610,19450,953460
637,6,37,17078,96902,20000,2135,92000,170780,21350,969020
638,6,38,18743,98610,20000,2343,94000,187430,23430,986100
639,6,39,20570,100484,20000,2571,96000,205700,25710,1004840
640,6,40,22576,102541,20000,2822,98000,225760,28220,1025410
641,6,41,24777,104799,20000,3097,100000,247770,30970,1047990
642,6,42,27193,107277,20000,3399,102000,271930,33990,1072770
643,6,43,29844,109996,20000,3731,104000,298440,37310,1099960
644,6,44,32754,112980,20000,4094,106000,327540,40940,1129800
645,6,45,35948,116255,20000,4494,108000,359480,44940,1162550
646,6,46,39453,119850,20000,4932,110000,394530,49320,1198500
647,6,47,43300,123795,20000,5413,112000,433000,54130,1237950
648,6,48,47522,128125,20000,5940,114000,475220,59400,1281250
649,6,49,52155,132877,20000,6519,116000,521550,65190,1328770
650,6,50,57240,138093,20000,7155,118000,572400,71550,1380930
651,6,51,62821,143817,20000,7853,120000,628210,78530,1438170
652,6,52,68946,150099,20000,8618,122000,689460,86180,1500990
653,6,53,75668,156994,20000,9459,124000,756680,94590,1569940
654,6,54,83046,164561,20000,10381,126000,830460,103810,1645610
655,6,55,91143,172866,20000,11393,128000,911430,113930,1728660
656,6,56,100029,181980,20000,12504,130000,1000290,125040,1819800
657,6,57,109782,191983,20000,13723,132000,1097820,137230,1919830
658,6,58,120486,202961,20000,15061,134000,1204860,150610,2029610
659,6,59,132233,215010,20000,16529,136000,1322330,165290,2150100
660,6,60,,228233,20000,,138000,,,2282330
