name,category,type,t_name,r_comment,res,res_2,res_icon,sound,symbol,groggy,overlab,overlab_option,duration,atk,def,hp,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,hp_drain,heal_power,recovery_power,dmg_adj_rate,atk_dmg_adj_rate,attr_adj_rate,attr_weak_adj_rate,cri_dmg_adj_rate,reflex_normal,reflex_skill,debuff_time,target_debuff_time,accuracy,resistance,pierce,guard_rear,final_dmg_rate,dot_interval,abs_switch,direction,val_1,val_2,val_3,val_4,desc_1,desc_2,desc_3,desc_4,t_desc,erasable,show_icon,to_programmer
zombie_cri_chance,good,zombie,좀비+치확증가,,res/effect/effect_zombie_new/effect_zombie_new.vrp,,res/ui/icons/status_effect/zombie.png,sfx_buff_get_1,x,false,1,0,10,0,0,0,0,50,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,좀비화,1,1,x
berserk,good,zombie,광전사,,res/effect/effect_zombie/effect_zombie.vrp,,,sfx_buff_get_1,x,false,1,0,10,0,0,0,300,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,광전사,0,0,x
resurrect,good,resurrect,부활,"부활 후 회복 규칙
1. 시전자의 크리 발동에 따라 힐량이 배가 될 수 있음
2. 시전자의 heal_power 스탯에 따라 힐량이 늘어날 수 있음
3. 대상자의 recovery_power(치유량 증가)에 따라 힐량이 늘어날 수 있음
4. 대상자의 final_heal_rate (최종 치유량)에 따라 힐량이 변동될 수 있음 ",,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,부활,1,1,x
resurrect_time,good,resurrect_time,부활,"부활버프, 버프를 받은 상태에서 죽을 때 자동 부활",,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,부활,1,1,x
add_mana,good,add_mana,마나 추가,,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,,0,0,
mana_reduce,good,mana_reduce,마나 감소버프,,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,,0,0,
mana_reduce_abs,good,mana_reduce,마나 감소버프(횟수),,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,use_abs,,,,x,x,x,x,,0,0,
heal,good,dot_heal,회복,,res/effect/effect_tamer_heal/effect_tamer_heal.vrp,,res/ui/icons/status_effect/heal.png,sfx_heal,x,false,5,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,atk,,,,x,x,x,x,,1,1,x
barrier_protection,good,barrier,보호막,,res/effect/effect_protection_new/effect_protection_new.vrp,,res/ui/icons/status_effect/p_resist.png,sfx_shield,x,false,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,barrier,100,,,,x,x,x,x,,1,1,시전자 체력의 val_1% 만큼 데미지를 흡수하는 보호막 생성
barrier_protection_time,good,barrier_time,보호막(무적),,res/effect/effect_immunity_new/effect_immunity_new.vrp,,res/ui/icons/status_effect/Invulnerable.png,sfx_shield,x,false,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,barrier,,,,,x,x,x,x,,1,1,duration동안 데미지를 흡수하는 보호막 생성
barrier_protection_time_perfect,good,barrier_time,보호막(무적),,res/effect/effect_immunity_new/effect_immunity_new.vrp,,res/ui/icons/status_effect/Invulnerable.png,sfx_shield,x,false,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,barrier,keep_hp,,,,x,x,x,x,,1,1,duration동안 데미지를 흡수하는 보호막 생성
alive_resist,good,buff,피해 저항,지정 드래곤 생존 시 유지되는 버프,,,res/ui/icons/status_effect/p_resist.png,sfx_buff_get_1,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,barrier,,,,,10,x,x,x,,0,0,최종 데미지에서 곱연산
resist,good,buff,피해 저항,,,,res/ui/icons/status_effect/p_resist.png,sfx_buff_get_1,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,barrier,,,,,10,x,x,x,,0,0,최종 데미지에서 곱연산
immunity_debuff,good,immune,면역,,res/effect/effect_react_armor_new/effect_react_armor_new.vrp,,res/ui/icons/status_effect/immunity_debuff.png,sfx_shield,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,,1,1,
recovery_add,good,buff,받는 회복량 증가,,res/effect/effect_tactics_up/effect_tactics_up.vrp,,res/ui/icons/status_effect/recovery_add.png,sfx_buff_get_1,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,x,x,x,x,,1,1,
tamer_atk_up,good,buff,공격력 증가,,res/effect/effect_tamer_combat/effect_tamer_combat.vrp,,res/ui/icons/status_effect/atk_up.png,sfx_buff_get_1,x,false,1,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,15,100,,,15,100,x,x,공격력 증가,0,1,정수x퍼센트 (곱연산)
tamer_def_up,good,buff,방어력 증가,,res/effect/effect_tamer_defense/effect_tamer_defense.vrp,,res/ui/icons/status_effect/def_up.png,sfx_buff_get_1,x,false,1,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,x,x,x,방어력 증가,0,1,정수x퍼센트 (곱연산)
tamer_heal,good,dot_heal,회복,,res/effect/effect_tamer_heal/effect_tamer_heal.vrp,,res/ui/icons/status_effect/heal.png,sfx_buff_get_1,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,hp_target,,,,x,x,x,x,,0,1,x
atk_down,bad,debuff,공격력 감소,,,,res/ui/icons/status_effect/atk_down.png,sfx_debuff,x,false,3,1,15,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,x,x,x,공격력 감소,1,1,정수x퍼센트 (곱연산)
aspd_down,bad,debuff,공격 속도 감소,,,,res/ui/icons/status_effect/aspd_down.png,sfx_debuff,x,false,3,1,15,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,,x,x,공격 속도 감소,1,1,퍼센트+퍼센트 (합연산)
cri_chance_down,bad,debuff,치명 확률 감소 ,,,,res/ui/icons/status_effect/cri_chance_down.png,sfx_debuff,x,false,1,0,15,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,치명 확률 감소,1,1,퍼센트+퍼센트 (합연산)
def_down,bad,debuff,방어력 감소,,,,res/ui/icons/status_effect/def_down.png,sfx_debuff,x,false,3,1,15,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,방어력 감소,1,1,정수x퍼센트 (곱연산)
cri_avoid_down,bad,debuff,치명 회피 감소 ,,,,res/ui/icons/status_effect/cri_avoid_down.png,sfx_debuff,x,false,1,0,15,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,치명 회피 감소,1,1,퍼센트+퍼센트 (합연산)
avoid_down,bad,debuff,회피율 감소,,,,res/ui/icons/status_effect/avoid_down.png,sfx_debuff,x,false,1,0,15,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,회피 감소,1,1,퍼센트+퍼센트 (합연산)
hit_rate_down,bad,debuff,적중률 감소,,,,res/ui/icons/status_effect/hit_rate_down.png,sfx_debuff,x,false,1,0,15,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,적중 감소,1,1,퍼센트+퍼센트 (합연산)
heal_dec,bad,debuff,회복량 감소,,,,res/ui/icons/status_effect/recovery_dec.png,sfx_debuff,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,x,x,x,x,,1,1,
recovery_dec,bad,debuff,받는 회복량 감소,,,,res/ui/icons/status_effect/recovery_dec.png,sfx_debuff,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,x,x,x,x,받는 치유량 감소,1,1,
flame_mark,none,debuff,화염의 표식,세에레 전용 상태효과,res/effect/effect_seere/effect_seere.vrp,,res/ui/icons/status_effect/target.png,efx_burn,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,,0,1,정수x퍼센트 (곱연산)
unenforceable,bad,debuff,강화불가 (긍정 버프 불가),새로운 타입,,,res/ui/icons/status_effect/recovery_dec.png,sfx_debuff,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,x,x,x,x,,1,1,
stun,bad,cc,기절,,res/effect/effect_stun/effect_stun.vrp,,res/ui/icons/status_effect/stun.png,efx_stun,x,true,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,기절,1,1,x
stun_none,none,cc,기절,,res/effect/effect_stun/effect_stun.vrp,,res/ui/icons/status_effect/stun.png,efx_stun,x,true,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,기절,1,1,x
sleep,bad,cc,수면,,res/effect/effect_sleep/effect_sleep.spine,,res/ui/icons/status_effect/sleep.png,sfx_debuff,x,true,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,1,,x,x,x,x,수면,1,1,받는 피해 2배 증가
silence,bad,cc,침묵,,res/effect/effect_silence/effect_silence.vrp,,res/ui/icons/status_effect/silence.png,sfx_debuff,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1,1,1,,x,x,x,x,침묵,1,1,스킬 사용 불가
dot_damage,bad,dot_dmg,지속피해(신규),,res/effect/effect_bleed/effect_bleed.vrp,,res/ui/icons/status_effect/bleed.png,efx_burn,x,false,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,x,x,x,x,,1,1,
transfer_bad,bad,transfer,모든 해로운 효과 전이,,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,category;bad,,,,x,x,x,x,,1,1,대상의 bad 카테고리의 상태효과를 전이
ice_element,good,buff,얼음 조각(피해량 감소),,res/missile/missile_ice/missile_ice_ready_@.vrp,,,sfx_buff_get_1,x,false,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,polygons,,,,,3,x,x,x,,0,1,
ice_element_dot,good,consume_missile,얼음 조각 지속피해,,res/missile/missile_ice/missile_ice_@.vrp,res/missile/motion_streak/motion_streak_white.png,,efx_bleed,x,false,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,ice_element,,dot_damage;0.5;10;target_max_hp;50,,x,x,x,x,,1,1,
ice_element_atk_down,good,consume_missile,얼음 조각 공격감소,,res/missile/missile_ice/missile_ice_@.vrp,res/missile/motion_streak/motion_streak_white.png,,sfx_wind,x,false,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,ice_element,,atk_down;100;20;0;50,,x,x,x,x,,1,1,
ice_element_def_down,good,consume_missile,얼음 조각 방어감소,,res/missile/missile_ice/missile_ice_@.vrp,res/missile/motion_streak/motion_streak_white.png,,sfx_wind,x,false,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,ice_element,,def_down;100;20;0;50,,x,x,x,x,,1,1,
ice_element_dot_50,good,consume_missile,얼음 조각 지속피해(50%),,res/missile/missile_ice/missile_ice_@.vrp,res/missile/motion_streak/motion_streak_white.png,,efx_bleed,x,false,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,ice_element,,dot_damage;0.5;10;target_max_hp;50,,x,x,x,x,,1,1,
ice_element_atk_down_50,good,consume_missile,얼음 조각 공격감소(50%),,res/missile/missile_ice/missile_ice_@.vrp,res/missile/motion_streak/motion_streak_white.png,,sfx_wind,x,false,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,ice_element,,atk_down;100;20;0;50,,x,x,x,x,,1,1,
ice_element_def_down_50,good,consume_missile,얼음 조각 방어감소(50%),,res/missile/missile_ice/missile_ice_@.vrp,res/missile/motion_streak/motion_streak_white.png,,sfx_wind,x,false,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,ice_element,,def_down;100;20;0;50,,x,x,x,x,,1,1,
oberon_element,none,buff,최대 체력 증가,,res/missile/shot_normal_earth/shot_normal_earth.spine,,,sfx_buff_get_1,x,false,5,1,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,polygons,,,,,3,x,x,x,,1,1,
dusk_resist,none,buff,받는 피해 감소,,res/missile/shot_water_soul_01/shot_water_soul_01.vrp,,,sfx_buff_get_1,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,polygons,,,,,10,x,x,x,,0,1,
remove_oberon_element,none,dispell,오베론 요정 제거,,,res/effect/effect_status_effect_clear/effect_status_effect_clear.vrp,,sfx_heal,x,false,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,name;oberon_element,,,,x,x,x,x,,0,1,
remove_atk_up_wrath,none,dispell,라스 분노 제거,,,res/effect/effect_status_effect_clear/effect_status_effect_clear.vrp,,,x,false,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,name;atk_up_wrath,,,,x,x,x,x,,0,1,
remove_def_down,none,dispell,방어력 감소 제거,,,res/effect/effect_status_effect_clear/effect_status_effect_clear.vrp,,sfx_heal,x,false,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,name;def_down,,,,x,x,x,x,,0,1,
water_element,good,buff,물방울(피해량 감소),,res/effect/effect_abyssedge_waterdrop/effect_abyssedge_waterdrop.vrp,,,sfx_buff_get_1,x,false,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,polygons,,,,,3,x,x,x,,0,1,
water_element_def,good,buff,물방울(방어력 증가),,res/effect/effect_abyssedge_waterdrop/effect_abyssedge_waterdrop.vrp,,,sfx_buff_get_1,x,false,5,1,-1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,polygons,,,,,3,x,x,x,,0,1,
kamari_element_atk,bless,buff,공격력 증가,카마리 전용 버프이펙트,res/effect/effect_kamari/effect_kamari.vrp,,,sfx_buff_get_1,x,false,5,1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,barrier,,,,,3,x,x,x,,0,0,
madness,good,buff,공격력 증가,광기,res/effect/effect_breath_charge/effect_breath_charge_fire.vrp,,res/ui/icons/status_effect/fury.png,sfx_buff_get_1,x,false,1,0,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,barrier,,,,,3,x,x,x,,0,1,
pride_count,none,buff,멸망의 별,프라이드 전용,res/missile/missile_ice/missile_ice_fire.vrp,,,sfx_shield,x,false,3,1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,polygons,,,,,3,x,x,x,,1,1,
accel_mana,good,accel_mana,마나 회복 속도 증가,,,,,sfx_buff_get_1,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,,0,0,
buff_time_increase,good,modify,버프 시간 증가,,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,category;good,,,,x,x,x,x,,1,1,x
debuff_time_decrease,good,modify,디버프 시간 감소,,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,category;bad,,,,x,x,x,x,,1,1,x
buff_time_decrease,bad,modify,버프 시간 감소,,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,category;good,,,,x,x,x,x,,1,1,x
debuff_time_increase,bad,modify,디버프 시간 증가,,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,category;bad,,,,x,x,x,x,,1,1,x
skill_active_cooldown_decrease,good,skill_modify,스킬 재사용시간 감소,드래그,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,skill_active,,,,x,x,x,x,,0,0,
skill_1_cooldown_decrease,good,skill_modify,스킬 재사용시간 감소,패시브1,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,skill_1,,,,x,x,x,x,,0,0,
skill_2_cooldown_decrease,good,skill_modify,스킬 재사용시간 감소,패시브2,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,skill_2,,,,x,x,x,x,,0,0,
skill_3_cooldown_decrease,good,skill_modify,스킬 재사용시간 감소,패시브3,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,skill_3,,,,x,x,x,x,,0,0,
skill_1_cooldown_decrease_buff,good,skill_cool_reduce,스킬 재사용시간 감소,패시브1-지속,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,skill_1,,,,x,x,x,x,,0,0,
skill_2_cooldown_decrease_buff,good,skill_cool_reduce,스킬 재사용시간 감소,패시브2-지속,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,skill_2,,,,x,x,x,x,,0,0,
skill_active_cooldown_decrease_buff_3,good,skill_cool_reduce,스킬 재사용시간 감소,드래그-지속-3마나,res/effect/effect_fury/effect_fury.vrp,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,req_mana_3,,,,x,x,x,x,,0,0,
skill_active_cooldown_decrease_buff_2,good,skill_cool_reduce,스킬 재사용시간 감소,드래그-지속-2마나,res/effect/effect_fury/effect_fury.vrp,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,req_mana_2,,,,x,x,x,x,,0,0,
skill_active_cooldown_decrease_buff,good,skill_cool_reduce,스킬 재사용시간 감소,드래그-지속,res/effect/effect_fury/effect_fury.vrp,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,skill_active,,,,x,x,x,x,,0,0,
skill_active_cooldown_decrease_abs,good,skill_cool_reduce,스킬 재사용시간 감소,드래그-절대값,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,skill_active,,,,x,x,x,x,,0,0,
skill_active_cooldown_decrease_abs_3,good,skill_cool_reduce,스킬 재사용시간 감소,드래그-절대값-3마나,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,req_mana_3,,,,x,x,x,x,,0,0,
skill_active_cooldown_decrease_abs_2,good,skill_cool_reduce,스킬 재사용시간 감소,드래그-절대값-2마나,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,req_mana_2,,,,x,x,x,x,,0,0,
skill_3_cooldown_decrease_abs,good,skill_cool_reduce,스킬 재사용시간 감소,패시브3-절대값,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,skill_3,,,,x,x,x,x,,0,0,
skill_2_cooldown_decrease_abs,good,skill_cool_reduce,스킬 재사용시간 감소,패시브2-절대값,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,skill_2,,,,x,x,x,x,,0,0,
skill_1_cooldown_decrease_abs,good,skill_cool_reduce,스킬 재사용시간 감소,패시브1-절대값,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,skill_1,,,,x,x,x,x,,0,0,
skill_metamorphosis_cooldown_decrease,good,skill_cool_reduce,스킬 재사용시간 감소,변신-절대값,,,,sfx_buff_get_1,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,skill_metamorphosis,,,,x,x,x,x,,0,0,
