stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,boss_hp_ratio,r_boss_actural_ratio,r_real_hp,r_real_def,r_real_atk,buff_user,buff_enemy,val_1,t_help,r_value,r_value_2
1110402,모험,normal,adv,4,2,fire,31,1,1,1,"88,308",195,933,,all;0;atk_dmg_adj_rate_add;25,,,,
1110403,모험,normal,adv,4,3,fire,33,1,1,1,"98,808",255,827,,all;0;atk_dmg_adj_rate_add;25,,,,
1110404,모험,normal,adv,4,4,earth,35,1,1,1,"94,000",270,"1,360",,all;0;atk_dmg_adj_rate_add;25,,,,
1110405,모험,normal,adv,4,5,earth,37,1,1,1,"96,340",558,923,,all;0;atk_dmg_adj_rate_add;25,,,,
1110406,모험,normal,adv,4,6,fire,39,1,1,1,"112,846",241,"1,048",,all;0;atk_dmg_adj_rate_add;25,,,,
1110407,모험,normal,adv,4,7,fire,41,1,1,1,"165,538",616,"1,020",,all;0;atk_dmg_adj_rate_add;25,,,,
1110501,모험,normal,adv,5,1,light,43,1,1,1,"122,800",327,"1,279",,all;0;atk_dmg_adj_rate_add;20,,,,
1110502,모험,normal,adv,5,2,light,46,1,1,1,"135,962",326,"1,004",,all;0;atk_dmg_adj_rate_add;20,,,,
1110503,모험,normal,adv,5,3,water,48,1,1,1,"136,300",363,"1,282",,all;0;atk_dmg_adj_rate_add;20,,,,
1110504,모험,normal,adv,5,4,light,51,1,1,1,"186,500",510,"1,010",,all;0;atk_dmg_adj_rate_add;20,,,,
1110505,모험,normal,adv,5,5,light,53,1,1,1,"149,800",399,"1,568",,all;0;atk_dmg_adj_rate_add;20,,,,
1110506,모험,normal,adv,5,6,light,56,1,1,1,"159,106",339,"1,490",,all;0;atk_dmg_adj_rate_add;20,,,,
1110507,모험,normal,adv,5,7,light,58,1,1,1,"230,923",946,"1,258",,all;0;atk_dmg_adj_rate_add;20,,,,
1110601,모험,normal,adv,6,1,dark,61,1,1,1,"171,400",606,"1,798",,all;0;atk_dmg_adj_rate_add;10,,,,
1110602,모험,normal,adv,6,2,dark,64,1,1,1,"180,875",479,"1,510",,all;0;atk_dmg_adj_rate_add;10,,,,
1110603,모험,normal,adv,6,3,water,67,1,1,1,"187,600",500,"1,775",,all;0;atk_dmg_adj_rate_add;10,,,,
1110604,모험,normal,adv,6,4,dark,69,1,1,1,"242,942",952,"1,491",,all;0;atk_dmg_adj_rate_add;10,,,,
1110605,모험,normal,adv,6,5,fire,72,1,1,1,"201,100",536,"2,116",,all;0;atk_dmg_adj_rate_add;10,,,,
1110606,모험,normal,adv,6,6,dark,75,1,1,1,"193,269",850,"1,764",,all;0;atk_dmg_adj_rate_add;10,,,,
1110607,모험,normal,adv,6,7,dark,78,1,1,1,"307,846",770,"2,669",,all;0;atk_dmg_adj_rate_add;10,,,,
1110701,모험,normal,adv,7,1,earth,78,1,1,1,"156,531",580,"2,593",,,,,,
1110702,모험,normal,adv,7,2,earth,79,1,1,1,"196,308","1,164","1,548",,,,,,
1110703,모험,normal,adv,7,3,earth,79,1,1,1,"220,000",587,"1,933",,,,,,
1110704,모험,normal,adv,7,4,earth,79,1,1,1,"204,000",587,"3,010",,,,,,
1110705,모험,normal,adv,7,5,earth,80,1,1,1,"222,700",594,"2,347",,,,,,
1110706,모험,normal,adv,7,6,earth,80,1,1,1,"229,087",477,"1,957",,,,,,
1110707,모험,normal,adv,7,7,fire,80,1,1,1,"315,538","1,178","1,957",,,,,,
1110801,모험,normal,adv,8,1,earth,81,1,1,1,"225,400",601,"1,745",,,,,,
1110802,모험,normal,adv,8,2,earth,81,1,1,1,"220,038",483,"2,375",,,,,,
1110803,모험,normal,adv,8,3,fire,81,1,1,1,"225,400",601,"2,375",,,,,,
1110804,모험,normal,adv,8,4,earth,82,1,1,1,"291,308",609,"2,564",,,,,,
1110805,모험,normal,adv,8,5,earth,82,1,1,1,"167,526","1,008","1,925",,,,,,
1110806,모험,normal,adv,8,6,earth,83,1,1,1,"218,038","1,020","1,625",,,,,,
1110807,모험,normal,adv,8,7,fire,84,1,1,1,"335,010",623,"2,871",,,,,,
1110901,모험,normal,adv,9,1,water,84,1,1,1,"249,192",623,"1,890",,,,,,
1110902,모험,normal,adv,9,2,water,85,1,1,1,"238,019",506,"2,243",,,,,,
1110903,모험,normal,adv,9,3,water,86,1,1,1,"238,900",637,"1,683",,,,,,
1110904,모험,normal,adv,9,4,water,87,1,1,1,"308,615",856,"2,125",,,,,,
1110905,모험,normal,adv,9,5,water,89,1,1,1,"247,000",659,"2,606",,,,,,
1110906,모험,normal,adv,9,6,water,90,1,1,1,"251,625",535,"2,373",,,,,,
1110907,모험,normal,adv,9,7,water,92,1,1,1,"357,221","1,128","3,140",,,,,,
1111001,모험,normal,adv,10,1,earth,94,1,1,1,"234,850","1,380","2,294",,,,,,
1111002,모험,normal,adv,10,2,earth,95,1,1,1,"248,615",795,"2,595",,,,,,
1111003,모험,normal,adv,10,3,earth,95,1,1,1,"263,200",702,"2,225",,,,,,
1111004,모험,normal,adv,10,4,earth,95,1,1,1,"336,308",472,"3,241",,,,,,
1111005,모험,normal,adv,10,5,fire,96,1,1,1,"265,900",710,"2,808",,,,,,
1111006,모험,normal,adv,10,6,fire,96,1,1,1,"259,558",570,"2,808",,,,,,
1111007,모험,normal,adv,10,7,earth,96,1,1,1,"377,077",943,"3,274",,,,,,
1111101,모험,normal,adv,11,1,light,97,1,1,1,"268,600",717,"2,837",,,,,,
1111102,모험,normal,adv,11,2,fire,97,1,1,1,"239,577",717,"3,308",,,,,,
1111103,모험,normal,adv,11,3,water,97,1,1,1,"268,600",717,"2,554",,,,,,
1111104,모험,normal,adv,11,4,light,98,1,1,1,"351,452",962,"1,914",,,,,,
1111105,모험,normal,adv,11,5,light,98,1,1,1,"271,300",724,"2,866",,,,,,
1111106,모험,normal,adv,11,6,light,99,1,1,1,"244,385",972,"2,895",,,,,,
1111107,모험,normal,adv,11,7,light,100,1,1,1,"392,462","1,612","2,147",,,,,,
1111201,모험,normal,adv,12,1,dark,100,1,1,1,"276,700",981,"2,923",,,,,,
1111202,모험,normal,adv,12,2,earth,101,1,1,1,"234,481","1,481","2,462",,,,,,
1111203,모험,normal,adv,12,3,water,102,1,1,1,"282,100",753,"2,684",,,,,,
1111204,모험,normal,adv,12,4,dark,103,1,1,1,"359,000","1,410","2,210",,,,,,
1111205,모험,normal,adv,12,5,fire,105,1,1,1,"290,200",774,"3,068",,,,,,
1111206,모험,normal,adv,12,6,light,106,1,1,1,"292,077","1,296","1,553",,,,,,
1111207,모험,normal,adv,12,7,dark,108,1,1,1,"416,942","1,739","3,993",,,,,,
1120101,모험,hard,adv,1,1,earth,110,1,1,1,"270,827",810,"2,678",,,,,,
1120102,모험,hard,adv,1,2,earth,111,1,1,1,"299,077",925,"2,702",,,,,,
1120103,모험,hard,adv,1,3,earth,111,1,1,1,"306,400",818,"3,241",,,,,,
1120104,모험,hard,adv,1,4,earth,112,1,1,1,"395,154",553,"3,813",,,,,,
1120105,모험,hard,adv,1,5,earth,112,1,1,1,"309,100",825,"2,618",,,,,,
1120106,모험,hard,adv,1,6,earth,113,1,1,1,"304,346",668,"3,298",,,,,,
1120107,모험,hard,adv,1,7,earth,113,1,1,1,"442,462","1,106","3,847",,,,,,
1120201,모험,hard,adv,2,1,water,114,1,1,1,"335,731",839,"2,553",,,,,,
1120202,모험,hard,adv,2,2,water,115,1,1,1,"326,346",679,"2,798",,,,,,
1120203,모험,hard,adv,2,3,water,116,1,1,1,"319,900",854,"3,385",,,,,,
1120204,모험,hard,adv,2,4,water,117,1,1,1,"412,462","1,145","2,847",,,,,,
1120205,모험,hard,adv,2,5,water,119,1,1,1,"328,000",875,"2,318",,,,,,
1120206,모험,hard,adv,2,6,water,121,1,1,1,"374,692",714,"2,356",,,,,,
1120207,모험,hard,adv,2,7,water,123,1,1,1,"474,962","1,500","4,183",,,,,,
1120301,모험,hard,adv,3,1,earth,126,1,1,1,"346,900",926,"2,697",,,,,,
1120302,모험,hard,adv,3,2,earth,127,1,1,1,"341,231",748,"3,702",,,,,,
1120303,모험,hard,adv,3,3,earth,127,1,1,1,"256,185","1,548","2,964",,,,,,
1120304,모험,hard,adv,3,4,earth,128,1,1,1,"450,538",940,"3,979",,,,,,
1120305,모험,hard,adv,3,5,fire,128,1,1,1,"376,115",630,"3,111",,,,,,
1120306,모험,hard,adv,3,6,fire,129,1,1,1,"335,250","1,885","1,885",,,,,,
1120307,모험,hard,adv,3,7,fire,129,1,1,1,"510,250",948,"4,385",,,,,,
1120401,모험,hard,adv,4,1,earth,130,1,1,1,"256,931",955,"4,293",,,,,,
1120402,모험,hard,adv,4,2,fire,131,1,1,1,"351,769",772,"3,818",,,,,,
1120403,모험,hard,adv,4,3,fire,132,1,1,1,"374,865",969,"3,207",,,,,,
1120404,모험,hard,adv,4,4,earth,134,1,1,1,"341,500",984,"5,073",,,,,,
1120405,모험,hard,adv,4,5,earth,135,1,1,1,"334,480","1,972","3,279",,,,,,
1120406,모험,hard,adv,4,6,fire,137,1,1,1,"379,519",806,"3,593",,,,,,
1120407,모험,hard,adv,4,7,fire,140,1,1,1,"546,308","2,044","3,399",,,,,,
1120501,모험,hard,adv,5,1,light,143,1,1,1,"392,800","1,048","4,164",,,,,,
1120502,모험,hard,adv,5,2,light,144,1,1,1,"411,115",986,"3,077",,,,,,
1120503,모험,hard,adv,5,3,water,144,1,1,1,"395,500","1,056","3,774",,,,,,
1120504,모험,hard,adv,5,4,light,145,1,1,1,"516,404","1,414","2,818",,,,,,
1120505,모험,hard,adv,5,5,light,145,1,1,1,"398,200","1,063","4,222",,,,,,
1120506,모험,hard,adv,5,6,light,146,1,1,1,"404,010",858,"3,826",,,,,,
1120507,모험,hard,adv,5,7,light,146,1,1,1,"569,385","2,342","3,120",,,,,,
1120601,모험,hard,adv,6,1,dark,147,1,1,1,"403,600","1,433","4,279",,,,,,
1120602,모험,hard,adv,6,2,dark,148,1,1,1,"409,452","1,085","3,448",,,,,,
1120603,모험,hard,adv,6,3,water,149,1,1,1,"409,000","1,092","3,904",,,,,,
1120604,모험,hard,adv,6,4,dark,150,1,1,1,"519,433","2,043","3,204",,,,,,
1120605,모험,hard,adv,6,5,fire,152,1,1,1,"417,100","1,113","4,423",,,,,,
1120606,모험,hard,adv,6,6,dark,154,1,1,1,"390,010","1,724","3,587",,,,,,
1120607,모험,hard,adv,6,7,dark,156,1,1,1,"607,846","1,520","5,294",,,,,,
1120701,모험,hard,adv,7,1,earth,159,1,1,1,"312,923","1,164","5,241",,,,,,
1120702,모험,hard,adv,7,2,earth,160,1,1,1,"391,019","2,332","3,106",,,,,,
1120703,모험,hard,adv,7,3,earth,160,1,1,1,"438,700","1,171","3,880",,,,,,
1120704,모험,hard,adv,7,4,earth,161,1,1,1,"409,000","1,178","6,085",,,,,,
1120705,모험,hard,adv,7,5,earth,161,1,1,1,"441,400","1,178","4,683",,,,,,
1120706,모험,hard,adv,7,6,earth,162,1,1,1,"456,952",950,"3,928",,,,,,
1120707,모험,hard,adv,7,7,fire,162,1,1,1,"630,923","2,361","3,928",,,,,,
1120801,모험,hard,adv,8,1,earth,163,1,1,1,"446,800","1,193","3,479",,,,,,
1120802,모험,hard,adv,8,2,earth,164,1,1,1,"438,712",962,"4,770",,,,,,
1120803,모험,hard,adv,8,3,fire,165,1,1,1,"452,200","1,207","4,798",,,,,,
1120804,모험,hard,adv,8,4,earth,166,1,1,1,"582,077","1,214","5,148",,,,,,
1120805,모험,hard,adv,8,5,earth,168,1,1,1,"336,963","2,041","3,910",,,,,,
1120806,모험,hard,adv,8,6,earth,170,1,1,1,"439,721","2,065","3,298",,,,,,
1120807,모험,hard,adv,8,7,fire,172,1,1,1,"677,702","1,258","5,832",,,,,,
1120901,모험,hard,adv,9,1,water,175,1,1,1,"511,692","1,279","3,902",,,,,,
1120902,모험,hard,adv,9,2,water,176,1,1,1,"485,644","1,031","4,605",,,,,,
1120903,모험,hard,adv,9,3,water,176,1,1,1,"481,900","1,286","3,414",,,,,,
1120904,모험,hard,adv,9,4,water,177,1,1,1,"620,154","1,722","4,289",,,,,,
1120905,모험,hard,adv,9,5,water,177,1,1,1,"484,600","1,294","5,145",,,,,,
1120906,모험,hard,adv,9,6,water,178,1,1,1,"491,087","1,043","4,657",,,,,,
1120907,모험,hard,adv,9,7,water,178,1,1,1,"683,856","2,161","6,034",,,,,,
1121001,모험,hard,adv,10,1,earth,179,1,1,1,"441,400","2,606","4,337",,,,,,
1121002,모험,hard,adv,10,2,earth,180,1,1,1,"465,202","1,489","4,883",,,,,,
1121003,모험,hard,adv,10,3,earth,181,1,1,1,"495,400","1,323","4,210",,,,,,
1121004,모험,hard,adv,10,4,earth,182,1,1,1,"637,462",890,"6,169",,,,,,
1121005,모험,hard,adv,10,5,fire,184,1,1,1,"503,500","1,344","5,347",,,,,,
1121006,모험,hard,adv,10,6,fire,186,1,1,1,"496,673","1,089","5,404",,,,,,
1121007,모험,hard,adv,10,7,earth,188,1,1,1,"730,923","1,827","6,371",,,,,,
1121101,모험,hard,adv,11,1,light,191,1,1,1,"522,400","1,395","5,548",,,,,,
1121102,모험,hard,adv,11,2,fire,192,1,1,1,"467,942","1,402","6,505",,,,,,
1121103,모험,hard,adv,11,3,water,193,1,1,1,"527,800","1,409","5,047",,,,,,
1121104,모험,hard,adv,11,4,light,193,1,1,1,"684,865","1,875","3,741",,,,,,
1121105,모험,hard,adv,11,5,light,193,1,1,1,"527,800","1,409","5,606",,,,,,
1121106,모험,hard,adv,11,6,light,194,1,1,1,"472,750","1,885","5,635",,,,,,
1121107,모험,hard,adv,11,7,light,195,1,1,1,"757,846","3,120","4,156",,,,,,
1121201,모험,hard,adv,12,1,dark,195,1,1,1,"533,200","1,895","5,664",,,,,,
1121202,모험,hard,adv,12,2,earth,197,1,1,1,"451,404","2,866","4,770",,,,,,
1121203,모험,hard,adv,12,3,water,198,1,1,1,"541,300","1,445","5,176",,,,,,
1121204,모험,hard,adv,12,4,dark,199,1,1,1,"686,692","2,702","4,241",,,,,,
1121205,모험,hard,adv,12,5,fire,201,1,1,1,"549,400","1,467","5,837",,,,,,
1121206,모험,hard,adv,12,6,light,204,1,1,1,"555,923","2,474","2,967",,,,,,
1121207,모험,hard,adv,12,7,dark,207,1,1,1,"792,000","3,310","7,610",,,,,,
1130101,모험,hell,adv,1,1,earth,160,1,1,1,"391,019","1,171","3,880",,all;0;atk_dmg_adj_rate_add;20,,,,
1130102,모험,hell,adv,1,2,earth,162,1,1,1,"433,442","1,342","3,928",,all;0;atk_dmg_adj_rate_add;20,,,,
1130103,모험,hell,adv,1,3,earth,165,1,1,1,"452,200","1,207","4,798",,all;0;atk_dmg_adj_rate_add;20,,,,
1130104,모험,hell,adv,1,4,earth,167,1,1,1,"585,538",818,"5,664",,all;0;atk_dmg_adj_rate_add;20,,,,
1130105,모험,hell,adv,1,5,earth,170,1,1,1,"465,700","1,243","3,956",,all;0;atk_dmg_adj_rate_add;20,,,,
1130106,모험,hell,adv,1,6,earth,172,1,1,1,"459,788","1,008","5,000",,all;0;atk_dmg_adj_rate_add;20,,,,
1130107,모험,hell,adv,1,7,earth,175,1,1,1,"680,923","1,702","5,933",,all;0;atk_dmg_adj_rate_add;20,,,,
1130201,모험,hell,adv,2,1,water,177,1,1,1,"517,462","1,294","3,947",,all;0;atk_dmg_adj_rate_add;50,,,,
1130202,모험,hell,adv,2,2,water,180,1,1,1,"506,971","1,054","4,361",,all;0;atk_dmg_adj_rate_add;50,,,,
1130203,모험,hell,adv,2,3,water,182,1,1,1,"498,100","1,330","5,289",,all;0;atk_dmg_adj_rate_add;50,,,,
1130204,모험,hell,adv,2,4,water,185,1,1,1,"647,846","1,798","4,481",,all;0;atk_dmg_adj_rate_add;50,,,,
1130205,모험,hell,adv,2,5,water,188,1,1,1,"514,300","1,373","3,645",,all;0;atk_dmg_adj_rate_add;50,,,,
1130206,모험,hell,adv,2,6,water,190,1,1,1,"584,346","1,112","3,683",,all;0;atk_dmg_adj_rate_add;50,,,,
1130207,모험,hell,adv,2,7,water,193,1,1,1,"740,827","2,342","6,539",,all;0;atk_dmg_adj_rate_add;50,,,,
1130301,모험,hell,adv,3,1,earth,195,1,1,1,"533,200","1,423","4,156",,all;0;atk_dmg_adj_rate_add;50,,,,
1130302,모험,hell,adv,3,2,earth,198,1,1,1,"528,288","1,158","5,750",,all;0;atk_dmg_adj_rate_add;50,,,,
1130303,모험,hell,adv,3,3,earth,201,1,1,1,"401,979","2,438","4,672",,all;0;atk_dmg_adj_rate_add;50,,,,
1130304,모험,hell,adv,3,4,earth,203,1,1,1,"710,154","1,481","6,287",,all;0;atk_dmg_adj_rate_add;50,,,,
1130305,모험,hell,adv,3,5,fire,206,1,1,1,"601,115","1,005","4,986",,all;0;atk_dmg_adj_rate_add;50,,,,
1130306,모험,hell,adv,3,6,fire,208,1,1,1,"536,548","3,024","3,024",,all;0;atk_dmg_adj_rate_add;50,,,,
1130307,모험,hell,adv,3,7,fire,211,1,1,1,"829,577","1,539","7,145",,all;0;atk_dmg_adj_rate_add;50,,,,
1130401,모험,hell,adv,4,1,earth,214,1,1,1,"419,115","1,560","7,039",,all;0;atk_dmg_adj_rate_add;100,,,,
1130402,모험,hell,adv,4,2,fire,217,1,1,1,"578,346","1,268","6,298",,all;0;atk_dmg_adj_rate_add;100,,,,
1130403,모험,hell,adv,4,3,fire,219,1,1,1,"617,462","1,597","5,298",,all;0;atk_dmg_adj_rate_add;100,,,,
1130404,모험,hell,adv,4,4,earth,222,1,1,1,"561,500","1,618","8,373",,all;0;atk_dmg_adj_rate_add;100,,,,
1130405,모험,hell,adv,4,5,earth,225,1,1,1,"553,180","3,270","5,443",,all;0;atk_dmg_adj_rate_add;100,,,,
1130406,모험,hell,adv,4,6,fire,227,1,1,1,"624,423","1,325","5,929",,all;0;atk_dmg_adj_rate_add;100,,,,
1130407,모험,hell,adv,4,7,fire,230,1,1,1,"892,462","3,342","5,563",,all;0;atk_dmg_adj_rate_add;100,,,,
1130501,모험,hell,adv,5,1,light,233,1,1,1,"635,800","1,698","6,760",,all;0;atk_dmg_adj_rate_add;100,,,,
1130502,모험,hell,adv,5,2,light,236,1,1,1,"669,423","1,605","5,023",,all;0;atk_dmg_adj_rate_add;100,,,,
1130503,모험,hell,adv,5,3,water,239,1,1,1,"652,000","1,741","6,241",,all;0;atk_dmg_adj_rate_add;100,,,,
1130504,모험,hell,adv,5,4,light,241,1,1,1,"853,327","2,337","4,664",,all;0;atk_dmg_adj_rate_add;100,,,,
1130505,모험,hell,adv,5,5,light,244,1,1,1,"665,500","1,777","7,077",,all;0;atk_dmg_adj_rate_add;100,,,,
1130506,모험,hell,adv,5,6,light,247,1,1,1,"678,846","1,441","6,448",,all;0;atk_dmg_adj_rate_add;100,,,,
1130507,모험,hell,adv,5,7,light,250,1,1,1,"969,385","3,992","5,320",,all;0;atk_dmg_adj_rate_add;100,,,,
1130601,모험,hell,adv,6,1,dark,253,1,1,1,"689,800","2,452","7,337",,all;0;atk_dmg_adj_rate_add;100,,,,
1130602,모험,hell,adv,6,2,dark,256,1,1,1,"703,337","1,863","5,941",,all;0;atk_dmg_adj_rate_add;100,,,,
1130603,모험,hell,adv,6,3,water,259,1,1,1,"706,000","1,885","6,760",,all;0;atk_dmg_adj_rate_add;100,,,,
1130604,모험,hell,adv,6,4,dark,261,1,1,1,"898,327","3,537","5,552",,all;0;atk_dmg_adj_rate_add;100,,,,
1130605,모험,hell,adv,6,5,fire,264,1,1,1,"719,500","1,921","7,654",,all;0;atk_dmg_adj_rate_add;100,,,,
1130606,모험,hell,adv,6,6,dark,267,1,1,1,"671,423","2,973","6,195",,all;0;atk_dmg_adj_rate_add;100,,,,
1130607,모험,hell,adv,6,7,dark,270,1,1,1,"1,046,308","2,616","9,130",,all;0;atk_dmg_adj_rate_add;100,,,,
1130701,모험,hell,adv,7,1,earth,273,1,1,1,"533,031","1,986","8,968",,all;0;atk_dmg_adj_rate_add;100,,,,
1130702,모험,hell,adv,7,2,earth,276,1,1,1,"669,865","4,005","5,337",,all;0;atk_dmg_adj_rate_add;100,,,,
1130703,모험,hell,adv,7,3,earth,279,1,1,1,"760,000","2,029","6,741",,all;0;atk_dmg_adj_rate_add;100,,,,
1130704,모험,hell,adv,7,4,earth,282,1,1,1,"711,500","2,051","10,623",,all;0;atk_dmg_adj_rate_add;100,,,,
1130705,모험,hell,adv,7,5,earth,285,1,1,1,"776,200","2,073","8,260",,all;0;atk_dmg_adj_rate_add;100,,,,
1130706,모험,hell,adv,7,6,earth,288,1,1,1,"807,087","1,677","6,957",,all;0;atk_dmg_adj_rate_add;100,,,,
1130707,모험,hell,adv,7,7,fire,291,1,1,1,"1,127,077","4,222","7,029",,all;0;atk_dmg_adj_rate_add;100,,,,
1130801,모험,hell,adv,8,1,earth,294,1,1,1,"800,500","2,137","6,250",,all;0;atk_dmg_adj_rate_add;150,,,,
1130802,모험,hell,adv,8,2,earth,297,1,1,1,"789,115","1,729","8,606",,all;0;atk_dmg_adj_rate_add;150,,,,
1130803,모험,hell,adv,8,3,fire,300,1,1,1,"816,700","2,181","8,693",,all;0;atk_dmg_adj_rate_add;150,,,,
1130804,모험,hell,adv,8,4,earth,303,1,1,1,"1,056,308","2,202","9,364",,all;0;atk_dmg_adj_rate_add;150,,,,
1130805,모험,hell,adv,8,5,earth,306,1,1,1,"608,849","3,700","7,095",,all;0;atk_dmg_adj_rate_add;150,,,,
1130806,모험,hell,adv,8,6,earth,310,1,1,1,"796,452","3,748","5,991",,all;0;atk_dmg_adj_rate_add;150,,,,
1130807,모험,hell,adv,8,7,fire,313,1,1,1,"1,226,788","2,274","10,577",,all;0;atk_dmg_adj_rate_add;150,,,,
1130901,모험,hell,adv,9,1,water,316,1,1,1,"918,423","2,296","7,021",,all;0;atk_dmg_adj_rate_add;150,,,,
1130902,모험,hell,adv,9,2,water,319,1,1,1,"874,769","1,856","8,318",,all;0;atk_dmg_adj_rate_add;150,,,,
1130903,모험,hell,adv,9,3,water,322,1,1,1,"876,100","2,339","6,222",,all;0;atk_dmg_adj_rate_add;150,,,,
1130904,모험,hell,adv,9,4,water,325,1,1,1,"1,132,462","3,145","7,847",,all;0;atk_dmg_adj_rate_add;150,,,,
1130905,모험,hell,adv,9,5,water,328,1,1,1,"892,300","2,383","9,500",,all;0;atk_dmg_adj_rate_add;150,,,,
1130906,모험,hell,adv,9,6,water,332,1,1,1,"910,144","1,931","8,655",,all;0;atk_dmg_adj_rate_add;150,,,,
1130907,모험,hell,adv,9,7,water,335,1,1,1,"1,280,154","4,048","11,318",,all;0;atk_dmg_adj_rate_add;150,,,,
1131001,모험,hell,adv,10,1,earth,338,1,1,1,"827,770","4,899","8,159",,all;0;atk_dmg_adj_rate_add;150,,,,
1131002,모험,hell,adv,10,2,earth,341,1,1,1,"875,442","2,805","9,218",,all;0;atk_dmg_adj_rate_add;150,,,,
1131003,모험,hell,adv,10,3,earth,344,1,1,1,"935,500","2,498","7,972",,all;0;atk_dmg_adj_rate_add;150,,,,
1131004,모험,hell,adv,10,4,earth,348,1,1,1,"1,212,077","1,688","11,755",,all;0;atk_dmg_adj_rate_add;150,,,,
1131005,모험,hell,adv,10,5,fire,351,1,1,1,"954,400","2,548","10,164",,all;0;atk_dmg_adj_rate_add;150,,,,
1131006,모험,hell,adv,10,6,fire,354,1,1,1,"939,288","2,058","10,250",,all;0;atk_dmg_adj_rate_add;150,,,,
1131007,모험,hell,adv,10,7,earth,358,1,1,1,"1,384,769","3,462","12,092",,all;0;atk_dmg_adj_rate_add;150,,,,
1131101,모험,hell,adv,11,1,light,361,1,1,1,"981,400","2,621","10,452",,all;0;atk_dmg_adj_rate_add;150,,,,
1131102,모험,hell,adv,11,2,fire,364,1,1,1,"881,404","2,642","12,294",,all;0;atk_dmg_adj_rate_add;150,,,,
1131103,모험,hell,adv,11,3,water,367,1,1,1,"997,600","2,664","9,564",,all;0;atk_dmg_adj_rate_add;150,,,,
1131104,모험,hell,adv,11,4,light,371,1,1,1,"1,309,577","3,587","7,164",,all;0;atk_dmg_adj_rate_add;150,,,,
1131105,모험,hell,adv,11,5,light,374,1,1,1,"1,016,500","2,714","10,827",,all;0;atk_dmg_adj_rate_add;150,,,,
1131106,모험,hell,adv,11,6,light,378,1,1,1,"915,058","3,654","10,943",,all;0;atk_dmg_adj_rate_add;150,,,,
1131107,모험,hell,adv,11,7,light,381,1,1,1,"1,473,231","6,071","8,091",,all;0;atk_dmg_adj_rate_add;150,,,,
1131201,모험,hell,adv,12,1,dark,384,1,1,1,"1,043,500","3,712","11,116",,all;0;atk_dmg_adj_rate_add;150,,,,
1131202,모험,hell,adv,12,2,earth,388,1,1,1,"882,990","5,621","9,361",,all;0;atk_dmg_adj_rate_add;150,,,,
1131203,모험,hell,adv,12,3,water,391,1,1,1,"1,062,400","2,837","10,187",,all;0;atk_dmg_adj_rate_add;150,,,,
