en,fa
"Increase the power of Sonic Boom by {1}%.\nAlso, {2}% chance to decrease target's Recovery Rate for {3} sec.",قدرت Sonic Boom را تا {1}% افزایش دهید.\nهمچنین، {2} درصد شانس کاهش نرخ بازیابی هدف برای {3} ثانیه.
"Increase the power of Sonic Boom by {1}%.\nAlso, {2}% chance to decrease target's DEF for {3} sec.",قدرت Sonic Boom را تا {1}% افزایش دهید.\nهمچنین، {2} درصد شانس کاهش DEF هدف برای {3} ثانیه است.
"Increase the power of Sonic Boom by {1}%.\nAlso, {2}% chance to decrease Critical Evasion for {3} sec. before attack.",قدرت Sonic Boom را تا {1}% افزایش دهید.\nهمچنین، {2} درصد شانس کاهش فرار انتقادی برای {3} ثانیه. قبل از حمله
Let me know whenever you fight.,هر وقت دعوا کردی به من خبر بده
"Now, I'm ready to fight!",حالا، من آماده مبارزه هستم!
Has the fight started?,دعوا شروع شده؟
Don't bother me if you're not fighting.,اگه دعوا نمیکنی اذیتم نکن
I'll accept your challenge anytime!,من چالش شما را در هر زمان می پذیرم!
You can get one of the following rewards.,می توانید یکی از جوایز زیر را دریافت کنید.
Icon,آیکون
"In this stage, you can deal significant damage only when an enemy is in a weak point status.",در این مرحله تنها زمانی می توانید خسارت قابل توجهی وارد کنید که دشمن در وضعیت نقطه ضعف قرار داشته باشد.
Hard\nEnter,سخت\nورود
The wound I got from the monster yesterday still hurts.,زخمی که دیروز از هیولا گرفتم هنوز درد دارد.
I'm gonna take on these monsters first.,من ابتدا با این هیولاها مقابله خواهم کرد.
This bandage is for the wound I got from the fight.,این باند برای زخمی است که از دعوا گرفتم.
Take this!,اینو بگیر!
This is my secret weapon!,این سلاح مخفی من است!
What brings you all the way down here?,چه چیزی شما را به اینجا رسانده است؟
I won this fight!,من در این مبارزه پیروز شدم!
This the loot I got!,این غارتی است که من بدست آوردم!
"Hey, can you bandage me here?",هی، می تونی اینجا منو بانداژ کنی؟
Relationship Point with Mummygon available from Relationship Dungeon. You grow closer to Mummygon as you gain more points.,نقطه ارتباط با مومیگون موجود در ریلیشیشن دانجون. با کسب امتیاز بیشتر به Mummygon نزدیک می شوید.
"Every set duration, inflict damage to a random enemy with {1}% chance to cause up to {3} DOT damage effects for {2} sec.",در هر مدت زمان تنظیم شده، به یک دشمن تصادفی با احتمال {1}٪ برای ایجاد حداکثر {3} اثرات آسیب DOT برای {2} ثانیه آسیب وارد کنید.
"Every set duration, inflict damage to a random enemy.\nInflict X{1} damage to Earth enemies.",در هر مدت زمان تنظیم شده، به یک دشمن تصادفی آسیب وارد کنید.\nبه دشمنان زمین X {1} آسیب وارد کنید.
"Every set duration, inflict damage to a random enemy.\nInflict X{1} damage to Water enemies.",در هر مدت زمان تنظیم شده، به یک دشمن تصادفی آسیب وارد کنید.\nبه دشمنان اب آسیب X {1} وارد کنید.
"Every set duration, inflict damage to a random enemy.\nInflict X{1} damage to Fire enemies.",در هر زمان تنظیم شده، به یک دشمن تصادفی آسیب وارد کنید.\nبه دشمنان آتش X {1} آسیب وارد کنید.
"Every set duration, inflict damage to a random enemy.\nInflict X{1} damage to Light enemies.",در هر زمان تنظیم شده، به یک دشمن تصادفی آسیب وارد کنید.\nبه دشمنان سبک آسیب X {1} وارد کنید.
"Every set duration, inflict damage to enemy with lowest HP.\nInflict higher damage when the target's HP gets lower. It deals up to X{2} damage.",در هر مدت زمان تنظیم شده، با کمترین HP به دشمن آسیب وارد کنید.\nزمانی که HP هدف کمتر شد، آسیب بیشتری وارد کنید. تا X {2} خسارت وارد می کند.
"Every set duration, inflict damage to enemy with lowest HP.\nThis attack receives a {1}% bonus of your ATK, and\ninflicts higher damage when the target's HP gets lower. It deals up to X{2} damage.",در هر مدت زمان تعیین شده، به دشمن با کمترین HP آسیب وارد کنید.\nاین حمله یک پاداش {1}٪ از ATK شما دریافت می‌کند، و\nوقتی HP هدف کاهش می‌یابد، آسیب بیشتری وارد می‌کند. تا X {2} خسارت وارد می کند.
"Every set duration, increase Critical Rate for {1} sec.",در هر مدت تنظیم، نرخ بحرانی را برای {1} ثانیه افزایش دهید.
"Every set duration, inflict damage to enemy at the front.\nDamage is increased by 20% for each harmful effect that's already on the enemy. (Up to 100%)",در هر مدت زمان تعیین شده، به دشمن در جبهه آسیب وارد کنید.\nبرای هر اثر مضری که قبلاً روی دشمن وارد شده، خسارت 20٪ افزایش می یابد. (تا 100٪)
"Every set duration, receive 0.5% damage of Max HP.\n(Can be stacked up to 3 times)",هر مدت زمان تنظیم، 0.5٪ آسیب حداکثر HP را دریافت کنید. \n(می توان تا 3 بار روی هم چید)
Auto Pick-up lasts for 20 minutes.,تحویل خودکار 20 دقیقه طول می کشد.
Playful Fight,مبارزه بازیگوش
Recover 10% of damage inflicted to enemy as your HP.,10% آسیب وارد شده به دشمن را به عنوان HP خود بازیابی کنید.
"Only receive 80% of damage from the enemy, and return 20% to the attacker.",فقط 80 درصد خسارت را از دشمن دریافت کنید و 20 درصد را به مهاجم برگردانید.
"In this stage, you have to survive rather than defeat the enemies.",در این مرحله به جای شکست دادن دشمنان باید زنده بمانید.
"In this stage, you have to finish the enemies before they launch powerful attacks.",در این مرحله باید دشمنان را قبل از اینکه حملات قدرتمندی انجام دهند به پایان برسانید.
ACC is decreased by 30%.,ACC 30 درصد کاهش یافته است.
ACC is increased by 30%.,ACC 30 درصد افزایش یافته است.
Select All,انتخاب همه
Illusion of Sins,توهم گناهان
Main Option,گزینه اصلی
"In this stage, you can deal significant damage with DOT damage only.",در این مرحله فقط با آسیب DOT می توانید خسارت قابل توجهی وارد کنید.
DOT damage,آسیب DOT
Hell\nEnter,جهنم\nوارد شوید
"This dragon inhabits the depths of a dungeon. As he constantly fights, whether it is enemy or friend, he always ends up wounded.",این اژدها در اعماق یک سیاه چال زندگی می کند. همانطور که او دائماً می جنگد، چه دشمن باشد و چه دوست، همیشه زخمی می شود.
Critical DMG Down,بحرانی DMG پایین
Critical DMG is decreased by 50%.,DMG بحرانی 50٪ کاهش می یابد.
Critical DMG is increased by 50%.,DMG بحرانی 50٪ افزایش یافته است.
Critical Rate Down,کاهش نرخ بحرانی
Critical Rate is decreased by 30%.,نرخ بحرانی 30 درصد کاهش یافته است.
Critical Rate is increased by 30%.,نرخ بحرانی 30 درصد افزایش یافته است.
Critical Evasion Down,فرار انتقادی پایین
Critical Evasion Up,فرار انتقادی بالا
Critical Evasion is decreased by 30%.,فرار انتقادی 30 درصد کاهش یافته است.
Critical Evasion is increased by 30%.,فرار انتقادی 30 درصد افزایش یافته است.
"In this stage, the same conditions as Colosseum apply.",در این مرحله همان شرایط کولوسئوم اعمال می شود.
Tropheus,تروفئوس
It's a bomb!,این یک بمب است!
"In this stage, the enemies use a shield with a fixed chance when damaged.",در این مرحله دشمنان هنگام آسیب از یک سپر با شانس ثابت استفاده می کنند.
Limited Dragon Launching Event,رویداد Limited اژدها Launching
"In this stage, you can be inflicted with higher damage when affected by harmful effects.",در این مرحله زمانی که تحت تاثیر اثرات مضر قرار می‌گیرید، می‌توانید آسیب بیشتری به شما وارد شود.
Did you come here to fight me by any chance?,اصلاً اومدی اینجا با من بجنگی؟
Illusion Dungeon,سیاه چال توهم
Illusion Dungeon Event,رویداد Illusion Dungeon
Tokens available from Illusion Dungeon. You can exchange them for items at the Token Shop.,توکن های موجود از Illusion Dungeon. می توانید آنها را با اقلام در فروشگاه توکن تعویض کنید.
Illusion Token,توکن توهم
"When recovering, Recovery amount is decreased by 70%.",هنگام بازیابی، مقدار بازیابی 70٪ کاهش می یابد.
Evasion is decreased by 30%.,فرار 30 درصد کاهش یافته است.
Evasion is increased by 30%.,فرار 30 درصد افزایش یافته است.
"In this stage, the enemies have high Evasion and recover HP when they successfully evade.",در این مرحله دشمنان دارای Evasion بالایی هستند و در صورت فرار موفق، HP را بازیابی می کنند.
You can exchange acquired Tokens for Gift Boxes.,می توانید توکن های به دست آمده را با جعبه های هدیه مبادله کنید.
You need {1} Bingo slot(s) to unlock your next reward.,برای باز کردن قفل پاداش بعدی خود به {1} اسلات بینگو نیاز دارید.
Tokens used for exchanging gifts will be gone.,ژتون های مورد استفاده برای تبادل هدایا از بین خواهند رفت.
Mummygon Package,بسته مومیگون
Exchange Gifts,تبادل هدایا
Exchange Items,مبادله اقلام
[Before] Deal X1.8 damage to enemies whose HP is below 50%,[قبل از] آسیب X1.8 به دشمنانی که HP کمتر از 50٪ است وارد کنید
[After] Deal up to X3 damage as HP gets lower,[پس از] با کاهش HP تا X3 آسیب وارد کنید
[After] Deal up to X3 damage as HP gets higher,[پس از] با افزایش HP تا X3 آسیب وارد کنید
[Before] Become invulnerable for a moment,[قبل از] یک لحظه آسیب ناپذیر شوید
[After] Become invulnerable for 5 sec. and increase ATK ability,[بعد از] برای 5 ثانیه آسیب ناپذیر شوید. و افزایش توانایی ATK
Legendary Dragon,اژدها افسانه ای
Heroic Dragon,اژدها قهرمان
Rare Dragon,نادر اژدها
Display all Runes that include the selected the options.,نمایش تمام Runes که شامل گزینه های انتخاب شده است.
Display Runes that match with the selected options.,نمایش Runes که با گزینه های انتخاب شده مطابقت دارند.
Inflict higher damage when the target's HP is high. It deals up to X{1} damage.,هنگامی که HP هدف بالا است آسیب بیشتری وارد کنید. تا X {1} خسارت وارد می کند.
Deal X{2} damage to enemies\nwhose HP is below {1}%,به دشمنانی که HP آنها کمتر از {1} ٪ است آسیب بزنید {2}
Increase damage\nas HP gets lower (Up to X{1}),افزایش آسیب\nas HP کمتر می شود (تا X {1})
Become invulnerable\nfor a moment,برای یک لحظه آسیب ناپذیر شوید
Become invulnerable for {1} sec.\nand increase ATK ability,برای {1} ثانیه آسیب ناپذیر شوید.\nو توانایی ATK را افزایش دهید
Become invulnerable for {1} sec.\nand increase ATK ability,برای {1} ثانیه آسیب ناپذیر شوید.\nو توانایی ATK را افزایش دهید
Mummygon uses a skill that deals critical damage to enemies whose attribute is effective.\nIt can be used for {@yellow} Clan Dungeon - Raid Party 1{@default}.,Mummygon از مهارتی استفاده می‌کند که به دشمنانی که مشخصه‌شان مؤثر است آسیب‌های جدی وارد می‌کند.\nاز آن می‌توان برای {@yellow} Clan Dungeon - Raid Party 1 {@default} استفاده کرد.
"Every {1} attacks, inflict damage to an enemy.\nThis attack targets Recovery Type enemies first.\nInflict higher damage when the target's HP is high. It deals up to X{2} damage.",هر {1} حمله، به دشمن آسیب وارد می‌کند.\nاین حمله ابتدا دشمنان نوع بازیابی را هدف قرار می‌دهد.\nزمانی که HP هدف بالا است، آسیب بیشتری وارد کنید. تا X {2} خسارت وارد می کند.
"Every set duration, inflict damage to enemy with lowest HP.\nThis attack receives a {1}% bonus of your ATK, and\nInflict higher damage when the target's HP is high. It deals up to X{2} damage.",در هر مدت زمان تنظیم شده، به دشمن با کمترین HP آسیب وارد کنید.\nاین حمله یک پاداش {1}٪ از ATK شما دریافت می‌کند، و\nوقتی HP هدف بالا است، آسیب بیشتری وارد می‌کند. تا X {2} خسارت وارد می کند.
"Every {1} attacks, inflict damage to an enemy with lowest HP.\nInflict higher damage when the target's HP is high. It deals up to X{2} damage.",هر {1} حمله، به دشمنی با کمترین HP آسیب وارد کنید.\nزمانی که HP هدف بالا است، آسیب بیشتری وارد کنید. تا X {2} خسارت وارد می کند.
Invulnerable duration increased by 0.5 sec.,مدت زمان آسیب ناپذیر 0.5 ثانیه افزایش یافت.
Invulnerable duration increased by 1.5 sec.,مدت زمان آسیب ناپذیر 1.5 ثانیه افزایش یافت.
"No. 1, 2, and 3 of Grade 5 Might Rune",شماره 1، 2، و 3 درجه 5 ممکن است رون
Get a random Grade 5 Might Rune numbered 1 - 3.,یک نمره تصادفی درجه 5 ممکن است ران با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 5 Solidity Rune",شماره 1، 2، و 3 درجه 5 Solidity Rune
Get a random Grade 5 Solidity Rune numbered 1 - 3.,یک رون سالیدیتی تصادفی درجه 5 با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 5 Chance Rune",شماره 1، 2، و 3 درجه 5 شانس رون
Get a random Grade 5 Chance Rune numbered 1 - 3.,یک رون شانس تصادفی درجه 5 با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 5 Accuracy Rune",شماره 1، 2، و 3 از درجه 5 دقت Rune
Get a random Grade 5 Accuracy Rune numbered 1 - 3.,یک Rune دقت درجه 5 تصادفی با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 5 HP Rune",شماره 1، 2، و 3 درجه 5 HP Rune
Get a random Grade 5 HP Rune numbered 1 - 3.,یک HP Rune درجه 5 تصادفی با شماره 1 - 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 5 Swift Rune",شماره 1، 2، و 3 درجه 5 سوئیفت ران
Get a random Grade 5 Swift Rune numbered 1 - 3.,یک Swift Rune تصادفی درجه 5 با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 5 Damage Rune",شماره 1، 2، و 3 درجه 5 آسیب رون
Get a random Grade 5 Damage Rune numbered 1 - 3.,یک ران آسیب درجه 5 تصادفی با شماره 1 تا 3 دریافت کنید.
"No. 4, 5, and 6 of Grade 5 Might Rune",شماره 4، 5، و 6 درجه 5 ممکن است رون
Get a random Grade 5 Might Rune numbered 4 - 6.,یک امتیاز تصادفی درجه 5 ممکن است ران با شماره 4 تا 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 5 Solidity Rune",شماره 4، 5، و 6 درجه 5 Solidity Rune
Get a random Grade 5 Solidity Rune numbered 4 - 6.,یک رون سالیدیتی تصادفی درجه 5 با شماره 4 تا 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 5 Chance Rune",شماره 4، 5، و 6 درجه 5 شانس رون
Get a random Grade 5 Chance Rune numbered 4 - 6.,یک رون شانس تصادفی درجه 5 با شماره 4 تا 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 5 Accuracy Rune",شماره 4، 5، و 6 درجه 5 دقت Rune
Get a random Grade 5 Accuracy Rune numbered 4 - 6.,یک Rune دقت درجه 5 تصادفی با شماره 4 - 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 5 HP Rune",شماره 4، 5، و 6 درجه 5 HP Rune
Get a random Grade 5 HP Rune numbered 4 - 6.,یک HP Rune تصادفی درجه 5 با شماره 4 - 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 5 Swift Rune",شماره 4، 5، و 6 درجه 5 سوئیفت ران
Get a random Grade 5 Swift Rune numbered 4 - 6.,یک Swift Rune تصادفی درجه 5 با شماره 4 - 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 5 Damage Rune",شماره 4، 5، و 6 درجه 5 Damage Rune
Get a random Grade 5 Damage Rune numbered 4 - 6.,یک ران تصادفی درجه 5 با شماره 4 تا 6 دریافت کنید.
Grade 5 Might Rune,درجه 5 ممکن است رون
Get a random Grade 5 Might Rune.,یک نمره تصادفی رتبه 5 ممکن است ران دریافت کنید.
Grade 5 Solidity Rune,رون سالیدیتی درجه 5
Get a random Grade 5 Solidity Rune.,یک رون تصادفی Solidity Grade 5 دریافت کنید.
Grade 5 Chance Rune,رون شانس درجه 5
Get a random Grade 5 Chance Rune.,یک رون شانس تصادفی درجه 5 دریافت کنید.
Grade 5 Accuracy Rune,رون دقت درجه 5
Get a random Grade 5 Accuracy Rune.,یک Rune دقت درجه 5 تصادفی دریافت کنید.
Grade 5 HP Rune,درجه 5 HP Rune
Get a random Grade 5 HP Rune.,یک HP Rune تصادفی درجه 5 دریافت کنید.
Grade 5 Swift Rune,رون سوئیفت درجه 5
Get a random Grade 5 Swift Rune.,یک Swift Rune تصادفی درجه 5 دریافت کنید.
Grade 5 Damage Rune,درجه 5 آسیب رون
Get a random Grade 5 Damage Rune.,یک ران آسیب درجه 5 تصادفی دریافت کنید.
"No. 1, 2, and 3 of Grade 6 Might Rune",شماره 1، 2، و 3 درجه 6 ممکن است رون
Get a random Grade 6 Might Rune numbered 1 - 3.,یک نمره تصادفی درجه 6 ممکن است ران با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 6 Solidity Rune",شماره 1، 2، و 3 درجه 6 Solidity Rune
Get a random Grade 6 Solidity Rune numbered 1 - 3.,یک رون سالیدیتی تصادفی درجه 6 با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 6 Chance Rune",شماره 1، 2، و 3 درجه 6 شانس رون
Get a random Grade 6 Chance Rune numbered 1 - 3.,یک رون شانس تصادفی درجه 6 با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 6 Accuracy Rune",شماره 1، 2، و 3 از درجه 6 دقت Rune
Get a random Grade 6 Accuracy Rune numbered 1 - 3.,یک رون دقت تصادفی درجه 6 با شماره 1 تا 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 6 HP Rune",شماره 1، 2، و 3 درجه 6 HP Rune
Get a random Grade 6 HP Rune numbered 1 - 3.,یک HP Rune درجه 6 تصادفی با شماره 1 - 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 6 Swift Rune",شماره 1، 2، و 3 درجه 6 سوئیفت ران
Get a random Grade 6 Swift Rune numbered 1 - 3.,یک Swift Rune تصادفی درجه 6 با شماره 1 - 3 دریافت کنید.
"No. 1, 2, and 3 of Grade 6 Damage Rune",شماره 1 و 2 و 3 درجه 6 Damage Rune
Get a random Grade 6 Damage Rune numbered 1 - 3.,یک رونال تصادفی درجه 6 با شماره 1 تا 3 دریافت کنید.
"No. 4, 5, and 6 of Grade 6 Might Rune",شماره 4، 5، و 6 درجه 6 ممکن است رون
Get a random Grade 6 Might Rune numbered 4 - 6.,یک نمره تصادفی درجه 6 ممکن است ران با شماره 4 تا 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 6 Solidity Rune",شماره 4، 5، و 6 درجه 6 Solidity Rune
Get a random Grade 6 Solidity Rune numbered 4 - 6.,یک رون سالیدیتی تصادفی درجه 6 با شماره 4 تا 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 6 Chance Rune",شماره 4، 5، و 6 رون شانس درجه 6
Get a random Grade 6 Chance Rune numbered 4 - 6.,یک رون شانس تصادفی درجه 6 با شماره 4 - 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 6 Accuracy Rune",شماره 4، 5، و 6 درجه 6 دقت Rune
Get a random Grade 6 Accuracy Rune numbered 4 - 6.,یک Rune دقت تصادفی درجه 6 با شماره 4 - 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 6 HP Rune",شماره 4، 5، و 6 درجه 6 HP Rune
Get a random Grade 6 HP Rune numbered 4 - 6.,یک HP Rune درجه 6 تصادفی با شماره 4 - 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 6 Swift Rune",شماره 4، 5، و 6 درجه 6 سویفت رون
Get a random Grade 6 Swift Rune numbered 4 - 6.,یک Swift Rune تصادفی درجه 6 با شماره 4 - 6 دریافت کنید.
"No. 4, 5, and 6 of Grade 6 Damage Rune",شماره 4، 5، و 6 درجه 6 Damage Rune
Get a random Grade 6 Damage Rune numbered 4 - 6.,یک ران آسیب درجه 6 تصادفی با شماره 4 - 6 دریافت کنید.
Grade 6 Might Rune,درجه 6 ممکن است رون
Get a random Grade 6 Might Rune.,یک نمره تصادفی 6 Might Rune دریافت کنید.
Grade 6 Solidity Rune,رون سالیدیتی درجه 6
Get a random Grade 6 Solidity Rune.,یک رون سالیدیتی تصادفی درجه 6 دریافت کنید.
Grade 6 Chance Rune,رون شانس درجه 6
Get a random Grade 6 Chance Rune.,یک رون شانس تصادفی درجه 6 دریافت کنید.
Grade 6 Accuracy Rune,رون دقت درجه 6
Get a random Grade 6 Accuracy Rune.,یک Rune دقت درجه 6 تصادفی دریافت کنید.
Grade 6 HP Rune,درجه 6 HP Rune
Get a random Grade 6 HP Rune.,یک HP Rune درجه 6 تصادفی دریافت کنید.
Grade 6 Swift Rune,رون سوئیفت درجه 6
Get a random Grade 6 Swift Rune.,یک Swift Rune تصادفی درجه 6 دریافت کنید.
Grade 6 Damage Rune,درجه 6 آسیب رون
