zh-CN,zu
（第 8 天）欢迎来到游戏 -,(Usuku 8) Siyakwamukela emdlalweni -
（第 9 天）欢迎来到游戏 -,(Usuku 9) Siyakwamukela kugeyimu -
（限制将在{1}中取消）,(Umkhawulo uzosuswa ngo- {1})
（如果您使用访客帐户购买，则在删除、切换设备或初始化手机时\n购买数据可能会被删除。）,"(Uma uthenga usebenzisa i-akhawunti yesivakashi, idatha yokuthenga ingase isuswe\nlapho ususa, ucisha idivayisi yakho, noma uqalisa ifoni yakho.)"
（如果购买失败，请重新连接并重试。）,"(Uma kwenzeka kwehluleka ukuthenga, sicela uxhume kabusha bese uzama futhi.)"
（如果没有找到对手，则不会使用任何计数或钻石。）,"(Uma ophikisana naye engatholakali, lokhu akusebenzisi noma yikuphi ukubala noma Amadayimane.)"
（一旦你指定了大师，你就成为了副大师。）,"(Uma usuqoke u- Mphathi, uba yiPhini lika- Mphathi.)"
(火)派对龙,(Umlilo) I-Party Dragon
（黑暗）图腾龙,(Kumnyama) I-Totem Dragon
（每日最多可用 {0} / {5}）,(Ubuningi Bansuku zonke Buyatholakala {0} / {5})
（临时）补丁指南-1,(Okwesikhashana) Umhlahlandlela Wokuchibiyela-1
（临时）补丁指南-2,(Isikhashana) Patch Guide-2
（临时）补丁指南-3,(Okwesikhashana) Isiqeshana Umhlahlandlela-3
（临时）补丁指南-4,(Isikhashana) Patch Guide-4
（您可以用金币“取消装备”装备的符文。）,"(Ungakwazi ""Unequip"" runes anegolide.)"
（进入战队设置画面。请设置战队的详细信息。）,(Hambisa esikrinini Izilungiselelo ze-Clan. Sicela usethe Ulwazi Lwemininingwane Yeqembu.)
（移至部落信息屏幕。）,(Hambisa esikrinini solwazi lwe-Clan.)
（仅在测试版本中显示）,(Kuboniswa kuphela ku-Test Build)
（当前部落将从排名中消失，并且您无法获得赛季奖励。\n您也无法在 24 小时内加入其他部落。）,(Umndeni wamanje uzonyamalala ezilinganisweni futhi awukwazi ukuthola umklomelo wesizini.\nAwukwazi futhi ukujoyina elinye iqembu amahora angu-24.)
* 1 级增益从第二次连胜开始应用。 \n* 第二次连胜后的胜利会将增益效果时间恢复至1小时。 \n* 如果获得增益后1小时内没有取得任何胜利，增益将会消失。 \n* 如果Buff效果消失，则必须从1级重新开始。 \n* 如果连胜Buff等级上升，则效果将被替换，且不会叠加。 \n* 从5级开始，参数没有变化，只是更新了buff时间。 \n* 一旦你输了，Buff就会消失。 \n* Buff仅适用于竞技场。,"* I-Level 1 Buff isetshenziswa kusukela ku-2nd Win Streak. \n* Ukunqoba ngemva kwe-2nd Win Streak kuzovuselela isikhathi somphumela we-Buff sibe ihora elingu-1. \n* Uma ungenakho ukunqoba ihora elingu-1 ngemuva kokuthola i-Buff, izonyamalala. \n* Uma umphumela we-Buff unyamalala, kufanele uqale kabusha kusukela kuLeveli 1. \n* Uma Izinga le-Win Streak Buff likhuphuka, imiphumela izoshintshwa ngaphandle kwesitaki. \n* Kusukela kuLeveli 5, azikho izinguquko kumapharamitha, futhi isikhathi se-buff kuphela esizovuselelwa. \n* Uma usulahlekelwe, i-Buff izonyamalala. \n* I-Buff isetshenziswa e- I-Colosseum kuphela ."
+ {1}荣誉,+ {1} Udumo
- 如果您预注册了昵称，请使用随机昵称，\n获得昵称代码后即可找回您预注册的昵称。,"- Uma ubhalise kusengaphambili isiteketiso sakho, sicela usebenzise isiteketiso esingahleliwe,\uzokwazi ukubuyisa isiteketiso sakho esibhaliswe ngaphambilini uma usuthole Ikhodi yesiteketiso."
-11小时。 59 分钟,-11 amahora. 59 imiz.
1 个关系点,1 Iphuzu Lobudlelwano
1000颗紫晶，5000金币，水果，龙，符文礼包！,"1,000 Amethysts, 5,000 Igolide, Izithelo, Dragon, Rune Package!"
10+1次,10 + 1 izikhathi
10%\n折扣,10%\nVALIWE
幼体10 个蛋,Hatch 10 Amaqanda
10连胜：生命+15%，攻击+15%,"10-Win Streak: HP+15%, ATK+15%"
每 10 秒创建一个冰碎片。\n每拥有一个冰碎片，受到的伤害就会减少 2%。,Dala ama-Ice Shards njalo ngemizuzwana eyi-10.\nUkulimala okuthathwayo kuncishiswa ngo-2% kuwo wonke ama-Ice Shards onawo.
11-15日,11-15
11日至25日,11-25
11日至50日,11-50
输入 12 位商品代码。,Faka ikhodi yento enezinhlamvu ezingu-12.
输入 12 位优惠券号码。,Faka inombolo yekhuphoni enezinhlamvu ezingu-12.
请输入12位优惠券号码。,Sicela ufake inombolo yekhuphoni enezinhlamvu ezingu-12.
"每日 100 颗钻石\n每日 20,000金币\n可自动领取物品\n持续 14 天","I-100 Amadayimane Nsuku Zonke\n20,000 Igolide Nsuku Zonke\nInto Ezenzakalelayo Yokulanda iyatholakala\nizinsuku eziyi-14"
"每日 250 颗钻石\n每日 50,000金币\n可自动领取物品\n持续 14 天","250 Amadayimane Nsuku zonke\n50,000 Igolide Nsuku Zonke\nInto Ezenzakalelayo Yokulanda iyatholakala\nizinsuku eziyi-14"
额外购买 14 天,Thenga ezinye izinsuku eziyi-14
额外购买 14 天,Thenga ezinye izinsuku eziyi-14
你获得免疫效果，持续 10 秒。当击中15次时。,Uzuza Amasosha omzimba amasekhondi ayi-10. lapho hit izikhathi ezingu-15.
你获得防御力增加效果，持续10秒。当击中15次时。,Uzuza umphumela okhulayo we-DEF ngamasekhondi ayi-10. lapho hit izikhathi ezingu-15.
你获得闪避增加效果，持续10秒。当击中15次时。,Uthola umphumela wokwenyuka wokweqa amasekhondi ayi-10. lapho hit izikhathi ezingu-15.
被击中 15 次时，歇斯底里地攻击随机敌人。\n目标有 100% 的几率入睡，持续 15 秒。,Hlasela isitha ngokungahleliwe uma sishaywa izikhathi ezingu-15.\nIthagethi inethuba elingu-100% lokulala amasekhondi angu-15.
被击中 15 次时，歇斯底里地攻击前方的敌人。\n目标有 70% 的几率晕眩 5 秒。,Hlasela isitha esiphambili uma ushaywa izikhathi ezingu-15.\nOkuqondiwe kunamathuba angu-70% okumangala amasekhondi angu-5.
被击中 15 次后，歇斯底里地攻击后方的敌人。\n目标有 70% 的几率陷入沉默 5 秒。,Hlasela isitha ngemuva uma sishaywa izikhathi ezingu-15.\nIthagethi inethuba elingu-70% lokuthuliswa amasekhondi angu-5.
16-20日,16-20
输入 16 位商品代码。,Faka ikhodi yento enezinhlamvu ezingu-16.
请输入 16 位商品代码。,Sicela ufake ikhodi yento enezinhlamvu ezingu-16.
1-2级符文,Ibanga 1-2 Rune
购买了 1-2 级符文,Uthenge i-Rune yeBanga 1-2
获得一个随机的 1-2 级符文，编号为 1-2。,Thola i-Rune yeBanga 1-2 engahleliwe enenombolo 1-2.
孵化 1-3★龙,Amachamusela 1-3★ Dragon
1-3 龙蛋龙,Ithole ku-1-3★ Iqanda le- Dragon
从1-3★ 友谊幼体获得,Ithole ku-1-3★ I-Friendship Hatch
1-5,1-5
尝试增强 10 次,Zama Ukuthuthukisa Izikhathi Ezingu-10
x1,x1
幼体1 个龙蛋,Hatch 1 Iqanda
一年级驯龙师,1st Grade Tamer
1级,Ileveli 1
级别 1\n级别 2\n级别 3\n级别 4\n级别 5,Ileveli 1\nIleveli 2\nIleveli 3\nIzinga 4\nIzinga 5
一品威力符1、2、3号,"No. 1, 2, kanye 3 of Grade 1 Angase Rune"
随机获得编号为 1-3 的 1 级力量符文。,Thola okungahleliwe Grade 1 May Rune enezinombolo 1-3.
一级坚固符文编号为1-3。,Grade 1 Solidity Rune inombolo 1-3.
随机获得一个 1 级坚固符文，编号为 1-3。,Thola okungahleliwe iBanga loku-1 i-Solidity Rune enenombolo 1-3.
一品机缘符1、2、3号,"No. 1, 2, kanye 3 of Grade 1 Chance Rune"
随机获得一个 1 级机会符文，编号为 1-3。,Thola okungahleliwe Ibanga loku-1 Ithuba Rune elinenombolo 1-3.
一品精准符文1、2、3号,"No. 1, 2, kanye 3 of Grade 1 Ukunemba Rune"
随机获得1-3号1级精准符文。,Thola i-Rune Yokunemba Yebanga 1 engahleliwe enenombolo 1-3.
一品生命符文1、2、3号,"No. 1, 2, no-3 weBanga loku-1 i-HP Rune"
随机获得编号为 1-3 的 1 级生命符文。,Thola iBanga loku-1 le-HP Rune elinenombolo 1-3.
一品迅捷符文1、2、3号,"Inombolo 1, 2, kanye ne-3 yeBanga loku-1 i-Swift Rune"
随机获得一个 1 级迅捷符文，编号为 1-3。,Thola iBanga loku-1 le-Swift Rune elingahleliwe elinenombolo 1-3.
一级伤害符文1、2、3号,"No. 1, 2, kanye 3 of Grade 1 Ukulimala Rune"
随机获得一个编号为 1-3 的 1 级伤害符文。,Thola okungahleliwe Grade 1 Ukulimala Rune enenombolo 1-3.
一品威力符4、5、6号,"No. 4, 5, kanye 6 of Grade 1 Angase Rune"
随机获得编号为 4-6 的 1 级力量符文。,Thola okungahleliwe Grade 1 May Rune enezinombolo 4-6.
一品坚固符4、5、6号,"No. 4, 5, kanye 6 of Grade 1 Solidity Rune"
随机获得一个 1 级坚固符文，编号为 4-6。,Thola okungahleliwe iBanga loku-1 i-Solidity Rune enenombolo 4-6.
一品机缘符4、5、6号,"No. 4, 5, kanye 6 of Grade 1 Chance Rune"
随机获得一个 1 级机会符文，编号为 4-6。,Thola okungahleliwe Ibanga loku-1 Ithuba Rune elinenombolo 4-6.
一品精准符文4、5、6号,"No. 4, 5, kanye 6 of Grade 1 Ukunemba Rune"
随机获得一个1级精准符文，编号为4-6。,Thola okungahleliwe Grade 1 Ukunemba Rune enezinombolo 4-6.
一品生命符文4、5、6号,"No. 4, 5, no-6 weBanga loku-1 i-HP Rune"
随机获得1个1级生命符文，编号为4-6。,Thola iBanga loku-1 le-HP Rune elinenombolo 4-6.
一品疾风符4、5、6号,"No. 4, 5, kanye 6 weBanga 1 Swift Rune"
随机获得一个 1 级迅捷符文，编号为 4-6。,Thola iBanga loku-1 le-Swift Rune elingahleliwe elinenombolo 4-6.
一级伤害符文4、5、6号,"No. 4, 5, kanye 6 of Grade 1 Ukulimala Rune"
随机获得一个 1 级伤害符文，编号为 4-6。,Thola okungahleliwe Grade 1 Ukulimala Rune enenombolo 4-6.
一品一号威力符,Inombolo 1 yeBanga 1 Ingase iRune
一品二号威力符,Inombolo yesi-2 yeBanga 1 Ingase iRune
一品三号威力符,Inombolo yesi-3 yeBanga 1 ingahle iRune
一品四号威力符,Inombolo yesi-4 yeBanga 1 ingahle iRune
一品五号威力符,No. 5 weBanga 1 Angase Rune
一品六号威力符,No. 6 weBanga 1 Angase Rune
1级力量符,Grade 1 May Rune
随机获得1级力量符文。,Thola okungahleliwe Grade 1 May Rune.
1级强化点,Grade 1 Enhancement Point
一品坚固符文1号,Inombolo 1 yeBanga loku-1 i-Solidity Rune
一品坚固符文2号,Inombolo yesi-2 yeBanga loku-1 i-Solidity Rune
一品坚固符文三号,Inombolo yesi-3 yeBanga loku-1 i-Solidity Rune
一品坚固符文四号,Inombolo yesi-4 yeBanga loku-1 i-Solidity Rune
一品坚固符文5号,Inombolo yesi-5 yeBanga loku-1 i-Solidity Rune
一品坚固符6号,Inombolo yesi-6 yeBanga loku-1 i-Solidity Rune
1 级坚固符文,Grade 1 Solidity Rune
获得随机的 1 级坚固符文。,Thola okungahleliwe Ibanga 1 Solidity Rune.
一品机缘符1号,No. 1 weBanga 1 Ithuba Rune
一品机缘符2号,No. 2 weBanga 1 Ithuba Rune
一品机缘符文三号,No. 3 weBanga 1 Ithuba Rune
一品机缘符4号,No. 4 weBanga 1 Ithuba Rune
一品机缘符5号,No. 5 weBanga 1 Ithuba Rune
一品机缘符6号,No. 6 weBanga 1 Ithuba Rune
1 级机会符文,Ibanga 1 Ithuba Rune
获得随机 1 级机会符文。,Thola okungahleliwe Grade 1 Chance Rune.
1级符文,Ibanga 1 Rune
可以获得1级符文,Ungathola i-Rune yeBanga loku-1
获得随机 1 级符文。,Thola okungahleliwe Grade 1 Rune.
需要叶牙龙（1 级）、红颊龙（3 级）和泰拉飓风（4 级）,"Idinga i Leaf Dragon (iBanga loku-1), I-Applecheek (iBanga lesi-3), ne-Tera Hurricane (iBanga lesi-4)"
一品抗性符文1号,Inombolo 1 yeBanga loku-1 I-Resistance Rune
一品抗性符文2号,Inombolo yesi-2 yeBanga loku-1 I-Resistance Rune
一级抗性符文三号,Inombolo yesi-3 yeBanga loku-1 I-Resistance Rune
一级抗性符文4号,Inombolo yesi-4 yeBanga loku-1 I-Resistance Rune
一级抗性符文5号,Inombolo 5 yeBanga 1 Resistance Rune
一品抗性符文6号,Inombolo 6 yeBanga 1 Resistance Rune
一品精准符文1号,No. 1 of Grade 1 Ukunemba Rune
一品精准符文二号,No. 2 of Grade 1 Ukunemba Rune
一品精准符文三号,No. 3 of Grade 1 Ukunemba Rune
一品精准符文4号,No. 4 of Grade 1 Ukunemba Rune
一品精准符文五号,No. 5 of Grade 1 Ukunemba Rune
一品精准符文六号,No. 6 of Grade 1 Ukunemba Rune
一级精准符文,Grade 1 Ukunemba Rune
随机获得1级精准符文。,Thola okungahleliwe Grade 1 Ukunemba Rune.
一品生命符文1号,Inombolo 1 yeBanga loku-1 i-HP Rune
一品生命符文2号,Inombolo yesi-2 yeBanga loku-1 i-HP Rune
一品生命符文3号,Inombolo yesi-3 yeBanga loku-1 i-HP Rune
1级生命符文4号,No. 4 weBanga 1 HP Rune
一品生命符文5号,Inombolo 5 yeBanga 1 i-HP Rune
一品生命符6号,No. 6 weBanga 1 HP Rune
1级生命符文,Ibanga 1 HP Rune
随机获得 1 级生命符文。,Thola okungahleliwe Grade 1 HP Rune.
1级迅捷符文1号,Inombolo 1 yeBanga loku-1 i-Swift Rune
1级迅捷符文2号,Inombolo yesi-2 yeBanga loku-1 i-Swift Rune
一品三号迅捷符文,Inombolo yesi-3 yeBanga loku-1 i-Swift Rune
1级迅捷符文4号,Inombolo yesi-4 yeBanga loku-1 i-Swift Rune
1级迅捷符文5号,Inombolo yesi-5 yeBanga loku-1 i-Swift Rune
一品六号迅捷符文,Inombolo yesi-6 yeBanga loku-1 i-Swift Rune
1 级迅捷符文,Grade 1 Swift Rune
获得随机的 1 级迅捷符文。,Thola okungahleliwe iBanga 1 Swift Rune.
一级伤害符文1号,Inombolo 1 yeBanga 1 Ukulimala kweRune
一级伤害符文2号,Inombolo yesi-2 yeBanga 1 Ukulimala kweRune
1级伤害符文3号,Inombolo yesi-3 yeBanga loku-1 Ukulimala kweRune
一级伤害符文4号,Inombolo yesi-4 yeBanga 1 Ukulimala kweRune
一级伤害符文5号,Inombolo 5 yeBanga 1 Ukulimala kweRune
一级伤害符文6号,Inombolo yesi-6 yeBanga loku-1 Ukulimala kweRune
1级伤害符文,Grade 1 Umonakalo Rune
随机获得一个 1 级伤害符文。,Thola okungahleliwe Grade 1 Ukulimala Rune.
删除1★龙,Susa 1★ Dragon
不到1分钟,Ngaphansi kweminithi elingu-1
点数提升 1★ 龙。,Amaphuzu okuthuthukisa 1★ Dragons.
第一名,Indawo yokuqala
第一天,Usuku 1
1队,Ithimba 1
1次,1 isikhathi
2017年9月29日（星期五）-2017年19月10日（星期五）,09.29.2017 (Fri)-10.19.2017 (Lwesithathu)
2017 年 11 月 30 日更新之前,Ngaphambi kwesibuyekezo ngomhla zingama-30 kuNovemba 2017
增加 DEF 10 秒。每 20 秒一次,Khulisa i-DEF ngamasekhondi ayi-10. njalo ngemizuzwana engama-20.
26日至50日,26-50
28天签到奖励,Ngena Umvuzo wezinsuku ezingama-28
2-3级符文,Ibanga 2-3 Rune
购买2-3级符文,Uthenge i-Rune yeBanga lesi-2-3
获得 2-3 级符​​文,Uthole i-Rune yeBanga 2-3
获得随机的 2-3 级符​​文。,Thola okungahleliwe Ibanga lesi-2-3 Rune.
2-4级符文1号和2号,No. 1 kanye 2 of Grade 2-4 Rune
获得一个随机的 2-4 级符文，编号为 1-2。,Thola i-Rune yeBanga lesi-2-4 elingahleliwe elinenombolo 1-2.
2-4级符文3号、4号,No. 3 kanye 4 of Grade 2-4 Rune
获得一个随机的 2-4 级符文，编号为 3-4。,Thola okungahleliwe Grade 2-4 Rune izinombolo 3-4.
2-4级符文5号、6号,No. 5 kanye 6 of Grade 2-4 Rune
随机获得一个 2-4 级符文，编号为 5-6。,Thola okungahleliwe Grade 2-4 Rune izinombolo 5-6.
获得 2-4 级符文,Uthole i-Rune yeBanga 2-4
孵化 2-5 级土史莱姆,Ichanyuselwa iBanga lesi-2-5 i-Umhlaba Slime
孵化 2-5 级水史莱姆,Ichanyuselwa iBanga lesi-2-5 iSlime Amanzi
孵化 2-5 级火史莱姆,Ichamusela iBanga lesi-2-5 Umlilo Slime
孵化 2-5 级光史莱姆,Ichanyuselwa Ibanga 2-5 I-Slime Ukukhanya
孵化 2-5 级黑暗史莱姆,Ichamisa iBanga 2-5 I-Kumnyama Slime
二年级驯龙师,2nd Grade Tamer
二品威力符1、2、3号,"No. 1, 2, kanye 3 of Grade 2 Angase Rune"
随机获得一个编号为 1-3 的 2 级力量符文。,Thola okungahleliwe iBanga lesi-2 Kungenzeka iRune elinenombolo 1-3.
二品坚固符文1、2、3号,"No. 1, 2, kanye 3 of Grade 2 Solidity Rune"
随机获得一个 2 级坚固符文，编号为 1-3。,Thola okungahleliwe Grade 2 Solidity Rune enenombolo 1-3.
二品机缘符1、2、3号,"No. 1, 2, kanye 3 of Grade 2 Chance Rune"
随机获得一个 2 级机会符文，编号为 1-3。,Thola okungahleliwe Ibanga lesi-2 Ithuba Rune elinenombolo 1-3.
二级精准符文1、2、3号,"No. 1, 2, kanye 3 of Grade 2 Ukunemba Rune"
随机获得一个二级精准符文，编号为1-3。,Thola Ibanga lesi-2 Lokunemba Rune elinenombolo 1-3.
二级生命符文1、2、3号,"No. 1, 2, no-3 weBanga lesi-2 i-HP Rune"
随机获得一个 2 级生命符文，编号为 1-3。,Thola iBanga lesi-2 le-HP Rune elinenombolo 1-3.
二品迅捷符文1、2、3号,"No. 1, 2, no-3 weBanga lesi-2 Swift Rune"
随机获得一个编号为 1-3 的 2 级速度符文。,Thola i-Speed ​​​​Rune yeBanga lesi-2 enenombolo 1-3.
二级伤害符文1、2、3号,"No. 1, 2, kanye 3 of Grade 2 Ukulimala Rune"
随机获得一个编号为 1-3 的 2 级伤害符文。,Thola okungahleliwe Ibanga lesi-2 Lokulimala Rune elinenombolo 1-3.
二品威力符4、5、6号,"No. 4, 5, kanye 6 of Grade 2 Angase Rune"
随机获得编号为 4-6 的 2 级力量符文。,Thola iBanga lesi-2 elingahleliwe le-Rune elinenombolo 4-6.
二品坚固符文4、5、6号,"No. 4, 5, kanye 6 of Grade 2 Solidity Rune"
随机获得一个 2 级坚固符文，编号为 4-6。,Thola okungahleliwe Grade 2 Solidity Rune enenombolo 4-6.
二级机缘符4、5、6号,"No. 4, 5, kanye 6 of Grade 2 Chance Rune"
随机获得一个 2 级机会符文，编号为 4-6。,Thola okungahleliwe Ibanga lesi-2 Ithuba Rune elinenombolo 4-6.
二级精准符文4、5、6号,"No. 4, 5, kanye 6 of Grade 2 Ukunemba Rune"
随机获得一个二级精准符文，编号为4-6。,Thola iBanga lesi-2 Lokunemba Rune elinenombolo 4-6.
二级生命符文4、5、6号,"No. 4, 5, no-6 weBanga lesi-2 i-HP Rune"
随机获得一个 2 级生命符文，编号为 4-6。,Thola iBanga lesi-2 le-HP Rune elinenombolo 4-6.
二品疾风符4、5、6号,"No. 4, 5, no-6 weBanga lesi-2 Swift Rune"
随机获得一个 2 级迅捷符文，编号为 4-6。,Thola iBanga lesi-2 le-Swift Rune elinenombolo 4-6.
二级伤害符文4、5、6号,"No. 4, 5, kanye 6 of Grade 2 Ukulimala Rune"
随机获得一个 2 级伤害符文，编号为 4-6。,Thola okungahleliwe Ibanga lesi-2 Lokulimala Rune elinenombolo 4-6.
二品一号威力符,Inombolo 1 yeBanga lesi-2 ingahle iRune
二品威力符第二号,Inombolo yesi-2 yeBanga lesi-2 ingahle iRune
二品三级威力符,No. 3 weBanga lesi-2 Angase Rune
二品四级威力符,No. 4 weBanga lesi-2 Angase Rune
二品五号威力符,No. 5 weBanga lesi-2 Angase Rune
二品六级威力符,No. 6 weBanga lesi-2 Angase Rune
二级力量符文,Grade 2 May Rune
随机获得一个二级力量符文。,Thola okungahleliwe Grade 2 May Rune.
2级强化点,Grade 2 Enhancement Point
二级坚固符文1号,Inombolo 1 yeBanga lesi-2 i-Solidity Rune
二级坚固符文2号,Inombolo yesi-2 yeBanga lesi-2 i-Solidity Rune
二品坚固符文三号,Inombolo yesi-3 yeBanga lesi-2 i-Solidity Rune
二品坚固符文四号,Inombolo yesi-4 yeBanga lesi-2 i-Solidity Rune
二级坚固符文5号,Inombolo yesi-5 yeBanga lesi-2 i-Solidity Rune
二品坚固符文6号,No. 6 of Grade 2 Solidity Rune
2 级坚固符文,Grade 2 Solidity Rune
获得随机的 2 级坚固符文。,Thola okungahleliwe Grade 2 Solidity Rune.
二级机缘符文1号,Inombolo 1 yeBanga lesi-2 I-Chance Rune
二级机缘符文2号,No. 2 of Grade 2 Chance Rune
二级机缘符文3号,Inombolo yesi-3 yeBanga lesi-2 I-Chance Rune
二级机缘符4号,No. 4 weBanga lesi-2 Ithuba Rune
二级机缘符5号,No. 5 weBanga lesi-2 Ithuba Rune
二级机缘符6号,No. 6 of Grade 2 Chance Rune
2 级机会符文,Ibanga lesi-2 Ithuba Rune
获得随机 2 级机会符文。,Thola okungahleliwe Grade 2 Chance Rune.
2级符文,Ibanga lesi-2 Rune
可以获得2级符文,Ungathola i-Rune yeBanga lesi-2
获得随机的 2 级符文。,Thola okungahleliwe Grade 2 Rune.
二级抗性符文1号,Inombolo 1 yeBanga lesi-2 Resistance Rune
二级抗性符文2号,Inombolo yesi-2 yeBanga lesi-2 I-Resistance Rune
二级抗性符文3号,Inombolo 3 yeBanga lesi-2 Resistance Rune
二级抗性符文4号,Inombolo 4 yeBanga lesi-2 Resistance Rune
二级抗性符文5号,Inombolo 5 yeBanga lesi-2 Resistance Rune
二级抗性符文6号,Inombolo 6 yeBanga lesi-2 Resistance Rune
二级精准符文1号,No. 1 of Grade 2 Ukunemba Rune
二级精准符文2号,No. 2 of Grade 2 Ukunemba Rune
二级精准符文3号,No. 3 of Grade 2 Ukunemba Rune
二级精准符文4号,No. 4 of Grade 2 Ukunemba Rune
二级精准符文5号,No. 5 of Grade 2 Ukunemba Rune
二级精准符文6号,No. 6 of Grade 2 Ukunemba Rune
二级精准符文,Grade 2 Ukunemba Rune
随机获得一个二级精准符文。,Thola okungahleliwe Grade 2 Ukunemba Rune.
二级生命符文1号,Inombolo 1 yeBanga lesi-2 i-HP Rune
二级生命符文2号,Inombolo yesi-2 yeBanga lesi-2 i-HP Rune
2级生命符文3号,No. 3 weBanga lesi-2 HP Rune
二级生命符文4号,No. 4 weBanga lesi-2 HP Rune
二级生命符文5号,Inombolo 5 yeBanga lesi-2 i-HP Rune
二级生命符文6号,No. 6 weBanga lesi-2 HP Rune
2级生命符文,Ibanga lesi-2 HP Rune
随机获得 2 级生命符文。,Thola okungahleliwe Grade 2 HP Rune.
二级迅捷符文1号,Inombolo 1 yeBanga lesi-2 i-Swift Rune
二级迅捷符文2号,Inombolo yesi-2 yeBanga lesi-2 i-Swift Rune
二品迅捷符文三号,Inombolo yesi-3 yeBanga lesi-2 i-Swift Rune
二品迅捷符文四号,Inombolo yesi-4 yeBanga lesi-2 i-Swift Rune
二级迅捷符文5号,Inombolo yesi-5 yeBanga lesi-2 i-Swift Rune
二级迅捷符文6号,Inombolo yesi-6 yeBanga lesi-2 i-Swift Rune
2 级迅捷符文,Grade 2 Swift Rune
获得随机的 2 级迅捷符文。,Thola okungahleliwe Grade 2 Swift Rune.
二级伤害符文1号,Inombolo 1 yeBanga lesi-2 Ukulimala kweRune
二级伤害符文2号,Inombolo yesi-2 yeBanga lesi-2 Ukulimala kweRune
二级伤害符文3号,Inombolo yesi-3 yeBanga lesi-2 Ukulimala kweRune
二级伤害符文4号,Inombolo yesi-4 yeBanga lesi-2 Ukulimala kweRune
二级伤害符文5号,Inombolo 5 yeBanga lesi-2 Ukulimala kweRune
二级伤害符文6号,Inombolo 6 yeBanga lesi-2 Ukulimala kweRune
2级伤害符文,Grade 2 Ukulimala Rune
随机获得一个 2 级伤害符文。,Thola okungahleliwe Grade 2 Ukulimala Rune.
2个小boss将轮流进攻和防守。 \n赶紧除掉其中一个。,2 Abaphathi abancane bazoshintshana ukuze bahlasele futhi bavikele. \nSusa enye yazo masinyane.
