list_id,r_shop_num,ui_priority,tab_category,product_id,r_price,r_product,dependency,start_date,end_date,week_filter,
1010035,1,5,package,122805,65000,"다이아 88,500개",,,,sold_out,
1010036,1,6,package,122806,119000,"다이아 189,000개",,,,sold_out,
1010037,1,1,package,122811,4400,"다이아 4,500 + 4,500개",122801,2021-01-01 00:00:00,2022-01-01 00:00:00,sold_out,
1010038,1,2,package,122812,6000,"다이아 7,950 + 7,950개",122802,2021-01-01 00:00:00,2022-01-01 00:00:00,sold_out,
1010039,1,3,package,122813,12000,"다이아 16,500 + 16,500개",122803,2021-01-01 00:00:00,2022-01-01 00:00:00,sold_out,
1010040,1,4,package,122814,37000,"다이아 51,000 + 51,000개",122804,2021-01-01 00:00:00,2022-01-01 00:00:00,sold_out,
1010041,1,5,package,122815,65000,"다이아 88,500 + 88,500개",122805,2021-01-01 00:00:00,2022-01-01 00:00:00,sold_out,
1010042,1,6,package,122816,119000,"다이아 189,000 + 189,000개",122806,2021-01-01 00:00:00,2022-01-01 00:00:00,sold_out,
1010043,1,1,package,122821,4400,"다이아 6,000 + 6,000개",,2022-01-01 00:00:00,2022-10-28 00:00:00,,
1010044,1,2,package,122822,6000,"다이아 9,000 + 9,000개",,2022-01-01 00:00:00,2022-10-28 00:00:00,,
1010045,1,3,package,122823,12000,"다이아 18,000 + 18,000개",,2022-01-01 00:00:00,2022-10-28 00:00:00,,
1010046,1,4,package,122824,37000,"다이아 56,000 + 56,000개",,2022-01-01 00:00:00,2022-10-28 00:00:00,,
1010047,1,5,package,122825,65000,"다이아 105,000 + 105,000개",,2022-01-01 00:00:00,2022-10-28 00:00:00,,
1010048,1,6,package,122826,119000,"다이아 205,000 + 205,000개",,2022-01-01 00:00:00,2022-10-28 00:00:00,,
1010049,1,1,package,122827,4400,"다이아 6,000개",,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010050,1,2,package,122828,6000,"다이아 9,000개",,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010051,1,3,package,122829,12000,"다이아 18,000개",,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010052,1,4,package,122830,37000,"다이아 56,000개",,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010053,1,5,package,122831,65000,"다이아 105,000개",,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010054,1,6,package,122832,119000,"다이아 205,000개",,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010055,1,1,package,122833,4400,"다이아 6,000 + 6,000개",122827,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010056,1,2,package,122834,6000,"다이아 9,000 + 9,000개",122828,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010057,1,3,package,122835,12000,"다이아 18,000 + 18,000개",122829,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010058,1,4,package,122836,37000,"다이아 56,000 + 56,000개",122830,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010059,1,5,package,122837,65000,"다이아 105,000 + 105,000개",122831,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1010060,1,6,package,122838,119000,"다이아 205,000 + 205,000개",122832,2022-01-01 00:00:00,2037-01-01 00:00:00,,
1020001,2,1,gold,10001,,골드 30000개,,,,,
1020002,2,3,gold,10002,,골드 150000개,,,,,
1020003,2,5,gold,10003,,골드 300000개,,,,,
1020004,2,7,gold,10004,,골드 600000개,,,,,
1020005,2,9,gold,10005,,골드 1200000개,,,,,
1020006,2,11,gold,10006,,골드 5000000개,,,,,
1020007,2,1,gold,10014,,"골드 30,000 + 15,000개",10001,2018-09-05 00:00:00,2018-09-13 00:00:00,,
1020008,2,3,gold,10015,,"골드 150,000 + 75,000개",10002,2018-09-05 00:00:00,2018-09-13 00:00:00,,
1020009,2,5,gold,10016,,"골드 300,000 + 150,000개",10003,2018-09-05 00:00:00,2018-09-13 00:00:00,,
1020010,2,7,gold,10017,,"골드 300,000 + 150,000개",10004,2018-09-05 00:00:00,2018-09-13 00:00:00,,
1020011,2,9,gold,10018,,"골드 1,200,000 + 600,000개",10005,2018-09-05 00:00:00,2018-09-13 00:00:00,,
1020012,2,11,gold,10019,,"골드 5,000,000 + 2,500,000개",10006,2018-09-05 00:00:00,2018-09-13 00:00:00,,
1030001,3,1,st,210021,,아모르의 서 10개,,,,,
1030002,3,8,st,10013,,날개 180개,,,,,
1030003,3,7,st,60001,,날개 100개,,,,,
1030004,3,4,st,70001,,선물상자,,,,sold_out,
1030005,3,6,st,210023,,신화 스킬 슬라임,,,,,
1030006,3,5,st,10010,,닉네임 변경권,,,,,
1030007,3,3,st,210022,,룬 연마석 10개,,,,,
1030008,3,2,st,210020,,망각의 서,,,,,
1030009,3,20,st,219077,,돌림판 티켓(일간),,2023-12-12 00:00:00,2024-01-03 00:00:00,,
1030010,3,21,st,219078,,돌림판 티켓(한정),,2023-12-12 00:00:00,2024-01-03 00:00:00,,
1030011,3,20,st,219060,,복주머니(일간),,2023-09-06 00:00:00,2023-10-04 00:00:00,,
1030012,3,21,st,219061,,복주머니(한정),,2023-09-06 00:00:00,2023-10-04 00:00:00,,
1030013,3,19,st,219016,,절대적인 전설의 알,,2023-05-21 00:00:00,2022-11-07 00:00:00,,
1030014,3,18,st,219017,,탈릿사,,2022-10-21 00:00:00,2022-11-07 00:00:00,,
1030015,3,17,st,219018,,전설 특성 재료,,2022-10-21 00:00:00,2022-11-07 00:00:00,,
1030016,3,16,st,219019,,전설 강화 포인트,,2022-10-21 00:00:00,2022-11-07 00:00:00,,
1030017,3,15,st,219020,,전설 스킬 슬라임,,2022-10-21 00:00:00,2022-11-07 00:00:00,,
1030018,3,14,st,219021,,드래곤 소환권 10개,,2022-10-21 00:00:00,2022-11-07 00:00:00,,
1030019,3,13,st,219022,,"골드 100,000개",,2022-10-21 00:00:00,2022-11-07 00:00:00,,
1030020,3,12,st,219023,,찬란한 날개,,2022-10-21 00:00:00,2022-11-07 00:00:00,,
1030021,3,18,st,219026,,절대적인 전설의 알,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030022,3,26,st,219027,,데스락,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030023,3,17,st,219028,,전설 특성 재료,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030024,3,16,st,219029,,전설 강화 포인트,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030025,3,15,st,219030,,전설 스킬 슬라임,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030026,3,14,st,219031,,드래곤 소환권 10개,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030027,3,13,st,219032,,"골드 100,000개",,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030028,3,12,st,219033,,찬란한 날개,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030029,3,22,st,219034,,인스트리아,,2023-03-03 00:00:00,2023-03-31 00:00:00,,
1030030,3,25,st,219035,,강렬 1번 사탕,,2023-03-31 00:00:00,2023-04-08 00:00:00,,
1030031,3,24,st,219036,,기회 2번 사탕,,2023-03-31 00:00:00,2023-04-08 00:00:00,,
1030032,3,23,st,219037,,강렬 3번 사탕,,2023-03-31 00:00:00,2023-04-08 00:00:00,,
1030033,3,21,st,219038,,강렬 4번 사탕,,2023-03-31 00:00:00,2023-04-08 00:00:00,,
1030034,3,20,st,219039,,기회 5번 사탕,,2023-03-31 00:00:00,2023-04-08 00:00:00,,
1030035,3,19,st,219040,,강렬 6번 사탕,,2023-03-31 00:00:00,2023-04-08 00:00:00,,
1030036,3,20,st,219043,,인기 신화 드래곤 소환권(일간),,2023-06-07 00:00:00,2023-06-14 00:00:00,,
1030037,3,21,st,219044,,인기 신화 드래곤 소환권(한정),,2023-06-07 00:00:00,2023-06-14 00:00:00,,
1030038,3,9,st,210024,,던전 토벌권 1개,,,,,
1030039,3,18,st,219045,,절대적인 전설의 알,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030040,3,26,st,219046,,라루스,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030041,3,17,st,219047,,전설 특성 재료,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030042,3,16,st,219048,,전설 강화 포인트,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030043,3,15,st,219049,,전설 스킬 슬라임,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030044,3,14,st,219050,,드래곤 소환권 10개,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030045,3,13,st,219051,,"골드 100,000개",,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030046,3,12,st,219052,,찬란한 날개,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030047,3,22,st,219053,,템페렌티나,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030048,3,25,st,219054,,피해 1번 수박,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030049,3,24,st,219055,,피해 2번 수박,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030050,3,23,st,219056,,피해 3번 수박,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030051,3,21,st,219057,,피해 4번 수박,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030052,3,20,st,219058,,피해 5번 수박,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030053,3,19,st,219059,,피해 6번 수박,,2023-08-02 00:00:00,2023-08-23 00:00:00,,
1030054,3,18,st,219062,,절대적인 전설의 알,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030055,3,26,st,219063,,카스티타스,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030056,3,17,st,219064,,전설 특성 재료,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030057,3,16,st,219065,,전설 강화 포인트,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030058,3,15,st,219066,,전설 스킬 슬라임,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030059,3,14,st,219067,,드래곤 소환권 10개,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030060,3,13,st,219068,,"골드 100,000개",,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030061,3,12,st,219069,,찬란한 날개,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030062,3,22,st,219070,,페티아,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030063,3,25,st,219071,,견고 1번 펌프킨,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030064,3,24,st,219072,,견고 2번 펌프킨,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030065,3,23,st,219073,,견고 3번 펌프킨,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030066,3,21,st,219074,,견고 4번 펌프킨,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030067,3,20,st,219075,,견고 5번 펌프킨,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1030068,3,19,st,219076,,견고 6번 펌프킨,,2023-10-23 00:00:00,2023-11-09 00:00:00,,
1040001,4,8,amethyst,220018,,체력 세트 룬,,,,,
1040002,4,11,amethyst,220019,,기회 세트 룬,,,,,
1040003,4,9,amethyst,220021,,견고 세트 룬,,,,,
1040004,4,13,amethyst,220023,,강렬 세트 룬,,,,,
1040005,4,12,amethyst,220024,,피해 세트 룬,,,,,
1040006,4,10,amethyst,220025,,쾌속 세트 룬,,,,,
1040007,4,14,amethyst,220026,,드래곤 먹이,,,,sold_out,
1040008,4,16,amethyst,220017,,룬 축복서,,,,,
1040009,4,14,amethyst,220027,,드래곤 경험치,,,,,
1040010,4,15,amethyst,220028,,룬 축복서,,,,,
1040011,4,20,amethyst,220029,,룬 10개 뽑기 상자,,,,,
1040012,4,17,amethyst,220030,,★4 슈퍼 슬라임,,,,,
1040013,4,18,amethyst,220031,,★5 슈퍼 슬라임,,,,,
1040014,4,19,amethyst,220032,,아모르의 서,,,,,
1050001,5,1,topaz,30016,,화염 기사 코스튬(고니),,,,,
1050002,5,2,topaz,30013,,겨울 여왕 코스튬(누리),,,,,
1050003,5,3,topaz,30012,,전설 강화 포인트 40개 (토파즈),,,,,
1050004,5,4,topaz,30004,,스킬 슬라임,,,,,
1050005,5,10,topaz,30025,,아르주나(빛),,,,,
1050006,5,11,topaz,30005,,아르주나(불),,,,,
1050007,5,12,topaz,30006,,카르나(어둠),,,,,
1050008,5,13,topaz,30007,,앙그라(불),,,,,
1050009,5,14,topaz,30010,,미트라(빛),,,,,
1050010,5,15,topaz,30011,,베르나(빛),,,,,
1050011,5,16,topaz,30014,,썬더볼트(물),,,,,
1050012,5,17,topaz,30015,,앙그라(어둠),,,,,
1050013,5,18,topaz,30017,,저네르(어둠),,,,,
1050014,5,19,topaz,30018,,카르나(땅),,,,,
1050015,5,20,topaz,30019,,썬더볼트(빛),,,,,
1050016,5,21,topaz,30020,,아실리(빛),,,,,
1050017,5,22,topaz,30021,,베르나(어둠),,,,,
1050018,5,23,topaz,30022,,메테오라(불),,,,,
1050019,5,24,topaz,30023,,아바돈(불),,,,,
1050020,5,25,topaz,30024,,히프노스(물),,,,,
1050021,5,26,topaz,30026,,카르나(빛),,,,,
1050022,5,27,topaz,30027,,미트라(땅),,2023-04-02 00:00:00,,,
1050023,5,96,topaz,30009,,캡슐코인,,,,,
1050024,5,97,topaz,30001,,초월의 알,,,,,
1050025,5,98,topaz,30002,,신화의 알,,,,,
1050026,5,99,topaz,30008,,전설 드래곤 선택권,,,,,
1050027,5,100,topaz,30002,,빛나는 전설의 알,,,,,
1050028,5,101,topaz,30042,,전설 특성 재료,,,,,
1050029,5,102,topaz,30030,,절대적인 전설의 알,,,,,
1060001,6,1,mileage,40001,,환상의알,,,,,
1060002,6,2,mileage,40005,,전설의 알,,,,,
1060003,6,3,mileage,40006,,"★5 드래곤 부화
(한정 드래곤 포함)",,,,,
1070001,7,4,ancient,100001,,빙하고룡(물) 인연포인트 10개,,,,,
1070002,7,5,ancient,100002,,토템드래곤(땅) 인연포인트 10개,,,,,
1070003,7,3,ancient,100003,,블랙퀸(불) 인연포인트 10개,,,,,
1070004,7,2,ancient,100004,,에일리언드래곤(빛) 인연포인트 10개,,,,,
1070005,7,1,ancient,100005,,페어리드래곤(어둠) 인연포인트 10개,,,,,
1080001,8,2,clancoin,60010,,전설 스킬 슬라임,,,,,
1080002,8,3,clancoin,60015,,신화 스킬 슬라임,,,,,
1080003,8,1,clancoin,60012,,절대적인 전설의 알,,,,,
1080004,8,5,clancoin,60013,,5등급 강화 포인트,,,,,
1080005,8,4,clancoin,60014,,4등급 강화 포인트,,,,,
1090001,9,1,honor,50001,,수호의 알,,,,sold_out,
1090002,9,2,honor,50002,,맹수의 알,,,,sold_out,
1090003,9,3,honor,50003,,치유의 알,,,,sold_out,
1090004,9,4,honor,50004,,보호의 알,,,,sold_out,
1090005,9,5,honor,50005,,영웅의 알,,2020-03-01 00:00:00,2021-03-01 00:00:00,sold_out,
1090006,9,11,honor,50006,,전설 스킬 슬라임,,,,,
1090007,9,7,honor,50008,,영웅 스킬 슬라임,,,,,
1090008,9,6,honor,50009,,희귀 스킬 슬라임,,,,,
1090009,9,8,honor,250010,,영웅 강화 포인트,,,,,
1090010,9,12,honor,250011,,전설 강화 포인트,,,,,
1090011,9,10,honor,250012,,캡슐코인,,2021-03-01 00:00:00,,,
1090012,9,9,honor,250013,,신화의 알,,2021-03-01 00:00:00,,,
1090013,9,5,honor,250014,,환상의 알,,2021-03-01 00:00:00,,,
1110001,11,13,valor,80001,,절대적인 전설의 알,,2023-06-01 00:00:00,2023-06-01 00:00:00,,
1110002,11,13,valor,80002,,전설 드래곤 선택권,,2023-06-01 00:00:00,2023-06-01 00:00:00,,
1110003,11,13,valor,80003,,영웅 드래곤 선택권,,2023-06-01 00:00:00,2023-06-01 00:00:00,,
1110004,11,13,valor,80004,,캡슐코인,,,,,
1110005,11,13,valor,80006,,용맹 코스튬 세트,,,,,
1110006,11,13,valor,70002,,절대적인 전설의 알,,2023-06-01 00:00:00,,,
1110007,11,13,valor,70003,,전설 드래곤 선택권,,2023-06-01 00:00:00,,,
1110008,11,13,valor,70004,,영웅 드래곤 선택권,,2023-06-01 00:00:00,,,
1110009,11,15,valor,70005,,승리의 3번 훈장,,,,,
1110010,11,14,valor,70006,,역습의 4번 훈장,,,,,
1120001,12,3,reinforce,90110,6000,전설 강화 포인트 15개,,,,sold_out,
1120002,12,4,reinforce,90111,12000,전설 강화 포인트 30개,,,,sold_out,
1120003,12,5,reinforce,90112,37000,전설 강화 포인트 90개,,,,sold_out,
1120004,12,6,reinforce,90113,65000,전설 강화 포인트 160개,,,,sold_out,
1120005,12,7,reinforce,90114,119000,전설 강화 포인트 320개,,,,sold_out,
1120006,12,2,reinforce,30012,,전설 강화 포인트 40개 (토파즈),,,,,
1120007,12,1,reinforce,60013,,전설 강화 포인트 160개 (클랜코인),,,,,
1120008,12,1,reinforce,250011,,전설 강화 포인트 40개 (명예),,,,,
1130001,13,5,skillslime,90126,37000,스킬 슬라임 2개,,,,sold_out,
1130002,13,6,skillslime,90127,65000,스킬 슬라임 4개,,,,sold_out,
1130003,13,7,skillslime,90128,119000,스킬 슬라임 10개,,,,sold_out,
1130004,13,2,skillslime,30004,,스킬 슬라임 1개 (토파즈),,,,,
1130005,13,4,skillslime,50006,,스킬 슬라임 1개 (명예),,,,,
1130006,13,3,skillslime,60010,,스킬 슬라임 1개 (클랜코인),,,,,
1140001,14,1,package,130011,65000,신화 드래곤 획득 축하 패키지(탈릿사),,,,,
1140002,14,1,package,130012,119000,신화 드래곤 획득 축하 패키지(탈릿사),,,,,
1140003,14,1,package,130021,65000,신화 드래곤 획득 축하 패키지(세에레),,,,,
1140004,14,1,package,130022,119000,신화 드래곤 획득 축하 패키지(세에레),,,,,
1140005,14,1,package,130031,65000,신화 드래곤 획득 축하 패키지(데스락),,,,,
1140006,14,1,package,130032,119000,신화 드래곤 획득 축하 패키지(데스락),,,,,
1140007,14,1,package,130041,65000,신화 드래곤 획득 축하 패키지(마카라),,,,,
1140008,14,1,package,130042,119000,신화 드래곤 획득 축하 패키지(마카라),,,,,
1140009,14,1,package,130051,65000,신화 드래곤 획득 축하 패키지(헤네스),,,,,
1140010,14,1,package,130052,119000,신화 드래곤 획득 축하 패키지(헤네스),,,,,
1140011,14,1,package,130061,65000,신화 드래곤 획득 축하 패키지(템페렌티나),,,,,
1140012,14,1,package,130062,119000,신화 드래곤 획득 축하 패키지(템페렌티나),,,,,
1140013,14,1,package,130071,65000,신화 드래곤 획득 축하 패키지(카스티타스),,,,,
1140014,14,1,package,130072,119000,신화 드래곤 획득 축하 패키지(카스티타스),,,,,
1140015,14,1,package,130081,65000,신화 드래곤 획득 축하 패키지(밀라타스),,,,,
1140016,14,1,package,130082,119000,신화 드래곤 획득 축하 패키지(밀라타스),,,,,
1140017,14,1,package,130091,65000,신화 드래곤 획득 축하 패키지(러스트),,,,,
1140018,14,1,package,130092,119000,신화 드래곤 획득 축하 패키지(러스트),,,,,
1140019,14,1,package,130101,65000,신화 드래곤 획득 축하 패키지(글루토니),,,,,
1140020,14,1,package,130102,119000,신화 드래곤 획득 축하 패키지(글루토니),,,,,
1140021,14,1,package,130111,65000,신화 드래곤 획득 축하 패키지(페티아),,,,,
1140022,14,1,package,130112,119000,신화 드래곤 획득 축하 패키지(페티아),,,,,
1140023,14,1,package,130121,55000,신화 드래곤 획득 축하 패키지(엔비),,,,,
1140024,14,1,package,130122,110000,신화 드래곤 획득 축하 패키지(엔비),,,,,
1140025,14,1,package,130131,55000,신화 드래곤 획득 축하 패키지(인스트리아),,,,,
1140026,14,1,package,130132,110000,신화 드래곤 획득 축하 패키지(인스트리아),,,,,
1140027,14,1,package,130141,55000,신화 드래곤 획득 축하 패키지(오베론),,,,,
1140028,14,1,package,130142,110000,신화 드래곤 획득 축하 패키지(오베론),,,,,
1140029,14,1,package,130151,55000,신화 드래곤 획득 축하 패키지(프라이드),,,,,
1140030,14,1,package,130152,110000,신화 드래곤 획득 축하 패키지(프라이드),,,,,
1140031,14,1,package,130161,55000,신화 드래곤 획득 축하 패키지(라루스),,,,,
1140032,14,1,package,130162,110000,신화 드래곤 획득 축하 패키지(라루스),,,,,
1140033,14,1,package,130171,55000,신화 드래곤 획득 축하 패키지(포너),,,,,
1140034,14,1,package,130172,110000,신화 드래곤 획득 축하 패키지(포너),,,,,
1140035,14,1,package,130181,55000,신화 드래곤 획득 축하 패키지(베네보렌티아),,,,,
1140036,14,1,package,130182,110000,신화 드래곤 획득 축하 패키지(베네보렌티아),,,,,
1140037,14,1,package,130191,55000,신화 드래곤 획득 축하 패키지(라스),,,,,
1140038,14,1,package,130192,110000,신화 드래곤 획득 축하 패키지(라스),,,,,
1140039,14,1,package,130201,55000,신화 드래곤 획득 축하 패키지(그리드),,,,,
1140040,14,1,package,130202,110000,신화 드래곤 획득 축하 패키지(그리드),,,,,
1140041,14,1,package,130211,55000,신화 드래곤 획득 축하 패키지(마카롱),,,,,
1140042,14,1,package,130212,110000,신화 드래곤 획득 축하 패키지(마카롱),,,,,
1140043,14,1,package,130221,55000,신화 드래곤 획득 축하 패키지(네무스),,,,,
1140044,14,1,package,130222,110000,신화 드래곤 획득 축하 패키지(네무스),,,,,
1140045,14,1,package,130231,55000,신화 드래곤 획득 축하 패키지(레슬로),,,,,
1140046,14,1,package,130232,110000,신화 드래곤 획득 축하 패키지(레슬로),,,,,
1140047,14,1,package,130241,55000,신화 드래곤 획득 축하 패키지(바르그),,,,,
1140048,14,1,package,130242,110000,신화 드래곤 획득 축하 패키지(바르그),,,,,
1140049,14,1,package,130251,55000,신화 드래곤 획득 축하 패키지(카네드),,,,,
1140050,14,1,package,130252,110000,신화 드래곤 획득 축하 패키지(카네드),,,,,
1140051,14,1,package,130261,55000,신화 드래곤 획득 축하 패키지(칼리시),,,,,
1140052,14,1,package,130262,110000,신화 드래곤 획득 축하 패키지(칼리시),,,,,
1140053,14,1,package,130271,55000,신화 드래곤 획득 축하 패키지(마스테마),,,,,
1140054,14,1,package,130272,110000,신화 드래곤 획득 축하 패키지(마스테마),,,,,
1140055,14,1,package,130281,55000,신화 드래곤 획득 축하 패키지(체스토),,,,,
1140056,14,1,package,130282,110000,신화 드래곤 획득 축하 패키지(체스토),,,,,
1140057,14,1,package,130291,55000,신화 드래곤 획득 축하 패키지(카루라),,,,,
1140058,14,1,package,130292,110000,신화 드래곤 획득 축하 패키지(카루라),,,,,
1100001,10,13,package,90084,1500,경험치 부스터 패키지,,,,,
1100002,10,13,package,90085,1500,골드 부스터 패키지,,,,,
1900001,90,5,pass,90057,37000,모험 돌파 패키지,,,,,
1900002,90,5,pass,110281,37000,모험 돌파 패키지,,,,,
1900003,90,5,pass,110282,37000,모험 돌파 패키지,,,,,
1900004,90,5,pass,110283,37000,모험 돌파 패키지,,,,,
1900005,90,6,package,90093,37000,캡슐코인 패키지,,,,,
1900006,90,4,package,90094,6000,캡슐코인 5 + 1,,,,,
1900007,90,1,etc,110057,12000,다이아 깜짝 할인 상품,,,,,
1900008,90,1,etc,110058,6000,골드 깜짝 할인 상품,,,,,
1900009,90,1,etc,110059,4400,날개 깜짝 할인 상품,,,,,
1900010,90,109,package,110143,119000,전설 특성 재료 패키지,,2021-06-14 00:00:00,2021-06-21 00:00:00,,
1900011,90,103,package,110261,65000,전설 드래곤 육성 패키지(스슬),,2021-06-18 00:00:00,2021-06-24 00:00:00,,
1900012,90,103,package,110262,65000,전설 드래곤 육성 패키지(강포),,2021-06-18 00:00:00,2021-06-24 00:00:00,,
1900013,90,5,pass,90037,37000,레벨업 패키지,,,,,
1900014,90,5,pass,110271,37000,레벨업 패키지,,,,,
1900015,90,5,pass,110272,37000,레벨업 패키지,,,,,
