slime,t_name,material_type,type,res,test,scale,giving_exp,req_gold_per_mtrl,icon,mg_weight,fp_weight,pick_weight,sl_weight,rarity,birthgrade,category,role,attr,char_type,skill,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,t_desc
129013,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,3500,500,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,1,none,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129023,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,7000,1200,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,2,none,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,매콤한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129033,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,15000,3000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,3,none,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129043,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,30000,6000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,4,none,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129053,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_03/exp_slime_@_03.spine,0,0.8,60000,12000,res/ui/icons/cha/exp_slime_@_03.png,0,0,0,10,common,5,none,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129014,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,3500,500,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,1,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129024,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,7000,1200,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,2,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,방향제 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129034,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,15000,3000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,3,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129044,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,30000,6000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,4,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129054,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_03/exp_slime_@_03.spine,0,0.8,60000,12000,res/ui/icons/cha/exp_slime_@_03.png,0,0,0,10,common,5,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129015,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,3500,500,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,1,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129025,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,7000,1200,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,2,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,이상한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129035,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,15000,3000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,3,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129045,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,30000,6000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,4,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129055,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_03/exp_slime_@_03.spine,0,0.8,60000,12000,res/ui/icons/cha/exp_slime_@_03.png,0,0,0,10,common,5,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129124,★2 슈퍼 슬라임,upgrade,slime,res/character/dragon/grade_slime_01/grade_slime_01.spine,1,0.8,,,res/ui/icons/cha/grade_slime_01.png,0,0,0,0,common,2,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,2성 드래곤의 등급 상승 재료로 사용할 수 있는 신비한 슬라임
129134,★3 슈퍼 슬라임,upgrade,slime,res/character/dragon/grade_slime_01/grade_slime_01.spine,1,0.8,,,res/ui/icons/cha/grade_slime_01.png,0,10,0,0,rare,3,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,3성 드래곤의 등급 상승 재료로 사용할 수 있는 신비한 슬라임
129144,★4 슈퍼 슬라임,upgrade,slime,res/character/dragon/grade_slime_02/grade_slime_02.spine,1,0.8,,,res/ui/icons/cha/grade_slime_02.png,0,0,0,0,hero,4,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,4성 드래곤의 등급 상승 재료로 사용할 수 있는 신비한 슬라임
129154,★5 슈퍼 슬라임,upgrade,slime,res/character/dragon/grade_slime_03/grade_slime_03.spine,1,0.8,,,res/ui/icons/cha/grade_slime_03.png,0,0,0,0,legend,5,none,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,5성 드래곤의 등급 상승 재료로 사용할 수 있는 신비한 슬라임
129215,전설 스킬 슬라임,skill,slime,res/character/monster/skill_slime_03/skill_slime_03.spine,1,0.8,,,res/ui/icons/cha/skill_slime_03.png,0,0,0,0,legend,5,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,전설 드래곤 스킬 레벨업 재료로 사용할 수 있는 신비한 슬라임
129235,희귀 스킬 슬라임,skill,slime,res/character/monster/skill_slime_01/skill_slime_01.spine,1,0.8,,,res/ui/icons/cha/skill_slime_01.png,0,0,0,0,rare,3,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,희귀 드래곤 스킬 레벨업 재료로 사용할 수 있는 신비한 슬라임
129245,영웅 스킬 슬라임,skill,slime,res/character/monster/skill_slime_02/skill_slime_02.spine,1,0.8,,,res/ui/icons/cha/skill_slime_02.png,0,0,0,0,hero,4,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,영웅 드래곤 스킬 레벨업 재료로 사용할 수 있는 신비한 슬라임
129255,전설 스킬 슬라임,skill,slime,res/character/monster/skill_slime_03/skill_slime_03.spine,1,0.8,,,res/ui/icons/cha/skill_slime_03.png,0,0,0,0,legend,5,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,전설 드래곤 스킬 레벨업 재료로 사용할 수 있는 신비한 슬라임
129265,신화 스킬 슬라임,skill,slime,res/character/monster/skill_slime_04/skill_slime_04.spine,1,0.8,,,res/ui/icons/cha/skill_slime_04.png,0,0,0,0,myth,6,none,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,신화 드래곤 스킬 레벨업 재료로 사용할 수 있는 신비한 슬라임
