rid,t_desc,clear_type,clear_target,clear_value,t_name,res,t_speech,desc_1,r_reward_1,r_val_1,r_reward_2,r_val_2,r_reward_3,r_val_3,r_reward_4,r_val_4,reward,special,
11012,4성 10레벨 달성,d_lv,4,10,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어.\n오늘도 출발하자구!,,다이아,100,,,,,,,700001;100,,다이아 100
11013,4성 20레벨 달성,d_lv,4,20,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어.\n오늘도 출발하자구!,,다이아,100,,,,,,,700001;100,,다이아 100
11014,4성 30레벨 달성,d_lv,4,30,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어.\n오늘도 출발하자구!,,다이아,100,,,,,,,700001;100,,다이아 100
11015,4성 40레벨 달성,d_lv,4,40,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어.\n오늘도 출발하자구!,,다이아,100,,,,,,,700001;100,,다이아 100
11016,공격 속도 140% 이상 달성,check_d_stat,aspd,140,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,공격 속도를 좀 더 올릴 수 있다면 훨씬 강력해질거야.\n공격 속도를 올려주는 2번 룬이 있으면 좋을텐데.,,골드,20000,,,,,,,700002;20000,,골드 20000
11017,친밀도 단계 '단짝' 달성,fr_lvup,,7,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,이제 너와 지낸지도 꽤나 오래 되었네.\n앞으로도 잘 부탁해. 물론 '열매'도 잊지 말라구!,,골드,20000,,,,,,,700002;20000,,골드 20000
11018,친밀도 단계 '행복' 달성,fr_lvup,,8,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,이제 너와 지낸지도 꽤나 오래 되었네.\n앞으로도 잘 부탁해. 물론 '열매'도 잊지 말라구!,,골드,20000,,,,,,,700002;20000,,골드 20000
11019,친밀도 단계 '일심동체' 달성,fr_lvup,,9,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,이제 너와 지낸지도 꽤나 오래 되었네.\n앞으로도 잘 부탁해. 물론 '열매'도 잊지 말라구!,,4성 슈퍼슬라임,2,,,,,,,779144;2,,4성 슈퍼슬라임 2
11020,5성으로 승급하기,d_grup_s,5,1,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,동일한 등급의 드래곤이 내게 힘을 전해주면 '승급'을 할 수 있어.\n지금은 4성 드래곤 4마리가 내게 힘을 보태줄 수 있을것 같아.,,골드,20000,,,,,,,700002;20000,,골드 20000
11021,해츨링으로 진화하기,d_evup_s,2,1,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,내 진정한 모습을 깨우기 위해서는 '진화'를 해야해.\n'거대용 던전'에서 진화에 필요한 재료를 모을 수 있을거야.,,골드,20000,,,,,,,700002;20000,,골드 20000
11022,5성 10레벨 달성,d_lv,5,10,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,너와 함께 하는 '모험'이 날 이렇게 성장시켰군.\n앞으로도 계속 강해질 수 있어!,,골드,20000,,,,,,,700002;20000,,골드 20000
11023,5성 20레벨 달성,d_lv,5,20,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,너와 함께 하는 '모험'이 날 이렇게 성장시켰군.\n앞으로도 계속 강해질 수 있어!,,골드,20000,,,,,,,700002;20000,,골드 20000
11024,5성 30레벨 달성,d_lv,5,30,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,너와 함께 하는 '모험'이 날 이렇게 성장시켰군.\n앞으로도 계속 강해질 수 있어!,,골드,20000,,,,,,,700002;20000,,골드 20000
11025,5성 40레벨 달성,d_lv,5,40,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,너와 함께 하는 '모험'이 날 이렇게 성장시켰군.\n앞으로도 계속 강해질 수 있어!,,골드,20000,,,,,,,700002;20000,,골드 20000
11026,5성 50레벨 달성,d_lv,5,50,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,너와 함께 하는 '모험'이 날 이렇게 성장시켰군.\n앞으로도 계속 강해질 수 있어!,,5성 슈퍼슬라임,2,,,,,,,779154;2,,5성 슈퍼슬라임 2
11027,공격 속도 155% 이상 달성,check_d_stat,aspd,155,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,공격 속도를 좀 더 올릴 수 있다면 훨씬 강력해질거야.\n룬의 주옵션과 부옵션을 통해 최대한 공격속도를 올려줘.,,다이아,200,,,,,,,700001;200,,다이아 200
11028,콜로세움 참가 1회,ply_clsm,,1,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,이제 콜로세움에서 내 힘을 보여줄 때야.\n네 적들에게 내 뇌룡포의 위력을 보여주도록 할까?,,다이아,200,,,,,,,700001;200,,다이아 200
11029,6성으로 승급하기,d_grup_s,6,1,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_02.spine,동일한 등급의 드래곤이 내게 힘을 전해주면 '승급'을 할 수 있어.\n지금은 5성 드래곤 5마리가 내게 힘을 보태줄 수 있을것 같아.,,다이아,200,,,,,,,700001;200,,다이아 200
11030,성룡으로 진화하기,d_evup_s,3,1,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,내 진정한 모습을 깨우기 위해서는 '진화'를 해야해.\n'거대용 던전'에서 진화에 필요한 재료를 모을 수 있을거야.,,다이아,200,,,,,,,700001;200,,다이아 200
11031,6성 10레벨 달성,d_lv,6,10,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,"나도 이제 상당히 강해진 것 같아, 하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같은걸?",,다이아,200,,,,,,,700001;200,,다이아 200
11032,6성 20레벨 달성,d_lv,6,20,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,"나도 이제 상당히 강해진 것 같아, 하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같은걸?",,다이아,200,,,,,,,700001;200,,다이아 200
11033,6성 30레벨 달성,d_lv,6,30,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,"나도 이제 상당히 강해진 것 같아, 하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같은걸?",,다이아,200,,,,,,,700001;200,,다이아 200
11034,6성 40레벨 달성,d_lv,6,40,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,"나도 이제 상당히 강해진 것 같아, 하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같은걸?",,다이아,200,,,,,,,700001;200,,다이아 200
11035,6성 50레벨 달성,d_lv,6,50,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,"나도 이제 상당히 강해진 것 같아, 하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같은걸?",,다이아,200,,,,,,,700001;200,,다이아 200
11036,6성 60레벨 달성,d_lv,6,60,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,"나도 이제 상당히 강해진 것 같아, 하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같은걸?",,다이아,200,,,,,,,700001;200,,다이아 200
11037,공격 속도 180% 이상 달성,check_d_stat,aspd,180,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_03.spine,지금보다도 공격 속도를 더 올릴 수 있을까?\n룬의 주옵션과 부옵션을 통해 최대한 공격속도를 올려줘.,,고대의 알,1,,,,,,,703019;1,1,고대의 알 1
11101,3성 10레벨 달성,d_lv,3,10,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,시작부터 전설 드래곤인 제가 함께니 걱정하지 마세요.!\n우선 '모험'을 통해 내 레벨을 올리면 제가 더 도울 수 있을 것 같네요.,,골드,10000,,,,,,,700002;10000,,골드 10000
11102,3성 20레벨 달성,d_lv,3,20,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,좋아요!. 지금처럼 제 레벨을 올리면 당신의 여정에 크게 도움이 될거에요.\n조금 더 '모험'을 진행해볼까요?,,골드,10000,,,,,,,700002;10000,,골드 10000
11103,3성 30레벨 달성,d_lv,3,30,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,좋아요!. 지금처럼 제 레벨을 올리면 당신의 여정에 크게 도움이 될거에요.\n조금 더 '모험'을 진행해볼까요?,,골드,10000,,,,,,,700002;10000,,골드 10000
11104,친밀도 단계 '인식' 달성,fr_lvup,,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,열매는 우리 드래곤이 가장 좋아하는 음식이에요.\n'거목 던전'에서 이 열매를 구할 수 있다고 들었는데...,,골드,10000,,,,,,,700002;10000,,골드 10000
11105,친밀도 단계 '관심' 달성,fr_lvup,,2,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,요일마다 특정 속성의 '거목 던전'에 입장할 수 있어요.\n그리고 열매도 그 거목 던전의 속성에 따라 얻을 수 있죠.,,골드,10000,,,,,,,700002;10000,,골드 10000
11106,친밀도 단계 '소통' 달성,fr_lvup,,3,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,요일마다 특정 속성의 '거목 던전'에 입장할 수 있어요.\n그리고 열매도 그 거목 던전의 속성에 따라 얻을 수 있죠.,,3성 슈퍼 슬라임,1,,,,,,,779134;1,,3성 슈퍼 슬라임 1
11107,4성으로 승급하기,d_grup_s,4,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,동일한 등급의 드래곤이 제게 힘을 전해주면 '승급'을 할 수 있어요.\n지금은 3성 드래곤 3마리가 내게 힘을 보태줄 수 있을것 같군요.,,3성 체력 1번룬,1,3성 체력 2번룬,1,,,,,"710113;1,710123;1",,3성 체력 1번룬 1
11108,세트 룬 착용(체력 룬 2개),r_eq_s,,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,제가 좋아하는 능력치는 '생명력'이에요.\n체력 룬을 2개 착용하면 생명력을 끌어올릴 수 있을 것 같아요.,,다이아,100,,,,,,,700001;100,,다이아 100
11109,친밀도 단계 '호감' 달성,fr_lvup,,4,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,저번에 먹었던 '열매'가 참 맛있었어요.\n혹시 조금 더 구할 수 있을까요?,,다이아,100,,,,,,,700001;100,,다이아 100
11110,친밀도 단계 '친구' 달성,fr_lvup,,5,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,저번에 먹었던 '열매'가 참 맛있었어요.\n혹시 조금 더 구할 수 있을까요?,,다이아,100,,,,,,,700001;100,,다이아 100
11111,친밀도 단계 '다정' 달성,fr_lvup,,6,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,저번에 먹었던 '열매'가 참 맛있었어요.\n혹시 조금 더 구할 수 있을까요?,,다이아,100,,,,,,,700001;100,,다이아 100
11112,4성 10레벨 달성,d_lv,4,10,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어요.\n오늘도 출발하자구요!,,다이아,100,,,,,,,700001;100,,다이아 100
11113,4성 20레벨 달성,d_lv,4,20,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어요.\n오늘도 출발하자구요!,,다이아,100,,,,,,,700001;100,,다이아 100
11114,4성 30레벨 달성,d_lv,4,30,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어요.\n오늘도 출발하자구요!,,다이아,100,,,,,,,700001;100,,다이아 100
11115,4성 40레벨 달성,d_lv,4,40,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,계속 '모험'을 하지 않으면 더 강해질 수 없어요.\n오늘도 출발하자구요!,,다이아,100,,,,,,,700001;100,,다이아 100
11116,생명력 능력치 130000 이상 달성,check_d_stat,hp,130000,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,"생명력을 더 올릴 수 있다면 아군을 더 잘 치유할 수 있어요.\n생명력을 올려주는 2, 4, 6번 룬이 있으면 좋을텐데.",,골드,20000,,,,,,,700002;20000,,골드 20000
11117,친밀도 단계 '단짝' 달성,fr_lvup,,7,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,이제 당신과 지낸지도 꽤나 오래 되었네요.\n앞으로도 잘 부탁해요. 물론 '열매'도 잊지 말구요!,,골드,20000,,,,,,,700002;20000,,골드 20000
11118,친밀도 단계 '행복' 달성,fr_lvup,,8,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,이제 당신과 지낸지도 꽤나 오래 되었네요.\n앞으로도 잘 부탁해요. 물론 '열매'도 잊지 말구요!,,골드,20000,,,,,,,700002;20000,,골드 20000
11119,친밀도 단계 '일심동체' 달성,fr_lvup,,9,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,이제 당신과 지낸지도 꽤나 오래 되었네요.\n앞으로도 잘 부탁해요. 물론 '열매'도 잊지 말구요!,,4성 슈퍼슬라임,2,,,,,,,779144;2,,4성 슈퍼슬라임 2
11120,5성으로 승급하기,d_grup_s,5,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,동일한 등급의 드래곤이 제게 힘을 전해주면 '승급'을 할 수 있어요.\n지금은 4성 드래곤 4마리가 내게 힘을 보태줄 수 있을것 같군요.,,골드,20000,,,,,,,700002;20000,,골드 20000
11121,해츨링으로 진화하기,d_evup_s,2,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_01.spine,제 진정한 모습을 깨우기 위해서는 '진화'를 해야해요.\n'거대용 던전'에서 진화에 필요한 재료를 모을 수 있을거에요.,,골드,20000,,,,,,,700002;20000,,골드 20000
11122,5성 10레벨 달성,d_lv,5,10,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,당신과함께 하는 '모험'이 저를 이렇게 성장시켰어요.\n앞으로도 계속 강해질 수 있어요!,,골드,20000,,,,,,,700002;20000,,골드 20000
11123,5성 20레벨 달성,d_lv,5,20,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,당신과함께 하는 '모험'이 저를 이렇게 성장시켰어요.\n앞으로도 계속 강해질 수 있어요!,,골드,20000,,,,,,,700002;20000,,골드 20000
11124,5성 30레벨 달성,d_lv,5,30,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,당신과함께 하는 '모험'이 저를 이렇게 성장시켰어요.\n앞으로도 계속 강해질 수 있어요!,,골드,20000,,,,,,,700002;20000,,골드 20000
11125,5성 40레벨 달성,d_lv,5,40,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,당신과함께 하는 '모험'이 저를 이렇게 성장시켰어요.\n앞으로도 계속 강해질 수 있어요!,,골드,20000,,,,,,,700002;20000,,골드 20000
11126,5성 50레벨 달성,d_lv,5,50,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,당신과함께 하는 '모험'이 저를 이렇게 성장시켰어요.\n앞으로도 계속 강해질 수 있어요!,,5성 슈퍼슬라임,2,,,,,,,779154;2,,5성 슈퍼슬라임 2
11127,생명력 능력치 210000 이상 달성,check_d_stat,hp,210000,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,생명력을 더 올릴 수 있다면 아군을 더 잘 치유할 수 있어요.\n룬의 주옵션과 부옵션을 통해 최대한 생명력을 올려주세요.,,다이아,200,,,,,,,700001;200,,다이아 200
11128,콜로세움 참가 1회,ply_clsm,,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,이제 콜로세움에서 제 힘을 보여줄 때에요.\n적들의 공격을 버티면서 아군을 치유하도록 할게요!,,다이아,200,,,,,,,700001;200,,다이아 200
11129,6성으로 승급하기,d_grup_s,6,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,동일한 등급의 드래곤이 제게 힘을 전해주면 '승급'을 할 수 있어요.\n지금은 5성 드래곤 5마리가 내게 힘을 보태줄 수 있을것 같군요.,,다이아,200,,,,,,,700001;200,,다이아 200
11130,성룡으로 진화하기,d_evup_s,3,1,,res/character/dragon/smartdragon_@_#/smartdragon_earth_02.spine,제 진정한 모습을 깨우기 위해서는 '진화'를 해야해요.\n'거대용 던전'에서 진화에 필요한 재료를 모을 수 있을거에요.,,다이아,200,,,,,,,700001;200,,다이아 200
11131,6성 10레벨 달성,d_lv,6,10,,res/character/dragon/smartdragon_@_#/smartdragon_earth_03.spine,"저도 이제 상당히 강해진 것 같아요,\n하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같네요!",,다이아,200,,,,,,,700001;200,,다이아 200
11132,6성 20레벨 달성,d_lv,6,20,,res/character/dragon/smartdragon_@_#/smartdragon_earth_03.spine,"저도 이제 상당히 강해진 것 같아요,\n하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같네요!",,다이아,200,,,,,,,700001;200,,다이아 200
11133,6성 30레벨 달성,d_lv,6,30,,res/character/dragon/smartdragon_@_#/smartdragon_earth_03.spine,"저도 이제 상당히 강해진 것 같아요,\n하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같네요!",,다이아,200,,,,,,,700001;200,,다이아 200
11134,6성 40레벨 달성,d_lv,6,40,,res/character/dragon/smartdragon_@_#/smartdragon_earth_03.spine,"저도 이제 상당히 강해진 것 같아요,\n하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같네요!",,다이아,200,,,,,,,700001;200,,다이아 200
11135,6성 50레벨 달성,d_lv,6,50,,res/character/dragon/smartdragon_@_#/smartdragon_earth_03.spine,"저도 이제 상당히 강해진 것 같아요,\n하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같네요!",,다이아,200,,,,,,,700001;200,,다이아 200
11136,6성 60레벨 달성,d_lv,6,60,,res/character/dragon/smartdragon_@_#/smartdragon_earth_03.spine,"저도 이제 상당히 강해진 것 같아요,\n하지만 '모험'을 계속한다면 조금 더 강해질 수 있을 것 같네요!",,다이아,200,,,,,,,700001;200,,다이아 200
11137,생명력 능력치 360000 이상 달성,check_d_stat,hp,360000,,res/character/dragon/smartdragon_@_#/smartdragon_earth_03.spine,지금보다도 생명력을 더 올릴 수 있을까요?\n룬의 주옵션과 부옵션을 통해 최대한 생명력을 올려주세요.,,고대의 알,1,,,,,,,703019;1,1,고대의 알 1
