rank_id,category,t_name,rank_min,rank_max,ratio_min,ratio_max,reward,week,clan_exp,reward_value
3031,dungeon,91~100위,91,100,,,clancoin;1500,1,20000,0.06
3032,dungeon,100위 미만,,,0,100,clancoin;1450,1,15000,0.06
3033,dungeon,1위,1,1,,,clancoin;2000,201907,70000,0.08
3034,dungeon,2위,2,2,,,clancoin;1800,201907,60000,0.08
3035,dungeon,3위,3,3,,,clancoin;1700,201907,50000,0.08
3036,dungeon,4위~10위,4,10,,,clancoin;1600,201907,40000,0.08
3037,dungeon,11~20위,11,20,,,clancoin;1400,201907,30000,0.08
3038,dungeon,21~50위,21,50,,,clancoin;1200,201907,25000,0.08
3039,dungeon,51~100위,51,100,,,clancoin;1000,201907,20000,0.08
3040,dungeon,100위 미만,,,0,100,clancoin;800,201907,15000,0.08
4001,arena,1위,1,1,,,clancoin;100,1,,
4002,arena,2위~5위,2,5,,,clancoin;90,1,,
4003,arena,6위~10위,6,10,,,clancoin;80,1,,
4004,arena,11위~50위,11,50,,,clancoin;70,1,,
4005,arena,50위 미만,,,0,100,clancoin;50,1,,
5001,clanwar_tournament,우승,1,1,,,clancoin;350,1,110000,
5002,clanwar_tournament,준우승,2,2,,,clancoin;300,1,90000,
5003,clanwar_tournament,4강,3,4,,,clancoin;270,1,70000,
5004,clanwar_tournament,8강,5,8,,,clancoin;240,1,60000,
5005,clanwar_tournament,16강,9,16,,,clancoin;220,1,50000,
5006,clanwar_tournament,32강,17,32,,,clancoin;200,1,45000,
5007,clanwar_tournament,64강,33,64,,,clancoin;180,1,40000,
5008,clanwar_league,조별리그3위,3,3,,,clancoin;120,1,30000,
5009,clanwar_league,조별리그4위,4,4,,,clancoin;110,1,30000,
5010,clanwar_league,조별리그5~6위,5,6,,,clancoin;100,1,20000,
