order,did,구분 설명아이디,구분명,드래곤 구분,성급,직군,속성,속성,덱 컨셉,,스킬 구분,스킬 이름,설명,소모마나,진화시 획득,우선순위,비고,,,,,,,,,,,,,,,,
28,120223,1202233,불 번개고룡,번개고룡,5,공격,불,,공속덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
29,120223,1202235,불 번개고룡,번개고룡,5,공격,불,,공속덱_5,,5.드래그 강화,#N/A,#N/A,2,성룡,픽업테스트,,,,,,,,,,,,,,,,,
30,120225,1202251,어둠 번개고룡,번개고룡,5,공격,어둠,,공격력덱_5,,1.드래그 스킬,#N/A,#N/A,3,,2순위,,,,,,,,,,,,,,,,,
31,120225,1202252,어둠 번개고룡,번개고룡,5,공격,어둠,,공격력덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
32,120225,1202253,어둠 번개고룡,번개고룡,5,공격,어둠,,공격력덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,2순위,,,,,,,,,,,,,,,,,
33,120225,1202255,어둠 번개고룡,번개고룡,5,공격,어둠,,공격력덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,2순위,,,,,,,,,,,,,,,,,
34,120224,1202241,빛 번개고룡,번개고룡,5,공격,빛,,도트덱_5,,1.드래그 스킬,#N/A,#N/A,3,,1순위,,,,,,,,,,,,,,,,,
35,120224,1202242,빛 번개고룡,번개고룡,5,공격,빛,,도트덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
36,120224,1202243,빛 번개고룡,번개고룡,5,공격,빛,,도트덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
37,120224,1202245,빛 번개고룡,번개고룡,5,공격,빛,,도트덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,1순위,,,,,,,,,,,,,,,,,
38,120462,1204621,물 베루스,베루스,5,회복,물,,특수,,1.드래그 스킬,#N/A,#N/A,2,,2순위,,,,,,,,,,,,,,,,,
39,120462,1204622,물 베루스,베루스,5,회복,물,,특수,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
40,120462,1204623,물 베루스,베루스,5,회복,물,,특수,,3.패시브 2,#N/A,#N/A,,해츨링,픽업테스트,,,,,,,,,,,,,,,,,
41,120462,1204625,물 베루스,베루스,5,회복,물,,특수,,5.드래그 강화,#N/A,#N/A,2,성룡,2순위,,,,,,,,,,,,,,,,,
42,120462,1204626,물 베루스,베루스,5,회복,물,,특수,,6.리더 스킬,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
43,120463,1204631,불 베루스,베루스,5,회복,불,,특수,,1.드래그 스킬,#N/A,#N/A,2,,2순위,,,,,,,,,,,,,,,,,
44,120463,1204632,불 베루스,베루스,5,회복,불,,특수,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
45,120463,1204633,불 베루스,베루스,5,회복,불,,특수,,3.패시브 2,#N/A,#N/A,,해츨링,픽업테스트,,,,,,,,,,,,,,,,,
46,120463,1204635,불 베루스,베루스,5,회복,불,,특수,,5.드래그 강화,#N/A,#N/A,2,성룡,2순위,,,,,,,,,,,,,,,,,
47,120463,1204636,불 베루스,베루스,5,회복,불,,특수,,6.리더 스킬,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
48,120101,1201011,땅 빙하고룡,빙하고룡,5,방어,땅,,방어력덱_5,,1.드래그 스킬,#N/A,#N/A,2,,픽업테스트,,,,,,,,,,,,,,,,,
49,120101,1201012,땅 빙하고룡,빙하고룡,5,방어,땅,,방어력덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
50,120101,1201013,땅 빙하고룡,빙하고룡,5,방어,땅,,방어력덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
51,120101,1201015,땅 빙하고룡,빙하고룡,5,방어,땅,,방어력덱_5,,5.드래그 강화,#N/A,#N/A,2,성룡,픽업테스트,,,,,,,,,,,,,,,,,
52,120101,1201016,땅 빙하고룡,빙하고룡,5,방어,땅,,방어력덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
53,120102,1201021,물 빙하고룡,빙하고룡,5,방어,물,,도트덱_5,,1.드래그 스킬,#N/A,#N/A,3,,2순위,,,,,,,,,,,,,,,,,
54,120102,1201022,물 빙하고룡,빙하고룡,5,방어,물,,도트덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
55,120102,1201023,물 빙하고룡,빙하고룡,5,방어,물,,도트덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
56,120102,1201025,물 빙하고룡,빙하고룡,5,방어,물,,도트덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,2순위,,,,,,,,,,,,,,,,,
57,120102,1201026,물 빙하고룡,빙하고룡,5,방어,물,,도트덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
58,120104,1201041,빛 빙하고룡,빙하고룡,5,방어,빛,,공속덱_5,,1.드래그 스킬,#N/A,#N/A,3,,2순위,,,,,,,,,,,,,,,,,
59,120104,1201042,빛 빙하고룡,빙하고룡,5,방어,빛,,공속덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
60,120104,1201043,빛 빙하고룡,빙하고룡,5,방어,빛,,공속덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
61,120104,1201045,빛 빙하고룡,빙하고룡,5,방어,빛,,공속덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,2순위,,,,,,,,,,,,,,,,,
62,120104,1201046,빛 빙하고룡,빙하고룡,5,방어,빛,,공속덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
63,120105,1201051,어둠 빙하고룡,빙하고룡,5,방어,어둠,,공격력덱_5,,1.드래그 스킬,#N/A,#N/A,2,,픽업테스트,,,,,,,,,,,,,,,,,
64,120105,1201052,어둠 빙하고룡,빙하고룡,5,방어,어둠,,공격력덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
65,120105,1201053,어둠 빙하고룡,빙하고룡,5,방어,어둠,,공격력덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
66,120105,1201055,어둠 빙하고룡,빙하고룡,5,방어,어둠,,공격력덱_5,,5.드래그 강화,#N/A,#N/A,2,성룡,픽업테스트,,,,,,,,,,,,,,,,,
67,120105,1201056,어둠 빙하고룡,빙하고룡,5,방어,어둠,,공격력덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
68,120431,1204311,땅 스마트드래곤,스마트드래곤,5,회복,땅,,HP덱_4 / HP덱_5,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
69,120431,1204312,땅 스마트드래곤,스마트드래곤,5,회복,땅,,HP덱_4 / HP덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
70,120431,1204313,땅 스마트드래곤,스마트드래곤,5,회복,땅,,HP덱_4 / HP덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
71,120431,1204315,땅 스마트드래곤,스마트드래곤,5,회복,땅,,HP덱_4 / HP덱_5,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
72,120431,1204316,땅 스마트드래곤,스마트드래곤,5,회복,땅,,HP덱_4 / HP덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
73,120432,1204321,물 스마트드래곤,스마트드래곤,5,회복,물,,해제,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
74,120432,1204322,물 스마트드래곤,스마트드래곤,5,회복,물,,해제,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
75,120432,1204323,물 스마트드래곤,스마트드래곤,5,회복,물,,해제,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
76,120432,1204325,물 스마트드래곤,스마트드래곤,5,회복,물,,해제,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
77,120432,1204326,물 스마트드래곤,스마트드래곤,5,회복,물,,해제,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
78,120433,1204331,불 스마트드래곤,스마트드래곤,5,회복,불,,CC,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
79,120433,1204332,불 스마트드래곤,스마트드래곤,5,회복,불,,CC,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
80,120433,1204333,불 스마트드래곤,스마트드래곤,5,회복,불,,CC,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
81,120433,1204335,불 스마트드래곤,스마트드래곤,5,회복,불,,CC,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
82,120433,1204336,불 스마트드래곤,스마트드래곤,5,회복,불,,CC,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
83,120455,1204551,어둠 카르나,카르나,5,공격,어둠,,특수,,1.드래그 스킬,#N/A,#N/A,3,,3순위,,,,,,,,,,,,,,,,,
84,120455,1204552,어둠 카르나,카르나,5,공격,어둠,,특수,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
85,120455,1204553,어둠 카르나,카르나,5,공격,어둠,,특수,,3.패시브 2,#N/A,#N/A,,해츨링,1순위,,,,,,,,,,,,,,,,,
86,120455,1204555,어둠 카르나,카르나,5,공격,어둠,,특수,,5.드래그 강화,#N/A,#N/A,3,성룡,3순위,,,,,,,,,,,,,,,,,
87,120455,1204556,어둠 카르나,카르나,5,공격,어둠,,특수,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
88,120572,1205721,물 클라우드드래곤,클라우드드래곤,5,지원,물,클라우드드래곤 물,상태이상덱_5,,1.드래그 스킬,#N/A,#N/A,3,,3순위,,,,,,,,,,,,,,,,,
89,120572,1205722,물 클라우드드래곤,클라우드드래곤,5,지원,물,클라우드드래곤 물,상태이상덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
90,120572,1205723,물 클라우드드래곤,클라우드드래곤,5,지원,물,클라우드드래곤 물,상태이상덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,2순위,8/17 수정,,,,,,,,,,,,,,,,
91,120572,1205726,물 클라우드드래곤,클라우드드래곤,5,지원,물,클라우드드래곤 물,상태이상덱_5,,6.리더 스킬,#N/A,#N/A,,성룡,2순위,,,,,,,,,,,,,,,,,
92,120574,1205741,빛 클라우드드래곤,클라우드드래곤,5,지원,빛,클라우드드래곤 빛,크리티컬덱_5,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
93,120574,1205742,빛 클라우드드래곤,클라우드드래곤,5,지원,빛,클라우드드래곤 빛,크리티컬덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,8/17 수정,,,,,,,,,,,,,,,,
94,120574,1205743,빛 클라우드드래곤,클라우드드래곤,5,지원,빛,클라우드드래곤 빛,크리티컬덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
95,120574,1205746,빛 클라우드드래곤,클라우드드래곤,5,지원,빛,클라우드드래곤 빛,크리티컬덱_5,,6.리더 스킬,#N/A,#N/A,,성룡,3순위,,,,,,,,,,,,,,,,,
96,120011,1200111,땅 파워드래곤,파워드래곤,5,방어,땅,,방어력덱_5,,1.드래그 스킬,#N/A,#N/A,2,,1순위,,,,,,,,,,,,,,,,,
97,120011,1200112,땅 파워드래곤,파워드래곤,5,방어,땅,,방어력덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
98,120011,1200113,땅 파워드래곤,파워드래곤,5,방어,땅,,방어력덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
99,120011,1200114,땅 파워드래곤,파워드래곤,5,방어,땅,,방어력덱_5,,4.스탯 강화,#N/A,#N/A,,성룡,3순위,,,,,,,,,,,,,,,,,
100,120011,1200116,땅 파워드래곤,파워드래곤,5,방어,땅,,방어력덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
101,120012,1200121,물 파워드래곤,파워드래곤,5,방어,물,,상태이상덱_5,,1.드래그 스킬,#N/A,#N/A,2,,1순위,,,,,,,,,,,,,,,,,
102,120012,1200122,물 파워드래곤,파워드래곤,5,방어,물,,상태이상덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
103,120012,1200123,물 파워드래곤,파워드래곤,5,방어,물,,상태이상덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
104,120012,1200124,물 파워드래곤,파워드래곤,5,방어,물,,상태이상덱_5,,4.스탯 강화,#N/A,#N/A,,성룡,3순위,,,,,,,,,,,,,,,,,
105,120012,1200126,물 파워드래곤,파워드래곤,5,방어,물,,상태이상덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
106,120014,1200141,빛 파워드래곤,파워드래곤,5,방어,빛,,HP덱_5,,1.드래그 스킬,#N/A,#N/A,2,,1순위,,,,,,,,,,,,,,,,,
107,120014,1200142,빛 파워드래곤,파워드래곤,5,방어,빛,,HP덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
108,120014,1200143,빛 파워드래곤,파워드래곤,5,방어,빛,,HP덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
109,120014,1200144,빛 파워드래곤,파워드래곤,5,방어,빛,,HP덱_5,,4.스탯 강화,#N/A,#N/A,,성룡,3순위,,,,,,,,,,,,,,,,,
110,120014,1200146,빛 파워드래곤,파워드래곤,5,방어,빛,,HP덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
111,120015,1200151,어둠 파워드래곤,파워드래곤,5,방어,어둠,,공격력덱_5,,1.드래그 스킬,#N/A,#N/A,2,,픽업테스트,,,,,,,,,,,,,,,,,
112,120015,1200152,어둠 파워드래곤,파워드래곤,5,방어,어둠,,공격력덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
113,120015,1200153,어둠 파워드래곤,파워드래곤,5,방어,어둠,,공격력덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
114,120015,1200154,어둠 파워드래곤,파워드래곤,5,방어,어둠,,공격력덱_5,,4.스탯 강화,#N/A,#N/A,,성룡,3순위,,,,,,,,,,,,,,,,,
115,120015,1200156,어둠 파워드래곤,파워드래곤,5,방어,어둠,,공격력덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
116,120405,1204051,어둠 흑룡,흑룡,5,공격,어둠,,방어력무시덱_5,,1.드래그 스킬,#N/A,#N/A,3,,3순위,,,,,,,,,,,,,,,,,
117,120405,1204052,어둠 흑룡,흑룡,5,공격,어둠,,방어력무시덱_5,,2.패시브 1,#N/A,#N/A,,,1순위,,,,,,,,,,,,,,,,,
118,120405,1204053,어둠 흑룡,흑룡,5,공격,어둠,,방어력무시덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
119,120405,1204055,어둠 흑룡,흑룡,5,공격,어둠,,방어력무시덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,1순위,,,,,,,,,,,,,,,,,
120,120405,1204056,어둠 흑룡,흑룡,5,공격,어둠,,방어력무시덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
121,120212,1202121,물 가루다,가루다,4,방어,물,,크리티컬덱_4,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
122,120212,1202122,물 가루다,가루다,4,방어,물,,크리티컬덱_4,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
123,120212,1202123,물 가루다,가루다,4,방어,물,,크리티컬덱_4,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
124,120212,1202125,물 가루다,가루다,4,방어,물,,크리티컬덱_4,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
125,120212,1202126,물 가루다,가루다,4,방어,물,,크리티컬덱_4,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
126,120213,1202131,불 가루다,가루다,4,방어,불,,도트덱_4,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
127,120213,1202132,불 가루다,가루다,4,방어,불,,도트덱_4,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
128,120213,1202133,불 가루다,가루다,4,방어,불,,도트덱_4,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
129,120213,1202135,불 가루다,가루다,4,방어,불,,도트덱_4,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
130,120213,1202136,불 가루다,가루다,4,방어,불,,도트덱_4,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
131,120214,1202141,빛 가루다,가루다,4,방어,빛,,특수,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
132,120214,1202142,빛 가루다,가루다,4,방어,빛,,특수,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
133,120214,1202143,빛 가루다,가루다,4,방어,빛,,특수,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
134,120214,1202145,빛 가루다,가루다,4,방어,빛,,특수,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
135,120214,1202146,빛 가루다,가루다,4,방어,빛,,특수,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
136,120215,1202151,어둠 가루다,가루다,4,방어,어둠,,특수,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
137,120215,1202152,어둠 가루다,가루다,4,방어,어둠,,특수,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
138,120215,1202153,어둠 가루다,가루다,4,방어,어둠,,특수,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
139,120215,1202155,어둠 가루다,가루다,4,방어,어둠,,특수,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
140,120215,1202156,어둠 가루다,가루다,4,방어,어둠,,특수,,6.리더 스킬,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
141,120591,1205911,땅 고디움,고디움,4,지원,땅,고디움 땅,특수,,1.드래그 스킬,#N/A,#N/A,2,,2순위,8/17 수정,,,,,,,,,,,,,,,,
142,120591,1205912,땅 고디움,고디움,4,지원,땅,고디움 땅,특수,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
143,120591,1205913,땅 고디움,고디움,4,지원,땅,고디움 땅,특수,,3.패시브 2,#N/A,#N/A,,해츨링,2순위,,,,,,,,,,,,,,,,,
144,120591,1205915,땅 고디움,고디움,4,지원,땅,고디움 땅,특수,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
145,120591,1205916,땅 고디움,고디움,4,지원,땅,고디움 땅,특수,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
146,120593,1205931,불 고디움,고디움,4,지원,불,고디움 불,CC,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
147,120593,1205932,불 고디움,고디움,4,지원,불,고디움 불,CC,,2.패시브 1,#N/A,#N/A,,,2순위,8/17 수정,,,,,,,,,,,,,,,,
148,120593,1205933,불 고디움,고디움,4,지원,불,고디움 불,CC,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
149,120593,1205935,불 고디움,고디움,4,지원,불,고디움 불,CC,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
150,120593,1205936,불 고디움,고디움,4,지원,불,고디움 불,CC,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
151,120594,1205941,빛 고디움,고디움,4,지원,빛,고디움 빛,특수,,1.드래그 스킬,#N/A,#N/A,2,,2순위,8/17 수정,,,,,,,,,,,,,,,,
152,120594,1205942,빛 고디움,고디움,4,지원,빛,고디움 빛,특수,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
153,120594,1205943,빛 고디움,고디움,4,지원,빛,고디움 빛,특수,,3.패시브 2,#N/A,#N/A,,해츨링,2순위,,,,,,,,,,,,,,,,,
154,120594,1205945,빛 고디움,고디움,4,지원,빛,고디움 빛,특수,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
155,120594,1205946,빛 고디움,고디움,4,지원,빛,고디움 빛,특수,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
156,120595,1205951,어둠 고디움,고디움,4,지원,어둠,고디움 어둠,방어력무시덱_5,,1.드래그 스킬,#N/A,#N/A,2,,2순위,8/17 수정,,,,,,,,,,,,,,,,
157,120595,1205952,어둠 고디움,고디움,4,지원,어둠,고디움 어둠,방어력무시덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
158,120595,1205953,어둠 고디움,고디움,4,지원,어둠,고디움 어둠,방어력무시덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,2순위,,,,,,,,,,,,,,,,,
159,120595,1205955,어둠 고디움,고디움,4,지원,어둠,고디움 어둠,방어력무시덱_5,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
160,120595,1205956,어둠 고디움,고디움,4,지원,어둠,고디움 어둠,방어력무시덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
161,120581,1205811,땅 블랙찡또,블랙찡또,4,공격,땅,,크리티컬덱_4,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
