vid,key,grade,lv0,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14,lv15,r_gap
hp_multi_2,hp_multi,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
hp_multi_3,hp_multi,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
hp_multi_4,hp_multi,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
hp_multi_5,hp_multi,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
hp_multi_6,hp_multi,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
hp_multi_7,hp_multi,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
cri_chance_add_1,cri_chance_add,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
cri_chance_add_2,cri_chance_add,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
cri_chance_add_3,cri_chance_add,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
cri_chance_add_4,cri_chance_add,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
cri_chance_add_5,cri_chance_add,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
cri_chance_add_6,cri_chance_add,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
cri_chance_add_7,cri_chance_add,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
cri_dmg_add_1,cri_dmg_add,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
cri_dmg_add_2,cri_dmg_add,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
cri_dmg_add_3,cri_dmg_add,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
cri_dmg_add_4,cri_dmg_add,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
cri_dmg_add_5,cri_dmg_add,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
cri_dmg_add_6,cri_dmg_add,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
cri_dmg_add_7,cri_dmg_add,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
accuracy_add_1,accuracy_add,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
accuracy_add_2,accuracy_add,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
accuracy_add_3,accuracy_add,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
accuracy_add_4,accuracy_add,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
accuracy_add_5,accuracy_add,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
accuracy_add_6,accuracy_add,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
accuracy_add_7,accuracy_add,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
resistance_add_1,resistance_add,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
resistance_add_2,resistance_add,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
resistance_add_3,resistance_add,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
resistance_add_4,resistance_add,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
resistance_add_5,resistance_add,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
resistance_add_6,resistance_add,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
resistance_add_7,resistance_add,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
