lid,season_id,r_season_id,type,r_value_2,rate,key,option_level,r_desc,key_value
10120006,101,아모르의 용기,2,6,1,def_multi,6,def +d% (방어력 d% 추가),6
10120007,101,아모르의 용기,2,7,0.5,def_multi,7,def +d% (방어력 d% 추가),7
10120008,101,아모르의 용기,2,8,0.2,def_multi,8,def +d% (방어력 d% 추가),8
10120009,101,아모르의 용기,2,9,0.1,def_multi,9,def +d% (방어력 d% 추가),9
10120010,101,아모르의 용기,2,10,0.01,def_multi,10,def +d% (방어력 d% 추가),10
10120011,101,아모르의 용기,2,11,21.19,hp_multi,1,hp +d% (체력 d% 추가),1
10120012,101,아모르의 용기,2,12,13,hp_multi,2,hp +d% (체력 d% 추가),2
10120013,101,아모르의 용기,2,13,8,hp_multi,3,hp +d% (체력 d% 추가),3
10120014,101,아모르의 용기,2,14,4,hp_multi,4,hp +d% (체력 d% 추가),4
10120015,101,아모르의 용기,2,15,2,hp_multi,5,hp +d% (체력 d% 추가),5
10120016,101,아모르의 용기,2,16,1,hp_multi,6,hp +d% (체력 d% 추가),6
10120017,101,아모르의 용기,2,17,0.5,hp_multi,7,hp +d% (체력 d% 추가),7
10120018,101,아모르의 용기,2,18,0.2,hp_multi,8,hp +d% (체력 d% 추가),8
10120019,101,아모르의 용기,2,19,0.1,hp_multi,9,hp +d% (체력 d% 추가),9
10120020,101,아모르의 용기,2,20,0.01,hp_multi,10,hp +d% (체력 d% 추가),10
10130001,101,아모르의 용기,3,1,21.19,cri_chance_add,1,cri_chance +d% (치명 확률 d% 추가),1
10130002,101,아모르의 용기,3,2,13,cri_chance_add,2,cri_chance +d% (치명 확률 d% 추가),2
10130003,101,아모르의 용기,3,3,8,cri_chance_add,3,cri_chance +d% (치명 확률 d% 추가),3
10130004,101,아모르의 용기,3,4,4,cri_chance_add,4,cri_chance +d% (치명 확률 d% 추가),4
10130005,101,아모르의 용기,3,5,2,cri_chance_add,5,cri_chance +d% (치명 확률 d% 추가),5
10130006,101,아모르의 용기,3,6,1,cri_chance_add,6,cri_chance +d% (치명 확률 d% 추가),6
10130007,101,아모르의 용기,3,7,0.5,cri_chance_add,7,cri_chance +d% (치명 확률 d% 추가),7
10130008,101,아모르의 용기,3,8,0.2,cri_chance_add,8,cri_chance +d% (치명 확률 d% 추가),8
10130009,101,아모르의 용기,3,9,0.1,cri_chance_add,9,cri_chance +d% (치명 확률 d% 추가),9
10130010,101,아모르의 용기,3,10,0.01,cri_chance_add,10,cri_chance +d% (치명 확률 d% 추가),10
10130011,101,아모르의 용기,3,11,21.19,cri_avoid_add,1,cri_avoid +d% (치명 회피 d%추가),1
10130012,101,아모르의 용기,3,12,13,cri_avoid_add,2,cri_avoid +d% (치명 회피 d%추가),2
10130013,101,아모르의 용기,3,13,8,cri_avoid_add,3,cri_avoid +d% (치명 회피 d%추가),3
10130014,101,아모르의 용기,3,14,4,cri_avoid_add,4,cri_avoid +d% (치명 회피 d%추가),4
10130015,101,아모르의 용기,3,15,2,cri_avoid_add,5,cri_avoid +d% (치명 회피 d%추가),5
10130016,101,아모르의 용기,3,16,1,cri_avoid_add,6,cri_avoid +d% (치명 회피 d%추가),6
10130017,101,아모르의 용기,3,17,0.5,cri_avoid_add,7,cri_avoid +d% (치명 회피 d%추가),7
10130018,101,아모르의 용기,3,18,0.2,cri_avoid_add,8,cri_avoid +d% (치명 회피 d%추가),8
10130019,101,아모르의 용기,3,19,0.1,cri_avoid_add,9,cri_avoid +d% (치명 회피 d%추가),9
10130020,101,아모르의 용기,3,20,0.01,cri_avoid_add,10,cri_avoid +d% (치명 회피 d%추가),10
10140001,101,아모르의 용기,4,1,21.19,accuracy_add,1,accuracy +d% (효과 적중 d% 추가),1
10140002,101,아모르의 용기,4,2,13,accuracy_add,2,accuracy +d% (효과 적중 d% 추가),2
10140003,101,아모르의 용기,4,3,8,accuracy_add,3,accuracy +d% (효과 적중 d% 추가),3
10140004,101,아모르의 용기,4,4,4,accuracy_add,4,accuracy +d% (효과 적중 d% 추가),4
10140005,101,아모르의 용기,4,5,2,accuracy_add,5,accuracy +d% (효과 적중 d% 추가),5
10140006,101,아모르의 용기,4,6,1,accuracy_add,6,accuracy +d% (효과 적중 d% 추가),6
10140007,101,아모르의 용기,4,7,0.5,accuracy_add,7,accuracy +d% (효과 적중 d% 추가),7
10140008,101,아모르의 용기,4,8,0.2,accuracy_add,8,accuracy +d% (효과 적중 d% 추가),8
10140009,101,아모르의 용기,4,9,0.1,accuracy_add,9,accuracy +d% (효과 적중 d% 추가),9
10140010,101,아모르의 용기,4,10,0.01,accuracy_add,10,accuracy +d% (효과 적중 d% 추가),10
10140011,101,아모르의 용기,4,11,21.19,resistance_add,1,resistance +d% (효과 저항 d% 추가),1
10140012,101,아모르의 용기,4,12,13,resistance_add,2,resistance +d% (효과 저항 d% 추가),2
10140013,101,아모르의 용기,4,13,8,resistance_add,3,resistance +d% (효과 저항 d% 추가),3
10140014,101,아모르의 용기,4,14,4,resistance_add,4,resistance +d% (효과 저항 d% 추가),4
10140015,101,아모르의 용기,4,15,2,resistance_add,5,resistance +d% (효과 저항 d% 추가),5
10140016,101,아모르의 용기,4,16,1,resistance_add,6,resistance +d% (효과 저항 d% 추가),6
10140017,101,아모르의 용기,4,17,0.5,resistance_add,7,resistance +d% (효과 저항 d% 추가),7
10140018,101,아모르의 용기,4,18,0.2,resistance_add,8,resistance +d% (효과 저항 d% 추가),8
10140019,101,아모르의 용기,4,19,0.1,resistance_add,9,resistance +d% (효과 저항 d% 추가),9
10140020,101,아모르의 용기,4,20,0.01,resistance_add,10,resistance +d% (효과 저항 d% 추가),10
10150001,101,아모르의 용기,5,1,21.19,hit_rate_add,1,hit_rate +d% (명중률 d% 추가),1
10150002,101,아모르의 용기,5,2,13,hit_rate_add,2,hit_rate +d% (명중률 d% 추가),2
10150003,101,아모르의 용기,5,3,8,hit_rate_add,3,hit_rate +d% (명중률 d% 추가),3
10150004,101,아모르의 용기,5,4,4,hit_rate_add,4,hit_rate +d% (명중률 d% 추가),4
10150005,101,아모르의 용기,5,5,2,hit_rate_add,5,hit_rate +d% (명중률 d% 추가),5
10150006,101,아모르의 용기,5,6,1,hit_rate_add,6,hit_rate +d% (명중률 d% 추가),6
10150007,101,아모르의 용기,5,7,0.5,hit_rate_add,7,hit_rate +d% (명중률 d% 추가),7
10150008,101,아모르의 용기,5,8,0.2,hit_rate_add,8,hit_rate +d% (명중률 d% 추가),8
10150009,101,아모르의 용기,5,9,0.1,hit_rate_add,9,hit_rate +d% (명중률 d% 추가),9
10150010,101,아모르의 용기,5,10,0.01,hit_rate_add,10,hit_rate +d% (명중률 d% 추가),10
10150011,101,아모르의 용기,5,11,21.19,avoid_add,1,avoid +d% (회피율 d% 추가),1
10150012,101,아모르의 용기,5,12,13,avoid_add,2,avoid +d% (회피율 d% 추가),2
10150013,101,아모르의 용기,5,13,8,avoid_add,3,avoid +d% (회피율 d% 추가),3
10150014,101,아모르의 용기,5,14,4,avoid_add,4,avoid +d% (회피율 d% 추가),4
10150015,101,아모르의 용기,5,15,2,avoid_add,5,avoid +d% (회피율 d% 추가),5
10150016,101,아모르의 용기,5,16,1,avoid_add,6,avoid +d% (회피율 d% 추가),6
10150017,101,아모르의 용기,5,17,0.5,avoid_add,7,avoid +d% (회피율 d% 추가),7
10150018,101,아모르의 용기,5,18,0.2,avoid_add,8,avoid +d% (회피율 d% 추가),8
10150019,101,아모르의 용기,5,19,0.1,avoid_add,9,avoid +d% (회피율 d% 추가),9
10150020,101,아모르의 용기,5,20,0.01,avoid_add,10,avoid +d% (회피율 d% 추가),10
10210001,102,아모르의 보호,1,1,13,atk_multi,1,atk +d% (공격력 d% 추가),1
10210002,102,아모르의 보호,1,2,11,atk_multi,2,atk +d% (공격력 d% 추가),2
10210003,102,아모르의 보호,1,3,10,atk_multi,3,atk +d% (공격력 d% 추가),3
10210004,102,아모르의 보호,1,4,6.3475,atk_multi,4,atk +d% (공격력 d% 추가),4
10210005,102,아모르의 보호,1,5,4,atk_multi,5,atk +d% (공격력 d% 추가),5
10210006,102,아모르의 보호,1,6,2.6,atk_multi,6,atk +d% (공격력 d% 추가),6
10210007,102,아모르의 보호,1,7,1.5,atk_multi,7,atk +d% (공격력 d% 추가),7
10210008,102,아모르의 보호,1,8,0.8,atk_multi,8,atk +d% (공격력 d% 추가),8
10210009,102,아모르의 보호,1,9,0.3,atk_multi,9,atk +d% (공격력 d% 추가),9
10210010,102,아모르의 보호,1,10,0.2,atk_multi,10,atk +d% (공격력 d% 추가),10
10210011,102,아모르의 보호,1,11,0.1,atk_multi,11,atk +d% (공격력 d% 추가),11
10210012,102,아모르의 보호,1,12,0.05,atk_multi,12,atk +d% (공격력 d% 추가),12
10210013,102,아모르의 보호,1,13,0.03,atk_multi,13,atk +d% (공격력 d% 추가),13
10210014,102,아모르의 보호,1,14,0.02,atk_multi,14,atk +d% (공격력 d% 추가),14
10210015,102,아모르의 보호,1,15,0.01,atk_multi,15,atk +d% (공격력 d% 추가),15
10210016,102,아모르의 보호,1,16,0.0095,atk_multi,16,atk +d% (공격력 d% 추가),16
10210017,102,아모르의 보호,1,17,0.009,atk_multi,17,atk +d% (공격력 d% 추가),17
10210018,102,아모르의 보호,1,18,0.0085,atk_multi,18,atk +d% (공격력 d% 추가),18
10210019,102,아모르의 보호,1,19,0.008,atk_multi,19,atk +d% (공격력 d% 추가),19
10210020,102,아모르의 보호,1,20,0.0075,atk_multi,20,atk +d% (공격력 d% 추가),20
10210021,102,아모르의 보호,1,21,13,cri_dmg_add,1,cri_dmg +d% (치명 피해 d% 추가),1
10210022,102,아모르의 보호,1,22,11,cri_dmg_add,2,cri_dmg +d% (치명 피해 d% 추가),2
10210023,102,아모르의 보호,1,23,10,cri_dmg_add,3,cri_dmg +d% (치명 피해 d% 추가),3
10210024,102,아모르의 보호,1,24,6.3475,cri_dmg_add,4,cri_dmg +d% (치명 피해 d% 추가),4
10210025,102,아모르의 보호,1,25,4,cri_dmg_add,5,cri_dmg +d% (치명 피해 d% 추가),5
10210026,102,아모르의 보호,1,26,2.6,cri_dmg_add,6,cri_dmg +d% (치명 피해 d% 추가),6
10210027,102,아모르의 보호,1,27,1.5,cri_dmg_add,7,cri_dmg +d% (치명 피해 d% 추가),7
10210028,102,아모르의 보호,1,28,0.8,cri_dmg_add,8,cri_dmg +d% (치명 피해 d% 추가),8
10210029,102,아모르의 보호,1,29,0.3,cri_dmg_add,9,cri_dmg +d% (치명 피해 d% 추가),9
10210030,102,아모르의 보호,1,30,0.2,cri_dmg_add,10,cri_dmg +d% (치명 피해 d% 추가),10
10210031,102,아모르의 보호,1,31,0.1,cri_dmg_add,11,cri_dmg +d% (치명 피해 d% 추가),11
10210032,102,아모르의 보호,1,32,0.05,cri_dmg_add,12,cri_dmg +d% (치명 피해 d% 추가),12
10210033,102,아모르의 보호,1,33,0.03,cri_dmg_add,13,cri_dmg +d% (치명 피해 d% 추가),13
10210034,102,아모르의 보호,1,34,0.02,cri_dmg_add,14,cri_dmg +d% (치명 피해 d% 추가),14
10210035,102,아모르의 보호,1,35,0.01,cri_dmg_add,15,cri_dmg +d% (치명 피해 d% 추가),15
10210036,102,아모르의 보호,1,36,0.0095,cri_dmg_add,16,cri_dmg +d% (치명 피해 d% 추가),16
10210037,102,아모르의 보호,1,37,0.009,cri_dmg_add,17,cri_dmg +d% (치명 피해 d% 추가),17
10210038,102,아모르의 보호,1,38,0.0085,cri_dmg_add,18,cri_dmg +d% (치명 피해 d% 추가),18
10210039,102,아모르의 보호,1,39,0.008,cri_dmg_add,19,cri_dmg +d% (치명 피해 d% 추가),19
10210040,102,아모르의 보호,1,40,0.0075,cri_dmg_add,20,cri_dmg +d% (치명 피해 d% 추가),20
10220001,102,아모르의 보호,2,1,13,def_multi,1,def +d% (방어력 d% 추가),1
10220002,102,아모르의 보호,2,2,11,def_multi,2,def +d% (방어력 d% 추가),2
10220003,102,아모르의 보호,2,3,10,def_multi,3,def +d% (방어력 d% 추가),3
10220004,102,아모르의 보호,2,4,6.3,def_multi,4,def +d% (방어력 d% 추가),4
10220005,102,아모르의 보호,2,5,4,def_multi,5,def +d% (방어력 d% 추가),5
10220006,102,아모르의 보호,2,6,2.6,def_multi,6,def +d% (방어력 d% 추가),6
10220007,102,아모르의 보호,2,7,1.5,def_multi,7,def +d% (방어력 d% 추가),7
10220008,102,아모르의 보호,2,8,0.8,def_multi,8,def +d% (방어력 d% 추가),8
10220009,102,아모르의 보호,2,9,0.3,def_multi,9,def +d% (방어력 d% 추가),9
10220010,102,아모르의 보호,2,10,0.2,def_multi,10,def +d% (방어력 d% 추가),10
10220011,102,아모르의 보호,2,11,0.1,def_multi,11,def +d% (방어력 d% 추가),11
10220012,102,아모르의 보호,2,12,0.05,def_multi,12,def +d% (방어력 d% 추가),12
10220013,102,아모르의 보호,2,13,0.03,def_multi,13,def +d% (방어력 d% 추가),13
10220014,102,아모르의 보호,2,14,0.02,def_multi,14,def +d% (방어력 d% 추가),14
10220015,102,아모르의 보호,2,15,0.01,def_multi,15,def +d% (방어력 d% 추가),15
10220016,102,아모르의 보호,2,16,0.0095,def_multi,16,def +d% (방어력 d% 추가),16
10220017,102,아모르의 보호,2,17,0.009,def_multi,17,def +d% (방어력 d% 추가),17
10220018,102,아모르의 보호,2,18,0.0085,def_multi,18,def +d% (방어력 d% 추가),18
10220019,102,아모르의 보호,2,19,0.008,def_multi,19,def +d% (방어력 d% 추가),19
10220020,102,아모르의 보호,2,20,0.0075,def_multi,20,def +d% (방어력 d% 추가),20
10220021,102,아모르의 보호,2,21,0.007,def_multi,21,def +d% (방어력 d% 추가),21
10220022,102,아모르의 보호,2,22,0.0065,def_multi,22,def +d% (방어력 d% 추가),22
10220023,102,아모르의 보호,2,23,0.006,def_multi,23,def +d% (방어력 d% 추가),23
10220024,102,아모르의 보호,2,24,0.0055,def_multi,24,def +d% (방어력 d% 추가),24
10220025,102,아모르의 보호,2,25,0.005,def_multi,25,def +d% (방어력 d% 추가),25
10220026,102,아모르의 보호,2,26,0.0045,def_multi,26,def +d% (방어력 d% 추가),26
10220027,102,아모르의 보호,2,27,0.004,def_multi,27,def +d% (방어력 d% 추가),27
10220028,102,아모르의 보호,2,28,0.0035,def_multi,28,def +d% (방어력 d% 추가),28
10220029,102,아모르의 보호,2,29,0.003,def_multi,29,def +d% (방어력 d% 추가),29
10220030,102,아모르의 보호,2,30,0.0025,def_multi,30,def +d% (방어력 d% 추가),30
10220031,102,아모르의 보호,2,31,13,hp_multi,1,hp +d% (체력 d% 추가),1
10220032,102,아모르의 보호,2,32,11,hp_multi,2,hp +d% (체력 d% 추가),2
10220033,102,아모르의 보호,2,33,10,hp_multi,3,hp +d% (체력 d% 추가),3
10220034,102,아모르의 보호,2,34,6.3475,hp_multi,4,hp +d% (체력 d% 추가),4
10220035,102,아모르의 보호,2,35,4,hp_multi,5,hp +d% (체력 d% 추가),5
10220036,102,아모르의 보호,2,36,2.6,hp_multi,6,hp +d% (체력 d% 추가),6
10220037,102,아모르의 보호,2,37,1.5,hp_multi,7,hp +d% (체력 d% 추가),7
10220038,102,아모르의 보호,2,38,0.8,hp_multi,8,hp +d% (체력 d% 추가),8
10220039,102,아모르의 보호,2,39,0.3,hp_multi,9,hp +d% (체력 d% 추가),9
10220040,102,아모르의 보호,2,40,0.2,hp_multi,10,hp +d% (체력 d% 추가),10
10220041,102,아모르의 보호,2,41,0.1,hp_multi,11,hp +d% (체력 d% 추가),11
10220042,102,아모르의 보호,2,42,0.05,hp_multi,12,hp +d% (체력 d% 추가),12
10220043,102,아모르의 보호,2,43,0.03,hp_multi,13,hp +d% (체력 d% 추가),13
10220044,102,아모르의 보호,2,44,0.02,hp_multi,14,hp +d% (체력 d% 추가),14
10220045,102,아모르의 보호,2,45,0.01,hp_multi,15,hp +d% (체력 d% 추가),15
10220046,102,아모르의 보호,2,46,0.0095,hp_multi,16,hp +d% (체력 d% 추가),16
10220047,102,아모르의 보호,2,47,0.009,hp_multi,17,hp +d% (체력 d% 추가),17
10220048,102,아모르의 보호,2,48,0.0085,hp_multi,18,hp +d% (체력 d% 추가),18
10220049,102,아모르의 보호,2,49,0.008,hp_multi,19,hp +d% (체력 d% 추가),19
10220050,102,아모르의 보호,2,50,0.0075,hp_multi,20,hp +d% (체력 d% 추가),20
10230001,102,아모르의 보호,3,1,13,cri_chance_add,1,cri_chance +d% (치명 확률 d% 추가),1
10230002,102,아모르의 보호,3,2,11,cri_chance_add,2,cri_chance +d% (치명 확률 d% 추가),2
10230003,102,아모르의 보호,3,3,10,cri_chance_add,3,cri_chance +d% (치명 확률 d% 추가),3
10230004,102,아모르의 보호,3,4,6.3475,cri_chance_add,4,cri_chance +d% (치명 확률 d% 추가),4
10230005,102,아모르의 보호,3,5,4,cri_chance_add,5,cri_chance +d% (치명 확률 d% 추가),5
10230006,102,아모르의 보호,3,6,2.6,cri_chance_add,6,cri_chance +d% (치명 확률 d% 추가),6
10230007,102,아모르의 보호,3,7,1.5,cri_chance_add,7,cri_chance +d% (치명 확률 d% 추가),7
10230008,102,아모르의 보호,3,8,0.8,cri_chance_add,8,cri_chance +d% (치명 확률 d% 추가),8
10230009,102,아모르의 보호,3,9,0.3,cri_chance_add,9,cri_chance +d% (치명 확률 d% 추가),9
10230010,102,아모르의 보호,3,10,0.2,cri_chance_add,10,cri_chance +d% (치명 확률 d% 추가),10
10230011,102,아모르의 보호,3,11,0.1,cri_chance_add,11,cri_chance +d% (치명 확률 d% 추가),11
10230012,102,아모르의 보호,3,12,0.05,cri_chance_add,12,cri_chance +d% (치명 확률 d% 추가),12
10230013,102,아모르의 보호,3,13,0.03,cri_chance_add,13,cri_chance +d% (치명 확률 d% 추가),13
10230014,102,아모르의 보호,3,14,0.02,cri_chance_add,14,cri_chance +d% (치명 확률 d% 추가),14
10230015,102,아모르의 보호,3,15,0.01,cri_chance_add,15,cri_chance +d% (치명 확률 d% 추가),15
10230016,102,아모르의 보호,3,16,0.0095,cri_chance_add,16,cri_chance +d% (치명 확률 d% 추가),16
10230017,102,아모르의 보호,3,17,0.009,cri_chance_add,17,cri_chance +d% (치명 확률 d% 추가),17
10230018,102,아모르의 보호,3,18,0.0085,cri_chance_add,18,cri_chance +d% (치명 확률 d% 추가),18
10230019,102,아모르의 보호,3,19,0.008,cri_chance_add,19,cri_chance +d% (치명 확률 d% 추가),19
10230020,102,아모르의 보호,3,20,0.0075,cri_chance_add,20,cri_chance +d% (치명 확률 d% 추가),20
10230021,102,아모르의 보호,3,21,13,cri_avoid_add,1,cri_avoid +d% (치명 회피 d%추가),1
10230022,102,아모르의 보호,3,22,11,cri_avoid_add,2,cri_avoid +d% (치명 회피 d%추가),2
10230023,102,아모르의 보호,3,23,10,cri_avoid_add,3,cri_avoid +d% (치명 회피 d%추가),3
10230024,102,아모르의 보호,3,24,6.3475,cri_avoid_add,4,cri_avoid +d% (치명 회피 d%추가),4
10230025,102,아모르의 보호,3,25,4,cri_avoid_add,5,cri_avoid +d% (치명 회피 d%추가),5
10230026,102,아모르의 보호,3,26,2.6,cri_avoid_add,6,cri_avoid +d% (치명 회피 d%추가),6
10230027,102,아모르의 보호,3,27,1.5,cri_avoid_add,7,cri_avoid +d% (치명 회피 d%추가),7
10230028,102,아모르의 보호,3,28,0.8,cri_avoid_add,8,cri_avoid +d% (치명 회피 d%추가),8
10230029,102,아모르의 보호,3,29,0.3,cri_avoid_add,9,cri_avoid +d% (치명 회피 d%추가),9
10230030,102,아모르의 보호,3,30,0.2,cri_avoid_add,10,cri_avoid +d% (치명 회피 d%추가),10
10230031,102,아모르의 보호,3,31,0.1,cri_avoid_add,11,cri_avoid +d% (치명 회피 d%추가),11
10230032,102,아모르의 보호,3,32,0.05,cri_avoid_add,12,cri_avoid +d% (치명 회피 d%추가),12
10230033,102,아모르의 보호,3,33,0.03,cri_avoid_add,13,cri_avoid +d% (치명 회피 d%추가),13
10230034,102,아모르의 보호,3,34,0.02,cri_avoid_add,14,cri_avoid +d% (치명 회피 d%추가),14
10230035,102,아모르의 보호,3,35,0.01,cri_avoid_add,15,cri_avoid +d% (치명 회피 d%추가),15
10230036,102,아모르의 보호,3,36,0.0095,cri_avoid_add,16,cri_avoid +d% (치명 회피 d%추가),16
10230037,102,아모르의 보호,3,37,0.009,cri_avoid_add,17,cri_avoid +d% (치명 회피 d%추가),17
10230038,102,아모르의 보호,3,38,0.0085,cri_avoid_add,18,cri_avoid +d% (치명 회피 d%추가),18
10230039,102,아모르의 보호,3,39,0.008,cri_avoid_add,19,cri_avoid +d% (치명 회피 d%추가),19
10230040,102,아모르의 보호,3,40,0.0075,cri_avoid_add,20,cri_avoid +d% (치명 회피 d%추가),20
10240001,102,아모르의 보호,4,1,13,accuracy_add,1,accuracy +d% (효과 적중 d% 추가),1
10240002,102,아모르의 보호,4,2,11,accuracy_add,2,accuracy +d% (효과 적중 d% 추가),2
10240003,102,아모르의 보호,4,3,10,accuracy_add,3,accuracy +d% (효과 적중 d% 추가),3
10240004,102,아모르의 보호,4,4,6.3475,accuracy_add,4,accuracy +d% (효과 적중 d% 추가),4
10240005,102,아모르의 보호,4,5,4,accuracy_add,5,accuracy +d% (효과 적중 d% 추가),5
10240006,102,아모르의 보호,4,6,2.6,accuracy_add,6,accuracy +d% (효과 적중 d% 추가),6
10240007,102,아모르의 보호,4,7,1.5,accuracy_add,7,accuracy +d% (효과 적중 d% 추가),7
10240008,102,아모르의 보호,4,8,0.8,accuracy_add,8,accuracy +d% (효과 적중 d% 추가),8
10240009,102,아모르의 보호,4,9,0.3,accuracy_add,9,accuracy +d% (효과 적중 d% 추가),9
10240010,102,아모르의 보호,4,10,0.2,accuracy_add,10,accuracy +d% (효과 적중 d% 추가),10
10240011,102,아모르의 보호,4,11,0.1,accuracy_add,11,accuracy +d% (효과 적중 d% 추가),11
10240012,102,아모르의 보호,4,12,0.05,accuracy_add,12,accuracy +d% (효과 적중 d% 추가),12
10240013,102,아모르의 보호,4,13,0.03,accuracy_add,13,accuracy +d% (효과 적중 d% 추가),13
10240014,102,아모르의 보호,4,14,0.02,accuracy_add,14,accuracy +d% (효과 적중 d% 추가),14
10240015,102,아모르의 보호,4,15,0.01,accuracy_add,15,accuracy +d% (효과 적중 d% 추가),15
10240016,102,아모르의 보호,4,16,0.0095,accuracy_add,16,accuracy +d% (효과 적중 d% 추가),16
10240017,102,아모르의 보호,4,17,0.009,accuracy_add,17,accuracy +d% (효과 적중 d% 추가),17
10240018,102,아모르의 보호,4,18,0.0085,accuracy_add,18,accuracy +d% (효과 적중 d% 추가),18
10240019,102,아모르의 보호,4,19,0.008,accuracy_add,19,accuracy +d% (효과 적중 d% 추가),19
10240020,102,아모르의 보호,4,20,0.0075,accuracy_add,20,accuracy +d% (효과 적중 d% 추가),20
10240021,102,아모르의 보호,4,21,13,resistance_add,1,resistance +d% (효과 저항 d% 추가),1
10240022,102,아모르의 보호,4,22,11,resistance_add,2,resistance +d% (효과 저항 d% 추가),2
10240023,102,아모르의 보호,4,23,10,resistance_add,3,resistance +d% (효과 저항 d% 추가),3
10240024,102,아모르의 보호,4,24,6.3475,resistance_add,4,resistance +d% (효과 저항 d% 추가),4
10240025,102,아모르의 보호,4,25,4,resistance_add,5,resistance +d% (효과 저항 d% 추가),5
10240026,102,아모르의 보호,4,26,2.6,resistance_add,6,resistance +d% (효과 저항 d% 추가),6
10240027,102,아모르의 보호,4,27,1.5,resistance_add,7,resistance +d% (효과 저항 d% 추가),7
10240028,102,아모르의 보호,4,28,0.8,resistance_add,8,resistance +d% (효과 저항 d% 추가),8
10240029,102,아모르의 보호,4,29,0.3,resistance_add,9,resistance +d% (효과 저항 d% 추가),9
10240030,102,아모르의 보호,4,30,0.2,resistance_add,10,resistance +d% (효과 저항 d% 추가),10
10240031,102,아모르의 보호,4,31,0.1,resistance_add,11,resistance +d% (효과 저항 d% 추가),11
10240032,102,아모르의 보호,4,32,0.05,resistance_add,12,resistance +d% (효과 저항 d% 추가),12
10240033,102,아모르의 보호,4,33,0.03,resistance_add,13,resistance +d% (효과 저항 d% 추가),13
10240034,102,아모르의 보호,4,34,0.02,resistance_add,14,resistance +d% (효과 저항 d% 추가),14
10240035,102,아모르의 보호,4,35,0.01,resistance_add,15,resistance +d% (효과 저항 d% 추가),15
10240036,102,아모르의 보호,4,36,0.0095,resistance_add,16,resistance +d% (효과 저항 d% 추가),16
10240037,102,아모르의 보호,4,37,0.009,resistance_add,17,resistance +d% (효과 저항 d% 추가),17
10240038,102,아모르의 보호,4,38,0.0085,resistance_add,18,resistance +d% (효과 저항 d% 추가),18
