stage,t_name,season_id,r_difficult,single_reward,mode,r_chapter_info,r_stage_info,attr,cost_type,cost_value,time_limit,wave,tamer_exp,dragon_exp,r_dragon_exp,r_cost_per_exp,gold_min,gold_max,r_gold_aver,mission_01,mission_02,mission_03,item_1_id,item_1_min,item_1_max,item_1_rate,item_2_id,item_2_min,item_2_max,item_2_rate,item_3_id,item_3_min,item_3_max,item_3_rate,item_4_id,item_4_min,item_4_max,item_4_rate,item_5_id,item_5_min,item_5_max,item_5_rate,item_6_id,item_6_min,item_6_max,item_6_rate
1110203,모험,,normal,0,adv,2,3,water,st,4,120,3,150,0,0,400,425,637,133,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710231,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110204,모험,,normal,0,adv,2,4,water,st,4,120,3,160,0,0,400,426,638,133,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710241,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110205,모험,,normal,0,adv,2,5,water,st,5,120,3,170,0,0,400,533,800,133,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710251,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110206,모험,,normal,0,adv,2,6,water,st,5,120,3,180,0,0,400,534,802,134,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710261,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110207,모험,,normal,0,adv,2,7,water,st,5,120,3,190,0,0,400,536,803,134,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,720211,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110301,모험,,normal,0,adv,3,1,earth,st,5,120,3,200,0,0,400,537,805,134,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710711,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110302,모험,,normal,0,adv,3,2,earth,st,5,120,3,210,0,0,400,538,807,135,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710721,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110303,모험,,normal,0,adv,3,3,earth,st,5,120,3,220,0,0,400,539,809,135,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710731,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110304,모험,,normal,0,adv,3,4,earth,st,5,120,3,230,0,0,400,540,811,135,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710741,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110305,모험,,normal,0,adv,3,5,earth,st,6,120,3,240,0,0,400,650,975,135,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710751,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110306,모험,,normal,0,adv,3,6,earth,st,6,120,3,250,0,0,400,651,977,136,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710761,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110307,모험,,normal,0,adv,3,7,earth,st,6,120,3,260,0,0,400,653,979,136,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,720711,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110401,모험,,normal,0,adv,4,1,fire,st,5,120,3,270,0,0,400,545,818,136,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710611,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110402,모험,,normal,0,adv,4,2,fire,st,5,120,3,280,0,0,400,546,820,137,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710621,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110403,모험,,normal,0,adv,4,3,fire,st,5,120,3,290,0,0,400,548,821,137,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710631,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110404,모험,,normal,0,adv,4,4,fire,st,5,120,3,300,0,0,400,549,823,137,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710641,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110405,모험,,normal,0,adv,4,5,fire,st,6,120,3,310,0,0,400,660,990,138,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710651,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110406,모험,,normal,0,adv,4,6,fire,st,6,120,3,320,0,0,400,661,992,138,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710661,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110407,모험,,normal,0,adv,4,7,fire,st,6,120,3,330,0,0,400,663,994,138,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,720611,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110501,모험,,normal,0,adv,5,1,light,st,6,120,3,340,0,0,400,664,996,138,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710411,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110502,모험,,normal,0,adv,5,2,light,st,6,120,3,350,0,0,400,666,999,139,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710421,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110503,모험,,normal,0,adv,5,3,light,st,6,120,3,360,0,0,400,667,1001,139,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710431,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110504,모험,,normal,0,adv,5,4,light,st,6,120,3,370,0,0,400,669,1003,139,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710441,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110505,모험,,normal,0,adv,5,5,light,st,7,120,3,380,0,0,400,782,1173,140,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710451,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110506,모험,,normal,0,adv,5,6,light,st,7,120,3,390,0,0,400,783,1175,140,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710461,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110507,모험,,normal,0,adv,5,7,light,st,7,120,3,400,0,0,400,785,1178,140,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,720411,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110601,모험,,normal,0,adv,6,1,dark,st,6,120,3,410,0,0,400,674,1012,141,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710811,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110602,모험,,normal,0,adv,6,2,dark,st,6,120,3,420,0,0,400,676,1014,141,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710821,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110603,모험,,normal,0,adv,6,3,dark,st,6,120,3,430,0,0,400,677,1016,141,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710831,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110604,모험,,normal,0,adv,6,4,dark,st,6,120,3,440,0,0,400,679,1018,141,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2400,2400,1,710841,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110605,모험,,normal,0,adv,6,5,dark,st,7,120,3,450,0,0,400,794,1190,142,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710851,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110606,모험,,normal,0,adv,6,6,dark,st,7,120,3,460,0,0,400,795,1193,142,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710861,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110607,모험,,normal,0,adv,6,7,dark,st,7,120,3,470,0,0,400,797,1195,142,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,720811,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110701,모험,,normal,0,adv,7,1,earth,st,7,120,3,480,0,0,400,799,1198,143,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710112,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110702,모험,,normal,0,adv,7,2,earth,st,7,120,3,490,0,0,400,800,1200,143,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710122,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110703,모험,,normal,0,adv,7,3,earth,st,7,120,3,500,0,0,400,802,1203,143,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710132,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110704,모험,,normal,0,adv,7,4,earth,st,7,120,3,510,0,0,400,804,1205,144,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710142,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110705,모험,,normal,0,adv,7,5,earth,st,8,120,3,520,0,0,400,920,1380,144,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710152,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110706,모험,,normal,0,adv,7,6,earth,st,8,120,3,530,0,0,400,922,1383,144,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710162,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110707,모험,,normal,0,adv,7,7,earth,st,8,120,3,540,0,0,400,924,1386,144,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,720112,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110801,모험,,normal,0,adv,8,1,fire,st,7,120,3,550,0,0,400,810,1215,145,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710212,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110802,모험,,normal,0,adv,8,2,fire,st,7,120,3,560,0,0,400,812,1218,145,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710222,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110803,모험,,normal,0,adv,8,3,fire,st,7,120,3,570,0,0,400,814,1221,145,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710232,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110804,모험,,normal,0,adv,8,4,fire,st,7,120,3,580,0,0,400,815,1223,146,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2800,2800,1,710242,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110805,모험,,normal,0,adv,8,5,fire,st,8,120,3,590,0,0,400,934,1401,146,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710252,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110806,모험,,normal,0,adv,8,6,fire,st,8,120,3,600,0,0,400,936,1404,146,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710262,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110807,모험,,normal,0,adv,8,7,fire,st,8,120,3,610,0,0,400,938,1406,147,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,720212,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110901,모험,,normal,0,adv,9,1,water,st,8,120,3,620,0,0,400,940,1409,147,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710712,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110902,모험,,normal,0,adv,9,2,water,st,8,120,3,630,0,0,400,941,1412,147,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710722,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110903,모험,,normal,0,adv,9,3,water,st,8,120,3,640,0,0,400,943,1415,147,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710732,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110904,모험,,normal,0,adv,9,4,water,st,8,120,3,650,0,0,400,945,1418,148,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710742,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110905,모험,,normal,0,adv,9,5,water,st,9,120,3,660,0,0,400,1066,1598,148,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710752,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110906,모험,,normal,0,adv,9,6,water,st,9,120,3,670,0,0,400,1068,1602,148,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710762,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110907,모험,,normal,0,adv,9,7,water,st,9,120,3,680,0,0,400,1070,1605,149,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,720712,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1111001,모험,,normal,0,adv,10,1,earth,st,8,120,3,690,0,0,400,953,1429,149,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710612,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111002,모험,,normal,0,adv,10,2,earth,st,8,120,3,700,0,0,400,955,1432,149,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710622,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111003,모험,,normal,0,adv,10,3,earth,st,8,120,3,710,0,0,400,957,1435,150,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710632,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111004,모험,,normal,0,adv,10,4,earth,st,8,120,3,720,0,0,400,959,1438,150,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3200,3200,1,710642,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111005,모험,,normal,0,adv,10,5,earth,st,9,120,3,730,0,0,400,1081,1621,150,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710652,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111006,모험,,normal,0,adv,10,6,earth,st,9,120,3,740,0,0,400,1083,1624,150,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710662,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111007,모험,,normal,0,adv,10,7,earth,st,9,120,3,750,0,0,400,1085,1628,151,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,720612,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1111101,모험,,normal,0,adv,11,1,light,st,9,120,3,760,0,0,400,1087,1631,151,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710412,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111102,모험,,normal,0,adv,11,2,light,st,9,120,3,770,0,0,400,1089,1634,151,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710422,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111103,모험,,normal,0,adv,11,3,light,st,9,120,3,780,0,0,400,1092,1637,152,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710432,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111104,모험,,normal,0,adv,11,4,light,st,9,120,3,790,0,0,400,1094,1641,152,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710442,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111105,모험,,normal,0,adv,11,5,light,st,10,120,3,800,0,0,400,1218,1826,152,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710452,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111106,모험,,normal,0,adv,11,6,light,st,10,120,3,810,0,0,400,1220,1830,153,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710462,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111107,모험,,normal,0,adv,11,7,light,st,10,120,3,820,0,0,400,1222,1834,153,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,720412,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1111201,모험,,normal,0,adv,12,1,dark,st,9,120,3,830,0,0,400,1102,1653,153,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710812,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111202,모험,,normal,0,adv,12,2,dark,st,9,120,3,840,0,0,400,1104,1657,153,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710822,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111203,모험,,normal,0,adv,12,3,dark,st,9,120,3,850,0,0,400,1107,1660,154,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710832,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111204,모험,,normal,0,adv,12,4,dark,st,9,120,3,860,0,0,400,1109,1663,154,"clear_cnt,1","death_cnt,0","lap_time,120",700017,3600,3600,1,710842,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111205,모험,,normal,0,adv,12,5,dark,st,10,120,3,870,0,0,400,1234,1852,154,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710852,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111206,모험,,normal,0,adv,12,6,dark,st,10,120,3,881,0,0,400,1237,1855,155,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710862,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1111207,모험,,normal,0,adv,12,7,dark,st,10,120,3,892,0,0,400,1239,1859,155,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,720812,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1120101,모험,,hard,0,adv,1,1,earth,st,10,120,3,903,0,0,400,1280,1920,160,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710113,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120102,모험,,hard,0,adv,1,2,earth,st,10,120,3,914,0,0,400,1282,1924,160,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710123,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120103,모험,,hard,0,adv,1,3,earth,st,10,120,3,925,0,0,400,1285,1927,161,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710133,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120104,모험,,hard,0,adv,1,4,earth,st,10,120,3,936,0,0,400,1287,1931,161,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710143,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120105,모험,,hard,0,adv,1,5,earth,st,11,120,3,947,0,0,400,1419,2128,161,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710153,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120106,모험,,hard,0,adv,1,6,earth,st,11,120,3,958,0,0,400,1421,2132,162,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710163,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120107,모험,,hard,0,adv,1,7,earth,st,11,120,3,969,0,0,400,1424,2136,162,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,720113,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1120201,모험,,hard,0,adv,2,1,water,st,10,120,3,980,0,0,400,1297,1945,162,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710213,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120202,모험,,hard,0,adv,2,2,water,st,10,120,3,991,0,0,400,1299,1949,162,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710223,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120203,모험,,hard,0,adv,2,3,water,st,10,120,3,1002,0,0,400,1302,1952,163,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710233,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120204,모험,,hard,0,adv,2,4,water,st,10,120,3,1013,0,0,400,1304,1956,163,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4000,4000,1,710243,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120205,모험,,hard,0,adv,2,5,water,st,11,120,3,1024,0,0,400,1437,2156,163,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710253,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120206,모험,,hard,0,adv,2,6,water,st,11,120,3,1035,0,0,400,1440,2160,164,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710263,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120207,모험,,hard,0,adv,2,7,water,st,11,120,3,1046,0,0,400,1442,2163,164,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,720213,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1120301,모험,,hard,0,adv,3,1,earth,st,11,120,3,1057,0,0,400,1445,2167,164,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710713,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120302,모험,,hard,0,adv,3,2,earth,st,11,120,3,1068,0,0,400,1448,2171,165,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710723,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120303,모험,,hard,0,adv,3,3,earth,st,11,120,3,1079,0,0,400,1450,2175,165,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710733,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120304,모험,,hard,0,adv,3,4,earth,st,11,120,3,1090,0,0,400,1453,2179,165,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710743,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120305,모험,,hard,0,adv,3,5,earth,st,12,120,3,1101,0,0,400,1588,2382,165,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4800,4800,1,710753,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120306,모험,,hard,0,adv,3,6,earth,st,12,120,3,1112,0,0,400,1591,2386,166,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4800,4800,1,710763,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120307,모험,,hard,0,adv,3,7,earth,st,12,120,3,1123,0,0,400,1594,2390,166,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4800,4800,1,720713,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1120401,모험,,hard,0,adv,4,1,fire,st,11,120,3,1134,0,0,400,1463,2195,166,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710613,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120402,모험,,hard,0,adv,4,2,fire,st,11,120,3,1145,0,0,400,1466,2199,167,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710623,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1120403,모험,,hard,0,adv,4,3,fire,st,11,120,3,1156,0,0,400,1469,2203,167,"clear_cnt,1","death_cnt,0","lap_time,120",700017,4400,4400,1,710633,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
