rid,road_type,t_desc,clear_type,clear_value,r_name,res,t_speech,desc_1,r_reward_1,r_val_1,r_reward_2,r_val_2,reward,special
10011,normal,모험 {1}스테이지 클리어,clr_stg,1110107,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,1-7,다이아,100,비밀의 알,1,"700001;100,703018;1",1
10012,normal,드래곤 알 부화하기,egg,1,나르비,res/character/npc/narvi/narvi.spine,마스터를 도와줄 드래곤이 필요해 보이네요.,,다이아,50,골드,1000,"700001;50,700002;1000",
10013,normal,모험 {1}스테이지 클리어,clr_stg,1110201,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,2-1,다이아,30,,,700001;30,
10014,normal,모험 {1}스테이지 클리어,clr_stg,1110202,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,2-2,다이아,30,하급 물의 정기,10,"700001;30,701121;10",
10015,normal,모험 {1}스테이지 클리어,clr_stg,1110203,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,2-3,다이아,30,,,700001;30,
10016,normal,모험 {1}스테이지 클리어,clr_stg,1110204,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,2-4,다이아,30,,,700001;30,
10017,normal,친구 신청 {1}회 하기,invt_frd,1,나르비,res/character/npc/narvi/narvi.spine,혼자서는 힘들어요. 친구와 교류해 보세요.,1,다이아,50,골드,1000,"700001;50,700002;1000",
10018,normal,모험 {1}스테이지 클리어,clr_stg,1110205,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,2-5,다이아,30,하급 물의 정기,10,"700001;30,701121;10",
10019,normal,모험 {1}스테이지 클리어,clr_stg,1110206,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,2-6,다이아,30,,,700001;30,
10020,normal,승급 확인하기,check_grup,1,나르비,res/character/npc/narvi/narvi.spine,하나의 드래곤에 힘을 모아주세요.,1,다이아,50,골드,1000,"700001;50,700002;1000",
10021,normal,모험 {1}스테이지 클리어,clr_stg,1110207,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,2-7,다이아,200,맹수의 알,1,"700001;200,703013;1",1
10022,normal,드래곤 알 부화하기,egg,1,나르비,res/character/npc/narvi/narvi.spine,마스터를 도와줄 드래곤이 필요해 보이네요.,,다이아,50,골드,1000,"700001;50,700002;1000",
10023,normal,거목던전 {1}회 플레이,ply_tree,1,나르비,res/character/npc/narvi/narvi.spine,살아 움직이는 신비한 나무가 있다고 하네요.,1,다이아,50,하급 땅의 열매,10,"700001;50,702011;10",
10024,normal,열매 {1}회 주기,fruit,1,나르비,res/character/npc/narvi/narvi.spine,마스터의 드래곤이 배고파하는 게 느껴지지 않나요?,1,다이아,50,,,700001;50,
10025,normal,모험 {1}스테이지 클리어,clr_stg,1110301,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,3-1,다이아,40,,,700001;40,
10026,normal,모험 {1}스테이지 클리어,clr_stg,1110302,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,3-2,다이아,40,하급 불의 정기,10,"700001;40,701131;10",
10027,normal,모험 {1}스테이지 클리어,clr_stg,1110303,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,3-3,다이아,40,,,700001;40,
10028,normal,탐험 {1}회 보내기,ply_epl,1,나르비,res/character/npc/narvi/narvi.spine,드래곤에게 자립심을 길러주세요.,1,다이아,50,골드,1000,"700001;50,700002;1000",
10029,normal,모험 {1}스테이지 클리어,clr_stg,1110304,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,3-4,다이아,40,,,700001;40,
10030,normal,모험 {1}스테이지 클리어,clr_stg,1110305,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,3-5,다이아,40,하급 불의 정기,10,"700001;40,701131;10",
10031,normal,모험 {1}스테이지 클리어,clr_stg,1110306,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,3-6,다이아,40,,,700001;40,
10032,normal,룬 {1}강화 이상 성공하기,r_enc,3,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,3,다이아,50,골드,1000,"700001;50,700002;1000",
10033,normal,모험 {1}스테이지 클리어,clr_stg,1110307,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,3-7,다이아,250,수호의 알,1,"700001;250,703012;1",1
10034,normal,드래곤 알 부화하기,egg,1,나르비,res/character/npc/narvi/narvi.spine,마스터를 도와줄 드래곤이 필요해 보이네요.,,다이아,50,하급 진화의 보석,20,"700001;50,701011;20",
10035,normal,모험 {1}스테이지 클리어,clr_stg,1110401,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,4-1,다이아,50,,,700001;50,
10036,normal,모험 {1}스테이지 클리어,clr_stg,1110402,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,4-2,다이아,50,중급 땅의정기,10,"700001;50,701112;10",
10037,normal,테이머 {1}명 보유,t_get,2,나르비,res/character/npc/narvi/narvi.spine,동료가 필요한 시기에요.,2,다이아,50,골드,1000,"700001;50,700002;1000",
10038,normal,모험 {1}스테이지 클리어,clr_stg,1110403,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,4-3,다이아,50,,,700001;50,
10039,normal,모험 {1}스테이지 클리어,clr_stg,1110404,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,4-4,다이아,50,,,700001;50,
10040,normal,모험 {1}스테이지 클리어,clr_stg,1110405,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,4-5,다이아,50,중급 물의 정기,10,"700001;50,701122;10",
10041,normal,모험 {1}스테이지 클리어,clr_stg,1110406,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,4-6,다이아,50,,,700001;50,
10042,normal,스킬 레벨업 {1}회 진행,d_sklvup,1,나르비,res/character/npc/narvi/narvi.spine,동일한 드래곤이 있다면 힘을 전수해 줄 수 있어요,1,다이아,50,골드,1000,"700001;50,700002;1000",
10043,normal,모험 {1}스테이지 클리어,clr_stg,1110407,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,4-7,다이아,300,보호의 알,1,"700001;300,703015;1",1
10044,normal,유저레벨 {1} 달성,u_lv,10,나르비,res/character/npc/narvi/narvi.spine,마스터의 자격을 점검해 볼게요.,10,다이아,50,,,700001;50,
10045,normal,고대의 탑 {1}회 플레이,ply_tower,1,나르비,res/character/npc/narvi/narvi.spine,최초의 마스터가 도전했던 신비한 탑에 대해서 아시나요?,1,다이아,50,골드,1000,"700001;50,700002;1000",
10046,normal,모험 {1}스테이지 클리어,clr_stg,1110501,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,5-1,다이아,60,,,700001;60,
10047,normal,모험 {1}스테이지 클리어,clr_stg,1110502,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-2,다이아,60,중급 불의 정기,10,"700001;60,701132;10",
10048,normal,진화재료던전 {1}회 플레이,ply_ev,1,나르비,res/character/npc/narvi/narvi.spine,신비한 힘을 품고 있는 물건을 구해와 주세요.,1,다이아,50,중급 진화의 보석,20,"700001;50,701012;20",
10049,normal,진화 {1}회 진행,d_evup,1,나르비,res/character/npc/narvi/narvi.spine,어떻게 생긴 드래곤으로 진화하게 될까요? 두근두근..,1,다이아,50,골드,1000,"700001;50,700002;1000",
10050,normal,모험 {1}스테이지 클리어,clr_stg,1110503,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-3,다이아,60,,,700001;60,
10051,normal,모험 {1}스테이지 클리어,clr_stg,1110504,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-4,다이아,60,,,700001;60,
10052,normal,테이머 스킬 레벨업 {1}회,t_sklvup,1,나르비,res/character/npc/narvi/narvi.spine,마스터도 성장이 필요해 보이네요.,1,다이아,50,골드,1000,"700001;50,700002;1000",
10053,normal,모험 {1}스테이지 클리어,clr_stg,1110505,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-5,다이아,60,,,700001;60,
10054,normal,모험 {1}스테이지 클리어,clr_stg,1110506,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-6,다이아,60,,,700001;60,
10055,normal,모험 {1}스테이지 클리어,clr_stg,1110507,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,5-7,다이아,350,치유의 알,1,"700001;350,703014;1",1
10056,normal,유저레벨 {1} 달성,u_lv,12,나르비,res/character/npc/narvi/narvi.spine,마스터의 자격을 점검해 볼게요.,12,다이아,50,,,700001;50,
10057,normal,콜로세움 {1}회 플레이,ply_clsm,1,나르비,res/character/npc/narvi/narvi.spine,마스터의 실력을 보여주세요!,1,다이아,50,골드,1000,"700001;50,700002;1000",
10058,normal,모험 {1}스테이지 클리어,clr_stg,1110601,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,6-1,다이아,70,,,700001;70,
10059,normal,모험 {1}스테이지 클리어,clr_stg,1110602,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-2,다이아,70,,,700001;70,
10060,normal,모험 {1}스테이지 클리어,clr_stg,1110603,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-3,다이아,70,,,700001;70,
10061,normal,모험 {1}스테이지 클리어,clr_stg,1110604,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-4,다이아,70,,,700001;70,
10062,normal,룬 {1}강화 이상 성공하기,r_enc,6,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,6,다이아,50,골드,1000,"700001;50,700002;1000",
10063,normal,모험 {1}스테이지 클리어,clr_stg,1110605,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-5,다이아,70,,,700001;70,
10064,normal,모험 {1}스테이지 클리어,clr_stg,1110606,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-6,다이아,70,,,700001;70,
10065,normal,모험 {1}스테이지 클리어,clr_stg,1110607,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,6-7,다이아,400,신비의 알,1,"700001;400,703016;1",1
10066,normal,테이머 {1}명 보유,t_get,3,나르비,res/character/npc/narvi/narvi.spine,동료가 필요한 시기에요.,3,다이아,50,골드,1000,"700001;50,700002;1000",
10067,normal,악몽던전 {1}회 플레이,ply_nm,1,나르비,res/character/npc/narvi/narvi.spine,더 강력한 룬이 필요해 보이네요,1,다이아,50,골드,1000,"700001;50,700002;1000",
10068,normal,모험 {1}스테이지 클리어,clr_stg,1110701,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,7-1,다이아,80,,,700001;80,
10069,normal,모험 {1}스테이지 클리어,clr_stg,1110702,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-2,다이아,80,,,700001;80,
10070,normal,모험 {1}스테이지 클리어,clr_stg,1110703,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-3,다이아,80,,,700001;80,
10071,normal,모험 {1}스테이지 클리어,clr_stg,1110704,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-4,다이아,80,,,700001;80,
10072,normal,{1}명의 유저와 친구맺기,make_frd,5,나르비,res/character/npc/narvi/narvi.spine,혼자서는 힘들어요. 친구와 교류해 보세요.,5,다이아,50,골드,1000,"700001;50,700002;1000",
10073,normal,모험 {1}스테이지 클리어,clr_stg,1110705,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-5,다이아,80,,,700001;80,
10074,normal,모험 {1}스테이지 클리어,clr_stg,1110706,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-6,다이아,80,,,700001;80,
10075,normal,모험 {1}스테이지 클리어,clr_stg,1110707,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,7-7,다이아,400,신비의 알,2,"700001;400,703016;2",1
10076,normal,룬 {1}강화 이상 성공하기,r_enc,9,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,9,다이아,50,골드,1000,"700001;50,700002;1000",
10077,normal,모험 {1}스테이지 클리어,clr_stg,1110801,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,8-1,다이아,80,,,700001;80,
10078,normal,모험 {1}스테이지 클리어,clr_stg,1110802,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-2,다이아,80,,,700001;80,
10079,normal,모험 {1}스테이지 클리어,clr_stg,1110803,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-3,다이아,80,,,700001;80,
10080,normal,모험 {1}스테이지 클리어,clr_stg,1110804,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-4,다이아,80,,,700001;80,
10081,normal,{1}명의 유저와 친구맺기,make_frd,10,나르비,res/character/npc/narvi/narvi.spine,혼자서는 힘들어요. 친구와 교류해 보세요.,10,다이아,50,골드,1000,"700001;50,700002;1000",
10082,normal,모험 {1}스테이지 클리어,clr_stg,1110805,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-5,다이아,80,,,700001;80,
10083,normal,모험 {1}스테이지 클리어,clr_stg,1110806,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-6,다이아,80,,,700001;80,
10084,normal,모험 {1}스테이지 클리어,clr_stg,1110807,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,8-7,다이아,500,신비의 알,2,"700001;500,703016;2",1
10085,normal,룬 {1}강화 이상 성공하기,r_enc,12,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,12,다이아,50,골드,1000,"700001;50,700002;1000",
10086,normal,모험 {1}스테이지 클리어,clr_stg,1110901,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,9-1,다이아,90,,,700001;90,
10087,normal,모험 {1}스테이지 클리어,clr_stg,1110902,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-2,다이아,90,,,700001;90,
10088,normal,모험 {1}스테이지 클리어,clr_stg,1110903,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-3,다이아,90,,,700001;90,
10089,normal,모험 {1}스테이지 클리어,clr_stg,1110904,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-4,다이아,90,,,700001;90,
10090,normal,테이머 {1}명 보유,t_get,4,나르비,res/character/npc/narvi/narvi.spine,동료가 필요한 시기에요.,4,다이아,50,골드,1000,"700001;50,700002;1000",
10091,normal,모험 {1}스테이지 클리어,clr_stg,1110905,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-5,다이아,90,,,700001;90,
10092,normal,모험 {1}스테이지 클리어,clr_stg,1110906,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-6,다이아,90,,,700001;90,
10093,normal,모험 {1}스테이지 클리어,clr_stg,1110907,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,9-7,다이아,550,신비의 알,2,"700001;550,703016;2",1
10094,normal,모험 {1}스테이지 클리어,clr_stg,1111001,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,10-1,다이아,100,,,700001;100,
10095,normal,모험 {1}스테이지 클리어,clr_stg,1111002,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-2,다이아,100,,,700001;100,
10096,normal,모험 {1}스테이지 클리어,clr_stg,1111003,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-3,다이아,100,,,700001;100,
10097,normal,모험 {1}스테이지 클리어,clr_stg,1111004,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-4,다이아,100,,,700001;100,
10098,normal,모험 {1}스테이지 클리어,clr_stg,1111005,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-5,다이아,100,,,700001;100,
10099,normal,모험 {1}스테이지 클리어,clr_stg,1111006,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-6,다이아,100,,,700001;100,
10100,normal,모험 {1}스테이지 클리어,clr_stg,1111007,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,10-7,다이아,600,신비의 알,3,"700001;600,703016;3",1
10101,normal,모험 {1}스테이지 클리어,clr_stg,1111101,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,11-1,다이아,110,,,700001;110,
10102,normal,모험 {1}스테이지 클리어,clr_stg,1111102,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-2,다이아,110,,,700001;110,
10103,normal,모험 {1}스테이지 클리어,clr_stg,1111103,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-3,다이아,110,,,700001;110,
10104,normal,모험 {1}스테이지 클리어,clr_stg,1111104,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-4,다이아,110,,,700001;110,
10105,normal,모험 {1}스테이지 클리어,clr_stg,1111105,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-5,다이아,110,,,700001;110,
10106,normal,모험 {1}스테이지 클리어,clr_stg,1111106,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-6,다이아,110,,,700001;110,
10107,normal,모험 {1}스테이지 클리어,clr_stg,1111107,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,11-7,다이아,650,신성의 알,1,"700001;650,703010;1",1
10108,normal,모험 {1}스테이지 클리어,clr_stg,1111201,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,12-1,다이아,120,,,700001;120,
10109,normal,모험 {1}스테이지 클리어,clr_stg,1111202,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-2,다이아,120,,,700001;120,
10110,normal,모험 {1}스테이지 클리어,clr_stg,1111203,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-3,다이아,120,,,700001;120,
10111,normal,모험 {1}스테이지 클리어,clr_stg,1111204,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-4,다이아,120,,,700001;120,
10112,normal,모험 {1}스테이지 클리어,clr_stg,1111205,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-5,다이아,120,,,700001;120,
10113,normal,모험 {1}스테이지 클리어,clr_stg,1111206,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-6,다이아,120,,,700001;120,
10114,normal,모험 {1}스테이지 클리어,clr_stg,1111207,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,12-7,다이아,700,암흑의 알,1,"700001;700,703011;1",1
10115,expert,모험 {1}스테이지 클리어,clr_stg,1120107,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 1-7,날개,225,,,700101;225,
10116,expert,모험 {1}스테이지 클리어,clr_stg,1120207,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 2-7,다이아,150,,,700001;150,
10117,expert,모험 {1}스테이지 클리어,clr_stg,1120307,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 3-7,골드,150000,,,700002;150000,
10118,expert,모험 {1}스테이지 클리어,clr_stg,1120407,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 4-7,캡슐코인,1,자수정,300,"700012;1,700007;300",
10119,expert,악몽던전 {1}층 클리어,clr_nm,1220105,나르비,res/character/npc/narvi/narvi.spine,악몽던전 5단계에서는 3~5등급의 룬을 획득할 수 있어요. 도전해볼까요?,5,신비의 알,2,,,703016;2,1
10120,expert,모험 {1}스테이지 클리어,clr_stg,1120507,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 5-7,날개,225,,,700101;225,
10121,expert,모험 {1}스테이지 클리어,clr_stg,1120607,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 6-7,다이아,150,,,700001;150,
10122,expert,모험 {1}스테이지 클리어,clr_stg,1120707,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 7-7,골드,150000,,,700002;150000,
10123,expert,모험 {1}스테이지 클리어,clr_stg,1120807,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 8-7,캡슐코인,1,자수정,300,"700012;1,700007;300",
10124,expert,악몽던전 {1}층 클리어,clr_nm,1220107,나르비,res/character/npc/narvi/narvi.spine,"악몽던전 7단계에서는 4~6등급의 1번, 2번 룬을 획득할 수 있어요. 도전해볼까요?",7,신비의 알,3,,,703016;3,1
10125,expert,모험 {1}스테이지 클리어,clr_stg,1120907,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 9-7,날개,225,,,700101;225,
10126,expert,모험 {1}스테이지 클리어,clr_stg,1121007,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 10-7,다이아,150,,,700001;150,
10127,expert,모험 {1}스테이지 클리어,clr_stg,1121107,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 11-7,골드,150000,,,700002;150000,
10128,expert,모험 {1}스테이지 클리어,clr_stg,1121207,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(어려움) 12-7,캡슐코인,1,자수정,300,"700012;1,700007;300",
10129,expert,고대의 탑 {1}층 클리어,clr_tower,1401030,나르비,res/character/npc/narvi/narvi.spine,고대의 탑 30층을 클리어하면 전설 스킬 슬라임을 획득할 수 있어요. 도전해볼까요?,30,환상의 알,1,,,703004;1,1
10130,expert,모험 {1}스테이지 클리어,clr_stg,1130107,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 1-7,날개,225,,,700101;225,
10131,expert,모험 {1}스테이지 클리어,clr_stg,1130207,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 2-7,다이아,150,,,700001;150,
10132,expert,모험 {1}스테이지 클리어,clr_stg,1130307,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 3-7,골드,150000,,,700002;150000,
10133,expert,모험 {1}스테이지 클리어,clr_stg,1130407,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 4-7,캡슐코인,1,자수정,300,"700012;1,700007;300",
10134,expert,악몽던전 {1}층 클리어,clr_nm,1220110,나르비,res/character/npc/narvi/narvi.spine,악몽던전 10단계에서는 4~6등급의 룬을 획득할 수 있어요. 도전해볼까요?,10,환상의 알,2,,,703004;2,1
10135,expert,모험 {1}스테이지 클리어,clr_stg,1130507,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 5-7,날개,225,,,700101;225,
10136,expert,모험 {1}스테이지 클리어,clr_stg,1130607,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 6-7,다이아,150,,,700001;150,
10137,expert,모험 {1}스테이지 클리어,clr_stg,1130707,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 7-7,골드,150000,,,700002;150000,
10138,expert,모험 {1}스테이지 클리어,clr_stg,1130807,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 8-7,캡슐코인,1,자수정,300,"700012;1,700007;300",
10139,expert,고대의 탑 {1}층 클리어,clr_tower,1401050,나르비,res/character/npc/narvi/narvi.spine,고대의 탑 50층을 클리어하면 전설 스킬 슬라임을 획득할 수 있어요. 도전해볼까요?,50,고대의 알,1,,,703019;1,1
10140,expert,모험 {1}스테이지 클리어,clr_stg,1130907,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 9-7,날개,225,,,700101;225,
10141,expert,모험 {1}스테이지 클리어,clr_stg,1131007,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 10-7,다이아,150,,,700001;150,
10142,expert,모험 {1}스테이지 클리어,clr_stg,1131107,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 11-7,골드,150000,,,700002;150000,
10143,expert,모험 {1}스테이지 클리어,clr_stg,1131207,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,(지옥) 12-7,캡슐코인,1,자수정,300,"700012;1,700007;300",
