rune_id,t_name,slot,grade,set_id,ancient,ex_get,ignore_row
710412,견고 1번 룬,1,2,4,,0,1
710413,견고 1번 룬,1,3,4,,0,1
710414,견고 1번 룬,1,4,4,,0,1
710415,견고 1번 룬,1,5,4,,0,1
710416,견고 1번 룬,1,6,4,,0,1
710417,견고 1번 룬,1,7,4,,0,1
710421,견고 2번 룬,2,1,4,,0,1
710422,견고 2번 룬,2,2,4,,0,1
710423,견고 2번 룬,2,3,4,,0,1
710424,견고 2번 룬,2,4,4,,0,1
710425,견고 2번 룬,2,5,4,,0,1
710426,견고 2번 룬,2,6,4,,0,1
710427,견고 2번 룬,2,7,4,,0,1
710431,견고 3번 룬,3,1,4,,0,1
710432,견고 3번 룬,3,2,4,,0,1
710433,견고 3번 룬,3,3,4,,0,1
710434,견고 3번 룬,3,4,4,,0,1
710435,견고 3번 룬,3,5,4,,0,1
710436,견고 3번 룬,3,6,4,,0,1
710437,견고 3번 룬,3,7,4,,0,1
710441,견고 4번 룬,4,1,4,,0,1
710442,견고 4번 룬,4,2,4,,0,1
710443,견고 4번 룬,4,3,4,,0,1
710444,견고 4번 룬,4,4,4,,0,1
710445,견고 4번 룬,4,5,4,,0,1
710446,견고 4번 룬,4,6,4,,0,1
710447,견고 4번 룬,4,7,4,,0,1
710451,견고 5번 룬,5,1,4,,0,1
710452,견고 5번 룬,5,2,4,,0,1
710453,견고 5번 룬,5,3,4,,0,1
710454,견고 5번 룬,5,4,4,,0,1
710455,견고 5번 룬,5,5,4,,0,1
710456,견고 5번 룬,5,6,4,,0,1
710457,견고 5번 룬,5,7,4,,0,1
710461,견고 6번 룬,6,1,4,,0,1
710462,견고 6번 룬,6,2,4,,0,1
710463,견고 6번 룬,6,3,4,,0,1
710464,견고 6번 룬,6,4,4,,0,1
710465,견고 6번 룬,6,5,4,,0,1
710466,견고 6번 룬,6,6,4,,0,1
710467,견고 6번 룬,6,7,4,,0,1
710511,효과 저항 1번 룬,1,1,5,,0,1
710512,효과 저항 1번 룬,1,2,5,,0,1
710513,효과 저항 1번 룬,1,3,5,,0,1
710514,효과 저항 1번 룬,1,4,5,,0,1
710515,효과 저항 1번 룬,1,5,5,,0,1
710516,효과 저항 1번 룬,1,6,5,,0,1
710517,효과 저항 1번 룬,1,7,5,,0,1
710521,효과 저항 2번 룬,2,1,5,,0,1
710522,효과 저항 2번 룬,2,2,5,,0,1
710523,효과 저항 2번 룬,2,3,5,,0,1
710524,효과 저항 2번 룬,2,4,5,,0,1
710525,효과 저항 2번 룬,2,5,5,,0,1
710526,효과 저항 2번 룬,2,6,5,,0,1
710527,효과 저항 2번 룬,2,7,5,,0,1
710531,효과 저항 3번 룬,3,1,5,,0,1
710532,효과 저항 3번 룬,3,2,5,,0,1
710533,효과 저항 3번 룬,3,3,5,,0,1
710534,효과 저항 3번 룬,3,4,5,,0,1
710535,효과 저항 3번 룬,3,5,5,,0,1
710536,효과 저항 3번 룬,3,6,5,,0,1
710537,효과 저항 3번 룬,3,7,5,,0,1
710541,효과 저항 4번 룬,4,1,5,,0,1
710542,효과 저항 4번 룬,4,2,5,,0,1
710543,효과 저항 4번 룬,4,3,5,,0,1
710544,효과 저항 4번 룬,4,4,5,,0,1
710545,효과 저항 4번 룬,4,5,5,,0,1
710546,효과 저항 4번 룬,4,6,5,,0,1
710547,효과 저항 4번 룬,4,7,5,,0,1
710551,효과 저항 5번 룬,5,1,5,,0,1
710552,효과 저항 5번 룬,5,2,5,,0,1
710553,효과 저항 5번 룬,5,3,5,,0,1
710554,효과 저항 5번 룬,5,4,5,,0,1
710555,효과 저항 5번 룬,5,5,5,,0,1
710556,효과 저항 5번 룬,5,6,5,,0,1
710557,효과 저항 5번 룬,5,7,5,,0,1
710561,효과 저항 6번 룬,6,1,5,,0,1
710562,효과 저항 6번 룬,6,2,5,,0,1
710563,효과 저항 6번 룬,6,3,5,,0,1
710564,효과 저항 6번 룬,6,4,5,,0,1
710565,효과 저항 6번 룬,6,5,5,,0,1
710566,효과 저항 6번 룬,6,6,5,,0,1
710567,효과 저항 6번 룬,6,7,5,,0,1
710611,강렬 1번 룬,1,1,6,,0,1
710612,강렬 1번 룬,1,2,6,,0,1
710613,강렬 1번 룬,1,3,6,,0,1
710614,강렬 1번 룬,1,4,6,,0,1
710615,강렬 1번 룬,1,5,6,,0,1
710616,강렬 1번 룬,1,6,6,,0,1
710617,강렬 1번 룬,1,7,6,,0,1
710621,강렬 2번 룬,2,1,6,,0,1
710622,강렬 2번 룬,2,2,6,,0,1
710623,강렬 2번 룬,2,3,6,,0,1
710624,강렬 2번 룬,2,4,6,,0,1
710625,강렬 2번 룬,2,5,6,,0,1
710626,강렬 2번 룬,2,6,6,,0,1
710627,강렬 2번 룬,2,7,6,,0,1
710631,강렬 3번 룬,3,1,6,,0,1
710632,강렬 3번 룬,3,2,6,,0,1
710633,강렬 3번 룬,3,3,6,,0,1
710634,강렬 3번 룬,3,4,6,,0,1
710635,강렬 3번 룬,3,5,6,,0,1
710636,강렬 3번 룬,3,6,6,,0,1
710637,강렬 3번 룬,3,7,6,,0,1
710641,강렬 4번 룬,4,1,6,,0,1
710642,강렬 4번 룬,4,2,6,,0,1
710643,강렬 4번 룬,4,3,6,,0,1
710644,강렬 4번 룬,4,4,6,,0,1
710645,강렬 4번 룬,4,5,6,,0,1
710646,강렬 4번 룬,4,6,6,,0,1
710647,강렬 4번 룬,4,7,6,,0,1
710651,강렬 5번 룬,5,1,6,,0,1
710652,강렬 5번 룬,5,2,6,,0,1
710653,강렬 5번 룬,5,3,6,,0,1
710654,강렬 5번 룬,5,4,6,,0,1
710655,강렬 5번 룬,5,5,6,,0,1
710656,강렬 5번 룬,5,6,6,,0,1
710657,강렬 5번 룬,5,7,6,,0,1
710661,강렬 6번 룬,6,1,6,,0,1
710662,강렬 6번 룬,6,2,6,,0,1
710663,강렬 6번 룬,6,3,6,,0,1
710664,강렬 6번 룬,6,4,6,,0,1
710665,강렬 6번 룬,6,5,6,,0,1
710666,강렬 6번 룬,6,6,6,,0,1
710667,강렬 6번 룬,6,7,6,,0,1
710711,피해 1번 룬,1,1,7,,0,1
710712,피해 1번 룬,1,2,7,,0,1
710713,피해 1번 룬,1,3,7,,0,1
710714,피해 1번 룬,1,4,7,,0,1
710715,피해 1번 룬,1,5,7,,0,1
710716,피해 1번 룬,1,6,7,,0,1
710717,피해 1번 룬,1,7,7,,0,1
710721,피해 2번 룬,2,1,7,,0,1
710722,피해 2번 룬,2,2,7,,0,1
710723,피해 2번 룬,2,3,7,,0,1
710724,피해 2번 룬,2,4,7,,0,1
710725,피해 2번 룬,2,5,7,,0,1
710726,피해 2번 룬,2,6,7,,0,1
710727,피해 2번 룬,2,7,7,,0,1
710731,피해 3번 룬,3,1,7,,0,1
710732,피해 3번 룬,3,2,7,,0,1
710733,피해 3번 룬,3,3,7,,0,1
710734,피해 3번 룬,3,4,7,,0,1
710735,피해 3번 룬,3,5,7,,0,1
710736,피해 3번 룬,3,6,7,,0,1
710737,피해 3번 룬,3,7,7,,0,1
710741,피해 4번 룬,4,1,7,,0,1
710742,피해 4번 룬,4,2,7,,0,1
710743,피해 4번 룬,4,3,7,,0,1
710744,피해 4번 룬,4,4,7,,0,1
710745,피해 4번 룬,4,5,7,,0,1
710746,피해 4번 룬,4,6,7,,0,1
710747,피해 4번 룬,4,7,7,,0,1
710751,피해 5번 룬,5,1,7,,0,1
710752,피해 5번 룬,5,2,7,,0,1
710753,피해 5번 룬,5,3,7,,0,1
710754,피해 5번 룬,5,4,7,,0,1
710755,피해 5번 룬,5,5,7,,0,1
710756,피해 5번 룬,5,6,7,,0,1
710757,피해 5번 룬,5,7,7,,0,1
710761,피해 6번 룬,6,1,7,,0,1
710762,피해 6번 룬,6,2,7,,0,1
710763,피해 6번 룬,6,3,7,,0,1
710764,피해 6번 룬,6,4,7,,0,1
710765,피해 6번 룬,6,5,7,,0,1
710766,피해 6번 룬,6,6,7,,0,1
710767,피해 6번 룬,6,7,7,,0,1
710811,쾌속 1번 룬,1,1,8,,0,1
710812,쾌속 1번 룬,1,2,8,,0,1
710813,쾌속 1번 룬,1,3,8,,0,1
710814,쾌속 1번 룬,1,4,8,,0,1
710815,쾌속 1번 룬,1,5,8,,0,1
710816,쾌속 1번 룬,1,6,8,,0,1
710817,쾌속 1번 룬,1,7,8,,0,1
710821,쾌속 2번 룬,2,1,8,,0,1
710822,쾌속 2번 룬,2,2,8,,0,1
710823,쾌속 2번 룬,2,3,8,,0,1
710824,쾌속 2번 룬,2,4,8,,0,1
710825,쾌속 2번 룬,2,5,8,,0,1
710826,쾌속 2번 룬,2,6,8,,0,1
710827,쾌속 2번 룬,2,7,8,,0,1
710831,쾌속 3번 룬,3,1,8,,0,1
710832,쾌속 3번 룬,3,2,8,,0,1
710833,쾌속 3번 룬,3,3,8,,0,1
710834,쾌속 3번 룬,3,4,8,,0,1
710835,쾌속 3번 룬,3,5,8,,0,1
710836,쾌속 3번 룬,3,6,8,,0,1
710837,쾌속 3번 룬,3,7,8,,0,1
710841,쾌속 4번 룬,4,1,8,,0,1
710842,쾌속 4번 룬,4,2,8,,0,1
710843,쾌속 4번 룬,4,3,8,,0,1
710844,쾌속 4번 룬,4,4,8,,0,1
710845,쾌속 4번 룬,4,5,8,,0,1
710846,쾌속 4번 룬,4,6,8,,0,1
710847,쾌속 4번 룬,4,7,8,,0,1
710851,쾌속 5번 룬,5,1,8,,0,1
710852,쾌속 5번 룬,5,2,8,,0,1
710853,쾌속 5번 룬,5,3,8,,0,1
710854,쾌속 5번 룬,5,4,8,,0,1
710855,쾌속 5번 룬,5,5,8,,0,1
710856,쾌속 5번 룬,5,6,8,,0,1
710857,쾌속 5번 룬,5,7,8,,0,1
710861,쾌속 6번 룬,6,1,8,,0,1
710862,쾌속 6번 룬,6,2,8,,0,1
710863,쾌속 6번 룬,6,3,8,,0,1
710864,쾌속 6번 룬,6,4,8,,0,1
710865,쾌속 6번 룬,6,5,8,,0,1
710866,쾌속 6번 룬,6,6,8,,0,1
710867,쾌속 6번 룬,6,7,8,,0,1
710911,흡혈 1번 룬,1,1,9,1,0,1
710912,흡혈 1번 룬,1,2,9,1,0,1
710913,흡혈 1번 룬,1,3,9,1,0,1
710914,흡혈 1번 룬,1,4,9,1,0,1
710915,흡혈 1번 룬,1,5,9,1,0,1
710916,흡혈 1번 룬,1,6,9,1,0,1
710917,흡혈 1번 룬,1,7,9,1,0,1
710921,흡혈 2번 룬,2,1,9,1,0,1
710922,흡혈 2번 룬,2,2,9,1,0,1
710923,흡혈 2번 룬,2,3,9,1,0,1
710924,흡혈 2번 룬,2,4,9,1,0,1
710925,흡혈 2번 룬,2,5,9,1,0,1
710926,흡혈 2번 룬,2,6,9,1,0,1
710927,흡혈 2번 룬,2,7,9,1,0,1
710931,흡혈 3번 룬,3,1,9,1,0,1
710932,흡혈 3번 룬,3,2,9,1,0,1
710933,흡혈 3번 룬,3,3,9,1,0,1
710934,흡혈 3번 룬,3,4,9,1,0,1
710935,흡혈 3번 룬,3,5,9,1,0,1
710936,흡혈 3번 룬,3,6,9,1,0,1
710937,흡혈 3번 룬,3,7,9,1,0,1
710941,흡혈 4번 룬,4,1,9,1,0,1
710942,흡혈 4번 룬,4,2,9,1,0,1
710943,흡혈 4번 룬,4,3,9,1,0,1
710944,흡혈 4번 룬,4,4,9,1,0,1
710945,흡혈 4번 룬,4,5,9,1,0,1
710946,흡혈 4번 룬,4,6,9,1,0,1
710947,흡혈 4번 룬,4,7,9,1,0,1
710951,흡혈 5번 룬,5,1,9,1,0,1
710952,흡혈 5번 룬,5,2,9,1,0,1
710953,흡혈 5번 룬,5,3,9,1,0,1
710954,흡혈 5번 룬,5,4,9,1,0,1
710955,흡혈 5번 룬,5,5,9,1,0,1
710956,흡혈 5번 룬,5,6,9,1,0,1
710957,흡혈 5번 룬,5,7,9,1,0,1
710961,흡혈 6번 룬,6,1,9,1,0,1
710962,흡혈 6번 룬,6,2,9,1,0,1
710963,흡혈 6번 룬,6,3,9,1,0,1
710964,흡혈 6번 룬,6,4,9,1,0,1
710965,흡혈 6번 룬,6,5,9,1,0,1
710966,흡혈 6번 룬,6,6,9,1,0,1
710967,흡혈 6번 룬,6,7,9,1,0,1
711011,명상 1번 룬,1,1,10,1,0,1
711012,명상 1번 룬,1,2,10,1,0,1
711013,명상 1번 룬,1,3,10,1,0,1
711014,명상 1번 룬,1,4,10,1,0,1
711015,명상 1번 룬,1,5,10,1,0,1
711016,명상 1번 룬,1,6,10,1,0,1
711017,명상 1번 룬,1,7,10,1,0,1
711021,명상 2번 룬,2,1,10,1,0,1
711022,명상 2번 룬,2,2,10,1,0,1
711023,명상 2번 룬,2,3,10,1,0,1
711024,명상 2번 룬,2,4,10,1,0,1
711025,명상 2번 룬,2,5,10,1,0,1
711026,명상 2번 룬,2,6,10,1,0,1
711027,명상 2번 룬,2,7,10,1,0,1
711031,명상 3번 룬,3,1,10,1,0,1
711032,명상 3번 룬,3,2,10,1,0,1
711033,명상 3번 룬,3,3,10,1,0,1
711034,명상 3번 룬,3,4,10,1,0,1
711035,명상 3번 룬,3,5,10,1,0,1
711036,명상 3번 룬,3,6,10,1,0,1
711037,명상 3번 룬,3,7,10,1,0,1
711041,명상 4번 룬,4,1,10,1,0,1
711042,명상 4번 룬,4,2,10,1,0,1
711043,명상 4번 룬,4,3,10,1,0,1
711044,명상 4번 룬,4,4,10,1,0,1
711045,명상 4번 룬,4,5,10,1,0,1
711046,명상 4번 룬,4,6,10,1,0,1
711047,명상 4번 룬,4,7,10,1,0,1
711051,명상 5번 룬,5,1,10,1,0,1
711052,명상 5번 룬,5,2,10,1,0,1
711053,명상 5번 룬,5,3,10,1,0,1
711054,명상 5번 룬,5,4,10,1,0,1
711055,명상 5번 룬,5,5,10,1,0,1
711056,명상 5번 룬,5,6,10,1,0,1
711057,명상 5번 룬,5,7,10,1,0,1
711061,명상 6번 룬,6,1,10,1,0,1
711062,명상 6번 룬,6,2,10,1,0,1
711063,명상 6번 룬,6,3,10,1,0,1
711064,명상 6번 룬,6,4,10,1,0,1
711065,명상 6번 룬,6,5,10,1,0,1
711066,명상 6번 룬,6,6,10,1,0,1
711067,명상 6번 룬,6,7,10,1,0,1
711111,반격 1번 룬,1,1,11,1,0,1
711112,반격 1번 룬,1,2,11,1,0,1
711113,반격 1번 룬,1,3,11,1,0,1
711114,반격 1번 룬,1,4,11,1,0,1
711115,반격 1번 룬,1,5,11,1,0,1
711116,반격 1번 룬,1,6,11,1,0,1
711117,반격 1번 룬,1,7,11,1,0,1
711121,반격 2번 룬,2,1,11,1,0,1
711122,반격 2번 룬,2,2,11,1,0,1
711123,반격 2번 룬,2,3,11,1,0,1
711124,반격 2번 룬,2,4,11,1,0,1
711125,반격 2번 룬,2,5,11,1,0,1
711126,반격 2번 룬,2,6,11,1,0,1
711127,반격 2번 룬,2,7,11,1,0,1
711131,반격 3번 룬,3,1,11,1,0,1
711132,반격 3번 룬,3,2,11,1,0,1
711133,반격 3번 룬,3,3,11,1,0,1
711134,반격 3번 룬,3,4,11,1,0,1
711135,반격 3번 룬,3,5,11,1,0,1
711136,반격 3번 룬,3,6,11,1,0,1
711137,반격 3번 룬,3,7,11,1,0,1
711141,반격 4번 룬,4,1,11,1,0,1
711142,반격 4번 룬,4,2,11,1,0,1
711143,반격 4번 룬,4,3,11,1,0,1
711144,반격 4번 룬,4,4,11,1,0,1
711145,반격 4번 룬,4,5,11,1,0,1
711146,반격 4번 룬,4,6,11,1,0,1
711147,반격 4번 룬,4,7,11,1,0,1
711151,반격 5번 룬,5,1,11,1,0,1
711152,반격 5번 룬,5,2,11,1,0,1
711153,반격 5번 룬,5,3,11,1,0,1
711154,반격 5번 룬,5,4,11,1,0,1
711155,반격 5번 룬,5,5,11,1,0,1
711156,반격 5번 룬,5,6,11,1,0,1
711157,반격 5번 룬,5,7,11,1,0,1
711161,반격 6번 룬,6,1,11,1,0,1
711162,반격 6번 룬,6,2,11,1,0,1
711163,반격 6번 룬,6,3,11,1,0,1
711164,반격 6번 룬,6,4,11,1,0,1
711165,반격 6번 룬,6,5,11,1,0,1
711166,반격 6번 룬,6,6,11,1,0,1
711167,반격 6번 룬,6,7,11,1,0,1
711211,생존 1번 룬,1,1,12,1,0,1
711212,생존 1번 룬,1,2,12,1,0,1
711213,생존 1번 룬,1,3,12,1,0,1
711214,생존 1번 룬,1,4,12,1,0,1
711215,생존 1번 룬,1,5,12,1,0,1
711216,생존 1번 룬,1,6,12,1,0,1
711217,생존 1번 룬,1,7,12,1,0,1
711221,생존 2번 룬,2,1,12,1,0,1
711222,생존 2번 룬,2,2,12,1,0,1
711223,생존 2번 룬,2,3,12,1,0,1
711224,생존 2번 룬,2,4,12,1,0,1
711225,생존 2번 룬,2,5,12,1,0,1
711226,생존 2번 룬,2,6,12,1,0,1
711227,생존 2번 룬,2,7,12,1,0,1
711231,생존 3번 룬,3,1,12,1,0,1
711232,생존 3번 룬,3,2,12,1,0,1
711233,생존 3번 룬,3,3,12,1,0,1
711234,생존 3번 룬,3,4,12,1,0,1
711235,생존 3번 룬,3,5,12,1,0,1
711236,생존 3번 룬,3,6,12,1,0,1
711237,생존 3번 룬,3,7,12,1,0,1
711241,생존 4번 룬,4,1,12,1,0,1
711242,생존 4번 룬,4,2,12,1,0,1
711243,생존 4번 룬,4,3,12,1,0,1
711244,생존 4번 룬,4,4,12,1,0,1
711245,생존 4번 룬,4,5,12,1,0,1
711246,생존 4번 룬,4,6,12,1,0,1
711247,생존 4번 룬,4,7,12,1,0,1
711251,생존 5번 룬,5,1,12,1,0,1
711252,생존 5번 룬,5,2,12,1,0,1
711253,생존 5번 룬,5,3,12,1,0,1
711254,생존 5번 룬,5,4,12,1,0,1
711255,생존 5번 룬,5,5,12,1,0,1
711256,생존 5번 룬,5,6,12,1,0,1
711257,생존 5번 룬,5,7,12,1,0,1
711261,생존 6번 룬,6,1,12,1,0,1
711262,생존 6번 룬,6,2,12,1,0,1
711263,생존 6번 룬,6,3,12,1,0,1
711264,생존 6번 룬,6,4,12,1,0,1
711265,생존 6번 룬,6,5,12,1,0,1
711266,생존 6번 룬,6,6,12,1,0,1
711267,생존 6번 룬,6,7,12,1,0,1
711311,결의 1번 룬,1,1,13,1,0,1
711312,결의 1번 룬,1,2,13,1,0,1
711313,결의 1번 룬,1,3,13,1,0,1
711314,결의 1번 룬,1,4,13,1,0,1
711315,결의 1번 룬,1,5,13,1,0,1
711316,결의 1번 룬,1,6,13,1,0,1
711317,결의 1번 룬,1,7,13,1,0,1
711321,결의 2번 룬,2,1,13,1,0,1
711322,결의 2번 룬,2,2,13,1,0,1
711323,결의 2번 룬,2,3,13,1,0,1
711324,결의 2번 룬,2,4,13,1,0,1
711325,결의 2번 룬,2,5,13,1,0,1
711326,결의 2번 룬,2,6,13,1,0,1
711327,결의 2번 룬,2,7,13,1,0,1
711331,결의 3번 룬,3,1,13,1,0,1
711332,결의 3번 룬,3,2,13,1,0,1
711333,결의 3번 룬,3,3,13,1,0,1
711334,결의 3번 룬,3,4,13,1,0,1
711335,결의 3번 룬,3,5,13,1,0,1
711336,결의 3번 룬,3,6,13,1,0,1
711337,결의 3번 룬,3,7,13,1,0,1
711341,결의 4번 룬,4,1,13,1,0,1
711342,결의 4번 룬,4,2,13,1,0,1
711343,결의 4번 룬,4,3,13,1,0,1
711344,결의 4번 룬,4,4,13,1,0,1
711345,결의 4번 룬,4,5,13,1,0,1
711346,결의 4번 룬,4,6,13,1,0,1
711347,결의 4번 룬,4,7,13,1,0,1
711351,결의 5번 룬,5,1,13,1,0,1
711352,결의 5번 룬,5,2,13,1,0,1
711353,결의 5번 룬,5,3,13,1,0,1
711354,결의 5번 룬,5,4,13,1,0,1
711355,결의 5번 룬,5,5,13,1,0,1
711356,결의 5번 룬,5,6,13,1,0,1
711357,결의 5번 룬,5,7,13,1,0,1
711361,결의 6번 룬,6,1,13,1,0,1
711362,결의 6번 룬,6,2,13,1,0,1
711363,결의 6번 룬,6,3,13,1,0,1
711364,결의 6번 룬,6,4,13,1,0,1
711365,결의 6번 룬,6,5,13,1,0,1
711366,결의 6번 룬,6,6,13,1,0,1
711367,결의 6번 룬,6,7,13,1,0,1
711411,앙심 1번 룬,1,1,14,1,0,1
711412,앙심 1번 룬,1,2,14,1,0,1
711413,앙심 1번 룬,1,3,14,1,0,1
711414,앙심 1번 룬,1,4,14,1,0,1
711415,앙심 1번 룬,1,5,14,1,0,1
711416,앙심 1번 룬,1,6,14,1,0,1
711417,앙심 1번 룬,1,7,14,1,0,1
711421,앙심 2번 룬,2,1,14,1,0,1
711422,앙심 2번 룬,2,2,14,1,0,1
711423,앙심 2번 룬,2,3,14,1,0,1
711424,앙심 2번 룬,2,4,14,1,0,1
711425,앙심 2번 룬,2,5,14,1,0,1
711426,앙심 2번 룬,2,6,14,1,0,1
711427,앙심 2번 룬,2,7,14,1,0,1
711431,앙심 3번 룬,3,1,14,1,0,1
711432,앙심 3번 룬,3,2,14,1,0,1
711433,앙심 3번 룬,3,3,14,1,0,1
711434,앙심 3번 룬,3,4,14,1,0,1
711435,앙심 3번 룬,3,5,14,1,0,1
711436,앙심 3번 룬,3,6,14,1,0,1
711437,앙심 3번 룬,3,7,14,1,0,1
711441,앙심 4번 룬,4,1,14,1,0,1
711442,앙심 4번 룬,4,2,14,1,0,1
711443,앙심 4번 룬,4,3,14,1,0,1
711444,앙심 4번 룬,4,4,14,1,0,1
711445,앙심 4번 룬,4,5,14,1,0,1
711446,앙심 4번 룬,4,6,14,1,0,1
711447,앙심 4번 룬,4,7,14,1,0,1
