id,t_name,type,r_value,r_value_effect,res_icon,cost_eoa,cost_eoa_acc,target,atk_multi,def_multi,hp_multi,cri_chance_add,cri_dmg_add,cri_avoid_add,hit_rate_add,avoid_add,accuracy_add,resistance_add
10203,치명 확률,1,203,치명 확률,,74623,6536827,,,,,1,,,,,,
10204,치명 회피,1,204,치명 회피,,75369,6612196,,,,,,,1,,,,
10205,적중,1,205,적중,,76123,6688319,,,,,,,,1,,,
10206,회피,1,206,회피,,76884,6765203,,,,,,,,,1,,
10207,치명 확률,1,207,치명 확률,,77653,6842856,,,,,1,,,,,,
10208,치명 회피,1,208,치명 회피,,78430,6921286,,,,,,,1,,,,
10209,적중,1,209,적중,,79214,7000500,,,,,,,,1,,,
10210,회피,1,210,회피,,80006,7080506,,,,,,,,,1,,
10211,생명,1,211,생명,,80806,7161312,,,,1,,,,,,,
10212,치명 피해,1,212,치명 피해,,81614,7242926,,,,,,1,,,,,
10213,적중,1,213,적중,,82430,7325356,,,,,,,,1,,,
10214,회피,1,214,회피,,83254,7408610,,,,,,,,,1,,
10215,치명 확률,1,215,치명 확률,,84087,7492697,,,,,1,,,,,,
10216,치명 회피,1,216,치명 회피,,84928,7577625,,,,,,,1,,,,
10217,적중,1,217,적중,,85777,7663402,,,,,,,,1,,,
10218,회피,1,218,회피,,86635,7750037,,,,,,,,,1,,
10219,치명 확률,1,219,치명 확률,,87501,7837538,,,,,1,,,,,,
10220,치명 회피,1,220,치명 회피,,88376,7925914,,,,,,,1,,,,
10221,적중,1,221,적중,,89260,8015174,,,,,,,,1,,,
10222,회피,1,222,회피,,90153,8105327,,,,,,,,,1,,
10223,생명,1,223,생명,,91055,8196382,,,,1,,,,,,,
10224,치명 피해,1,224,치명 피해,,91966,8288348,,,,,,1,,,,,
10225,적중,1,225,적중,,92886,8381234,,,,,,,,1,,,
10226,회피,1,226,회피,,93815,8475049,,,,,,,,,1,,
10227,치명 확률,1,227,치명 확률,,94753,8569802,,,,,1,,,,,,
10228,치명 회피,1,228,치명 회피,,95701,8665503,,,,,,,1,,,,
10229,적중,1,229,적중,,96658,8762161,,,,,,,,1,,,
10230,회피,1,230,회피,,97625,8859786,,,,,,,,,1,,
10231,치명 확률,1,231,치명 확률,,98601,8958387,,,,,1,,,,,,
10232,치명 회피,1,232,치명 회피,,99587,9057974,,,,,,,1,,,,
10233,적중,1,233,적중,,100583,9158557,,,,,,,,1,,,
10234,회피,1,234,회피,,101589,9260146,,,,,,,,,1,,
10235,생명,1,235,생명,,102605,9362751,,,,1,,,,,,,
10236,치명 피해,1,236,치명 피해,,103631,9466382,,,,,,1,,,,,
10237,적중,1,237,적중,,104667,9571049,,,,,,,,1,,,
10238,회피,1,238,회피,,105714,9676763,,,,,,,,,1,,
10239,치명 확률,1,239,치명 확률,,106771,9783534,,,,,1,,,,,,
10240,치명 회피,1,240,치명 회피,,107839,9891373,,,,,,,1,,,,
10241,적중,1,241,적중,,108917,10000290,,,,,,,,1,,,
10242,회피,1,242,회피,,110006,10110296,,,,,,,,,1,,
10243,치명 확률,1,243,치명 확률,,111106,10221402,,,,,1,,,,,,
10244,치명 회피,1,244,치명 회피,,112217,10333619,,,,,,,1,,,,
10245,적중,1,245,적중,,113339,10446958,,,,,,,,1,,,
10246,회피,1,246,회피,,114472,10561430,,,,,,,,,1,,
10247,생명,1,247,생명,,115617,10677047,,,,1,,,,,,,
10248,치명 피해,1,248,치명 피해,,116773,10793820,,,,,,1,,,,,
10249,적중,1,249,적중,,117941,10911761,,,,,,,,1,,,
10250,회피,1,250,회피,,119120,11030881,,,,,,,,,1,,
10251,치명 확률,1,251,치명 확률,,120311,11151192,,,,,1,,,,,,
10252,치명 회피,1,252,치명 회피,,121514,11272706,,,,,,,1,,,,
10253,적중,1,253,적중,,122729,11395435,,,,,,,,1,,,
10254,회피,1,254,회피,,123956,11519391,,,,,,,,,1,,
10255,치명 확률,1,255,치명 확률,,125196,11644587,,,,,1,,,,,,
10256,치명 회피,1,256,치명 회피,,126448,11771035,,,,,,,1,,,,
10257,적중,1,257,적중,,127712,11898747,,,,,,,,1,,,
10258,회피,1,258,회피,,128989,12027736,,,,,,,,,1,,
10259,생명,1,259,생명,,130279,12158015,,,,1,,,,,,,
10260,치명 피해,1,260,치명 피해,,131582,12289597,,,,,,1,,,,,
10261,적중,1,261,적중,,132898,12422495,,,,,,,,1,,,
10262,회피,1,262,회피,,134227,12556722,,,,,,,,,1,,
10263,치명 확률,1,263,치명 확률,,135569,12692291,,,,,1,,,,,,
10264,치명 회피,1,264,치명 회피,,136925,12829216,,,,,,,1,,,,
10265,적중,1,265,적중,,138294,12967510,,,,,,,,1,,,
10266,회피,1,266,회피,,139677,13107187,,,,,,,,,1,,
10267,치명 확률,1,267,치명 확률,,141074,13248261,,,,,1,,,,,,
10268,치명 회피,1,268,치명 회피,,142485,13390746,,,,,,,1,,,,
10269,적중,1,269,적중,,143910,13534656,,,,,,,,1,,,
10270,회피,1,270,회피,,145349,13680005,,,,,,,,,1,,
10271,생명,1,271,생명,,146802,13826807,,,,1,,,,,,,
10272,치명 피해,1,272,치명 피해,,148270,13975077,,,,,,1,,,,,
10273,적중,1,273,적중,,149753,14124830,,,,,,,,1,,,
10274,회피,1,274,회피,,151251,14276081,,,,,,,,,1,,
10275,치명 확률,1,275,치명 확률,,152764,14428845,,,,,1,,,,,,
10276,치명 회피,1,276,치명 회피,,154292,14583137,,,,,,,1,,,,
10277,적중,1,277,적중,,155835,14738972,,,,,,,,1,,,
10278,회피,1,278,회피,,157393,14896365,,,,,,,,,1,,
10279,치명 확률,1,279,치명 확률,,158967,15055332,,,,,1,,,,,,
10280,치명 회피,1,280,치명 회피,,160557,15215889,,,,,,,1,,,,
10281,적중,1,281,적중,,162163,15378052,,,,,,,,1,,,
10282,회피,1,282,회피,,163785,15541837,,,,,,,,,1,,
10283,생명,1,283,생명,,165423,15707260,,,,1,,,,,,,
10284,치명 피해,1,284,치명 피해,,167077,15874337,,,,,,1,,,,,
10285,적중,1,285,적중,,168748,16043085,,,,,,,,1,,,
10286,회피,1,286,회피,,170435,16213520,,,,,,,,,1,,
10287,치명 확률,1,287,치명 확률,,172139,16385659,,,,,1,,,,,,
10288,치명 회피,1,288,치명 회피,,173860,16559519,,,,,,,1,,,,
10289,적중,1,289,적중,,175599,16735118,,,,,,,,1,,,
10290,회피,1,290,회피,,177355,16912473,,,,,,,,,1,,
10291,치명 확률,1,291,치명 확률,,179129,17091602,,,,,1,,,,,,
10292,치명 회피,1,292,치명 회피,,180920,17272522,,,,,,,1,,,,
10293,적중,1,293,적중,,182729,17455251,,,,,,,,1,,,
10294,회피,1,294,회피,,184556,17639807,,,,,,,,,1,,
10295,생명,1,295,생명,,186402,17826209,,,,1,,,,,,,
10296,치명 피해,1,296,치명 피해,,188266,18014475,,,,,,1,,,,,
10297,적중,1,297,적중,,190149,18204624,,,,,,,,1,,,
10298,회피,1,298,회피,,192050,18396674,,,,,,,,,1,,
10299,치명 확률,1,299,치명 확률,,193971,18590645,,,,,1,,,,,,
10300,치명 회피,1,300,치명 회피,,195911,18786556,,,,,,,1,,,,
10301,적중,1,301,적중,,197870,18984426,,,,,,,,1,,,
10302,회피,1,302,회피,,199849,19184275,,,,,,,,,1,,
10303,치명 확률,1,303,치명 확률,,201847,19386122,,,,,1,,,,,,
10304,치명 회피,1,304,치명 회피,,203865,19589987,,,,,,,1,,,,
10305,적중,1,305,적중,,205904,19795891,,,,,,,,1,,,
10306,회피,1,306,회피,,207963,20003854,,,,,,,,,1,,
10307,생명,1,307,생명,,210043,20213897,,,,1,,,,,,,
10308,치명 피해,1,308,치명 피해,,212143,20426040,,,,,,1,,,,,
10309,적중,1,309,적중,,214264,20640304,,,,,,,,1,,,
10310,회피,1,310,회피,,216407,20856711,,,,,,,,,1,,
10311,치명 확률,1,311,치명 확률,,218571,21075282,,,,,1,,,,,,
10312,치명 회피,1,312,치명 회피,,220757,21296039,,,,,,,1,,,,
10313,적중,1,313,적중,,222965,21519004,,,,,,,,1,,,
10314,회피,1,314,회피,,225195,21744199,,,,,,,,,1,,
10315,치명 확률,1,315,치명 확률,,227447,21971646,,,,,1,,,,,,
10316,치명 회피,1,316,치명 회피,,229721,22201367,,,,,,,1,,,,
10317,적중,1,317,적중,,232018,22433385,,,,,,,,1,,,
10318,회피,1,318,회피,,234338,22667723,,,,,,,,,1,,
10319,생명,1,319,생명,,236681,22904404,,,,1,,,,,,,
10320,치명 피해,1,320,치명 피해,,239048,23143452,,,,,,1,,,,,
10321,적중,1,321,적중,,241438,23384890,,,,,,,,1,,,
10322,회피,1,322,회피,,243852,23628742,,,,,,,,,1,,
10323,치명 확률,1,323,치명 확률,,246291,23875033,,,,,1,,,,,,
10324,치명 회피,1,324,치명 회피,,248754,24123787,,,,,,,1,,,,
10325,적중,1,325,적중,,251242,24375029,,,,,,,,1,,,
10326,회피,1,326,회피,,253754,24628783,,,,,,,,,1,,
10327,치명 확률,1,327,치명 확률,,256292,24885075,,,,,1,,,,,,
10328,치명 회피,1,328,치명 회피,,258855,25143930,,,,,,,1,,,,
10329,적중,1,329,적중,,261444,25405374,,,,,,,,1,,,
10330,회피,1,330,회피,,264058,25669432,,,,,,,,,1,,
10331,생명,1,331,생명,,266699,25936131,,,,1,,,,,,,
10332,치명 피해,1,332,치명 피해,,269366,26205497,,,,,,1,,,,,
10333,적중,1,333,적중,,272060,26477557,,,,,,,,1,,,
10334,회피,1,334,회피,,274781,26752338,,,,,,,,,1,,
10335,치명 확률,1,335,치명 확률,,277529,27029867,,,,,1,,,,,,
10336,치명 회피,1,336,치명 회피,,280304,27310171,,,,,,,1,,,,
20001,효과 적중,2,1,효과 적중,,10000,10000,,,,,,,,,,1,
20002,효과 저항,2,2,효과 저항,,10100,20100,,,,,,,,,,,1
20003,치명 확률,2,3,치명 확률,,10201,30301,,,,,1,,,,,,
20004,치명 회피,2,4,치명 회피,,10303,40604,,,,,,,1,,,,
20005,효과 적중,2,5,효과 적중,,10406,51010,,,,,,,,,,1,
20006,효과 저항,2,6,효과 저항,,10510,61520,,,,,,,,,,,1
20007,공격,2,7,공격,,10615,72135,,1,,,,,,,,,
20008,방어,2,8,방어,,10721,82856,,,1,,,,,,,,
20009,효과 적중,2,9,효과 적중,,10828,93684,,,,,,,,,,1,
20010,효과 저항,2,10,효과 저항,,10936,104620,,,,,,,,,,,1
20011,치명 확률,2,11,치명 확률,,11045,115665,,,,,1,,,,,,
20012,치명 회피,2,12,치명 회피,,11155,126820,,,,,,,1,,,,
20013,효과 적중,2,13,효과 적중,,11267,138087,,,,,,,,,,1,
20014,효과 저항,2,14,효과 저항,,11380,149467,,,,,,,,,,,1
20015,치명 확률,2,15,치명 확률,,11494,160961,,,,,1,,,,,,
20016,치명 회피,2,16,치명 회피,,11609,172570,,,,,,,1,,,,
20017,효과 적중,2,17,효과 적중,,11725,184295,,,,,,,,,,1,
20018,효과 저항,2,18,효과 저항,,11842,196137,,,,,,,,,,,1
20019,공격,2,19,공격,,11960,208097,,1,,,,,,,,,
20020,방어,2,20,방어,,12080,220177,,,1,,,,,,,,
20021,효과 적중,2,21,효과 적중,,12201,232378,,,,,,,,,,1,
20022,효과 저항,2,22,효과 저항,,12323,244701,,,,,,,,,,,1
20023,치명 확률,2,23,치명 확률,,12446,257147,,,,,1,,,,,,
20024,치명 회피,2,24,치명 회피,,12570,269717,,,,,,,1,,,,
20025,효과 적중,2,25,효과 적중,,12696,282413,,,,,,,,,,1,
20026,효과 저항,2,26,효과 저항,,12823,295236,,,,,,,,,,,1
20027,치명 확률,2,27,치명 확률,,12951,308187,,,,,1,,,,,,
20028,치명 회피,2,28,치명 회피,,13081,321268,,,,,,,1,,,,
20029,효과 적중,2,29,효과 적중,,13212,334480,,,,,,,,,,1,
20030,효과 저항,2,30,효과 저항,,13344,347824,,,,,,,,,,,1
20031,공격,2,31,공격,,13477,361301,,1,,,,,,,,,
20032,방어,2,32,방어,,13612,374913,,,1,,,,,,,,
20033,효과 적중,2,33,효과 적중,,13748,388661,,,,,,,,,,1,
20034,효과 저항,2,34,효과 저항,,13885,402546,,,,,,,,,,,1
20035,치명 확률,2,35,치명 확률,,14024,416570,,,,,1,,,,,,
20036,치명 회피,2,36,치명 회피,,14164,430734,,,,,,,1,,,,
20037,효과 적중,2,37,효과 적중,,14306,445040,,,,,,,,,,1,
20038,효과 저항,2,38,효과 저항,,14449,459489,,,,,,,,,,,1
20039,치명 확률,2,39,치명 확률,,14593,474082,,,,,1,,,,,,
20040,치명 회피,2,40,치명 회피,,14739,488821,,,,,,,1,,,,
20041,효과 적중,2,41,효과 적중,,14886,503707,,,,,,,,,,1,
20042,효과 저항,2,42,효과 저항,,15035,518742,,,,,,,,,,,1
20043,공격,2,43,공격,,15185,533927,,1,,,,,,,,,
20044,방어,2,44,방어,,15337,549264,,,1,,,,,,,,
20045,효과 적중,2,45,효과 적중,,15490,564754,,,,,,,,,,1,
20046,효과 저항,2,46,효과 저항,,15645,580399,,,,,,,,,,,1
20047,치명 확률,2,47,치명 확률,,15801,596200,,,,,1,,,,,,
20048,치명 회피,2,48,치명 회피,,15959,612159,,,,,,,1,,,,
20049,효과 적중,2,49,효과 적중,,16119,628278,,,,,,,,,,1,
20050,효과 저항,2,50,효과 저항,,16280,644558,,,,,,,,,,,1
20051,치명 확률,2,51,치명 확률,,16443,661001,,,,,1,,,,,,
