idx,nickname,msg,type
89,,¡Domador! ¡Bienvenido al mundo de Dragon Village M!,newbie_welcome
90,,¡Variedad de contenido! ¡Retos infinitos! ¡Batallas estratégicas!,newbie_welcome
91,,¡Formación RPG del dragón!,newbie_welcome
92,,¡Variada infinidad de cientos de dragones que incluyen desde habilidad hasta apariencia!,newbie_welcome
93,,¡¡Tiernos~ adorables~ elegantes!! Reúne dragones llenos de personalidad de diez puntos!,newbie_welcome
94,,¡Un juego que tiene a los más elegantes del mundo!,newbie_welcome
95,,¡Variedad de cientos de dragones para que formes a tu propio dragón!,newbie_welcome
96,,¡Emocionantes combates en el Coliseo para decidir la victoria!,newbie_welcome
97,흑풍검,드빌3살된거 축하해,3rd_anniversary
98,이지스,골라님 3주년 축하드리고요 드빌M 정말정말 재밌고 좋아요 그러니까 마은 편히 가지시고 카페에도 공지말고도 많이많이 놀러와요 ㅎㅎ 드빌M 재밌습니다 !!,3rd_anniversary
99,모피,3주년 축하드립니다!,3rd_anniversary
100,unpyo2004,어느날 다시 생각나 입듭했다가 푹 빠져서 현질까지 해버렸골.. 드빌3주년 축하하고 드빌 이야기 꺼내면 -틀- 소리 들을 때 까지 오래오래 운영해주시면 고맙겠골! 그때까지 떠나지 않을거골,3rd_anniversary
101,마라벨,얼마 안된것 같은데 벌써 3주년이나 되었네요 섭종하지 않고 계속 운영해주세요! 드빌m 3주년 축하해요!,3rd_anniversary
102,sky새벽빛,제가 듭M하면서 이렇게 던전 편의성과 각각의 이벤트 하신점에서 아주 칭찬합니다 아 그리고 드빌M 3주년 축하드리고 만드라고라님 5주년 되시면 제가 직접 산삼을 먹어보도록.....농담입니다 이힛^^ 쨌든 드빌M3주년 축하드려요,3rd_anniversary
103,초밥주스,3주년 축하축하 드빌재밌어오~~이번에 복커했는데 시간가는줄모르고 하고있네요 ㅋㅋ휴빌은있어도 탈빌은없다..!,3rd_anniversary
104,xhdxhdqlcm123,3주년 축하드립니다^^,3rd_anniversary
105,l금달l날다람쥐,3주년 축하드립니다. 앞으로도 잘좀해주시골ㅎ,3rd_anniversary
106,분발하세요,골라형님무과금힐러좀 - 드빌 3살 기쁜 www,3rd_anniversary
107,쥬디악,대체 불가 갓겜! 제 취향에 너무 딱 맞아서 플레이 한지 얼마 안된거같은데 이 게임은 벌써 3주년이네요... 오래오래 하고 싶은 게임인 만큼 앞으로도 분란 없이 행복한 드빌m 됐으면 좋겠습니다! 3주년 축하해요♡,3rd_anniversary
108,LIBRA,드빌이란게임의 3번째 시리즈가 드빌m인걸로 압니다! 3번째 드빌의 3주년을 축하드립니다!,3rd_anniversary
109,바닐라밀크,3살이라니 나이많골~~ 앞으로도 계속 재밋게 가즈아!! 축하해 용용이,3rd_anniversary
110,ㅣ백화ㅣ똥개,듭엠 3주년 진심으로 축하드립니다! 제가 여러 게임을 해봤는데(사실 2~3개만 함 ㅋㅋ)개인적으론 드빌시리즈중에선 드빌M이 제일 제 취향에 맞는 거 같더라고요 ㅎㅎ타겜과 비교해봐도 드빌M처럼 일러스트가 좋고 재밌는 게임은 본 적이 없습니다 ㅎ 듭엠이 10주년 맞이하는 날엔 제가 골드도라지를 직접 먹겠습니다! 앞으로도 오래오래 건강하게 운영해주세요! 드빌 M 화이팅입니다~!,3rd_anniversary
111,아론페이지,드빌M 3주년 너무너무 축하합니다!^^,3rd_anniversary
112,냥덕,"이보게 듭엠 양반, 3살된거 축하하고 사진에 물스트라라니, 너무 좋소.(불롤리.. 우편으로...)",3rd_anniversary
113,l흑달l오월,드빌 3주년 축하해용 ~ 시작한지 이제 6개월차지만 오래오래 봅시다 골라님 ㅎㅎ,3rd_anniversary
114,뿌로스트,3주년 축하합니다! 오래가는 드빌 되길 바래요,3rd_anniversary
115,능파,3주년이라니...오랜시간 함께했네요 축하 축하합니다^^,3rd_anniversary
116,마녘,3주년 축하드려요~~ 오래오래 가길...,3rd_anniversary
117,l금달l풀문,벌써 3주년이 다되었네요 :) 앞으로도 더욱 발전할수 있는 하이브로가 되었으면 바라고 드빌m도 더욱 번창하기를 빕니다 :),3rd_anniversary
118,l흑달l화랑모티스,드빌 3주년 축하한다고라. 앞으로도 재미있는 컨텐츠 기대한다고라.,3rd_anniversary
119,반했다,드빌3주년 축하드립니당~~!,3rd_anniversary
120,덜컸다,17년 처음 해볼때가 생각나네요ㅎㅎ 앞으로 더 잘해주시골ㅎㅎ,3rd_anniversary
121,키갈,듭m 3주년 축하드리고 앞으로도 운영 잘해주세요!,3rd_anniversary
122,둥상,3주년 축하드립니다! 귀여운 용용이들과 함께할수있어서 기뻐요! 오래갑시다^^,3rd_anniversary
123,갓갓갓,드빌 흥하라!!!흥!! 유저를 위해 흥!,3rd_anniversary
124,I시노미야카구야I,3주년 정말 축하드려요~앞으로도 화이팅!,3rd_anniversary
125,기도하는카르나,4주년까지 갈 자신있으면 절전알 뿌리기로 증명해보시골,3rd_anniversary
126,l흑달l공허,벌써 3주년! 오래 오래 가길~,3rd_anniversary
127,십이수,"십이수, 3주년 정말 축하드리고 3주년 이벤트 기대하고 있겠습니다.",3rd_anniversary
128,프란세스크4,벌써 3주년이라니 믿기지 않네요 ㅎㅎ 앞으로도 소소하게 행복을 주는 게임으로 남길 바랍니다! 3주년 축하드려요~,3rd_anniversary
129,키일드,3주년 너무 축하드려요! 오픈부터 함께했던 게임이 이렇게 성장하니 기분이 좋네요~ 앞으로 5주년 10주년까지 갔으면 하는 마음입니다♡ 드래곤빌리지M 화이팅!,3rd_anniversary
130,l금달l쇼메이커,드빌 3주년 축하 합니다,3rd_anniversary
131,l은달lLyrics,드빌 3주년 축하합니다!!! 오랫동안 꾸준히 하고있는 몇안되는게임 더욱 번창하면 좋겠네요.,3rd_anniversary
132,또뺑,3주년 축하하골~~ 많은 변화 기대 하겟골~~,3rd_anniversary
133,딸기망고,이렇게 애정으로 게임하는 건 드빌밖에 없네요 ㅎㅎ 3주년 축하드려요~,3rd_anniversary
134,물결치는바다,코로나때문에 힘들지만 3주년 축하하골~ 모두들 건강하고 힘내는 한해가 되라골~,3rd_anniversary
135,스카이업,3주년 축하드립니다 이제 컨텐츠 추가만..,3rd_anniversary
136,l금달l머더샌즈,3주년 축하드려요. 5주년까지 화이팅입니다 ^^,3rd_anniversary
137,Air6028,축하해요!! 수고많으셨어요,3rd_anniversary
138,DOKDO,벌써 3주년이라니ㅎㅎ 드빌m화이팅!!하브 화이팅!!,3rd_anniversary
139,I은달I카준,3주년 축하합니다 변화 기대하겠습니다 ㅎ,3rd_anniversary
140,냐옹,드빌 3주년 축하드려여~,3rd_anniversary
141,기회의찬스,3주년 축하 하며 스킬계수 공개해 주면 좋겠네요.,3rd_anniversary
142,납관사삽존잘,벌써 3년이라니 앞으로도 파이팅,3rd_anniversary
143,레몬파르페,3주년 축하축하! 계속 흥해서 4주년 5주년도 쭈욱! 가봅시다!,3rd_anniversary
144,모모파파,3주년 콩그레츄레이션!! 갓겜 드빌 30주년까지 가즈아~!!,3rd_anniversary
145,2MuchVice,복귀한지 얼마 안 되었는데 3주년이라니 @_@ 3년 전에 처음 시작할때 추억이 새록새록 떠오르네요. 앞으로도 좋은 게임이 되길 바래요,3rd_anniversary
146,靑雷므믕,드빌 3주년 축하합니다~~ 골라님도 유저들도 오래오래 함께해용??,3rd_anniversary
147,둥빈이,3주년 축하드립니다,3rd_anniversary
148,ll창천ll스키,골라님 4주년때도 우리 같이놀길 바래요 ㅎㅎ 앞으론 더 소통해주는 골라가 되어주셔요 ㅎㅎ 근데 날개 300개는 좀 ㅎㅎ.. 3333두아니구.. 아이아이 ㅎㅎ 축하합니다!,3rd_anniversary
149,알파만파,3주년 축하드립니다!! 앞으로의 발전 기대하고 응원합니다!!,3rd_anniversary
150,륜란,ㅊㅊㅊㅊ 3주년이벤 기대를 하고싶지뭐얌 ㅋㅋㅋㅋ,3rd_anniversary
151,건전한닉네임116,이래저래 많은 일 있었지만 앞으로도 더 좋은 게임이 될 거라고 믿겠습니다,3rd_anniversary
152,슈페르테제,"3주년♡축하드립니다. 새로운용출시, 컨텐츠개발 등 매시간매일고심하시기에 꾸준히유저들이 생기는거라고생각합니다. 
모든유저들의만족을시키는게임은없어요. 다만 한번더귀기울이시고 계속개발하고운영하신다면 3주년이10주년이될수있다고생각합니다ㅎㅎ 
저한테는첫이벤트여서 두근한마음으로기다리겠습니다.3주년축하드립니다:)",3rd_anniversary
153,맥주와연어초밥,3주년 축하드립니다 사랑합니다 / 맥주와연어초밥,3rd_anniversary
154,jj2007,드빌m 3주년 축하드립니다.,3rd_anniversary
155,김재원내따까리,드빌M 3주년 축하드리고 앞으로 최소 3년은 더 운영하시죠 군대 가기전까지 열심히 하겠습니다 ㅋㅋ,3rd_anniversary
156,늑대목돌,드빌m3주년 축하드려요 10주년까지 달리자 렛츠고~렛고,3rd_anniversary
157,l은달l망고,진심으로 3주년 축하드립니다. 운영이라는게 참 힘들죠 항상힘내시고 앞으로도 잘부탁드립니다. 젤루다가 좋아하는게임이니 항상 잘됐으면 좋겠어요 2020년 남은기간 웃는일만있으시길.,3rd_anniversary
158,원더 좀 주세요 ㅠㅠ,드빌m 3주년 축하한다골~~~~~~드빌이 내 인생겜이다골~~~~그리고 드빌은 내 최애캐인 드슬을 만들어 주었다골~~~~~고맙다골~~~~~~내가 현질할수있는 7년후까지 있어 달라골~~~~~부탁드린다골~~~~그럼 좋은 드빌 하시라골~~~~~,3rd_anniversary
159,집술,드빌 복귀했더니 금방 3주년이네요 세 살이 된 걸 축하합니다! 앞으로도 계속 흥해서 십주년 축하도 하고싶어요,3rd_anniversary
160,l은달l기억,3주년축하합니다!더좋은컨텐츠많이부탁드립니다잉,3rd_anniversary
161,노토끼,드빌의 3주년을 축하합니다!!! 드빌이 3주년이 되었다니 축하할 일이군요 드빌의 3주년을 축하 하며 드빌이 10주년이 될때까지 모두 화이팅!!!!!,3rd_anniversary
162,DOK극물,드빌M만수무강하골!,3rd_anniversary
163,l은달l2승9패,3주년 축하드립니다 ^^,3rd_anniversary
164,l은달l닭강정,3주년 축하하골 그기념으로 절전알 어떠냐골...?,3rd_anniversary
165,l은달l바나디스,"2년을 같이보낸 드빌m, 3년도 같이보내길바래요",3rd_anniversary
166,마인트tm,3주년 추카추카추카~ 앞으로도 더욱더 발전하고 소통하는 하브와 듭M이 되길 기대합니당~!,3rd_anniversary
167,靑雷카바라기,벌써 3주년 (><)/ 추카추카포카포카 3주년에도 4주년에도 5주년에도 오직 한분만 바라봅니다(><)(><)(><),3rd_anniversary
168,보나우도,3주년 경~축! 2주년때추카하며 드빌을시작했는데어느덧1년이 지났네요3주년추카드리고 번창하세요ㅋ,3rd_anniversary
169,dlfjsqndtls1,2주년때추카하며 드빌을시작했는데어느덧1년이 지났네요3주년추카드리고 번창하세요ㅋ,3rd_anniversary
170,우아아아아,5252 골라님 믿고 있었다고요! 우릴 위해 3주년 열심히 준비해 주시다니 감사합니다!! 앞으로도 쪽 함께 갑시다!!,3rd_anniversary
171,별빛냥,3주년 축하드립니다!!,3rd_anniversary
172,|은달|라온,드래곤 빌리지 m 출시때 하다가 접구 다시 복귀해서 재밌게 하고있습니다~!! 3주년 축하하구 3주년 지나 10주년까지 쭉 달리는 게임이 되기를 빌어요!!,3rd_anniversary
173,샴siam,이겜 너무 좋고 잼있습니다~ 타겜과 다르게 골드라고라님 넘 귀여우시고 소통도 자주 해주셔서 좋아요 ♡ 앞으로도 좋은 운영 부탁드리고 3주년 축하드립니다,3rd_anniversary
174,Heok,가슴이 웅장해지는 3주년 축하..,3rd_anniversary
175,불사의영웅,3주년 축하해 드래곤빌리지 :),3rd_anniversary
176,IC단밤,3주년 축하드리골~~^^ 이벤트많이좀 해주세골~~,3rd_anniversary
177,용병뿡,3주년 축하드려요..!!! 456주년까지 쭉쭉!!!,3rd_anniversary
178,Beriya,3주년 다같이 축하해요! >.< 꽃길만 걷는 드빌m 가즈아~,3rd_anniversary
179,Yuzion,드빌m을 시작하게 된건 어렸을때 했던 드빌이 너무 재미있어서 동심으로 돌아가보고자 했는데 고2때 제2의 동심이 생긴거 같네요. 정말 저의 어린 시절을 함께해준 드빌 그리고 앞으로 계속할 드빌m! 3주년 축하하구 앞으로도 잘 부탁드립니다(?´▽`?),3rd_anniversary
180,예카,앞으론 운영 잘좀 부탁합니다~~~~~~~~~~ 3주년 축하합니다~~,3rd_anniversary
181,아이유이지금,3년가까이 하면서 정도 많이 든 게임인데 3주년 진심으로 축하합니다!앞으로도 좋은 게임운영 부탁드립니다.,3rd_anniversary
182,냐냐냐냥냐옹,3년동안 힘내서 일한 드빌 축하하고 2년동안 달려와준 골라 수고했다 이제 다시 꽃길만 걷자,3rd_anniversary
183,하얀얄라리,드빌m 3주년 축하해요~,3rd_anniversary
184,형광펜,"와 드빌m이 벌써 3주년이라니요..!! 드빌m 출시했다고 알람이 온게 엊그제 같아요..!! 처음에 닉 선점도 한다고 부랴부랴 홈페이지 들어갔던게 엊그제 같네요.. 이대로 5주년, 10주년까지 아주 국민 장수 겜이 되도록 열심히 운영해주세요! 옆에서 같이 즐기며 응원하겠습니다! 듭엡 화이팅!",3rd_anniversary
185,데미슈다,드빌 3주년 축하하고 앞으로도 오래오래 함께해요!,3rd_anniversary
186,아이즈발렌슈타인,3주년 ㅊㅋ합니다... 오랫동안 겜 즐겼으면 하네요... 서로 화이팅입니다^^,3rd_anniversary
187,상민이상민78,3주년 축하합니다~ 30주년까지 파이팅!,3rd_anniversary
188,하늘의태사자,3주년 축하축하~4주년까지도 화이팅!! ^^,3rd_anniversary
189,짱짱맨지방맨,내 계정이 날라가서 다시 하고 있골 드질 덕분에 시간많이 때웠골(그덕에 등짝쓰매싱도...) 앞으로 현질도 조금 해보겠골 절대 섭종하지 말라골,3rd_anniversary
190,lFCl흑우쓰,3주년 이벤 꼭 갓이벤이길 기대하고 있을게여~ㅎㅎㅎ,3rd_anniversary
191,플루티,3주년 축하드려요^^ 앞으로 더 발전하고 소통하는 드빌 되길 바랍니다! 섭종 없이 오래오래 좋은 운영부탁드려요^^!,3rd_anniversary
192,이하운,3주년 넘어서 4주년까지 무사히 가길.,3rd_anniversary
193,맛좋은갈치,3주년 축하드려요 ㅠㅠㅠ 앞으로 더욱 유저들과 소통하고 모두가 만족할만한 운영을 하시리라 믿어요!,3rd_anniversary
194,쿠밤,시작한지 두달 되었지만 3년의 애정을 가지고 하고 있습니다. 3주년 축하합니다.,3rd_anniversary
195,햄찌먹는늑대,"와 드빌1,2 드빌 M까지 다 즐겨봣고 이렇게 오래 애정하며 한 게임은 오랜만인거같네요. 셋다 하는 사람으로써 오래오래 했으면 좋겟습니다. 드빌 M 3주년 축하드립니다.",3rd_anniversary
196,나갈,3주년 축하~~ 30주년 까지 가즈아,3rd_anniversary
197,반하리,오래 유지되길바라며 3주년 축하합니다,3rd_anniversary
198,글토리,3주년 진심으로 축하합니다! 오래오래 함께해요^^,3rd_anniversary
199,ㅣ소izzieㅣ,"3주년 매우매우 축하해요~~~드빌M게임 매일매일 접속하고 재미있기 게임 하고 있어요~~4주년도 5주년도 6주년 등등 도 재미있게 부탁 드려요~~하이브로도, 골라님도 사랑해요~~^^",3rd_anniversary
200,퍼플아이,발전하는 드빌m 3주년 축하합니다.,3rd_anniversary
201,IFCI한지쓰,드빌...정말 제 인생겜입니다 듭2부터 했었는데 듭m넘어오면서 더 재밌어졌어요ㅎㅎ 어쨋든 3주년 축하드리고 이대로 계속 번창하기를 기원합니다!!,3rd_anniversary
202,II창천II탈주닌자,"드빌 3주년 축하드리골~~~ 3베루스는 너무하골... 하지만 전 포기하지 않겠골... 언젠가 좋은거 주겠골!!! 다시 한 번 3주년 축하하고 신규, 복귀유저 이벤트 개발자노트 등 신경 많이 써서 오래오래 갔으면 좋겠골!!!",3rd_anniversary
203,닉넴:빛솔라너무귀엽다,오래오래 서비스 해주세요! 제 최애겜입니다.,3rd_anniversary
204,영율,드빌M3주년!! 축하축하해요~,3rd_anniversary
205,블씨,3주년 축하하니까 그리 아세요.,3rd_anniversary
206,강삼식,드빌m 3주년 축하합니다~ 올 초부터 재밌게 즐기고 있어요. 앞으로도 좋은 컨텐츠 기대하겠습니다~~,3rd_anniversary
207,b1in2,운영진들 사랑한다골~,3rd_anniversary
208,상하이로맨스,드빌 3주년 축하드립니다~~!,3rd_anniversary
209,빛미니드래곤,골라님 3주년 축하드립니다!!,3rd_anniversary
210,흐노니,3주년 진심으로 축하하고 앞으로 오래오래 함께가는 드빌m이 되었으면 좋겠어요!!,3rd_anniversary
211,Excellen,고라고라~멋있는 애기다골~!! 기대실~컷 하고있으니 마음이 급하골~^!^♡♡♡♡♡,3rd_anniversary
212,유인아,드빌 축하합니다^ .^ 내월급 가져가는 드빌 흥하자,3rd_anniversary
213,웜교,초딩 감성 영원히! 드빌 파이팅,3rd_anniversary
214,응아집착광공김납,드빌 장수하네 빛트페좀 띄워주세요,3rd_anniversary
215,Jekyll,드빌m 재밌게하구있구요 모두들 즐겁게 그리고 건강했으면 좋겠습니다,3rd_anniversary
216,l소로l일이,드빌 m 드디어 3살이구낭.. 골드라고라님 앞으로도 잘 부탁한다골!,3rd_anniversary
217,고퀄리티,3주년 축하드립니다..저시작한지 6개월 됐는데 섭종 안되요~~,3rd_anniversary
218,멋진내가참는다,드래곤빌리지를 유치원생때부터 좋아해왔고 벌써 드래곤빌리지m이 3주년이 되었네요. 앞으로도 나날이 발전해가는 드빌m이 되었으면 좋겠네요. 드래곤빌리지m 화이팅!!,3rd_anniversary
219,시월향,3주년 축하합니다 이대로 오래오래 갑시다,3rd_anniversary
220,루엔티,3주년 매우매우 축하드리골 기대하고 있겠골,3rd_anniversary
221,윤스타픽,3주년 축하합니다. 가볍게 10주년까지 달려봅시다~~,3rd_anniversary
222,밥버러지,"듭M 3주년 축하합니다. 유저에게도 기쁜 일이지만 개발자, 운영진, 지원회사에게 감사하고 축한다고 말해주고 싶습니다.",3rd_anniversary
223,가나다라마바사아자돼,드빌m아 3주년도 잘 부탁한다골!,3rd_anniversary
224,남극살이,저는 개인적으로 드래곤을 좋아하는데여 이 게임이 제가 한 드래곤 게임중에 가장 퀄이 좋고 재미났던거 같애요♡.♡ 저처럼 탈듭이 마음처럼 쉽게 되지 않게 만드는 것 역시 이 게임의 매력이라고 생각합니다. 또한 우리 카페를 위해 힘써주신 골라님께도 감사하단 말씀 전해드리고 싶어요. 듭엠3주년 진심으로 축하합니다. 그리고 우리 카페가 더욱더 활기차게 돌아가길 진심으로 빌게용. 듭엠 3주년 추카추카~~^^♡♡♡,3rd_anniversary
225,정아르,오래오래 함께 할 수 있는 게임이 되길 바래요. 청이들 고마웠어요.,3rd_anniversary
226,여천NCC,우쭈쮸 드빌이 3살된거 축하하고 무럭무럭 자라렴~,3rd_anniversary
227,시류에르,드빌 3주년 축하드려여~,3rd_anniversary
228,가와이순대,3주년 진심으로 축하드립니다. 열심히 할께요!!,3rd_anniversary
229,장머,3주년 축하드려요~~ 4주년까지 화이팅해요~!!,3rd_anniversary
230,체이트,대략 1년을 한 유저입니다 물론 3년을 함께 하진 못했엇지만 제가 좋아하는 게임이 별서 3주년을 맞이 해서 기분이 넘 좋네요 게임 운영하는게 만만치 않았을탠데 이렇게 3년까지 하셨다는게 넘 감사할 따름이네요 거의 매일하는 게임이기에 더욱더 잘되었으면 하는 바람입니다 수고 많으십니돠ㅏ~! ???(●˙?˙●)???,3rd_anniversary
231,靑雷동석,축하해요 4주년까지화이팅,3rd_anniversary
232,Vohemi,ACE 화이팅!~ 갓마누 주라골!~~~,3rd_anniversary
233,선택받은소년,앞으로도 유저들과 즐겁게 소통하는 드빌m 기대합니다 3주년 축하드려요~~,3rd_anniversary
234,방준,2017.08.29 ~ ing. 3주년♡,3rd_anniversary
235,닉변예정,3주년 축하드리골~오늘 생일인데 제 생일로부터 정확히 1주일 후인 3주년을 주시하고 있겠골,3rd_anniversary
236,l풍뢰l천류활,3주년을 시점으로 새로운 드빌M을 이뤄나가길 바랍니다,3rd_anniversary
237,마제파,전 직장인이라 좀 슬로우하게 즐기고 있는데 재밌습니다!!! 앞으로도 힘내세요!!!,3rd_anniversary
