reward_id,rotate,step,purchase_point,item,item_2,item_3,r_item_name_1,r_item_name_2,r_item_name_3,reward_type,reward_type_2,reward_type_3,t_desc
21603,216,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21604,216,4,100000,700001;10000,,,다이아,,,,,,
21605,216,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21606,216,6,200000,700001;20000,,,다이아,,,,,,
21607,216,7,300000,700619;1,760005;960,700001;80000,토파즈/한정 드래곤 선택권,전설 강화 포인트,다이아,dragon_ticket,reinforce,item,
21701,217,1,3000,700002;500000,,,골드,,,,,,
21702,217,2,20000,700711;10,,,찬란한 날개,,,,,,
21703,217,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21704,217,4,100000,700001;10000,,,다이아,,,,,,
21705,217,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21706,217,6,200000,700001;20000,,,다이아,,,,,,
21707,217,7,300000,779265;1,760005;960,700001;80000,6등급 신화 스킬 슬라임(어둠),전설 강화 포인트,다이아,skill_slime,reinforce,item,
