vid,rotate,version,start,end,is_start,r_desc
1320002,132,2,20200629,20200706,0,아실리(빛)
1240002,124,2,20200706,20200713,0,썬더볼트(빛)
1340002,134,2,20200713,20200720,0,베르나(어둠)
1230002,123,2,20200720,20200727,0,미트라(빛)
1400001,140,1,20200727,20200803,0,앙그라(불)
1350002,135,2,20200803,20200810,0,썬더볼트(물)
1380001,138,1,20200810,20200817,0,베르나(빛)
1410001,141,1,20200817,20200824,0,앙그라(어둠)
1370002,137,2,20200824,20200905,0,저네르(어둠)
1240003,124,3,20200905,20200912,0,썬더볼트(빛)
1390001,139,1,20200912,20200919,0,카르나(땅)
1320003,132,3,20200919,20200926,0,아실리(빛)
1440001,144,1,20200926,20201010,0,메테오라(불)
1450001,145,1,20201010,20201017,0,카르나(어둠)
1400002,140,2,20201017,20201024,0,앙그라(불)
1230003,123,3,20201024,20201031,0,미트라(빛)
1350003,135,3,20201031,20201107,0,썬더볼트(물)
1380002,138,2,20201107,20201114,0,베르나(빛)
1410002,141,2,20201114,20201121,0,앙그라(어둠)
1320004,132,4,20201121,20201128,0,아실리(빛)
1370003,137,3,20201128,20201205,0,저네르(어둠)
1390002,139,2,20201205,20201212,0,카르나(땅)
1240004,124,4,20201212,20201219,0,썬더볼트(빛)
1440002,144,2,20201219,20201226,0,메테오라(불)
1340003,134,3,20201226,20210102,0,베르나(어둠)
1400003,140,3,20210102,20210109,0,앙그라(불)
1450002,145,2,20210109,20210116,0,카르나(어둠)
1230004,123,4,20210116,20210123,0,미트라(빛)
1350004,135,4,20210123,20210130,0,썬더볼트(물)
1370004,137,4,20210130,20210206,0,저네르(어둠)
1380003,138,3,20210206,20210213,0,베르나(빛)
1410003,141,3,20210213,20210220,0,앙그라(어둠)
1320005,132,5,20210220,20210227,0,아실리(빛)
1440003,144,3,20210227,20210306,0,메테오라(불)
1390003,139,3,20210306,20210313,0,카르나(땅)
1340004,134,4,20210313,20210320,0,베르나(어둠)
1240005,124,5,20210320,20210327,0,썬더볼트(빛)
1400004,140,4,20210327,20210403,0,앙그라(불)
1380004,138,4,20210403,20210410,0,베르나(빛)
1350005,135,5,20210410,20210417,0,썬더볼트(물)
1370005,137,5,20210417,20210424,0,저네르(어둠)
1230005,123,5,20210424,20210501,0,미트라(빛)
1410004,141,4,20210501,20210508,0,앙그라(어둠)
1390004,139,4,20210508,20210515,0,카르나(땅)
1320006,132,6,20210515,20210522,0,아실리(빛)
1440004,144,4,20210522,20210529,0,메테오라(불)
1240006,124,6,20210529,20210605,0,썬더볼트(빛)
1370006,137,6,20210605,20210612,0,저네르(어둠)
1460001,146,1,20210612,20210626,0,아바돈(불)
1470001,147,1,20210626,20210703,0,미트라(빛)
1480001,148,1,20210703,20210710,0,썬더볼트(물)
1490001,149,1,20210710,20210717,0,앙그라(어둠)
1500001,150,1,20210717,20210724,0,아실리(빛)
1510001,151,1,20210724,20210731,0,메테오라(불)
1520001,152,1,20210731,20210807,0,카르나(땅)
1530001,153,1,20210807,20210814,0,썬더볼트(빛)
1540001,154,1,20210814,20210821,0,저네르(어둠)
1550001,155,1,20210821,20210828,0,아바돈(불)
1480002,148,2,20210828,20210904,0,썬더볼트(물)
1560001,156,1,20210904,20210911,0,카르나(어둠)
1570001,157,1,20210911,20210918,0,베르나(빛)
1580001,158,1,20210918,20211002,0,히프노스(물)
1510002,151,2,20211002,20211009,0,메테오라(불)
1490002,149,2,20211009,20211016,0,앙그라(어둠)
1500002,150,2,20211016,20211023,0,아실리(빛)
1550002,155,2,20211023,20211030,0,아바돈(불)
1520002,152,2,20211030,20211106,0,카르나(땅)
1480003,148,3,20211106,20211113,0,썬더볼트(물)
1540002,154,2,20211113,20211120,0,저네르(어둠)
1470002,147,2,20211120,20211127,0,미트라(빛)
1590001,159,1,20211127,20211204,0,앙그라(불)
1570002,157,2,20211204,20211211,0,베르나(빛)
1580002,158,2,20211211,20211218,0,히프노스(물)
1560002,156,2,20211218,20211225,0,카르나(어둠)
1500003,150,3,20211225,20220101,0,아실리(빛)
1550003,155,3,20220101,20220108,0,아바돈(불)
1520003,152,3,20220108,20220115,0,카르나(땅)
1480004,148,4,20220115,20220122,0,썬더볼트(물)
1490003,149,3,20220122,20220129,0,앙그라(어둠)
1570003,157,3,20220129,20220205,0,베르나(빛)
1590002,159,2,20220205,20220212,0,앙그라(불)
1530002,153,2,20220212,20220219,0,썬더볼트(빛)
1580003,158,3,20220219,20220226,0,히프노스(물)
1540003,154,3,20220226,20220305,0,저네르(어둠)
1500004,150,4,20220305,20220312,0,아실리(빛)
1340005,134,5,20220312,20220319,0,베르나(어둠)
1550004,155,4,20220319,20220326,0,아바돈(불)
1600001,160,1,20220326,20220402,0,카르나(땅)
1610001,161,1,20220402,20220409,0,썬더볼트(물)
1620001,162,1,20220409,20220416,0,메테오라(불)
1630001,163,1,20220416,20220423,0,카르나(빛)
1640001,164,1,20220423,20220430,0,저네르(어둠)
1650001,165,1,20220430,20220507,0,앙그라(불)
1660001,166,1,20220507,20220514,0,아실리(빛)
1670001,167,1,20220514,20220521,0,히프노스(물)
1680001,168,1,20220521,20220528,0,앙그라(어둠)
1690001,169,1,20220528,20220604,0,미트라(빛)
1700001,170,1,20220604,20220611,0,아바돈(불)
1710010,171,10,20220611,20220618,0,카르나(땅)
1720012,172,12,20220618,20220625,0,썬더볼트(물)
1730001,173,8,20220625,20220702,0,메테오라(불)
1740100,174,10,20220702,20220709,0,미트라(빛)
1750130,175,13,20220709,20220716,0,저네르(어둠)
1760050,176,5,20220716,20220723,0,히프노스(물)
1770020,177,2,20220723,20220730,0,카르나(빛)
1780060,178,6,20220730,20220806,0,베르나(어둠)
1790090,179,9,20220806,20220813,0,앙그라(불)
1800110,180,11,20220813,20220820,0,카르나(땅)
1810090,181,9,20220820,20220827,0,썬더볼트(빛)
1820010,182,7,20220827,20220904,0,아바돈(불)
2100001,210,1,20220904,20220911,0,아실리(빛)
2110001,211,1,20220911,20220918,0,앙그라(어둠)
2120001,212,1,20220918,20220925,0,썬더볼트(물)
2130001,213,1,20220925,20221002,0,베르나(빛)
2070001,207,1,20221002,20221009,0,카르나(땅)
2000001,200,1,20221009,20221016,0,메테오라(불)
2010001,201,1,20221016,20221023,0,미트라(빛)
2020001,202,1,20221023,20221030,0,저네르(어둠)
2030001,203,1,20221030,20221106,0,히프노스(물)
2040001,204,1,20221106,20221113,0,카르나(빛)
2050001,205,1,20221113,20221120,0,베르나(어둠)
2060001,206,1,20221120,20221127,0,앙그라(불)
2140001,214,1,20221127,20221204,0,카르나(어둠)
2080001,208,1,20221204,20221211,0,썬더볼트(빛)
2090001,209,1,20221211,20221218,0,아바돈(불)
2100002,210,2,20221218,20221225,0,아실리(빛)
2110002,211,2,20221225,20230101,0,앙그라(어둠)
2130002,213,2,20230101,20230108,0,베르나(빛)
2020002,202,2,20230108,20230115,0,저네르(어둠)
2070002,207,2,20230115,20230122,0,카르나(땅)
2100003,210,3,20230122,20230129,0,아실리(빛)
2090002,209,2,20230129,20230205,0,아바돈(불)
2050002,205,2,20230205,20230212,0,베르나(어둠)
2080002,208,2,20230212,20230219,0,썬더볼트(빛)
2000002,200,2,20230219,20230226,0,메테오라(불)
2030002,203,2,20230226,20230305,0,히프노스(물)
2040002,204,2,20230305,20230312,0,카르나(빛)
2140002,214,2,20230312,20230319,0,카르나(어둠)
2060002,206,2,20230319,20230326,0,앙그라(불)
2010002,201,2,20230326,20230402,0,미트라(빛)
2150001,215,1,20230402,20230409,0,미트라(땅)
2120002,212,2,20230409,20230416,0,썬더볼트(물)
2110003,211,3,20230416,20230423,0,앙그라(어둠)
2130003,213,3,20230423,20230430,0,베르나(빛)
2020003,202,3,20230430,20230507,0,저네르(어둠)
2070003,207,3,20230507,20230514,0,카르나(땅)
2160001,216,1,20230514,20230521,0,토파즈/한정 드래곤 선택권
2170001,217,1,20230521,20230528,0,6등급 신화 스킬 슬라임(어둠)
2100004,210,4,20230528,20230604,0,아실리(빛)
2090003,209,3,20230604,20230611,0,아바돈(불)
2050003,205,3,20230611,20230618,0,베르나(어둠)
2080003,208,3,20230618,20230625,0,썬더볼트(빛)
2000003,200,3,20230625,20230702,0,메테오라(불)
2030003,203,3,20230702,20230709,0,히프노스(물)
2040003,204,3,20230709,20230716,0,카르나(빛)
2140003,214,3,20230716,20230723,0,카르나(어둠)
2060003,206,3,20230723,20230730,0,앙그라(불)
2010003,201,3,20230730,20230806,0,미트라(빛)
2150002,215,2,20230806,20230813,0,미트라(땅)
2120003,212,3,20230813,20230820,0,썬더볼트(물)
2110004,211,4,20230820,20230827,0,앙그라(어둠)
2130004,213,4,20230827,20230903,0,베르나(빛)
2020004,202,4,20230903,20230910,0,저네르(어둠)
2070004,207,4,20230910,20230917,0,카르나(땅)
2100005,210,5,20230917,20230924,0,아실리(빛)
2090004,209,4,20230924,20231001,0,아바돈(불)
2050004,205,4,20231001,20231008,0,베르나(어둠)
2080004,208,4,20231008,20231015,0,썬더볼트(빛)
2000004,200,4,20231015,20231022,0,메테오라(불)
2030004,203,4,20231022,20231029,0,히프노스(물)
2040004,204,4,20231029,20231105,0,카르나(빛)
2140004,214,4,20231105,20231112,0,카르나(어둠)
2170002,217,2,20231112,20231119,0,6등급 신화 스킬 슬라임(어둠)
2060004,206,4,20231119,20231126,,앙그라(불)
2010004,201,4,20231126,20231203,0,미트라(빛)
2150003,215,3,20231203,20231210,0,미트라(땅)
2120004,212,4,20231210,20231217,0,썬더볼트(물)
2110005,211,5,20231217,20231224,0,앙그라(어둠)
2130005,213,5,20231224,20231231,0,베르나(빛)
2020005,202,5,20231231,20240107,0,저네르(어둠)
2070005,207,5,20240107,20240114,0,카르나(땅)
2100006,210,6,20240114,20240121,0,아실리(빛)
2090005,209,5,20240121,20240128,0,아바돈(불)
2050005,205,5,20240128,20240204,0,베르나(어둠)
2080005,208,5,20240204,20240211,0,썬더볼트(빛)
2000005,200,5,20240211,20240218,0,메테오라(불)
2030005,203,5,20240218,20240225,0,히프노스(물)
2040005,204,5,20240225,20240303,0,카르나(빛)
2140005,214,5,20240303,20240310,0,카르나(어둠)
2060005,206,5,20240310,20240317,0,앙그라(불)
2010005,201,5,20240317,20240324,0,미트라(빛)
2150004,215,4,20240324,20240331,0,미트라(땅)
2120005,212,5,20240331,20240407,0,썬더볼트(물)
2110006,211,6,20240407,20240414,0,앙그라(어둠)
2130006,213,6,20240414,20240421,0,베르나(빛)
2020006,202,6,20240421,20240428,0,저네르(어둠)
2070006,207,6,20240428,20240505,0,카르나(땅)
2100007,210,7,20240505,20240512,0,아실리(빛)
2090006,209,6,20240512,20240519,0,아바돈(불)
2050006,205,6,20240519,20240526,0,베르나(어둠)
2080006,208,6,20240526,20240602,0,썬더볼트(빛)
2000006,200,6,20240602,20240609,0,메테오라(불)
2030006,203,6,20240609,20240616,0,히프노스(물)
2040006,204,6,20240616,20240623,0,카르나(빛)
2140006,214,6,20240623,20240630,0,카르나(어둠)
2060006,206,6,20240630,20240707,0,앙그라(불)
2010006,201,6,20240707,20240714,0,미트라(빛)
2150005,215,5,20240714,20240721,0,미트라(땅)
2120006,212,6,20240721,20240728,0,썬더볼트(물)
2110007,211,7,20240728,20240804,0,앙그라(어둠)
2130007,213,7,20240804,20240811,0,베르나(빛)
2020007,202,7,20240811,20240818,0,저네르(어둠)
2070007,207,7,20240818,20240825,0,카르나(땅)
2100008,210,8,20240825,20240901,0,아실리(빛)
2090007,209,7,20240901,20240908,0,아바돈(불)
2050007,205,7,20240908,20240915,0,베르나(어둠)
2080007,208,7,20240915,20240922,0,썬더볼트(빛)
2000007,200,7,20240922,20240929,0,메테오라(불)
2030007,203,7,20240929,20241006,0,히프노스(물)
2040007,204,7,20241006,20241013,0,카르나(빛)
2140007,214,7,20241013,20241020,0,카르나(어둠)
2060007,206,7,20241020,20241027,0,앙그라(불)
2010007,201,7,20241027,20241103,0,미트라(빛)
2150006,215,6,20241103,20241110,0,미트라(땅)
2120007,212,7,20241110,20241117,0,썬더볼트(물)
2110008,211,8,20241117,20241124,0,앙그라(어둠)
2130008,213,8,20241124,20241201,0,베르나(빛)
2020008,202,8,20241201,20241208,0,저네르(어둠)
2070008,207,8,20241208,20241215,0,카르나(땅)
2100009,210,9,20241215,20241222,0,아실리(빛)
2090008,209,8,20241222,20241229,0,아바돈(불)
2050008,205,8,20241229,20250105,0,베르나(어둠)
2080008,208,8,20250105,20250112,0,썬더볼트(빛)
2000008,200,8,20250112,20250119,0,메테오라(불)
2030008,203,8,20250119,20250126,0,히프노스(물)
2040008,204,8,20250126,20250202,0,카르나(빛)
2140008,214,8,20250202,20250209,0,카르나(어둠)
2060008,206,8,20250209,20250216,0,앙그라(불)
2010008,201,8,20250216,20250223,0,미트라(빛)
2150007,215,7,20250223,20250302,0,미트라(땅)
2120008,212,8,20250302,20250309,0,썬더볼트(물)
2110009,211,9,20250309,20250316,0,앙그라(어둠)
2130009,213,9,20250316,20250323,0,베르나(빛)
2020009,202,9,20250323,20250330,0,저네르(어둠)
2070009,207,9,20250330,20250406,0,카르나(땅)
2100010,210,10,20250406,20250413,0,아실리(빛)
2090009,209,9,20250413,20250420,0,아바돈(불)
2050009,205,9,20250420,20250427,0,베르나(어둠)
2080009,208,9,20250427,20250504,0,썬더볼트(빛)
2000009,200,9,20250504,20250511,0,메테오라(불)
2030009,203,9,20250511,20250518,0,히프노스(물)
2040009,204,9,20250518,20250525,0,카르나(빛)
2140009,214,9,20250525,20250601,0,카르나(어둠)
2060009,206,9,20250601,20250608,0,앙그라(불)
2010009,201,9,20250608,20250615,0,미트라(빛)
2150008,215,8,20250615,20250622,0,미트라(땅)
2120009,212,9,20250622,20250629,0,썬더볼트(물)
2110010,211,10,20250629,20250706,0,앙그라(어둠)
2130010,213,10,20250706,20250713,0,베르나(빛)
2020010,202,10,20250713,20250720,0,저네르(어둠)
2070010,207,10,20250720,20250727,0,카르나(땅)
2100011,210,11,20250727,20250803,0,아실리(빛)
2090010,209,10,20250803,20250810,0,아바돈(불)
2050010,205,10,20250810,20250817,0,베르나(어둠)
2080010,208,10,20250817,20250824,0,썬더볼트(빛)
2000010,200,10,20250824,20250831,0,메테오라(불)
2030010,203,10,20250831,20250907,0,히프노스(물)
2040010,204,10,20250907,20250914,0,카르나(빛)
2140010,214,10,20250914,20250921,0,카르나(어둠)
2060010,206,10,20250921,20250928,0,앙그라(불)
2010010,201,10,20250928,20251005,0,미트라(빛)
2150009,215,9,20251005,20251012,0,미트라(땅)
2120010,212,10,20251012,20251019,0,썬더볼트(물)
