cid,type,ui_priority,t_name,sale_type,t_desc,res_sd,res_icon,scale,stat_bonus
730601,mokoji,20,스카이블루,,모코지의 하늘색 드레스 입니다. 기합을 잔뜩 넣었네요,res/character/tamer/mokoji_bluedress_01/mokoji_bluedress_01.spine,res/ui/icons/tamer/costume_mokoji_magic_01.png,1,
730602,mokoji,10,할로윈 강시,,할로윈 특집! 팔굽히기가 힘들어집니다,res/character/tamer/mokoji_halloween_01/mokoji_halloween_01.spine,res/ui/icons/tamer/costume_mokoji_halloween_01.png,1,
730103,goni,4,용맹 코스튬,valor,최강의 테이머에게 주어지는 특별 코스튬 세트,res/character/tamer/goni_uniform/goni_uniform.spine,res/ui/icons/tamer/costume_goni_uniform.png,1,
730203,nuri,4,용맹 코스튬,valor,최강의 테이머에게 주어지는 특별 코스튬 세트,res/character/tamer/nuri_uniform/nuri_uniform.spine,res/ui/icons/tamer/costume_nuri_uniform.png,1,
730304,dede,6,용맹 코스튬,valor,최강의 테이머에게 주어지는 특별 코스튬 세트,res/character/tamer/dede_uniform/dede_uniform.spine,res/ui/icons/tamer/costume_dede_uniform.png,1,
730405,kesath,6,용맹 코스튬,valor,최강의 테이머에게 주어지는 특별 코스튬 세트,res/character/tamer/kesath_uniform/kesath_uniform.spine,res/ui/icons/tamer/costume_kesath_uniform.png,1,
730503,durun,5,용맹 코스튬,valor,최강의 테이머에게 주어지는 특별 코스튬 세트,res/character/tamer/durun_uniform/durun_uniform.spine,res/ui/icons/tamer/costume_durun_uniform.png,1,
730603,mokoji,3,용맹 코스튬,valor,최강의 테이머에게 주어지는 특별 코스튬 세트,res/character/tamer/mokoji_uniform/mokoji_uniform.spine,res/ui/icons/tamer/costume_mokoji_uniform.png,1,
730305,dede,40,투사,,고대 제국의 복식을 재현한 코스튬,res/character/tamer/dede_gladius/dede_gladius.spine,res/ui/icons/tamer/costume_dede_gladius.png,1,
730406,kesath,40,집정관,,고대 제국의 복식을 재현한 코스튬,res/character/tamer/kesath_archon/kesath_archon.spine,res/ui/icons/tamer/costume_kesath_archon.png,1,
730604,mokoji,40,신관,,고대 제국의 복식을 재현한 코스튬,res/character/tamer/mokoji_pontifex/mokoji_pontifex.spine,res/ui/icons/tamer/costume_mokoji_pontifex.png,1,
