item_id,r_category,t_name,ui_priority,hide_at_egg_book,r_name,type,role,attr,s_lm_rate,unduplicate,rarity,birthgrade_min,birthgrade_max,s_birthgrade_1,s_birthgrade_2,s_birthgrade_3,s_birthgrade_4,s_birthgrade_5,s_birthgrade_6,r_grade_sum,s_attr_common,s_attr_unique,s_attr_earth,s_attr_water,s_attr_fire,s_attr_light,s_attr_dark,r_attr_sum,t_desc,s_specific_dragon,s_pick_dragon,s_chance_up
703007,속성(attr),대지의 알,50,,egg_attr_earth,pick,,earth,0,0,1,3,5,0,0,8975,925,100,0,10000,10000,0,10000,0,0,0,0,10000,0,,,
703008,속성(attr),얼음의 알,50,,egg_attr_water,pick,,water,0,0,1,3,5,0,0,8975,925,100,0,10000,10000,0,0,10000,0,0,0,10000,0,,,
703009,속성(attr),화염의 알,50,,egg_attr_fire,pick,,fire,0,0,1,3,5,0,0,8975,925,100,0,10000,10000,0,0,0,10000,0,0,10000,0,,,
703010,속성(attr),신성의 알,50,,egg_attr_light,pick,,light,0,0,1,3,5,0,0,8975,925,100,0,10000,0,10000,0,0,0,10000,0,10000,0,,,
703011,속성(attr),암흑의 알,50,,egg_attr_dark,pick,,dark,0,0,1,3,5,0,0,8975,925,100,0,10000,0,10000,0,0,0,0,10000,10000,0,,,
703012,"유형(역할, role)",수호의 알,50,,egg_role_tanker,pick,tanker,,0,0,1,3,5,0,0,8975,925,100,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703013,"유형(역할, role)",맹수의 알,50,,egg_role_dealer,pick,dealer,,0,0,1,3,5,0,0,8975,925,100,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703014,"유형(역할, role)",치유의 알,50,,egg_role_healer,pick,healer,,0,0,1,3,5,0,0,8975,925,100,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703015,"유형(역할, role)",보호의 알,50,,egg_role_supporter,pick,supporter,,0,0,1,3,5,0,0,8975,925,100,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703016,중급,신비의 알,50,,egg_middle_mystery,pick,,,0,0,1,3,5,0,0,8975,925,100,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703017,일반,미지의 알,10,,egg_common_unknown,pick,,earth;water;fire,0,0,0,1,3,6000,3700,300,0,0,0,10000,10000,0,3300,3300,3400,0,0,10000,0,,,
703018,하급,비밀의 알,20,,egg_middle_secret,pick,,earth;water;fire,0,0,1,3,3,0,0,10000,0,0,0,10000,10000,0,3300,3300,3400,0,0,10000,0,,,
703019,최상급,고대의 알,110,,egg_high_ancient,pick,,,0,0,1,4,5,0,0,0,9300,700,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703020,슬라임,대지의 슬라임 알,0,1,egg_slime_earth,sl,,earth,0,0,1,2,5,0,6000,3000,700,300,0,10000,10000,0,10000,0,0,0,0,10000,0,,,
703021,슬라임,얼음의 슬라임 알,0,1,egg_slime_water,sl,,water,0,0,1,2,5,0,6000,3000,700,300,0,10000,10000,0,0,10000,0,0,0,10000,0,,,
703022,슬라임,화염의 슬라임 알,0,1,egg_slime_fire,sl,,fire,0,0,1,2,5,0,6000,3000,700,300,0,10000,10000,0,0,0,10000,0,0,10000,0,,,
703023,슬라임,신성의 슬라임 알,0,1,egg_slime_light,sl,,light,0,0,1,2,5,0,6000,3000,700,300,0,10000,0,10000,0,0,0,10000,0,10000,0,,,
703024,슬라임,암흑의 슬라임 알,0,1,egg_slime_dark,sl,,dark,0,0,1,2,5,0,6000,3000,700,300,0,10000,0,10000,0,0,0,0,10000,10000,0,,,
703025,최최상급,절대적인 전설의 알,200,,egg_super_absolute,lm,,,1,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703026,이벤트,크리마용의 알,80,,egg_christmas,none,,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"120761;10,120762;10,120763;10",,
703027,튜토리얼,영웅의 알,80,1,egg_high_hero,none,,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120384;1,,
703028,최상급 (방어형),전설의 알,150,1,egg_high_legend,pick,tanker,,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703029,최상급 (공격형),전설의 알,150,1,egg_high_legend,pick,dealer,,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703030,최상급 (지원형),전설의 알,150,1,egg_high_legend,pick,supporter,,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703031,최상급 (회복형),전설의 알,150,1,egg_high_legend,pick,healer,,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703032,속성 전설의 알,전설의 알(땅),145,,egg_high_legend_earth,pick,,earth,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,10000,0,0,0,0,10000,0,,,
703033,속성 전설의 알,전설의 알(물),144,,egg_high_legend_water,pick,,water,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,0,10000,0,0,0,10000,0,,,
703034,속성 전설의 알,전설의 알(불),143,,egg_high_legend_fire,pick,,fire,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,0,0,10000,0,0,10000,0,,,
703035,속성 전설의 알,전설의 알(빛),142,,egg_high_legend_light,pick,,light,0,0,1,5,5,0,0,0,0,10000,0,10000,0,10000,0,0,0,10000,0,10000,0,,,
703036,속성 전설의 알,전설의 알(어둠),141,,egg_high_legend_dark,pick,,dark,0,0,1,5,5,0,0,0,0,10000,0,10000,0,10000,0,0,0,0,10000,10000,0,,,
703037,전설의 알(미중복),미중복 전설의 알,151,1,egg_high_legend,pick,,,0,1,1,5,5,0,0,0,0,10000,0,10000,6000,4000,3000,3000,3000,500,500,10000,0,,,
703038,절전알(미중복),미중복 절대적인 전설의 알,201,1,egg_super_absolute,lm,,,1,1,1,5,5,0,0,0,0,10000,0,10000,6000,4000,3000,3000,3000,500,500,10000,0,,,
703039,일반 소환 100회,일반 소환,-1,1,egg_cash_mysteryup,pick,,,0,0,1,3,6,0,0,8965,925,100,10,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703040,한정 소환 100회,한정 소환,-1,1,egg_super_illusion,mg,,,0.1,0,1,3,6,0,0,8965,925,100,10,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703041,최상급,환영의 알,202,,egg_myth_common,mg,,,0.1,0,1,5,6,0,0,0,0,7000,3000,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703042,최상급,신화의 알,203,,egg_myth_mythical,pick,,,0,0,1,6,6,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,,,
703043,최상급,빛나는 신화의 알,204,1,egg_myth_absolute,mg,,,0.1,0,0,6,6,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,,,
700822,스토리 이벤트,스토리 이벤트 소환,205,1,,pick,,,0,0,1,4,6,0,0,0,9000,900,100,10000,7000,3000,2334,2333,2333,1500,1500,10000,0,,,
700832,인기 신화 드래곤 확률 업 이벤트,인기 신화 드래곤 소환,206,1,,pick,,,0,0,1,4,6,0,0,0,9000,900,100,10000,7000,3000,2334,2333,2333,1500,1500,10000,0,,"121643;20,121875;20,121765;20,121752;20,121861;20",
