item,category,t_name,t_desc,icon,type,full_type,attr,role,color,rarity,grade,evolution,did,count,sale_price,get_region,package,tool_name,inbox_icon
700103,simple,고대의탑 입장권,"미지의 존재가 수호하는 고대의 탑에 들어가기 위한 입장권. 그들의 허락을 받지 못한 자, 입장권을 얻을 수 없다고 한다.",res/ui/icons/inbox/inbox_staminas_tower.png,staminas_tower,staminas_tower,,,,,,,,1,500,,,고대의탑 입장권,
700104,simple,클랜던전 입장권,죄악의 화신을 봉인해둔 클랜 던전에 들어가기 위한 입장권.,res/ui/icons/item/staminas_cldg.png,staminas_cldg,staminas_cldg,,,,,,,,1,,,,클랜던전 입장권,
700105,simple,황금 날개,골드라고라 던전에 입장할 수 있는 입장권,res/ui/icons/item/event_gold_dungeon.png,staminas_event_st,staminas_event_st,,,,,,,,1,,,,황금 날개,
700106,simple,콜로세움 입장권,"다른 테이머와 강함을 겨룰 수 있는 콜로세움의 입장권. 콜로세움에서 치룰 수 있는 대전의 수가 한정되어 있는만큼, 진정한 테이머로 인정받은 자들에게만 지급된다.",res/ui/icons/item/staminas_pvp.png,staminas_arena,staminas_arena,,,,,,,,1,,,,콜로세움 입장권(구),
700107,simple,그랜드 콜로세움 입장권,대규모 대전을 통해 다른 테이머와 겨룰 수 있는 그랜드 콜로세움의 입장권. 수많은 드래곤을 다룰 수 있는 선택받은 테이머에게만 지급된다.,res/ui/icons/item/staminas_grand_arena.png,staminas_grand_arena,staminas_grand_arena,,,,,,,,1,,,,그랜드 콜로세움 입장권,
700108,simple,클랜던전 연습 전투 입장권,죄악의 화신을 쓰러뜨리기 위한 모의 전투를 할 수 있는 입장권.,res/ui/icons/item/staminas_cldg_tr.png,staminas_cldg_tr,staminas_cldg_tr,,,,,,,,1,,,,클랜던전 연습 전투 입장권,
700109,simple,콜로세움 입장권,"다른 테이머와 강함을 겨룰 수 있는 콜로세움의 입장권. 콜로세움에서 치룰 수 있는 대전의 수가 한정되어 있는만큼, 진정한 테이머로 인정받은 자들에게만 지급된다.",res/ui/icons/item/staminas_pvp.png,staminas_arena_new,staminas_arena_new,,,,,,,,1,,,,콜로세움 입장권,
700110,simple,던전 토벌석,던전에서 전투 과정을 생략하고 전투 결과를 바로 확인할 수 있습니다.,res/ui/icons/item/subjugation_ticket.png,subjugation_ticket,subjugation_ticket,,,,,,,,,,,,,
700111,simple,무료 패스,무료 패스,res/ui/icons/item/gift_box.png,indiv_pass,indiv_pass,1;0,,,,,,,1,,,,무료 패스,
700112,simple,고급 패스,고급 패스,res/ui/icons/item/gift_box.png,indiv_pass,indiv_pass,1;1,,,,,,,1,,,,고급 패스,
700113,simple,프리미엄 패스,프리미엄 패스,res/ui/icons/item/gift_box.png,indiv_pass,indiv_pass,1;2,,,,,,,1,,,,프리미엄 패스,
700114,simple,개인 패스 경험치,개인 패스 경험치,res/ui/icons/item/battle_pass_point.png,indiv_pass_exp,indiv_pass_exp,1,,,,,,,1,,,,개인 패스 경험치,
700201,simple,캡슐,다른 세계에서 온 것 같은 묘한 기운이 흐르는 캡슐,res/ui/icons/item/capsule.png,capsule,capsule,,,,,,,,1,500,,,캡슐,
700202,simple,수집 아이템,수집 이벤트에 사용할 수 있는 아이템,res/ui/icons/item/event.png,event,event,,,,,,,,1,500,,,수집 아이템,
700203,simple,주사위,이것을 보면 굴리고 싶은 욕구가 샘솟게 된다.,res/ui/icons/item/dice.png,dice,dice,,,,,,,,1,500,,,주사위,
700204,simple,이용권,카드 짝 맞추기 미니게임 이용권,res/ui/icons/item/card_play.png,card_play,card_play,,,,,,,,1,,,,이용권,
700205,simple,교환 카드,카드 짝 맞추기 이벤트에서 상품 교환에 사용할 수 있는 카드,res/ui/icons/item/card_gift.png,card_gift,card_gift,,,,,,,,,,,,교환 카드,
700206,simple,빙고 토큰,빙고 토큰,res/ui/icons/item/bingo_token.png,event_bingo,event_bingo,,,,,,,,1,500,,,빙고 토큰,
700207,simple,확정 뽑기 토큰,확정 뽑기 토큰,res/ui/icons/item/bingo_token_select.png,event_bingo,event_bingo,,,,,,,,1,500,,,확정 뽑기 토큰,
700208,simple,환상 토큰,환상 던전에서 얻을 수 있는 토큰. 교환소에서 아이템과 교환할 수 있다.,res/ui/icons/item/event_illusion_01.png,event_illusion,event_illusion,,,,,,,,1,500,,,환상 토큰,
700209,simple,환상 토큰,환상 던전에서 얻을 수 있는 토큰. 교환소에서 아이템과 교환할 수 있다.,res/ui/icons/item/event_illusion_02.png,event_illusion,event_illusion,,,,,,,,1,500,,,환상 토큰,
700210,simple,퀴즈 티켓,드래곤 이미지 퀴즈 티켓,res/ui/icons/item/quiz_play.png,quiz_play,quiz_play,,,,,,,,1,,,,퀴즈 티켓,
700211,simple,A,알파벳 A,res/ui/icons/item/alphabet_a.png,alphabet,alphabet_a,,,,,,,,,,,,알파벳 A,
700212,simple,B,알파벳 B,res/ui/icons/item/alphabet_b.png,alphabet,alphabet_b,,,,,,,,,,,,알파벳 B,
700213,simple,C,알파벳 C,res/ui/icons/item/alphabet_c.png,alphabet,alphabet_c,,,,,,,,,,,,알파벳 C,
700214,simple,D,알파벳 D,res/ui/icons/item/alphabet_d.png,alphabet,alphabet_d,,,,,,,,,,,,알파벳 D,
700215,simple,E,알파벳 E,res/ui/icons/item/alphabet_e.png,alphabet,alphabet_e,,,,,,,,,,,,알파벳 E,
700216,simple,F,알파벳 F,res/ui/icons/item/alphabet_f.png,alphabet,alphabet_f,,,,,,,,,,,,알파벳 F,
700217,simple,G,알파벳 G,res/ui/icons/item/alphabet_g.png,alphabet,alphabet_g,,,,,,,,,,,,알파벳 G,
700218,simple,H,알파벳 H,res/ui/icons/item/alphabet_h.png,alphabet,alphabet_h,,,,,,,,,,,,알파벳 H,
700219,simple,I,알파벳 I,res/ui/icons/item/alphabet_i.png,alphabet,alphabet_i,,,,,,,,,,,,알파벳 I,
700220,simple,J,알파벳 J,res/ui/icons/item/alphabet_j.png,alphabet,alphabet_j,,,,,,,,,,,,알파벳 J,
700221,simple,K,알파벳 K,res/ui/icons/item/alphabet_k.png,alphabet,alphabet_k,,,,,,,,,,,,알파벳 K,
700222,simple,L,알파벳 L,res/ui/icons/item/alphabet_l.png,alphabet,alphabet_l,,,,,,,,,,,,알파벳 L,
700223,simple,M,알파벳 M,res/ui/icons/item/alphabet_m.png,alphabet,alphabet_m,,,,,,,,,,,,알파벳 M,
700224,simple,N,알파벳 N,res/ui/icons/item/alphabet_n.png,alphabet,alphabet_n,,,,,,,,,,,,알파벳 N,
700225,simple,O,알파벳 O,res/ui/icons/item/alphabet_o.png,alphabet,alphabet_o,,,,,,,,,,,,알파벳 O,
700226,simple,P,알파벳 P,res/ui/icons/item/alphabet_p.png,alphabet,alphabet_p,,,,,,,,,,,,알파벳 P,
700227,simple,Q,알파벳 Q,res/ui/icons/item/alphabet_q.png,alphabet,alphabet_q,,,,,,,,,,,,알파벳 Q,
700228,simple,R,알파벳 R,res/ui/icons/item/alphabet_r.png,alphabet,alphabet_r,,,,,,,,,,,,알파벳 R,
700229,simple,S,알파벳 S,res/ui/icons/item/alphabet_s.png,alphabet,alphabet_s,,,,,,,,,,,,알파벳 S,
700230,simple,T,알파벳 T,res/ui/icons/item/alphabet_t.png,alphabet,alphabet_t,,,,,,,,,,,,알파벳 T,
700231,simple,U,알파벳 U,res/ui/icons/item/alphabet_u.png,alphabet,alphabet_u,,,,,,,,,,,,알파벳 U,
700232,simple,V,알파벳 V,res/ui/icons/item/alphabet_v.png,alphabet,alphabet_v,,,,,,,,,,,,알파벳 V,
700233,simple,W,알파벳 W,res/ui/icons/item/alphabet_w.png,alphabet,alphabet_w,,,,,,,,,,,,알파벳 W,
700234,simple,X,알파벳 X,res/ui/icons/item/alphabet_x.png,alphabet,alphabet_x,,,,,,,,,,,,알파벳 X,
700235,simple,Y,알파벳 Y,res/ui/icons/item/alphabet_y.png,alphabet,alphabet_y,,,,,,,,,,,,알파벳 Y,
700236,simple,Z,알파벳 Z,res/ui/icons/item/alphabet_z.png,alphabet,alphabet_z,,,,,,,,,,,,알파벳 Z,
700237,simple,!,느낌표,res/ui/icons/item/alphabet_mark_01.png,alphabet,alphabet_mark_01,,,,,,,,,,,,느낌표,
700299,simple,와일드 알파벳,어떤 알파벳으로도 대체가 가능한 알파벳,res/ui/icons/item/alphabet_wild.png,alphabet,alphabet_wild,,,,,,,,,,,,와일드 알파벳,
700301,simple,닉네임 변경권,닉네임 변경 시 사용하는 변경권. 한번 닉네임을 바꾸면 되돌릴 수 없으니 신중히 사용하세요.,res/ui/icons/item/rename.png,rename,rename,,,,,,,,1,500,,,닉네임 변경권,
700302,simple,럭키박스,가챠박스,res/ui/icons/item/developing.png,luckybox,randombox,,,,,,,,1,,,,럭키박스,
700303,simple,클랜던전보상,클랜던전박스,res/ui/icons/item/developing.png,dungeonbox,randombox,,,,,,,,1,,,,클랜던전보상,
700304,simple,전설 드래곤 선택권,{@YELLOW}5등급 드래곤{@DEFAULT} 중 한마리를 직접 선택하여 획득할 수 있는 티켓,res/ui/icons/item/ticket_legend_choice.png,pick,pick_dragon,,,,,,,,1,,,,전설 드래곤 선택권,
700305,simple,10+1 고급소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 고급소환을 10+1회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_summon.png,summon,summon_dragon,,,,,,,,1,,,,10+1 고급소환권,
700306,simple,영웅 드래곤 선택권,{@YELLOW}4등급 드래곤{@DEFAULT} 중 한마리를 직접 선택하여 획득할 수 있는 티켓,res/ui/icons/item/ticket_hero_choice.png,pick,pick_dragon,,,,,,,,1,,,,영웅 드래곤 선택권,
700307,simple,전설 추천드래곤 선택권,전설 추천드래곤 선택권,res/ui/icons/item/ticket_legend_recommend_choice.png,pick,pick_dragon,,,,,,,,1,,,,전설 추천드래곤 선택권,
700308,simple,알파벳 박스(보통),알파벳 박스,res/ui/icons/item/developing.png,alphabetbox,alphabetbox,,,,,,,,1,,,,알파벳 박스(보통),
700309,simple,알파벳 박스(골드),알파벳 박스,res/ui/icons/item/developing.png,alphabetbox,alphabetbox_wild,,,,,,,,1,,,,알파벳 박스(골드),
700310,simple,전설 추천드래곤 선택권,전설 추천드래곤 선택권,res/ui/icons/item/ticket_legend_recommend_choice.png,pick,pick_dragon,,,,,,,,1,,,,전설 추천드래곤 선택권,
700311,simple,럭키박스,가챠박스,res/ui/icons/item/developing.png,luckybox_9.9k,randombox,,,,,,,,1,,,,럭키박스(9.9k),
700312,simple,럭키박스,가챠박스,res/ui/icons/item/developing.png,luckybox_9.9k_02,randombox,,,,,,,,1,,,,럭키박스02(9.9k),
700313,simple,드래곤 100회 뽑기,드래곤 100회 뽑기,res/ui/icons/item/card_dragon_bundle.png,summon,summon_100,,,,,,,,1,,,,드래곤 100회 뽑기,
700314,simple,드래곤 100회 뽑기(한정 포함),드래곤 100회 뽑기(한정 포함),res/ui/icons/item/card_dragon_bundle.png,summon,summon_100,,,,,,,,1,,,,드래곤 100회 뽑기(한정 포함),
700315,simple,용돈 주머니,골드라고라 용돈 주머니,res/ui/icons/item/mandragora_gold.png,moneypouch,randombox,,,,,,,,1,,,,용돈 주머니,
700316,simple,두둑한 용돈 주머니,골드라고라 용돈 주머니,res/ui/icons/item/mandragora_gold_event.png,moneypouch_01,randombox,,,,,,,,1,,,,두둑한 용돈 주머니,
700317,simple,다이아 랜덤 박스,다이아 랜덤 박스,res/ui/icons/item/developing.png,luckybox_9.9k_03,randombox,,,,,,,,1,,,,럭키박스03(9.9k),
700318,simple,신화 드래곤 선택권,"{@YELLOW}6등급 드래곤{@DEFAULT} 중 한마리를 직접 선택하여 획득할 수 있는 티켓 (태초의 고대신룡, 파멸의 다크닉스, 전율의 번개고룡,무한의 파워드래곤은 획득할 수 없습니다.)",res/ui/icons/item/ticket_myth_choice.png,pick,pick_dragon,,,,,,,,1,,,,신화 드래곤 선택권,
700319,simple,신화 드래곤 선택권(리콜),{@YELLOW}6등급 드래곤{@DEFAULT} 중 한마리를 직접 선택하여 획득할 수 있는 티켓(리콜),res/ui/icons/item/ticket_myth_choice.png,pick,pick_dragon,,,,,,,,1,,,,신화 드래곤 선택권(리콜),
700320,simple,10회 고급소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 고급소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_summon.png,summon,summon_dragon,,,,,,,,1,,,,10회 고급소환권,
700321,simple,세에레 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 세에레 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_seere.png,summon,summon_dragon_100003,,,,,,,,1,,,,세에레 확률업 10회 소환권,
700322,simple,데스락 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 데스락 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_deathlock.png,summon,summon_dragon_100001,,,,,,,,1,,,,데스락 확률업 10회 소환권,
700323,simple,탈릿사 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 탈릿사 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_talissah.png,summon,summon_dragon_100002,,,,,,,,1,,,,탈릿사 확률업 10회 소환권,
700324,simple,헤네스 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 헤네스 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_henes.png,summon,summon_dragon_100005,,,,,,,,1,,,,헤네스 확률업 10회 소환권,
700325,simple,템페렌티나 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 템페렌티나 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_temperentina.png,summon,summon_dragon_100006,,,,,,,,1,,,,템페렌티나 확률업 10회 소환권,
700326,simple,카스티타스 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 카스티타스 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_castitas.png,summon,summon_dragon_100007,,,,,,,,1,,,,카스티타스 확률업 10회 소환권,
700327,simple,글루토니 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 글루토니 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_glutony.png,summon,summon_dragon_100010,,,,,,,,1,,,,글루토니 확률업 10회 소환권,
700328,simple,페티아 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 페티아 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_petia.png,summon,summon_dragon_100011,,,,,,,,1,,,,페티아 확률업 10회 소환권,
700329,simple,엔비 확률업 10회 소환권,{@YELLOW}3~6등급 드래곤{@DEFAULT}을 얻을 수 있는 엔비 확률업 소환을 10회 진행할 수 있는 티켓,res/ui/icons/item/ticket_advanced_myth_envy.png,summon,summon_dragon_100012,,,,,,,,1,,,,엔비 확률업 10회 소환권,
700330,simple,드래곤 소환권,부화소에서 드래곤을 소환하는 데 사용할 수 있는 티켓,res/ui/icons/item/summon_dragon_ticket.png,summon_dragon_ticket,summon_dragon_ticket,,,,,,,,1,,,,드래곤 소환권,
700331,simple,만원의 행복 랜덤박스,만원의 행복 랜덤박스,res/ui/icons/item/developing.png,luckybox_9.9k_05,randombox,,,,,,,,1,,,,만원의 행복 랜덤박스,
700332,simple,전설 특성 재료 랜덤박스,특성 강화 재료 랜덤박스,res/ui/icons/item/developing.png,luckybox_9.9k_06,randombox,,,,,,,,1,,,,전설 특성 재료 랜덤박스,
700333,simple,노려라! 속성 전설알 랜덤박스,노려라! 속성 전설알 패키지,res/ui/icons/item/developing.png,luckybox_9.9k_07,randombox,,,,,,,,1,,,,노려라! 속성 전설알 랜덤박스,
700334,simple,절대적인 전설의알 랜덤박스,절대적인 전설의알 랜덤박스 패키지,res/ui/icons/item/developing.png,luckybox_9.9k_10,randombox,,,,,,,,1,,,,절대적인 전설의알 랜덤박스,
700335,simple,전설룬 만원의 행복 랜덤박스,전설룬 만원의 행복 랜덤박스,res/ui/icons/item/developing.png,luckybox_9.9k_09,randombox,,,,,,,,1,,,,전설룬 만원의 행복 랜덤박스,
700371,simple,"오베론,엔비,탈릿사 선택권","신화 드래곤 오베론, 엔비, 탈릿사 중 하나를 선택하여 획득할 수 있는 티켓",res/ui/icons/item/ticket_myth_choice.png,pick,pick_dragon,,,,,,,,1,,,,"오베론, 엔비, 탈릿사 선택권",
700372,simple,인기 신화 드래곤 선택권,인기 신화 드래곤 선택권,res/ui/icons/item/ticket_myth_choice.png,pick,pick_dragon,,,,,,,,1,,,,인기 신화 드래곤 선택권,
700401,simple,아이템 자동 획득,모험에서 전투 중 출현하는 아이템을 터치하지 않아도 자동으로 획득하게 해 준다.,res/ui/icons/item/auto_pickup.png,auto_root,auto_root,,,,,,,,1,500,,,아이템 자동 획득,
700402,simple,경험치 부스터,경험치 2배 획득 버프,res/ui/icons/item/booster_exp.png,buff,buff_exp2x,,,,,,,,1,500,,,경험치 부스터,
700403,simple,골드 부스터,골드 2배 획득 버프,res/ui/icons/item/booster_gold.png,buff,buff_gold2x,,,,,,,,1,500,,,골드 부스터,
700404,simple,소탕,모험에서 전투 과정을 생략하고 전투 결과를 바로 확인할 수 있습니다.,res/ui/icons/item/clear_ticket.png,clear_ticket,clear_ticket,,,,,,,,1,,,,소탕24시간,
700501,simple,쿠폰,알 수 없는 문자들이 적혀 있는 오래된 종이. 또 다른 세계의 테이머들이 사용하면 대단한 선물을 받을 수 있다고 한다.,res/ui/icons/item/gift_box.png,coupon,coupon,,,,,,,,1,,,,쿠폰,
700511,simple,강화 포인트 랜덤 박스,강화 포인트 랜덤 박스,res/ui/icons/item/developing.png,luckybox_9.9k_04,randombox,,,,,,,,1,,,,강화 포인트 랜덤 박스,
700601,simple,토파즈 드래곤 뽑기권,토파즈 드래곤 뽑기권,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,토파즈 드래곤 뽑기권,
700602,simple,인기 드래곤 뽑기권(어둠),어둠속성의 인기있는 드래곤중에 하나를 획득할 수 있는 뽑기권.,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,어둠속성 인기 드래곤 뽑기권,
700603,simple,뱃도치드래곤 뽑기권,"뱃도치드래곤 땅,물,불 속성 중 하나를 획득할 수 있는 뽑기권",res/ui/icons/item/ticket_pick_summon_hero.png,summon,summon_draw,,,,,,,,1,,,,뱃도치드래곤 뽑기권,
700604,simple,인기 드래곤 뽑기권(빛),빛속성의 인기있는 드래곤중에 하나를 획득할 수 있는 뽑기권.,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,인기 드래곤 뽑기권(빛),
700605,simple,블랙찡또 뽑기권,"블랙찡또 땅,물,빛,어둠 속성 중 하나를 획득할 수 있는 뽑기권",res/ui/icons/item/ticket_pick_summon_hero.png,summon,summon_draw,,,,,,,,1,,,,블랙찡또 뽑기권,
700606,simple,미이라곤 뽑기권,"미이라곤 땅,물,불,어둠 속성 중 하나를 획득할 수 있는 뽑기권",res/ui/icons/item/ticket_pick_summon_hero.png,summon,summon_draw,,,,,,,,1,,,,미이라곤 뽑기권,
700607,simple,말덱 뽑기권,"말덱 땅,물,불,빛 속성 중 하나를 획득할 수 있는 뽑기권",res/ui/icons/item/ticket_pick_summon_hero.png,summon,summon_draw,,,,,,,,1,,,,말덱 뽑기권,
700608,simple,말덱 선택권,영웅 드래곤 선택권,res/ui/icons/item/ticket_hero_choice.png,pick,pick_dragon,,,,,,,,1,,,,말덱 선택권,
700609,simple,인기 드래곤 뽑기권(어둠),어둠속성의 인기있는 드래곤중에 하나를 획득할 수 있는 뽑기권.,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,인기 드래곤 뽑기권(어둠),
700610,simple,미스틱티니 뽑기권,"미스틱티니 땅,물,불,빛 속성 중 하나를 획득할 수 있는 뽑기권",res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,미스틱티니 뽑기권,
700611,simple,인기 드래곤 뽑기권(빛),빛속성의 인기있는 드래곤중에 하나를 획득할 수 있는 뽑기권.,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,인기 드래곤 뽑기권(빛),
700612,simple,전설 추천드래곤 선택권,전설 추천드래곤 선택권,res/ui/icons/item/ticket_legend_recommend_choice.png,pick,pick_dragon,,,,,,,,1,,,,전설 추천드래곤 선택권,
700613,simple,토파즈 드래곤 뽑기권,토파즈 드래곤 뽑기권,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,토파즈 드래곤 뽑기권,
700614,simple,인기 드래곤 뽑기권(어둠),어둠속성의 인기있는 드래곤중에 하나를 획득할 수 있는 뽑기권.,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,인기 드래곤 뽑기권(어둠),
700615,simple,인기 드래곤 뽑기권(빛),빛속성의 인기있는 드래곤중에 하나를 획득할 수 있는 뽑기권.,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,인기 드래곤 뽑기권(빛),
700616,simple,인기 드래곤 뽑기권(어둠),어둠속성의 인기있는 드래곤중에 하나를 획득할 수 있는 뽑기권.,res/ui/icons/item/ticket_pick_summon.png,summon,summon_draw,,,,,,,,1,,,,인기 드래곤 뽑기권(어둠),
700617,simple,전설 추천드래곤 선택권,전설 추천드래곤 선택권,res/ui/icons/item/ticket_legend_recommend_choice.png,pick,pick_dragon,,,,,,,,1,,,,전설 추천드래곤 선택권,
700618,simple,인기 드래곤 선택권(어둠),어둠속성의 인기있는 드래곤중에 하나를 획득할 수 있는 선택권.,res/ui/icons/item/ticket_legend_recommend_choice.png,pick,pick_dragon,,,,,,,,1,,,,인기 드래곤 선택권(어둠),
700619,simple,토파즈/한정 드래곤 선택권,토파즈 드래곤과 한정 드래곤중에 하나를 획득할 수 있는 선택권.,res/ui/icons/item/ticket_legend_topaz_limit_choice.png,pick,pick_dragon,,,,,,,,1,,,,토파즈/한정 드래곤 선택권,
700620,simple,한정 드래곤 선택권,한정 전설 드래곤중에 하나를 획득할 수 있는 선택권.,res/ui/icons/item/ticket_legend_limit_choice.png,pick,pick_dragon,,,,,,,,1,,,,한정 드래곤 선택권,
