did,t_name,c_name,type,c_appearance,res,test,lair,underling,scale,scale_1,scale_2,scale_3,icon,summon_add,mg_weight,fp_weight,pick_weight,sl_weight,lm_weight,rd_weight,c_coupon,category,rarity,birthgrade,role,rune,attr,skill_basic,skill_active,skill_metamorphosis,skill_1,skill_2,skill_3,skill_3_type,skill_leader,skill_leader_type,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,accuracy,resistance,relation_point,t_desc,r_limited
120402,흑룡,물 흑룡,blackdragon,2,res/character/dragon/blackdragon_@_#/blackdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/blackdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,blue,water,200000,204012,,204022,204032,204042,new,204052,hatch,2400,1678,115984,0,10,50,0,0,0,0,0,160,"암흑 속에서만 산다고 알려진 환상의 드래곤, 자신이 따를 테이머를 스스로 선택하여 나타난다고 전해진다.",0
120404,흑룡,빛 흑룡,blackdragon,2,res/character/dragon/blackdragon_@_#/blackdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/blackdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,red,light,200000,204014,,204024,204034,204044,new,204054,hatch,2703,1503,110992,0,10,50,0,0,0,0,0,160,"암흑 속에서만 산다고 알려진 환상의 드래곤, 자신이 따를 테이머를 스스로 선택하여 나타난다고 전해진다.",0
120405,흑룡,어둠 흑룡,blackdragon,2,res/character/dragon/blackdragon_@_#/blackdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/blackdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,pink,dark,200000,204015,,204025,204035,204045,new,204055,hatch,2606,1383,120888,0,10,50,0,0,0,0,0,160,"암흑 속에서만 산다고 알려진 환상의 드래곤, 자신이 따를 테이머를 스스로 선택하여 나타난다고 전해진다.",0
120431,스마트드래곤,땅 스마트드래곤,smartdragon,2,res/character/dragon/smartdragon_@_#/smartdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/smartdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,yellow,earth,200004,204311,,204321,204331,204341,skill_active,204351,hatch,1414,1854,166051,0,10,50,0,0,0,0,0,160,해박한 지식을 가진 드래곤. 고서의 해독 능력과 마법 능력이 뛰어나다. 얼굴에 비해 큰 안경과 두꺼운 책이 트레이드 마크이다,0
120432,스마트드래곤,물 스마트드래곤,smartdragon,2,res/character/dragon/smartdragon_@_#/smartdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/smartdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,red,water,200004,204312,,204322,204332,204342,skill_active,204352,hatch,2312,1701,121512,0,10,50,0,0,0,0,0,160,해박한 지식을 가진 드래곤. 고서의 해독 능력과 마법 능력이 뛰어나다. 얼굴에 비해 큰 안경과 두꺼운 책이 트레이드 마크이다,0
120433,스마트드래곤,불 스마트드래곤,smartdragon,2,res/character/dragon/smartdragon_@_#/smartdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/smartdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,yellow,fire,200004,204313,,204323,204333,204343,skill_active,204353,hatch,1278,1984,162178,0,10,50,0,0,0,0,0,160,해박한 지식을 가진 드래곤. 고서의 해독 능력과 마법 능력이 뛰어나다. 얼굴에 비해 큰 안경과 두꺼운 책이 트레이드 마크이다,0
120434,스마트드래곤,빛 스마트드래곤,smartdragon,2,res/character/dragon/smartdragon_@_#/smartdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/smartdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,yellow,light,200004,204314,,204324,204334,204344,skill_active,204354,hatch,890,2066,175140,0,10,50,0,0,0,0,0,160,해박한 지식을 가진 드래곤. 고서의 해독 능력과 마법 능력이 뛰어나다. 얼굴에 비해 큰 안경과 두꺼운 책이 트레이드 마크이다,0
120435,스마트드래곤,어둠 스마트드래곤,smartdragon,2,res/character/dragon/smartdragon_@_#/smartdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/smartdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,orange,dark,200004,204315,,204325,204335,204345,skill_active,204355,hatch,1303,2858,111606,0,10,50,0,0,0,0,0,160,해박한 지식을 가진 드래곤. 고서의 해독 능력과 마법 능력이 뛰어나다. 얼굴에 비해 큰 안경과 두꺼운 책이 트레이드 마크이다,0
120451,카르나,땅 카르나,karna,1,res/character/dragon/karna_@_#/karna_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/karna_@_#.png,,0,0,0,0,0,0,0,cardpack,legend,5,dealer,red,earth,200000,204511,,204521,204531,204541,skill_active,204551,hatch,2948,1872,102592,0,10,50,0,0,0,0,0,160,꿈의 세계에 머물고 있는 고대의 기사. 별명은 파멸의 전조. 아르주나의 신체 일부에서 태어난 드래곤. 전신이 은도금을 한듯 회백색이다.,0
120454,카르나,빛 카르나,karna,1,res/character/dragon/karna_@_#/karna_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/karna_@_#.png,,0,0,0,0,0,0,0,cardpack,legend,5,dealer,red,light,200000,204514,,204524,204534,204544,skill_active,204554,hatch,2949,1843,101704,0,10,50,0,0,0,0,0,160,꿈의 세계에 머물고 있는 고대의 기사. 별명은 파멸의 전조. 아르주나의 신체 일부에서 태어난 드래곤. 전신이 은도금을 한듯 회백색이다.,0
120455,카르나,어둠 카르나,karna,1,res/character/dragon/karna_@_#/karna_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/karna_@_#.png,,0,0,0,0,0,0,16,cardpack,legend,5,dealer,red,dark,200000,204515,,204525,204535,204545,skill_active,204555,hatch,2903,1917,101939,0,10,50,0,0,0,0,0,160,꿈의 세계에 머물고 있는 고대의 기사. 별명은 파멸의 전조. 아르주나의 신체 일부에서 태어난 드래곤. 전신이 은도금을 한듯 회백색이다.,0
120462,베루스,물 베루스,verus,1,res/character/dragon/verus_@_#/verus_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/verus_@_#.png,,10,0,0,0,10,0,0,limited,legend,5,dealer,red,water,200000,204612,,204622,204632,204642,skill_active,204652,hatch,2585,1893,118176,0,10,50,0,0,0,0,0,160,진실이란 뜻을 가진 이름의 드래곤. 진리와 진실을 관장하는 쌍둥이 신룡 중 첫째. 공격과 회복 양면에서 뛰어난 능력을 가지고 있다,0
120463,베루스,불 베루스,verus,1,res/character/dragon/verus_@_#/verus_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/verus_@_#.png,,10,0,0,0,10,0,0,limited,legend,5,dealer,red,fire,200000,204613,,204623,204633,204643,skill_active,204653,hatch,2802,1621,126101,0,10,50,0,0,0,0,0,160,진실이란 뜻을 가진 이름의 드래곤. 진리와 진실을 관장하는 쌍둥이 신룡 중 첫째. 공격과 회복 양면에서 뛰어난 능력을 가지고 있다,0
120101,빙하고룡,땅 빙하고룡,frostdragon,1,res/character/dragon/frostdragon_@_#/frostdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/frostdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,yellow,earth,200006,201011,,201021,201031,201041,skill_active,201051,hatch,1563,1787,153364,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 강력한 빙결의 숨결로 악한 자를 물리친다고 알려져 있다.,0
120102,빙하고룡,물 빙하고룡,frostdragon,1,res/character/dragon/frostdragon_@_#/frostdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/frostdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,orange,water,200006,201012,,201022,201032,201042,skill_active,201052,hatch,1493,2456,122232,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 강력한 빙결의 숨결로 악한 자를 물리친다고 알려져 있다.,0
120104,빙하고룡,빛 빙하고룡,frostdragon,1,res/character/dragon/frostdragon_@_#/frostdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/frostdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,yellow,light,200006,201014,,201024,201034,201044,skill_active,201054,hatch,1810,1529,157140,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 강력한 빙결의 숨결로 악한 자를 물리친다고 알려져 있다.,0
120105,빙하고룡,어둠 빙하고룡,frostdragon,1,res/character/dragon/frostdragon_@_#/frostdragon_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/frostdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,orange,dark,200006,201015,,201025,201035,201045,skill_active,201055,hatch,1508,2415,123669,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 강력한 빙결의 숨결로 악한 자를 물리친다고 알려져 있다.,0
120344,다크닉스,빛 다크닉스,darknix,1,res/character/dragon/darknix_@_#/darknix_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/darknix_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,purple,light,200000,203414,,203424,203434,203444,skill_active,203454,hatch,2722,1478,107136,0,10,50,0,0,0,0,0,160,"빛과 어둠의 시대에 신의 대행자로서 암흑의 세상을 수호하던 수호자. 다른 이름으로는 파괴의 마신, 칠흑의 지배자라고도 불린다.",0
120345,다크닉스,어둠 다크닉스,darknix,1,res/character/dragon/darknix_@_#/darknix_@_#.spine,2,1,0,0.8,1.1,0.8,0.8,res/ui/icons/cha/darknix_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,blue,dark,200000,203415,,203425,203435,203445,skill_active,203455,hatch,2632,1813,94512,0,10,50,0,0,0,0,0,160,"빛과 어둠의 시대에 신의 대행자로서 암흑의 세상을 수호하던 수호자. 다른 이름으로는 파괴의 마신, 칠흑의 지배자라고도 불린다.",0
120572,클라우드드래곤,물 클라우드드래곤,clouddragon,2,res/character/dragon/clouddragon_@_#/clouddragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/clouddragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,supporter,blue,water,200000,205712,,205722,205732,205742,new,,,1542,2275,132634,0,10,50,0,0,0,0,0,160,비를 불러온다고 알려진 무형 드래곤. 거대한 크기로 사람들에게 위압감을 주나 구름이기 때문에 바람이 불면 사라진다.,0
120574,클라우드드래곤,빛 클라우드드래곤,clouddragon,2,res/character/dragon/clouddragon_@_#/clouddragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/clouddragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,supporter,blue,light,200000,205714,,205724,205734,205744,new,,,1511,1996,150645,0,10,50,0,0,0,0,0,160,비를 불러온다고 알려진 무형 드래곤. 거대한 크기로 사람들에게 위압감을 주나 구름이기 때문에 바람이 불면 사라진다.,0
120611,메탈마그넷드래곤,땅 메탈마그넷드래곤,metalmagnetdragon,1,res/character/dragon/metalmagnetdragon_@_#/metalmagnetdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/metalmagnetdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,yellow,earth,200008,206111,,206121,206131,206141,new,206151,hatch,1476,1967,150210,0,10,50,0,0,0,0,0,160,고대의 학자들이 자석으로 만들어낸 드래곤. 전기와 철을 먹는 특이한 식성으로 유명하다.,0
120612,메탈마그넷드래곤,물 메탈마그넷드래곤,metalmagnetdragon,1,res/character/dragon/metalmagnetdragon_@_#/metalmagnetdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/metalmagnetdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,orange,water,200008,206112,,206122,206132,206142,new,206152,hatch,1364,2518,125294,0,10,50,0,0,0,0,0,160,고대의 학자들이 자석으로 만들어낸 드래곤. 전기와 철을 먹는 특이한 식성으로 유명하다.,0
120613,메탈마그넷드래곤,불 메탈마그넷드래곤,metalmagnetdragon,1,res/character/dragon/metalmagnetdragon_@_#/metalmagnetdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/metalmagnetdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,orange,fire,200008,206113,,206123,206133,206143,new,206153,hatch,1889,2766,85588,0,10,50,0,0,0,0,0,160,고대의 학자들이 자석으로 만들어낸 드래곤. 전기와 철을 먹는 특이한 식성으로 유명하다.,0
120623,블랙퀸,불 블랙퀸,blackqueen,1,res/character/dragon/blackqueen_@_#/blackqueen_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/blackqueen_@_#.png,,10,0,10,0,0,10,0,none,legend,5,supporter,orange,fire,200000,206213,,206223,206233,206243,skill_active,206253,hatch,1991,2228,107222,0,10,50,0,0,0,0,0,160,끔찍한 암흑 마법을 사용하는 마녀의 의지를 이어받은 드래곤. 매서운 눈매와 고압적인 태도로 적을 기선 제압한다.,0
120625,블랙퀸,어둠 블랙퀸,blackqueen,1,res/character/dragon/blackqueen_@_#/blackqueen_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/blackqueen_@_#.png,,10,0,10,0,0,10,0,none,legend,5,supporter,yellow,dark,200000,206215,,206225,206235,206245,skill_active,206255,hatch,2127,1658,132739,0,10,50,0,0,0,0,0,160,끔찍한 암흑 마법을 사용하는 마녀의 의지를 이어받은 드래곤. 매서운 눈매와 고압적인 태도로 적을 기선 제압한다.,0
120651,토템드래곤,땅 토템드래곤,totemdragon,1,res/character/dragon/totemdragon_@_#/totemdragon_@_#.spine,2,1,0,0.8,1.1,1.05,1,res/ui/icons/cha/totemdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,red,earth,200000,206511,,206521,206531,206541,new,206551,hatch,2172,2150,104815,0,10,50,0,0,0,0,0,160,이국의 땅에서 만들어졌다는 드래곤. 문신의 신비스러운 힘으로 토템을 소환하는 광경은 보는 이에게 공포마저 느끼게 한다.,0
120653,토템드래곤,불 토템드래곤,totemdragon,1,res/character/dragon/totemdragon_@_#/totemdragon_@_#.spine,2,1,0,0.8,1.1,1.05,1,res/ui/icons/cha/totemdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,red,fire,200000,206513,,206523,206533,206543,new,206551,hatch,1940,2264,111492,0,10,50,0,0,0,0,0,160,이국의 땅에서 만들어졌다는 드래곤. 문신의 신비스러운 힘으로 토템을 소환하는 광경은 보는 이에게 공포마저 느끼게 한다.,0
120655,토템드래곤,어둠 토템드래곤,totemdragon,1,res/character/dragon/totemdragon_@_#/totemdragon_@_#.spine,2,1,0,0.8,1.1,1.05,1,res/ui/icons/cha/totemdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,healer,red,dark,200000,206515,,206525,206535,206545,new,206551,hatch,2566,1817,94944,0,10,50,0,0,0,0,0,160,이국의 땅에서 만들어졌다는 드래곤. 문신의 신비스러운 힘으로 토템을 소환하는 광경은 보는 이에게 공포마저 느끼게 한다.,0
120662,마그나스,물 마그나스,magnas,1,res/character/dragon/magnas_@_#/magnas_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/magnas_@_#.png,,10,0,0,0,10,0,0,limited,legend,5,dealer,red,water,200000,206612,,206622,206632,206642,skill_active,206652,hatch,2925,1760,104244,0,10,50,0,0,0,0,0,160,"이계의 지배자 마룡왕의 자식으로 제 1왕위 계승권을 가졌지만 정복된 세계는 볼일 없다며 서번트 몇 마리와 함께 차원을 넘어 이노를 정복하러 왔다. 참고로, 머리의 왕관은 차원을 넘을 때 아버지 것을 몰래 가지고 온 것.",0
120663,마그나스,불 마그나스,magnas,1,res/character/dragon/magnas_@_#/magnas_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/magnas_@_#.png,,10,0,0,0,10,0,0,limited,legend,5,dealer,purple,fire,200000,206613,,206623,206633,206643,skill_active,206653,hatch,2779,1985,101674,0,10,50,0,0,0,0,0,160,"이계의 지배자 마룡왕의 자식으로 제 1왕위 계승권을 가졌지만 정복된 세계는 볼일 없다며 서번트 몇 마리와 함께 차원을 넘어 이노를 정복하러 왔다. 참고로, 머리의 왕관은 차원을 넘을 때 아버지 것을 몰래 가지고 온 것.",0
120665,마그나스,어둠 마그나스,magnas,1,res/character/dragon/magnas_@_#/magnas_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/magnas_@_#.png,,10,0,0,0,10,0,0,limited,legend,5,dealer,red,dark,200000,206615,,206625,206635,206645,skill_active,206655,hatch,3075,1755,96720,0,10,50,0,0,0,0,0,160,"이계의 지배자 마룡왕의 자식으로 제 1왕위 계승권을 가졌지만 정복된 세계는 볼일 없다며 서번트 몇 마리와 함께 차원을 넘어 이노를 정복하러 왔다. 참고로, 머리의 왕관은 차원을 넘을 때 아버지 것을 몰래 가지고 온 것.",0
120683,블랙아머,불 블랙아머,blackarmordragon,1,res/character/dragon/blackarmordragon_@_#/blackarmordragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/blackarmordragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,orange,fire,200000,206813,,206823,206833,206843,skill_active,206853,hatch,1368,3025,94291,0,10,50,0,0,0,0,0,160,과묵하고 무서운 생김새의 기사 드래곤. 겉보기에는 사납고 난폭해 보이지만 위험으로 부터 주인을 지키기 위해서는 자신의 목숨마저 건다고 알려졌다.,0
120684,블랙아머,빛 블랙아머,blackarmordragon,1,res/character/dragon/blackarmordragon_@_#/blackarmordragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/blackarmordragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,yellow,light,200000,206814,,206824,206834,206844,new,206854,hatch,1946,1983,117396,0,10,50,0,0,0,0,0,160,과묵하고 무서운 생김새의 기사 드래곤. 겉보기에는 사납고 난폭해 보이지만 위험으로 부터 주인을 지키기 위해서는 자신의 목숨마저 건다고 알려졌다.,0
120685,블랙아머,어둠 블랙아머,blackarmordragon,1,res/character/dragon/blackarmordragon_@_#/blackarmordragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/blackarmordragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,yellow,dark,200000,206815,,206825,206835,206845,skill_active,206855,hatch,1489,1827,163507,0,10,50,0,0,0,0,0,160,과묵하고 무서운 생김새의 기사 드래곤. 겉보기에는 사납고 난폭해 보이지만 위험으로 부터 주인을 지키기 위해서는 자신의 목숨마저 건다고 알려졌다.,0
120691,데몽&가고일,땅 데몽과가고일,demong_gargoyle,1,res/character/dragon/demong_gargoyle_@_#/demong_gargoyle_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/demong_gargoyle_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,blue,earth,200000,206911,,206921,206931,206941,skill_active,206951,hatch,2466,1864,101133,0,10,50,0,0,0,0,0,160,몬스터 월드에서 건너온 미지의 방문자. 둘은 한마음으로 뭉쳐 고향으로 돌아갈 방법을 찾고 있다. 둘의 영창을 하나로 하여 발동하는 합동 마법이 특기.,0
120692,데몽&가고일,물 데몽과가고일,demong_gargoyle,1,res/character/dragon/demong_gargoyle_@_#/demong_gargoyle_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/demong_gargoyle_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,red,water,200000,206912,,206922,206932,206942,skill_active,206952,hatch,2828,1537,101816,0,10,50,0,0,0,0,0,160,몬스터 월드에서 건너온 미지의 방문자. 둘은 한마음으로 뭉쳐 고향으로 돌아갈 방법을 찾고 있다. 둘의 영창을 하나로 하여 발동하는 합동 마법이 특기.,0
120695,데몽&가고일,어둠 데몽과가고일,demong_gargoyle,1,res/character/dragon/demong_gargoyle_@_#/demong_gargoyle_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/demong_gargoyle_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,purple,dark,200000,206915,,206925,206935,206945,skill_active,206955,hatch,2525,1496,112427,0,10,50,0,0,0,0,0,160,몬스터 월드에서 건너온 미지의 방문자. 둘은 한마음으로 뭉쳐 고향으로 돌아갈 방법을 찾고 있다. 둘의 영창을 하나로 하여 발동하는 합동 마법이 특기.,0
120701,와일드드래곤,땅 와일드드래곤,wild,1,res/character/dragon/wild_@_#/wild_@_#.spine,2,0,0,0.8,0.8,0.9,0.9,res/ui/icons/cha/wild_@_#.png,,10,0,10,0,0,10,0,none,hero,4,tanker,yellow,earth,200000,207011,,207021,207031,207041,new,,,1462,1515,150075,0,10,50,0,0,0,0,0,80,"알려지지 않은 망각의 산 발리온의 비밀스러운 파수꾼. 낯선 자의 방문을 매우 싫어하며,전투가 거듭될수록 몸이 타오르며 더욱더 강한 힘을 얻을 수 있다.",0
