bid,category,r_desc,item_id,val,pick_weight,r_real_ratio,view,r_desc,val_min,val_max,grade
1404,luckybox_9.9k_03,다이아,700001,15000,750,75%,1,다이아 랜덤 박스,,,
1501,luckybox_9.9k_04,강포,760005,960,50,5%,1,강화 포인트 랜덤 박스,,,
1502,luckybox_9.9k_04,강포,760005,560,150,15%,1,강화 포인트 랜덤 박스,,,
1503,luckybox_9.9k_04,강포,760005,390,300,30%,1,강화 포인트 랜덤 박스,,,
1504,luckybox_9.9k_04,강포,760005,240,500,50%,1,강화 포인트 랜덤 박스,,,
1505,luckybox_9.9k_06,전설 특성 재료,741041,10,1,1%,1,전설 특성 재료 랜덤박스,,,
1506,luckybox_9.9k_06,전설 특성 재료,741041,5,4,4%,1,전설 특성 재료 랜덤박스,,,
1507,luckybox_9.9k_06,전설 특성 재료,741041,2,10,10%,1,전설 특성 재료 랜덤박스,,,
1508,luckybox_9.9k_06,전설 특성 재료,741041,1,16,16%,1,전설 특성 재료 랜덤박스,,,
1509,luckybox_9.9k_06,불속성 전설 특성 재료,741143,3,23,23%,1,전설 특성 재료 랜덤박스,,,
1510,luckybox_9.9k_06,물속성 전설 특성 재료,741142,3,23,23%,1,전설 특성 재료 랜덤박스,,,
1511,luckybox_9.9k_06,땅속성 전설 특성 재료,741141,3,23,23%,1,전설 특성 재료 랜덤박스,,,
1512,luckybox_9.9k_07,땅속성 전설의 알,703032,1,20,20%,1,노려라! 속성 전설알 랜덤박스,,,
1513,luckybox_9.9k_07,물속성 전설의 알,703033,1,20,20%,1,노려라! 속성 전설알 랜덤박스,,,
1514,luckybox_9.9k_07,불속성 전설의 알,703034,1,20,20%,1,노려라! 속성 전설알 랜덤박스,,,
1515,luckybox_9.9k_07,빛속성 전설의 알,703035,1,20,20%,1,노려라! 속성 전설알 랜덤박스,,,
1516,luckybox_9.9k_07,암속성 전설의 알,703036,1,20,20%,1,노려라! 속성 전설알 랜덤박스,,,
1517,luckybox_9.9k_08,미중복 절대적인 전설의 알,703038,1,1,1%,1,절대적인 전설의알 랜덤박스,,,
1518,luckybox_9.9k_08,절대적인 전설의 알,703025,3,1,1%,1,절대적인 전설의알 랜덤박스,,,
1519,luckybox_9.9k_08,절대적인 전설의 알,703025,2,7,7%,1,절대적인 전설의알 랜덤박스,,,
1520,luckybox_9.9k_08,절대적인 전설의 알,703025,1,91,91%,1,절대적인 전설의알 랜덤박스,,,
1521,adv_lobby,광고룰렛,700001,300,30,30%,1,광고룰렛,,,
1522,adv_lobby,광고룰렛,700001,6000,1,1%,1,광고룰렛,,,
1523,adv_lobby,광고룰렛,700001,400,25,25%,1,광고룰렛,,,
1524,adv_lobby,광고룰렛,700001,1200,8,8%,1,광고룰렛,,,
1525,adv_lobby,광고룰렛,700001,600,10,10%,1,광고룰렛,,,
1526,adv_lobby,광고룰렛,700001,1500,5,5%,1,광고룰렛,,,
1527,adv_lobby,광고룰렛,700001,500,18,18%,1,광고룰렛,,,
1528,adv_lobby,광고룰렛,700001,3000,3,3%,1,광고룰렛,,,
1529,luckybox_9.9k_09,전설룬 만원의 행복 랜덤박스,703025,1,90,90%,1,전설룬 만원의 행복 랜덤박스,,,
1530,event_vote,신화드래곤 인기투표,700001,3000,7,0.07,1,신화드래곤 인기투표,,,
1531,event_vote,신화드래곤 인기투표,760005,10,5,0.05,1,신화드래곤 인기투표,,,
1532,event_vote,신화드래곤 인기투표,779154,1,22,0.22,1,신화드래곤 인기투표,,,
1533,event_vote,신화드래곤 인기투표,700017,20000,20,0.2,1,신화드래곤 인기투표,,,
1534,event_vote,신화드래곤 인기투표,700007,500,23,0.23,1,신화드래곤 인기투표,,,
1535,event_vote,신화드래곤 인기투표,700316,1,23,0.23,1,신화드래곤 인기투표,,,
1536,luckybox_9.9k_10,미중복 절대적인 전설의 알,703038,1,10,10%,1,절대적인 전설의알 랜덤박스,,,
1537,luckybox_9.9k_10,절대적인 전설의 알,703025,2,30,30%,1,절대적인 전설의알 랜덤박스,,,
1538,luckybox_9.9k_10,절대적인 전설의 알,703025,1,60,60%,1,절대적인 전설의알 랜덤박스,,,
