id,comment,atd_id,step,tag_hot,t_desc,item_id,value,r_name
5000507,event_old,50005,7,,,703005,1,전설의 알
5000601,event_old,50006,1,,,700305,1,10+1 고급소환권
5000602,event_old,50006,2,,,779154,1,★5 슈퍼 슬라임
5000603,event_old,50006,3,,,779154,1,★5 슈퍼 슬라임
5000604,event_old,50006,4,,,700002,1000000,골드
5000605,event_old,50006,5,,,779255,1,전설 스킬 슬라임
5000606,event_old,50006,6,,,779255,1,전설 스킬 슬라임
5000607,event_old,50006,7,,,703005,1,전설의 알
5000701,newbie_welcome,50007,1,,,700305,1,10+1 고급소환권
5000702,newbie_welcome,50007,2,,,779154,1,★5 슈퍼 슬라임
5000703,newbie_welcome,50007,3,,,779154,1,★5 슈퍼 슬라임
5000704,newbie_welcome,50007,4,,,700002,1000000,골드
5000705,newbie_welcome,50007,5,,,779255,1,전설 스킬 슬라임
5000706,newbie_welcome,50007,6,,,779255,1,전설 스킬 슬라임
5000707,newbie_welcome,50007,7,,,703005,1,전설의 알
5000801,global_2nd_event,50008,1,,,700305,1,10+1 고급소환권
5000802,global_2nd_event,50008,2,,,779154,1,★5 슈퍼 슬라임
5000803,global_2nd_event,50008,3,,,779154,1,★5 슈퍼 슬라임
5000804,global_2nd_event,50008,4,,,700002,1000000,골드
5000805,global_2nd_event,50008,5,,,779255,1,전설 스킬 슬라임
5000806,global_2nd_event,50008,6,,,779255,1,전설 스킬 슬라임
5000807,global_2nd_event,50008,7,,,703005,1,전설의 알
5000901,event,50009,1,,,700305,1,10+1 고급소환권
5000902,event,50009,2,,,779154,1,★5 슈퍼 슬라임
5000903,event,50009,3,,,779154,1,★5 슈퍼 슬라임
5000904,event,50009,4,,,700002,1000000,골드
5000905,event,50009,5,,,779255,1,전설 스킬 슬라임
5000906,event,50009,6,,,779255,1,전설 스킬 슬라임
5000907,event,50009,7,,,703005,1,전설의 알
5001001,event,50010,1,,,700001,10000,다이아
5001002,event,50010,2,,,700002,1000000,골드
5001003,event,50010,3,,,700101,2000,날개
5001004,event,50010,4,,,700305,1,10+1 고급소환권
5001005,event,50010,5,,,703005,1,전설의 알
5001101,event,50011,1,,,700001,10000,다이아
5001102,event,50011,2,,,700002,1000000,골드
5001103,event,50011,3,,,700101,2000,날개
5001104,event,50011,4,,,700305,1,10+1 고급소환권
5001105,event,50011,5,,,760005,110,전설 강화 포인트
5001106,event,50011,6,,,760005,130,전설 강화 포인트
5001107,event,50011,7,,,703005,1,전설의 알
5001201,event,50012,1,,,700305,1,10+1 고급소환권
5001202,event,50012,2,,,700002,1000000,골드
5001203,event,50012,3,,,700101,2000,날개
5001204,event,50012,4,,,700001,3000,다이아
5001205,event,50012,5,,,779255,1,전설 스킬 슬라임
5001206,event,50012,6,,,779255,1,전설 스킬 슬라임
5001207,event,50012,7,,,703005,1,전설의 알
5001301,event,50013,1,,,700305,1,10+1 고급소환권
5001302,event,50013,2,,,700002,1000000,골드
5001303,event,50013,3,,,700101,2000,날개
5001304,event,50013,4,,,700001,3000,다이아
5001305,event,50013,5,,,779255,1,전설 스킬 슬라임
5001306,event,50013,6,,,779255,1,전설 스킬 슬라임
5001307,event,50013,7,,,703005,1,전설의 알
5001401,event,50014,1,,,700651,1,룬 10개 뽑기 상자
5001402,event,50014,2,,,700101,2000,날개
5001403,event,50014,3,,,700651,3,룬 10개 뽑기 상자
5001404,event,50014,4,,,700001,3000,다이아
5001405,event,50014,5,,,700651,1,룬 10개 뽑기 상자
5001501,event,50015,1,,,700002,1000000,골드
5001502,event,50015,2,,,700305,1,10+1 고급소환권
5001503,event,50015,3,,,700711,20,찬란한 날개
5001504,event,50015,4,,,700001,5000,다이아
5001505,event,50015,5,,,779255,1,전설 스킬 슬라임
5001506,event,50015,6,,,779255,1,전설 스킬 슬라임
5001507,event,50015,7,,,703005,1,전설의 알
5001601,event,50016,1,,,700001,10000,다이아
5001602,event,50016,2,,,700002,1000000,골드
5001603,event,50016,3,,,700711,20,찬란한 날개
5001604,event,50016,4,,,700651,1,룬 10개 뽑기 상자
5001605,event,50016,5,,,700313,1,드래곤 100회 뽑기
5001701,event,50017,1,,,700002,1000000,골드
5001702,event,50017,2,,,700711,20,찬란한 날개
5001703,event,50017,3,,,700001,5000,다이아
5001704,event,50017,4,,,700651,1,룬 10개 뽑기 상자
5001705,event,50017,5,,,703005,1,전설의 알
5001801,event,50018,1,,,700002,1000000,골드
5001802,event,50018,2,,,700711,20,찬란한 날개
5001803,event,50018,3,,,700001,5000,다이아
5001804,event,50018,4,,,700651,1,룬 10개 뽑기 상자
5001805,event,50018,5,,,703005,1,전설의 알
5001901,event,50019,1,,,700811,3,돌림판 티켓
5001902,event,50019,2,,,700001,3000,다이아
5001903,event,50019,3,,,700811,5,돌림판 티켓
5001904,event,50019,4,,,700711,20,찬란한 날개
5001905,event,50019,5,,,700811,5,돌림판 티켓
5001906,event,50019,6,,,700651,1,룬 10개 뽑기 상자
5001907,event,50019,7,,,700811,7,돌림판 티켓
5002001,event,50020,1,,,700651,1,룬 10개 뽑기 상자
5002002,event,50020,2,,,700711,20,찬란한 날개
5002003,event,50020,3,,,700651,1,룬 10개 뽑기 상자
5002004,event,50020,4,,,760005,100,전설 강화 포인트
5002005,event,50020,5,,,700651,1,룬 10개 뽑기 상자
5002006,event,50020,6,,,700001,10000,다이아
5002007,event,50020,7,,,700651,1,룬 10개 뽑기 상자
5002101,event,50021,1,,,700801,5,복주머니
5002102,event,50021,2,,,700711,20,찬란한 날개
5002103,event,50021,3,,,700316,1,두둑한 용돈 주머니
5002104,event,50021,4,,,700801,5,복주머니
5002105,event,50021,5,,,703005,1,전설의 알
5002106,event,50021,6,,,700651,1,룬 10개 뽑기 상자
5002107,event,50021,7,,,700001,10000,다이아
5002201,event,50022,1,,,700320,3,10회 고급소환권
5002202,event,50022,2,,,700711,20,찬란한 날개
5002203,event,50022,3,,,700320,1,10회 고급소환권
5002204,event,50022,4,,,700001,10000,다이아
5002205,event,50022,5,,,700320,1,10회 고급소환권
5002206,event,50022,6,,,779255,3,전설 스킬 슬라임
5002207,event,50022,7,,,700320,5,10회 고급소환권
5002301,event,50023,1,,,700313,1,드래곤 100회 뽑기
5002302,event,50023,2,,,700711,100,찬란한 날개
5002303,event,50023,3,,,700705,1,성장 재료 선택권
5002304,event,50023,4,,,700313,1,드래곤 100회 뽑기
5002305,event,50023,5,,,700002,10000000,골드
5002306,event,50023,6,,,700705,2,성장 재료 선택권
5002307,event,50023,7,,,700313,1,드래곤 100회 뽑기
5002401,event,50024,1,,,700320,1,10회 고급소환권
5002402,event,50024,2,,,700711,50,찬란한 날개
5002403,event,50024,3,,,700705,1,성장 재료 선택권
5002404,event,50024,4,,,700320,1,10회 고급소환권
5002405,event,50024,5,,,700002,5000000,골드
5002406,event,50024,6,,,700705,1,성장 재료 선택권
5002407,event,50024,7,,,700320,2,10회 고급소환권
5002501,event,50025,1,,,700811,5,돌림판 티켓
5002502,event,50025,2,,,700320,1,10회 고급소환권
5002503,event,50025,3,,,700811,7,돌림판 티켓
5002504,event,50025,4,,,700320,1,10회 고급소환권
5002505,event,50025,5,,,700811,10,돌림판 티켓
5002601,event,50026,1,,,700801,10,복주머니
5002602,event,50026,2,,,700711,20,찬란한 날개
5002603,event,50026,3,,,700801,10,복주머니
5002604,event,50026,4,,,703005,1,전설의 알
5002605,event,50026,5,,,700801,10,복주머니
5002606,event,50026,6,,,700001,10000,다이아
5002607,event,50026,7,,,700801,10,복주머니
5002701,event,50027,1,,,700811,3,돌림판 티켓
5002702,event,50027,2,,,700001,3000,다이아
5002703,event,50027,3,,,700811,5,돌림판 티켓
5002704,event,50027,4,,,700711,20,찬란한 날개
5002705,event,50027,5,,,700811,5,돌림판 티켓
5002706,event,50027,6,,,700651,1,룬 10개 뽑기 상자
5002707,event,50027,7,,,700811,7,돌림판 티켓
5003001,event,50030,1,,,770392,1,물 원더
5003002,event,50030,2,,,700330,100,소환권
5003003,event,50030,3,,,700002,3000000,골드
5003004,event,50030,4,,,760005,50,전설 강화포인트
5003005,event,50030,5,,,779255,2,전설 스킬 슬라임
5003006,event,50030,6,,,700404,14,소탕
5003007,event,50030,7,,,700330,100,소환권
5003101,newbi,50031,1,,,770392,1,물 원더
5003102,newbi,50031,2,,,700330,100,소환권
5003103,newbi,50031,3,,,700002,3000000,골드
5003104,newbi,50031,4,,,760005,50,전설 강화포인트
5003105,newbi,50031,5,,,779255,2,전설 스킬 슬라임
5003106,newbi,50031,6,,,700404,14,소탕
5003107,newbi,50031,7,,,700330,100,소환권
5003201,comback,50032,1,,,703005,1,전설의 알
5003202,comback,50032,2,,,700330,50,소환권
5003203,comback,50032,3,,,700002,1500000,골드
5003204,comback,50032,4,,,760005,20,전설 강화포인트
5003205,comback,50032,5,,,779255,1,전설 스킬 슬라임
5003206,comback,50032,6,,,700404,7,소탕
5003207,comback,50032,7,,,700330,50,소환권
5003301,event,50033,1,,,700404,5,소탕
5003302,event,50033,2,,,700330,50,소환권
5003303,event,50033,3,,,700002,1500000,골드
5003304,event,50033,4,,,760005,50,전설 강화포인트
5003305,event,50033,5,,,779255,1,전설 스킬 슬라임
5003306,event,50033,6,,,771722,1,폴투누스
5003307,event,50033,7,,,700330,50,소환권
5003401,event,50034,1,,,700801,10,복주머니
5003402,event,50034,2,,,700711,30,찬란한 날개
5003403,event,50034,3,,,700801,10,복주머니
5003404,event,50034,4,,,700330,10,드래곤 소환권
5003405,event,50034,5,,,700801,10,복주머니
5003406,event,50034,6,,,703001,1,빛나는 전설의 알
5003407,event,50034,7,,,700801,10,복주머니
5003501,event,50035,1,,,700020,100,달콤한 사탕
5003502,event,50035,2,,,700020,100,달콤한 사탕
5003503,event,50035,3,,,700020,100,달콤한 사탕
5003504,event,50035,4,,,700020,100,달콤한 사탕
5003505,event,50035,5,,,700711,50,찬란한 날개
5003506,event,50035,6,,,700705,1,성장 재료 선택권
5003507,event,50035,7,,,700330,50,드래곤 소환권
5003601,newbi,50036,1,,,770392,1,물 원더
5003602,newbi,50036,2,,,700699,1,물 원더 성장 지원 상자
5003603,newbi,50036,3,,,700330,30,소환권
5003604,newbi,50036,4,,,771115,1,암 뱃도치
5003605,newbi,50036,5,,,700101,10000,날개
5003606,newbi,50036,6,,,700001,10000,다이아
5003607,newbi,50036,7,,,771653,1,불 합라
5003701,comback,50037,1,,,700330,30,소환권
5003702,comback,50037,2,,,700001,10000,다이아
5003703,comback,50037,3,,,700330,30,소환권
5003704,comback,50037,4,,,700330,40,소환권
5003705,comback,50037,5,,,700330,50,소환권
5003706,comback,50037,6,,,700330,50,소환권
5003707,comback,50037,7,,,700001,30000,다이아
5003801,event,50038,1,,,700801,10,복주머니
5003802,event,50038,2,,,700711,20,찬란한 날개
5003803,event,50038,3,,,700801,10,복주머니
5003804,event,50038,4,,,703005,1,전설의 알
5003805,event,50038,5,,,700801,10,복주머니
5003806,event,50038,6,,,700001,10000,다이아
5003807,event,50038,7,,,700801,10,복주머니
5003901,event,50039,1,,,700002,1000000,골드
5003902,event,50039,2,,,700101,3000,날개
5003903,event,50039,3,,,700305,1,10+1 고급 소환권
5003904,event,50039,4,,,700706,1,7등급 룬 세트 선택권(일반)
5003905,event,50039,5,,,779215,1,전설 스킬 슬라임
5003906,event,50039,6,,,760005,110,전설 강화 포인트
5003907,event,50039,7,,,770444,1,빛 아르주나
5004001,event,50040,1,,,700020,100,달콤한 사탕
5004002,event,50040,2,,,700020,100,달콤한 사탕
5004003,event,50040,3,,,700020,100,달콤한 사탕
5004004,event,50040,4,,,700020,100,달콤한 사탕
5004005,event,50040,5,,,700711,50,찬란한 날개
5004006,event,50040,6,,,700705,1,성장 재료 선택권
5004007,event,50040,7,,,700330,50,드래곤 소환권
5004101,event,50041,1,,,700811,5,돌림판 티켓
5004102,event,50041,2,,,700320,1,10회 고급소환권
5004103,event,50041,3,,,700101,3000,날개
5004104,event,50041,4,,,700320,1,10회 고급소환권
5004105,event,50041,5,,,700811,7,돌림판 티켓
5004106,event,50041,6,,,700101,3000,날개
5004107,event,50041,7,,,700811,10,돌림판 티켓
5004201,event,50042,1,,,700832,1,인기 신화 드래곤 소환권
5004202,event,50042,2,,,700832,1,인기 신화 드래곤 소환권
5004203,event,50042,3,,,700832,2,인기 신화 드래곤 소환권
5004204,event,50042,4,,,700832,1,인기 신화 드래곤 소환권
5004205,event,50042,5,,,700832,1,인기 신화 드래곤 소환권
5004206,event,50042,6,,,700832,1,인기 신화 드래곤 소환권
5004207,event,50042,7,,,700832,3,인기 신화 드래곤 소환권
5004301,event,50043,1,,,700020,100,시원한 수박
5004302,event,50043,2,,,700020,100,시원한 수박
5004303,event,50043,3,,,700020,100,시원한 수박
5004304,event,50043,4,,,700020,100,시원한 수박
5004305,event,50043,5,,,700711,50,찬란한 날개
5004306,event,50043,6,,,700705,1,성장 재료 선택권
5004307,event,50043,7,,,700330,50,드래곤 소환권
5004401,event,50044,1,,,700002,1000000,골드
5004402,event,50044,2,,,779215,4,전설 스킬 슬라임
5004403,event,50044,3,,,700330,100,드래곤 소환권
5004404,event,50044,4,,,741041,3,전설 특성 재료
5004405,event,50044,5,,,760005,360,전설 강화 포인트
5004406,event,50044,6,,,700706,1,7등급 룬 세트 선택권(일반)
5004407,event,50044,7,,,700304,1,전설 드래곤 선택권
5004501,event,50045,1,,,700801,10,복주머니
5004502,event,50045,2,,,700711,20,찬란한 날개
5004503,event,50045,3,,,700801,10,복주머니
5004504,event,50045,4,,,741041,1,전설 특성 재료
5004505,event,50045,5,,,700801,10,복주머니
5004506,event,50045,6,,,700001,10000,다이아
5004507,event,50045,7,,,700801,10,복주머니
5004601,event,50046,1,,,700020,100,잭-오-랜턴
5004602,event,50046,2,,,700020,100,잭-오-랜턴
5004603,event,50046,3,,,700020,100,잭-오-랜턴
5004604,event,50046,4,,,700020,100,잭-오-랜턴
5004605,event,50046,5,,,700711,50,잭-오-랜턴
5004606,event,50046,6,,,700705,1,성장 재료 선택권
5004607,event,50046,7,,,700330,50,드래곤 소환권
5004701,event,50047,1,,,700811,5,돌림판 티켓
5004702,event,50047,2,,,700320,1,10회 고급 소환권
5004703,event,50047,3,,,700101,3000,날개
5004704,event,50047,4,,,703026,1,크리마용의 알
5004705,event,50047,5,,,700811,7,돌림판 티켓
5004706,event,50047,6,,,700101,3000,날개
5004707,event,50047,7,,,700811,10,돌림판 티켓
5004801,event,50048,1,,,770182,1,블루드래곤(물) 해치
5004802,event,50048,2,,,700305,5,10+1 고급 소환권
5004803,event,50048,3,,,700101,10000,날개
5004804,event,50048,4,,,700305,5,10+1 고급 소환권
5004805,event,50048,5,,,700101,10000,날개
5004806,event,50048,6,,,700305,5,10+1 고급 소환권
5004807,event,50048,7,,,741041,1,전설 특성 재료
5004901,event,50049,1,,,700801,10,복주머니
5004902,event,50049,2,,,700711,20,찬란한 날개
5004903,event,50049,3,,,700801,10,복주머니
5004904,event,50049,4,,,741041,1,전설 특성 재료
5004905,event,50049,5,,,700801,10,복주머니
5004906,event,50049,6,,,700001,10000,다이아
5004907,event,50049,7,,,700801,10,복주머니
