id,skill_form,type,t_name,res_1,res_2,res_3,animation,motion_type,dmg_type,dir,chance_type,chance_value,target_type,indicator_type,power_rate,default_power,hit,val_1,val_2,val_3,status_effect_rate,status_effect_type,for_gd,desc,to_programmer
230011,script,skill_missile_beatstab,연속찌르기,res/missile/missile_sting/missile_sting.png,res/indicator/warning_sign/warning_sign.vrp,x,attack_2,instant,physical,-2,rate,0.15,enemy_distance_line,enemy_line_pass,100,100,1,2,1,0,0,x,0,타겟 앞에서 공격력의 10%로 10회 관통 공격. val_1초 만큼 인디케이터 보여진 후 공격,관통탄 스크립트 개량하여 사용
230012,script,skill_missile_minibee,일벌 날리기,res/missile/missile_minibee/missile_minibee.spine,res/indicator/warning_sign/warning_sign.vrp,x,attack_4,instant,physical,-2,rate,0.2,enemy_distance_line,x,50,50,1,4,1,0,0,x,0,작은 벌을 소환해 공격,
230013,code,skill_deep_stab,깊은 찌르기,x,x,x,attack_3,instant,physical,-1,rate,0.1,enemy_random,x,1000,1000,1,1,1,0,0,x,0,대상 앞으로 이동해 꼬리로 공격,
230014,script,skill_missile_sting_1,독침 날리기,res/missile/missile_sting/missile_sting.png,x,x,attack_1,instant,physical,-1,rate,0.1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,킬러비 일반 공격,
230015,script,skill_missile_sting_2,독침 날리기 전방,res/missile/missile_sting/missile_sting.png,x,x,attack_2,instant,physical,-2,rate,0.1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,,
230016,script,skill_missile_sting_3,독침 방사,res/missile/missile_sting/missile_sting.png,x,x,attack_2,instant,physical,-2,rate,0.1,enemy_distance_line,x,25,25,1,1,1,0,0,x,0,,
230017,script,skill_missile_honeycomb,벌통 던지기,"res/missile/missile_honeycomb/missile_honeycomb.png",x,x,skill_1,instant,physical,-2,rate,0.3,enemy_random,x,100,100,1,6,1,0,0,x,0,벌통은 데미지가 없고 추가로 발사되는 미니비 투사체는 각각 공격력의 20%의 데미지를 줌,하나의 스크립트에서 idx:1의 탄이 피격시 idx:2 탄이 동작하는 탄속성 필요함
230018,script,skill_missile_summonbee,벌 소환,res/missile/missile_minibee/missile_minibee.spine,x,x,x,instant,physical,-1,rate,1,enemy_random,x,80,80,1,4,1,0,0,x,0,벌통에서 미니비 4마리를 소환해 공격력의 10%의 피해를 주는 공격을 함,
230019,script,skill_missile_scaies,비늘 날리기,res/missile/missile_scaies/missile_scaies.png,x,x,x,instant,physical,-1,rate,0.3,enemy_distance_line,x,50,50,36,1,1,0,0,x,0,각각 공격력의 10%의 데미지를 주는 날카로운 비늘을 사방으로 날린다.,
230020,script,skill_cloud_poison,향수 뿌리기,res/missile/missile_cloud_poison/missile_cloud_poison.vrp,x,x,x,instant,magical,-2,rate,0.3,enemy_distance_line,x,15,15,1,1,1,0,0,x,0,퀸즈 스테이크가 향수병을 꺼내 독성 구름을 적들에게 분사한다. 구름은 천천히 이동하며 범위안에 있는 적에게 초당 공격력의 20%의 다단 히트 데미지를 준다.,"스킬 캔슬 조건: 퀸즈 스네이크가 향수병을 꺼내 들고 전용 모션(skill_03)을 약 5초간 유지함, 그 동안 향수병에 퀸즈 스네이크의 전체 체력의 5%에 해당하는 체력이 향수병에 생기고 공격할 수 있게 됨(공격 가능 인디케이터 필요) 지속 시간 동안 향수병을 공격하여 파괴하면 독성 구름은 퀸즈 스네이크에 머물러 10초간 지속 데미지를 줌"
230021,code,skill_giant_snake,거대 뱀 소환,res/effect/skill_giant_snake/skill_giant_snake.spine,x,x,x,instant,magical,-1,rate,0.1,enemy_distance_line,x,1000,1000,1,1,1,0,0,x,0,퀸즈 스네이크가 화면 중단/하단 직선 범위를 공격력의 200%로 공격하는 거대한 뱀을 소환한다.,직선형 인디케이터 표시 3초
230022,script,skill_missile_mushroom,버섯 로켓,res/missile/missile_mushroom/missile_mushroom.png,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,80,80,1,1,1,0,0,x,0,갓에 날카로운 돌기가 달린 버섯 로켓을 날려 공격한다.,
230023,script,skill_satelliet_mushroom,버섯 종자 공격,res/missile/missile_satelliet_mushroom/missile_satelliet_mushroom.vrp,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,100,100,1,10,3,0,0,x,0,여왕 버섯 주변을 회전하며 공격하는 버섯 종자를 소환한다. 버섯 종자는 여왕 버섯 전체 체력의 10%에 해당하는 차제 체력을 가지고 여왕 버섯 주변을 회전하며 3초에 한 번씩 일반탄(버섯 여왕 공격력의 5%)을 쏘아 공격한다.,"스킬 사용자 주변을 도는 탄 무브먼트 필요, 탄 체력 필요, 탄에서 탄이 발사되는 트리거 필요"
230024,script,skill_grow_mushroom,버섯 재배,res/effect/skill_grow_mushroom/skill_grow_mushroom.spine,x,x,x,instant,magical,-2,rate,0.2,enemy_distance_line,x,300,300,5,10,3,0,0,x,0,적 중 체력이 가장 낮은 대상에게 기생하여 사망 시 폭발하여 반경 250px 범위 안에 있는 대상에게 광역 즉사 피해를 주는 버섯의 종자를 심는다.,버섯 종자는 계속해서 매 3초마다 대상의 최대 체력의 val_1 %를 흡수하여 성장하며(scale 상승) 대상이 체력을 모두 빼앗기거나 사망하게 되면 버섯이 폭발하여 광역 피해를 준다. 버섯은 15초 후에 자동으로 사라진다. (val_2 초마다 hit 번 공격)
230025,script,skill_drain_life,생명력 흡수,res/missile/missile_drain_life/missile_drain_life.vrp,x,x,skill_1,instant,magical,-1,rate,1,enemy_hp_high,x,25,25,1,50,1,0,0,x,0,대상의 전체 체력의 5%만큼 데미지를 주고 피해량의 50% 만큼 자신을 회복 시킨다.,대상의 power_rate % 만큼 데미지를 주고 피해량의 val_1 % 만틈 자신을 회복 시킨다. 투사체는 대상에서 자신으로 이동
230026,script,skill_life_link,씨앗 뿌리기,res/effect/skill_life_link_plant/skill_life_link_plant.spine,x,x,x,instant,magical,-1,rate,0.3,enemy_random,x,20,20,1,5,10,0,0,x,0,대상에게 씨앗을 심어 입은 피해를 아군과 공유하는 꽃을 피운다. 꽃은 10초 동안 유지된다. 대상에게는 꽃이 피어나고 대상의 아군에게는 뿌리가 뻗어나가 휘감는다. 뿌리가 감긴 대상이 피해를 입으면 연결된 모든 캐릭터가 동일한 피해를 입는다.,"전이되는 피해량은 power_rate % 만큼 공유함, val_1 수 만큼 뿌리가 뻗어나감, 지속시간은 val_2 초"
230027,script,skill_missile_feather,깃털 날리기,res/missile/missile_feather/missile_feather.png,x,x,x,instant,physical,-1,rate,1,enemy_random,x,80,80,1,1,1,0,0,x,0,목표 대상을 중심으로 좌우 10도 간격으로 방사하는 깃털 5발을 날려 공격한다. 깃털은 각각 공격력의 5%의 데미지를 가진다.,
230028,script,skill_typhoon_feather,깃털 폭풍,res/missile/missile_feather/missile_feather.png,x,x,skill_1,instant,physical,-2,rate,0.3,enemy_distance_line,x,50,50,1,1,1,0,0,x,0,빠른 속도로 몸을 회전 시켜 화면을 이동하며 수 많은 깃털을 뿌리며 공격한다.,
230029,script,skill_drain_life,생명력 흡수,res/missile/missile_drain_life/missile_drain_life.vrp,x,x,skill_1,instant,magical,-1,rate,1,enemy_hp_high,x,25,25,1,50,1,0,0,x,0,대상의 전체 체력의 5%만큼 데미지를 주고 피해량의 50% 만큼 자신을 회복 시킨다.,대상의 power_rate % 만큼 데미지를 주고 피해량의 val_1 % 만틈 자신을 회복 시킨다. 투사체는 대상에서 자신으로 이동
230030,script,skill_missile_feather,깃털 날리기,res/missile/missile_feather/missile_feather.png,x,x,x,instant,physical,-2,rate,1,enemy_random,x,80,80,1,1,1,0,0,x,0,목표 대상을 중심으로 좌우 10도 간격으로 방사하는 깃털 5발을 날려 공격한다. 깃털은 각각 공격력의 5%의 데미지를 가진다.,
230031,script,skill_missile_thorn,가시 날리기,res/missile/missile_thorn/missile_thorn.png,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,,
231031,script,skill_missile_thorns,가시 폭풍,res/missile/missile_thorn/missile_thorn.png,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,20,20,1,1,1,0,0,x,0,,
230032,code,skill_counterattack,가시 방사,res/missile/missile_thorn/missile_thorn.png,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,231031,10,0,0,x,0,,
230033,script,skill_missile_ink,먹물 발사,res/missile/missile_bubble_black/missile_bubble_black.vrp,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,100,25,1,1,1,0,25,blind,0,,
230034,script,skill_missile_spearfish,청새치,res/missile/missile_spearfish/missile_spearfish.png,x,x,x,instant,physical,-2,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,,
230035,code,skill_melee_hack,작살 찌르기,res/missile/missile_harpoon/missile_harpoon.png,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,5000,2000,0,0,x,0,,
230036,script,skill_missile_poisonflask,독병 던지기,res/missile/missile_poisonflask/missilepoison_flask.vrp,x,x,x,instant,magical,-1,rate,0.3,enemy_random,x,150,150,1,1,1,0,100,poison,0,,
230037,script,skill_missile_anchor,닷 공격,res/missile/missile_anchor/missile_anchor.png,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,,
230038,script,skill_missile_sword_force,검기 날리기,res/missile/missile_sword_force/missile_sword_force.png,x,x,skill_4,instant,physical,-1,rate,1,enemy_distance_line,x,30,30,1,1,1,0,5,bleed,0,,
230039,script,skill_missile_harpoon,작살 던지기,x,x,x,skill_1,instant,physical,-1,rate,1,enemy_random,x,100,100,1,1,1,0,50,bleed,0,,
230040,script,skill_missile_ink2,먹물 발사,res/missile/missile_bubble_black/missile_bubble_black.vrp,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,25,25,1,1,1,0,25,blind,0,,
240001,script,skill_missile_giantdragon_basic,작은 브레스,res/missile/missile_giantdragon_basic_@/missile_giantdragon_basic_@.spine,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,,
240002,code,basic_ray,레이저,res/effect/skill_giantdragon_laser_@/skill_giantdragon_laser_@.spine,x,x,skill_1,maintain,magical,-1,rate,1,enemy_distance_line,x,200,200,20,1,1,0,0,x,0,skill_giantdragon_laser,
240003,script,skill_missile_giantdragon_basic,할퀴기,x,x,x,skill_2,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,skill_giantdragon_claw,
240004,script,skill_missile_giantdragon_basic,브레스,res/effect/skill_giantdragon_breath_@/skill_giantdragon_breath_@.spine,x,x,skill_3,maintain,magical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,skill_giantdragon_breath,
240005,code,skill_thunder,머리 뿔,res/missile/shot_thunder_light/shot_thunder_light.spine,x,x,skill_4,instant,magical,-1,rate,1,enemy_distance_line,x,100,100,3,1,1,0,0,x,0,skill_thunder,
240006,code,skill_thunder,꼬리,res/missile/shot_thunder_light/shot_thunder_light.spine,x,x,skill_5,instant,magical,-1,rate,1,enemy_distance_line,x,100,100,3,1,1,0,0,x,0,skill_thunder,
240007,script,skill_missile_giantdragon_basic,졸개 소환,x,x,x,skill_6,instant,magical,-1,rate,1,enemy_distance_line,x,100,100,1,5,1,0,0,x,0,skill_summon_wyvern,
240008,script,skill_missile_giantdragon_basic,강습,x,x,x,skill_7,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,skill_assault,
240009,script,skill_missile_giantdragon_meteor,운석 소환,res/effect/skill_giantdragon_meteor_@/skill_giantdragon_meteor_@.vrp,x,x,skill_8,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,5,1,1,0,0,x,0,skill_giantdragon_meteor,
230041,status_effect,skill_buff_team,물리 저항,x,x,x,skill_1,instant,magical,-1,rate,1,ally_none,x,0,0,0,1,1,0,100,p_resist,0,물리 저항,
230042,status_effect,skill_buff_team,마법 저항,x,x,x,x,instant,magical,-1,rate,1,ally_none,x,0,0,0,1,1,0,100,m_resist,0,마법 저항,
230043,code,skill_buff_self,물리 저항,x,x,x,x,instant,magical,-1,passive,none,self,x,0,0,0,1,1,0,100,passive_p_resist,0,물리 저항,
230044,code,skill_buff_self,마법 저항,x,x,x,x,instant,magical,-1,passive,none,self,x,0,0,0,1,1,0,100,passive_m_resist,0,마법 저항,
230045,code,skill_heal_single,회복,res/effect/skill_heal_monster/skill_heal_monster.vrp,x,x,skill_1,instant,magical,-2,rate,1,ally_hp_low,x,400,400,4,1,1,0,0,x,0,다크 크리스탈 치유사,타겟 치유 스킬과 동일
230046,code,skill_summon,소환,effect_summon,x,x,skill_1,instant,x,0,rate,0.5,self,x,0,0,1,0,0,0,0,x,0,,
230047,code,skill_summon,소환,effect_summon,x,x,skill_1,instant,x,0,rate,0.5,self,x,0,0,1,1,0,0,0,x,0,,
230048,code,skill_summon,소환,effect_summon,x,x,skill_1,instant,x,0,rate,0.5,self,x,0,0,1,2,0,0,0,x,0,,
230049,code,skill_bloodlust,피의 맛,skill_bloodlust,x,x,x,instant,x,0,passive,none,self,x,0,0,1,1,1,1,100,passive_bloodlust,0,,
