stage,difficult,chapter_info,stage_info,attr,level,cost_type,cost_value,time_limit,dragon_exp,tamer_exp,gold_unit,drop_display_0,drop_display_1,drop_display_2,drop_display_3,drop_display_4,drop_display_5,drop_display_6,drop_display_7,rate_s,rate_a,rate_b,rate_c,id_s1,value_s1,rate_s1,id_s2,value_s2,rate_s2,id_s3,value_s3,rate_s3,id_s4,value_s4,rate_s4,id_s5,value_s5,rate_s5,id_s6,value_s6,rate_s6,id_s7,value_s7,rate_s7,id_s8,value_s8,rate_s8,id_s9,value_s9,rate_s9,id_s10,value_s10,rate_s10,id_a1,value_a1,rate_a1,id_a2,value_a2,rate_a2,id_a3,value_a3,rate_a3,id_a4,value_a4,rate_a4,id_a5,value_a5,rate_a5,id_a6,value_a6,rate_a6,id_a7,value_a7,rate_a7,id_a8,value_a8,rate_a8,id_a9,value_a9,rate_a9,id_a10,value_a10,rate_a10,id_b1,value_b1,rate_b1,id_b2,value_b2,rate_b2,id_b3,value_b3,rate_b3,id_b4,value_b4,rate_b4,id_b5,value_b5,rate_b5,id_b6,value_b6,rate_b6,id_b7,value_b7,rate_b7,id_b8,value_b8,rate_b8,id_b9,value_b9,rate_b9,id_b10,value_b10,rate_b10,id_c1,value_c1,rate_c1,id_c2,value_c2,rate_c2,id_c3,value_c3,rate_c3,id_c4,value_c4,rate_c4,id_c5,value_c5,rate_c5,id_c6,value_c6,rate_c6,id_c7,value_c7,rate_c7,id_c8,value_c8,rate_c8,id_c9,value_c9,rate_c9,id_c10,value_c10,rate_c10
11023,easy,2,3,water,11,stamina,2,120,300,375,2,701021,701031,701041,701051,701061,702021,700001,703001,1,80,460,9900,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702024,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702023,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702022,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702021,1,200,703001,1,1
11024,easy,2,4,water,12,stamina,2,120,320,400,2,701021,701031,701041,701051,701061,702031,700001,703001,1,70,440,9850,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702034,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702033,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702032,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702031,1,200,703001,1,1
11025,easy,2,5,water,13,stamina,2,120,340,425,2,701021,701031,701041,701051,701061,702041,700001,703001,1,60,420,9800,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702044,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702043,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702042,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702041,1,200,703001,1,1
11026,easy,2,6,water,14,stamina,2,120,360,450,2,701021,701031,701041,701051,701061,702051,700001,703001,1,50,400,9750,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702054,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702053,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702052,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702051,1,200,703001,1,1
11027,easy,2,7,water,15,stamina,2,120,380,475,2,701021,701031,701041,701051,701061,702061,700001,703001,1,40,380,9700,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702064,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702063,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702062,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702061,1,200,703001,1,1
11028,easy,2,8,water,16,stamina,2,120,400,500,2,701021,701031,701041,701051,701061,702071,700001,703001,1,30,360,9650,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702074,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702073,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702072,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702071,1,200,703001,1,1
11031,easy,3,1,wind,17,stamina,2,120,420,525,3,701031,701011,701021,701051,701061,702081,700001,703001,1,100,500,10000,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702084,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702083,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702082,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702081,1,200,703001,1,1
11032,easy,3,2,wind,18,stamina,2,120,440,550,3,701031,701011,701021,701051,701061,702091,700001,703001,1,90,480,9950,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702094,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702093,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702092,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702091,1,200,703001,1,1
11033,easy,3,3,wind,19,stamina,2,120,460,575,3,701031,701011,701021,701051,701061,702011,700001,703001,1,80,460,9900,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702014,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702013,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702012,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702011,1,200,703001,1,1
11034,easy,3,4,wind,20,stamina,2,120,480,600,3,701031,701011,701021,701051,701061,702021,700001,703001,1,70,440,9850,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702024,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702023,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702022,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702021,1,200,703001,1,1
11035,easy,3,5,wind,21,stamina,2,120,500,625,3,701031,701011,701021,701051,701061,702031,700001,703001,1,60,420,9800,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702034,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702033,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702032,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702031,1,200,703001,1,1
11036,easy,3,6,wind,22,stamina,2,120,520,650,3,701031,701011,701021,701051,701061,702041,700001,703001,1,50,400,9750,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702044,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702043,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702042,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702041,1,200,703001,1,1
11037,easy,3,7,wind,23,stamina,2,120,540,675,3,701031,701011,701021,701051,701061,702051,700001,703001,1,40,380,9700,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702054,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702053,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702052,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702051,1,200,703001,1,1
11038,easy,3,8,wind,24,stamina,2,120,560,700,3,701031,701011,701021,701051,701061,702061,700001,703001,1,30,360,9650,700001,8,300,701031,16,150,701031,24,100,701031,8,300,701051,8,50,701061,8,50,701011,8,50,701021,8,50,702064,1,200,703001,8,1,700001,4,300,701031,8,150,701011,16,100,701031,4,300,701051,4,50,701061,4,50,701011,4,50,701021,4,50,702063,1,200,703001,4,1,700001,2,300,700001,3,200,701031,4,100,701031,2,300,701051,2,50,701061,2,50,701011,2,50,701021,2,50,702062,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701031,1,300,701051,1,50,701061,1,50,701011,1,50,701021,1,50,702061,1,200,703001,1,1
11041,easy,4,1,fire,25,stamina,2,120,580,725,4,701041,701011,701031,701051,701061,702071,700001,703001,1,100,500,10000,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702074,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702073,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702072,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702071,1,200,703001,1,1
11042,easy,4,2,fire,26,stamina,3,120,600,750,4,701041,701011,701031,701051,701061,702081,700001,703001,1,90,480,9950,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702084,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702083,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702082,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702081,1,200,703001,1,1
11043,easy,4,3,fire,27,stamina,3,120,620,775,4,701041,701011,701031,701051,701061,702091,700001,703001,1,80,460,9900,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702094,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702093,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702092,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702091,1,200,703001,1,1
11044,easy,4,4,fire,28,stamina,3,120,640,800,4,701041,701011,701031,701051,701061,702011,700001,703001,1,70,440,9850,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702014,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702013,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702012,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702011,1,200,703001,1,1
11045,easy,4,5,fire,29,stamina,3,120,660,825,4,701041,701011,701031,701051,701061,702021,700001,703001,1,60,420,9800,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702024,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702023,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702022,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702021,1,200,703001,1,1
11046,easy,4,6,fire,30,stamina,3,120,680,850,4,701041,701011,701031,701051,701061,702031,700001,703001,1,50,400,9750,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702034,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702033,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702032,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702031,1,200,703001,1,1
11047,easy,4,7,fire,31,stamina,3,120,700,875,4,701041,701011,701031,701051,701061,702041,700001,703001,1,40,380,9700,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702044,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702043,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702042,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702041,1,200,703001,1,1
11048,easy,4,8,fire,32,stamina,3,120,720,900,4,701041,701011,701031,701051,701061,702051,700001,703001,1,30,360,9650,700001,8,300,701041,16,150,701041,24,100,701041,8,300,701051,8,50,701061,8,50,701011,8,50,701031,8,50,702054,1,200,703001,8,1,700001,4,300,701041,8,150,701011,16,100,701041,4,300,701051,4,50,701061,4,50,701011,4,50,701031,4,50,702053,1,200,703001,4,1,700001,2,300,700001,3,200,701041,4,100,701041,2,300,701051,2,50,701061,2,50,701011,2,50,701031,2,50,702052,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701041,1,300,701051,1,50,701061,1,50,701011,1,50,701031,1,50,702051,1,200,703001,1,1
11051,easy,5,1,light,33,stamina,3,120,740,925,5,701051,701011,701021,701031,701041,702061,700001,703001,1,100,500,10000,700001,8,300,701051,16,150,701051,24,100,701051,8,300,701011,8,50,701021,8,50,701031,8,50,701041,8,50,702064,1,200,703001,8,1,700001,4,300,701051,8,150,701011,16,100,701051,4,300,701011,4,50,701021,4,50,701031,4,50,701041,4,50,702063,1,200,703001,4,1,700001,2,300,700001,3,200,701051,4,100,701051,2,300,701011,2,50,701021,2,50,701031,2,50,701041,2,50,702062,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701051,1,300,701011,1,50,701021,1,50,701031,1,50,701041,1,50,702061,1,200,703001,1,1
11052,easy,5,2,light,34,stamina,3,120,760,950,5,701051,701011,701021,701031,701041,702071,700001,703001,1,90,480,9950,700001,8,300,701051,16,150,701051,24,100,701051,8,300,701011,8,50,701021,8,50,701031,8,50,701041,8,50,702074,1,200,703001,8,1,700001,4,300,701051,8,150,701011,16,100,701051,4,300,701011,4,50,701021,4,50,701031,4,50,701041,4,50,702073,1,200,703001,4,1,700001,2,300,700001,3,200,701051,4,100,701051,2,300,701011,2,50,701021,2,50,701031,2,50,701041,2,50,702072,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701051,1,300,701011,1,50,701021,1,50,701031,1,50,701041,1,50,702071,1,200,703001,1,1
11053,easy,5,3,light,35,stamina,3,120,780,975,5,701051,701011,701021,701031,701041,702081,700001,703001,1,80,460,9900,700001,8,300,701051,16,150,701051,24,100,701051,8,300,701011,8,50,701021,8,50,701031,8,50,701041,8,50,702084,1,200,703001,8,1,700001,4,300,701051,8,150,701011,16,100,701051,4,300,701011,4,50,701021,4,50,701031,4,50,701041,4,50,702083,1,200,703001,4,1,700001,2,300,700001,3,200,701051,4,100,701051,2,300,701011,2,50,701021,2,50,701031,2,50,701041,2,50,702082,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701051,1,300,701011,1,50,701021,1,50,701031,1,50,701041,1,50,702081,1,200,703001,1,1
11054,easy,5,4,light,36,stamina,3,120,800,1000,5,701051,701011,701021,701031,701041,702091,700001,703001,1,70,440,9850,700001,8,300,701051,16,150,701051,24,100,701051,8,300,701011,8,50,701021,8,50,701031,8,50,701041,8,50,702094,1,200,703001,8,1,700001,4,300,701051,8,150,701011,16,100,701051,4,300,701011,4,50,701021,4,50,701031,4,50,701041,4,50,702093,1,200,703001,4,1,700001,2,300,700001,3,200,701051,4,100,701051,2,300,701011,2,50,701021,2,50,701031,2,50,701041,2,50,702092,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701051,1,300,701011,1,50,701021,1,50,701031,1,50,701041,1,50,702091,1,200,703001,1,1
