id,skill_form,type,t_name,upgrade_num,res_icon,res_1,res_2,res_3,res_hit,animation,motion_type,dmg_type,dir,chance_type,chance_value,target_type,indicator_type,power_rate,cooldown,hit,val_1,val_2,val_3,status_effect_rate,status_effect_type,val_id,for_gd,desc,to_programmer
200051,code,skill_laser,레이저,01,res/ui/icon/skill/skill_laser_01.png,res/missile/shot_laser_@/shot_laser_@.spine,x,x,x,x,maintain,magical,-1,active,1,enemy_distance_line,enemy_line_long,40,15,10,3,1,400,0,x,0,1200,레이저를 발사하여 경로상의 모든 적에게 공격력의 {3}% 피해를 줌,타겟을 향해 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 idle 상태로 1틱간 유지.
200052,code,skill_laser,희망의 빛,02,res/ui/icon/skill/skill_laser_02.png,res/missile/shot_laser_@/shot_laser_@.spine,x,x,x,x,maintain,magical,-1,active,1,self,enemy_line_long,60,15,10,3,1,5,100;100,blessing;buff_heal_5,0,1800,스킬 사용 시 5초간 축복 상태가 되고 전체 생명력의 {3}% 회복 ,"축복 상태에서는 공격력 10%, 방어력10%, 생명력 10% 증가"
200061,code,skill_crash,화염 충돌,01,res/ui/icon/skill/skill_crash_01.png,res/effect/skill_shockwave_@/skill_shockwave_@.spine,res/effect/skill_dash_@/skill_dash_@.spine,x,x,x,instant,physical,-1,active,1,enemy_distance_line,x,500,15,1,100,340,500,0,x,211061,0,단일 대상에게 돌진하여 공격력의 {3}% 피해와 방사 피해를 입힌 후 타오르는 갑옷 스킬을 발동,타겟에게 돌진해 공격력의 300% 데미지를 주고 동시에 후방에 부채꼴로 공격력의 val_1% 만큼 광역 공격(부채꼴의 반지름은 val_2)
200062,code,skill_crash,화염 충돌 강화,02,res/ui/icon/skill/skill_crash_02.png,res/effect/skill_shockwave_@/skill_shockwave_@.spine,res/effect/skill_dash_@/skill_dash_@.spine,x,x,x,instant,physical,-1,active,1,enemy_distance_line,x,600,15,1,150,340,10,100,buff_heal_10,211061,0,스킬 사용 시 전체 생명력의 {3}% 회복,
200071,code,skill_healing_wind,치유의 바람,01,res/ui/icon/skill/skill_healing_wind_01.png,res/effect/skill_healing_wind/skill_healing_wind.spine,x,x,x,x,instant,magical,-1,active,1,all_random,x,33,20,3,30,360,15,0,x,0,99,지정 범위의 아군에게 공격력의 {1}%로 3회 회복 혹은 적군에게는 공격력의 {3}%로 3회 공격,"세로로 긴 타겟 범위를 가진 인디케이터가 나오고 범위에 포함된 아군에겐 치유, 적에겐 데미지 3회 발생, 기둥의 넓이는 val_2"
200072,code,skill_healing_wind,치유의 바람 강화,02,res/ui/icon/skill/skill_healing_wind_02.png,res/effect/skill_healing_wind/skill_healing_wind.spine,x,x,x,x,instant,magical,-1,active,1,all_random,x,33,20,3,30,360,20,100;100,buff_hit_rate_down_20;debuff_hit_rate_down_20,0,99,"아군에게 사용 시 {3}% 적중률 증가 혹은 적군에게 사용 시 {3}% 적중률 감소 (5초 지속) ""미구현""",
200081,code,skill_sweet_dream,달콤한 꿈,01,res/ui/icon/skill/skill_sweet_dream_01.png,res/effect/skill_sweet_dream/skill_sweet_dream.spine,x,x,x,x,instant,magical,-1,active,1,all_random,x,0,10,1,1,75,100,100,sleep,0,0,"공격력의 {3}% 범위 피해를 입히고 100% 확률로 수면 ""미구현""",
200082,code,skill_sweet_dream,달콤한 꿈 강화,01,res/ui/icon/skill/skill_sweet_dream_01.png,res/effect/skill_sweet_dream/skill_sweet_dream.spine,x,x,x,x,instant,magical,-1,active,1,all_random,x,0,10,1,1,150,20,100;40,sleep;debuff_def_down_20,0,0,"스킬 사용 시 범위의 적군 대상들의 방어력을 {1}% 감소시킴 ""미구현""",두가지 상태 이상
200091,code,skill_purple_protection,보라빛 가호,01,res/ui/icon/skill/skill_purple_protection_01.png,res/effect/skill_purple_protection/skill_purple_protection.vrp,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,x,10,20,1,10,0,10,0,x,0,0,아군 단일 대상에게 보호막을 걸어 {1}초 동안 대상 생명력의 {3}% 만큼 방어,"(인디케이터로 지정하지 않았을 때, 보호막 우선 순위는 아군 대상의 현재 체력이 낮은 순이다. 자신 포함)"
200092,code,skill_purple_protection,보라빛 가호 강화,02,res/ui/icon/skill/skill_purple_protection_01.png,res/effect/skill_water_shield/skill_water_shield.vrp,res/effect/skill_water_shield/skill_water_shield.vrp,x,x,x,instant,magical,-1,active,1,ally_hp_low,x,10,20,1,10,1,10,0,x,0,0,전위에 위치한 아군 대상에게 보호막 사용시 전위에 위치한 모든 아군에게 {3}% 효과의 방어막 생성,전위에 배치된 아군 드래곤이 3마리 일 때 보호막 효과가 3마리한테 적용되고 나머지 2마리는 보호막 효과의 1/2 효과를 받음
200111,code,skill_buff_curve,사과드립니다,01,res/ui/icon/skill/skill_my_apologies_01.png,res/effect/skill_atk_up_apple/skill_atk_up_apple.vrp,x,x,x,x,instant,physical,-1,active,1,ally_random,x,20,20,1,1,1,30,100,buff_atk_up_30,0,0,대상의 공격력을 15초간 {3}% 증가,
200112,code,skill_buff_curve,금사과,02,res/ui/icon/skill/skill_my_apologies_02.png,res/effect/skill_atk_up_apple/skill_atk_up_apple.vrp,x,x,x,x,instant,physical,-1,active,1,ally_random,x,15,20,1,60,1,15,100;60,buff_atk_up_30;buff_cri_chance_up_15,0,0,스킬 사용시 {1}% 확률로 금사과를 던져 대상의 치명확률 {3}% 추가 증가,두가지 상태 이상
200121,code,skill_dispel_magic,날개짓,01,res/ui/icon/skill/skill_dispel_magic.png,res/effect/skill_dispel_magic/skill_dispel_magic.vrp,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,x,25,10,1,25,1,0,0,x,0,0,해로운 상태이상 효과를 1개 해제하고 대상 전체 생명력의 {1}% 회복,상태이상 해제룰 (먼저 걸린 것부터..)
200122,code,skill_dispel_magic,날개짓 강화,02,res/ui/icon/skill/skill_atk_speed_up.png,res/effect/skill_dispel_magic/skill_dispel_magic.vrp,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,x,1,10,1,50,10,0,50,buff_aspd_up_50,0,0,스킬 사용 시 {2}초 간 대상의 공격 속도가 {1}% 증가,날개짓을 날개의 축복으로 대체하는 것이 아니라 날개짓 효과에 날개의 축복이 더해지는 것입니다.(add)
200131,code,skill_leaf_blade,리프 블레이드,01,res/ui/icon/skill/skill_leaf_blade_01.png,res/effect/skill_leaf_blade_01/skill_leaf_blade_01.vrp,res/missile/motion_streak/motion_streak_leaf.png,x,x,x,instant,physical,-1,active,1,all_random,x,50,17,1,3,40,50,0,x,0,0,"나뭇잎 칼날을 위, 아래로 3개 씩 곡선 형태로 발사하여 각각 공격력의 {3}% 피해를 줌",
200132,code,skill_leaf_blade,리프 블레이드 강화,02,res/ui/icon/skill/skill_leaf_blade_02.png,res/effect/skill_leaf_blade_02/skill_leaf_blade_02.vrp,res/missile/motion_streak/motion_streak_leaf.png,x,res/effect/effect_cutting_02/effect_cutting_02.vrp,x,instant,physical,-1,active,1,all_random,x,50,17,1,3,50,30,30,bleed,0,0,리프블레이드에 적중 시 {3}% 확률로 출혈.,
200141,code,skill_breath_gust,돌풍 내뿜기,01,res/ui/icon/skill/skill_breath_gust_01.png,res/effect/skill_breath_gust/skill_breath_gust.vrp,x,x,x,x,instant,magical,-1,active,1,enemy,x,70,20,3,2000,0,70,0,x,0,210,돌풍 브레스로 공격력의 {3}% 만큼 3회 피해를 줌,
200142,code,skill_breath_gust,돌풍 내뿜기 강화,02,res/ui/icon/skill/skill_breath_gust_02.png,res/effect/skill_breath_gust/skill_breath_gust.vrp,x,x,x,x,instant,magical,-1,active,1,enemy,x,70,20,3,2000,1,20,100,debuff_def_down_20,0,210,적중 대상의 방어력이 {3}% 감소하고 대상이 화상 상태이면 주위 적에게 전이,방어력 감소로 우선 적용 시켜 놓고  -> 대상이 받는 마법 피해 증가로 변경할 예정.
200151,code,skill_thunder_cloud,번개 구름,01,res/ui/icon/skill/skill_thunder_cloud_01.png,res/effect/skill_thunder_cloud_01/skill_thunder_cloud_01.vrp,x,x,x,x,instant,magical,-1,active,1,enemy_random,x,100,15,1,3,150,100,100,x,0,0,지정 범위에 번개 구름을 생성하여 공격력의 {3}%로 {1}초간 {1}회 범위 피해를 줌,
200152,code,skill_thunder_cloud,번개 구름 강화,02,res/ui/icon/skill/skill_thunder_cloud_02.png,res/effect/skill_thunder_cloud_02/skill_thunder_cloud_02.vrp,x,x,x,x,instant,magical,-1,active,1,enemy_random,x,120,15,1,5,200,50,120,buff_atk_up_50,0,0,스킬 사용 시 5초간 공격력 {3}% 증가하고 번개 구름의 범위 확대,구름의 범위 증가 + 액티브 스킬 사용 시 5초간 공격력 50% 증가.
200161,code,skill_thorns_star,가시의 별,01,res/ui/icon/skill/skill_thorns_star_01.png,res/effect/skill_thorns_star/skill_thorns_star.vrp,res/effect/effect_spin/effect_spin.vrp,x,x,x,maintain,physical,-1,active,1,enemy_distance_line,x,30,20,10,10,0,30,0,x,0,0,대상에게 공격력의 {3}%씩 10회 공격. 적이 죽을 경우 다른 대상에게 추가 공격,
200162,code,skill_thorns_star,연속된 격노,02,res/ui/icon/skill/skill_thorns_star_02.png,res/effect/skill_thorns_star/skill_thorns_star.vrp,res/effect/effect_spin/effect_spin.vrp,x,x,x,maintain,physical,-1,active,1,enemy_distance_line,x,30,20,10,10,60,60,0,x,0,0,스킬 사용 시 {3}%의 확률로 '가시의 격노' 5개 획득 ,
200211,code,skill_explosion_def,익스플로전,01,res/ui/icon/skill/skill_explosion_def_01.png,res/effect/skill_explosion/skill_explosion.vrp,res/effect/effect_jump/effect_jump.vrp,x,x,x,instant,physical,-1,active,1,enemy_distance_line,x,100,20,1,1,150,20,20,burn,0,0,지정 범위에 방어력의 100%의 만큼 피해를 주고 {3}% 확률로 화상 효과 부여,
200212,code,skill_explosion_def,차르봄바,02,res/ui/icon/skill/skill_explosion_def_02.png,res/effect/skill_explosion/skill_explosion.vrp,res/effect/effect_jump/effect_jump.vrp,x,x,x,instant,physical,-1,active,1,enemy_distance_line,x,200,20,1,1,150,50,20,burn,0,0,스킬의 피해가 {3}% 증가하고 대상의 방어력을 무시,방어력을 무시
210001,script,skill_missile_rock,임시 일반 스킬,01,res/ui/icon/skill/skill_missile_rock_01.png,skill_missile_rock,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,0,1,1,1,0,0,x,0,100,임시 일반 스킬입니다.,타겟을 향해 직선 탄 val_1연사(0.1초 주기).
210002,script,skill_missile_rock,임시 일반 스킬 강화,02,res/ui/icon/skill/skill_missile_rock_02.png,skill_missile_rock,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,130,0,1,1,1,0,0,x,0,130,임시 일반 스킬입니다.,
210011,code,skill_melee_hack,돌주먹,01,res/ui/icon/skill/skill_melee_hack_01.png,skill_missile_rock,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,0,1,5000,2500,100,0,x,0,0,적을 강타하여 공격력의 {3}%의 피해를 줌,타겟을 향해 직선 탄 val_1연사(0.1초 주기).
210012,code,skill_melee_hack,돌주먹 강화,02,res/ui/icon/skill/skill_melee_hack_02.png,skill_missile_rock,x,x,x,x,instant,physical,-1,basic_rate,0.2,enemy_distance_line,x,130,0,1,5000,2500,20,20,stun,0,0,기본 공격 시 {3}% 확률로 3초간 기절 ,매 5회 공격 시마다 3초간 기절. (basic_turn을 사용하여 5회 공격시 발사되는 돌을 더 크게 하고 테두리 이펙트)
210021,script,skill_missile_bubble,물방울,01,res/ui/icon/skill/skill_missile_bubble_01.png,skill_missile_normal,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,25,0,1,4,1,25,0,x,0,100,물방울을 {1}개 발사해 각각 공격력 {3}%의 피해를 줌,타겟을 향해 직선 탄 val_1연사(0.1초 주기).
210022,script,skill_missile_bubble,물방울 강화,02,res/ui/icon/skill/skill_missile_bubble_02.png,skill_missile_normal,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,32.5,0,1,4,1,0,0,x,0,130,물방울의 피해량을 30% 증가 시킨다.,
210031,script,skill_missile_shotgun,샷건,01,res/ui/icon/skill/skill_missile_shotgun_01.png,skill_missile_wedge,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,30,0,1,5,1,0,0,x,0,150,[물리]  산탄을 발사해 공격력의 30%의 피해를 준다.,"타겟을 향해 직선 탄 val_1연사 (0초 주기). 발사마다 각도를 0, -5, +5, -10, +10, -15, +15... 으로 변화."
210032,script,skill_missile_shotgun,샷건 강화,02,res/ui/icon/skill/skill_missile_shotgun_02.png,skill_missile_wedge,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,39,0,1,5,1,0,0,x,0,195,샷건의 피해량을 30% 증가 시킨다.,
210041,code,basic_ray,파열광선,01,res/ui/icon/skill/basic_ray_01.png,res/missile/shot_ray_@/shot_ray_@.spine,x,x,x,x,maintain,magical,-1,rate,1,enemy_distance_line,x,10,0,10,1,1,100,0,x,0,100,광선을 발사하여 공격력의 {3}% 피해를 줌,타겟을 향해 광선을 발사해 닿는 적에게 (자신의 틱 / hit) 마다 데미지 발생. 1틱간 유지.
210042,code,basic_ray,파열광선 강화,02,res/ui/icon/skill/basic_ray_02.png,res/missile/shot_ray_@/shot_ray_@.spine,x,x,x,x,maintain,magical,-1,rate,1,enemy_distance_line,x,13,0,10,1,1,0,0,x,0,130,파열광선의 피해량을 30% 증가 시킨다.,
210051,script,skill_missile_splash,폭발 마력구,01,res/ui/icon/skill/skill_missile_splash_01.png,shot_normal,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,50,0,1,1,1,0,0,x,0,50,[마법] 폭발하는 마력 구체를 날려 마력력의 50%의 피해를 준다.,타겟을 향해 직선 탄 val_1연사(0.1초 주기).
210052,script,skill_missile_splash,폭발 마력구 강화,02,res/ui/icon/skill/skill_missile_splash_02.png,shot_normal,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,65,0,1,1,1,0,0,x,0,65,폭발 마력구 피해량을 30% 증가 시킨다.,
210061,code,skill_heal_target,대상 치유,01,res/ui/icon/skill/skill_heal_target_01.png,res/effect/skill_heal_target_@/skill_heal_target_@.spine,x,x,x,x,maintain,magical,-1,rate,1,ally_hp_low,x,20,0,10,1,1,0,0,x,0,200,[마법] 전방의 아군 1명의 생명력을 마력의 200% 만큼 회복 시킨다.,[예외적] 전방에 위치한 아군 중 val_2명에게 빨대를 꽂아 (틱 / hit)마다 자기 마법 공격력의 (power_rate / hit)%의 생명력을 회복. 1틱간 유지 후 이펙트가 투명해지며 사라짐
210062,code,skill_heal_target,대상 치유 강화,02,res/ui/icon/skill/skill_heal_target_02.png,res/effect/skill_heal_target_@/skill_heal_target_@.spine,x,x,x,x,maintain,magical,-1,rate,1,ally_hp_low,x,26,0,10,1,1,0,0,x,0,260,대상 치유의 치유량을 30% 증가 시킨다.,
210071,script,skill_missile_caninetooth,송곳니,01,res/ui/icon/skill/skill_missile_caninetooth_01.png,res/missile/missile_caninetooth_@/missile_caninetooth_@.vrp,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,80,0,1,80,1,0,0,x,0,6400,관통하는 송곳니를 발사하여 공격력의 {1}%의 피해를 줌,
210072,script,skill_missile_caninetooth,송곳니 강화,02,res/ui/icon/skill/skill_missile_caninetooth_02.png,res/missile/missile_caninetooth_@/missile_caninetooth_@.vrp,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,104,0,1,15,1,0,15,poison,0,1560,기본 공격 시 {1}% 확률로 중독,
210081,script,skill_missile_magma_ball,마그마 볼,01,res/ui/icon/skill/skill_missile_magma_ball_01.png,res/effect/skill_magma_ball/skill_magma_ball.spine,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,100,0,1,100,1,0,0,x,0,10000,마그마 볼을 발사하여 공격력의 {1}% 피해를 줌,
210082,script,skill_missile_magma_ball,마그마 볼 강화,02,res/ui/icon/skill/skill_missile_magma_ball_02.png,res/effect/skill_magma_ball/skill_magma_ball.spine,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,130,0,1,30,1,0,30,burn,0,3900,기본 공격 시 {1}% 확률로 화상,
210091,script,skill_missile_windcutter,칼바람,01,res/ui/icon/skill/skill_missile_windcutter_01.png,res/effect/skill_missile_windcutter/skill_missile_windcutter.spine,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,50,0,1,50,0,0,0,x,0,0,관통하는 바람을 발사하여 공격력의 {1}%의 피해를 줌,
210092,script,skill_missile_windcutter,칼바람 강화,02,res/ui/icon/skill/skill_missile_windcutter_02.png,res/effect/skill_missile_windcutter/skill_missile_windcutter.spine,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,65,0,1,20,5,15,20,debuff_avoid_down_15,0,6500,기본 공격 시 {1}% 확률로 피격 대상의 회피율을 {2}초간 {3}% 감소,(중첩되지 않음)
210101,script,skill_missile_gem,보석,01,res/ui/icon/skill/skill_missile_gem_01.png,skill_missile_gem,x,x,x,x,instant,magical,-1,rate,1,enemy_hp_high,x,30,0,1,30,1,0,0,x,0,900,보석을 3개 발사하여 각각 공격력의 {1}% 피해를 줌,
210102,script,skill_missile_gem,보석 파괴,02,res/ui/icon/skill/skill_missile_gem_02.png,res/effect/effect_defense_down/effect_defense_down.vrp,x,x,x,x,instant,magical,-1,rate,1,enemy_hp_high,x,30,0,1,20,10,10,20,def_down_missile_gem,0,6000,기본 공격 시 {1}% 확률로 피격 대상의 방어력을 {2}초간 {3}% 감소,(최대 3중첩)
210111,code,skill_melee_hack,사과치기,01,res/ui/icon/skill/skill_melee_hack_01.png,x,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,0,1,5000,2000,100,0,x,0,0,근접 공격을 하여 공격력의 {3}% 피해를 줌,
210112,code,skill_melee_hack,사과깨기,02,res/ui/icon/skill/skill_melee_hack_02.png,res/effect/effect_strong_blow/effect_strong_blow.vrp,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,0,1,5000,2000,60,60,stun,0,0,"기본 공격이 치명타로 적중하면 {3}% 확률로 기절 ""미구현""",
210121,script,skill_missile_horn,작은 뿔,01,res/ui/icon/skill/skill_missile_horn_01.png,skill_missile_horn,x,x,x,x,instant,magical,-1,rate,1,enemy_hp_high,x,50,0,1,50,2,0,0,x,0,5000,뿔을 {2}개 발사하여 각각 공격력의 {1}% 피해를 줌,
210122,script,skill_missile_horn,작은 뿔 강화,02,res/ui/icon/skill/skill_missile_horn_02.png,skill_missile_horn,x,x,x,x,instant,magical,-1,basic_rate,0.1,enemy_hp_high,x,100,0,1,10,5,40,30,debuff_heal_rate_down_40,0,500,"공격 시 {1}% 확률로 {2}초간 피격 대상이 받는 치유효과를 {3}% 감소 ""미구현""",(중첩되지 않음)
210131,code,skill_chain_lightning,여의주,01,res/ui/icon/skill/skill_chain_lightning_01.png,res/missile/missile_chain_lightning/missile_chain_lightning.spine,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,100,0,1,100,3,0,0,x,0,30000,공격력의 {1}% 만큼 공격. 치명타 발생 시 주위 적 {2}명에게 전이됨 ,
210132,code,skill_chain_lightning,여의주 강화,02,res/ui/icon/skill/skill_chain_lightning_02.png,res/missile/missile_chain_lightning/missile_chain_lightning.spine,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,100,0,1,10,3,0,10,x,0,3000,기본 공격 시 {1}% 확률로 감전,
210141,script,skill_missile_gust,돌풍,01,res/ui/icon/skill/skill_missile_gust_01.png,res/missile/missile_gust/missile_gust.vrp,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,100,0,1,80,3,0,0,x,0,24000,작은 돌풍을 발사하여 공격력의 {1}% 피해를 줌,
210142,script,skill_missile_gust,돌풍 강화,02,res/ui/icon/skill/skill_missile_gust_02.png,res/missile/missile_gust/missile_gust.vrp,x,x,x,x,instant,magical,-1,basic_rate,0.2,enemy_distance_line,x,100,0,1,50,10,0,10,x,210143,10000,기본 공격시 {2}% 확률로 돌풍을 소환하여 공격력의 {1}% 범위 피해를 줌,
210151,script,skill_missile_leaf,리프,01,res/ui/icon/skill/skill_missile_leaf_01.png,skill_missile_leaf,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,30,0,1,30,3,0,0,x,0,2700,나뭇잎을 3개 발사하여 각각 공격력의 {1}% 피해,타겟을 향해 직선 탄 val_1연사(0.1초 주기).
210152,script,skill_missile_leaf,리프 강화,01,res/ui/icon/skill/skill_missile_leaf_01.png,skill_missile_leaf,x,x,res/effect/effect_cutting_01/effect_cutting_01.vrp,x,instant,physical,-1,basic_rate,0.2,enemy_distance_line,x,30,0,1,20,3,0,20,bleed,0,360,기본 공격 시 {1}% 확률로 출혈,
210161,script,skill_missile_spine,가시,01,res/ui/icon/skill/skill_missile_spine_01.png,skill_missile_thorn_spine,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,20,0,1,20,5,0,1,x,0,2000,가시를 5개 발사하여 공격력의 {1}% 피해를 줌,타겟을 향해 직선 탄 val_1연사(0.1초 주기).
210162,script,skill_missile_spine,가시 강화,01,res/ui/icon/skill/skill_missile_spine_01.png,skill_missile_thorn_spine,x,x,,x,instant,physical,-1,basic_rate,0.2,enemy_distance_line,x,30,0,1,20,3,2,1,x,0,360,가시'의 공격력 {3}% 증가 ,
210211,code,skill_melee_hack,바디 태클,01,res/ui/icon/skill/skill_melee_hack_01.png,x,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,0,1,5000,2000,100,0,x,0,0,배치기 공격으로 공격력의 {3}% 피해를 줌,
210212,code,skill_melee_hack,강철 폭탄,02,res/ui/icon/skill/skill_melee_hack_02.png,x,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,0,1,5000,2000,25,100,p_resist,0,0,일반 공격 중 받는 피해 {3}% 감소 ,
210981,code,skill_melee_hack,박치기,01,res/ui/icon/skill/skill_melee_hack_01.png,x,x,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,0,1,5000,2000,100,0,x,0,0,박치기 공격으로 공격력의 {3}% 피해를 줌,
210982,code,skill_melee_hack,박치기 강화,02,res/ui/icon/skill/skill_melee_hack_02.png,x,x,x,x,x,instant,physical,-1,basic_rate,0.25,enemy_distance_line,x,100,0,1,5000,2000,25,25,stun,0,0,기본 공격 시 {3}% 확률로 기절 ,
210991,script,skill_missile_moon,초승달,01,res/ui/icon/skill/skill_missile_moon_01.png,res/missile/missile_moon/missile_moon.png,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,40,0,1,100,1,0,0,x,0,0,공격력의 {1}% 만큼의 피해를 줌,
210992,script,skill_missile_moon,초승달 강화,02,res/ui/icon/skill/skill_missile_moon_02.png,res/missile/missile_moon/missile_moon.png,x,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,40,0,1,10,5,10,10,debuff_hp_down_10,0,0,공격 시 {1}% 확률로 {2}초간 피격  대상의 최대 생명력 {3}% 감소 ,(중첩되지 않음)
211001,code,skill_shield,임시 패시브 스킬,01,res/ui/icon/skill/skill_shield_01.png,res/effect/effect_shield/effect_shield.spine,x,x,x,x,maintain,magical,-1,passive,0.4,ally_hp_low,x,20,0,10,3,1,0,0,x,0,240,임시 패시브 스킬입니다.,[예외적] 전방에 위치한 아군 중 val_2명에게 빨대를 꽂아 (틱 / hit)마다 자기 마법 공격력의 (power_rate / hit)%의 체력을 회복. 1틱간 유지 후 이펙트가 투명해지며 사라짐
