key,type,res,r_desc
다크닉스스토리3_3,bg,res/scene/bg_darknixstory_3_03.png,
다크닉스스토리3_4,bg,res/scene/bg_darknixstory_3_04.png,
파멸의다크닉스노출,,res/scene/bg_event_2/bg_event_2.spine,
번개고룡스토리1_1,bg,res/scene/bg_lightningstory_1_01.png,
번개고룡스토리3_1,bg,res/scene/bg_lightningstory_3_01.png,
번개고룡스토리4_1,bg,res/scene/bg_lightningstory_4_01.png,
번개고룡스토리5_1,bg,res/scene/bg_lightningstory_5_01.png,
파워드래곤스토리1_1,bg,res/scene/bg_infinitestory_1_01.png,
파워드래곤스토리1_2,bg,res/scene/bg_infinitestory_1_02.png,
파워드래곤스토리4_1,bg,res/scene/bg_infinitestory_4_01.png,
파워드래곤스토리4_2,bg,res/scene/bg_infinitestory_4_02.png,
파워드래곤스토리5_1,bg,res/scene/bg_infinitestory_5_01.png,
