qid,type,t_desc,start_date,end_date,key,clear_value,r_reward_1,r_grade,r_val_1,r_reward_2,r_val_2,reward,product_content,mail_content,pass_exp,clan_exp,r_title,title,default,score
20201,special,클랜 던전 {1}회 플레이,,,ply_cldg_sq,5,캡슐 코인,,,,,700012;1,700012;1,,,,,,1,100
20202,special,클랜 던전 {1}회 플레이,,,ply_cldg_sq,15,캡슐 코인 x2,,,,,700012;2,700012;2,,,,,,,200
20203,special,클랜 던전 {1}회 플레이,,,ply_cldg_sq,30,캡슐 코인 x3,,,,,700012;3,700012;3,,,,,,,300
20204,special,클랜 던전 {1}회 플레이,,,ply_cldg_sq,50,캡슐 코인 x4,,,,,700012;4,700012;4,,,,,,,400
20205,special,클랜 던전 {1}회 플레이,,,ply_cldg_sq,75,캡슐 코인 x5,,,,,700012;5,700012;5,,,,,,,500
20206,special,클랜 던전 {1}회 플레이,,,ply_cldg_sq,100,캡슐 코인 x7,,,,,700012;7,700012;7,,,,,,,600
20301,special,콜로세움 {1}회 플레이,,,ply_clsm_sq,40,신비의 알 x2,,,,,703016;2,703016;2,,,,,,1,100
20302,special,콜로세움 {1}회 플레이,,,ply_clsm_sq,120,신비의 알 x4,,,,,703016;4,703016;4,,,,,,,200
20303,special,콜로세움 {1}회 플레이,,,ply_clsm_sq,240,신비의 알 x6,,,,,703016;6,703016;6,,,,,,,300
20304,special,콜로세움 {1}회 플레이,,,ply_clsm_sq,400,신비의 알 x8,,,,,703016;8,703016;8,,,,,,,400
20305,special,콜로세움 {1}회 플레이,,,ply_clsm_sq,600,초월의 알 x1,,,,,703003;1,703003;1,,,,,,,500
20306,special,콜로세움 {1}회 플레이,,,ply_clsm_sq,800,초월의 알 x2,,,,,703003;2,703003;2,,,,,,,600
20401,special,드래곤 스킬 레벨업 {1}회 진행,,,d_sklvup_sq,10,골드 x500000,,,,,700002;500000,700002;500000,,,,,,1,100
20402,special,드래곤 스킬 레벨업 {1}회 진행,,,d_sklvup_sq,30,골드 x1000000,,,,,700002;1000000,700002;1000000,,,,,,,200
20403,special,드래곤 스킬 레벨업 {1}회 진행,,,d_sklvup_sq,60,골드 x1500000,,,,,700002;1500000,700002;1500000,,,,,,,300
20404,special,드래곤 스킬 레벨업 {1}회 진행,,,d_sklvup_sq,100,골드 x2000000,,,,,700002;2000000,700002;2000000,,,,,,,400
20405,special,드래곤 스킬 레벨업 {1}회 진행,,,d_sklvup_sq,150,골드 x2500000,,,,,700002;2500000,700002;2500000,,,,,,,500
20406,special,드래곤 스킬 레벨업 {1}회 진행,,,d_sklvup_sq,200,골드 x3500000,,,,,700002;3500000,700002;3500000,,,,,,,600
20501,special,드래곤 강화 {1}회 진행,,,d_rlvup_sq,3,3성 슈퍼 슬라임 x3,,,,,779134;3,779134;3,,,,,,1,100
20502,special,드래곤 강화 {1}회 진행,,,d_rlvup_sq,9,3성 슈퍼 슬라임 x6,,,,,779134;6,779134;6,,,,,,,200
20503,special,드래곤 강화 {1}회 진행,,,d_rlvup_sq,18,4성 슈퍼 슬라임 x2,,,,,779144;2,779144;2,,,,,,,300
20504,special,드래곤 강화 {1}회 진행,,,d_rlvup_sq,30,4성 슈퍼 슬라임 x3,,,,,779144;3,779144;3,,,,,,,400
20505,special,드래곤 강화 {1}회 진행,,,d_rlvup_sq,45,4성 슈퍼 슬라임 x4,,,,,779144;4,779144;4,,,,,,,500
20506,special,드래곤 강화 {1}회 진행,,,d_rlvup_sq,60,5성 슈퍼 슬라임 x1,,,,,779154;1,779154;1,,,,,,,600
20601,special,6성 룬 {1}개 획득,,,r_6grcnt_sq,15,희귀 스킬 슬라임 x3,,,,,779235;3,779235;3,,,,,,1,100
20602,special,6성 룬 {1}개 획득,,,r_6grcnt_sq,45,희귀 스킬 슬라임 x6,,,,,779235;6,779235;6,,,,,,,200
20603,special,6성 룬 {1}개 획득,,,r_6grcnt_sq,90,영웅 스킬 슬라임 x2,,,,,779245;2,779245;2,,,,,,,300
20604,special,6성 룬 {1}개 획득,,,r_6grcnt_sq,150,영웅 스킬 슬라임 x3,,,,,779245;3,779245;3,,,,,,,400
20605,special,6성 룬 {1}개 획득,,,r_6grcnt_sq,225,영웅 스킬 슬라임 x4,,,,,779245;4,779245;4,,,,,,,500
20606,special,6성 룬 {1}개 획득,,,r_6grcnt_sq,300,전설 스킬 슬라임 x1,,,,,779255;1,779255;1,,,,,,,600
10101,challenge,유저레벨 {1} 달성,,,u_lv,2,찬란한 날개,,1,,,700711;1,700711;1,,,,초보탈출,10001,1,100
10102,challenge,유저레벨 {1} 달성,,,u_lv,3,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10103,challenge,유저레벨 {1} 달성,,,u_lv,4,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10104,challenge,유저레벨 {1} 달성,,,u_lv,5,신비의 알,,1,,,703016;1,703016;1,,,,,,,100
10105,challenge,유저레벨 {1} 달성,,,u_lv,6,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10106,challenge,유저레벨 {1} 달성,,,u_lv,7,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10107,challenge,유저레벨 {1} 달성,,,u_lv,8,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10108,challenge,유저레벨 {1} 달성,,,u_lv,9,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10109,challenge,유저레벨 {1} 달성,,,u_lv,10,신비의 알,,1,,,703016;1,703016;1,,,,익숙한,10002,,100
10110,challenge,유저레벨 {1} 달성,,,u_lv,11,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10111,challenge,유저레벨 {1} 달성,,,u_lv,12,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10112,challenge,유저레벨 {1} 달성,,,u_lv,13,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10113,challenge,유저레벨 {1} 달성,,,u_lv,14,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10114,challenge,유저레벨 {1} 달성,,,u_lv,15,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10115,challenge,유저레벨 {1} 달성,,,u_lv,16,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10116,challenge,유저레벨 {1} 달성,,,u_lv,17,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10117,challenge,유저레벨 {1} 달성,,,u_lv,18,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10118,challenge,유저레벨 {1} 달성,,,u_lv,19,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10119,challenge,유저레벨 {1} 달성,,,u_lv,20,신비의 알,,1,,,703016;1,703016;1,,,,,,,100
10120,challenge,유저레벨 {1} 달성,,,u_lv,30,신비의 알,,1,,,703016;1,703016;1,,,,숙련된,10003,,100
10121,challenge,유저레벨 {1} 달성,,,u_lv,40,신성의 알,,1,,,703010;1,703010;1,,,,,,,100
10122,challenge,유저레벨 {1} 달성,,,u_lv,50,암흑의 알,,1,,,703011;1,703011;1,,,,모험가,10004,,100
10123,challenge,유저레벨 {1} 달성,,,u_lv,60,환상의 알,,1,,,703004;1,703004;1,,,,,,,100
10124,challenge,유저레벨 {1} 달성,,,u_lv,70,초월의 알,,1,,,703003;1,703003;1,,,,테이머,10005,,100
10201,challenge,테이머 {1}명 영입,,,t_get,2,다이아,,50,,,700001;50,700001;50,,,,동료가 필요한,10006,1,100
10202,challenge,테이머 {1}명 영입,,,t_get,3,다이아,,50,,,700001;50,700001;50,,,,삼총사,10007,,100
10203,challenge,테이머 {1}명 영입,,,t_get,4,다이아,,50,,,700001;50,700001;50,,,,다다익선,10008,,100
10204,challenge,테이머 {1}명 영입,,,t_get,5,다이아,,50,,,700001;50,700001;50,,,,영입왕,10009,,100
10205,challenge,테이머 {1}명 영입,,,t_get,6,다이아,,50,,,700001;50,700001;50,,,,너 내 동료가 되라,10010,,200
10301,challenge,테이머 스킬 레벨업 {1}회,,,t_sklvup,50,다이아,,50,,,700001;50,700001;50,,,,훈련중인,10011,1,100
10302,challenge,테이머 스킬 레벨업 {1}회,,,t_sklvup,100,다이아,,50,,,700001;50,700001;50,,,,,,,100
10303,challenge,테이머 스킬 레벨업 {1}회,,,t_sklvup,150,다이아,,50,,,700001;50,700001;50,,,,스킬 숙련가,10012,,100
10304,challenge,테이머 스킬 레벨업 {1}회,,,t_sklvup,200,다이아,,50,,,700001;50,700001;50,,,,,,,100
10305,challenge,테이머 스킬 레벨업 {1}회,,,t_sklvup,250,다이아,,50,,,700001;50,700001;50,,,,스킬 전문가,10013,,200
10306,challenge,테이머 스킬 레벨업 {1}회,,,t_sklvup,300,다이아,,50,,,700001;50,700001;50,,,,,,,200
10307,challenge,테이머 스킬 레벨업 {1}회,,,t_sklvup,400,다이아,,50,,,700001;50,700001;50,,,,스킬 마스터,10014,,200
10401,challenge,모험 {1}회 플레이,,,ply_adv,50,다이아,,100,,,700001;100,700001;100,,,,정령의 숲 구원자,10015,1,100
10402,challenge,모험 {1}회 플레이,,,ply_adv,100,다이아,,100,,,700001;100,700001;100,,,,사파이어 해 구원자,10016,,100
10403,challenge,모험 {1}회 플레이,,,ply_adv,200,다이아,,100,,,700001;100,700001;100,,,,칼바람 협곡의 구원자,10017,,100
10404,challenge,모험 {1}회 플레이,,,ply_adv,500,다이아,,200,,,700001;200,700001;200,,,,화룡의 땅 구원자,10018,,100
10405,challenge,모험 {1}회 플레이,,,ply_adv,800,다이아,,200,,,700001;200,700001;200,,,,칠흑의 성 구원자,10019,,200
10406,challenge,모험 {1}회 플레이,,,ply_adv,1200,다이아,,200,,,700001;200,700001;200,,,,맹독의 샘 구원자,10020,,200
10407,challenge,모험 {1}회 플레이,,,ply_adv,1500,다이아,,300,,,700001;300,700001;300,,,,밤사냥꾼 둥지의 구원자,10021,,200
10408,challenge,모험 {1}회 플레이,,,ply_adv,2000,다이아,,300,,,700001;300,700001;300,,,,심연의 바다 구원자,10022,,200
10409,challenge,모험 {1}회 플레이,,,ply_adv,3000,다이아,,300,,,700001;300,700001;300,,,,바이델 외곽 숲의 구원자,10023,,200
10410,challenge,모험 {1}회 플레이,,,ply_adv,5000,다이아,,400,,,700001;400,700001;400,,,,황혼의 신전 구원자,10024,,300
10411,challenge,모험 {1}회 플레이,,,ply_adv,10000,다이아,,400,,,700001;400,700001;400,,,,검은 요새 구원자,10025,,300
10412,challenge,모험 {1}회 플레이,,,ply_adv,25000,다이아,,500,,,700001;500,700001;500,,,,이노의 구원자,10026,,300
10413,challenge,모험 {1}회 플레이,,,ply_adv,50000,다이아,,500,,,700001;500,700001;500,,,,구원자,10027,,300
10501,challenge,탐험 {1}회 완료하기,,,ply_epl,20,골드,,5000,,,700002;5000,700002;5000,,,,,,1,100
10502,challenge,탐험 {1}회 완료하기,,,ply_epl,50,골드,,10000,,,700002;10000,700002;10000,,,,,,,100
10503,challenge,탐험 {1}회 완료하기,,,ply_epl,100,골드,,15000,,,700002;15000,700002;15000,,,,,,,100
10504,challenge,탐험 {1}회 완료하기,,,ply_epl,200,골드,,20000,,,700002;20000,700002;20000,,,,수색대,10028,,100
10505,challenge,탐험 {1}회 완료하기,,,ply_epl,500,골드,,25000,,,700002;25000,700002;25000,,,,,,,200
10506,challenge,탐험 {1}회 완료하기,,,ply_epl,800,골드,,30000,,,700002;30000,700002;30000,,,,도굴꾼,10029,,200
10507,challenge,탐험 {1}회 완료하기,,,ply_epl,1200,골드,,35000,,,700002;35000,700002;35000,,,,,,,200
10508,challenge,탐험 {1}회 완료하기,,,ply_epl,1500,골드,,40000,,,700002;40000,700002;40000,,,,도굴왕,10030,,200
10509,challenge,탐험 {1}회 완료하기,,,ply_epl,2000,골드,,45000,,,700002;45000,700002;45000,,,,,,,200
10510,challenge,탐험 {1}회 완료하기,,,ply_epl,3000,골드,,50000,,,700002;50000,700002;50000,,,,탐험가,10031,,300
10601,challenge,진화재료던전 {1}회 플레이,,,ply_ev,50,하급 진화의 보석,,10,,,701011;10,701011;10,,,,,,1,100
10602,challenge,진화재료던전 {1}회 플레이,,,ply_ev,100,중급 진화의 보석,,10,,,701012;10,701012;10,,,,,,,100
10603,challenge,진화재료던전 {1}회 플레이,,,ply_ev,200,상급 진화의 보석,,10,,,701013;10,701013;10,,,,,,,100
10604,challenge,진화재료던전 {1}회 플레이,,,ply_ev,500,최상급 진화의 보석,,10,,,701014;10,701014;10,,,,거대용 토벌가,10032,,100
10605,challenge,진화재료던전 {1}회 플레이,,,ply_ev,800,최상급 땅의 정기,,10,,,701114;10,701114;10,,,,,,,200
10606,challenge,진화재료던전 {1}회 플레이,,,ply_ev,1200,최상급 물의 정기,,10,,,701124;10,701124;10,,,,거대용 학살자,10033,,200
10607,challenge,진화재료던전 {1}회 플레이,,,ply_ev,1500,최상급 불의 정기,,10,,,701134;10,701134;10,,,,,,,200
10608,challenge,진화재료던전 {1}회 플레이,,,ply_ev,2000,최상급 빛의 정기,,10,,,701144;10,701144;10,,,,정기를 빨아먹는,10034,,200
10609,challenge,진화재료던전 {1}회 플레이,,,ply_ev,3000,최상급 어둠의 정기,,10,,,701154;10,701154;10,,,,,,,200
10610,challenge,진화재료던전 {1}회 플레이,,,ply_ev,5000,최상급 진화의 보석,,15,,,701014;15,701014;15,,,,보석을 좋아하는,10035,,300
10701,challenge,고대의 탑 {1}회 플레이,,,ply_tower,50,찬란한 날개,,1,,,700711;1,700711;1,,,,,,1,100
10702,challenge,고대의 탑 {1}회 플레이,,,ply_tower,100,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10703,challenge,고대의 탑 {1}회 플레이,,,ply_tower,200,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10704,challenge,고대의 탑 {1}회 플레이,,,ply_tower,500,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,100
10705,challenge,고대의 탑 {1}회 플레이,,,ply_tower,800,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,200
10706,challenge,고대의 탑 {1}회 플레이,,,ply_tower,1200,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,200
10707,challenge,고대의 탑 {1}회 플레이,,,ply_tower,1500,찬란한 날개,,1,,,700711;1,700711;1,,,,고대의,10036,,200
10708,challenge,고대의 탑 {1}회 플레이,,,ply_tower,2000,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,200
10709,challenge,고대의 탑 {1}회 플레이,,,ply_tower,3000,찬란한 날개,,1,,,700711;1,700711;1,,,,,,,200
10710,challenge,고대의 탑 {1}회 플레이,,,ply_tower,5000,찬란한 날개,,1,,,700711;1,700711;1,,,,탑,10037,,300
10801,challenge,고대의 탑 {1}층 클리어,,,clr_tower,10,신비의 알,,1,,,703016;1,703016;1,,,,,,1,100
10802,challenge,고대의 탑 {1}층 클리어,,,clr_tower,20,신비의 알,,2,,,703016;2,703016;2,,,,,,,100
10803,challenge,고대의 탑 {1}층 클리어,,,clr_tower,30,신비의 알,,3,,,703016;3,703016;3,,,,탑을 오르는 자,10038,,100
10804,challenge,고대의 탑 {1}층 클리어,,,clr_tower,40,신비의 알,,4,,,703016;4,703016;4,,,,,,,100
10805,challenge,고대의 탑 {1}층 클리어,,,clr_tower,50,신비의 알,,5,,,703016;5,703016;5,,,,고대의 탑 정복자,10039,,200
10901,challenge,거목던전 {1}회 플레이,,,ply_tree,50,하급 열매,,10,,,702091;10,702091;10,,,,,,1,100
10902,challenge,거목던전 {1}회 플레이,,,ply_tree,100,하급 열매,,10,,,702091;10,702091;10,,,,,,,100
10903,challenge,거목던전 {1}회 플레이,,,ply_tree,200,하급 열매,,10,,,702091;10,702091;10,,,,,,,100
10904,challenge,거목던전 {1}회 플레이,,,ply_tree,500,중급 열매,,10,,,702092;10,702092;10,,,,,,,100
10905,challenge,거목던전 {1}회 플레이,,,ply_tree,800,중급 열매,,10,,,702092;10,702092;10,,,,벌목꾼,10040,,200
10906,challenge,거목던전 {1}회 플레이,,,ply_tree,1200,중급 열매,,10,,,702092;10,702092;10,,,,,,,200
10907,challenge,거목던전 {1}회 플레이,,,ply_tree,1500,상급 열매,,10,,,702093;10,702093;10,,,,,,,200
10908,challenge,거목던전 {1}회 플레이,,,ply_tree,2000,상급 열매,,10,,,702093;10,702093;10,,,,,,,200
10909,challenge,거목던전 {1}회 플레이,,,ply_tree,3000,상급 열매,,10,,,702093;10,702093;10,,,,,,,200
10910,challenge,거목던전 {1}회 플레이,,,ply_tree,5000,최상급 열매,,10,,,702094;10,702094;10,,,,아낌없이 주는 나무,10041,,300
11001,challenge,악몽던전 {1}회 플레이,,,ply_nm,50,3등급 룬,,3,,,704023;3,,704023;3,,,꿈을 꾸는,10042,1,100
11002,challenge,악몽던전 {1}회 플레이,,,ply_nm,100,3등급 룬,,3,,,704023;3,,704023;3,,,,,,100
11003,challenge,악몽던전 {1}회 플레이,,,ply_nm,200,3등급 룬,,3,,,704023;3,,704023;3,,,"704023;1,704023;1,704023;1",,,100
11004,challenge,악몽던전 {1}회 플레이,,,ply_nm,500,4등급 룬,,2,,,704024;2,,704024;2,,,,,,100
11005,challenge,악몽던전 {1}회 플레이,,,ply_nm,800,4등급 룬,,2,,,704024;2,,704024;2,,,숙면 중인,10043,,200
11006,challenge,악몽던전 {1}회 플레이,,,ply_nm,1200,4등급 룬,,2,,,704024;2,,704024;2,,,,,,200
11007,challenge,악몽던전 {1}회 플레이,,,ply_nm,1500,5등급 룬,,1,,,704025;1,,704025;1,,,,,,200
11008,challenge,악몽던전 {1}회 플레이,,,ply_nm,2000,5등급 룬,,1,,,704025;1,,704025;1,,,,,,200
11009,challenge,악몽던전 {1}회 플레이,,,ply_nm,3000,5등급 룬,,1,,,704025;1,,704025;1,,,,,,200
11010,challenge,악몽던전 {1}회 플레이,,,ply_nm,5000,6등급 룬,,1,,,704026;1,,704026;1,,,나이트메어,10044,,300
11101,challenge,악몽던전 {1}단계 클리어,,,clr_nm,2,3등급 룬,,2,,,704023;2,,704023;2,,,,,1,100
11102,challenge,악몽던전 {1}단계 클리어,,,clr_nm,4,4등급 룬,,1,,,704024;1,,704024;1,,,,,,200
11103,challenge,악몽던전 {1}단계 클리어,,,clr_nm,6,5등급 룬,,1,,,704025;1,,704025;1,,,악몽을 극복한 자,10045,,300
11104,challenge,악몽던전 {1}단계 클리어,,,clr_nm,8,5등급 룬,,1,,,704025;1,,704025;1,,,,,,400
11105,challenge,악몽던전 {1}단계 클리어,,,clr_nm,10,6등급 룬,,1,,,704026;1,,704026;1,,,악몽을 정복한 자,10153,,500
11201,challenge,콜로세움 {1}회 플레이,,,ply_clsm,50,명예,,100,,,700005;100,700005;100,,,,싸펑피펑,10046,1,100
11202,challenge,콜로세움 {1}회 플레이,,,ply_clsm,100,명예,,200,,,700005;200,700005;200,,,,,,,100
11203,challenge,콜로세움 {1}회 플레이,,,ply_clsm,200,명예,,300,,,700005;300,700005;300,,,,,,,100
11204,challenge,콜로세움 {1}회 플레이,,,ply_clsm,500,명예,,400,,,700005;400,700005;400,,,,싸움꾼,10047,,100
11205,challenge,콜로세움 {1}회 플레이,,,ply_clsm,800,명예,,500,,,700005;500,700005;500,,,,,,,200
11206,challenge,콜로세움 {1}회 플레이,,,ply_clsm,1200,명예,,600,,,700005;600,700005;600,,,,,,,200
11207,challenge,콜로세움 {1}회 플레이,,,ply_clsm,1500,명예,,700,,,700005;700,700005;700,,,,사람잡는,10048,,200
11208,challenge,콜로세움 {1}회 플레이,,,ply_clsm,2000,명예,,800,,,700005;800,700005;800,,,,,,,200
