sid,r_d_name,r_rarity,r_신규입력 여부,r_s_name,skill_form,skill_type,t_name,res_icon,r_res_icon,res_1,res_scale,res_2,res_3,res_hit,camera_work,indicator,skill_size,animation,motion_type,dir,chance_type,chance_value,game_mode,target_formation,target_type,target_count,casting_time,req_mana,pre_delay,power_source,power_rate,power_add,ignore,cooldown,hit,val_1,val_2,val_3,status_effect_type,status_effect_target,status_effect_duration,status_effect_rate,status_effect_value,r_gd,add_option_type_1,add_option_target_1,add_option_target_count_1,add_option_trigger_1,add_option_time_1,add_option_rate_1,add_option_source_1,add_option_value_1,add_option_type_2,add_option_target_2,add_option_target_count_2,add_option_trigger_2,add_option_time_2,add_option_rate_2,add_option_source_2,add_option_value_2,ai_division,desc_1,desc_2,desc_3,desc_4,desc_5,r_condition1,r_condition2,r_feedback1,r_feedback2,t_desc
200132,물 파워드래곤,legend,e,패시브 2,code,status_effect,회복,res/ui/icon/skill/200132.png,res/ui/icon/skill/220011.png,res/effect/skill_heal_monster/skill_heal_monster.vrp,,,,,,,,,instant,-1,under_ally_hp,50,,,ally_hp_low,1,0,,0,,,,,30,1,,,,,,,,,,heal,target,1,skill_start,1,100,atk,50,,,,,,,,,,chance_value,add_option_value_1,cooldown,,,,,,,자신을 포함한 아군의 생명력이 {1}% 미만일 때 대상 1명에게 공격력의 {2}% 만큼 생명력 회복 (쿨타임 {3}초)
200134,빛 파워드래곤,legend,e,패시브 2,code,status_effect,회복,res/ui/icon/skill/200134.png,res/ui/icon/skill/220011.png,res/effect/skill_heal_monster/skill_heal_monster.vrp,,,,,,,,,instant,-1,under_ally_hp,50,,,ally_hp_low,1,0,,0,,,,,30,1,,,,,,,,,,heal,target,1,skill_start,1,100,atk,50,,,,,,,,,,chance_value,add_option_value_1,cooldown,,,,,,,자신을 포함한 아군의 생명력이 {1}% 미만일 때 대상 1명에게 공격력의 {2}% 만큼 생명력 회복 (쿨타임 {3}초)
200135,어둠 파워드래곤,legend,e,패시브 2,code,status_effect,최후의 저항,res/ui/icon/skill/200135.png,res/ui/icon/skill/220011.png,,,,,,,,,,instant,-1,under_teammate_hp,50,,,teammate_hp_low,1,0,,0,,,,,30,1,,,,,,,,,,atk_up,teammate_hp_low,1,skill_start,10,100,,50,,,,,,,,,,chance_value,add_option_time_1,add_option_value_1,cooldown,,,,,,자신을 제외한 아군의 생명력이 {1}% 미만일 때 대상 1명에게 {2}초간 공격력 {3}% 증가 (쿨타임 {4}초)
200141,땅 파워드래곤,legend,e,스탯 강화,code,status_effect,방어력 증가,res/ui/icon/skill/200141.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,,,,,,,passive_def_up,self,1,skill_start,-1,100,,10,,,,,,,,,,add_option_value_1,,,,,,,,,자신의 방어력 {1}% 증가
200142,물 파워드래곤,legend,e,스탯 강화,code,status_effect,생명력 방어력 증가,res/ui/icon/skill/200142.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,,,,,,,passive_hp_up,self,1,skill_start,-1,100,,15,passive_def_up,self,1,skill_start,-1,100,,15,,add_option_value_1,,,,,,,,,자신의 최대 생명력 및 방어력 {1}% 증가
200144,빛 파워드래곤,legend,e,스탯 강화,code,status_effect,최대 생명력 증가,res/ui/icon/skill/200144.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,,,,,,,passive_hp_up,self,1,skill_start,-1,100,,25,,,,,,,,,,add_option_value_1,,,,,,,,,자신의 최대 생명력 {1}% 증가
200145,어둠 파워드래곤,legend,e,스탯 강화,code,status_effect,공방 증가,res/ui/icon/skill/200145.png,res/ui/icon/skill/200151.png,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,,,,,,,passive_atk_up,self,1,skill_start,-1,100,,25,passive_def_up,self,1,skill_start,-1,100,,25,,add_option_value_1,,,,,,,,,자신의 공격력 및 방어력 {1}% 증가
200151,땅 파워드래곤,legend,e,리더 스킬,code,status_effect,생명력 방어력 증가,res/ui/icon/skill/200151.png,,,,,,,,,,,instant,-1,leader,,,,ally_none,5,0,,0,,,,,1,1,,,,,,,,,,passive_def_up,ally_none,5,skill_start,-1,100,,20,passive_hp_up,self,1,skill_start,-1,100,,20,,add_option_value_1,,,,,,,,,아군 전체의 생명력 및 방어력 {1}% 증가
200152,물 파워드래곤,legend,e,리더 스킬,code,status_effect,해로운 효과 시간 감소,res/ui/icon/skill/200152.png,,,,,,,,,,,instant,-1,leader,,,,ally_none,5,0,,0,,,,,1,1,,,,,,,,,,passive_debuff_time_decrease,ally_none,5,skill_start,-1,100,,20,,,,,,,,,,add_option_value_1,,,,,,,,,아군 전체의 해로운 효과 유지시간 {1}% 감소
200154,빛 파워드래곤,legend,e,리더 스킬,code,status_effect,회복량 증가,res/ui/icon/skill/200154.png,,,,,,,,,,,instant,-1,leader,,,,ally_none,5,0,,0,,,,,1,1,,,,,,,,,,passive_heal_add,ally_none,5,skill_start,-1,100,,25,,,,,,,,,,add_option_value_1,,,,,,,,,아군 전체의 회복 스킬의 회복량 {1}% 증가
200155,어둠 파워드래곤,legend,e,리더 스킬,code,status_effect,방어력 증가,res/ui/icon/skill/200155.png,,,,,,,,,,,instant,-1,leader,,,,ally_dark_only,5,0,,0,,,,,1,1,,,,,,,,,,passive_def_up,ally_dark_only,5,skill_start,-1,100,,15,,,,,,,,,,add_option_value_1,,,,,,,,,어둠 속성 아군의 방어력 {1}% 증가
200211,땅 램곤,rare,c,드래그 스킬,code,skill_aoe_round,달콤한 꿈,res/ui/icon/skill/200211.png,,,,res/effect/skill_sweet_dream/skill_sweet_dream.vrp,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk,325,,,4,1,,,,x,x,0,0,0,,stun,target,1,skill_hit,7,100,,100,,,,,,,,,debuff,target_count,power_rate * hit,add_option_time_1,,,2,4,스킬게이지10%추가,스킬게이지20%추가,원형 범위의 적 {1}명에게 공격력의 {2}% 피해 및 {3}초간 기절 유발
200212,물 램곤,rare,c,드래그 스킬,code,skill_aoe_round,달콤한 꿈,res/ui/icon/skill/200212.png,,,,res/effect/skill_sweet_dream/skill_sweet_dream.vrp,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk,325,,,4,1,,,,x,x,0,0,0,,silence,target,1,skill_hit,7,100,,100,,,,,,,,,debuff,target_count,power_rate * hit,add_option_time_1,,,2,4,스킬게이지10%추가,스킬게이지20%추가,원형 범위의 적 {1}명에게 공격력의 {2}% 피해 및 {3}초간 침묵 유발
200213,불 램곤,rare,c,드래그 스킬,code,skill_aoe_round,달콤한 꿈,res/ui/icon/skill/200213.png,,,,res/effect/skill_sweet_dream/skill_sweet_dream.vrp,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk,325,,,4,1,,,,x,x,0,0,0,,sleep,target,1,skill_hit,7,100,,100,,,,,,,,,debuff,target_count,power_rate * hit,add_option_time_1,,,2,4,스킬게이지10%추가,스킬게이지20%추가,원형 범위의 적 {1}명에게 공격력의 {2}% 피해 및 {3}초간 수면 유발
200214,빛 램곤,rare,c,드래그 스킬,code,skill_aoe_round,달콤한 꿈,res/ui/icon/skill/200214.png,,,,res/effect/skill_sweet_dream/skill_sweet_dream.vrp,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk,325,,,4,1,,,,x,x,0,0,0,,sleep,target,1,skill_hit,10,100,,100,,,,,,,,,debuff,target_count,power_rate * hit,add_option_time_1,,,#N/A,#N/A,#N/A,#N/A,원형 범위의 적 {1}명에게 공격력의 {2}% 피해 및 {3}초간 수면 유발
200215,어둠 램곤,rare,c,드래그 스킬,code,skill_aoe_round,달콤한 꿈,res/ui/icon/skill/200215.png,,,,res/effect/skill_sweet_dream/skill_sweet_dream.vrp,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk,325,,,4,1,,,,x,x,0,0,0,,sleep,target,1,skill_hit,10,100,,100,,,,,,,,,debuff,target_count,power_rate * hit,add_option_time_1,,,#N/A,#N/A,#N/A,#N/A,원형 범위의 적 {1}명에게 공격력의 {2}% 피해 및 {3}초간 수면 유발
200221,땅 램곤,rare,c,패시브 1,code,status_effect,마나 회복,res/ui/icon/skill/200221.png,,,,,,,,,,,instant,-1,active_skill,3,,,self,1,0,,0,,,,,5,1,,,,,,,,,,accel_mana,self,1,skill_start,10,100,,100,,,,,,,,,,chance_value,add_option_time_1,add_option_value_1,,,,,,,아군이 소비마나 {1}의 드래그 스킬을 사용했을 때 {2}초간 아군의 마나 회복 속도 {3}배
200222,물 램곤,rare,c,패시브 1,code,status_effect,마나 회복,res/ui/icon/skill/200222.png,,,,,,,,,,,instant,-1,active_skill,3,,,self,1,0,,0,,,,,5,1,,,,,,,,,,accel_mana,self,1,skill_start,10,100,,100,,,,,,,,,,chance_value,add_option_time_1,add_option_value_1,,,,,,,아군이 소비마나 {1}의 드래그 스킬을 사용했을 때 {2}초간 아군의 마나 회복 속도 {3}배
200223,불 램곤,rare,c,패시브 1,code,status_effect,마나 회복,res/ui/icon/skill/200223.png,,,,,,,,,,,instant,-1,active_skill,3,,,self,1,0,,0,,,,,5,1,,,,,,,,,,accel_mana,self,1,skill_start,10,100,,100,,,,,,,,,,chance_value,add_option_time_1,add_option_value_1,,,,,,,아군이 소비마나 {1}의 드래그 스킬을 사용했을 때 {2}초간 아군의 마나 회복 속도 {3}배
200224,빛 램곤,rare,c,패시브 1,code,status_effect,마나 회복,res/ui/icon/skill/200224.png,,,,,,,,,,,instant,-1,active_skill,3,,,self,1,0,,0,,,,,5,1,,,,,,,,,,accel_mana,self,1,skill_start,10,100,,100,,,,,,,,,,chance_value,add_option_time_1,add_option_value_1,,,,,,,아군이 소비마나 {1}의 드래그 스킬을 사용했을 때 {2}초간 아군의 마나 회복 속도 {3}배
200225,어둠 램곤,rare,c,패시브 1,code,status_effect,마나 회복,res/ui/icon/skill/200225.png,,,,,,,,,,,instant,-1,active_skill,3,,,self,1,0,,0,,,,,5,1,,,,,,,,,,accel_mana,self,1,skill_start,10,100,,100,,,,,,,,,,chance_value,add_option_time_1,add_option_value_1,,,,,,,아군이 소비마나 {1}의 드래그 스킬을 사용했을 때 {2}초간 아군의 마나 회복 속도 {3}배
200231,땅 램곤,rare,c,패시브 2,code,status_effect,기절 해제,res/ui/icon/skill/200231.png,,,,,,,,,,,instant,-1,teammate_get_status_effect,name;stun,,,ally_status_stun,1,0,,0,,,,,30,1,,,,,,,,,,cure_stun,target,1,skill_start,1,100,,1,,,,,,,,,,target_count,cooldown,,,,,,,,자신을 제외한 아군이 기절 상태에 걸릴 때 대상 {1}명의 기절 해제 (쿨타임 {2}초)
200232,물 램곤,rare,c,패시브 2,code,status_effect,침묵 해제,res/ui/icon/skill/200232.png,,,,,,,,,,,instant,-1,teammate_get_status_effect,name;silence,,,ally_status_silence,1,0,,0,,,,,30,1,,,,,,,,,,cure_silence,target,1,skill_start,1,100,,1,,,,,,,,,,target_count,cooldown,,,,,,,,자신을 제외한 아군이 침묵 상태에 걸릴 때 대상 {1}명의 침묵 해제 (쿨타임 {2}초)
200233,불 램곤,rare,c,패시브 2,code,status_effect,수면 해제,res/ui/icon/skill/200233.png,,,,,,,,,,,instant,-1,teammate_get_status_effect,name;sleep,,,ally_status_sleep,1,0,,0,,,,,30,1,,,,,,,,,,cure_sleep,target,1,skill_start,1,100,,1,,,,,,,,,,target_count,cooldown,,,,,,,,자신을 제외한 아군이 수면 상태에 걸릴 때 대상 {1}명의 수면 해제 (쿨타임 {2}초)
200234,빛 램곤,rare,c,패시브 2,code,status_effect,수면 보호,res/ui/icon/skill/200234.png,,,,,,,,,,,instant,-1,teammate_get_status_effect,name;sleep,,,ally_status_sleep,1,0,,0,,,,,30,1,,,,,,,,,,barrier_protection_abs,target,1,skill_start,30,100,,3,,,,,,,,,,target_count,add_option_value_1,cooldown,,,,,,,자신을 제외한 아군이 수면 상태에 걸릴 때 대상 {1}명에게 {2}회 피해를 무효하는 보호막을 씌움 (쿨타임 {3}초)
200235,어둠 램곤,rare,c,패시브 2,code,status_effect,수면 보호,res/ui/icon/skill/200235.png,,,,,,,,,,,instant,-1,teammate_get_status_effect,name;sleep,,,ally_status_sleep,1,0,,0,,,,,30,1,,,,,,,,,,def_up,target,1,skill_start,5,100,,15,,,,,,,,,,add_option_time_1,target_count,add_option_value_1,cooldown,,,,,,자신을 제외한 아군이 수면 상태에 걸릴 때 {1}초간 대상 {2}명의 방어력 {3}% 증가 (쿨타임 {4}초)
200241,땅 램곤,rare,c,스탯 강화,code,status_effect,공격 속도 증가,res/ui/icon/skill/200241.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,x,x,0,0,0,,passive_aspd_up,self,1,skill_start,-1,100,,15,,,,,,,,,,add_option_value_1,,,,,,,,,자신의 공격속도 {1}% 증가
200242,물 램곤,rare,c,스탯 강화,code,status_effect,공격 속도 증가,res/ui/icon/skill/200242.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,x,x,0,0,0,,passive_aspd_up,self,1,skill_start,-1,100,,15,,,,,,,,,,add_option_value_1,,,,,,,,,자신의 공격속도 {1}% 증가
200243,불 램곤,rare,c,스탯 강화,code,status_effect,공격 속도 증가,res/ui/icon/skill/200243.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,x,x,0,0,0,,passive_aspd_up,self,1,skill_start,-1,100,,15,,,,,,,,,,add_option_value_1,,,,,,,,,자신의 공격속도 {1}% 증가
200244,빛 램곤,rare,c,스탯 강화,code,status_effect,공격 속도 증가,res/ui/icon/skill/200244.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,x,x,0,0,0,,passive_aspd_up,self,1,skill_start,-1,100,,15,,,,,,,,,,add_option_value_1,,,,,,,,,자신의 공격속도 {1}% 증가
200245,어둠 램곤,rare,c,스탯 강화,code,status_effect,공격 속도 증가,res/ui/icon/skill/200245.png,,,,,,,,,,,instant,-1,passive,,,,self,1,0,,0,,,,,,1,,,,x,x,0,0,0,,passive_aspd_up,self,1,skill_start,-1,100,,15,,,,,,,,,,add_option_value_1,,,,,,,,,자신의 공격속도 {1}% 증가
200411,땅 오르페우스,hero,c,드래그 스킬,code,skill_rush,분노의 질주,res/ui/icon/skill/200411.png,,,,res/effect/skill_orpheusdragon/skill_orpheusdragon.vrp,,,full,square_width,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk + atk * buff_atk * 0.01,350,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,attack,target_count,power_rate * hit,,,,8,10,공격력15%증가,공격력20%증가,"가로 1열 범위의 적 {1}명에게 공격력의 {2}% 피해, 자신의 공격력 증가 비율만큼 피해량 증가"
200412,물 오르페우스,hero,c,드래그 스킬,code,skill_rush,분노의 질주,res/ui/icon/skill/200412.png,,,,res/effect/skill_orpheusdragon/skill_orpheusdragon.vrp,,,full,square_width,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk,350,,,4,1,,,,,,,,,,def_down,target,,skill_hit,10,100,,30,,,,,,,,,debuff,target_count,power_rate * hit,add_option_time_1,add_option_value_1,,8,10,공격력15%증가,공격력20%증가,가로 1열 범위의 적 {1}명에게 공격력의 {2}% 피해 및 {3}초간 방어력 {4}% 감소
200413,불 오르페우스,hero,c,드래그 스킬,code,skill_rush,분노의 질주,res/ui/icon/skill/200413.png,,,,res/effect/skill_orpheusdragon/skill_orpheusdragon.vrp,,,full,square_width,2,,instant,-1,active,,,,enemy_random,3,0,2,0,max_hp / 5,350,,,4,1,,,,,,,,,,reflect,self,1,skill_start,10,100,,50,,,,,,,,,buff,target_count,power_rate * 0.2,add_option_time_1,add_option_value_1,,8,10,공격력15%증가,공격력20%증가,가로 1열 범위의 적 {1}명에게 최대 생명력의 {2}% 피해 및 자신에게 {3}초간 {4}%의 피해를 반사하는 보호막을 씌움
200415,어둠 오르페우스,hero,c,드래그 스킬,code,skill_rush,분노의 질주,res/ui/icon/skill/200415.png,,,,res/effect/skill_orpheusdragon/skill_orpheusdragon.vrp,,,full,square_width,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk,350,,,4,1,,,,,,,,,,stun,target,,skill_hit,7,100,,100,,,,,,,,,debuff,target_count,power_rate * hit,add_option_time_1,,,8,10,공격력15%증가,공격력20%증가,가로 1열 범위의 적 {1}명에게 공격력의 {2}% 피해 및 {3}초간 기절
200421,땅 오르페우스,hero,c,패시브 1,code,skill_enumrate_curve,약점 포착,res/ui/icon/skill/200421.png,,res/missile/missile_ball/missile_ball_@.vrp,,res/missile/motion_streak/motion_streak_white.png,,,,,,,instant,-1,indie_time,10,,,enemy_hp_low,2,0,,0,atk + atk * 0.5 * STATUSEFFECT('atk_up'),50,,,5,2,polygons,random,,,,,,,,,,,,,,,,,,,,,,,,,chance_value,target_count,power_rate,,,,,,,"{1}초마다 생명력이 가장 낮은 적 {2}명에게 공격력의 {3}% 피해, 자신이 공격력 증가 상태일 때 피해량 1.5배"
200422,물 오르페우스,hero,c,패시브 1,code,skill_enumrate_curve,약점 포착,res/ui/icon/skill/200422.png,,res/missile/missile_ball/missile_ball_@.vrp,,res/missile/motion_streak/motion_streak_white.png,,,,,,,instant,-1,indie_time,10,,,enemy_hp_low,2,0,,0,atk,100,,,5,2,polygons,random,,,,,,,,def_down,target,,skill_hit,10,100,,10,,,,,,,,,,chance_value,target_count,power_rate,add_option_time_1,add_option_value_1,,,,,{1}초마다 생명력이 가장 낮은 적 {2}명에게 공격력의 {3}% 피해 및 {4}초간 방어력 {5}% 감소
200423,불 오르페우스,hero,c,패시브 1,code,skill_enumrate_curve,약점 포착,res/ui/icon/skill/200423.png,,res/missile/missile_ball/missile_ball_@.vrp,,res/missile/motion_streak/motion_streak_white.png,,,,,,,instant,-1,under_atk_rate,45,,,enemy_random,3,0,,0,max_hp,20,,,5,3,polygons,random,,,,,,,,,,,,,,,,,,,,,,,,,chance_value,target_count,power_rate,,,,,,,피격시 {1}% 확률로 무작위 적 {2}명에게 최대 생명력의 {3}% 피해
200425,어둠 오르페우스,hero,c,패시브 1,code,skill_enumrate_curve,약점 포착,res/ui/icon/skill/200425.png,,res/missile/missile_ball/missile_ball_@.vrp,,res/missile/motion_streak/motion_streak_white.png,,,,,,,instant,-1,basic_rate,10,,,enemy_distance_line,5,0,,0,atk,50,,,5,5,polygons,random,,,,,,,,,,,,,,,,,,,,,,,,,chance_value,target_count,power_rate,,,,,,,일반공격시 {1}% 확률로 가장 가까운 적 {2}명에게 공격력의 {3}% 피해
