mid,t_name,type,res,dark_mode,scale,pattern,rarity,attr,role,size_type,icon,coin,skill_basic,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid
130042,물 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/spearman_@.png,2,230000,230006,,,,,,,,,1050,350,6000,20,10,75,5,0,5
130043,불 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/spearman_@.png,2,230000,230006,,,,,,,,,1260,350,5000,20,10,75,5,0,5
130044,빛 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/spearman_@.png,2,230000,230006,,,,,,,,,1050,350,5000,20,10,75,15,0,15
130045,어둠 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/spearman_@.png,2,230000,230006,,,,,,,,,1050,350,5000,35,25,75,5,0,5
130051,땅 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,0.75,ignore,common,earth,healer,s,res/ui/icon/mon/priest_@.png,3,230007,,,,,,,,,,1050,672,3500,20,10,50,5,10,5
130052,물 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,water,healer,s,res/ui/icon/mon/priest_@.png,3,230007,,,,,,,,,,1050,560,4200,20,10,50,5,10,5
130053,불 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,fire,healer,s,res/ui/icon/mon/priest_@.png,3,230007,,,,,,,,,,1260,560,3500,20,10,50,5,10,5
130054,빛 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,light,healer,s,res/ui/icon/mon/priest_@.png,3,230007,,,,,,,,,,1050,560,3500,20,10,50,15,10,15
130055,어둠 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,dark,healer,s,res/ui/icon/mon/priest_@.png,3,230007,,,,,,,,,,1050,560,3500,35,25,50,5,10,5
130061,땅 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icon/mon/bomber_@.png,3,230008,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
130062,물 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/bomber_@.png,3,230008,,,,,,,,,,1050,350,6000,20,10,75,5,0,5
130063,불 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/bomber_@.png,3,230008,,,,,,,,,,1260,350,5000,20,10,75,5,0,5
130064,빛 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/bomber_@.png,3,230008,,,,,,,,,,1050,350,5000,20,10,75,15,0,15
130065,어둠 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/bomber_@.png,3,230008,,,,,,,,,,1050,350,5000,35,25,75,5,0,5
131011,일벌,honeybee,res/character/monster/common_honeybee_earth/common_honeybee_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/honeybee_@.png,2,230009,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131021,괴물 식물,mushroom_attendant,res/character/monster/common_mushroom_attendant_earth/common_mushroom_attendant_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/mushroom_attendant_@.png,2,230000,230029,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131031,부엉이,owl,res/character/monster/common_owl_earth/common_owl_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/owl_@.png,2,230000,230014,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131041,버섯 노예,mushroom_slave,res/character/monster/mushroom_slave_1/mushroom_slave_1.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/mushroom_slave_@.png,0,230000,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131051,버섯 노예,mushroom_slave,res/character/monster/mushroom_slave_2/mushroom_slave_2.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/mushroom_slave_@.png,0,230000,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131061,다람쥐,squirrel,res/character/monster/common_squirrel_earth/common_squirrel_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/squirrel_@.png,2,230000,230044,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131071,바위정령,elemental_earth,res/character/monster/common_elemental_earth/common_elemental_earth.spine,0,1,ignore,common,earth,tanker,s,res/ui/icon/mon/elemental_earth_@.png,2,230000,230043,,,,,,,,,700,1680,7500,15,5,50,10,0,10
131081,도마뱀 인간 전사,lizard_man,res/character/monster/common_lizard_man_earth/common_lizard_man_earth.spine,0,1,ignore,common,earth,tanker,s,res/ui/icon/mon/lizard_man_@.png,2,230062,,,,,,,,,,700,1680,7500,15,5,50,10,0,10
131091,도마뱀 인간1,lizard_man,res/character/monster/common_lizard_man_earth/common_lizard_man_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/lizard_man_@.png,2,230001,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131101,도마뱀 인간2,lizard_man_shaman,res/character/monster/elite_lizard_man_shaman_earth/elite_lizard_man_shaman_earth.spine,0,0.5,ignore,common,earth,dealer,s,res/ui/icon/mon/lizard_man_shaman_@.png,4,230000,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131111,고대문자:A,ancient_word_a,res/character/monster/common_ancient_word_a_earth/common_ancient_word_a_earth.spine,0,1,ignore,common,earth,supporter,s,res/ui/icon/mon/ancient_word_a_@.png,2,230000,230049,,,,,,,,,700,840,5000,25,8,65,5,5,10
131121,만드라고라:땅,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/mandragora_@.png,2,230053,230054,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131131,땅 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/wyvern_@.png,2,230000,230061,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131141,버섯 노예1,mushroom_slave,res/character/monster/mushroom2_slave_1/mushroom2_slave_1.spine,0,1,ignore,common,earth,dealer,s,res/ui/icon/mon/mushroom_slave_@.png,0,230000,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
131151,버섯 노예2,mushroom_slave,res/character/monster/mushroom2_slave_2/mushroom2_slave_2.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/mushroom_slave_earth.png,0,230000,,,,,,,,,,1260,350,5000,20,10,75,5,0,5
131012,해골 생선,bonefish,res/character/monster/common_bonefish_water/common_bonefish_water.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/bonefish_@.png,2,230000,230020,,,,,,,,,1050,350,6000,20,10,75,5,0,5
131022,복상어,blowshark,res/character/monster/common_blowshark_water/common_blowshark_water.spine,0,1,ignore,common,water,tanker,s,res/ui/icon/mon/blowshark_@.png,2,230000,230012,,,,,,,,,700,1400,9000,15,5,50,10,0,10
131032,문어,octopus,res/character/monster/common_octopus_fire/common_octopus_fire.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/octopus_@.png,2,230000,230016,,,,,,,,,1260,350,5000,20,10,75,5,0,5
131042,악마날개,evil_wing,res/character/monster/common_evil_wing_water/common_evil_wing_water.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/evil_wing_@.png,2,230000,230060,,,,,,,,,1050,350,6000,20,10,75,5,0,5
131052,고대문자:B,ancient_word_b,res/character/monster/common_ancient_word_b_water/common_ancient_word_b_water.spine,0,1,ignore,common,water,supporter,s,res/ui/icon/mon/ancient_word_b_@.png,2,230000,230050,,,,,,,,,700,700,6000,25,8,65,5,5,10
131062,만드라고라:물,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/mandragora_@.png,2,230053,230054,,,,,,,,,1050,350,6000,20,10,75,5,0,5
131072,물 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/wyvern_@.png,2,230000,230061,,,,,,,,,1050,350,6000,20,10,75,5,0,5
131013,하피 주니어,harpy_junior,res/character/monster/common_harpy_junior_fire/common_harpy_junior_fire.spine,0,1,ignore,common,fire,tanker,s,res/ui/icon/mon/harpy_junior_@.png,2,230001,230045,,,,,,,,,840,1400,7500,15,5,50,10,0,10
131023,거미알,spider_egg,res/character/monster/spider_egg/spider_egg.spine,0,1,ignore,common,fire,supporter,s,res/ui/icon/mon/spider_egg_@.png,2,234002,,,,,,,,,,840,700,5000,25,8,65,5,5,10
131033,용암정령,elemental_lava,res/character/monster/common_elemental_lava_fire/common_elemental_lava_fire.spine,0,1,ignore,common,fire,tanker,s,res/ui/icon/mon/elemental_lava_@.png,2,230000,230047,,,,,,,,,840,1400,7500,15,5,50,10,0,10
131043,고대문자:C,ancient_word_c,res/character/monster/common_ancient_word_c_fire/common_ancient_word_c_fire.spine,0,1,ignore,common,fire,supporter,s,res/ui/icon/mon/ancient_word_c_@.png,2,230000,230051,,,,,,,,,840,700,5000,25,8,65,5,5,10
131053,기록 관리자,record_manager,res/character/monster/common_record_manager_fire/common_record_manager_fire.spine,0,1,ignore,common,fire,supporter,s,res/ui/icon/mon/record_manager_@.png,2,230000,230052,,,,,,,,,840,700,5000,25,8,65,5,5,10
131063,만드라고라:불,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/mandragora_@.png,2,230053,230054,,,,,,,,,1260,350,5000,20,10,75,5,0,5
131073,플라잉 스컬,flying_skull,res/character/monster/common_flying_skull_fire/common_flying_skull_fire.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/flying_skull_@.png,2,230000,230057,,,,,,,,,1260,350,5000,20,10,75,5,0,5
131083,불 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/wyvern_@.png,2,230000,230061,,,,,,,,,1260,350,5000,20,10,75,5,0,5
131014,픽시,pixie,res/character/monster/common_pixie_light/common_pixie_light.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/pixie_@.png,2,230048,,,,,,,,,,1050,350,5000,20,10,75,15,0,15
131024,만드라고라:빛,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/mandragora_@.png,2,230053,230054,,,,,,,,,1050,350,5000,20,10,75,15,0,15
131034,빛 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/wyvern_@.png,2,230000,230061,,,,,,,,,1050,350,5000,20,10,75,15,0,15
131045,만드라고라:어둠,mandragora,res/character/monster/common_mandragora_earth/common_mandragora_earth.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/mandragora_@.png,2,230053,230054,,,,,,,,,1050,350,5000,35,25,75,5,0,5
131055,루미에,lumiere,res/character/monster/common_lumiere_dark/common_lumiere_dark.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/lumiere_@.png,2,230000,230056,,,,,,,,,1050,350,5000,35,25,75,5,0,5
131065,미니언,minion,res/character/monster/common_minion_dark/common_minion_dark.spine,0,1,ignore,common,dark,tanker,s,res/ui/icon/mon/minion_@.png,2,230000,230058,,,,,,,,,700,1400,7500,30,20,50,10,0,10
131075,어둠 와이번,wyvern,res/character/monster/common_wyvern_@/common_wyvern_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/wyvern_@.png,2,230000,230061,,,,,,,,,1050,350,5000,35,25,75,5,0,5
131044,미믹,mimic,res/character/monster/common_mimic_light/common_mimic_light.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/mimic_@.png,2,230053,,,,,,,,,,1050,350,5000,20,10,75,15,0,15
131054,보물 고블린,treasuregoblin,res/character/monster/common_treasuregoblin_light/common_treasuregoblin_light.spine,0,1,ignore,common,light,supporter,s,res/ui/icon/mon/treasuregoblin_@.png,2,230000,,,,,,,,,,770,700,4500,25,8,65,15,5,20
131095,자수정 몬스터,amethystmonster,res/character/monster/common_amethystmonster_dark/common_amethystmonster_dark.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/amethystmonster_@.png,2,230000,,,,,,,,,,1208,350,4250,35,25,75,5,0,5
132011,킬러비,killerbee,res/character/monster/elite_killerbee_earth/elite_killerbee_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/killerbee_@.png,4,230000,231011,231002,,,,,,,,1500,660,67500,25,15,75,5,0,5
132021,라플레시아,rafflesia,res/character/monster/elite_rafflesia_earth/elite_rafflesia_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/rafflesia_@.png,4,230000,231021,231001,,,,,,,,1500,600,75000,25,15,75,5,0,5
132031,아울베어,owlbear,res/character/monster/elite_owlbear_earth/elite_owlbear_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/owlbear_@.png,4,230000,231031,230014,231003,,,,,,,1350,660,75000,25,15,75,5,0,5
132051,다람쥐 리더,squirrel_leader,res/character/monster/elite_squirrel_leader_earth/elite_squirrel_leader_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/squirrel_leader_@.png,4,231040,231041,231000,,,,,,,,1650,600,67500,25,15,75,5,0,5
132061,대지정령,highelemental_earth,res/character/monster/elite_highelemental_earth/elite_highelemental_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/highelemental_earth_@.png,4,230000,231051,231002,,,,,,,,1500,540,82500,25,15,75,5,0,5
132071,도마뱀 인간 주술사,lizard_man_shaman,res/character/monster/elite_lizard_man_shaman_earth/elite_lizard_man_shaman_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/lizard_man_shaman_@.png,4,230000,231061,231005,,,,,,,,1500,600,75000,25,15,75,5,0,5
132081,가고일,gargoyle,res/character/monster/elite_gargoyle_earth/elite_gargoyle_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/gargoyle_@.png,4,230000,231071,231001,,,,,,,,1500,600,75000,25,15,75,5,0,5
132091,크라브로,killerbee,res/character/monster/elite_killerbee2_earth/elite_killerbee2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/killerbee_@.png,4,230000,231012,231002,,,,,,,,1500,600,75000,25,15,75,5,0,5
132101,라플레시아2,rafflesia,res/character/monster/elite_rafflesia2_earth/elite_rafflesia2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/rafflesia_@.png,4,230000,231022,231001,,,,,,,,1500,600,75000,25,15,75,5,0,5
132111,아울베어2,owlbear,res/character/monster/elite_owlbear2_earth/elite_owlbear2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/owlbear_@.png,4,230000,231032,230014,231003,,,,,,,1500,600,75000,25,15,75,5,0,5
132121,다람쥐 리더2,squirrel_leader,res/character/monster/elite_squirrel_leader2_earth/elite_squirrel_leader2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/squirrel_leader_@.png,4,231040,231042,231000,,,,,,,,1500,600,75000,25,15,75,5,0,5
132131,분노한 대지정령,highelemental_earth,res/character/monster/elite_highelemental2_earth/elite_highelemental2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/highelemental_earth_@.png,4,230000,231052,231002,,,,,,,,1500,600,75000,25,15,75,5,0,5
132141,도마뱀 인간 주술사2,lizard_man_shaman,res/character/monster/elite_lizard_man_shaman2_earth/elite_lizard_man_shaman2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/lizard_man_shaman_@.png,4,230000,231062,231005,,,,,,,,1500,600,75000,25,15,75,5,0,5
132151,숲 가고일,gargoyle,res/character/monster/elite_gargoyle2_earth/elite_gargoyle2_earth.spine,0,1,ignore,elite,earth,dealer,m,res/ui/icon/mon/gargoyle_@.png,4,230000,231072,231001,,,,,,,,1500,600,75000,25,15,75,5,0,5
132012,인어,mermaid,res/character/monster/elite_mermaid_water/elite_mermaid_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/mermaid_@.png,4,230000,231091,231093,231000,,,,,,,1500,500,90000,25,15,75,5,0,5
132022,상어 전사,sharkwarrior,res/character/monster/elite_sharkwarrior_water/elite_sharkwarrior_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/sharkwarrior_@.png,4,230001,231101,231005,,,,,,,,1500,500,90000,25,15,75,5,0,5
132032,독문어,poisonoctopus,res/character/monster/elite_poisonoctopus_water/elite_poisonoctopus_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/poisonoctopus_@.png,4,230000,231111,231001,,,,,,,,1500,500,90000,25,15,75,5,0,5
132042,상어 전사(소환),sharkwarrior_summon,res/character/monster/elite_sharkwarrior_water/elite_sharkwarrior_water.spine,0,1,ignore,common,water,dealer,m,res/ui/icon/mon/sharkwarrior_summon_@.png,2,230000,231101,,,,,,,,,1050,350,6000,20,10,75,5,0,5
132052,감시자,beholder,res/character/monster/elite_beholder_water/elite_beholder_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/beholder_@.png,4,230000,231121,231001,,,,,,,,1500,500,90000,25,15,75,5,0,5
132062,해골 기사,skeleton_knight,res/character/monster/elite_skeleton_knight_water/elite_skeleton_knight_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/skeleton_knight_@.png,4,230001,231131,231000,,,,,,,,1500,500,90000,25,15,75,5,0,5
132072,심해 인어,mermaid,res/character/monster/elite_mermaid2_water/elite_mermaid2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/mermaid_@.png,4,230000,231092,231093,231000,,,,,,,1500,500,90000,25,15,75,5,0,5
132082,심해 상어 전사,sharkwarrior,res/character/monster/elite_sharkwarrior2_water/elite_sharkwarrior2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/sharkwarrior_@.png,4,230001,231102,231005,,,,,,,,1500,500,90000,25,15,75,5,0,5
132092,심해 독문어,poisonoctopus,res/character/monster/elite_poisonoctopus2_water/elite_poisonoctopus2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/poisonoctopus_@.png,4,230000,231112,231001,,,,,,,,1500,500,90000,25,15,75,5,0,5
132102,심해 상어 전사(소환),sharkwarrior_summon,res/character/monster/elite_sharkwarrior2_water/elite_sharkwarrior2_water.spine,0,1,ignore,common,water,dealer,m,res/ui/icon/mon/sharkwarrior_summon_@.png,2,230000,231101,,,,,,,,,1050,350,6000,20,10,75,5,0,5
132112,주시자,beholder,res/character/monster/elite_beholder2_water/elite_beholder2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/beholder_@.png,4,230000,231122,231001,,,,,,,,1500,500,90000,25,15,75,5,0,5
132122,스파르토이,skeleton_knight,res/character/monster/elite_skeleton_knight2_water/elite_skeleton_knight2_water.spine,0,1,ignore,elite,water,dealer,m,res/ui/icon/mon/skeleton_knight_@.png,4,230001,231132,231000,,,,,,,,1500,500,90000,25,15,75,5,0,5
132013,하피,harpy,res/character/monster/elite_harpy_fire/elite_harpy_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icon/mon/harpy_@.png,4,230000,231141,231000,,,,,,,,1800,500,75000,25,15,75,5,0,5
132023,이프리트,ifrit,res/character/monster/elite_ifrit_fire/elite_ifrit_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icon/mon/ifrit_@.png,10,230000,231151,231005,,,,,,,,1800,500,75000,25,15,75,5,0,5
132033,서큐버스,succubus,res/character/monster/elite_succubus_fire/elite_succubus_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icon/mon/succubus_@.png,10,231160,231161,231162,231003,,,,,,,1800,500,75000,25,15,75,5,0,5
132043,정예 하피,harpy,res/character/monster/elite_harpy2_fire/elite_harpy2_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icon/mon/harpy_@.png,4,231142,231143,231000,,,,,,,,1800,500,75000,25,15,75,5,0,5
132053,지니,ifrit,res/character/monster/elite_ifrit2_fire/elite_ifrit2_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icon/mon/ifrit_@.png,10,230000,231151,231005,,,,,,,,1800,500,75000,25,15,75,5,0,5
132063,정예 서큐버스,succubus,res/character/monster/elite_succubus2_fire/elite_succubus2_fire.spine,0,1,ignore,elite,fire,dealer,m,res/ui/icon/mon/succubus_@.png,10,231160,231161,231162,231003,,,,,,,1800,500,75000,25,15,75,5,0,5
132014,픽시퀸,pixie_queen,res/character/monster/elite_pixie_queen_light/elite_pixie_queen_light.spine,0,1,ignore,elite,light,dealer,m,res/ui/icon/mon/pixie_queen_@.png,4,230000,231171,231172,231000,,,,,,,1500,500,75000,25,15,75,15,0,15
132024,라이트 오브,light_orb,res/character/monster/elite_light_orb_light/elite_light_orb_light.spine,0,1,ignore,elite,light,dealer,m,res/ui/icon/mon/light_orb_@.png,4,231180,231181,231003,,,,,,,,1500,500,75000,25,15,75,15,0,15
132034,페어리퀸,pixie_queen,res/character/monster/elite_pixie_queen2_light/elite_pixie_queen2_light.spine,0,1,ignore,elite,light,dealer,m,res/ui/icon/mon/pixie_queen_@.png,4,230000,231171,231172,231000,,,,,,,1500,500,75000,25,15,75,15,0,15
132044,다크 오브,light_orb,res/character/monster/elite_light_orb2_light/elite_light_orb2_light.spine,0,1,ignore,elite,light,dealer,m,res/ui/icon/mon/light_orb_@.png,4,231180,231181,231003,,,,,,,,1500,500,75000,25,15,75,15,0,15
132015,샹들리에,chandelier,res/character/monster/elite_chandelier_dark/elite_chandelier_dark.spine,0,1,ignore,elite,dark,dealer,m,res/ui/icon/mon/chandelier_@.png,4,231190,231191,231002,,,,,,,,1500,500,75000,40,30,75,5,0,5
132025,샹들리에2,chandelier,res/character/monster/elite_chandelier2_dark/elite_chandelier2_dark.spine,0,1,ignore,elite,dark,dealer,m,res/ui/icon/mon/chandelier_@.png,4,231190,231191,231002,,,,,,,,1500,500,75000,40,30,75,5,0,5
133011,여왕 버섯,mushqueen,res/character/monster/subboss_mushqueen_earth/subboss_mushqueen_earth.spine,0,1,use,subboss,earth,dealer,l,res/ui/icon/mon/mushqueen_@.png,8,230000,232011,232012,232013,,,,,,,1575,630,100000,30,20,75,5,0,5
133021,그리핀,griffin,res/character/monster/subboss_griffin_earth/subboss_griffin_earth.spine,0,1,use,subboss,earth,dealer,l,res/ui/icon/mon/griffin_@.png,8,230001,232031,232032,232033,,,,,,,1575,630,100000,30,20,75,5,0,5
133031,전차 풍뎅이(돌격),chariot_scarab_01,res/character/monster/subboss_chariot_scarab_01_earth/subboss_chariot_scarab_01_earth.spine,0,1,ignore,subboss,earth,dealer,l,res/ui/icon/mon/chariot_scarab_01_@.png,8,232040,232041,232042,232043,,,,,,,1575,630,100000,30,20,75,5,0,5
133041,정예 여왕 버섯,mushqueen,res/character/monster/subboss_mushqueen2_earth/subboss_mushqueen2_earth.spine,0,1,use,subboss,earth,dealer,l,res/ui/icon/mon/mushqueen_@.png,8,230000,232011,232012,232013,,,,,,,1575,630,100000,30,20,75,5,0,5
