slid,sid,r_origin_rarity,r_origin_s_name,r_origin_power_rate,r_origin_hit,r_goal_powerate,lv,r_dragon,t_name,r_count_power_rate,col_01,mod_01,val_01,col_02,mod_02,val_02,col_03,mod_03,val_03,col_04,mod_04,val_04,col_05,mod_05,val_05,desc_1,desc_2,desc_3,desc_4,desc_5,t_desc
20221501,202215,legend,드래그 스킬,133,3,67,1,어둠 번개고룡,뇌룡포,4,,,,,,,,,,,,,,,,,,,,,
20221502,202215,legend,드래그 스킬,133,3,67,2,어둠 번개고룡,뇌룡포,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20221503,202215,legend,드래그 스킬,133,3,67,3,어둠 번개고룡,뇌룡포,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20221504,202215,legend,드래그 스킬,133,3,67,4,어둠 번개고룡,뇌룡포,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20221505,202215,legend,드래그 스킬,133,3,67,5,어둠 번개고룡,뇌룡포,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20222501,202225,legend,패시브 1,100,1,50,1,어둠 번개고룡,고룡의 권능,4,,,,,,,,,,,,,,,,,,,,,
20222502,202225,legend,패시브 1,100,1,50,2,어둠 번개고룡,고룡의 권능,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20222503,202225,legend,패시브 1,100,1,50,3,어둠 번개고룡,고룡의 권능,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20222504,202225,legend,패시브 1,100,1,50,4,어둠 번개고룡,고룡의 권능,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20222505,202225,legend,패시브 1,100,1,50,5,어둠 번개고룡,고룡의 권능,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20223501,202235,legend,패시브 2,,1,,1,어둠 번개고룡,공격력 증가,0,,,,,,,,,,,,,,,,,,,,,
20223502,202235,legend,패시브 2,,1,,2,어둠 번개고룡,공격력 증가,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20223503,202235,legend,패시브 2,,1,,3,어둠 번개고룡,공격력 증가,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20223504,202235,legend,패시브 2,,1,,4,어둠 번개고룡,공격력 증가,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20223505,202235,legend,패시브 2,,1,,5,어둠 번개고룡,공격력 증가,0,add_option_value_1,add,2,,,,,,,,,,,,,,,,,,
20431101,204311,legend,드래그 스킬,400,1,200,1,땅 스마트 드래곤,고서의 비밀,3,,,,,,,,,,,,,,,,,,,,,
20431102,204311,legend,드래그 스킬,400,1,200,2,땅 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431103,204311,legend,드래그 스킬,400,1,200,3,땅 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431104,204311,legend,드래그 스킬,400,1,200,4,땅 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431105,204311,legend,드래그 스킬,400,1,200,5,땅 스마트 드래곤,고서의 비밀,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20432101,204321,legend,패시브 1,,1,,1,땅 스마트 드래곤,수업시간,0,,,,,,,,,,,,,,,,,,,,,
20432102,204321,legend,패시브 1,,1,,2,땅 스마트 드래곤,수업시간,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20432103,204321,legend,패시브 1,,1,,3,땅 스마트 드래곤,수업시간,0,chance_value,add,-1,,,,,,,,,,,,,,,,,,
20432104,204321,legend,패시브 1,,1,,4,땅 스마트 드래곤,수업시간,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20432105,204321,legend,패시브 1,,1,,5,땅 스마트 드래곤,수업시간,0,chance_value,add,-1,,,,,,,,,,,,,,,,,,
20433101,204331,legend,패시브 2,20,1,10,1,땅 스마트 드래곤,고통의 시,0,,,,,,,,,,,,,,,,,,,,,
20433102,204331,legend,패시브 2,20,1,10,2,땅 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20433103,204331,legend,패시브 2,20,1,10,3,땅 스마트 드래곤,고통의 시,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20433104,204331,legend,패시브 2,20,1,10,4,땅 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20433105,204331,legend,패시브 2,20,1,10,5,땅 스마트 드래곤,고통의 시,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20431201,204312,legend,드래그 스킬,400,1,200,1,물 스마트 드래곤,고서의 비밀,3,,,,,,,,,,,,,,,,,,,,,
20431202,204312,legend,드래그 스킬,400,1,200,2,물 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431203,204312,legend,드래그 스킬,400,1,200,3,물 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431204,204312,legend,드래그 스킬,400,1,200,4,물 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431205,204312,legend,드래그 스킬,400,1,200,5,물 스마트 드래곤,고서의 비밀,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20432201,204322,legend,패시브 1,,1,,1,물 스마트 드래곤,수업시간,0,,,,,,,,,,,,,,,,,,,,,
20432202,204322,legend,패시브 1,,1,,2,물 스마트 드래곤,수업시간,0,add_option_value_2,add,1,,,,,,,,,,,,,,,,,,
20432203,204322,legend,패시브 1,,1,,3,물 스마트 드래곤,수업시간,0,chance_value,add,-1,,,,,,,,,,,,,,,,,,
20432204,204322,legend,패시브 1,,1,,4,물 스마트 드래곤,수업시간,0,add_option_value_2,add,1,,,,,,,,,,,,,,,,,,
20432205,204322,legend,패시브 1,,1,,5,물 스마트 드래곤,수업시간,0,chance_value,add,-1,,,,,,,,,,,,,,,,,,
20433201,204332,legend,패시브 2,10,2,5,1,물 스마트 드래곤,고통의 시,0,,,,,,,,,,,,,,,,,,,,,
20433202,204332,legend,패시브 2,10,2,5,2,물 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20433203,204332,legend,패시브 2,10,2,5,3,물 스마트 드래곤,고통의 시,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20433204,204332,legend,패시브 2,10,2,5,4,물 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20433205,204332,legend,패시브 2,10,2,5,5,물 스마트 드래곤,고통의 시,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20431301,204313,legend,드래그 스킬,400,1,200,1,불 스마트 드래곤,고서의 비밀,3,,,,,,,,,,,,,,,,,,,,,
20431302,204313,legend,드래그 스킬,400,1,200,2,불 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431303,204313,legend,드래그 스킬,400,1,200,3,불 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431304,204313,legend,드래그 스킬,400,1,200,4,불 스마트 드래곤,고서의 비밀,3,power_rate,add,67,,,,,,,,,,,,,,,,,,
20431305,204313,legend,드래그 스킬,400,1,200,5,불 스마트 드래곤,고서의 비밀,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20432301,204323,legend,패시브 1,,1,,1,불 스마트 드래곤,수업시간,0,,,,,,,,,,,,,,,,,,,,,
20432302,204323,legend,패시브 1,,1,,2,불 스마트 드래곤,수업시간,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20432303,204323,legend,패시브 1,,1,,3,불 스마트 드래곤,수업시간,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20432304,204323,legend,패시브 1,,1,,4,불 스마트 드래곤,수업시간,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20432305,204323,legend,패시브 1,,1,,5,불 스마트 드래곤,수업시간,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20433301,204333,legend,패시브 2,10,2,5,1,불 스마트 드래곤,고통의 시,0,,,,,,,,,,,,,,,,,,,,,
20433302,204333,legend,패시브 2,10,2,5,2,불 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20433303,204333,legend,패시브 2,10,2,5,3,불 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20433304,204333,legend,패시브 2,10,2,5,4,불 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20433305,204333,legend,패시브 2,10,2,5,5,불 스마트 드래곤,고통의 시,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20441301,204413,hero,드래그 스킬,70,5,35,1,아르주나,드림비전,4,,,,,,,,,,,,,,,,,,,,,
20441302,204413,hero,드래그 스킬,70,5,35,2,아르주나,드림비전,4,power_rate,add,9,,,,,,,,,,,,,,,,,,
20441303,204413,hero,드래그 스킬,70,5,35,3,아르주나,드림비전,4,power_rate,add,9,,,,,,,,,,,,,,,,,,
20441304,204413,hero,드래그 스킬,70,5,35,4,아르주나,드림비전,4,power_rate,add,9,,,,,,,,,,,,,,,,,,
20441305,204413,hero,드래그 스킬,70,5,35,5,아르주나,드림비전,4,power_rate,add,9,,,,,,,,,,,,,,,,,,
20442301,204423,hero,패시브 1,,1,,1,아르주나,성화의 불씨,0,,,,,,,,,,,,,,,,,,,,,
20442302,204423,hero,패시브 1,,1,,2,아르주나,성화의 불씨,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20442303,204423,hero,패시브 1,,1,,3,아르주나,성화의 불씨,0,add_option_time_1,add,2,,,,,,,,,,,,,,,,,,
20442304,204423,hero,패시브 1,,1,,4,아르주나,성화의 불씨,0,add_option_time_1,add,2,,,,,,,,,,,,,,,,,,
20442305,204423,hero,패시브 1,,1,,5,아르주나,성화의 불씨,0,chance_value,add,-1,,,,,,,,,,,,,,,,,,
20443301,204433,hero,패시브 2,,1,,1,아르주나,태우기,0,,,,,,,,,,,,,,,,,,,,,
20443302,204433,hero,패시브 2,,1,,2,아르주나,태우기,0,add_option_value_1,add,15,,,,,,,,,,,,,,,,,,
20443303,204433,hero,패시브 2,,1,,3,아르주나,태우기,0,add_option_value_1,add,15,,,,,,,,,,,,,,,,,,
20443304,204433,hero,패시브 2,,1,,4,아르주나,태우기,0,add_option_value_1,add,15,,,,,,,,,,,,,,,,,,
20443305,204433,hero,패시브 2,,1,,5,아르주나,태우기,0,add_option_value_1,add,15,,,,,,,,,,,,,,,,,,
20451501,204515,legend,드래그 스킬,80,5,40,1,카르나,천 개의 악몽,4,,,,,,,,,,,,,,,,,,,,,
20451502,204515,legend,드래그 스킬,80,5,40,2,카르나,천 개의 악몽,4,power_rate,add,10,,,,,,,,,,,,,,,,,,
20451503,204515,legend,드래그 스킬,80,5,40,3,카르나,천 개의 악몽,4,power_rate,add,10,,,,,,,,,,,,,,,,,,
20451504,204515,legend,드래그 스킬,80,5,40,4,카르나,천 개의 악몽,4,power_rate,add,10,,,,,,,,,,,,,,,,,,
20451505,204515,legend,드래그 스킬,80,5,40,5,카르나,천 개의 악몽,4,power_rate,add,10,,,,,,,,,,,,,,,,,,
20452501,204525,legend,패시브 1,300,1,150,1,카르나,고통의 사슬,0,,,,,,,,,,,,,,,,,,,,,
20452502,204525,legend,패시브 1,300,1,150,2,카르나,고통의 사슬,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20452503,204525,legend,패시브 1,300,1,150,3,카르나,고통의 사슬,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20452504,204525,legend,패시브 1,300,1,150,4,카르나,고통의 사슬,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20452505,204525,legend,패시브 1,300,1,150,5,카르나,고통의 사슬,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20453501,204535,legend,패시브 2,50,3,25,1,카르나,증오의 사슬,4,,,,,,,,,,,,,,,,,,,,,
20453502,204535,legend,패시브 2,50,3,25,2,카르나,증오의 사슬,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20453503,204535,legend,패시브 2,50,3,25,3,카르나,증오의 사슬,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20453504,204535,legend,패시브 2,50,3,25,4,카르나,증오의 사슬,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20453505,204535,legend,패시브 2,50,3,25,5,카르나,증오의 사슬,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20471101,204711,common,드래그 스킬,300,1,150,1,땅 바위드래곤,바위 주먹,3,,,,,,,,,,,,,,,,,,,,,
20471102,204711,common,드래그 스킬,300,1,150,2,땅 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471103,204711,common,드래그 스킬,300,1,150,3,땅 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471104,204711,common,드래그 스킬,300,1,150,4,땅 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471105,204711,common,드래그 스킬,300,1,150,5,땅 바위드래곤,바위 주먹,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20472101,204721,common,패시브 1,,1,,1,땅 바위드래곤,단단해지기,0,,,,,,,,,,,,,,,,,,,,,
20472102,204721,common,패시브 1,,1,,2,땅 바위드래곤,단단해지기,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20472103,204721,common,패시브 1,,1,,3,땅 바위드래곤,단단해지기,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20472104,204721,common,패시브 1,,1,,4,땅 바위드래곤,단단해지기,0,chance_value,add,5,,,,,,,,,,,,,,,,,,
20472105,204721,common,패시브 1,,1,,5,땅 바위드래곤,단단해지기,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473101,204731,common,패시브 2,,1,,1,땅 바위드래곤,바위 방벽,0,,,,,,,,,,,,,,,,,,,,,
20473102,204731,common,패시브 2,,1,,2,땅 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473103,204731,common,패시브 2,,1,,3,땅 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20473104,204731,common,패시브 2,,1,,4,땅 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473105,204731,common,패시브 2,,1,,5,땅 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20471201,204712,common,드래그 스킬,300,1,150,1,물 바위드래곤,바위 주먹,3,,,,,,,,,,,,,,,,,,,,,
20471202,204712,common,드래그 스킬,300,1,150,2,물 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471203,204712,common,드래그 스킬,300,1,150,3,물 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471204,204712,common,드래그 스킬,300,1,150,4,물 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471205,204712,common,드래그 스킬,300,1,150,5,물 바위드래곤,바위 주먹,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20472201,204722,common,패시브 1,,1,,1,물 바위드래곤,딱딱해지기,0,,,,,,,,,,,,,,,,,,,,,
20472202,204722,common,패시브 1,,1,,2,물 바위드래곤,딱딱해지기,0,chance_value,add,2,,,,,,,,,,,,,,,,,,
20472203,204722,common,패시브 1,,1,,3,물 바위드래곤,딱딱해지기,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20472204,204722,common,패시브 1,,1,,4,물 바위드래곤,딱딱해지기,0,chance_value,add,3,,,,,,,,,,,,,,,,,,
20472205,204722,common,패시브 1,,1,,5,물 바위드래곤,딱딱해지기,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20473201,204732,common,패시브 2,,1,,1,물 바위드래곤,바위 방벽,0,,,,,,,,,,,,,,,,,,,,,
20473202,204732,common,패시브 2,,1,,2,물 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473203,204732,common,패시브 2,,1,,3,물 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20473204,204732,common,패시브 2,,1,,4,물 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473205,204732,common,패시브 2,,1,,5,물 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20471301,204713,common,드래그 스킬,300,1,150,1,불 바위드래곤,바위 주먹,3,,,,,,,,,,,,,,,,,,,,,
20471302,204713,common,드래그 스킬,300,1,150,2,불 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471303,204713,common,드래그 스킬,300,1,150,3,불 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471304,204713,common,드래그 스킬,300,1,150,4,불 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471305,204713,common,드래그 스킬,300,1,150,5,불 바위드래곤,바위 주먹,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20472301,204723,common,패시브 1,60,2,30,1,불 바위드래곤,마그마 투척,2,,,,,,,,,,,,,,,,,,,,,
20472302,204723,common,패시브 1,60,2,30,2,불 바위드래곤,마그마 투척,2,chance_value,add,5,,,,,,,,,,,,,,,,,,
20472303,204723,common,패시브 1,60,2,30,3,불 바위드래곤,마그마 투척,2,power_rate,add,15,,,,,,,,,,,,,,,,,,
20472304,204723,common,패시브 1,60,2,30,4,불 바위드래곤,마그마 투척,2,chance_value,add,5,,,,,,,,,,,,,,,,,,
20472305,204723,common,패시브 1,60,2,30,5,불 바위드래곤,마그마 투척,2,power_rate,add,15,,,,,,,,,,,,,,,,,,
20473301,204733,common,패시브 2,,1,,1,불 바위드래곤,바위 방벽,0,,,,,,,,,,,,,,,,,,,,,
20473302,204733,common,패시브 2,,1,,2,불 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473303,204733,common,패시브 2,,1,,3,불 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20473304,204733,common,패시브 2,,1,,4,불 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473305,204733,common,패시브 2,,1,,5,불 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20471401,204714,common,드래그 스킬,300,1,150,1,빛 바위드래곤,바위 주먹,3,,,,,,,,,,,,,,,,,,,,,
20471402,204714,common,드래그 스킬,300,1,150,2,빛 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471403,204714,common,드래그 스킬,300,1,150,3,빛 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471404,204714,common,드래그 스킬,300,1,150,4,빛 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471405,204714,common,드래그 스킬,300,1,150,5,빛 바위드래곤,바위 주먹,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20472401,204724,common,패시브 1,,1,,1,빛 바위드래곤,빛나는 피부,0,,,,,,,,,,,,,,,,,,,,,
20472402,204724,common,패시브 1,,1,,2,빛 바위드래곤,빛나는 피부,0,chance_value,add,1,,,,,,,,,,,,,,,,,,
20472403,204724,common,패시브 1,,1,,3,빛 바위드래곤,빛나는 피부,0,chance_value,add,1,,,,,,,,,,,,,,,,,,
20472404,204724,common,패시브 1,,1,,4,빛 바위드래곤,빛나는 피부,0,chance_value,add,1,,,,,,,,,,,,,,,,,,
20472405,204724,common,패시브 1,,1,,5,빛 바위드래곤,빛나는 피부,0,chance_value,add,1,,,,,,,,,,,,,,,,,,
20473401,204734,common,패시브 2,,1,,1,빛 바위드래곤,바위 방벽,0,,,,,,,,,,,,,,,,,,,,,
20473402,204734,common,패시브 2,,1,,2,빛 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473403,204734,common,패시브 2,,1,,3,빛 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20473404,204734,common,패시브 2,,1,,4,빛 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473405,204734,common,패시브 2,,1,,5,빛 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20471501,204715,common,드래그 스킬,300,1,150,1,어둠 바위드래곤,바위 주먹,3,,,,,,,,,,,,,,,,,,,,,
20471502,204715,common,드래그 스킬,300,1,150,2,어둠 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471503,204715,common,드래그 스킬,300,1,150,3,어둠 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471504,204715,common,드래그 스킬,300,1,150,4,어둠 바위드래곤,바위 주먹,3,power_rate,add,50,,,,,,,,,,,,,,,,,,
20471505,204715,common,드래그 스킬,300,1,150,5,어둠 바위드래곤,바위 주먹,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20472501,204725,common,패시브 1,,1,,1,어둠 바위드래곤,묵직한 바위,3,,,,,,,,,,,,,,,,,,,,,
20472502,204725,common,패시브 1,,1,,2,어둠 바위드래곤,묵직한 바위,3,power_rate,add,0,,,,,,,,,,,,,,,,,,
20472503,204725,common,패시브 1,,1,,3,어둠 바위드래곤,묵직한 바위,3,power_rate,add,0,,,,,,,,,,,,,,,,,,
20472504,204725,common,패시브 1,,1,,4,어둠 바위드래곤,묵직한 바위,3,power_rate,add,0,,,,,,,,,,,,,,,,,,
20472505,204725,common,패시브 1,,1,,5,어둠 바위드래곤,묵직한 바위,3,target_count,add,1,,,,,,,,,,,,,,,,,,
20473501,204735,common,패시브 2,,1,,1,어둠 바위드래곤,바위 방벽,0,,,,,,,,,,,,,,,,,,,,,
20473502,204735,common,패시브 2,,1,,2,어둠 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473503,204735,common,패시브 2,,1,,3,어둠 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20473504,204735,common,패시브 2,,1,,4,어둠 바위드래곤,바위 방벽,0,add_option_value_1,add,50,,,,,,,,,,,,,,,,,,
20473505,204735,common,패시브 2,,1,,5,어둠 바위드래곤,바위 방벽,0,val_1,add,3,,,,,,,,,,,,,,,,,,
20051101,200511,common,드래그 스킬,300,1,150,1,땅 애플칙,사과 드립니다,4,,,,,,,,,,,,,,,,,,,,,
20051102,200511,common,드래그 스킬,300,1,150,2,땅 애플칙,사과 드립니다,4,power_rate,add,38,,,,,,,,,,,,,,,,,,
20051103,200511,common,드래그 스킬,300,1,150,3,땅 애플칙,사과 드립니다,4,power_rate,add,38,,,,,,,,,,,,,,,,,,
20051104,200511,common,드래그 스킬,300,1,150,4,땅 애플칙,사과 드립니다,4,power_rate,add,38,,,,,,,,,,,,,,,,,,
20051105,200511,common,드래그 스킬,300,1,150,5,땅 애플칙,사과 드립니다,4,power_rate,add,38,,,,,,,,,,,,,,,,,,
20052101,200521,common,패시브 1,50,5,25,1,땅 애플칙,주스드세요,4,,,,,,,,,,,,,,,,,,,,,
