stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,cost_type,cost_value,time_limit,wave,r_dragon_exp2,dragon_exp,r_dragon_exp,tamer_exp,gold_min,gold_max,gph,gpd,gpl,mission_01,mission_02,mission_03,item_1_id,item_1_min,item_1_max,item_1_rate,item_2_id,item_2_min,item_2_max,item_2_rate,item_3_id,item_3_min,item_3_max,item_3_rate,buff_user,buff_enemy,t_help
1110701,,normal,adv,7,1,dark,91,1,st,8,120,3,11150,4992,2230,92,700,1000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710112,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110702,,normal,adv,7,2,dark,91,1,st,8,120,3,11500,4992,2300,93,700,1000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710122,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110703,,normal,adv,7,3,dark,92,1,st,8,120,3,11850,4992,2370,94,700,1000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710132,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110704,,normal,adv,7,4,dark,92,1,st,8,120,3,12200,4992,2440,95,700,1000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710142,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110705,,normal,adv,7,5,dark,93,1,st,8,120,3,12550,5634,2510,96,700,1000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710152,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110706,,normal,adv,7,6,dark,93,1,st,8,120,3,12900,5634,2580,97,700,1000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710162,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110707,,normal,adv,7,7,dark,94,1,st,9,120,3,13250,5634,2650,98,700,1000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720112,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110801,,normal,adv,8,1,dark,97,1,st,9,120,3,13650,5652,2730,99,800,1100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710212,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110802,,normal,adv,8,2,dark,97,1,st,9,120,3,14050,5652,2810,100,800,1100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710222,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110803,,normal,adv,8,3,dark,98,1,st,9,120,3,14450,5652,2890,101,800,1100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710232,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110804,,normal,adv,8,4,dark,98,1,st,9,120,3,14850,5652,2970,102,800,1100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710242,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110805,,normal,adv,8,5,dark,99,1,st,9,120,3,15250,6300,3050,103,800,1100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710252,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110806,,normal,adv,8,6,dark,99,1,st,9,120,3,15650,6300,3130,104,800,1100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710262,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110807,,normal,adv,8,7,dark,100,1,st,10,120,3,16050,6300,3210,105,800,1100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720212,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110901,,normal,adv,9,1,dark,105,1,st,10,120,3,16500,6320,3300,106,900,1200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710712,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110902,,normal,adv,9,2,dark,105,1,st,10,120,3,16950,6320,3390,107,900,1200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710722,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110903,,normal,adv,9,3,dark,106,1,st,10,120,3,17400,6320,3480,108,900,1200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710732,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110904,,normal,adv,9,4,dark,106,1,st,10,120,3,17850,6320,3570,109,900,1200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710742,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110905,,normal,adv,9,5,dark,107,1,st,10,120,3,18300,6974,3660,110,900,1200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710752,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110906,,normal,adv,9,6,dark,107,1,st,10,120,3,18750,6974,3750,111,900,1200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710762,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110907,,normal,adv,9,7,dark,108,1,st,11,120,3,19200,6974,3840,112,900,1200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720712,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1111001,,normal,adv,10,1,dark,124,1,st,11,120,3,19700,6996,3940,113,1000,1300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710612,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111002,,normal,adv,10,2,dark,124,1,st,11,120,3,20200,6996,4040,114,1000,1300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710622,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111003,,normal,adv,10,3,dark,125,1,st,11,120,3,20700,6996,4140,115,1000,1300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710632,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111004,,normal,adv,10,4,dark,125,1,st,11,120,3,21200,6996,4240,116,1000,1300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710642,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111005,,normal,adv,10,5,dark,126,1,st,11,120,3,21700,7656,4340,117,1000,1300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710652,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111006,,normal,adv,10,6,dark,126,1,st,11,120,3,22200,7656,4440,118,1000,1300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710662,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111007,,normal,adv,10,7,dark,127,1,st,12,120,3,22700,7656,4540,119,1000,1300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720612,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111101,,normal,adv,11,1,dark,130,1,st,12,120,3,23250,7680,4650,120,1100,1400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710412,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111102,,normal,adv,11,2,dark,130,1,st,12,120,3,23800,7680,4760,121,1100,1400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710422,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111103,,normal,adv,11,3,dark,131,1,st,12,120,3,24350,7680,4870,122,1100,1400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710432,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111104,,normal,adv,11,4,dark,131,1,st,12,120,3,24900,7680,4980,123,1100,1400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710442,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111105,,normal,adv,11,5,dark,132,1,st,12,120,3,25450,8346,5090,124,1100,1400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710452,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111106,,normal,adv,11,6,dark,132,1,st,12,120,3,26000,8346,5200,125,1100,1400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710462,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111107,,normal,adv,11,7,dark,133,1,st,13,120,3,26550,8346,5310,126,1100,1400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720412,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111201,,normal,adv,12,1,dark,138,1,st,13,120,3,27150,8372,5430,127,1200,1500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710312,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111202,,normal,adv,12,2,dark,138,1,st,13,120,3,27750,8372,5550,128,1200,1500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710322,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111203,,normal,adv,12,3,dark,139,1,st,13,120,3,28350,8372,5670,129,1200,1500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710332,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111204,,normal,adv,12,4,dark,139,1,st,13,120,3,28950,8372,5790,130,1200,1500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710342,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111205,,normal,adv,12,5,dark,140,1,st,13,120,3,29550,9044,5910,131,1200,1500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710352,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111206,,normal,adv,12,6,dark,140,1,st,13,120,3,30150,9044,6030,132,1200,1500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710362,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111207,,normal,adv,12,7,dark,141,1,st,14,120,3,30750,9044,6150,133,1200,1500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720312,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1120101,,hard,adv,1,1,earth,167,1,st,14,120,3,30800,9072,6160,134,1300,1600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710113,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120102,,hard,adv,1,2,earth,167,1,st,14,120,3,30850,9072,6170,135,1300,1600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710123,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120103,,hard,adv,1,3,earth,168,1,st,14,120,3,30900,9072,6180,136,1300,1600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710133,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120104,,hard,adv,1,4,earth,168,1,st,14,120,3,30950,9072,6190,137,1300,1600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710143,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120105,,hard,adv,1,5,earth,169,1,st,14,120,3,31000,9750,6200,138,1300,1600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710153,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120106,,hard,adv,1,6,earth,169,1,st,14,120,3,31050,9750,6210,139,1300,1600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710163,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120107,,hard,adv,1,7,earth,170,1,st,15,120,3,31100,9750,6220,140,1300,1600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720113,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120201,,hard,adv,2,1,water,173,1,st,15,120,3,31200,9780,6240,141,1400,1700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710213,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120202,,hard,adv,2,2,water,173,1,st,15,120,3,31300,9780,6260,142,1400,1700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710223,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120203,,hard,adv,2,3,water,174,1,st,15,120,3,31400,9780,6280,143,1400,1700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710233,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120204,,hard,adv,2,4,water,174,1,st,15,120,3,31500,9780,6300,144,1400,1700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710243,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120205,,hard,adv,2,5,water,175,1,st,15,120,3,31600,10464,6320,145,1400,1700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710253,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120206,,hard,adv,2,6,water,175,1,st,15,120,3,31700,10464,6340,146,1400,1700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710263,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120207,,hard,adv,2,7,water,176,1,st,16,120,3,31800,10464,6360,147,1400,1700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720213,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120301,,hard,adv,3,1,earth,202,1,st,16,120,3,31950,10496,6390,148,1500,1800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710713,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120302,,hard,adv,3,2,earth,202,1,st,16,120,3,32100,10496,6420,149,1500,1800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710723,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120303,,hard,adv,3,3,earth,203,1,st,16,120,3,32250,10496,6450,150,1500,1800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710733,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120304,,hard,adv,3,4,earth,203,1,st,16,120,3,32400,10496,6480,152,1500,1800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710743,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120305,,hard,adv,3,5,earth,204,1,st,16,120,3,32550,11186,6510,154,1500,1800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710753,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
