stage,monster_id,attr,t_desc,recomm_power,snro_start,snro_wave_2,snro_wave_3,snro_finish,r_level,r_power
1110507,131014; 131043; 131052; 131111; 134014,light,보스가 소유한 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,14757,scen_05_07_s,,,scen_05_07_e,58,14757
1110601,130015; 130055; 131055; 132015,dark,,15384,scen_06_01_s,,,scen_06_01_e,61,15384
1110602,130025; 130034; 131055; 131073; 140325,dark,,16011,,,,,64,16011
1110603,130044; 130045; 131055; 131073; 132062,dark,,16641,,,,,67,16641
1110604,130055; 130065; 131055; 131073; 133015,dark,아군의 방어력을 낮추는 공격을 사용합니다.,17062,scen_06_04_s,,,scen_06_04_e,69,17062
1110605,130065; 131055; 131065; 131073; 132033,dark,,17695,,,,,72,17695
1110606,130055; 131055; 131065; 131073; 140395,dark,,18329,scen_06_06_s,,,scen_06_06_e,75,18329
1110607,130054; 130063; 131055; 131073; 134015,dark,전투시간이 길어질수록 보스가 강력해집니다.,18965,scen_06_07_s,,,scen_06_07_e,78,18965
1110701,130035; 131011; 131023; 131081; 132141,fire,,18965,scen_07_01_s,,,scen_07_01_e,78,18965
1110702,130053; 130055; 131011; 131021; 140371,fire,,19178,,,,,79,19178
1110703,131021; 131023; 131033; 131043; 132091,fire,,19178,,,,,79,19178
1110704,130052; 131011; 131033; 133042; 133061,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다.\\n 빠르게 한 녀석을 제거하세요.,19178,scen_07_04_s,,,scen_07_04_e,79,19178
1110705,130041; 130065; 131011; 131042; 132101,fire,,19390,,,,,80,19390
1110706,131052; 131065; 131081; 131111; 140091,fire,,19390,scen_07_06_s,,,scen_07_06_e,80,19390
1110707,130063; 131023; 131033; 131081; 134043,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,19390,scen_07_07_s,,,scen_07_07_e,80,19390
1110801,130022; 131033; 131042; 131061; 132121,earth,,19603,scen_08_01_s,,,scen_08_01_e,81,19603
1110802,130053; 131042; 131061; 131073; 140041,earth,,19603,,,,,81,19603
1110803,131052; 131061; 131071; 131081; 132043,earth,,19603,,,,,81,19603
1110804,131043; 131052; 131071; 131081; 133051,earth,중간보스가 강력한 범위 공격 기술을 구사합니다.\\n 아군의 체력을 잘 관리 해야 합니다.,19816,scen_08_04_s,,,scen_08_04_e,82,19816
1110805,131033; 131042; 131073; 131111; 132131,earth,,19816,,,,,82,19816
1110806,131033; 131052; 131071; 131111; 140021,earth,,20030,scen_08_06_s,,,scen_08_06_e,83,20030
1110807,131052; 131071; 131081; 131111; 134033,earth,보스가 강력한 범위 공격을 가합니다. 또한 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,20243,scen_08_07_s,,,scen_08_07_e,84,20243
1110901,130062; 131012; 131022; 131032; 132072,water,,20243,scen_09_01_s,,,scen_09_01_e,84,20243
1110902,130055; 130062; 131022; 131065; 140202,water,,20457,,,,,85,20457
1110903,130062; 131022; 131032; 131111; 132092,water,,20671,,,,,86,20671
1110904,131042; 131043; 131065; 131111; 133032,water,후방에 있는 상어전사의 지속피해 효과에 걸리면 \\n 짧은 순간에 큰 피해를 입을 수도 있습니다.,20885,scen_09_04_s,,,scen_09_04_e,87,20885
1110905,131032; 131052; 131065; 131111; 132082,water,,21313,,,,,89,21313
1110906,131012; 131022; 131043; 131065; 140422,water,,21528,scen_09_06_s,,,scen_09_06_e,90,21528
1110907,130055; 130062; 131012; 131022; 134022,water,보스의 생명력이 낮아지면 \\n 강력한 광포화 공격을 시도합니다.,21958,scen_09_07_s,,,scen_09_07_e,92,21958
1111001,130041; 130051; 131031; 131042; 132151,earth,,22388,scen_10_01_s,,,scen_10_01_e,94,22388
1111002,131042; 131052; 131061; 131111; 140161,earth,,22604,,,,,95,22604
1111003,130052; 131021; 131031; 131042; 132111,earth,,22604,,,,,95,22604
1111004,130064; 131011; 131031; 131081; 133041,earth,부하의 지속피해 피해를 조심해야 합니다.,22604,scen_10_04_s,,,scen_10_04_e,95,22604
1111005,130053; 131042; 131055; 131073; 132053,earth,,22820,,,,,96,22820
1111006,130053; 131011; 131021; 131111; 140193,earth,,22820,scen_10_06_s,,,scen_10_06_e,96,22820
1111007,131022; 131042; 131073; 131081; 134021,earth,아군에게 일정 확률로 지속피해 효과를 부여합니다. \\n 전투를 빠르게 끝내는 것이 좋습니다.,22820,scen_10_07_s,,,scen_10_07_e,96,22820
1111101,131052; 131053; 131065; 131111; 132034,light,,23036,scen_11_01_s,,,scen_11_01_e,97,23036
1111102,130055; 130064; 131052; 131053; 140223,light,,23036,,,,,97,23036
1111103,131043; 131052; 131081; 131111; 132112,light,,23036,,,,,97,23036
1111104,131042; 131043; 131052; 131111; 133024,light,중간보스가 후방까지 공격합니다. \\n 아군 보호에 유의하세요.,23252,scen_11_04_s,,,scen_11_04_e,98,23252
1111105,131053; 131081; 131111; 132024; 132044,light,,23252,,,,,98,23252
1111106,131043; 131053; 131055; 131111; 140294,light,,23468,scen_11_06_s,,,scen_11_06_e,99,23468
1111107,131052; 131053; 131065; 131111; 134024,light,보스가 가진 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,23685,scen_11_07_s,,,scen_11_07_e,100,23685
1111201,130055; 131042; 131055; 131065; 132025,dark,,23685,scen_12_01_s,,,scen_12_01_e,100,23685
1111202,131052; 131053; 131065; 131073; 140011,dark,,23902,,,,,101,23902
1111203,130053; 131055; 131073; 131081; 132122,dark,,24119,,,,,102,24119
1111204,131033; 131042; 131043; 131052; 133025,dark,중간 보스가 아군의 방어력을 낮춥니다.\\n 생존에 신경쓰세요.,24336,scen_12_04_s,,,scen_12_04_e,103,24336
1111205,131033; 131042; 131053; 131065; 132063,dark,,24771,,,,,105,24771
1111206,131013; 131014; 131033; 131055; 140384,dark,,24989,scen_12_06_s,,,scen_12_06_e,106,24989
1111207,131032; 131033; 131042; 131053; 134025,dark,시간이 지날수록 보스의 공격력이 강해집니다.\\n최대한 빨리 끝내는 것이 유리합니다.,25425,scen_12_07_s,,,scen_12_07_e,108,25425
1120101,130011; 130021; 130031; 130041; 132011,earth,,25862,,,,,110,25862
1120102,130011; 130021; 130031; 130051; 140081,earth,,26081,,,,,111,26081
1120103,130011; 130021; 130031; 131021; 132021,earth,,26081,,,,,111,26081
1120104,130021; 130031; 130061; 131021; 133011,earth,처음으로 강력한 몬스터가 등장합니다. \\n 주의하세요.,26300,,,,,112,26300
1120105,130011; 130031; 130041; 131031; 132031,earth,,26300,,,,,112,26300
1120106,130041; 130051; 131011; 131021; 140051,earth,,26519,,,,,113,26519
1120107,130011; 130051; 130061; 131011; 134011,earth,이번 보스는 아군에게 일정 확률로 지속피해 효과를 부여합니다. \\n 전투를 빠르게 끝내는 것이 좋습니다.,26519,,,,,113,26519
1120201,130012; 130032; 131012; 132012,water,,26738,,,,,114,26738
1120202,130012; 130042; 130052; 131012; 140092,water,,26958,,,,,115,26958
1120203,130052; 130062; 131012; 131022; 132022,water,,27177,,,,,116,27177
1120204,130043; 131012; 131022; 131032; 133012,water,후방에 있는 상어전사의 지속피해 효과에 걸리면 \\n 짧은 순간에 큰 피해를 입을 수도 있습니다.,27397,,,,,117,27397
1120205,130042; 130052; 130062; 131032; 132032,water,,27838,,,,,119,27838
1120206,130062; 131012; 131022; 131032; 140142,water,,28279,,,,,121,28279
1120207,130032; 130052; 130062; 131012; 134012,water,보스의 생명력이 낮아지면 \\n 강력한 광포화 공격을 시도합니다.,28721,,,,,123,28721
1120301,130021; 130023; 131013; 131061; 132051,earth,,29386,,,,,126,29386
1120302,130013; 130021; 130023; 131061; 140191,earth,,29608,,,,,127,29608
1120303,130011; 130023; 131013; 131061; 132061,earth,,29608,,,,,127,29608
1120304,130043; 130051; 131013; 131061; 133021,earth,강력한 범위 공격 기술을 가지고 있어 \\n 아군의 체력을 잘 관리 해야 합니다.,29830,,,,,128,29830
1120305,130043; 131013; 131061; 131071; 132013,earth,,29830,,,,,128,29830
1120306,130013; 130051; 130053; 131013; 140273,earth,,30052,,,,,129,30052
1120307,130061; 131013; 131061; 131071; 134013,earth,강력한 범위 공격을 사용하고 자신의 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,30052,,,,,129,30052
1120401,130033; 130053; 131023; 131081; 132071,fire,,30275,,,,,130,30275
1120402,130043; 130052; 130053; 131033; 140043,fire,,30497,,,,,131,30497
1120403,130013; 130053; 131023; 131033; 132023,fire,,30720,,,,,132,30720
1120404,130042; 130053; 131033; 133022; 133031,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다. \\n 빠르게 한 녀석을 제거하세요.,31167,,,,,134,31167
1120405,130052; 130063; 131042; 131081; 132081,fire,,31390,,,,,135,31390
1120406,130063; 131033; 131042; 131081; 140423,fire,,31838,,,,,137,31838
1120407,130062; 130063; 131033; 131081; 134023,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,32511,,,,,140,32511
1120501,130014; 130044; 131014; 131043; 132014,light,,33185,,,,,143,33185
1120502,130054; 130064; 131043; 131052; 140112,light,,33410,,,,,144,33410
1120503,130054; 131043; 131052; 131111; 132052,light,,33410,,,,,144,33410
1120504,130041; 130043; 131014; 131111; 133014,light,중간보스가 후방까지 공격하는 기술을 사용합니다. \\n 아군을 잘 보호하세요.,33636,,,,,145,33636
1120505,131043; 131052; 131053; 131111; 132024,light,,33636,,,,,145,33636
1120506,131043; 131052; 131053; 131111; 140204,light,,33862,,,,,146,33862
1120507,131014; 131043; 131052; 131111; 134014,light,보스가 소유한 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,33862,,,,,146,33862
1120601,130015; 130055; 131055; 132015,dark,,34087,,,,,147,34087
1120602,130025; 130034; 131055; 131073; 140325,dark,,34314,,,,,148,34314
1120603,130044; 130045; 131055; 131073; 132062,dark,,34540,,,,,149,34540
1120604,130055; 130065; 131055; 131073; 133015,dark,아군의 방어력을 낮추는 공격을 사용합니다.,34766,,,,,150,34766
1120605,130065; 131055; 131065; 131073; 132033,dark,,35220,,,,,152,35220
1120606,130055; 131055; 131065; 131073; 140395,dark,,35674,,,,,154,35674
1120607,130054; 130063; 131055; 131073; 134015,dark,전투시간이 길어질수록 보스가 강력해집니다.,36129,,,,,156,36129
1120701,130035; 131011; 131023; 131081; 132141,fire,,36813,,,,,159,36813
1120702,130053; 130055; 131011; 131021; 140371,fire,,37042,,,,,160,37042
1120703,131021; 131023; 131033; 131043; 132091,fire,,37042,,,,,160,37042
1120704,130052; 131011; 131033; 133042; 133061,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다.\\n 빠르게 한 녀석을 제거하세요.,37270,,,,,161,37270
1120705,130041; 130065; 131011; 131042; 132101,fire,,37270,,,,,161,37270
1120706,131052; 131065; 131081; 131111; 140091,fire,,37499,,,,,162,37499
1120707,130063; 131023; 131033; 131081; 134043,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,37499,,,,,162,37499
1120801,130022; 131033; 131042; 131061; 132121,earth,,37728,,,,,163,37728
1120802,130053; 131042; 131061; 131073; 140041,earth,,37957,,,,,164,37957
1120803,131052; 131061; 131071; 131081; 132043,earth,,38187,,,,,165,38187
1120804,131043; 131052; 131071; 131081; 133051,earth,중간보스가 강력한 범위 공격 기술을 구사합니다.\\n 아군의 체력을 잘 관리 해야 합니다.,38416,,,,,166,38416
1120805,131033; 131042; 131073; 131111; 132131,earth,,38876,,,,,168,38876
1120806,131033; 131052; 131071; 131111; 140021,earth,,39337,,,,,170,39337
1120807,131052; 131071; 131081; 131111; 134033,earth,보스가 강력한 범위 공격을 가합니다. 또한 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,39798,,,,,172,39798
1120901,130062; 131012; 131022; 131032; 132072,water,,40492,,,,,175,40492
1120902,130055; 130062; 131022; 131065; 140202,water,,40723,,,,,176,40723
1120903,130062; 131022; 131032; 131111; 132092,water,,40723,,,,,176,40723
1120904,131042; 131043; 131065; 131111; 133032,water,후방에 있는 상어전사의 지속피해 효과에 걸리면 \\n 짧은 순간에 큰 피해를 입을 수도 있습니다.,40955,,,,,177,40955
1120905,131032; 131052; 131065; 131111; 132082,water,,40955,,,,,177,40955
1120906,131012; 131022; 131043; 131065; 140422,water,,41187,,,,,178,41187
1120907,130055; 130062; 131012; 131022; 134022,water,보스의 생명력이 낮아지면 \\n 강력한 광포화 공격을 시도합니다.,41187,,,,,178,41187
1121001,130041; 130051; 131031; 131042; 132151,earth,,41419,,,,,179,41419
1121002,131042; 131052; 131061; 131111; 140161,earth,,41651,,,,,180,41651
1121003,130052; 131021; 131031; 131042; 132111,earth,,41884,,,,,181,41884
1121004,130064; 131011; 131031; 131081; 133041,earth,부하의 지속피해 피해를 조심해야 합니다.,42117,,,,,182,42117
1121005,130053; 131042; 131055; 131073; 132053,earth,,42583,,,,,184,42583
1121006,130053; 131011; 131021; 131111; 140193,earth,,43050,,,,,186,43050
1121007,131022; 131042; 131073; 131081; 134021,earth,아군에게 일정 확률로 지속피해 효과를 부여합니다. \\n 전투를 빠르게 끝내는 것이 좋습니다.,43517,,,,,188,43517
1121101,131052; 131053; 131065; 131111; 132034,light,,44220,,,,,191,44220
1121102,130055; 130064; 131052; 131053; 140223,light,,44455,,,,,192,44455
1121103,131043; 131052; 131081; 131111; 132112,light,,44690,,,,,193,44690
1121104,131042; 131043; 131052; 131111; 133024,light,중간보스가 후방까지 공격합니다. \\n 아군 보호에 유의하세요.,44690,,,,,193,44690
1121105,131053; 131081; 131111; 132024; 132044,light,,44690,,,,,193,44690
1121106,131043; 131053; 131055; 131111; 140294,light,,44925,,,,,194,44925
1121107,131052; 131053; 131065; 131111; 134024,light,보스가 가진 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,45160,,,,,195,45160
1121201,130055; 131042; 131055; 131065; 132025,dark,,45160,,,,,195,45160
1121202,131052; 131053; 131065; 131073; 140011,dark,,45632,,,,,197,45632
1121203,130053; 131055; 131073; 131081; 132122,dark,,45868,,,,,198,45868
1121204,131033; 131042; 131043; 131052; 133025,dark,중간 보스가 아군의 방어력을 낮춥니다.\\n 생존에 신경쓰세요.,46104,,,,,199,46104
1121205,131033; 131042; 131053; 131065; 132063,dark,,46576,,,,,201,46576
1121206,131013; 131014; 131033; 131055; 140384,dark,,47287,,,,,204,47287
1121207,131032; 131033; 131042; 131053; 134025,dark,시간이 지날수록 보스가 강해집니다.\\n최대한 빨리 끝내는 것이 유리합니다.,48000,,,,,207,48000
1130101,130011; 130021; 130031; 130041; 132011,earth,,37042,,,,,160,37042
1130102,130011; 130021; 130031; 130051; 140081,earth,,37499,,,,,162,37499
1130103,130011; 130021; 130031; 131021; 132021,earth,,38187,,,,,165,38187
1130104,130021; 130031; 130061; 131021; 133011,earth,처음으로 강력한 몬스터가 등장합니다. \\n 주의하세요.,38646,,,,,167,38646
1130105,130011; 130031; 130041; 131031; 132031,earth,,39337,,,,,170,39337
1130106,130041; 130051; 131011; 131021; 140051,earth,,39798,,,,,172,39798
1130107,130011; 130051; 130061; 131011; 134011,earth,이번 보스는 아군에게 일정 확률로 지속피해 효과를 부여합니다. \\n 전투를 빠르게 끝내는 것이 좋습니다.,40492,,,,,175,40492
1130201,130012; 130032; 131012; 132012,water,,40955,,,,,177,40955
1130202,130012; 130042; 130052; 131012; 140092,water,,41651,,,,,180,41651
1130203,130052; 130062; 131012; 131022; 132022,water,,42117,,,,,182,42117
1130204,130043; 131012; 131022; 131032; 133012,water,후방에 있는 상어전사의 지속피해 효과에 걸리면 \\n 짧은 순간에 큰 피해를 입을 수도 있습니다.,42816,,,,,185,42816
1130205,130042; 130052; 130062; 131032; 132032,water,,43517,,,,,188,43517
1130206,130062; 131012; 131022; 131032; 140142,water,,43986,,,,,190,43986
1130207,130032; 130052; 130062; 131012; 134012,water,보스의 생명력이 낮아지면 \\n 강력한 광포화 공격을 시도합니다.,44690,,,,,193,44690
1130301,130021; 130023; 131013; 131061; 132051,earth,,45160,,,,,195,45160
1130302,130013; 130021; 130023; 131061; 140191,earth,,45868,,,,,198,45868
1130303,130011; 130023; 131013; 131061; 132061,earth,,46576,,,,,201,46576
1130304,130043; 130051; 131013; 131061; 133021,earth,강력한 범위 공격 기술을 가지고 있어 \\n 아군의 체력을 잘 관리 해야 합니다.,47050,,,,,203,47050
1130305,130043; 131013; 131061; 131071; 132013,earth,,47762,,,,,206,47762
1130306,130013; 130051; 130053; 131013; 140273,earth,,48238,,,,,208,48238
1130307,130061; 131013; 131061; 131071; 134013,earth,강력한 범위 공격을 사용하고 자신의 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,48952,,,,,211,48952
1130401,130033; 130053; 131023; 131081; 132071,fire,,49669,,,,,214,49669
1130402,130043; 130052; 130053; 131033; 140043,fire,,50387,,,,,217,50387
1130403,130013; 130053; 131023; 131033; 132023,fire,,50867,,,,,219,50867
1130404,130042; 130053; 131033; 133022; 133031,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다. \\n 빠르게 한 녀석을 제거하세요.,51588,,,,,222,51588
1130405,130052; 130063; 131042; 131081; 132081,fire,,52312,,,,,225,52312
1130406,130063; 131033; 131042; 131081; 140423,fire,,52795,,,,,227,52795
1130407,130062; 130063; 131033; 131081; 134023,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,53521,,,,,230,53521
1130501,130014; 130044; 131014; 131043; 132014,light,,54248,,,,,233,54248
1130502,130054; 130064; 131043; 131052; 140112,light,,54978,,,,,236,54978
1130503,130054; 131043; 131052; 131111; 132052,light,,55709,,,,,239,55709
1130504,130041; 130043; 131014; 131111; 133014,light,중간보스가 후방까지 공격하는 기술을 사용합니다. \\n 아군을 잘 보호하세요.,56198,,,,,241,56198
1130505,131043; 131052; 131053; 131111; 132024,light,,56932,,,,,244,56932
1130506,131043; 131052; 131053; 131111; 140204,light,,57668,,,,,247,57668
1130507,131014; 131043; 131052; 131111; 134014,light,보스가 소유한 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,58406,,,,,250,58406
1130601,130015; 130055; 131055; 132015,dark,,59146,,,,,253,59146
1130602,130025; 130034; 131055; 131073; 140325,dark,,59887,,,,,256,59887
1130603,130044; 130045; 131055; 131073; 132062,dark,,60630,,,,,259,60630
1130604,130055; 130065; 131055; 131073; 133015,dark,아군의 방어력을 낮추는 공격을 사용합니다.,61127,,,,,261,61127
1130605,130065; 131055; 131065; 131073; 132033,dark,,61873,,,,,264,61873
1130606,130055; 131055; 131065; 131073; 140395,dark,,62621,,,,,267,62621
1130607,130054; 130063; 131055; 131073; 134015,dark,전투시간이 길어질수록 보스가 강력해집니다.,63371,,,,,270,63371
1130701,130035; 131011; 131023; 131081; 132141,fire,,64122,,,,,273,64122
1130702,130053; 130055; 131011; 131021; 140371,fire,,64875,,,,,276,64875
1130703,131021; 131023; 131033; 131043; 132091,fire,,65630,,,,,279,65630
1130704,130052; 131011; 131033; 133042; 133061,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다.\\n 빠르게 한 녀석을 제거하세요.,66387,,,,,282,66387
1130705,130041; 130065; 131011; 131042; 132101,fire,,67146,,,,,285,67146
1130706,131052; 131065; 131081; 131111; 140091,fire,,67906,,,,,288,67906
1130707,130063; 131023; 131033; 131081; 134043,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,68668,,,,,291,68668
1130801,130022; 131033; 131042; 131061; 132121,earth,,69432,,,,,294,69432
1130802,130053; 131042; 131061; 131073; 140041,earth,,70198,,,,,297,70198
1130803,131052; 131061; 131071; 131081; 132043,earth,,70965,,,,,300,70965
1130804,131043; 131052; 131071; 131081; 133051,earth,중간보스가 강력한 범위 공격 기술을 구사합니다.\\n 아군의 체력을 잘 관리 해야 합니다.,71734,,,,,303,71734
1130805,131033; 131042; 131073; 131111; 132131,earth,,72505,,,,,306,72505
1130806,131033; 131052; 131071; 131111; 140021,earth,,73536,,,,,310,73536
1130807,131052; 131071; 131081; 131111; 134033,earth,보스가 강력한 범위 공격을 가합니다. 또한 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,74311,,,,,313,74311
1130901,130062; 131012; 131022; 131032; 132072,water,,75088,,,,,316,75088
1130902,130055; 130062; 131022; 131065; 140202,water,,75866,,,,,319,75866
1130903,130062; 131022; 131032; 131111; 132092,water,,76647,,,,,322,76647
1130904,131042; 131043; 131065; 131111; 133032,water,후방에 있는 상어전사의 지속피해 효과에 걸리면 \\n 짧은 순간에 큰 피해를 입을 수도 있습니다.,77429,,,,,325,77429
1130905,131032; 131052; 131065; 131111; 132082,water,,78213,,,,,328,78213
1130906,131012; 131022; 131043; 131065; 140422,water,,79261,,,,,332,79261
1130907,130055; 130062; 131012; 131022; 134022,water,보스의 생명력이 낮아지면 \\n 강력한 광포화 공격을 시도합니다.,80049,,,,,335,80049
1131001,130041; 130051; 131031; 131042; 132151,earth,,80839,,,,,338,80839
1131002,131042; 131052; 131061; 131111; 140161,earth,,81631,,,,,341,81631
1131003,130052; 131021; 131031; 131042; 132111,earth,,82424,,,,,344,82424
1131004,130064; 131011; 131031; 131081; 133041,earth,부하의 지속피해 피해를 조심해야 합니다.,83485,,,,,348,83485
1131005,130053; 131042; 131055; 131073; 132053,earth,,84282,,,,,351,84282
1131006,130053; 131011; 131021; 131111; 140193,earth,,85082,,,,,354,85082
1131007,131022; 131042; 131073; 131081; 134021,earth,아군에게 일정 확률로 지속피해 효과를 부여합니다. \\n 전투를 빠르게 끝내는 것이 좋습니다.,86150,,,,,358,86150
1131101,131052; 131053; 131065; 131111; 132034,light,,86954,,,,,361,86954
1131102,130055; 130064; 131052; 131053; 140223,light,,87759,,,,,364,87759
1131103,131043; 131052; 131081; 131111; 132112,light,,88566,,,,,367,88566
1131104,131042; 131043; 131052; 131111; 133024,light,중간보스가 후방까지 공격합니다. \\n 아군 보호에 유의하세요.,89645,,,,,371,89645
1131105,131053; 131081; 131111; 132024; 132044,light,,90456,,,,,374,90456
1131106,131043; 131053; 131055; 131111; 140294,light,,91540,,,,,378,91540
1131107,131052; 131053; 131065; 131111; 134024,light,보스가 가진 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,92355,,,,,381,92355
1131201,130055; 131042; 131055; 131065; 132025,dark,,93172,,,,,384,93172
1131202,131052; 131053; 131065; 131073; 140011,dark,,94265,,,,,388,94265
1131203,130053; 131055; 131073; 131081; 132122,dark,,95086,,,,,391,95086
1131204,131033; 131042; 131043; 131052; 133025,dark,중간 보스가 아군의 방어력을 낮춥니다.\\n 생존에 신경쓰세요.,96183,,,,,395,96183
1131205,131033; 131042; 131053; 131065; 132063,dark,,97009,,,,,398,97009
1131206,131013; 131014; 131033; 131055; 140384,dark,,97836,,,,,401,97836
1131207,131032; 131033; 131042; 131053; 134025,dark,시간이 지날수록 보스가 강해집니다.\\n최대한 빨리 끝내는 것이 유리합니다.,98941,,,,,405,98941
1140101,130011; 130021; 130031; 130041; 132011,earth,,86686,,,,,360,86686
1140102,130011; 130021; 130031; 130051; 140081,earth,,87490,,,,,363,87490
1140103,130011; 130021; 130031; 131021; 132021,earth,,88566,,,,,367,88566
1140104,130021; 130031; 130061; 131021; 133011,earth,처음으로 강력한 몬스터가 등장합니다. \\n 주의하세요.,89645,,,,,371,89645
1140105,130011; 130031; 130041; 131031; 132031,earth,,90456,,,,,374,90456
1140106,130041; 130051; 131011; 131021; 140051,earth,,91540,,,,,378,91540
