id,t_name,condition_type,condition_count,ui_priority,condition_1,condition_2,condition_3,condition_4,condition_5,t_condition_desc,r_desc,skill_type,skill_1,value_1,skill_2,value_2,skill_3,value_3
16,빛의 순례자,did,3,44,120233,120413,120431,120384,,3마리 이상,"생명력 +5%, 공격력 +5% 방어력 +5%",option,hp_multi,5,atk_multi,5,def_multi,5
17,무기 파괴자,did,3,43,120572,120014,120104,,,,드래곤이 사용하는 공격력 감소 효과의 지속시간이 30% 증가합니다.,skill,401700,,,,,
18,출혈 유발자,did,3,42,120814,120102,120625,,,,드래곤이 사용하는 지속 피해 효과의 지속시간이 30% 증가합니다.,skill,401800,,,,,
19,침묵의 세계,did,3,41,120432,120611,120665,,,,드래곤이 사용하는 침묵 효과의 지속시간이 50% 증가합니다.,skill,401900,,,,,
20,기절의 공포,did,3,40,120754,120221,120801,,,,드래곤이 사용하는 기절 효과의 지속시간이 50% 증가합니다.,skill,402000,,,,,
21,빙결의 숨결,did,3,39,120782,120712,120462,,,,"공격력+10%, 치명확률+10%",option,atk_multi,10,cri_chance_add,10,,
22,심연의 숨결,did,3,38,120295,120725,120715,,,,"30초마다 10초간 공격력, 방어력을 증가시킵니다.",skill,402200,,,,,
23,홍염의 숨결,did,3,37,120463,120713,120223,,,,"공격력+10%, 공격속도+10%",option,atk_multi,10,aspd_add,10,,
24,대지의 숨결,did,3,36,120811,120751,120711,,,,"방어력+10%, 공격속도+10%",option,def_multi,10,aspd_add,10,,
25,혼돈과 질서,did_attr,2,35,120440,120450,120740,120790,,속성 조건 없음 / 2마리 이상,"효과적중+10%, 방어력+15%",option,accuracy_add,10,def_multi,15,,
26,회복 차단,did,3,34,120662,120345,120753,,,,드래곤이 사용하는 회복량 감소 효과의 지속시간이 40% 증가합니다.,skill,402600,,,,,
27,이계의 왕자,did,3,33,120663,120692,120722,,,,"공격력+10%, 치명확률+10%",option,atk_multi,10,cri_chance_add,10,,
28,갑옷 파괴자,did,3,32,120803,120294,120433,,,,"드래곤이 사용하는 공격력,방어력 감소 효과의 지속시간이 30% 증가합니다.",skill,402800,,,,,
29,광명의 숨결,did,3,31,120804,120714,120574,,,,방어력+15%,option,def_multi,15,,,,
30,어둠의 갑옷,did,3,30,120685,120015,120655,,,,생명력+15%,option,hp_multi,15,,,,
31,무한의 생명,did,2,29,120684,120105,,,,,회복 스킬 사용시 회복량이 25% 증가합니다.,option,heal_power_add,25,,,,
32,불의 여왕과 기사,did,2,28,120683,120623,,,,,"생명력+10%, 방어력+10%",option,hp_multi,10,def_multi,10,,
33,여신과 거신,did_attr_same,2,27,120710,120770,,,,같은 속성 팀 필요,아프로디테의 [여신의 가호] 스킬의 능력이 50% 증가합니다.,skill,403300,,,,,
34,스마트한 공격,did_attr,2,26,120430,120400,,,,속성 조건 없음,"적중+10%, 효과적중+10%",option,hit_rate_add,10,accuracy_add,10,,
35,장난스런 파티,did_attr,2,25,120750,120690,,,,속성 조건 없음,효과저항+15%,option,resistance_add,15,,,,
36,하이 테크,did_attr,2,24,120610,120810,,,,속성 조건 없음,치명확률+15%,option,cri_chance_add,15,,,,
37,작은 용의 무서움,did_attr,2,23,120780,120720,,,,속성 조건 없음,"방어력+10%, 효과저항+10%",option,def_multi,10,resistance_add,10,,
38,원시의 힘,did_attr,2,22,120650,120800,,,,속성 조건 없음,치명확률+15%,option,cri_chance_add,15,,,,
39,재생능력,did_attr,2,21,120240,120600,,,,속성 조건 없음,회복 스킬 사용시 회복량이 20% 증가합니다.,option,heal_power_add,20,,,,
40,야생의 피부,did_attr,2,20,120210,120700,,,,속성 조건 없음,반사 효과의 능력이 40% 증가합니다.,skill,404000,,,,,
41,동방의 신비,did_attr_same,2,19,120420,120230,,,,같은 속성 팀 필요,"공격력 +10%, 방어력 +10%",option,atk_multi,10,def_multi,10,,
42,음악대,did_attr,3,18,120670,120580,120350,120640,,속성 조건 없음 / 3마리 이상,"20초마다 5초간 치명피해, 공격속도를 증가시킵니다.",skill,404200,,,,,
43,바다의 요정,did_attr,2,17,120110,120120,,,,속성 조건 없음,"드래곤이 사용하는 기절,침묵 효과의 지속시간이 15% 증가합니다.",skill,404300,,,,,
44,기계 군단,did_attr,2,16,120410,120730,,,,속성 조건 없음,치명확률 +10%,option,cri_chance_add,10,,,,
45,맹독의 늪,did_attr,2,15,120330,120070,,,,속성 조건 없음,드래곤이 사용하는 지속 피해 효과의 지속시간이 10% 증가합니다.,skill,404500,,,,,
46,나눠먹기,did_attr,2,14,120490,120520,,,,속성 조건 없음,회복 스킬 사용시 회복량이 20% 증가합니다.,option,heal_power_add,20,,,,
47,폭발 샌드백,did_attr,2,13,120540,120270,,,,속성 조건 없음,드래곤이 사용하는 기절 효과의 지속시간이 10% 증가합니다.,skill,404700,,,,,
48,마녀의 주술,did_attr,2,12,120190,120560,,,,속성 조건 없음,공격력 +10%,option,atk_multi,10,,,,
49,들판의 주인,did_attr,2,11,120020,120480,,,,속성 조건 없음,방어력 +10%,option,def_multi,10,,,,
50,숲의 축복,did_attr,2,10,120160,120060,120550,,,속성 조건 없음 / 2마리 이상,회복 스킬 사용시 회복량이 10% 증가합니다.,option,heal_power_add,10,,,,
51,세계수의 씨앗,did,3,54,120821,120613,120225,,,,"공격력 +10%, 방어력 +10%",option,atk_multi,10,def_multi,10,,
52,생명의 원천,did,3,53,120822,120691,120434,,,,"생명력 +10%, 효과적중 +10%",option,hp_multi,10,accuracy_add,10,,
53,불꽃의 수호,did,3,52,120823,120012,120812,,,,"방어력 +10%, 치명피해 +10%",option,def_multi,10,cri_dmg_add,10,,
54,태양의 은총,did,3,51,120824,120101,120303,,,,"생명력 +10%, 공격속도 +10%",option,hp_multi,10,aspd_add,10,,
55,강력한 반격,did,3,58,120841,120651,120574,,,,"방어력+10%, 효과저항+10%",option,def_multi,10,resistance_add,10,,
56,용암의 갑옷,did,3,57,120842,120435,120612,,,,방어력+15%,option,def_multi,15,,,,
57,불꽃의 생명,did,3,56,120843,120433,120104,,,,생명력+15%,option,hp_multi,15,,,,
58,현란한 움직임,did,3,55,120845,120653,120224,,,,"생명력+10%, 회피+10%",option,hp_multi,10,avoid_add,10,,
59,지옥의 문,did_attr,3,59,120860,120660,120680,,,속성 조건 없음,"공격력+10%, 지명피해+10%",option,atk_multi,10,cri_dmg_add,10,,
60,광휘의 여왕,did,3,60,120834,120724,120804,,,,방어력+15%,option,def_multi,15,,,,
61,꿈의 인도자,did_attr,3,62,120880,120660,120720,,,속성 조건 없음,"공격력+10%, 효과적중+10%",option,atk_multi,10,accuracy_add,10,,
62,환상의 수호자,did_attr,3,61,120880,120750,120100,,,속성 조건 없음,"생명력+10%, 치명회피+10%",option,hp_multi,10,cri_avoid_add,10,,
63,심해의 벽,did_attr,3,63,120890,120820,120860,,,속성 조건 없음,"치명확률+10%, 효과적중+10%",option,cri_chance_add,10,accuracy_add,10,,
64,숲의 사냥꾼,did_attr,3,64,120850,120300,120110,,,속성 조건 없음,"공격력+10%, 공격속도+5%",option,atk_multi,10,aspd_add,5,,
65,긍지높은 일족,did_attr,3,65,120900,120430,120570,,,속성 조건 없음,"공격력+10%, 공격속도+10%",option,atk_multi,10,aspd_add,10,,
66,용언의 마력,did_attr,3,66,120870,120650,120680,,,속성 조건 없음,"공격력+10%, 치명확률+10%",option,atk_multi,10,cri_chance_add,10,,
67,새로운 세력,did_attr,3,67,120870,120880,120800,,,속성 조건 없음,"공격력+10%, 방어력+10%",option,atk_multi,10,def_multi,10,,
68,태양의 추종자,did_attr,3,68,121000,120840,120720,,,속성 조건 없음,"치명피해+10%, 효과적중+10%",option,cri_dmg_add,10,accuracy_add,10,,
69,대지의 결속,did_attr,2,69,121010,120890,,,,속성 조건 없음,"생명력+10%, 방어력+10%",option,hp_multi,10,def_multi,10,,
70,창공의 날개,did_attr_same,2,70,121020,120900,,,,같은 속성 팀 필요,공격력+15%,option,atk_multi,15,,,,
71,생명의 하늘,did_attr_same,2,71,121020,120710,,,,같은 속성 팀 필요,회복 스킬 사용시 회복량이 10% 증가합니다.,option,heal_power_add,10,,,,
72,간식 시간,did_attr,3,72,121030,120750,121000,,,속성 조건 없음,"공격력+10%, 적중+10%",option,atk_multi,10,hit_rate_add,10,,
73,바람과 그림자,did_attr,3,73,121040,120900,120010,,,속성 조건 없음,"방어력+10%, 효과적중+10%",option,def_multi,10,accuracy_add,10,,
74,파괴의 룬,did,3,74,121051,120572,120843,,,,"공격력+10%, 효과적중+10%",option,atk_multi,10,accuracy_add,10,,
75,결속의 룬,did,3,75,121053,120723,120653,,,,"공격력+10%, 치명피해+10%",option,atk_multi,10,cri_dmg_add,10,,
76,출혈의 룬,did,3,76,121055,120101,120623,,,,"공격력+10%, 효과적중+10%",option,atk_multi,10,accuracy_add,10,,
77,이계에서 온 자,did_attr,2,77,121060,120660,,,,속성 조건 없음,치명확률+15%,option,cri_chance_add,15,,,,
78,빙결의 세계,did_attr,2,78,121080,120100,,,,속성 조건 없음,"공격속도+10%, 방어력+10%",option,aspd_add,10,def_multi,10,,
79,영원한 생명,did_attr,2,79,121070,120710,,,,속성 조건 없음,회복 스킬 사용시 회복량이 15% 증가합니다.,option,heal_power_add,15,,,,
80,정의의 수호자,did_attr,3,80,121090,121010,120680,,,속성 조건 없음,"생명력+10%, 치명피해+10%",option,hp_multi,10,cri_dmg_add,10,,
81,광역 파괴자,did_attr,3,81,121100,121020,120860,,,속성 조건 없음,"치명확률+10%, 적중+10%",option,cri_chance_add,10,hit_rate_add,10,,
82,가시지옥,did_attr,2,82,121110,120070,,,,속성 조건 없음,치명피해+10%,option,cri_dmg_add,10,,,,
83,심판의 번개,did,2,83,121122,121092,,,,,"치명확률+10%, 효과적중+10%",option,cri_chance_add,10,accuracy_add,10,,
84,환상의 번개,did,2,84,121124,121194,,,,,"공격력+10%, 효과적중+10%",option,atk_multi,10,accuracy_add,10,,
85,얼어붙는 대지,did,2,85,121131,121051,,,,,공격력+10%,option,atk_multi,15,,,,
86,얼어붙는 바다,did,2,86,121132,120402,,,,,공격속도+10%,option,aspd_add,15,,,,
87,얼어붙는 용암,did,2,87,121133,120223,,,,,공격속도+10%,option,aspd_add,15,,,,
88,얼어붙는 태양,did,2,88,121134,121094,,,,,공격력+10%,option,atk_multi,15,,,,
89,수확자와 수호자,did_attr,3,89,121150,121090,121070,,,속성 조건 없음,"치명확률+15%, 생명력+10%",option,cri_chance_add,15,hp_multi,10,,
90,장난스런 싸움,did_attr_same,2,90,121140,120110,,,,같은 속성 팀 필요,공격력+15%,option,atk_multi,15,,,,
91,혹독한 눈보라,did_attr,3,91,121160,121130,121080,,,속성 조건 없음,"공격속도+15%, 방어력+10%",option,aspd_add,15,def_multi,10,,
92,어둠의 왕국,did_attr,3,92,121180,120620,120860,,,속성 조건 없음,"공격력+10%, 효과적중+15%",option,atk_multi,10,accuracy_add,15,,
93,행운의 마나,did_attr,3,93,121190,121050,120100,,,속성 조건 없음,"공격력+15%, 생명력+15%",option,atk_multi,15,hp_multi,15,,
94,밤의 추종자,did,3,94,121205,120813,120572,,,,공격속도+20%,option,aspd_add,20,,,,
95,죄악 사냥꾼,did_attr,2,95,121170,120420,120350,,,2마리 이상,공격력+15%,option,atk_multi,15,,,,
96,현란한 비행,did_attr,3,96,121300,120220,120750,,,속성 조건 없음,"공격력+10%, 회피+10%",option,atk_multi,10,avoid_add,10,,
97,차원의 방랑자,did_attr,3,97,121400,121130,120430,,,속성 조건 없음,"공격력+10%, 생명력+10%",option,atk_multi,10,hp_multi,10,,
98,기품있는 자세,did_attr,3,98,121410,121090,121300,,,속성 조건 없음,"치명확률+10%, 생명력+10%",option,hp_drain,10,hp_multi,10,,
99,정령의 사도,did_attr,3,99,121430,121190,121080,,,속성 조건 없음,"공격력+10%, 효과적중+15%",option,atk_multi,10,accuracy_add,15,,
100,진흙놀이,did_attr,2,100,121420,120580,,,,속성 조건 없음,공격력+10%,option,atk_multi,10,,,,
101,복수의 화신,did_attr,3,101,121440,120620,120430,,,속성 조건 없음,공격력+15%,option,atk_multi,15,,,,
102,파수꾼의 갑옷,did_attr,2,102,121450,121010,,,,속성 조건 없음,회복 스킬 사용시 회복량이 15% 증가합니다.,option,heal_power_add,15,,,,
103,평온한 혼돈,did_attr,3,103,121460,121180,121040,,,속성 조건 없음,"치명피해+10%, 효과적중+15%",option,cri_dmg_add,10,accuracy_add,15,,
104,지배자의 위엄,did_attr,2,104,121470,121000,,,,속성 조건 없음,"치명피해+10%, 생명력+15%",option,cri_dmg_add,10,hp_multi,15,,
105,드넓은 우주,did_attr,3,105,121480,120810,121130,,,속성 조건 없음,"생명력+10%, 효과저항+10%",option,hp_multi,10,resistance_add,15,,
106,빛의 힘,did,3,106,121494,121065,120885,,,,"생명력+10%, 방어력+20%",option,hp_multi,10,def_multi,20,,
107,장난꾸러기,did_attr,2,107,121500,121170,,,,속성 조건 없음,공격력+15%,option,atk_multi,15,,,,
108,광휘의 그림자,did,3,108,120835,120725,121455,,,,방어력+15%,option,def_multi,15,,,,
109,빛의 길잡이,did_attr,3,109,121510,120780,120650,,,속성 조건 없음,"공격력+10%, 생명력+10%",option,atk_multi,10,hp_multi,10,,
110,영혼을 찾는 자,did_attr,3,110,121520,121190,121470,,,속성 조건 없음,"치명피해+10%, 방어력+10%",option,cri_dmg_add,10,def_multi,10,,
111,둘로 나뉜 책,did_attr,2,111,121530,120640,,,,속성 조건 없음,드래그 스킬 재사용 시간 15% 감소,option,drag_cool_add,15,,,,
112,피의 사도,did_attr,3,112,121550,120680,120620,,,속성 조건 없음,"공격력+10%, 생명력 흡수+10%",option,atk_multi,10,hp_drain_add,10,,
113,혼돈의 수호자,did_attr,3,113,121540,121410,121010,,,속성 조건 없음,방어력+15%,option,def_multi,15,,,,
114,바다의 왕,did_attr,3,114,121560,121300,121160,,,속성 조건 없음,"공격력+10%, 방어력+10%",option,atk_multi,10,def_multi,10,,
115,요정의 행진,did_attr,3,115,121570,121040,121000,,,속성 조건 없음,"방어력+10%, 치명확률+10%",option,def_multi,10,cri_chance_add,10,,
116,고대의 수호자,did_attr,3,116,121580,121540,121510,,,속성 조건 없음,"생명력+10%, 치명확률+15%",option,hp_multi,10,cri_chance_add,15,,
117,반역의 군단,did_attr,3,117,121590,121440,121070,,,속성 조건 없음,"공격력+15%, 생명력+10%",option,atk_multi,15,hp_multi,10,,
118,잔혹한 지배자,did_attr,3,118,121600,121300,121040,,,속성 조건 없음,"치명확률+10%, 방어력+10%",option,cri_chance_add,10,def_multi,10,,
119,차원의 조율자,did_attr,2,119,121610,121400,,,,속성 조건 없음,"공격력+10%, 효과적중+15%",option,atk_multi,10,accuracy_add,15,,
120,고대의 기억,did_attr,3,120,121630,121130,120010,,,속성 조건 없음,"생명력+15, 효과저항+15%",option,hp_multi,15,resistance_add,15,,
121,꿈 세계에서 온 자,did_attr,2,121,121620,121490,,,,속성 조건 없음,공격력+15%,option,atk_multi,15,,,,
123,타락한 기사,did_attr,3,123,121660,121050,120820,,,속성 조건 없음,"치명피해+10%, 효과적중+15%",option,cri_dmg_add,10,accuracy_add,15,,
124,불타는 파괴자,did,2,124,121683,121473,,,,,"공격력+10%, 방어력+10%",option,atk_multi,10,def_multi,10,,
125,태양과 달,did_attr,2,125,121700,121000,,,,속성 조건 없음,"공격력+15%, 효과적중+15%",option,atk_multi,15,accuracy_add,15,,
126,브라더후드,did_attr,2,126,121690,121470,,,,속성 조건 없음,"공격력+10%, 방어력+10%",option,atk_multi,10,def_multi,10,,
127,숙면 친구,did_attr,2,127,121690,120020,,,,속성 조건 없음,"방어력+10%, 효과적중+20%",option,def_multi,10,accuracy_add,20,,
128,감미로운 꿈,did_attr,2,128,121710,120820,,,,속성 조건 없음,드래그 스킬 재사용 시간 10% 감소,option,drag_cool_add,10,,,,
129,마력 수정,did_attr,3,129,121650,121130,121620,,,속성 조건 없음,"공격력+15%, 치명피해+10%",option,atk_multi,15,cri_dmg_add,10,,
130,바다와 하늘,did_attr,2,130,121720,120810,,,,속성 조건 없음,공격력+15%,option,atk_multi,15,,,,
131,죽음의 인도자,did_attr,2,131,121740,120860,,,,속성 조건 없음,"생명력+15%, 방어력+15%",option,hp_multi,15,def_multi,15,,
132,기사도의 꽃,did_attr,3,132,120380,120560,120370,,,속성 조건 없음,일정 시간 마다 추가 마나를 획득합니다.,skill,410001,,,,,
