stage,lv,boss_hp,clear_reward,rank_up_value,clear_bonus
1500075,75,434197500,gold;150000,2000000,700011;3
1500076,76,439910600,gold;150000,2000000,700011;3
1500077,77,445623800,gold;150000,2000000,700011;3
1500078,78,451336900,gold;150000,2000000,700011;3
1500079,79,457050000,gold;150000,2000000,700011;3
1500080,80,462763100,gold;150000,2000000,700011;3
1500081,81,468476300,gold;150000,2000000,700011;3
1500082,82,474189400,gold;150000,2000000,700011;3
1500083,83,479902500,gold;150000,2000000,700011;3
1500084,84,485615600,gold;150000,2000000,700011;3
1500085,85,491328800,gold;150000,2000000,700011;3
1500086,86,497041900,gold;150000,2000000,700011;3
1500087,87,502755000,gold;150000,2000000,700011;3
1500088,88,508468100,gold;150000,2000000,700011;3
1500089,89,514181300,gold;150000,2000000,700011;3
1500090,90,519894400,gold;150000,2000000,700011;3
1500091,91,525607500,gold;150000,2000000,700011;3
1500092,92,531320600,gold;150000,2000000,700011;3
1500093,93,537033800,gold;150000,2000000,700011;3
1500094,94,542746900,gold;150000,2000000,700011;3
1500095,95,548460000,gold;150000,2000000,700011;3
1500096,96,554173100,gold;150000,2000000,700011;3
1500097,97,559886300,gold;150000,2000000,700011;3
1500098,98,565599400,gold;150000,2000000,700011;3
1500099,99,571312500,gold;150000,2000000,700011;3
1500100,100,577025600,gold;150000,2000000,700011;3
1500101,101,1165477600,gold;150000,2000000,700011;3
1500102,102,1294594180,gold;150000,2000000,700011;3
1500103,103,1425996000,gold;150000,2000000,700011;3
1500104,104,1559683060,gold;150000,2000000,700011;3
1500105,105,1695655640,gold;150000,2000000,700011;3
1500106,106,1833913200,gold;150000,2000000,700011;3
1500107,107,1974456000,gold;150000,2000000,700011;3
1500108,108,2117284040,gold;150000,2000000,700011;3
1500109,109,2262397680,gold;150000,2000000,700011;3
1500110,110,2409796220,gold;150000,2000000,700011;3
1500111,111,2559480000,gold;150000,2000000,700011;3
1500112,112,2711449020,gold;150000,2000000,700011;3
1500113,113,2865703720,gold;150000,2000000,700011;3
1500114,114,3022243240,gold;150000,2000000,700011;3
1500115,115,3181068000,gold;150000,2000000,700011;3
1500116,116,3342178000,gold;150000,2000000,700011;3
1500117,117,3505573760,gold;150000,2000000,700011;3
1500118,118,3671254260,gold;150000,2000000,700011;3
1500119,119,3839220000,gold;150000,2000000,700011;3
1500120,120,4009470980,gold;150000,2000000,700011;3
1500121,121,4182007800,gold;150000,2000000,700011;3
1500122,122,4356829280,gold;150000,2000000,700011;3
1500123,123,4533936000,gold;150000,2000000,700011;3
1500124,124,4713327960,gold;150000,2000000,700011;3
1500125,125,4895005840,gold;150000,2000000,700011;3
1500126,126,5078968300,gold;150000,2000000,700011;3
1500127,127,5265216000,gold;150000,2000000,700011;3
1500128,128,5453748940,gold;150000,2000000,700011;3
1500129,129,5644567880,gold;150000,2000000,700011;3
1500130,130,5837671320,gold;150000,2000000,700011;3
1500131,131,6033060000,gold;150000,2000000,700011;3
1500132,132,6230733920,gold;150000,2000000,700011;3
1500133,133,6430693920,gold;150000,2000000,700011;3
1500134,134,6632938340,gold;150000,2000000,700011;3
1500135,135,6837468000,gold;150000,2000000,700011;3
1500136,136,7044282900,gold;150000,2000000,700011;3
1500137,137,7253383960,gold;150000,2000000,700011;3
1500138,138,7464769360,gold;150000,2000000,700011;3
1500139,139,7678440000,gold;150000,2000000,700011;3
1500140,140,7894395880,gold;150000,2000000,700011;3
1500141,141,8112638000,gold;150000,2000000,700011;3
1500142,142,8333164380,gold;150000,2000000,700011;3
1500143,143,8555976000,gold;150000,2000000,700011;3
1500144,144,8781072860,gold;150000,2000000,700011;3
1500145,145,9008456040,gold;150000,2000000,700011;3
1500146,146,9238123400,gold;150000,2000000,700011;3
1500147,147,9470076000,gold;150000,2000000,700011;3
1500148,148,9704313840,gold;150000,2000000,700011;3
1500149,149,9940838080,gold;150000,2000000,700011;3
1500150,150,10179646420,gold;150000,2000000,700011;3
1500151,151,10420740000,gold;150000,2000000,700011;3
1500152,152,10664118820,gold;150000,2000000,700011;3
1500153,153,10909784120,gold;150000,2000000,700011;3
1500154,154,11157733440,gold;150000,2000000,700011;3
1500155,155,11407968000,gold;150000,2000000,700011;3
1500156,156,11660487800,gold;150000,2000000,700011;3
1500157,157,11915294160,gold;150000,2000000,700011;3
1500158,158,12172384460,gold;150000,2000000,700011;3
1500159,159,12431760000,gold;150000,2000000,700011;3
1500160,160,12693420780,gold;150000,2000000,700011;3
1500161,161,12957368200,gold;150000,2000000,700011;3
1500162,162,13223599480,gold;150000,2000000,700011;3
1500163,163,13492116000,gold;150000,2000000,700011;3
1500164,164,13762917760,gold;150000,2000000,700011;3
1500165,165,14036006240,gold;150000,2000000,700011;3
1500166,166,14311378500,gold;150000,2000000,700011;3
1500167,167,14589036000,gold;150000,2000000,700011;3
1500168,168,14868978740,gold;150000,2000000,700011;3
1500169,169,15151208280,gold;150000,2000000,700011;3
1500170,170,15435721520,gold;150000,2000000,700011;3
1500171,171,15722520000,gold;150000,2000000,700011;3
1500172,172,16011603720,gold;150000,2000000,700011;3
1500173,173,16302974320,gold;150000,2000000,700011;3
1500174,174,16596628540,gold;150000,2000000,700011;3
1500175,175,16892568000,gold;150000,2000000,700011;3
1500176,176,17190792700,gold;150000,2000000,700011;3
1500177,177,17491304360,gold;150000,2000000,700011;3
1500178,178,17794099560,gold;150000,2000000,700011;3
1500179,179,18099180000,gold;150000,2000000,700011;3
1500180,180,18406545680,gold;150000,2000000,700011;3
1500181,181,18716198400,gold;150000,2000000,700011;3
1500182,182,19028134580,gold;150000,2000000,700011;3
1500183,183,19342356000,gold;150000,2000000,700011;3
1500184,184,19658862660,gold;150000,2000000,700011;3
1500185,185,19977656440,gold;150000,2000000,700011;3
1500186,186,20298733600,gold;150000,2000000,700011;3
1500187,187,20622096000,gold;150000,2000000,700011;3
1500188,188,20947743640,gold;150000,2000000,700011;3
1500189,189,21275678480,gold;150000,2000000,700011;3
1500190,190,21605896620,gold;150000,2000000,700011;3
1500191,191,21938400000,gold;150000,2000000,700011;3
1500192,192,22273188620,gold;150000,2000000,700011;3
1500193,193,22610264520,gold;150000,2000000,700011;3
1500194,194,22949623640,gold;150000,2000000,700011;3
1500195,195,23291268000,gold;150000,2000000,700011;3
1500196,196,23635197600,gold;150000,2000000,700011;3
1500197,197,23981414560,gold;150000,2000000,700011;3
1500198,198,24329914660,gold;150000,2000000,700011;3
1500199,199,24680700000,gold;150000,2000000,700011;3
1500200,200,25033770580,gold;150000,2000000,700011;3
1500201,201,25389128600,gold;150000,2000000,700011;3
1500202,202,25746769680,gold;150000,2000000,700011;3
1500203,203,26106696000,gold;150000,2000000,700011;3
1500204,204,26468907560,gold;150000,2000000,700011;3
1500205,205,26833406640,gold;150000,2000000,700011;3
1500206,206,27200188700,gold;150000,2000000,700011;3
1500207,207,27569256000,gold;150000,2000000,700011;3
1500208,208,27940608540,gold;150000,2000000,700011;3
1500209,209,28314248680,gold;150000,2000000,700011;3
1500210,210,28690171720,gold;150000,2000000,700011;3
1500211,211,29068380000,gold;150000,2000000,700011;3
1500212,212,29448873520,gold;150000,2000000,700011;3
1500213,213,29831654720,gold;150000,2000000,700011;3
1500214,214,30216718740,gold;150000,2000000,700011;3
1500215,215,30604068000,gold;150000,2000000,700011;3
1500216,216,30993702500,gold;150000,2000000,700011;3
1500217,217,31385624760,gold;150000,2000000,700011;3
1500218,218,31779829760,gold;150000,2000000,700011;3
1500219,219,32176320000,gold;150000,2000000,700011;3
1500220,220,32575095480,gold;150000,2000000,700011;3
1500221,221,32976158800,gold;150000,2000000,700011;3
1500222,222,33379504780,gold;150000,2000000,700011;3
1500223,223,33785136000,gold;150000,2000000,700011;3
1500224,224,34193052460,gold;150000,2000000,700011;3
1500225,225,34603256840,gold;150000,2000000,700011;3
1500226,226,35015743800,gold;150000,2000000,700011;3
1500227,227,35430516000,gold;150000,2000000,700011;3
1500228,228,35847573440,gold;150000,2000000,700011;3
1500229,229,36266918880,gold;150000,2000000,700011;3
1500230,230,36688546820,gold;150000,2000000,700011;3
1500231,231,37112460000,gold;150000,2000000,700011;3
1500232,232,37538658420,gold;150000,2000000,700011;3
1500233,233,37967144920,gold;150000,2000000,700011;3
1500234,234,38397913840,gold;150000,2000000,700011;3
1500235,235,38830968000,gold;150000,2000000,700011;3
1500236,236,39266307400,gold;150000,2000000,700011;3
1500237,237,39703934960,gold;150000,2000000,700011;3
1500238,238,40143844860,gold;150000,2000000,700011;3
1500239,239,40586040000,gold;150000,2000000,700011;3
1500240,240,41030520380,gold;150000,2000000,700011;3
1500241,241,41477289000,gold;150000,2000000,700011;3
1500242,242,41926339880,gold;150000,2000000,700011;3
1500243,243,42377676000,gold;150000,2000000,700011;3
1500244,244,42831297360,gold;150000,2000000,700011;3
1500245,245,43287207040,gold;150000,2000000,700011;3
1500246,246,43745398900,gold;150000,2000000,700011;3
1500247,247,44205876000,gold;150000,2000000,700011;3
1500248,248,44668638340,gold;150000,2000000,700011;3
1500249,249,45133689080,gold;150000,2000000,700011;3
1500250,250,45601021920,gold;150000,2000000,700011;3
1500251,251,46070640000,gold;150000,2000000,700011;3
1500252,252,46542543320,gold;150000,2000000,700011;3
1500253,253,47016735120,gold;150000,2000000,700011;3
1500254,254,47493208940,gold;150000,2000000,700011;3
1500255,255,47971968000,gold;150000,2000000,700011;3
1500256,256,48453012300,gold;150000,2000000,700011;3
1500257,257,48936345160,gold;150000,2000000,700011;3
1500258,258,49421959960,gold;150000,2000000,700011;3
1500259,259,49909860000,gold;150000,2000000,700011;3
1500260,260,50400045280,gold;150000,2000000,700011;3
1500261,261,50892519200,gold;150000,2000000,700011;3
1500262,262,51387274980,gold;150000,2000000,700011;3
1500263,263,51884316000,gold;150000,2000000,700011;3
1500264,264,52383642260,gold;150000,2000000,700011;3
1500265,265,52885257240,gold;150000,2000000,700011;3
1500266,266,53389154000,gold;150000,2000000,700011;3
1500267,267,53895336000,gold;150000,2000000,700011;3
1500268,268,54403803240,gold;150000,2000000,700011;3
1500269,269,54914559280,gold;150000,2000000,700011;3
1500270,270,55427597020,gold;150000,2000000,700011;3
1500271,271,55942920000,gold;150000,2000000,700011;3
1500272,272,56460528220,gold;150000,2000000,700011;3
1500273,273,56980425320,gold;150000,2000000,700011;3
1500274,274,57502604040,gold;150000,2000000,700011;3
1500275,275,58027068000,gold;150000,2000000,700011;3
1500276,276,58553817200,gold;150000,2000000,700011;3
1500277,277,59082855360,gold;150000,2000000,700011;3
1500278,278,59614175060,gold;150000,2000000,700011;3
1500279,279,60147780000,gold;150000,2000000,700011;3
1500280,280,60683670180,gold;150000,2000000,700011;3
1500281,281,61221849400,gold;150000,2000000,700011;3
1500282,282,61762310080,gold;150000,2000000,700011;3
1500283,283,62305056000,gold;150000,2000000,700011;3
1500284,284,62850087160,gold;150000,2000000,700011;3
1500285,285,63397407440,gold;150000,2000000,700011;3
1500286,286,63947009100,gold;150000,2000000,700011;3
1500287,287,64498896000,gold;150000,2000000,700011;3
1500288,288,65053068140,gold;150000,2000000,700011;3
1500289,289,65609529480,gold;150000,2000000,700011;3
1500290,290,66168272120,gold;150000,2000000,700011;3
1500291,291,66729300000,gold;150000,2000000,700011;3
1500292,292,67292613120,gold;150000,2000000,700011;3
1500293,293,67858215520,gold;150000,2000000,700011;3
1500294,294,68426099140,gold;150000,2000000,700011;3
1500295,295,68996268000,gold;150000,2000000,700011;3
1500296,296,69568722100,gold;150000,2000000,700011;3
1500297,297,70143465560,gold;150000,2000000,700011;3
1500298,298,70720490160,gold;150000,2000000,700011;3
1500299,299,71299800000,gold;150000,2000000,700011;3
1500300,300,71881395080,gold;150000,2000000,700011;3
1500301,301,72465279600,gold;150000,2000000,700011;3
1500302,302,73051445180,gold;150000,2000000,700011;3
1500303,303,73639896000,gold;150000,2000000,700011;3
1500304,304,74230632060,gold;150000,2000000,700011;3
1500305,305,74823657640,gold;150000,2000000,700011;3
1500306,306,75418964200,gold;150000,2000000,700011;3
1500307,307,76016556000,gold;150000,2000000,700011;3
1500308,308,76616433040,gold;150000,2000000,700011;3
1500309,309,77218599680,gold;150000,2000000,700011;3
1500310,310,77823047220,gold;150000,2000000,700011;3
1500311,311,78429780000,gold;150000,2000000,700011;3
1500312,312,79038798020,gold;150000,2000000,700011;3
1500313,313,79650105720,gold;150000,2000000,700011;3
1500314,314,80263694240,gold;150000,2000000,700011;3
1500315,315,80879568000,gold;150000,2000000,700011;3
1500316,316,81497727000,gold;150000,2000000,700011;3
1500317,317,82118175760,gold;150000,2000000,700011;3
1500318,318,82740905260,gold;150000,2000000,700011;3
1500319,319,83365920000,gold;150000,2000000,700011;3
1500320,320,83993219980,gold;150000,2000000,700011;3
1500321,321,84622809800,gold;150000,2000000,700011;3
1500322,322,85254680280,gold;150000,2000000,700011;3
1500323,323,85888836000,gold;150000,2000000,700011;3
1500324,324,86525276960,gold;150000,2000000,700011;3
1500325,325,87164007840,gold;150000,2000000,700011;3
1500326,326,87805019300,gold;150000,2000000,700011;3
1500327,327,88448316000,gold;150000,2000000,700011;3
1500328,328,89093897940,gold;150000,2000000,700011;3
1500329,329,89741769880,gold;150000,2000000,700011;3
1500330,330,90391922320,gold;150000,2000000,700011;3
1500331,331,91044360000,gold;150000,2000000,700011;3
1500332,332,91699082920,gold;150000,2000000,700011;3
1500333,333,92356095920,gold;150000,2000000,700011;3
1500334,334,93015389340,gold;150000,2000000,700011;3
1500335,335,93676968000,gold;150000,2000000,700011;3
1500336,336,94340831900,gold;150000,2000000,700011;3
1500337,337,95006985960,gold;150000,2000000,700011;3
1500338,338,95675420360,gold;150000,2000000,700011;3
1500339,339,96346140000,gold;150000,2000000,700011;3
1500340,340,97019144880,gold;150000,2000000,700011;3
1500341,341,97694440000,gold;150000,2000000,700011;3
1500342,342,98372015380,gold;150000,2000000,700011;3
1500343,343,99051876000,gold;150000,2000000,700011;3
1500344,344,99734021860,gold;150000,2000000,700011;3
1500345,345,100418458040,gold;150000,2000000,700011;3
1500346,346,101105174400,gold;150000,2000000,700011;3
1500347,347,101794176000,gold;150000,2000000,700011;3
1500348,348,102485462840,gold;150000,2000000,700011;3
1500349,349,103179040080,gold;150000,2000000,700011;3
1500350,350,103874897420,gold;150000,2000000,700011;3
1500351,351,104573040000,gold;150000,2000000,700011;3
1500352,352,105273467820,gold;150000,2000000,700011;3
1500353,353,105976186120,gold;150000,2000000,700011;3
1500354,354,106681184440,gold;150000,2000000,700011;3
1500355,355,107388468000,gold;150000,2000000,700011;3
1500356,356,108098036800,gold;150000,2000000,700011;3
1500357,357,108809896160,gold;150000,2000000,700011;3
1500358,358,109524035460,gold;150000,2000000,700011;3
1500359,359,110240460000,gold;150000,2000000,700011;3
1500360,360,110959169780,gold;150000,2000000,700011;3
1500361,361,111680170200,gold;150000,2000000,700011;3
1500362,362,112403450480,gold;150000,2000000,700011;3
1500363,363,113129016000,gold;150000,2000000,700011;3
1500364,364,113856866760,gold;150000,2000000,700011;3
1500365,365,114587008240,gold;150000,2000000,700011;3
1500366,366,115319429500,gold;150000,2000000,700011;3
1500367,367,116054136000,gold;150000,2000000,700011;3
1500368,368,116791127740,gold;150000,2000000,700011;3
1500369,369,117530410280,gold;150000,2000000,700011;3
1500370,370,118271972520,gold;150000,2000000,700011;3
1500371,371,119015820000,gold;150000,2000000,700011;3
1500372,372,119761952720,gold;150000,2000000,700011;3
1500373,373,120510376320,gold;150000,2000000,700011;3
1500374,374,121261079540,gold;150000,2000000,700011;3
1500375,375,122014068000,gold;150000,2000000,700011;3
1500376,376,122769341700,gold;150000,2000000,700011;3
1500377,377,123526906360,gold;150000,2000000,700011;3
1500378,378,124286750560,gold;150000,2000000,700011;3
1500379,379,125048880000,gold;150000,2000000,700011;3
1500380,380,125813294680,gold;150000,2000000,700011;3
1500381,381,126580000400,gold;150000,2000000,700011;3
1500382,382,127348985580,gold;150000,2000000,700011;3
1500383,383,128120256000,gold;150000,2000000,700011;3
1500384,384,128893811660,gold;150000,2000000,700011;3
1500385,385,129669658440,gold;150000,2000000,700011;3
1500386,386,130447784600,gold;150000,2000000,700011;3
1500387,387,131228196000,gold;150000,2000000,700011;3
1500388,388,132010892640,gold;150000,2000000,700011;3
1500389,389,132795880480,gold;150000,2000000,700011;3
1500390,390,133583147620,gold;150000,2000000,700011;3
1500391,391,134372700000,gold;150000,2000000,700011;3
1500392,392,135164537620,gold;150000,2000000,700011;3
1500393,393,135958666520,gold;150000,2000000,700011;3
1500394,394,136755074640,gold;150000,2000000,700011;3
1500395,395,137553768000,gold;150000,2000000,700011;3
1500396,396,138354746600,gold;150000,2000000,700011;3
1500397,397,139158016560,gold;150000,2000000,700011;3
1500398,398,139963565660,gold;150000,2000000,700011;3
1500399,399,140771400000,gold;150000,2000000,700011;3
1500400,400,141581519580,gold;150000,2000000,700011;3
1500401,401,142393930600,gold;150000,2000000,700011;3
1500402,402,143208620680,gold;150000,2000000,700011;3
1500403,403,144025596000,gold;150000,2000000,700011;3
1500404,404,144844856560,gold;150000,2000000,700011;3
1500405,405,145666408640,gold;150000,2000000,700011;3
1500406,406,146490239700,gold;150000,2000000,700011;3
1500407,407,147316356000,gold;150000,2000000,700011;3
1500408,408,148144757540,gold;150000,2000000,700011;3
1500409,409,148975450680,gold;150000,2000000,700011;3
1500410,410,149808422720,gold;150000,2000000,700011;3
1500411,411,150643680000,gold;150000,2000000,700011;3
1500412,412,151481222520,gold;150000,2000000,700011;3
1500413,413,152321056720,gold;150000,2000000,700011;3
1500414,414,153163169740,gold;150000,2000000,700011;3
1500415,415,154007568000,gold;150000,2000000,700011;3
1500416,416,154854251500,gold;150000,2000000,700011;3
1500417,417,155703226760,gold;150000,2000000,700011;3
1500418,418,156554480760,gold;150000,2000000,700011;3
1500419,419,157408020000,gold;150000,2000000,700011;3
1500420,420,158263844480,gold;150000,2000000,700011;3
1500421,421,159121960800,gold;150000,2000000,700011;3
1500422,422,159982354947,gold;150000,2000000,700011;3
1500423,423,160845036824,gold;150000,2000000,700011;3
1500424,424,161710003951,gold;150000,2000000,700011;3
1500425,425,162577256329,gold;150000,2000000,700011;3
1500426,426,163446793956,gold;150000,2000000,700011;3
1500427,427,164318616834,gold;150000,2000000,700011;3
1500428,428,165192724961,gold;150000,2000000,700011;3
1500429,429,166069118339,gold;150000,2000000,700011;3
1500430,430,166947796966,gold;150000,2000000,700011;3
1500431,431,167828760843,gold;150000,2000000,700011;3
1500432,432,168712009971,gold;150000,2000000,700011;3
1500433,433,169597544348,gold;150000,2000000,700011;3
1500434,434,170485363976,gold;150000,2000000,700011;3
1500435,435,171375468853,gold;150000,2000000,700011;3
1500436,436,172267858981,gold;150000,2000000,700011;3
1500437,437,173162534358,gold;150000,2000000,700011;3
1500438,438,174059494985,gold;150000,2000000,700011;3
1500439,439,174958740863,gold;150000,2000000,700011;3
1500440,440,175860271990,gold;150000,2000000,700011;3
1500441,441,176764088368,gold;150000,2000000,700011;3
1500442,442,177670189995,gold;150000,2000000,700011;3
1500443,443,178578576872,gold;150000,2000000,700011;3
1500444,444,179489249000,gold;150000,2000000,700011;3
1500445,445,180402206377,gold;150000,2000000,700011;3
1500446,446,181317449005,gold;150000,2000000,700011;3
1500447,447,182234976882,gold;150000,2000000,700011;3
1500448,448,183154790010,gold;150000,2000000,700011;3
1500449,449,184076888387,gold;150000,2000000,700011;3
1500450,450,185001272014,gold;150000,2000000,700011;3
1500451,451,185927940892,gold;150000,2000000,700011;3
1500452,452,186856895019,gold;150000,2000000,700011;3
1500453,453,187788134397,gold;150000,2000000,700011;3
1500454,454,188721659024,gold;150000,2000000,700011;3
1500455,455,189657468901,gold;150000,2000000,700011;3
1500456,456,190595564029,gold;150000,2000000,700011;3
1500457,457,191535944406,gold;150000,2000000,700011;3
1500458,458,192478610034,gold;150000,2000000,700011;3
1500459,459,193423560911,gold;150000,2000000,700011;3
1500460,460,194370797039,gold;150000,2000000,700011;3
1500461,461,195320318416,gold;150000,2000000,700011;3
1500462,462,196272125043,gold;150000,2000000,700011;3
1500463,463,197226216921,gold;150000,2000000,700011;3
1500464,464,198182594048,gold;150000,2000000,700011;3
1500465,465,199141256426,gold;150000,2000000,700011;3
1500466,466,200102204053,gold;150000,2000000,700011;3
1500467,467,201065436930,gold;150000,2000000,700011;3
1500468,468,202030955058,gold;150000,2000000,700011;3
1500469,469,202998758435,gold;150000,2000000,700011;3
1500470,470,203968847063,gold;150000,2000000,700011;3
1500471,471,204941220940,gold;150000,2000000,700011;3
1500472,472,205915880067,gold;150000,2000000,700011;3
1500473,473,206892824445,gold;150000,2000000,700011;3
1500474,474,207872054072,gold;150000,2000000,700011;3
1500475,475,208853568950,gold;150000,2000000,700011;3
1500476,476,209837369077,gold;150000,2000000,700011;3
1500477,477,210823454455,gold;150000,2000000,700011;3
1500478,478,211811825082,gold;150000,2000000,700011;3
1500479,479,212802480959,gold;150000,2000000,700011;3
1500480,480,213795422087,gold;150000,2000000,700011;3
1500481,481,214790648464,gold;150000,2000000,700011;3
1500482,482,215788160092,gold;150000,2000000,700011;3
1500483,483,216787956969,gold;150000,2000000,700011;3
1500484,484,217790039096,gold;150000,2000000,700011;3
1500485,485,218794406474,gold;150000,2000000,700011;3
1500486,486,219801059101,gold;150000,2000000,700011;3
1500487,487,220809996979,gold;150000,2000000,700011;3
1500488,488,221821220106,gold;150000,2000000,700011;3
1500489,489,222834728483,gold;150000,2000000,700011;3
1500490,490,223850522111,gold;150000,2000000,700011;3
1500491,491,224868600988,gold;150000,2000000,700011;3
1500492,492,225888965116,gold;150000,2000000,700011;3
1500493,493,226911614493,gold;150000,2000000,700011;3
1500494,494,227936549120,gold;150000,2000000,700011;3
1500495,495,228963768998,gold;150000,2000000,700011;3
1500496,496,229993274125,gold;150000,2000000,700011;3
1500497,497,231025064503,gold;150000,2000000,700011;3
1500498,498,232059140130,gold;150000,2000000,700011;3
1500499,499,233095501007,gold;150000,2000000,700011;3
1500500,500,234134147135,gold;150000,2000000,700011;3
1500501,501,235175078512,gold;150000,2000000,700011;3
1500502,502,236218295140,gold;150000,2000000,700011;3
1500503,503,237263797017,gold;150000,2000000,700011;3
1500504,504,238311584144,gold;150000,2000000,700011;3
1500505,505,239361656522,gold;150000,2000000,700011;3
1500506,506,240414014149,gold;150000,2000000,700011;3
1500507,507,241468657027,gold;150000,2000000,700011;3
1500508,508,242525585154,gold;150000,2000000,700011;3
1500509,509,243584798531,gold;150000,2000000,700011;3
1500510,510,244646297159,gold;150000,2000000,700011;3
1500511,511,245710081036,gold;150000,2000000,700011;3
1500512,512,246776150164,gold;150000,2000000,700011;3
1500513,513,247844504541,gold;150000,2000000,700011;3
1500514,514,248915144168,gold;150000,2000000,700011;3
1500515,515,249988069046,gold;150000,2000000,700011;3
1500516,516,251063279173,gold;150000,2000000,700011;3
1500517,517,252140774551,gold;150000,2000000,700011;3
1500518,518,253220555178,gold;150000,2000000,700011;3
1500519,519,254302621055,gold;150000,2000000,700011;3
1500520,520,255386972183,gold;150000,2000000,700011;3
1500521,521,256473608560,gold;150000,2000000,700011;3
1500522,522,257562530188,gold;150000,2000000,700011;3
1500523,523,258653737065,gold;150000,2000000,700011;3
1500524,524,259747229192,gold;150000,2000000,700011;3
1500525,525,260843006570,gold;150000,2000000,700011;3
1500526,526,261941069197,gold;150000,2000000,700011;3
1500527,527,263041417075,gold;150000,2000000,700011;3
1500528,528,264144050202,gold;150000,2000000,700011;3
1500529,529,265248968579,gold;150000,2000000,700011;3
1500530,530,266356172207,gold;150000,2000000,700011;3
