sid,skill_form,skill_type,t_name,r_comment,res_icon,res_1,res_scale,res_2,res_3,res_hit,skill_size,animation,motion_type,dmg_type,pos,dir,start_cooldown,chance_type,chance_value,target_formation,target_type,target_count,casting_time,cooldown,power_source,r_note,r_group,r_power_rate,power_rate,ignore,hit,val_1,val_2,val_3,for_gd,add_option_type_1,add_option_target_1,add_option_target_count_1,add_option_trigger_1,add_option_time_1,add_option_rate_1,add_option_source_1,add_option_value_1,add_option_type_2,add_option_target_2,add_option_target_count_2,add_option_trigger_2,add_option_time_2,add_option_rate_2,add_option_source_2,add_option_value_2,add_option_type_3,add_option_target_3,add_option_target_count_3,add_option_trigger_3,add_option_time_3,add_option_rate_3,add_option_source_3,add_option_value_3,add_option_type_4,add_option_target_4,add_option_target_count_4,add_option_trigger_4,add_option_time_4,add_option_rate_4,add_option_source_4,add_option_value_4,desc_1,desc_2,desc_3,desc_4,desc_5,t_desc,to_programmer,t_speech,speech_option
230012,code,status_effect,가시 반격,복상어: 스킬 공격,res/ui/icons/skill/200731.png,res/missile/missile_thorn/missile_thorn.png,1,,,,,skill_1,instant,physical,,-1,,under_atk_rate,100,,self,1,0,15,,,미분류,50,0,,1,,,,반사,reflect,self,1,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,피해를 입으면 몸에서 가시를 방출해 공격합니다. 이 공격은 받은 피해량에 비례합니다.,,,
230014,script,skill_missile_feather,깃털 방사,부엉이: 스킬 공격,res/ui/icons/skill/800321.png,res/missile/missile_feather/missile_feather.png,1,res/missile/motion_streak/motion_streak_line_@.png,,,,attack,instant,physical,,-1,,indie_rate,20,,enemy_distance_y,1,0,15,atk,,일반_광역_스킬,150,400,,1,,,,공격력 감소,atk_down,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전방에 깃털을 날려 보통의 피해를 줍니다. 추가로 피해를 입은 대상의 공격력을 감소 시킵니다.,,,
230016,code,missile_move_high_angle	,먹물 공격,,res/ui/icons/skill/204443.png,res/missile/missile_bubble_black/missile_bubble_black.vrp,1,,,,,attack,instant,magical,,-1,,indie_rate,20,,enemy_distance_line,1,0,15,atk,,일반_단일_스킬,100,600,,1,100,20,,,hit_rate_down,target,,skill_end,20,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주고 명중을 감소 시킵니다.,,,
230020,script,skill_missile_thorn,가시 방출,,res/ui/icons/skill/800321.png,res/missile/missile_thorn/missile_thorn.png,1,,,,,attack,instant,physical,,-2,,indie_rate,20,,enemy_distance_line,1,0,15,atk,,일반_단일_스킬,50,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,큰 피해를 주는 공격입니다.,,,
230029,code,missile_move_release,꽃잎 칼날,괴물 식물: 스킬 공격,res/ui/icons/skill/204241.png,res/missile/missile_rose/missile_rose.png,1,,,,,attack,instant,magical,,-1,,indie_rate,20,,enemy_distance_line,1,2,15,atk,,일반_단일_스킬,70,200,,3,,,200,,dot_damage,target,,skill_end,10,15,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,큰 피해를 주고 일정 확률로 지속피해를 줍니다.,,,
230030,code,missile_move_high_angle	,포자 공격,,res/ui/icons/skill/204741.png,res/missile/missile_magicshot/missile_magicshot.vrp,1,,,,,attack,instant,magical,,-1,,basic,1,,enemy_distance_line,1,0,1,atk,,미분류,50,0,,1,200,20,,,poison,target,,skill_end,20,30,atk,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,,,
230043,code,missile_move_high_angle	,바위 투척,바위정령: 스킬 공격,res/ui/icons/skill/204711.png,res/missile/missile_ball/missile_ball_@.vrp,1,,,,,attack,instant,magical,,-1,,indie_rate,20,,enemy_random,1,2,15,atk,,일반_단일_스킬,200,600,,1,200,20,,,stun,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주고 일정 확률로 기절 시킵니다.,,,
230044,code,missile_move_high_angle	,도토리 난사,다람쥐: 스킬 공격,res/ui/icons/skill/205411.png,res/missile/missile_nut/missile_nut.png,1,res/missile/motion_streak/motion_streak_blade.png,,,,attack,instant,physical,,-1,,indie_rate,25,,enemy_distance_line,1,1,12,atk,,일반_단일_스킬,50,150,,4,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,도토리를 연속으로 날려 큰 피해를 주는 공격입니다.,곡선으로 이동하는 원거리 공격,,
230045,code,status_effect,회피율 증가,하피 주니어: 스킬,res/ui/icons/skill/200931.png,,1,,,,,attack,instant,,,-1,,indie_time,10,,self,1,1,1,,,미분류,0,0,,1,,,,,avoid_up,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자신의 회피율을 상승시킵니다.,자신에게 회피율 증가 버프,,
230047,script,skill_common_01,폭파,용암정령 스킬,res/ui/icons/skill/202731.png,,1,,,,,,instant,magical,,-1,,dead_ago,100,,enemy_distance_line,5,0,1,target_max_hp,,일반_광역_스킬,200,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,죽을때 방어력을 무시하는 강력한 피해를 줍니다.,,,
230048,code,missile_move_straight,픽시라이트,픽시: 일반 공격,res/ui/icons/skill/204443.png,res/missile/missile_ball/missile_ball_@.vrp,0.7,,,,,attack,instant,magical,,0,,basic,1,,enemy_distance_y,1,0,1,atk,,일반_단일_일반,100,300,,1,,,800,,hit_rate_down,target,,skill_end,20,20,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주고 일정 확률로 명중을 감소시킵니다.,,,
230049,code,status_effect,고대문자 A,고대문자 A: 스킬 공격,res/ui/icons/skill/202743.png,,1,,,,,attack,instant,magical,,0,,indie_time,10,,ally_random,,2,1,,,미분류,100,0,,1,,,,,atk_up,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일정 주기마다 아군의 공격력을 상승시킵니다.,,,
230050,code,status_effect,고대문자 B,고대문자 B: 스킬 공격,res/ui/icons/skill/202722.png,,1,,,,,attack,instant,magical,,0,,indie_time,10,,ally_random,,2,1,,,미분류,100,0,,1,,,,,def_up,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일정 주기마다 아군의 방어력을 상승시킵니다.,,,
230051,code,status_effect,고대문자 C,고대문자 C: 스킬 공격,res/ui/icons/skill/202051.png,,1,,,,,attack,instant,magical,,0,,indie_time,10,,ally_random,,2,1,,,미분류,100,0,,1,,,,,aspd_up,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일정 주기마다 아군의 공격속도를 상승시킵니다.,,,
230052,script,skill_missile_record_manager_1,기록 삭제,기록관리자: 스킬 공격,res/ui/icons/skill/200111.png,,1,,,,,attack,instant,magical,,0,,indie_rate,20,,enemy_distance_line,1,2,1,atk,,일반_광역_스킬,50,400,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전 방위에 보통의 피해를 줍니다.,,,
230053,code,skill_leap_atk,점프 공격,만드라고라: 일반 공격,res/ui/icons/skill/200411.png,,1,,,,,attack,instant,magical,,0,,basic,3,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,5000,10000,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,,,
230054,script,skill_missile_mandragora_1,초음파,만드라고라: 스킬 공격,res/ui/icons/skill/201141.png,,1,,,,,skill_1,instant,magical,,-1,,indie_rate,20,,enemy_distance_line,1,1,15,atk,탄막,일반_광역_스킬,30,400,,1,,,,,stun,target,,skill_end,10,10,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,넓은 범위에 보통의 피해를 주고 대상을 기절시킵니다.,,,
230055,script,skill_missile_lumiere_0,불꽃,루미에: 일반 공격,res/ui/icons/skill/204423.png,,1,,,,,attack,instant,magical,,-1,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,,,
230056,script,skill_missile_lumiere_1,도깨비불,루미에: 스킬 공격,res/ui/icons/skill/204433.png,,1,,,,,skill_1,instant,magical,,-2,,indie_rate,20,,enemy_distance_line,1,2,15,atk,,일반_단일_스킬,100,600,,1,,,,,hit_rate_down,target,,skill_end,20,20,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전방으로 날아가 보통의 피해를 주는 도깨비불을 소환합니다. 도깨비불은 일정 확률로 대상에게 명중을 감소시킵니다.,,,
230057,script,skill_missile_flying_skull_1,뜨거워,플라잉 스컬: 스킬 공격,res/ui/icons/skill/204453.png,,1,,,,,skill_1,instant,magical,,-1,,indie_rate,20,,enemy_distance_line,1,2,15,atk,탄막,일반_광역_스킬,30,400,,1,,,,,dot_damage,target,,skill_end,10,100,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,세 갈래로 퍼지는 불꽃을 소환합니다. 불꽃은 일정 확률로 지속피해를 줍니다.,,,
230058,code,status_effect,마지막 선물,미니언: 스킬,res/ui/icons/skill/205521.png,,1,,,,,skill_1,instant,magical,,0,,dead_ago,100,,enemy_distance_line,1,2,1,atk,,미분류,1,0,,1,,,,,atk_up,ally_none,,skill_end,60,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,사망시 아군의 공격력을 증가 시킵니다.,,,
230060,code,skill_melee_atk,물기,악마날개: 스킬 공격,res/ui/icons/skill/205811.png,,1,,,,,attack,instant,physical,,-1,,indie_rate,20,,enemy_random,1,0,15,atk,,일반_단일_스킬,100,600,,1,2500,5000,,,dot_damage,target,,skill_end,10,100,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주고 지속피해 효과를 부여합니다.,,,
230061,script,skill_missile_wyvern_1,와이번 공격,와이번: 스킬 공격,res/ui/icons/skill/205911.png,,1,,,,,attack,instant,magical,,-1,,indie_rate,20,,enemy_distance_line,1,2,15,atk,,일반_단일_스킬,20,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연속으로 공격해 보통의 피해를 줍니다.,,,
230062,code,skill_melee_atk,독칼,도마뱀 인간 전사: 일반 공격,res/ui/icons/skill/205631.png,,1,,,,,attack_hack,instant,physical,,-1,,basic,1,,enemy_hp_hight,1,0,1,"atk + atk * 0.5 * TARGET_STATUSEFFECT('dot_dmg' , 'type')",,일반_단일_일반,25,300,,1,2500,5000,,,dot_damage,target,,skill_end,30,20,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일정 확률로 지속피해를 줍니다. 만약 대상이 지속피해 상태일 경우 더 큰 피해를 줍니다.,,,
230063,code,skill_leap_atk,미믹 어택,미믹: 일반 공격,res/ui/icons/skill/200411.png,,1,,,,,attack,instant,magical,,0,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,5000,10000,200,,stun,target,,skill_end,10,20,,100,dot_damage,target,,skill_hit,10,20,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다. 일정 확률로 10초간 지속피해를 주거나 기절 시킵니다.,,,
230071,script,skill_missile_runeminion,마법 공격,빛 룬 미니언: 일반 공격,res/ui/icons/skill/200243.png,,1,,,,,attack,instant,magical,,0,,basic,1,,enemy_random,2,0,1,atk,,일반_단일_일반,100,300,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적 2명에게 피해를 줍니다.,,,
230072,script,skill_missile_runeminion,마법 공격,어둠 룬 미니언: 일반 공격,res/ui/icons/skill/200243.png,,1,,,,,attack,instant,magical,,0,,basic,1,,enemy_random,2,0,1,atk,,일반_단일_일반,100,300,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적 2명에게 피해를 줍니다.,,,
231000,script,skill_elite_0,엘리트 공격,엘리트_0,res/ui/icons/skill/205941.png,,1,,,,,attack,instant,physical,,0,,indie_rate,15,,enemy_distance_line,1,0,20,atk,,보스_단일_스킬,75,900,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연속 공격으로 큰 피해를 줍니다.,,,
231001,script,skill_elite_1,엘리트 공격,엘리트_1,res/ui/icons/skill/204211.png,,1,,,,,attack,instant,physical,,0,,indie_rate,15,,enemy_distance_line,1,0,20,atk,탄막,보스_광역_스킬,75,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,넓은 범위에 피해를 줍니다.,,,
231002,script,skill_elite_2,엘리트 공격,엘리트_2,res/ui/icons/skill/202914.png,,1,,,,,attack,instant,physical,,0,,indie_rate,15,,enemy_distance_line,1,0,20,atk,탄막,보스_광역_스킬,75,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전방 부채꼴 범위에 피해를 줍니다.,,,
231003,script,skill_elite_3,엘리트 공격,엘리트_3,res/ui/icons/skill/203831.png,,1,,,,,attack,instant,physical,,0,,indie_rate,15,,enemy_distance_line,1,0,20,atk,탄막,보스_광역_스킬,75,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전 방위로 관통하며 보통의 피해를 줍니다.,,,
231004,script,skill_elite_4,엘리트 공격,엘리트_4,res/ui/icons/skill/202914.png,,1,,,,,attack,instant,physical,,-1,,indie_rate,15,,enemy_distance_line,1,0,20,atk,탄막,보스_광역_스킬,15,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전방 부채꼴 범위를 관통하며 피해를 줍니다.,,,
231005,script,skill_elite_5,엘리트 공격,엘리트_5,res/ui/icons/skill/202413.png,,1,,,,,attack,instant,physical,,0,,indie_rate,15,,enemy_distance_line,2,0,20,atk,탄막,보스_광역_스킬,20,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목표에게 무자비한 연속 공격을 합니다.,,,
231008,code,skill_melee_atk,일반 공격,엘리트 일반 근접 공격,res/ui/icons/skill/200243.png,res/missile/missile_arrow/missile_arrow.vrp,0.7,,,,,attack_hack,instant,physical,,0,,basic,1,,enemy_distance_line,1,0,1,atk,,보스_단일_일반,100,450,,1,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,직선으로 이동하는 원거리 공격,,
231009,code,missile_move_guide,일반 공격,엘리트 일반 공격,res/ui/icons/skill/200243.png,res/missile/missile_arrow/missile_arrow.vrp,0.7,,,,,attack,instant,physical,,0,,basic,1,,enemy_distance_line,1,0,1,atk,,보스_단일_일반,100,450,,1,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,직선으로 이동하는 원거리 공격,,
231011,script,skill_elite_killerbee_1,미니비 소환,엘리트_킬러비,res/ui/icons/skill/200521.png,res/missile/missile_sting/missile_sting.png,1,res/missile/motion_streak/motion_streak_line_@.png,,,,skill_1,instant,physical,,-2,,indie_turn,5,,enemy_distance_line,1,0,1,atk,,보스_단일_스킬,30,900,,1,,,,,def_down,target,,skill_end,10,20,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,작은 벌을 소환해 대상에게 큰 피해를 줍니다.,,,
231012,script,skill_elite_killerbee_2,미니비 소환,엘리트_킬러비,res/ui/icons/skill/200535.png,res/missile/missile_sting/missile_sting.png,1,res/missile/motion_streak/motion_streak_line_@.png,,,,skill_1,instant,physical,,-2,,indie_turn,5,,enemy_distance_line,1,0,1,atk,,보스_단일_스킬,30,900,,1,,,,,def_down,target,,skill_end,10,20,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,작은 벌을 소환해 대상에게 큰 피해를 줍니다.,,,
231021,script,skill_elite_rafflesia_1,꽃잎 날리기,엘리트_라플레시아,res/ui/icons/skill/200913.png,res/effect/skill_life_link_plant/skill_life_link_plant.spine,1,,,,,attack,instant,magical,,-1,,indie_turn,5,,enemy_random,1,2,1,atk,,보스_단일_스킬,75,900,,1,,,,,dot_damage,target,,skill_end,10,20,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적을 추적하는 꽃잎을 날려 대상에게 큰 피해를 줍니다.,,,
231022,script,skill_elite_rafflesia_2,꽃잎 날리기,엘리트_라플레시아,res/ui/icons/skill/200811.png,res/effect/skill_life_link_plant/skill_life_link_plant.spine,1,,,,,attack,instant,magical,,-1,,indie_turn,5,,enemy_random,1,2,1,atk,,보스_단일_스킬,10,900,,1,,,,,dot_damage,target,,skill_end,10,20,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적을 추적하는 꽃잎을 날려 대상에게 큰 피해를 줍니다.,,,
231031,script,skill_elite_owlbear_1,깃털 폭풍,엘리트_아울베어,res/ui/icons/skill/800121.png,res/missile/missile_feather/missile_feather.png,1,,,,,skill_1,instant,physical,,-2,,indie_turn,5,,enemy_distance_line,1,0,1,atk,탄막,보스_광역_스킬,75,600,,1,,,,,atk_down,target,,skill_end,10,20,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전 방위에 보통의 피해를 줍니다.,,,
231032,script,skill_elite_owlbear_2,깃털 폭풍,엘리트_아울베어,res/ui/icons/skill/800923.png,res/missile/missile_feather/missile_feather.png,1,,,,,skill_1,instant,physical,,-2,,indie_turn,5,,enemy_distance_line,1,0,1,atk,탄막,보스_광역_스킬,75,600,,1,,,,,atk_down,target,,skill_end,10,20,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전 방위에 보통의 피해를 줍니다.,,,
231040,code,missile_move_straight,도토리 연사,엘리트_다람쥐 리더,res/ui/icons/skill/800321.png,res/missile/missile_nut/missile_nut.png,0.7,,,,,attack,instant,physical,,-1,,basic,1.2,,enemy_distance_line,1,0,1,atk,,보스_단일_일반,25,112.5,,4,100,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연속으로 공격해 보통의 피해를 줍니다.,직선으로 이동하는 원거리 공격,,
231041,script,skill_elite_squirrel_leader_1,도토리 폭탄,엘리트_다람쥐 리더,res/ui/icons/skill/205411.png,,1,,,,,skill_2,instant,magical,RM14,-2,,indie_turn,5,,enemy_distance_line,1,2,1,atk,탄막,보스_광역_스킬,20,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,폭발 하는 도토리를 던져 전방위에 보통의 피해를 줍니다.,,,
231042,script,skill_elite_squirrel_leader_2,도토리 폭탄,엘리트_다람쥐 리더,res/ui/icons/skill/203311.png,,1,,,,,skill_2,instant,magical,RM14,-2,,indie_turn,5,,enemy_distance_line,1,2,1,atk,탄막,보스_광역_스킬,20,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,폭발 하는 도토리를 던져 전방위에 보통의 피해를 줍니다.,,,
231051,script,skill_elite_highelemental_earth_1,대지정령 스킬,,res/ui/icons/skill/204725.png,,1,,,,,attack,instant,magical,,-2,,indie_turn,4,,enemy_distance_line,1,2,1,atk,탄막,보스_광역_스킬,50,600,,1,,,,,stun,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전 방위로 퍼지는 바위를 날려 피해를 받은 대상을 기절 시킵니다.,,,
231052,script,skill_elite_highelemental_earth_2,대지정령 스킬,,res/ui/icons/skill/204725.png,,1,,,,,attack,instant,magical,,-2,,indie_turn,4,,enemy_distance_line,1,2,1,atk,탄막,보스_광역_스킬,50,600,,1,,,,,stun,target,,skill_end,10,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전 방위로 퍼지는 바위를 날려 피해를 받은 대상을 기절 시킵니다.,,,
231061,script,skill_elite_lizard_man_shaman_1,불의 비,엘리트_도마뱀 인간 주술사,res/ui/icons/skill/205712.png,,1,,,,,skill_1,instant,physical,,0,,indie_turn,5,,enemy_distance_line,1,2,1,atk,탄막,보스_광역_스킬,150,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상단에 위치한 대상에게 큰 피해를 줍니다.,,,
231062,script,skill_elite_lizard_man_shaman_2,독의 비,엘리트_도마뱀 인간 주술사,res/ui/icons/skill/205712.png,,1,,,,,skill_1,instant,physical,,0,,indie_turn,5,,enemy_random,3,2,1,"atk + atk * 0.5 * TARGET_STATUSEFFECT('dot_dmg' , 'type')",탄막,보스_광역_스킬,50,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상단에 위치한 대상에게 큰 피해를 줍니다.,,,
231071,script,skill_elite_gargoyle_1,박쥐 소환,엘리트_가고일,res/ui/icons/skill/205742.png,,1,,,,,skill_1,instant,physical,RM14,0,,indie_turn,5,,enemy_distance_line,1,2,1,atk,탄막,보스_광역_스킬,50,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전방으로 넓게 퍼지며 공격하는 박쥐 무리를 소환합니다.,,,
231072,script,skill_elite_gargoyle_2,박쥐 소환,엘리트_가고일,res/ui/icons/skill/205742.png,,1,,,,,skill_1,instant,physical,RM14,0,,indie_turn,5,,enemy_random,1,2,1,atk,탄막,보스_광역_스킬,10,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대상에게 집중 공격하는 박쥐를 소환해 큰 피해를 줍니다.,,,
231091,script,skill_elite_mermaid_1,아쿠아드릴,엘리트_인어,res/ui/icons/skill/206112.png,res/missile/missile_spearfish/missile_spearfish.vrp,1,res/missile/motion_streak/motion_streak_water.png,,,,attack,instant,magical,,-1,,indie_turn,5,,enemy_random,4,0,1,atk,탄막,보스_광역_스킬,100,600,,1,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전 방위에 넓게 퍼지며 보통의 피해를 줍니다.,,,
231092,script,skill_elite_mermaid_2,아쿠아드릴,엘리트_인어,res/ui/icons/skill/801221.png,res/missile/missile_spearfish/missile_spearfish.vrp,1,res/missile/motion_streak/motion_streak_water.png,,,,attack,instant,magical,,-2,,indie_turn,5,,enemy_random,1,0,1,atk,탄막,보스_단일_스킬,20,900,,1,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대상에게 집중 공격하여 큰 피해를 줍니다.,,,
