item,category,t_name,t_desc,icon,type,full_type,attr,role,color,rarity,grade,evolution,did,count,sale_price,get_region,package
701011,stack,하급 진화의 보석,또 다른 차원에서 온 신비한 빛을 띈 보석의 파편. 드래곤에게 이 보석을 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_common_01.png,evolution_stone,evolution_stone_common_01,,,,,1,,,1,100,,
701012,stack,중급 진화의 보석,또 다른 차원에서 온 신비한 빛을 띈 보석. 드래곤에게 이 보석을 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_common_02.png,evolution_stone,evolution_stone_common_02,,,,,2,,,1,400,,
701013,stack,상급 진화의 보석,또 다른 차원에서 온 신비한 빛을 띄고 있는 결정. 드래곤에게 이 보석을 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_common_03.png,evolution_stone,evolution_stone_common_03,,,,,3,,,1,800,,
701014,stack,최상급 진화의 보석,또 다른 차원에서 온 신비한 빛의 정수. 드래곤에게 이 보석을 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_common_04.png,evolution_stone,evolution_stone_common_04,,,,,4,,,1,1600,,
701111,stack,하급 땅의정기,대지의 위대함이 느껴지는 작은 원소. 땅속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_earth_01.png,evolution_stone,evolution_stone_earth_01,earth,,,,1,,,1,100,1210101;1210102;1210103,
701112,stack,중급 땅의정기,대지의 위대함이 느껴지는 땅의 원소. 땅속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_earth_02.png,evolution_stone,evolution_stone_earth_02,earth,,,,2,,,1,400,1210101;1210102;1210103,
701113,stack,상급 땅의 정기,대지의 위대함이 느껴지는 땅의 정수. 땅속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_earth_03.png,evolution_stone,evolution_stone_earth_03,earth,,,,3,,,1,800,1210101;1210102;1210103,
701114,stack,최상급 땅의 정기,대지의 위대함이 느껴지는 순수한 땅의 정기. 땅속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_earth_04.png,evolution_stone,evolution_stone_earth_04,earth,,,,4,,,1,1600,,
701121,stack,하급 물의 정기,모든 것을 정화시키는 맑은 기운을 가진 작은 원소. 물속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_water_01.png,evolution_stone,evolution_stone_water_01,water,,,,1,,,1,100,1210201;1210202;1210203,
701122,stack,중급 물의 정기,모든 것을 정화시키는 맑은 기운을 가진 물의 원소. 물속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_water_02.png,evolution_stone,evolution_stone_water_02,water,,,,2,,,1,400,1210201;1210202;1210203,
701123,stack,상급 물의 정기,모든 것을 정화시키는 맑은 기운을 가진 물의 정수. 물속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_water_03.png,evolution_stone,evolution_stone_water_03,water,,,,3,,,1,800,1210201;1210202;1210203,
701124,stack,최상급 물의 정기,모든 것을 정화시키는 맑은 기운을 가진 순수한 물의 정기. 물속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_water_04.png,evolution_stone,evolution_stone_water_04,water,,,,4,,,1,1600,,
701131,stack,하급 불의 정기,접근하면 불타버릴 만큼의 열기를 가진작은 원소. 불속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_fire_01.png,evolution_stone,evolution_stone_fire_01,fire,,,,1,,,1,100,1210301;1210302;1210303,
701132,stack,중급 불의 정기,접근하면 불타버릴 만큼의 열기를 가진불의 원소. 불속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_fire_02.png,evolution_stone,evolution_stone_fire_02,fire,,,,2,,,1,400,1210301;1210302;1210303,
701133,stack,상급 불의 정기,접근하면 불타버릴 만큼의 열기를 가진불의 정수. 불속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_fire_03.png,evolution_stone,evolution_stone_fire_03,fire,,,,3,,,1,800,1210301;1210302;1210303,
701134,stack,최상급 불의 정기,접근하면 불타버릴 만큼의 열기를 가진순수한 불의 정기. 불속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_fire_04.png,evolution_stone,evolution_stone_fire_04,fire,,,,4,,,1,1600,,
701141,stack,하급 빛의 정기,쳐다 볼 수 없을 정도로 밝게 빛나는작은 원소. 빛속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_light_01.png,evolution_stone,evolution_stone_light_01,light,,,,1,,,1,100,1210401;1210402;1210403,
701142,stack,중급 빛의 정기,쳐다 볼 수 없을 정도로 밝게 빛나는빛의 원소. 빛속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_light_02.png,evolution_stone,evolution_stone_light_02,light,,,,2,,,1,400,1210401;1210402;1210403,
701143,stack,상급 빛의 정기,쳐다 볼 수 없을 정도로 밝게 빛나는빛의 정수. 빛속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_light_03.png,evolution_stone,evolution_stone_light_03,light,,,,3,,,1,800,1210401;1210402;1210403,
701144,stack,최상급 빛의 정기,쳐다 볼 수 없을 정도로 밝게 빛나는순수한 빛의 정기. 빛속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_light_04.png,evolution_stone,evolution_stone_light_04,light,,,,4,,,1,1600,,
701151,stack,하급 어둠의 정기,무겁게 가라앉은 심연의 작은 원소. 어둠속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_dark_01.png,evolution_stone,evolution_stone_dark_01,dark,,,,1,,,1,100,1210501;1210502;1210503,
701152,stack,중급 어둠의 정기,무겁게 가라앉은 심연의 어둠의 원소. 어둠속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_dark_02.png,evolution_stone,evolution_stone_dark_02,dark,,,,2,,,1,400,1210501;1210502;1210503,
701153,stack,상급 어둠의 정기,무겁게 가라앉은 심연의 어둠의 정수. 어둠속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_dark_03.png,evolution_stone,evolution_stone_dark_03,dark,,,,3,,,1,800,1210501;1210502;1210503,
701154,stack,최상급 어둠의 정기,무겁게 가라앉은 심연의 순수한 어둠의 정기. 어둠속성 드래곤에게 선물하면 드래곤이 옛 모습을 되찾을 수 있다고 한다.,res/ui/icon/item/evolution_stone_dark_04.png,evolution_stone,evolution_stone_dark_04,dark,,,,4,,,1,1600,,
701210,stack,이계의 알,방어형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_tanker_03.png,evolution_stone,evolution_stone_tanker_03,,tanker,,,1,,,1,123,,
701211,stack,운석 잔해,방어형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_tanker_01.png,evolution_stone,evolution_stone_tanker_01,,tanker,,,2,,,1,124,,
701212,stack,응축 원기,방어형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_tanker_02.png,evolution_stone,evolution_stone_tanker_02,,tanker,,,3,,,1,125,,
701220,stack,고대의 열매,공격형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_dealer_03.png,evolution_stone,evolution_stone_dealer_03,,dealer,,,1,,,1,126,,
701221,stack,세계수의 씨앗,공격형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_dealer_02.png,evolution_stone,evolution_stone_dealer_02,,dealer,,,2,,,1,127,,
701222,stack,식지않는 용암,공격형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_dealer_01.png,evolution_stone,evolution_stone_dealer_01,,dealer,,,3,,,1,128,,
701230,stack,영롱한 바위,보조형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_supporer_03.png,evolution_stone,evolution_stone_supporer_03,,supporter,,,1,,,1,129,,
701231,stack,수정 사과,보조형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_supporter_02.png,evolution_stone,evolution_stone_supporter_02,,supporter,,,2,,,1,130,,
701232,stack,바람의 결정,보조형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_supporter_01.png,evolution_stone,evolution_stone_supporter_01,,supporter,,,3,,,1,131,,
701240,stack,고대 양모,회복형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_healer_01.png,evolution_stone,evolution_stone_healer_01,,healer,,,1,,,1,132,,
701241,stack,수정 용상,회복형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_healer_02.png,evolution_stone,evolution_stone_healer_02,,healer,,,2,,,1,133,,
701242,stack,치유의 성배,회복형 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_healer_03.png,evolution_stone,evolution_stone_healer_03,,healer,,,3,,,1,134,,
702013,stack,하급 불의 열매,화산 지대에서만 먹을 수 있는 열대 과일. 아직 딱딱하지만 불 속성 드래곤들은 즐겨 먹는다고 한다.,res/ui/icon/item/fruit_fire_01.png,fruit,fruit_fire_01,fire,,,,1,,,1,100,1230301;1230302,
702023,stack,중급 불의 열매,화산 지대에서만 먹을 수 있는 열대 과일. 강한 단 맛이 나서 불 속성 드래곤들이 먹으면 기분이 좋아진다.,res/ui/icon/item/fruit_fire_02.png,fruit,fruit_fire_02,fire,,,,2,,,1,400,1230302;1230303;1230304,
702033,stack,상급 불의 열매,화산 지대에서만 먹을 수 있는 잘 익은 열대 과일. 녹아버릴 듯한 단 맛에 불 속성 드래곤들에게 선물하면 매우 고마워한다.,res/ui/icon/item/fruit_fire_03.png,fruit,fruit_fire_03,fire,,,,3,,,1,800,1230304;1230305,
702043,stack,최상급 불의 열매,화산 지대에서만 먹을 수 있는 완전히 익은 열대 과일. 잊을 수 없는 강렬한 단 맛에 불 속성 드래곤들이 보면 참지 못하고 먹어치운다고 한다.,res/ui/icon/item/fruit_fire_04.png,fruit,fruit_fire_04,fire,,,,4,,,1,1300,1230305;1230306,
702012,stack,하급 물의 열매,아주 맑은 호수에서만 자랄 수 있는 물사과. 크기는 작지만 물 속성 드래곤들은 즐겨 먹는다고 한다.,res/ui/icon/item/fruit_water_01.png,fruit,fruit_water_01,water,,,,1,,,1,100,1230201;1230202,
702022,stack,중급 물의 열매,아주 맑은 호수에서만 자랄 수 있는 물사과. 청량한 단 맛에 물 속성 드래곤들이 먹으면 기분이 좋아진다.,res/ui/icon/item/fruit_water_02.png,fruit,fruit_water_02,water,,,,2,,,1,400,1230202;1230203;1230204,
702032,stack,상급 물의 열매,아주 맑은 호수에서만 자랄 수 있는 잘 익은 물사과. 씹으면 톡 터지는 과즙에 물 속성 드래곤들에게 선물하면 매우 고마워한다.,res/ui/icon/item/fruit_water_03.png,fruit,fruit_water_03,water,,,,3,,,1,800,1230204;1230205,
702042,stack,최상급 물의 열매,아주 맑은 호수에서만 자랄 수 있는 물사과로 만든 칵테일. 한 여름 더위도 날려버리는 시원함에 물 속성 드래곤들이 보면 참지 못하고 먹어치운다고 한다.,res/ui/icon/item/fruit_water_04.png,fruit,fruit_water_04,water,,,,4,,,1,1300,1230205;1230206,
702011,stack,하급 땅의 열매,오염되지 않은 땅에서 자라는 젤리 열매. 아직은 질기지만 땅 속성 드래곤들은 즐겨 먹는다고 한다.,res/ui/icon/item/fruit_earth_01.png,fruit,fruit_earth_01,earth,,,,1,,,1,100,1230101;1230102,
702021,stack,중급 땅의 열매,오염되지 않은 땅에서 자라는 젤리 열매. 젤리가 두 개나 들어 있어 땅 속성 드래곤들이 먹으면 기분이 좋아진다.,res/ui/icon/item/fruit_earth_02.png,fruit,fruit_earth_02,earth,,,,2,,,1,400,1230102;1230103;1230104,
702031,stack,상급 땅의 열매,오염되지 않은 땅에서 자라는 잘 익은 젤리 열매. 기분이 좋아지는 단맛이 있어 땅 속성 드래곤들에게 선물하면 매우 고마워한다.,res/ui/icon/item/fruit_earth_03.png,fruit,fruit_earth_03,earth,,,,3,,,1,800,1230104;1230105,
702041,stack,최상급 땅의 열매,오염되지 않은 땅에서 자라는 젤리 열매를 시원하게 굳힌 아이스 젤리. 사르르 녹아버리는 느낌을 좋아하는 땅 속성 드래곤들이 보면 참지 못하고 먹어치운다고 한다.,res/ui/icon/item/fruit_earth_04.png,fruit,fruit_earth_04,earth,,,,4,,,1,1300,1230105;1230106,
702014,stack,하급 빛의 열매,햇빛이 많이 드는 곳에서만 볼 수 있는 배 열매. 아직은 덜 익었지만 빛 속성 드래곤들은 즐겨 먹는다고 한다.,res/ui/icon/item/fruit_light_01.png,fruit,fruit_light_01,light,,,,1,,,1,100,1230401;1230402,
702024,stack,중급 빛의 열매,햇빛이 많이 드는 곳에서만 볼 수 있는 배 열매. 은은한 단맛에 빛 속성 드래곤들이 먹으면 기분이 좋아진다.,res/ui/icon/item/fruit_light_02.png,fruit,fruit_light_02,light,,,,2,,,1,400,1230402;1230403;1230404,
702034,stack,상급 빛의 열매,햇빛이 많이 드는 곳에서만 볼 수 있는 잘 익은 배. 시원한 단 맛에 빛 속성 드래곤들에게 선물하면 매우 고마워한다.,res/ui/icon/item/fruit_light_03.png,fruit,fruit_light_03,light,,,,3,,,1,800,1230404;1230405,
702044,stack,최상급 빛의 열매,햇빛이 많이 드는 곳에서만 볼 수 있는 배로 만든 디저트. 단맛을 좋아하는 빛 속성 드래곤들이 보면 참지 못하고 먹어치운다고 한다.,res/ui/icon/item/fruit_light_04.png,fruit,fruit_light_04,light,,,,4,,,1,1300,1230405;1230406,
702015,stack,하급 어둠의 열매,어두운 곳에서만 자란다는 체리의 풋열매.아직은 냄새가 좋지 않지만 어둠 속성 드래곤들은 즐겨 먹는다고 한다.,res/ui/icon/item/fruit_dark_01.png,fruit,fruit_dark_01,dark,,,,1,,,1,100,1230501;1230502,
702025,stack,중급 어둠의 열매,어두운 곳에서만 자란다는 체리 열매. 새콤 달콤한 그 맛에 어둠 속성 드래곤들이 먹으면 기분이 좋아진다.,res/ui/icon/item/fruit_dark_02.png,fruit,fruit_dark_02,dark,,,,2,,,1,400,1230502;1230503;1230504,
702035,stack,상급 어둠의 열매,어두운 곳에서만 자란다는 잘 익은 체리. 잘 익어 달콤해진 맛에 어둠 속성 드래곤들에게 선물하면 매우 즐거워한다.,res/ui/icon/item/fruit_dark_03.png,fruit,fruit_dark_03,dark,,,,3,,,1,800,1230504;1230505,
702045,stack,최상급 어둠의 열매,어두운 곳에서만 자란다는 체리를 이용해 만든 빙수. 어른의 맛에 어둠 속성 드래곤들이 보면 참지 못하고 먹어치운다고 한다.,res/ui/icon/item/fruit_dark_04.png,fruit,fruit_dark_04,dark,,,,4,,,1,1300,1230505;1230506,
702091,stack,하급 열매들,모든 종류의 하급 열매들을 얻을 수 있습니다.,res/ui/icon/item/fruit_bundle_01.png,rand,fruit_bundle_01,display,,,,1,,,1,160,,
702092,stack,중급 열매들,모든 종류의 중급 열매들을 얻을 수 있습니다.,res/ui/icon/item/fruit_bundle_02.png,rand,fruit_bundle_02,display,,,,2,,,1,161,,
702093,stack,상급 열매들,모든 종류의 상급 열매들을 얻을 수 있습니다.,res/ui/icon/item/fruit_bundle_03.png,rand,fruit_bundle_03,display,,,,3,,,1,162,,
702094,stack,최상급 열매들,모든 종류의 특급 열매들을 얻을 수 있습니다.,res/ui/icon/item/fruit_bundle_04.png,rand,fruit_bundle_04,display,,,,4,,,1,163,,
703001,stack,신화의 알,{@YELLOW}5등급 드래곤{@DESC2}을 얻을 수 있는 알. 운이 좋으면 전설의 그 드래곤을 만나게 될지도...?,res/ui/icon/item/egg_super_myth.png,egg,egg_super_myth,,,,,2,,,1,,,
703002,stack,기적의 알,{@YELLOW}4등급 드래곤{@DESC2}을 얻을 수 있는 알. 운이 좋으면 전설의 그 드래곤을 만나게 될지도...?,res/ui/icon/item/egg_super_miracle.png,egg,egg_super_miracle,,,,,2,,,1,,,
703003,stack,초월의 알,{@YELLOW}4~5등급 드래곤{@DESC2}을 하나를 얻을 수 있는 알. 운이 좋으면 전설의 그 드래곤을 만나게 될지도...?,res/ui/icon/item/egg_super_transcendence.png,egg,egg_super_transcendence,,,,,2,,,1,,,
703004,stack,환상의 알,{@YELLOW}3~5등급 드래곤{@DESC2}을 하나를 얻을 수 있는 알. 운이 좋으면 전설의 그 드래곤을 만나게 될지도...?,res/ui/icon/item/egg_super_illusion.png,egg,egg_super_illusion,,,,,2,,,1,,,
703005,stack,전설의 알,전설로만 전해지던 고대의 알로 {@YELLOW}5등급 드래곤{@DESC2}을 얻을 수 있다.,res/ui/icon/item/egg_high_legend.png,egg,egg_high_legend,,,,,2,,,1,,,
703006,stack,영웅의 알,영웅들의 정기가 깃든 알로 {@YELLOW}4등급 드래곤{@DESC2}을 얻을 수 있다.,res/ui/icon/item/egg_high_hero.png,egg,egg_high_hero,,,,,2,,,1,,,
703007,stack,대지의 알,"대지의 기운이 깃든 알로, {@YELLOW}3~5등급 땅속성 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_attr_earth.png,egg,egg_attr_earth,,,,,2,,,1,,,
703008,stack,얼음의 알,"빙하의 냉기이 깃든 알로, {@YELLOW}3~5등급 물속성 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_attr_water.png,egg,egg_attr_water,,,,,2,,,1,,,
703009,stack,화염의 알,"용암의 열기가 깃든 알로, {@YELLOW}3~5등급 불속성 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_attr_fire.png,egg,egg_attr_fire,,,,,2,,,1,,,
703010,stack,신성의 알,"태양의 섬광이 깃든 알로, {@YELLOW}3~5등급 빛속성 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_attr_light.png,egg,egg_attr_light,,,,,2,,,1,,,
703011,stack,암흑의 알,"심연의 어둠이 깃든 알로, {@YELLOW}3~5등급 어둠속성 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_attr_dark.png,egg,egg_attr_dark,,,,,2,,,1,,,
703012,stack,수호의 알,"수호의 정령의 축복을 받은 알로, {@YELLOW}3~5등급 방어형 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_role_tanker.png,egg,egg_role_tanker,,,,,2,,,1,,,
703013,stack,맹수의 알,"전쟁신의 축복을 받은 알로, {@YELLOW}3~5등급 공격형 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_role_dealer.png,egg,egg_role_dealer,,,,,2,,,1,,,
703014,stack,치유의 알,"대지신의 가호를 받은 알로, {@YELLOW}3~5등급 회복형 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_role_healer.png,egg,egg_role_healer,,,,,2,,,1,,,
703015,stack,보호의 알,"풍요의 여신이 보호하고 있는 알로, {@YELLOW}3~5등급 지원형 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_role_supporter.png,egg,egg_role_supporter,,,,,2,,,1,,,
703016,stack,신비의 알,"은은하게 빛나는 신비한 느낌의 알로, {@YELLOW}3~5등급 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_middle_mystery.png,egg,egg_middle_mystery,,,,,2,,,1,,,
703017,stack,미지의 알,"미지의 세계에서 흔히 볼 수 있는 알로, {@YELLOW}1~3등급 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_common_unknown.png,egg,egg_common_unknown,,,,,1,,,1,,,
703018,stack,비밀의 알,"어디에서 왔는지 알 수 없는 비밀이 많은 알로, {@YELLOW}3등급 드래곤{@DESC2}을 얻을 수 있다.",res/ui/icon/item/egg_middle_secret.png,egg,egg_middle_secret,,,,,2,,,1,,,
704001,stack,1~2등급 룬,1~2등급 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_grade_12,,,,,,,,1,5000,,
704002,stack,2~3등급 룬,2~3등급 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_grade_23,,,,,,,,1,5000,,
704003,stack,3~4등급 룬,3~4등급 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_grade_34,,,,,,,,1,5000,,
704004,stack,4~5등급 룬,4~5등급 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_grade_45,,,,,,,,1,5000,,
704005,stack,5~6등급 룬,5~6등급 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_grade_45,,,,,,,,1,5000,,
704011,stack,4~6등급 체력 세트 룬,4~6등급 체력 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_1_46,,,,,,,,1,5000,,
704012,stack,4~6등급 기회 세트 룬,4~6등급 기회 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_2_46,,,,,,,,1,5000,,
704013,stack,4~6등급 적중 세트 룬,4~6등급 적중 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_3_46,,,,,,,,1,5000,,
704014,stack,4~6등급 견고 세트 룬,4~6등급 견고 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_4_46,,,,,,,,1,5000,,
704015,stack,4~6등급 저항 세트 룬,4~6등급 저항 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_5_46,,,,,,,,1,5000,,
704016,stack,4~6등급 강렬 세트 룬,4~6등급 강렬 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_6_46,,,,,,,,1,5000,,
704017,stack,4~6등급 피해 세트 룬,4~6등급 피해 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_7_46,,,,,,,,1,5000,,
704018,stack,4~6등급 쾌속 세트 룬,4~6등급 쾌속 세트 룬 1개 구매,res/ui/icon/item/developing.png,ticket,rune_ticket_set_8_46,,,,,,,,1,5000,,
704021,stack,1등급 룬,1등급 룬 1개 획득 가능,res/ui/icon/rune/rune_all_01.png,ticket,rune_ticket_set_1,,,,,,,,1,5000,,
704022,stack,2등급 룬,2등급 룬 1개 획득 가능,res/ui/icon/rune/rune_all_02.png,ticket,rune_ticket_set_2,,,,,,,,1,5000,,
704023,stack,3등급 룬,3등급 룬 1개 획득 가능,res/ui/icon/rune/rune_all_03.png,ticket,rune_ticket_set_3,,,,,,,,1,5000,,
704024,stack,4등급 룬,4등급 룬 1개 획득 가능,res/ui/icon/rune/rune_all_04.png,ticket,rune_ticket_set_4,,,,,,,,1,5000,,
704025,stack,5등급 룬,5등급 룬 1개 획득 가능,res/ui/icon/rune/rune_all_05.png,ticket,rune_ticket_set_5,,,,,,,,1,5000,,
704026,stack,6등급 룬,6등급 룬 1개 획득 가능,res/ui/icon/rune/rune_all_06.png,ticket,rune_ticket_set_6,,,,,,,,1,5000,,
710111,object,체력 1번 룬,1등급 체력 1번 룬,,rune,rune_slot1_set1_01,,,,,1,,,1,100,1220001;1110112;1110101,
710112,object,체력 1번 룬,2등급 체력 1번 룬,,rune,rune_slot1_set1_02,,,,,2,,,1,400,1220002;1110712;1110701,
