type,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,r_comment
RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,RM14,
RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,RM15,
RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,RM16,
RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,RM17,
RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,RM21,
RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,RM22,
RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,RM23,
RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,RM24,
RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,RM25,
RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,RM26,
RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,RM27,
RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,RB11,
RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,RB12,
RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,RB13,
RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,RB14,
RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,RB15,
RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,RB16,
RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,RB17,
RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,RB21,
RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,RB22,
RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,RB23,
RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,RB24,
RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,RB25,
RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,RB26,
RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,RB27,
c1_s1_1,RF14,RM12,RB14,RM16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s1_2,RF13,RF15,RM12,RM16,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s1_3,RF23,RF25,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s2_1,RF12,RF16,RM14,RB12,RB16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s2_2,RB12,RB16,RM13,RM15,RF12,RF16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s2_3,RF22,RF26,RB22,RB26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s3_1,RF22,RF14,RF26,RM14,RM23,RM25,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s3_2,RF14,RF22,RF26,RM14,RM23,RM25,RB12,RB16,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s3_3,RF13,RF15,RF24,RM12,RM16,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s4_1,RF21,RF12,RF23,RF16,RF25,RF27,RM23,RM25,RB14,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s4_2,RF12,RF23,RM11,RF16,RF25,RM17,RB13,RB15,RB24,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s4_3,RF12,RF16,RM27,RB24,RM21,RM14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s5_1,RM14,RF22,RF13,RF15,RF26,RM25,RM23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s5_2,RF23,RF14,RF25,RM22,RM14,RM26,RB23,RB14,RB25,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s5_3,RM11,RB12,RB24,RB16,RM17,RM14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s6_1,RF13,RB25,RF22,RB16,RM11,RM27,RM21,RM17,RB12,RF26,RB23,RF15,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s6_2,RF17,RB21,RF26,RB12,RM17,RM21,RM26,RM12,RB17,RF21,RB26,RF12,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s6_3,RF14,RF22,RF26,RM14,RM21,RM27,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s7_1,RB12,RM23,RM14,RF25,RF16,RF12,RF23,RM25,RB16,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s7_2,RM12,RF22,RF13,RF14,RF15,RF26,RM16,RM26,RB15,RB14,RB13,RM22,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s7_3,RF13,RF15,RF22,RF26,RM21,RM27,RM27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s8_1,RB12,RM21,RM11,RF21,RF12,RF13,RF24,RM14,RM24,RB15,RB16,RM27,RM17,RF27,RF16,x,x,x,x,x,x,모험모드 기본 진형
c1_s8_2,RF22,RM11,RM21,RB12,RF26,RM17,RM27,RB16,RF14,RB24,RM14,RM24,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c1_s8_3,RB14,RM11,RM17,RB21,RB27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s1_1,RM14,RF12,RF16,RB13,RB15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s1_2,RF12,RF16,RB16,RB12,RM14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s1_3,RB14,RM21,RM27,RF22,RF26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s2_1,RF12,RF16,RF24,RM11,RM17,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s2_2,RF14,RB13,RB15,RM11,RM17,RM14,RF22,RF26,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s2_3,RB14,RB11,RM13,RM15,RB17,RF12,RF16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s3_1,RM23,RM14,RM25,RB14,RF22,RF26,RB22,RB26,RF14,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s3_2,RF14,RF22,RF26,RM22,RM26,RB11,RB13,RB15,RB17,RM14,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s3_3,RM24,RF22,RF26,RM21,RM27,RB22,RB26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s4_1,RF12,RF25,RF14,RF23,RF16,RM22,RB15,RM24,RB13,RM26,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s4_2,RF12,RF14,RF16,RM11,RM14,RM17,RB12,RB24,RB16,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s4_3,RF12,RF16,RM11,RM17,RM14,RB24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s5_1,RF22,RB13,RM14,RB15,RF26,RF14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s5_2,RF13,RF15,RM12,RM14,RM16,RB13,RB15,RB22,RB26,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s5_3,RM24,RF22,RF26,RM21,RM27,RB24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s6_1,RF12,RF14,RF16,RM12,RM14,RM16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s6_1_2,RM12,RM14,RM16,RF12,RF14,RF16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s6_2,RF14,RF23,RF25,RM14,RM22,RB13,RB15,RM26,RF11,RF17,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s6_3,RF11,RF17,RF21,RF27,RM11,RM17,RM21,RM27,RB11,RB17,RB22,RB23,RB24,RB25,RB26,RM14,x,x,x,x,x,모험모드 기본 진형
c2_s7_1,RB13,RB15,RM11,RM22,RM26,RM17,RF12,RF24,RF16,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s7_2,RF14,RF22,RF26,RM22,RM26,RB14,RM14,RB23,RB25,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s7_3,RF11,RF17,RF22,RF14,RF26,RM24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s8_1,RB13,RM24,RM16,RF27,RF16,RB15,RM12,RF21,RF12,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s8_2,RF21,RF12,RF16,RF27,RB17,RB26,RB22,RB11,RM14,RM23,RM25,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c2_s8_3,RF14,RF21,RF27,RM24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s1_1,RF13,RF15,RM12,RM16,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s1_2,RF13,RF24,RF15,RB13,RM24,RB15,RM12,RM16,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s1_3,RB24,RF12,RF24,RF16,RM21,RM27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s2_1,RF13,RF15,RF24,RM11,RM17,RM24,RB12,RB16,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s2_2,RF12,RF14,RF16,RB12,RB14,RB16,RM12,RM16,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s2_3,RM14,RB12,RB16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s3_1,RM24,RB13,RB15,RB24,RF11,RF14,RF17,RF23,RF25,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s3_2,RF12,RF16,RF24,RM24,RB12,RB16,RM11,RM17,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s3_3,RM24,RB27,RB21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s4_1,RF16,RF14,RF12,RM13,RB16,RM15,RB14,RB12,RM11,RM17,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s4_2,RM23,RM25,RB23,RB25,RF11,RF13,RF15,RF17,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s4_3,RB11,RB17,RB24,RM14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s5_1,RB12,RB16,RM11,RM17,RF12,RF16,RF23,RF25,RM14,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s5_2,RB13,RB15,RM21,RM27,RF21,RF27,RF12,RF16,RM12,RM16,RB24,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s5_3,RM24,RF22,RF14,RF26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s6_1,RM14,RF12,RM22,RM26,RF25,RF16,RF23,RB14,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s6_2,RF13,RF15,RF22,RF26,RM21,RM13,RM15,RM27,RB22,RB26,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s6_3,RM24,RF13,RF15,RF21,RF27,RB21,RB27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s7_1,RB12,RB16,RM23,RM25,RF22,RF24,RF26,RF13,RF15,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s7_2,RF12,RF21,RM12,RF16,RF27,RM16,RM24,RB13,RB15,RB24,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s7_3,RM21,RM27,RB12,RB16,RB24,RM14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s8_1,RM23,RM25,RB12,RB16,RB23,RB25,RF14,RF22,RF26,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s8_2,RF12,RF21,RF23,RF16,RF25,RF27,RM23,RM25,RB14,RB23,RB25,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c3_s8_3,RM24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s1_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s1_2,RF13,RF15,RB13,RB15,RF22,RF26,RM22,RM26,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s1_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s2_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s2_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s2_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s3_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s3_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s3_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s4_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s4_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s4_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s5_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s5_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s5_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s6_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s6_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s6_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s7_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s7_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s7_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s8_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s8_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c4_s8_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s1_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s1_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s1_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s2_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s2_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s2_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s3_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s3_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s3_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s4_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s4_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s4_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s5_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s5_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s5_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s6_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s6_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s6_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s7_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s7_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s7_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s8_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s8_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c5_s8_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s1_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s1_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s1_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s2_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s2_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s2_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s3_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s3_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s3_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s4_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s4_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s4_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s5_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s5_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s5_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s6_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s6_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s6_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s7_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s7_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s7_3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s8_1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
c6_s8_2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,모험모드 기본 진형
