content_name,res,screenshot,t_desc_2,t_open_desc,t_help_desc,t_name
forest,res/ui/icons/content/dragon_forest.png,res/ui/icons/content/help/forest.png,"날개, 다이아, 골드 획득 가능","테이머님과 드래곤이 휴식하고 서로 교감할 수 있는 숲입니다.\n{@YELLOW}숲의 레벨{@DEFAULT}을 올리면 더 많은 드래곤이 머무를 수 있고,\n시설의 레벨을 올릴 수 있어 보다 많은 보상을 얻을 수 있습니다.","테이머님과 드래곤이 휴식하고 서로 교감할 수 있는 숲입니다.\n\n{@YELLOW}숲의 레벨{@DEFAULT}을 올리면 더 많은 드래곤이 머무를 수 있고,\n시설의 레벨을 올릴 수 있어 보다 많은 보상을 얻을 수 있습니다.",드래곤의 숲
clan,res/ui/icons/content/clan.png,,"클랜코인, 클랜 버프 획득 가능",클랜에 소속되면 클랜 레벨에 따라 {@YELLOW}전용 버프 혜택{@DEFAULT}을 받을 수 있습니다.\n테이머는 클랜활동의 성과에 따라 상점에서 특별한 상품과 교환 할 수 있는 {@YELLOW}클랜코인{@DEFAULT}을 얻을 수 있습니다.,유타칸의 테이머들은 혼자의 힘만으로는 물리칠 수 없는 어둠의 존재에 대항할 방법이 필요했습니다.\n클랜은 이러한 뜻이 맞는 테이머들이 연합할 수 있는 단체입니다.\n\n클랜에 소속되면 클랜 레벨에 따라 {@YELLOW}전용 버프 혜택{@DEFAULT}을 받을 수 있습니다.\n테이머는 클랜활동의 성과에 따라 상점에서 특별한 상품과 교환 할 수 있는 {@YELLOW}클랜코인{@DEFAULT}을 얻을 수 있습니다.,클랜
attr_tower,res/ui/icons/content/attr_tower.png,res/ui/icons/content/help/attr_tower.png,"빛나는 전설의 알, 절대적인 전설의 알 획득 가능",고대의 탑에서 자신의 한계를 뛰어넘은 테이머만이 찾을 수 있는 신비로운 탑입니다.\n시험의 탑은 강력한 원소 에너지로 인해 {@YELLOW}탑과 같은 속성의 드래곤{@DEFAULT}만 전투에 참여할 수 있습니다.\n각 속성별 탑을 정복하면 한정 드래곤을 얻을 수 있는 {@YELLOW}절대적인 전설의 알{@DEFAULT}을 얻을 수 있습니다.,고대의 탑에서 자신의 한계를 뛰어넘은 테이머만이 찾을 수 있는 신비로운 탑입니다.\n\n시험의 탑은 강력한 원소 에너지로 인해 {@YELLOW}탑과 같은 속성의 드래곤{@DEFAULT}만 전투에 참여할 수 있습니다.\n각 속성별 탑을 정복하면 한정 드래곤을 얻을 수 있는 {@YELLOW}절대적인 전설의 알{@DEFAULT}을 얻을 수 있습니다.,시험의 탑
ancient_ruin,res/ui/icons/content/dungeon_ancient.png,res/ui/icons/content/help/ancient_ruin.png,"고대 룬, 아모르의 서 획득 가능","어둠의 추종자가 부활시킨 강력한 기계 드래곤 엑스 마키나가 활동하고 있는 던전입니다.\n{@YELLOW}총 10마리의 드래곤이 전투에 참가{@DEFAULT} 할 수 있으며, 엑스 마키나를 물리치면 특별한 능력을 가진 {@YELLOW}고대 룬{@DEFAULT}과 \n드래곤의 특성 레벨을 올리는 데 사용되는 {@YELLOW}아모르의 서{@DEFAULT}를 얻을 수 있습니다.","어둠의 추종자가 부활시킨 강력한 기계 드래곤 엑스 마키나가 활동하고 있는 던전입니다.\n\n테이머 협회는 악명이 자자한 악몽던전에서도 살아 돌아온 뛰어난 테이머만의 입장을 허락하고 있습니다.\n{@YELLOW}총 10마리의 드래곤이 전투에 참가{@DEFAULT} 할 수 있으며, 엑스 마키나를 물리치면 특별한 능력을 가진 {@YELLOW}고대 룬{@DEFAULT}과 \n드래곤의 특성 레벨을 올리는 데 사용되는 {@YELLOW}아모르의 서{@DEFAULT}를 얻을 수 있습니다.",고대 유적 던전
rune_guardian,res/ui/icons/content/clan_rune_guardian.png,res/ui/icons/content/help/rune_guardian.png,원하는 종류의 일반 룬 획득 가능,"태초의 룬의 힘을 가졌다고 전해지는 룬 수호자가 지키는 던전입니다.\n룬 수호자 던전은 마력의 흐름이 불안정해 {@YELLOW}드래그 스킬을 사용할 수 없습니다{@DEFAULT}.\n총 6개의 던전으로 나누어진 룬 수호자 던전은, 각각의 던전마다 {@YELLOW}정해진 종류의 룬{@DEFAULT}을 얻을 수 있습니다.","태초의 룬의 힘을 가졌다고 전해지는 룬 수호자가 지키는 던전입니다.\n\n룬 수호자 던전은 마력의 흐름이 불안정해 {@YELLOW}드래그 스킬을 사용할 수 없습니다{@DEFAULT}.\n총 6개의 던전으로 나누어진 룬 수호자 던전은, 각각의 던전마다 {@YELLOW}정해진 종류의 룬{@DEFAULT}을 얻을 수 있습니다.\n테이머는 원하는 종류의 룬을 얻기 위해 던전을 선택해 입장 할 수 있습니다.",룬 수호자 던전
clan_raid,res/ui/icons/content/clan_raid.png,res/ui/icons/content/help/clan_raid.png,"클랜코인, 골드 획득 가능","클랜던전에서는 {@YELLOW}10마리의 드래곤{@DEFAULT}으로 전투를 진행하며 다른 클랜원이 전투중일 경우 입장할 수 없습니다.\n보스의 남은 체력은 모든 클랜원에게 공유되며 보스에게 승리하면 더 강한 보스에게 도전할 수 있습니다.\n클랜던전은 1주마다 시즌이 종료되며, {@YELLOW}보스에게 입힌 피해량에 따라 보상을 얻을 수 있습니다.{@DEFAULT}","오랜세월 잠들어 있던 죄악의 화신이 어둠의 세력에 의해 되살아났습니다.\n클랜원들은 힘을 합쳐 죄악의 화신을 막아내야 합니다.\n\n클랜던전에서는 {@YELLOW}10마리의 드래곤{@DEFAULT}으로 전투를 진행하며 다른 클랜원이 전투중일 경우 입장할 수 없습니다.\n보스의 남은 체력은 모든 클랜원에게 공유되며 보스에게 승리하면 더 강한 보스에게 도전할 수 있습니다.\n\n클랜던전은 1주마다 시즌이 종료되며, {@YELLOW}보스에게 입힌 피해량에 따라 보상을 얻을 수 있습니다.{@DEFAULT}",클랜 던전
dmgate,res/ui/icons/content/dungeon_dmgate.png,res/ui/icons/content/help/dmgate.png,차원문 상점 전용 토큰 획득 가능,이노의 곳곳에 {@YELLOW}다른 차원과 연결되는 문{@DEFAULT}이 나타나기 시작했습니다.\n테이머 협회는 이노를 지켜낸 위대한 테이머에게 그 조사를 의뢰했습니다.,{@YELLOW}차원문{@DEFAULT}에서는 이제껏 경험하지 못한 시련들을 맞이해야 합니다.\n모든 시련을 뛰어넘어  {@YELLOW}다른 차원의 드래곤{@DEFAULT}에게 인정을 받으면 차원문 토큰을 얻을 수 있습니다.\n많은 토큰을 모으면 그 드래곤과 친구가 될 수 있을지도 모릅니다.,차원문
league_raid,res/ui/icons/content/dungeon_league_raid.png,res/ui/icons/content/help/league_raid.png,6~7등급 룬 획득 가능,유타칸 대륙 곳곳에 강력한 몬스터들이 출현했습니다.\n왕국은 고대유적 탐사에 성공한 상위 테이머들에게 토벌명령을 내렸습니다.\n높은 성과를 낸 테이머에게는 특별히 {@YELLOW}6~7등급 룬{@DEFAULT}을 보상으로 지급한다고 합니다.\n레이드 전투에 참가해 강함을 증명하세요.,유타칸 대륙 곳곳에 강력한 몬스터들이 출현했습니다.\n왕국은 고대유적 탐사에 성공한 상위 테이머들에게 토벌명령을 내렸습니다.\n높은 성과를 낸 테이머에게는 특별히 {@YELLOW}6~7등급 룬{@DEFAULT}을 보상으로 지급한다고 합니다.\n레이드 전투에 참가해 강함을 증명하세요.,레이드
lair,res/ui/icons/content/lair.png,,축복 획득 가능,"진정한 테이머가 되기 위한 길입니다.\n최대한 많은 드래곤을 육성 시켜 축복 시스템에 등록시키고, 획득한 {@YELLOW}축복 티켓{@DEFAULT}을 사용하여 {@YELLOW}축복 효과{@DEFAULT}를 받아보세요.","진정한 테이머가 되기 위한 길입니다.\n최대한 많은 드래곤을 육성 시켜 축복 시스템에 등록시키고, 획득한 {@YELLOW}축복 티켓{@DEFAULT}을 사용하여 {@YELLOW}축복 효과{@DEFAULT}를 받아보세요.",축복
research,res/ui/icons/content/dragon_research.png,,연구 가능,아모르가 유타칸 대륙 곳곳에 적들을 상대할 수 있도록 자신의 기운({@YELLOW}아모르의 기운{@DEFAULT})을 남겼습니다.\n기운을 회수하고 {@YELLOW}연구{@DEFAULT}하면 강해진 적을 상대할 수 있습니다.,아모르가 유타칸 대륙 곳곳에 적들을 상대하기 쉽도록 자신의 기운({@YELLOW}아모르의 기운{@DEFAULT})을 남겼습니다.\n기운을 회수하고 {@YELLOW}연구{@DEFAULT}하면 강해진 적을 상대할 수 있습니다.,연구
world_raid,res/ui/icons/content/world_raid.png,,월드 레이드 가능,"카데스의 파수꾼이 유타칸의 보스들을 세뇌했습니다.
세뇌된 보스들은 카데스의 힘을 받아들여 더욱 강력해졌으며, 무한한 체력을 보유하고 있습니다.
더욱 강력해진 보스들을 상대하고 높은 점수를 내 {@YELLOW}최강의 테이머{@DEFAULT} 임을 증명하세요!","카데스의 파수꾼이 유타칸의 보스들을 세뇌했습니다.
세뇌된 보스들은 카데스의 힘을 받아들여 더욱 강력해졌으며, 무한한 체력을 보유하고 있습니다.
더욱 강력해진 보스들을 상대하고 높은 점수를 내 {@YELLOW}최강의 테이머{@DEFAULT} 임을 증명하세요!",월드 레이드
