rid,t_desc,clear_type,clear_value,t_name,res,t_speech,desc_1,r_reward_1,r_val_1,r_reward_2,r_val_2,reward,special
10042,고대의 탑 {1}회 플레이,ply_tower,1,나르비,res/character/npc/narvi/narvi.spine,최초의 마스터가 도전했던 신비한 탑에 대해서 아시나요?,1,다이아,50,골드,1000,"700001;50,700002;1000",
10043,모험 {1}스테이지 클리어,clr_stg,1110405,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,4-5,다이아,50,,,700001;50,
10044,모험 {1}스테이지 클리어,clr_stg,1110406,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,4-6,다이아,50,,,700001;50,
10045,스킬 레벨업 {1}회 진행,d_sklvup,1,나르비,res/character/npc/narvi/narvi.spine,동일한 드래곤이 있다면 힘을 전수해 줄 수 있어요,1,다이아,50,골드,1000,"700001;50,700002;1000",
10046,모험 {1}스테이지 클리어,clr_stg,1110407,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,4-7,다이아,300,보호의 알,1,"700001;300,703015;1",1
10047,유저레벨 {1} 달성,u_lv,10,나르비,res/character/npc/narvi/narvi.spine,마스터의 자격을 점검해 볼게요.,10,다이아,50,,,700001;50,
10048,콜로세움 {1}회 플레이,ply_clsm,1,나르비,res/character/npc/narvi/narvi.spine,마스터의 실력을 보여주세요!,1,다이아,50,골드,1000,"700001;50,700002;1000",
10049,모험 {1}스테이지 클리어,clr_stg,1110501,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,5-1,다이아,60,,,700001;60,
10050,모험 {1}스테이지 클리어,clr_stg,1110502,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-2,다이아,60,,,700001;60,
10051,모험 {1}스테이지 클리어,clr_stg,1110503,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-3,다이아,60,,,700001;60,
10052,모험 {1}스테이지 클리어,clr_stg,1110504,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-4,다이아,60,,,700001;60,
10053,테이머 스킬 레벨업 {1}회,t_sklvup,1,나르비,res/character/npc/narvi/narvi.spine,마스터도 성장이 필요해 보이네요.,1,다이아,50,골드,1000,"700001;50,700002;1000",
10054,모험 {1}스테이지 클리어,clr_stg,1110505,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-5,다이아,60,,,700001;60,
10055,모험 {1}스테이지 클리어,clr_stg,1110506,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,5-6,다이아,60,,,700001;60,
10056,모험 {1}스테이지 클리어,clr_stg,1110507,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,5-7,다이아,350,치유의 알,1,"700001;350,703014;1",1
10057,유저레벨 {1} 달성,u_lv,12,나르비,res/character/npc/narvi/narvi.spine,마스터의 자격을 점검해 볼게요.,12,다이아,50,,,700001;50,
10058,악몽던전 {1}회 플레이,ply_nm,1,나르비,res/character/npc/narvi/narvi.spine,더 강력한 룬이 필요해 보이네요,1,다이아,50,골드,1000,"700001;50,700002;1000",
10059,모험 {1}스테이지 클리어,clr_stg,1110601,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,6-1,다이아,70,,,700001;70,
10060,모험 {1}스테이지 클리어,clr_stg,1110602,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-2,다이아,70,,,700001;70,
10061,모험 {1}스테이지 클리어,clr_stg,1110603,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-3,다이아,70,,,700001;70,
10062,모험 {1}스테이지 클리어,clr_stg,1110604,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-4,다이아,70,,,700001;70,
10063,룬 {1}강화 만들기,r_enc,6,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,6,다이아,50,골드,1000,"700001;50,700002;1000",
10064,모험 {1}스테이지 클리어,clr_stg,1110605,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-5,다이아,70,,,700001;70,
10065,모험 {1}스테이지 클리어,clr_stg,1110606,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,6-6,다이아,70,,,700001;70,
10066,모험 {1}스테이지 클리어,clr_stg,1110607,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,6-7,다이아,400,신비의 알,1,"700001;400,703016;1",1
10067,테이머 {1}명 영입,t_get,2,나르비,res/character/npc/narvi/narvi.spine,동료가 필요한 시기에요.,2,다이아,50,골드,1000,"700001;50,700002;1000",
10068,모험 {1}스테이지 클리어,clr_stg,1110701,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,7-1,다이아,80,,,700001;80,
10069,모험 {1}스테이지 클리어,clr_stg,1110702,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-2,다이아,80,,,700001;80,
10070,모험 {1}스테이지 클리어,clr_stg,1110703,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-3,다이아,80,,,700001;80,
10071,모험 {1}스테이지 클리어,clr_stg,1110704,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-4,다이아,80,,,700001;80,
10072,{1}명의 유저와 친구맺기,make_frd,10,나르비,res/character/npc/narvi/narvi.spine,혼자서는 힘들어요. 친구와 교류해 보세요.,10,다이아,50,골드,1000,"700001;50,700002;1000",
10073,모험 {1}스테이지 클리어,clr_stg,1110705,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-5,다이아,80,,,700001;80,
10074,모험 {1}스테이지 클리어,clr_stg,1110706,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,7-6,다이아,80,,,700001;80,
10075,모험 {1}스테이지 클리어,clr_stg,1110707,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,7-7,다이아,400,신비의 알,2,"700001;400,703016;2",1
10076,룬 {1}강화 만들기,r_enc,9,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,9,다이아,50,골드,1000,"700001;50,700002;1000",
10077,모험 {1}스테이지 클리어,clr_stg,1110801,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,8-1,다이아,80,,,700001;80,
10078,모험 {1}스테이지 클리어,clr_stg,1110802,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-2,다이아,80,,,700001;80,
10079,모험 {1}스테이지 클리어,clr_stg,1110803,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-3,다이아,80,,,700001;80,
10080,모험 {1}스테이지 클리어,clr_stg,1110804,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-4,다이아,80,,,700001;80,
10081,{1}명의 유저와 친구맺기,make_frd,15,나르비,res/character/npc/narvi/narvi.spine,혼자서는 힘들어요. 친구와 교류해 보세요.,15,다이아,50,골드,1000,"700001;50,700002;1000",
10082,모험 {1}스테이지 클리어,clr_stg,1110805,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-5,다이아,80,,,700001;80,
10083,모험 {1}스테이지 클리어,clr_stg,1110806,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,8-6,다이아,80,,,700001;80,
10084,모험 {1}스테이지 클리어,clr_stg,1110807,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,8-7,다이아,500,신비의 알,2,"700001;500,703016;2",1
10085,룬 {1}강화 만들기,r_enc,12,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,12,다이아,50,골드,1000,"700001;50,700002;1000",
10086,모험 {1}스테이지 클리어,clr_stg,1110901,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,9-1,다이아,90,,,700001;90,
10087,모험 {1}스테이지 클리어,clr_stg,1110902,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-2,다이아,90,,,700001;90,
10088,모험 {1}스테이지 클리어,clr_stg,1110903,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-3,다이아,90,,,700001;90,
10089,모험 {1}스테이지 클리어,clr_stg,1110904,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-4,다이아,90,,,700001;90,
10090,테이머 {1}명 영입,t_get,3,나르비,res/character/npc/narvi/narvi.spine,동료가 필요한 시기에요.,3,다이아,50,골드,1000,"700001;50,700002;1000",
10091,모험 {1}스테이지 클리어,clr_stg,1110905,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-5,다이아,90,,,700001;90,
10092,모험 {1}스테이지 클리어,clr_stg,1110906,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,9-6,다이아,90,,,700001;90,
10093,모험 {1}스테이지 클리어,clr_stg,1110907,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,9-7,다이아,550,신비의 알,2,"700001;550,703016;2",1
10094,모험 {1}스테이지 클리어,clr_stg,1111001,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,10-1,다이아,100,,,700001;100,
10095,모험 {1}스테이지 클리어,clr_stg,1111002,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-2,다이아,100,,,700001;100,
10096,모험 {1}스테이지 클리어,clr_stg,1111003,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-3,다이아,100,,,700001;100,
10097,모험 {1}스테이지 클리어,clr_stg,1111004,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-4,다이아,100,,,700001;100,
10098,모험 {1}스테이지 클리어,clr_stg,1111005,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-5,다이아,100,,,700001;100,
10099,모험 {1}스테이지 클리어,clr_stg,1111006,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,10-6,다이아,100,,,700001;100,
10100,모험 {1}스테이지 클리어,clr_stg,1111007,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,10-7,다이아,600,신비의 알,3,"700001;600,703016;3",1
10101,모험 {1}스테이지 클리어,clr_stg,1111101,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,11-1,다이아,110,,,700001;110,
10102,모험 {1}스테이지 클리어,clr_stg,1111102,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-2,다이아,110,,,700001;110,
10103,모험 {1}스테이지 클리어,clr_stg,1111103,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-3,다이아,110,,,700001;110,
10104,모험 {1}스테이지 클리어,clr_stg,1111104,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-4,다이아,110,,,700001;110,
10105,모험 {1}스테이지 클리어,clr_stg,1111105,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-5,다이아,110,,,700001;110,
10106,모험 {1}스테이지 클리어,clr_stg,1111106,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,11-6,다이아,110,,,700001;110,
10107,모험 {1}스테이지 클리어,clr_stg,1111107,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,11-7,다이아,650,신성의 알,1,"700001;650,703010;1",1
10108,모험 {1}스테이지 클리어,clr_stg,1111201,나르비,res/character/npc/narvi/narvi.spine,새로운 지역으로 떠나볼까요?,12-1,다이아,120,,,700001;120,
10109,모험 {1}스테이지 클리어,clr_stg,1111202,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-2,다이아,120,,,700001;120,
10110,모험 {1}스테이지 클리어,clr_stg,1111203,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-3,다이아,120,,,700001;120,
10111,모험 {1}스테이지 클리어,clr_stg,1111204,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-4,다이아,120,,,700001;120,
10112,모험 {1}스테이지 클리어,clr_stg,1111205,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-5,다이아,120,,,700001;120,
10113,모험 {1}스테이지 클리어,clr_stg,1111206,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,12-6,다이아,120,,,700001;120,
10114,모험 {1}스테이지 클리어,clr_stg,1111207,나르비,res/character/npc/narvi/narvi.spine,강력한 몬스터가 존재하고 있어요. 조심하세요.,12-7,다이아,700,암흑의 알,1,"700001;700,703011;1",1
