stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,boss_hp_ratio,buff_user,buff_enemy,t_help
1120704,모험,hard,adv,7,4,dark,260,1,3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120705,모험,hard,adv,7,5,dark,261,1,3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120706,모험,hard,adv,7,6,dark,261,1,3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120707,모험,hard,adv,7,7,dark,262,1,4,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120801,모험,hard,adv,8,1,dark,265,1,3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120802,모험,hard,adv,8,2,dark,265,1,3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120803,모험,hard,adv,8,3,dark,266,1,3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120804,모험,hard,adv,8,4,dark,266,1,3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120805,모험,hard,adv,8,5,dark,267,1,3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120806,모험,hard,adv,8,6,dark,267,1,3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120807,모험,hard,adv,8,7,dark,268,1,4,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120901,모험,hard,adv,9,1,dark,294,1,3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120902,모험,hard,adv,9,2,dark,294,1,3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120903,모험,hard,adv,9,3,dark,295,1,3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120904,모험,hard,adv,9,4,dark,295,1,3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120905,모험,hard,adv,9,5,dark,296,1,3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120906,모험,hard,adv,9,6,dark,296,1,3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120907,모험,hard,adv,9,7,dark,297,1,4,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1121001,모험,hard,adv,10,1,dark,300,1,3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121002,모험,hard,adv,10,2,dark,300,1,3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121003,모험,hard,adv,10,3,dark,301,1,3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121004,모험,hard,adv,10,4,dark,301,1,3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121005,모험,hard,adv,10,5,dark,302,1,3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121006,모험,hard,adv,10,6,dark,302,1,3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121007,모험,hard,adv,10,7,dark,303,1,4,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121101,모험,hard,adv,11,1,dark,329,1,3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121102,모험,hard,adv,11,2,dark,329,1,3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121103,모험,hard,adv,11,3,dark,330,1,3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121104,모험,hard,adv,11,4,dark,330,1,3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121105,모험,hard,adv,11,5,dark,331,1,3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121106,모험,hard,adv,11,6,dark,331,1,3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121107,모험,hard,adv,11,7,dark,332,1,4,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121201,모험,hard,adv,12,1,dark,335,1,3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121202,모험,hard,adv,12,2,dark,335,1,3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121203,모험,hard,adv,12,3,dark,336,1,3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121204,모험,hard,adv,12,4,dark,336,1,3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121205,모험,hard,adv,12,5,dark,337,1,3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121206,모험,hard,adv,12,6,dark,337,1,3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121207,모험,hard,adv,12,7,dark,338,1,4,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1210001,보석 던전,nest,d_common,dragon,1,light,13,1,2,,,
1210002,보석 던전,nest,d_common,dragon,2,light,21,1,2,,,
1210003,보석 던전,nest,d_common,dragon,3,light,51,1,2,,,
1210004,보석 던전,nest,d_common,dragon,4,light,85,1,3,,,
1210005,보석 던전,nest,d_common,dragon,5,light,126,1,3,,,
1210006,보석 던전,nest,d_common,dragon,6,light,224,1,3,,,
1210101,땅의 거대용,nest,d_earth,dragon,1,earth,13,1,2,attr;fire;atk_multi;10,attr;earth;def_multi;25,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210102,땅의 거대용,nest,d_earth,dragon,2,earth,21,1,2,attr;fire;atk_multi;12,attr;earth;def_multi;27,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210103,땅의 거대용,nest,d_earth,dragon,3,earth,51,1,2,attr;fire;atk_multi;14,attr;earth;def_multi;29,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210104,땅의 거대용,nest,d_earth,dragon,4,earth,85,1,3,attr;fire;atk_multi;16,attr;earth;def_multi;31,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210105,땅의 거대용,nest,d_earth,dragon,5,earth,126,1,3,attr;fire;atk_multi;18,attr;earth;def_multi;33,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210106,땅의 거대용,nest,d_earth,dragon,6,earth,224,1,3,attr;fire;atk_multi;20,attr;earth;def_multi;35,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210201,물의 거대용,nest,d_water,dragon,1,water,13,1,2,attr;earth;cri_dmg_multi;25,attr;water;hp_multi;25,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210202,물의 거대용,nest,d_water,dragon,2,water,21,1,2,attr;earth;cri_dmg_multi;27,attr;water;hp_multi;27,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210203,물의 거대용,nest,d_water,dragon,3,water,51,1,2,attr;earth;cri_dmg_multi;29,attr;water;hp_multi;29,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210204,물의 거대용,nest,d_water,dragon,4,water,85,1,3,attr;earth;cri_dmg_multi;31,attr;water;hp_multi;31,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210205,물의 거대용,nest,d_water,dragon,5,water,126,1,3,attr;earth;cri_dmg_multi;33,attr;water;hp_multi;33,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210206,물의 거대용,nest,d_water,dragon,6,water,224,1,3,attr;earth;cri_dmg_multi;35,attr;water;hp_multi;35,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210301,불의 거대용,nest,d_fire,dragon,1,fire,13,1,2,attr;water;def_multi;20,attr;fire;cri_chance_add;5,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210302,불의 거대용,nest,d_fire,dragon,2,fire,21,1,2,attr;water;def_multi;22,attr;fire;cri_chance_add;6,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210303,불의 거대용,nest,d_fire,dragon,3,fire,51,1,2,attr;water;def_multi;24,attr;fire;cri_chance_add;7,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210304,불의 거대용,nest,d_fire,dragon,4,fire,85,1,3,attr;water;def_multi;26,attr;fire;cri_chance_add;8,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210305,불의 거대용,nest,d_fire,dragon,5,fire,126,1,3,attr;water;def_multi;28,attr;fire;cri_chance_add;9,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210306,불의 거대용,nest,d_fire,dragon,6,fire,224,1,3,attr;water;def_multi;30,attr;fire;cri_chance_add;10,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210401,빛의 거대용,nest,d_light,dragon,1,light,13,1,2,attr;dark;hit_rate_add;10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 증가합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210402,빛의 거대용,nest,d_light,dragon,2,light,21,1,2,attr;dark;hit_rate_add;10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 증가합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210403,빛의 거대용,nest,d_light,dragon,3,light,51,1,2,attr;dark;hit_rate_add;10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 증가합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210404,빛의 거대용,nest,d_light,dragon,4,light,85,1,3,attr;dark;hit_rate_add;10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 증가합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210405,빛의 거대용,nest,d_light,dragon,5,light,126,1,3,attr;dark;hit_rate_add;10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 증가합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210406,빛의 거대용,nest,d_light,dragon,6,light,224,1,3,attr;dark;hit_rate_add;10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 증가합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210501,어둠의 거대용,nest,d_dark,dragon,1,dark,13,1,2,attr;light;hp_multi;10,attr;dark;accuracy_add;15,빛 속성 아군의 생명력이 증가합니다. \\n 어둠 속성 적군의 효과 적중이 증가합니다.
1210502,어둠의 거대용,nest,d_dark,dragon,2,dark,21,1,2,attr;light;hp_multi;10,attr;dark;accuracy_add;15,빛 속성 아군의 생명력이 증가합니다. \\n 어둠 속성 적군의 효과 적중이 증가합니다.
1210503,어둠의 거대용,nest,d_dark,dragon,3,dark,51,1,2,attr;light;hp_multi;10,attr;dark;accuracy_add;15,빛 속성 아군의 생명력이 증가합니다. \\n 어둠 속성 적군의 효과 적중이 증가합니다.
1210504,어둠의 거대용,nest,d_dark,dragon,4,dark,85,1,3,attr;light;hp_multi;10,attr;dark;accuracy_add;15,빛 속성 아군의 생명력이 증가합니다. \\n 어둠 속성 적군의 효과 적중이 증가합니다.
1210505,어둠의 거대용,nest,d_dark,dragon,5,dark,126,1,3,attr;light;hp_multi;10,attr;dark;accuracy_add;15,빛 속성 아군의 생명력이 증가합니다. \\n 어둠 속성 적군의 효과 적중이 증가합니다.
1210506,어둠의 거대용,nest,d_dark,dragon,6,dark,224,1,3,attr;light;hp_multi;10,attr;dark;accuracy_add;15,빛 속성 아군의 생명력이 증가합니다. \\n 어둠 속성 적군의 효과 적중이 증가합니다.
1220001,악몽,nest,nightmare,nightmare,1,light,13,1,2,,,
1220002,악몽,nest,nightmare,nightmare,2,water,33,1,2,,,
1220003,악몽,nest,nightmare,nightmare,3,earth,63,1,2,,,
1220004,악몽,nest,nightmare,nightmare,4,fire,103,1,2,,,
1220005,악몽,nest,nightmare,nightmare,5,dark,153,1,2,,,
1220006,악몽,nest,nightmare,nightmare,6,light,213,1,2,,,
1230101,땅의 거목,nest,t_earth,oldTree,1,earth,13,1,2,attr;fire;debuff_emmune;-1000,attr;earth;def_multi;30,불 속성 아군의 효과 저항이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1230102,땅의 거목,nest,t_earth,oldTree,2,earth,21,1,2,attr;fire;debuff_emmune;-1000,attr;earth;def_multi;30,불 속성 아군의 효과 저항이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1230103,땅의 거목,nest,t_earth,oldTree,3,earth,51,1,2,attr;fire;debuff_emmune;-1000,attr;earth;def_multi;30,불 속성 아군의 효과 저항이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1230104,땅의 거목,nest,t_earth,oldTree,4,earth,85,1,3,attr;fire;debuff_emmune;-1000,attr;earth;def_multi;30,불 속성 아군의 효과 저항이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1230105,땅의 거목,nest,t_earth,oldTree,5,earth,126,1,3,attr;fire;debuff_emmune;-1000,attr;earth;def_multi;30,불 속성 아군의 효과 저항이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1230106,땅의 거목,nest,t_earth,oldTree,6,earth,224,1,3,attr;fire;debuff_emmune;-1000,attr;earth;def_multi;30,불 속성 아군의 효과 저항이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1230201,물의 거목,nest,t_water,oldTree,1,water,13,1,2,attr;earth;debuff_emmune;-1000,attr;water;cri_dmg_multi;30,땅 속성 아군의 효과 저항이 증가합니다.\\n 물 속성 적군의 크리티컬 데미지가 증가합니다.
1230202,물의 거목,nest,t_water,oldTree,2,water,21,1,2,attr;earth;debuff_emmune;-1000,attr;water;cri_dmg_multi;30,땅 속성 아군의 효과 저항이 증가합니다.\\n 물 속성 적군의 크리티컬 데미지가 증가합니다.
1230203,물의 거목,nest,t_water,oldTree,3,water,51,1,2,attr;earth;debuff_emmune;-1000,attr;water;cri_dmg_multi;30,땅 속성 아군의 효과 저항이 증가합니다.\\n 물 속성 적군의 크리티컬 데미지가 증가합니다.
1230204,물의 거목,nest,t_water,oldTree,4,water,85,1,3,attr;earth;debuff_emmune;-1000,attr;water;cri_dmg_multi;30,땅 속성 아군의 효과 저항이 증가합니다.\\n 물 속성 적군의 크리티컬 데미지가 증가합니다.
1230205,물의 거목,nest,t_water,oldTree,5,water,126,1,3,attr;earth;debuff_emmune;-1000,attr;water;cri_dmg_multi;30,땅 속성 아군의 효과 저항이 증가합니다.\\n 물 속성 적군의 크리티컬 데미지가 증가합니다.
