list_id,r_shop_num,ui_priority,tab_category,product_id,r_price,r_product,dependency,start_date,end_date,week_filter
1010046,1,4,package,122824,33000,"다이아 51,000 + 51,000개",122804,2022-01-01 00:00:00,2922-01-01 00:00:00,
1010047,1,5,package,122825,55000,"다이아 88,500 + 88,500개",122805,2022-01-01 00:00:00,2922-01-01 00:00:00,
1010048,1,6,package,122826,110000,"다이아 189,000 + 189,000개",122806,2022-01-01 00:00:00,2922-01-01 00:00:00,
1020001,2,1,gold,10001,,골드 30000개,,,,
1020002,2,3,gold,10002,,골드 150000개,,,,
1020003,2,5,gold,10003,,골드 300000개,,,,
1020004,2,7,gold,10004,,골드 600000개,,,,
1020005,2,9,gold,10005,,골드 1200000개,,,,
1020006,2,11,gold,10006,,골드 5000000개,,,,
1020007,2,1,gold,10014,,"골드 30,000 + 15,000개",10001,2018-09-05 00:00:00,2018-09-13 00:00:00,
1020008,2,3,gold,10015,,"골드 150,000 + 75,000개",10002,2018-09-05 00:00:00,2018-09-13 00:00:00,
1020009,2,5,gold,10016,,"골드 300,000 + 150,000개",10003,2018-09-05 00:00:00,2018-09-13 00:00:00,
1020010,2,7,gold,10017,,"골드 300,000 + 150,000개",10004,2018-09-05 00:00:00,2018-09-13 00:00:00,
1020011,2,9,gold,10018,,"골드 1,200,000 + 600,000개",10005,2018-09-05 00:00:00,2018-09-13 00:00:00,
1020012,2,11,gold,10019,,"골드 5,000,000 + 2,500,000개",10006,2018-09-05 00:00:00,2018-09-13 00:00:00,
1030001,3,1,st,210021,,아모르의 서 10개,,,,
1030002,3,8,st,10013,,날개 180개,,,,
1030003,3,7,st,60001,,날개 100개,,,,
1030004,3,4,st,70001,,선물상자,,,,sold_out
1030005,3,6,st,210023,,신화 스킬 슬라임,,,,
1030006,3,5,st,10010,,닉네임 변경권,,,,
1030007,3,3,st,210022,,룬 연마석 10개,,,,
1030008,3,2,st,210020,,망각의 서,,,,
1030009,3,20,st,219012,,돌림판 티켓(일간),,2022-05-01 00:00:00,2022-05-15 00:00:00,
1030010,3,21,st,219013,,돌림판 티켓(한정),,2022-05-01 00:00:00,2022-05-15 00:00:00,
1030011,3,19,st,219001,,마카라(어둠),,2022-01-18 00:00:00,2022-02-14 00:00:00,
1030012,3,11,st,219002,,전설 스킬 슬라임 1개,,2021-10-18 00:00:00,2021-11-10 00:00:00,
1030013,3,13,st,219003,,전설 특성 재료 1개,,2021-10-18 00:00:00,2021-11-10 00:00:00,
1030014,3,14,st,219004,,룬 연마석 10개,,2021-10-18 00:00:00,2021-11-10 00:00:00,
1030015,3,15,st,219005,,데스락 확률업 10회 소환권,,2021-01-18 00:00:00,2021-02-14 00:00:00,
1030016,3,16,st,219006,,탈릿사 확률업 10회 소환권,,2021-01-18 00:00:00,2021-02-14 00:00:00,
1030017,3,17,st,219007,,세에레 확률업 10회 소환권,,2022-01-18 00:00:00,2022-02-14 00:00:00,
1030018,3,12,st,219008,,"골드 10,000개",,2021-01-18 00:00:00,2021-02-14 00:00:00,
1030019,3,18,st,219009,,헤네스 확률업 10회 소환권,,2021-01-18 00:00:00,2021-02-14 00:00:00,
1030020,3,14,st,219010,,카스티타스 확률업 10회 소환권,,2022-01-18 00:00:00,2022-02-14 00:00:00,
1030021,3,13,st,219011,,템페렌티나 확률업 10회 소환권,,2022-01-18 00:00:00,2022-02-14 00:00:00,
1040001,4,8,amethyst,220018,,체력 세트 룬,,,,
1040002,4,11,amethyst,220019,,기회 세트 룬,,,,
1040003,4,9,amethyst,220021,,견고 세트 룬,,,,
1040004,4,13,amethyst,220023,,강렬 세트 룬,,,,
1040005,4,12,amethyst,220024,,피해 세트 룬,,,,
1040006,4,10,amethyst,220025,,쾌속 세트 룬,,,,
1040007,4,14,amethyst,220026,,드래곤 먹이,,,,sold_out
1040008,4,15,amethyst,220017,,룬 축복서,,,,
1040009,4,14,amethyst,220027,,드래곤 경험치,,,,
1050001,5,1,topaz,30016,,화염 기사 코스튬(고니),,,,
1050002,5,2,topaz,30013,,겨울 여왕 코스튬(누리),,,,
1050003,5,3,topaz,30012,,전설 강화 포인트 40개 (토파즈),,,,
1050004,5,4,topaz,30004,,스킬 슬라임,,,,
1050005,5,10,topaz,30025,,아르주나(빛),,,,
1050006,5,11,topaz,30005,,아르주나(불),,,,
1050007,5,12,topaz,30006,,카르나(어둠),,,,
1050008,5,13,topaz,30007,,앙그라(불),,,,
1050009,5,14,topaz,30010,,미트라(빛),,,,
1050010,5,15,topaz,30011,,베르나(빛),,,,
1050011,5,16,topaz,30014,,썬더볼트(물),,,,
1050012,5,17,topaz,30015,,앙그라(어둠),,,,
1050013,5,18,topaz,30017,,저네르(어둠),,,,
1050014,5,19,topaz,30018,,카르나(땅),,,,
1050015,5,20,topaz,30019,,썬더볼트(빛),,,,
1050016,5,21,topaz,30020,,아실리(빛),,,,
1050017,5,22,topaz,30021,,베르나(어둠),,,,
1050018,5,23,topaz,30022,,메테오라(불),,,,
1050019,5,24,topaz,30023,,아바돈(불),,,,
1050020,5,25,topaz,30024,,히프노스(물),,,,
1050021,5,26,topaz,30026,,카르나(빛),,,,
1050022,5,96,topaz,30009,,캡슐코인,,,,
1050023,5,97,topaz,30001,,초월의 알,,,,
1050024,5,98,topaz,30002,,신화의 알,,,,
1050025,5,99,topaz,30008,,전설 드래곤 선택권,,,,
1060001,6,1,mileage,40001,,환상의알,,,,
1060002,6,5,mileage,40005,,전설의 알,,,,
1070001,7,4,ancient,100001,,빙하고룡(물) 인연포인트 10개,,,,
1070002,7,5,ancient,100002,,토템드래곤(땅) 인연포인트 10개,,,,
1070003,7,3,ancient,100003,,블랙퀸(불) 인연포인트 10개,,,,
1070004,7,2,ancient,100004,,에일리언드래곤(빛) 인연포인트 10개,,,,
1070005,7,1,ancient,100005,,페어리드래곤(어둠) 인연포인트 10개,,,,
1080001,8,2,clancoin,60010,,전설 스킬 슬라임,,,,
1080002,8,3,clancoin,60015,,신화 스킬 슬라임,,,,
1080003,8,1,clancoin,60012,,절대적인 전설의 알,,,,
1080004,8,5,clancoin,60013,,5등급 강화 포인트,,,,
1080005,8,4,clancoin,60014,,4등급 강화 포인트,,,,
1090001,9,1,honor,50001,,수호의 알,,,,sold_out
1090002,9,2,honor,50002,,맹수의 알,,,,sold_out
1090003,9,3,honor,50003,,치유의 알,,,,sold_out
1090004,9,4,honor,50004,,보호의 알,,,,sold_out
1090005,9,5,honor,50005,,영웅의 알,,2020-03-01 00:00:00,2021-03-01 00:00:00,
1090006,9,11,honor,50006,,전설 스킬 슬라임,,,,
1090007,9,7,honor,50008,,영웅 스킬 슬라임,,,,
1090008,9,6,honor,50009,,희귀 스킬 슬라임,,,,
1090009,9,8,honor,250010,,영웅 강화 포인트,,,,
1090010,9,12,honor,250011,,전설 강화 포인트,,,,
1090011,9,10,honor,250012,,캡슐코인,,2021-03-01 00:00:00,,
1090012,9,9,honor,250013,,신화의 알,,2021-03-01 00:00:00,,
1090013,9,5,honor,250014,,환상의 알,,2021-03-01 00:00:00,,
1110001,11,13,valor,80001,,절대적인 전설의 알,,,,
1110002,11,13,valor,80002,,전설 드래곤 선택권,,,,
1110003,11,13,valor,80003,,영웅 드래곤 선택권,,,,
1110004,11,13,valor,80004,,캡슐코인,,,,
1110005,11,13,valor,80006,,용맹 코스튬 세트,,,,
1120001,12,3,reinforce,90110,5500,전설 강화 포인트 15개,,,,sold_out
1120002,12,4,reinforce,90111,11000,전설 강화 포인트 30개,,,,sold_out
1120003,12,5,reinforce,90112,33000,전설 강화 포인트 90개,,,,sold_out
1120004,12,6,reinforce,90113,55000,전설 강화 포인트 160개,,,,sold_out
1120005,12,7,reinforce,90114,110000,전설 강화 포인트 320개,,,,sold_out
1120006,12,2,reinforce,30012,,전설 강화 포인트 40개 (토파즈),,,,
1120007,12,1,reinforce,60013,,전설 강화 포인트 160개 (클랜코인),,,,
1120008,12,1,reinforce,250011,,전설 강화 포인트 40개 (명예),,,,
1130001,13,5,skillslime,90126,33000,스킬 슬라임 2개,,,,sold_out
1130002,13,6,skillslime,90127,55000,스킬 슬라임 4개,,,,sold_out
1130003,13,7,skillslime,90128,110000,스킬 슬라임 10개,,,,sold_out
1130004,13,2,skillslime,30004,,스킬 슬라임 1개 (토파즈),,,,
1130005,13,4,skillslime,50006,,스킬 슬라임 1개 (명예),,,,
1130006,13,3,skillslime,60010,,스킬 슬라임 1개 (클랜코인),,,,
1140001,14,1,package,130011,55000,신화 드래곤 획득 축하 패키지(탈릿사),,,,
1140002,14,1,package,130012,110000,신화 드래곤 획득 축하 패키지(탈릿사),,,,
1140003,14,1,package,130021,55000,신화 드래곤 획득 축하 패키지(세에레),,,,
1140004,14,1,package,130022,110000,신화 드래곤 획득 축하 패키지(세에레),,,,
1140005,14,1,package,130031,55000,신화 드래곤 획득 축하 패키지(데스락),,,,
1140006,14,1,package,130032,110000,신화 드래곤 획득 축하 패키지(데스락),,,,
1140007,14,1,package,130041,55000,신화 드래곤 획득 축하 패키지(마카라),,,,
1140008,14,1,package,130042,110000,신화 드래곤 획득 축하 패키지(마카라),,,,
1140009,14,1,package,130051,55000,신화 드래곤 획득 축하 패키지(헤네스),,,,
1140010,14,1,package,130052,110000,신화 드래곤 획득 축하 패키지(헤네스),,,,
1140011,14,1,package,130061,55000,신화 드래곤 획득 축하 패키지(템페렌티나),,,,
1140012,14,1,package,130062,110000,신화 드래곤 획득 축하 패키지(템페렌티나),,,,
1140013,14,1,package,130071,55000,신화 드래곤 획득 축하 패키지(카스티타스),,,,
1140014,14,1,package,130072,110000,신화 드래곤 획득 축하 패키지(카스티타스),,,,
1140015,14,1,package,130081,55000,신화 드래곤 획득 축하 패키지(밀라타스),,,,
1140016,14,1,package,130082,110000,신화 드래곤 획득 축하 패키지(밀라타스),,,,
1140017,14,1,package,130091,55000,신화 드래곤 획득 축하 패키지(러스트),,,,
1140018,14,1,package,130092,110000,신화 드래곤 획득 축하 패키지(러스트),,,,
1140019,14,1,package,130101,55000,신화 드래곤 획득 축하 패키지(글루토니),,,,
1140020,14,1,package,130102,110000,신화 드래곤 획득 축하 패키지(글루토니),,,,
1140021,14,1,package,130111,55000,신화 드래곤 획득 축하 패키지(페티아),,,,
1140022,14,1,package,130112,110000,신화 드래곤 획득 축하 패키지(페티아),,,,
1140023,14,1,package,130121,55000,신화 드래곤 획득 축하 패키지(엔비),,,,
1140024,14,1,package,130122,110000,신화 드래곤 획득 축하 패키지(엔비),,,,
1140025,14,1,package,130131,55000,신화 드래곤 획득 축하 패키지(인스트리아),,,,
1140026,14,1,package,130132,110000,신화 드래곤 획득 축하 패키지(인스트리아),,,,
1140027,14,1,package,130141,55000,신화 드래곤 획득 축하 패키지(오베론),,,,
1140028,14,1,package,130142,110000,신화 드래곤 획득 축하 패키지(오베론),,,,
1100001,10,13,package,90084,1100,경험치 부스터 패키지,,,,
1100002,10,13,package,90085,1100,골드 부스터 패키지,,,,
1900001,90,5,pass,90057,33000,모험 돌파 패키지,,,,
1900002,90,5,pass,110281,33000,모험 돌파 패키지,,,,
1900003,90,5,pass,110282,33000,모험 돌파 패키지,,,,
1900004,90,5,pass,110283,33000,모험 돌파 패키지,,,,
1900005,90,6,package,90093,33000,캡슐코인 패키지,,,,
1900006,90,4,package,90094,5500,캡슐코인 5 + 1,,,,
1900007,90,1,etc,110057,11000,다이아 깜짝 할인 상품,,,,
1900008,90,1,etc,110058,5500,골드 깜짝 할인 상품,,,,
1900009,90,1,etc,110059,3300,날개 깜짝 할인 상품,,,,
1900010,90,109,package,110143,110000,전설 특성 재료 패키지,,2021-06-14 00:00:00,2021-06-21 00:00:00,
1900011,90,103,package,110261,55000,전설 드래곤 육성 패키지(스슬),,2021-06-18 00:00:00,2021-06-24 00:00:00,
1900012,90,103,package,110262,55000,전설 드래곤 육성 패키지(강포),,2021-06-18 00:00:00,2021-06-24 00:00:00,
1900013,90,5,pass,90037,33000,레벨업 패키지,,,,
1900014,90,5,pass,110271,33000,레벨업 패키지,,,,
1900015,90,5,pass,110272,33000,레벨업 패키지,,,,
1900016,90,5,pass,110273,33000,레벨업 패키지,,,,
1900017,90,111,package,121011,3300,단계별 패키지(1회차),,2021-11-05 00:00:00,2021-11-17 00:00:00,
1900018,90,111,package,121012,11000,단계별 패키지(2회차),,2021-11-05 00:00:00,2021-11-17 00:00:00,
1900019,90,111,package,121013,55000,단계별 패키지(3회차),,2021-11-05 00:00:00,2021-11-17 00:00:00,
1900020,90,111,package,121014,55000,단계별 패키지(4회차),,2021-11-05 00:00:00,2021-11-17 00:00:00,
1900021,90,109,etc,110311,1100,특별할인 다이아,110312,2022-04-13 00:00:00,2022-04-20 00:00:00,
1900022,90,109,etc,110312,3300,특별할인 다이아,110313,2022-04-13 00:00:00,2022-04-20 00:00:00,
1900023,90,109,etc,110313,5500,특별할인 다이아,110314,2022-04-13 00:00:00,2022-04-20 00:00:00,
1900024,90,109,etc,110314,11000,특별할인 다이아,,2022-04-13 00:00:00,2022-04-20 00:00:00,
1900025,90,103,package,110351,33000,신화의 알 패키지,,2021-01-18 00:00:00,2021-01-25 00:00:00,
1900026,90,103,package,110352,55000,신화의 알 패키지,,2021-01-18 00:00:00,2021-01-25 00:00:00,
1900027,90,103,package,110353,110000,신화의 알 패키지,,2021-01-18 00:00:00,2021-01-25 00:00:00,
1900028,90,103,package,120111,11000,30일 다이아 보급,,,,
1900029,90,103,package,120121,3300,14일 자동 줍기,,,,sold_out
1900030,90,103,package,120141,5500,14일 골드 보급,,2021-01-18 00:00:00,2021-06-08 00:00:00,always
1900031,90,103,package,120151,5500,14일 날개 보급,,2021-01-18 00:00:00,2021-06-08 00:00:01,always
1900032,90,103,package,120152,33000,30일 날개 보급,,,,
1900033,90,103,package,120161,3300,7일 소탕,,,,
1900034,90,103,package,120162,11000,30일 소탕,,,,
1900035,90,103,package,120131,5500,14일 일일 퀘스트 보상 2배,,,,
1900036,90,121,etc,120207,3300,초보자 혜택 선물,,,,
1900037,90,122,etc,120204,33000,초보자 호화 선물,,,,
1900038,90,123,etc,120206,110000,초보자 특급 선물,,,,
1900039,90,109,etc,120701,1100,특별할인 골드,120702,2021-03-10 00:00:00,2021-03-18 00:00:00,
1900040,90,109,etc,120702,3300,특별할인 골드,120703,2021-03-10 00:00:00,2021-03-18 00:00:00,
1900041,90,109,etc,120703,5500,특별할인 골드,120704,2021-03-10 00:00:00,2021-03-18 00:00:00,
1900042,90,109,etc,120704,11000,특별할인 골드,,2021-03-10 00:00:00,2021-03-18 00:00:00,
1900043,90,110,package,122001,9900,다이아 랜덤 박스,,2022-07-27 00:00:00,2022-08-07 00:00:00,
1900044,90,9,package,120901,33000,단계별 패키지(1회차),,2020-11-01 00:00:00,,
1900045,90,9,package,120902,55000,단계별 패키지(2회차),,2020-11-01 00:00:00,,
1900046,90,9,package,120903,110000,단계별 패키지(3회차),,2020-11-01 00:00:00,,
1900047,90,9,package,120904,110000,단계별 패키지(4회차),,2020-11-01 00:00:00,,
1900048,90,9,package,120905,110000,단계별 패키지(5회차),,2020-11-01 00:00:00,,
1900049,90,3,package,110116,33000,승급 패키지,,,,
1900050,90,5,package,121401,11000,룬 10개 뽑기,,2021-04-22 00:00:00,2030-12-31 00:00:00,
1900051,90,5,package,121402,33000,룬 30개 뽑기,,2021-04-22 00:00:00,2030-12-31 00:00:00,
1900052,90,5,package,121403,55000,룬 50개 뽑기,,2021-04-22 00:00:00,2030-12-31 00:00:00,
1900053,90,5,package,121404,110000,룬 100개 뽑기,,2021-04-22 00:00:00,2030-12-31 00:00:00,
1900054,90,110,package,121423,33000,드래곤 100회 뽑기,,2021-07-03 00:00:00,2021-07-15 00:00:00,
1900055,90,110,package,121424,55000,드래곤 100회 뽑기,,2021-07-03 00:00:00,2021-07-15 00:00:00,
1900056,90,109,etc,121501,11000,특별할인 육성 패키지,121502,2022-05-04 00:00:00,2022-05-11 00:00:00,
1900057,90,109,etc,121502,33000,특별할인 육성 패키지,121503,2022-05-04 00:00:00,2022-05-11 00:00:00,
1900058,90,109,etc,121503,55000,특별할인 육성 패키지,121504,2022-05-04 00:00:00,2022-05-11 00:00:00,
1900059,90,109,etc,121504,110000,특별할인 육성 패키지,,2022-05-04 00:00:00,2022-05-11 00:00:00,
1900060,90,110,package,121405,11000,룬 10개 뽑기 상자 1+1개,,2021-06-05 00:00:00,2021-06-10 00:00:00,
1900061,90,110,package,121406,33000,룬 10개 뽑기 상자 3+3개,,2021-06-05 00:00:00,2021-06-10 00:00:00,
1900062,90,110,package,121407,55000,룬 10개 뽑기 상자 5+5개,,2021-06-05 00:00:00,2021-06-10 00:00:00,
1900063,90,110,package,121408,110000,룬 10개 뽑기 상자 10+10개,,2021-06-05 00:00:00,2021-06-10 00:00:00,
1900064,90,109,package,122405,5500,눈꽃 축제 패키지,122406,2021-12-15 00:00:00,2021-12-29 00:00:00,
1900065,90,109,package,122406,33000,눈꽃 축제 패키지,122407,2021-12-15 00:00:00,2021-12-29 00:00:00,
1900066,90,109,package,122407,110000,눈꽃 축제 패키지,,2021-12-15 00:00:00,2021-12-29 00:00:00,
1900067,90,110,pass,121703,33000,차원문 돌파 패키지,,2021-05-17 00:00:00,,
1900068,90,2,package,90070,33000,진화 패키지(땅),,,,
1900069,90,2,package,90071,33000,진화 패키지(물),,,,
1900070,90,2,package,90072,33000,진화 패키지(불),,,,
1900071,90,2,package,90073,33000,진화 패키지(빛),,,,
1900072,90,2,package,90074,33000,진화 패키지(어둠),,,,
1900073,90,2,package,122501,5500,월간 패키지(슬라임),,2022-06-01 00:00:00,2022-07-01 00:00:00,
1900074,90,2,package,122502,5500,월간 패키지(연마석),,2022-07-01 00:00:00,2022-08-01 00:00:00,
1900075,90,2,package,122503,5500,월간 패키지(특재),,2022-05-01 00:00:00,2022-06-01 00:00:00,
1900076,90,2,package,122504,5500,월간 패키지(강포),,2022-07-27 00:00:00,2022-09-01 00:00:00,
1900077,90,2,package,122601,11000,전설 강화 패키지,,,,
1900078,90,2,package,122602,11000,전설 스킬 패키지,,,,
1900079,90,2,package,122603,33000,전설 특성 패키지,,,,
1900080,90,2,package,121901,5500,빙고 토큰 패키지,,2022-02-25 00:00:00,2022-03-02 00:00:00,
1900081,90,2,package,121902,11000,빙고 토큰 패키지,,2022-02-25 00:00:00,2022-03-02 00:00:00,
1900082,90,2,package,121903,33000,빙고 토큰 패키지,,2022-02-25 00:00:00,2022-03-02 00:00:00,
1900083,90,2,package,121904,55000,빙고 토큰 패키지,,2022-02-25 00:00:00,2022-03-02 00:00:00,
1900084,90,2,package,121105,11000,룬 연마석 꾸러미,,2022-07-27 00:00:00,2022-08-14 00:00:00,
1900085,90,2,package,121106,33000,룬 연마석 꾸러미,,2022-07-27 00:00:00,2022-08-14 00:00:00,
1900086,90,2,package,121107,55000,룬 연마석 꾸러미,,2022-07-27 00:00:00,2022-08-14 00:00:00,
1900087,90,2,package,121108,110000,룬 연마석 꾸러미,,2022-07-27 00:00:00,2022-08-14 00:00:00,
1900088,90,2,package,110173,110000,절대적인 전설의 알 패키지,,2021-08-24 00:00:00,2021-09-08 00:00:00,
1900089,90,2,package,122701,0,일일 무료,,,,
1900090,90,2,package,120801,5500,복주머니 패키지,,2022-01-13 00:00:00,2022-02-09 00:00:00,
1900091,90,2,package,120802,11000,복주머니 패키지,,2022-01-13 00:00:00,2022-02-09 00:00:00,
1900092,90,2,package,120803,55000,복주머니 패키지,,2022-01-13 00:00:00,2022-02-09 00:00:00,
1900093,90,2,package,120804,110000,복주머니 패키지,,2022-01-13 00:00:00,2022-02-09 00:00:00,
1900094,90,2,package,120301,33000,추천 패키지(초보자),,2022-07-27 00:00:00,2022-08-28 00:00:00,
1900095,90,2,package,120302,33000,추천 패키지(중급자),,2022-07-27 00:00:00,2022-08-28 00:00:00,
1900096,90,2,package,120306,55000,추천 패키지(상급자),,2022-07-27 00:00:00,2022-08-28 00:00:00,
1900097,90,120,package,122901,1100,잭-오-랜턴 패키지,,2021-10-24 00:00:00,2021-11-08 00:00:00,
1900098,90,120,package,122902,3300,잭-오-랜턴 패키지,,2021-10-24 00:00:00,2021-11-08 00:00:00,
1900099,90,120,package,122903,11000,잭-오-랜턴 패키지,,2021-10-24 00:00:00,2021-11-08 00:00:00,
1900100,90,120,package,122904,55000,잭-오-랜턴 패키지,,2021-10-24 00:00:00,2021-11-08 00:00:00,
1900101,90,120,package,123001,11000,대박 기원 알 패키지,,2022-07-27 00:00:00,2022-08-21 00:00:00,
1900102,90,120,package,123002,110000,대박 기원 알 패키지,,2022-07-27 00:00:00,2022-08-21 00:00:00,
1900103,90,120,package,122301,5500,돌림판 티켓 패키지,,2022-05-01 00:00:00,2022-05-15 00:00:00,
1900104,90,120,package,122302,11000,돌림판 티켓 패키지,,2022-05-01 00:00:00,2022-05-15 00:00:00,
1900105,90,120,package,122303,55000,돌림판 티켓 패키지,,2022-05-01 00:00:00,2022-05-15 00:00:00,
1900106,90,120,package,122304,110000,돌림판 티켓 패키지,,2022-05-01 00:00:00,2022-05-15 00:00:00,
1900107,90,120,package,123101,55000,새해 기념 패키지,,2022-01-01 00:00:00,2022-01-10 00:00:00,
1900108,90,120,package,123102,110000,새해 기념 패키지,,2022-01-01 00:00:00,2022-01-10 00:00:00,
1900109,90,119,package,122408,5500,새해맞이 패키지,122409,2022-02-01 00:00:00,2022-02-09 00:00:00,
1900110,90,119,package,122409,33000,새해맞이 패키지,122410,2022-02-01 00:00:00,2022-02-09 00:00:00,
1900111,90,119,package,122410,110000,새해맞이 패키지,,2022-02-01 00:00:00,2022-02-09 00:00:00,
1900112,90,120,package,123201,110000,7등급 룬 뽑기 패키지(일반),,2022-07-24 00:00:00,2022-07-31 00:00:00,
1900113,90,120,package,123202,110000,7등급 룬 뽑기 패키지(고대),,2022-07-24 00:00:00,2022-07-31 00:00:00,
1900114,90,120,package,123301,55000,환영의 알 패키지,,2021-02-09 00:00:01,2021-02-09 00:00:01,
1900115,90,120,package,123201,110000,7등급 룬 뽑기 패키지(일반),,2022-07-27 00:00:00,2022-09-04 00:00:00,
1900116,90,120,package,123202,110000,7등급 룬 뽑기 패키지(고대),,2022-07-27 00:00:00,2022-09-04 00:00:00,
1900117,90,120,package,120531,55000,특별 제안 패키지,,2021-02-09 00:00:01,2021-02-09 00:00:01,
1900118,90,120,package,120532,110000,특별 제안 패키지,,2021-02-09 00:00:01,2021-02-09 00:00:01,
1900119,90,120,package,121440,110000,단계별 패키지,,2022-02-23 00:00:00,2022-03-01 00:00:00,
1900120,90,120,package,121441,110000,단계별 패키지,,2022-02-23 00:00:00,2022-03-01 00:00:00,
1900121,90,120,package,121442,110000,단계별 패키지,,2022-02-23 00:00:00,2022-03-01 00:00:00,
