product_id,sku,token,t_name,r_group,t_desc,use_desc,price_type,price,price_dollar,xsolla_price_dollar,purchase_point,product_content,mail_content,subscription,icon,banner_res,package_frame_type,package_class,package_res,package_res_2,max_buy_count,max_buy_term,max_buy_display,r_attr,badge
81056,dvm_firstdia_100k,ue28r6,"다이아 12,600 + 6,300개",토파즈 +50%,blank,,money,110000,109.99,99.99,100000,,"cash;18900,topaz;100",,res/ui/icons/item/shop_cash_06.png,,,,,,1,monthly,permanent,,bonus_50
82001,dvm_cash2_3k,shy4wx,다이아 900개,다이아,blank,,money,3300,3.29,2.99,3000,,cash;900,,res/ui/icons/item/shop_cash_02.png,,,,shop_package_list_01.ui,,,,,,
82002,dvm_cash2_5k,kcc07g,"다이아 1,590개",다이아,blank,,money,5500,5.49,4.99,5000,,cash;1590,,res/ui/icons/item/shop_cash_03.png,,,,shop_package_list_01.ui,,,,,,
82003,dvm_cash2_10k,3u0she,"다이아 3,300개",다이아,blank,,money,11000,10.99,9.99,10000,,cash;3300,,res/ui/icons/item/shop_cash_04.png,,,,shop_package_list_01.ui,,,,,,
82004,dvm_cash2_30k,z0jy3f,"다이아 10,200개",다이아,blank,,money,33000,32.99,29.99,30000,,cash;10200,,res/ui/icons/item/shop_cash_05.png,,,,shop_package_list_01.ui,,,,,,
82005,dvm_cash2_50k,8pjof4,"다이아 17,700개",다이아,blank,,money,55000,54.99,49.99,50000,,cash;17700,,res/ui/icons/item/shop_cash_06.png,,,,shop_package_list_01.ui,,,,,,
82006,dvm_cash2_100k,fn9dob,"다이아 37,800개",다이아,blank,,money,110000,109.99,99.99,100000,,cash;37800,,res/ui/icons/item/shop_cash_07.png,,,,shop_package_list_01.ui,,,,,,
82011,dvm_cash2_3k,shy4wx,다이아 900 + 180개,다이아 +20%,blank,,money,3300,3.29,2.99,3000,,cash;1080,,res/ui/icons/item/shop_cash_02.png,,,,,,1,monthly,permanent,,bonus_20
82012,dvm_cash2_5k,kcc07g,"다이아 1,590 + 318개",다이아 +20%,blank,,money,5500,5.49,4.99,5000,,cash;1908,,res/ui/icons/item/shop_cash_03.png,,,,,,1,monthly,permanent,,bonus_20
82013,dvm_cash2_10k,3u0she,"다이아 3,300 + 660개",다이아 +20%,blank,,money,11000,10.99,9.99,10000,,cash;3960,,res/ui/icons/item/shop_cash_04.png,,,,,,1,monthly,permanent,,bonus_20
82014,dvm_cash2_30k,z0jy3f,"다이아 10,200 + 2,040개",다이아 +20%,blank,,money,33000,32.99,29.99,30000,,cash;12240,,res/ui/icons/item/shop_cash_05.png,,,,,,1,monthly,permanent,,bonus_20
82015,dvm_cash2_50k,8pjof4,"다이아 17,700 + 3,540개",다이아 +20%,blank,,money,55000,54.99,49.99,50000,,cash;21240,,res/ui/icons/item/shop_cash_06.png,,,,,,1,monthly,permanent,,bonus_20
82016,dvm_cash2_100k,fn9dob,"다이아 37,800 + 7,560개",다이아 +20%,blank,,money,110000,109.99,99.99,100000,,cash;45360,,res/ui/icons/item/shop_cash_07.png,,,,,,1,monthly,permanent,,bonus_20
82021,dvm_cash2_3k,shy4wx,다이아 900 + 270개,다이아 +30%,blank,,money,3300,3.29,2.99,3000,,cash;1170,,res/ui/icons/item/shop_cash_02.png,,,,,,1,monthly,permanent,,bonus_30
82022,dvm_cash2_5k,kcc07g,"다이아 1,590 + 477개",다이아 +30%,blank,,money,5500,5.49,4.99,5000,,cash;2067,,res/ui/icons/item/shop_cash_03.png,,,,,,1,monthly,permanent,,bonus_30
82023,dvm_cash2_10k,3u0she,"다이아 3,300 + 990개",다이아 +30%,blank,,money,11000,10.99,9.99,10000,,cash;4290,,res/ui/icons/item/shop_cash_04.png,,,,,,1,monthly,permanent,,bonus_30
82024,dvm_cash2_30k,z0jy3f,"다이아 10,200 + 3,060개",다이아 +30%,blank,,money,33000,32.99,29.99,30000,,cash;13260,,res/ui/icons/item/shop_cash_05.png,,,,,,1,monthly,permanent,,bonus_30
82025,dvm_cash2_50k,8pjof4,"다이아 17,700 + 5,310개",다이아 +30%,blank,,money,55000,54.99,49.99,50000,,cash;23010,,res/ui/icons/item/shop_cash_06.png,,,,,,1,monthly,permanent,,bonus_30
82026,dvm_cash2_100k,fn9dob,"다이아 37,800 + 11,340개",다이아 +30%,blank,,money,110000,109.99,99.99,100000,,cash;49140,,res/ui/icons/item/shop_cash_07.png,,,,,,1,monthly,permanent,,bonus_30
82031,dvm_cash2_3k,shy4wx,다이아 900 + 450개,다이아 +50%,blank,,money,3300,3.29,2.99,3000,,cash;1350,,res/ui/icons/item/shop_cash_02.png,,,,,,1,monthly,permanent,,bonus_50
82032,dvm_cash2_5k,kcc07g,"다이아 1,590 + 795개",다이아 +50%,blank,,money,5500,5.49,4.99,5000,,cash;2385,,res/ui/icons/item/shop_cash_03.png,,,,,,1,monthly,permanent,,bonus_50
82033,dvm_cash2_10k,3u0she,"다이아 3,300 + 1650개",다이아 +50%,blank,,money,11000,10.99,9.99,10000,,cash;4950,,res/ui/icons/item/shop_cash_04.png,,,,,,1,monthly,permanent,,bonus_50
82034,dvm_cash2_30k,z0jy3f,"다이아 10,200 + 5,100개",다이아 +50%,blank,,money,33000,32.99,29.99,30000,,cash;15300,,res/ui/icons/item/shop_cash_05.png,,,,,,1,monthly,permanent,,bonus_50
82035,dvm_cash2_50k,8pjof4,"다이아 17,700 + 8,850개",다이아 +50%,blank,,money,55000,54.99,49.99,50000,,cash;26550,,res/ui/icons/item/shop_cash_06.png,,,,,,1,monthly,permanent,,bonus_50
82036,dvm_cash2_100k,fn9dob,"다이아 37,800 + 18,900개",다이아 +50%,blank,,money,110000,109.99,99.99,100000,,cash;56700,,res/ui/icons/item/shop_cash_07.png,,,,,,1,monthly,permanent,,bonus_50
82041,dvm_cash2_3k,shy4wx,다이아 900 + 900개,다이아 +100%,blank,,money,3300,3.29,2.99,3000,,cash;1800,,res/ui/icons/item/shop_cash_02.png,,,,,,1,monthly,permanent,,bonus_100
82042,dvm_cash2_5k,kcc07g,"다이아 1,590 + 1,590개",다이아 +100%,blank,,money,5500,5.49,4.99,5000,,cash;3180,,res/ui/icons/item/shop_cash_03.png,,,,,,1,monthly,permanent,,bonus_100
82043,dvm_cash2_10k,3u0she,"다이아 3,300 + 3,300개",다이아 +100%,blank,,money,11000,10.99,9.99,10000,,cash;6600,,res/ui/icons/item/shop_cash_04.png,,,,,,1,monthly,permanent,,bonus_100
82044,dvm_cash2_30k,z0jy3f,"다이아 10,200 + 10,200개",다이아 +100%,blank,,money,33000,32.99,29.99,30000,,cash;20400,,res/ui/icons/item/shop_cash_05.png,,,,,,1,monthly,permanent,,bonus_100
82045,dvm_cash2_50k,8pjof4,"다이아 17,700 + 17,700개",다이아 +100%,blank,,money,55000,54.99,49.99,50000,,cash;35400,,res/ui/icons/item/shop_cash_06.png,,,,,,1,monthly,permanent,,bonus_100
82046,dvm_cash2_100k,fn9dob,"다이아 37,800 + 37,800개",다이아 +100%,blank,,money,110000,109.99,99.99,100000,,cash;75600,,res/ui/icons/item/shop_cash_07.png,,,,,,1,monthly,permanent,,bonus_100
99001,dvm_2weekpack01_5k,xqv0js,월정액 패키지,자동 줍기,"14일 동안 
매일 다이아 100개
매일 골드 20,000
아이템 자동 줍기 이용 가능",,money,5500,5.49,4.99,5000,,cash;530,1,res/ui/package/icon_daily_dia.png,res/ui/package/popup_.png,1,,package_daily_dia.ui,,,,,,
99002,dvm_2weekpack02_3k,gro3jx,월정액 패키지- 할인,자동 줍기,"14일 동안 
매일 다이아 100개
매일 골드 20,000
아이템 자동 줍기 이용 가능",,money,3300,3.29,2.99,3000,,,1,res/ui/package/icon_daily_dia.png,res/ui/package/popup_.png,1,,package_daily_dia.ui,,,,,,
99003,dvm_2weekpack03_1k,w8ph2n,월정액 패키지 - 대박 할인,자동 줍기,"14일 동안 
매일 다이아 100개
매일 골드 20,000
아이템 자동 줍기 이용 가능",,money,1100,1.09,0.99,1000,,,1,res/ui/package/icon_daily_dia.png,res/ui/package/popup_.png,1,,package_daily_dia.ui,,,,,,
99011,dvm_2weekpack11_30k,1lfv1c,프리미엄 월정액 패키지,자동 줍기,"14일 동안 
매일 다이아 250개
매일 골드 50,000
아이템 자동 줍기 이용 가능",,money,33000,32.99,29.99,30000,,cash;3400,1,res/ui/package/icon_daily_dia.png,res/ui/package/popup_.png,1,,package_daily_dia.ui,,,,,,
99012,dvm_2weekpack12_10k,xow624,프리미엄 월정액 패키지 - 할인,자동 줍기,"14일 동안 
매일 다이아 250개
매일 골드 50,000
아이템 자동 줍기 이용 가능",,money,11000,10.99,9.99,10000,,,1,res/ui/package/icon_daily_dia.png,res/ui/package/popup_.png,1,,package_daily_dia.ui,,,,,,
99013,dvm_2weekpack13_5k,j6vkrn,프리미엄 월정액 패키지 - 대박 할인,자동 줍기,"14일 동안 
매일 다이아 250개
매일 골드 50,000
아이템 자동 줍기 이용 가능",,money,5500,5.49,4.99,5000,,,1,res/ui/package/icon_daily_dia.png,res/ui/package/popup_.png,1,,package_daily_dia.ui,,,,,,
90013,dvm_weekendpack01_10k,5tw6vs,주말 패키지,주말,주말 기념 한정 드래곤 뽑기,,money,11000,10.99,9.99,10000,,"703004;5,700001;3300,700101;500",,res/ui/package/icon_weekly.png,res/ui/package/popup_dark.png,1,,package_weekly.ui,,3,weekly,,,week
90014,dvm_weekendpack02_20k,atqjsa,주말 패키지,주말,주말 기념 한정 드래곤 뽑기,,money,22000,21.99,19.99,20000,,"703003;1,700001;6600,700101;1000",,res/ui/package/icon_weekly.png,res/ui/package/popup_dark.png,1,,package_weekly.ui,,3,weekly,,,week
90037,dvm_leveluppack01_33k,cj8l1p,레벨업 다이아 대박 지원 패키지,레벨업 패키지,"다이아 33,600개
골드 100,000개
날개 1,500개
자수정 1,000개
전설 스킬 슬라임 3개",1,money,33000,32.99,29.99,30000,,,,res/ui/package/icon_levelup.png,,1,UI_Package_LevelUp,package_levelup.ui,,1,permanent,,,
90057,dvm_3starpack_30k,f02pa9,모험모드 3★ 돌파 패키지,모험돌파 패키지,"다이아 27,000개
전설 스킬 슬라임 4개
6등급 룬 2개
5등급 룬 2개
4등급 룬 1개",1,money,33000,32.99,29.99,30000,,,,res/ui/package/icon_adventure_clear.png,,1,UI_Package_AdventureBreakthrough,package_adventure_clear.ui,,1,permanent,,,
90054,dvm_monthlypack01_30k,72f1aw,월간 소환알 상품,월간 소환알 패키지,최대 전설의 알 지급!,,money,33000,32.99,29.99,30000,,"703019;7,703016;15,700009;9",,res/ui/package/icon_daebak.png,,1,,package_daebak.ui,,3,monthly,,,
90055,dvm_monthlypack02_50k,o95o3z,월간 소환알 상품,월간 소환알 패키지,최대 전설의 알 지급!,,money,55000,54.99,49.99,50000,,"703005;1,703016;25,700009;15",,res/ui/package/icon_daebak.png,,1,,package_daebak.ui,,3,monthly,,,
90056,dvm_monthlypack03_100k,96ap42,월간 소환알 상품,월간 소환알 패키지,최대 전설의 알 지급!,,money,110000,109.99,99.99,100000,,"703005;2,703016;50,700009;30",,res/ui/package/icon_daebak.png,,1,,package_daebak.ui,,3,monthly,,,
90059,dvm_giftpack01_10k,6elh83,캡슐코인 패키지,캡슐코인,캡슐 뽑기 전용 상품!,,money,9900,8.79,9.99,9000,,700012;9,,res/ui/package/icon_capsule_coin.png,,1,,package_capsule_coin.ui,,5,monthly,,,
90060,dvm_capsule02_50k,vmhzew,캡슐코인 패키지,캡슐코인,캡슐 뽑기 전용 상품!,,money,55000,54.99,49.99,50000,,"700012;50,700009;15",,res/ui/package/icon_capsule_coin.png,,1,,package_capsule_coin.ui,,5,monthly,,,
90061,dvm_capsule03_100k,m6w6se,캡슐코인 패키지,캡슐코인,캡슐 뽑기 전용 상품!,,money,110000,109.99,99.99,100000,,"700012;110,700009;30",,res/ui/package/icon_capsule_coin.png,,1,,package_capsule_coin.ui,,5,monthly,,,
90062,dvm_monthlypack01_30k,72f1aw,월간 다이아 대박 상품,월간 다이아,다이아 특가 & 최대 전설 드래곤 지급,,money,33000,32.99,29.99,30000,,"700001;5000,700009;9,703003;1",,res/ui/package/icon_new_year.png,,1,,package_new_year.ui,,3,monthly,,,
90063,dvm_monthlypack02_50k,o95o3z,월간 다이아 대박 상품,월간 다이아,다이아 특가 & 최대 전설 드래곤 지급,,money,55000,54.99,49.99,50000,,"700001;9000,700009;15,703003;2",,res/ui/package/icon_new_year.png,,1,,package_new_year.ui,,3,monthly,,,
90064,dvm_monthlypack03_100k,96ap42,월간 다이아 대박 상품,월간 다이아,다이아 특가 & 최대 전설 드래곤 지급,,money,110000,109.99,99.99,100000,,"700001;20000,700009;30,703005;1",,res/ui/package/icon_new_year.png,,1,,package_new_year.ui,,3,monthly,,,
90065,dvm_wingpack_10k,v0vga8,★4 드래곤 진화 패키지,진화 패키지,4성 드래곤을 성룡까지!,,money,11000,10.99,9.99,10000,,"701012;20,701014;10,701112;20,701113;40,701114;15,700017;200000",,ui/package/icon_evolue_4s.png,,1,,package_evolue_4s_earth.ui,,,,,,begginer
90066,dvm_wingpack_10k,v0vga8,★4 드래곤 진화 패키지,진화 패키지,4성 드래곤을 성룡까지!,,money,11000,10.99,9.99,10000,,"701012;20,701014;10,701122;20,701123;40,701124;15,700017;200000",,ui/package/icon_evolue_4s.png,,1,,package_evolue_4s_water.ui,,,,,,begginer
90067,dvm_wingpack_10k,v0vga8,★4 드래곤 진화 패키지,진화 패키지,4성 드래곤을 성룡까지!,,money,11000,10.99,9.99,10000,,"701012;20,701014;10,701132;20,701133;40,701134;15,700017;200000",,ui/package/icon_evolue_4s.png,,1,,package_evolue_4s_fire.ui,,,,,,begginer
90068,dvm_wingpack_10k,v0vga8,★4 드래곤 진화 패키지,진화 패키지,4성 드래곤을 성룡까지!,,money,11000,10.99,9.99,10000,,"701012;20,701014;10,701142;20,701143;40,701144;15,700017;200000",,ui/package/icon_evolue_4s.png,,1,,package_evolue_4s_light.ui,,,,,,begginer
90069,dvm_wingpack_10k,v0vga8,★4 드래곤 진화 패키지,진화 패키지,4성 드래곤을 성룡까지!,,money,11000,10.99,9.99,10000,,"701012;20,701014;10,701152;20,701153;40,701154;15,700017;200000",,ui/package/icon_evolue_4s.png,,1,,package_evolue_4s_dark.ui,,,,,,begginer
90070,dvm_growthpack01_30k,jgy2ck,진화 패키지(땅),진화 패키지,5성 드래곤을 성룡까지!,,money,33000,32.99,29.99,30000,,"701013;20,701014;20,701112;40,701113;80,701114;30,700017;700000",,ui/package/icon_evolue_5s.png,,1,,package_s_evolue_5s_earth.ui,package_evolue_5s_earth.ui,,,,,begginer
90071,dvm_growthpack02_30k,iod9y1,진화 패키지(물),진화 패키지,5성 드래곤을 성룡까지!,,money,33000,32.99,29.99,30000,,"701013;20,701014;20,701122;40,701123;80,701124;30,700017;700000",,ui/package/icon_evolue_5s.png,,1,,package_s_evolue_5s_water.ui,package_evolue_5s_water.ui,,,,,begginer
90072,dvm_growthpack03_30k,1slz0o,진화 패키지(불),진화 패키지,5성 드래곤을 성룡까지!,,money,33000,32.99,29.99,30000,,"701013;20,701014;20,701132;40,701133;80,701134;30,700017;700000",,ui/package/icon_evolue_5s.png,,1,,package_s_evolue_5s_fire.ui,package_evolue_5s_fire.ui,,,,,begginer
90073,dvm_growthpack04_30k,2g6fs9,진화 패키지(빛),진화 패키지,5성 드래곤을 성룡까지!,,money,33000,32.99,29.99,30000,,"701013;20,701014;20,701142;40,701143;80,701144;30,700017;700000",,ui/package/icon_evolue_5s.png,,1,,package_s_evolue_5s_light.ui,package_evolue_5s_light.ui,,,,,begginer
90074,dvm_growthpack05_30k,k3l4n0,진화 패키지(어둠),진화 패키지,5성 드래곤을 성룡까지!,,money,33000,32.99,29.99,30000,,"701013;20,701014;20,701152;40,701153;80,701154;30,700017;700000",,ui/package/icon_evolue_5s.png,,1,,package_s_evolue_5s_dark.ui,package_evolue_5s_dark.ui,,,,,begginer
90075,dvm_launchingpack_100k,6mffwy,런칭 기념 패키지,런칭 기념,글로벌 출시기념 대박 할인! {@emphasis}(80%),,money,110000,109.99,99.99,100000,,"703005;1,700001;12600,700009;30,700012;30,700002;5000000,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300",,ui/package/icon_launching.png,,1,,package_launching.ui,,1,permanent,,,begginer
90076,dvm_starterpack_30k,bcp210,슈퍼 스타터 패키지,스타터 패키지,초심자용 대박 할인! {@emphasis}(85%),,money,33000,32.99,29.99,30000,,"700001;5000,700002;1000000,700007;1000,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,700101;300,703003;2",,res/ui/package/icon_starter.png,res/ui/package/popup_dark.png,1,,package_starter.ui,,1,permanent,,,begginer
90077,dvm_goldpack_10k,njuo8n,단계별 패키지(1회차),단계별 패키지,blank,,money,11000,10.99,9.99,10000,,"700001;1000,703012;1,703013;1,703014;1,703015;1",,,,1,,package_step.ui,,1,permanent,,,hot
90078,dvm_eventpack01_30k,icmfmx,단계별 패키지(2회차),단계별 패키지,blank,,money,33000,32.99,29.99,30000,,"700001;5000,703010;3,703011;3,700009;9",,,,1,,package_step.ui,,1,permanent,,,hot
90079,dvm_eventpack02_50k,h8gyok,단계별 패키지(3회차),단계별 패키지,blank,,money,55000,54.99,49.99,50000,,"700001;10000,703019;1,703003;1,703006;1,700009;15",,,,1,,package_step.ui,,1,permanent,,,hot
90080,dvm_eventpack03_100k,d5zjva,단계별 패키지(4회차),단계별 패키지,blank,,money,110000,109.99,99.99,100000,,"700001;20000,700304;1,700009;30",,,,1,,package_step.ui,,1,permanent,,,hot
90081,dvm_monthlypack01_30k,72f1aw,스킬 슬라임 패키지,스킬 슬라임 패키지,blank,,money,33000,32.99,29.99,30000,,"779255;1,700001;3000,700009;9",,,,1,,package_seollal.ui,,2,permanent,,,hot
90082,dvm_monthlypack02_50k,o95o3z,스킬 슬라임 패키지,스킬 슬라임 패키지,blank,,money,55000,54.99,49.99,50000,,"779255;2,700001;5000,700009;15",,,,1,,package_seollal.ui,,2,permanent,,,hot
90083,dvm_monthlypack03_100k,96ap42,스킬 슬라임 패키지,스킬 슬라임 패키지,blank,,money,110000,109.99,99.99,100000,,"779255;5,700001;10000,700009;30",,,,1,,package_seollal.ui,,2,permanent,,,hot
90084,dvm_daily_exp_1k,t5fwyk,경험치 부스터 패키지,부스터,"경험치 부스터 24시간
날개 500개",1,money,1100,1.09,0.99,1000,,"700402;1,700101;500",,,,1,,package_s_booster_exp.ui,,1,daily,,,
90085,dvm_daily_gold_1k,xk01u2,골드 부스터 패키지,부스터,"골드 부스터 24시간
날개 500개",1,money,1100,1.09,0.99,1000,,"700403;1,700101;500",,,,1,,package_s_booster_gold.ui,,1,daily,,,
90086,dvm_eventpack1_3k,nrjn76,고급소환 10+1 패키지,일일 10+1 티켓,blank,,money,3300,3.29,2.99,3000,,700305;1,,,,1,,package_daily_shop.ui,,1,daily,,,hot
90087,dvm_monthlypack01_30k,72f1aw,스킬 슬라임 패키지,스킬 슬라임 패키지,blank,,money,33000,32.99,29.99,30000,,"779255;1,700001;3000,700009;9",,,,1,,package_seollal.ui,,1,monthly,,,hot
90088,dvm_monthlypack02_50k,o95o3z,스킬 슬라임 패키지,스킬 슬라임 패키지,blank,,money,55000,54.99,49.99,50000,,"779255;2,700001;5000,700009;15",,,,1,,package_seollal.ui,,1,monthly,,,hot
90089,dvm_monthlypack03_100k,96ap42,스킬 슬라임 패키지,스킬 슬라임 패키지,blank,,money,110000,109.99,99.99,100000,,"779255;5,700001;10000,700009;30",,,,1,,package_seollal.ui,,1,monthly,,,hot
90090,dvm_daily_gold_3k,l6p2tu,골드 패키지,일일 골드,blank,,money,3300,3.29,2.99,3000,,700002;3000000,,,,1,,package_daily_shop.ui,,1,daily,,,hot
90091,dvm_exp7days_5k,yvfwo8,경험치 부스터 7일,부스터,blank,,money,5500,5.49,4.99,5000,,700402;7,,,,1,,package_daily_shop.ui,,,,,,hot
90092,dvm_gold7days_5k,lebedw,골드 부스터 7일,부스터,blank,,money,5500,5.49,4.99,5000,,700403;7,,,,1,,package_daily_shop.ui,,,,,,hot
90093,dvm_capsule01_30k,o7oeia,캡슐코인 패키지,캡슐코인,캡슐 뽑기 전용 상품!,,money,33000,32.99,29.99,30000,,"700012;30,700009;9",,res/ui/package/icon_capsule_coin.png,,1,,package_capsule_coin.ui,,,,,,
90094,dvm_daily_coin_5k,vl44fr,캡슐 코인 5+1,캡슐코인,캡슐 코인 5+1,,money,5500,5.49,4.99,5000,,700012;6,,res/ui/package/icon_capsule_coin.png,,1,,package_capsule_coin.ui,,1,daily,,,
